"heroes.name_fancy.astral_cosmicspeaker","Astronomka astralnych elfów"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Arcyskryba"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","Stylowy uczony"
"heroes.name_fancy.oriental_female_ninja","Adeptka ninja"
"heroes.name_fancy.oriental_female_templar","Roztropna generał"
"heroes.name_fancy.oriental_female_templar_costume_cute","Kreskówkowa generał"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Fajerwerkowy Generał"
"heroes.name_fancy.oriental_female_templar_costume_glass","Szklana generał"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Zabójca ceremonialny"
"heroes.name_fancy.oriental_female_templar_costume_stylish","Stylowa generał"
"heroes.name_fancy.oriental_monkey_captain","Władca małp"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Kreskówkowa małpka"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Szklana małpa"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Małpi imprezowicz"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Małpi ronin"
"heroes.name_fancy.oriental_monkey_warrior","Małpi wojownik"
"heroes.name_fancy.oriental_panda_berserker","Pnącze bambusa"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Kreskówkowa gałąź"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Korzeń bambusa"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Szklana gałąź"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","Żywy bambus"
"heroes.name_fancy.oriental_panda_scout","Listek bambusa"
"heroes.name_fancy.oriental_panda_warrior","Ostrze bambusa"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Kora bambusa"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Bambusowy kreskówkowy"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Bambusowy pojedynkowicz"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Szklany miecz"
"heroes.name_fancy.oriental_squire","Czeladnik kowalski"
"heroes.name_fancy.oriental_warrior","Piechur"
"heroes.name_fancy.oriental_warrior_king","Nieustępliwy król"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Kreskówkowa nieustępliwość"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Nieustraszony witraż"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Nieustępliwy mag"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Król Sparty"
"heroes.name_fancy.oriental_warrior_king_costume_stylish","Król stylu"
"heroes.name_fancy.outlaw_chao_gai","Niebiański Król Niosący Pagodę znad brzegu rzeki"
"heroes.name_fancy.outlaw_gu_dasao","Tygrysica znad brzegu rzeki"
"heroes.name_fancy.outlaw_hu_sanniang","Jasna Gwiazda znad brzegu rzeki"
"heroes.name_fancy.outlaw_li_kui","Żelazny Byk znad brzegu rzeki"
"heroes.name_fancy.outlaw_lin_chong","Panterogłowy znad brzegu rzeki"
"heroes.name_fancy.outlaw_liu_tang","Rudowłosy Diabeł znad brzegu rzeki"
"heroes.name_fancy.outlaw_lu_zhishen","Kwiatowy Mnich znad brzegu rzeki"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Gwiazda Zniszczenia znad brzegu rzeki"
"heroes.name_fancy.outlaw_shi_jin","Dziewięciosmoczy Tatuaż znad brzegu rzeki"
"heroes.name_fancy.outlaw_song_jiang","Powitalny Deszcz znad brzegu rzeki"
"heroes.name_fancy.outlaw_sun_erniang","Silna Gwiazda znad brzegu rzeki"
"heroes.name_fancy.outlaw_wu_song","Tygrysi Pogromca znad brzegu rzeki"
"heroes.name_fancy.outlaw_wu_yong","Gwiazda Wiedzy znad brzegu rzeki"
"heroes.name_fancy.outlaw_xiang_chong","Latająca Gwiazda znad brzegu rzeki"
"heroes.name_fancy.outlaw_zheng_tianshou","Dżentelmen o jasnej karnacji znad brzegu rzeki"
"heroes.name_fancy.owl_cennius","Ukryty szpon Sowiej Wieży"
"heroes.name_fancy.owl_eron","Minstrel Wieży Sów"
"heroes.name_fancy.owl_featherino","Niespokojny Szubrawiec Sowiej Wieży"
"heroes.name_fancy.owl_fulvia","Królowa Sowiej Wieży"
"heroes.name_fancy.owl_juliani","Sędzia Wieży Sów"
"heroes.name_fancy.owl_livia","Najwyższa Kapłanka Sowiej Wieży"
"heroes.name_fancy.owl_lodius","Berserker Wieży Sów"
"heroes.name_fancy.owl_mariol","Dworzanka Wieży Sów"
"heroes.name_fancy.owl_olbec","Alchemik Sowiej Wieży"
"heroes.name_fancy.owl_ommodus","Rozjemca Sowiej Wieży"
"heroes.name_fancy.owl_paeia","Księżniczka Sowiej Wieży"
"heroes.name_fancy.owl_pertinax","Rycerz Wieży Sów"
"heroes.name_fancy.owl_relius","Zielarz z Sowiej Wieży"
"heroes.name_fancy.owl_timius","Przedni Strażnik Sowiej Wieży"
"heroes.name_fancy.owl_verus","Dowódca zwiadowców Sowiej Wieży"
"heroes.name_fancy.pirate_anne","Przywódca Korelli"
"heroes.name_fancy.pirate_boatswain","Bosman z Korelli"
"heroes.name_fancy.pirate_cabin_boy","Chłopiec okrętowy z Korelli"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Gazeciarz z wybrzeża"
"heroes.name_fancy.pirate_commodore_finley","Komandor z Korelli"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Posępny komandor"
"heroes.name_fancy.pirate_dread_captain","Kapitan trwogi z Korelli"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Zgniły kapitan Korelii"
"heroes.name_fancy.pirate_finley","Mściwy sternik z Korelli"
"heroes.name_fancy.pirate_first_mate","Pierwszy oficer z Korelli"
"heroes.name_fancy.pirate_lady","Dama z Korelli"
"heroes.name_fancy.pirate_lady_costume_queen","Buntownicza królowa"
"heroes.name_fancy.pirate_marie_therese","Królowa voodoo z Korelli"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Złodziejka dusz"
"heroes.name_fancy.pirate_sally","Maskotka Korelli"
"heroes.name_fancy.pirate_swashbuckler","Kapitan korsarzy z Korelli"
"heroes.name_fancy.pirate_vodnik","Rybak z Korelli"
"heroes.name_fancy.rabbit_blue","Strażnik Doliny Wiosny"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Rozłamywacz"
"heroes.name_fancy.rabbit_green","Czempion Doliny Wiosny"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","łowca jajek z Doliny Wiosny"
"heroes.name_fancy.rabbit_red","Paź Doliny Wiosny"
"heroes.name_fancy.rabbit_red_costume_knight","Młody rycerz z Doliny Wiosny"
"heroes.name_fancy.rodent_embertail","Piromysz"
"heroes.name_fancy.rodent_sproutwhisker","Kleryk o ciemnym futrze"
"heroes.name_fancy.ronin_asakura_masao","Rozwścieczony ronin"
"heroes.name_fancy.ronin_kageyama_nagato","Ronin złodziej"
"heroes.name_fancy.ronin_mikanagi_miran","Demoniczny ronin"
"heroes.name_fancy.ronin_tokage_daigo","Bezlitosny ronin"
"heroes.name_fancy.ronin_yamada_jingasa","Mistrz karate"
"heroes.name_fancy.royal_female_knight","Zawzięta czempionka"
"heroes.name_fancy.royal_female_knight_costume_cute","Kreskówkowa czempionka"
"heroes.name_fancy.royal_female_knight_costume_glass","Szklany czempion"
"heroes.name_fancy.royal_female_knight_costume_prospector","Zawzięta poszukiwaczka"
"heroes.name_fancy.royal_female_knight_costume_winter","Czempion wikingów"
"heroes.name_fancy.royal_knight","Rycerski obrońca"
"heroes.name_fancy.royal_knight_commander","Dzierżyciel Szrońca"
"heroes.name_fancy.royal_knight_commander_costume_cute","Kreskówkowy Szrońca"
"heroes.name_fancy.royal_knight_commander_costume_glass","Witraż Szrońca"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Dowódca Szrońca"
"heroes.name_fancy.royal_knight_commander_costume_king","Król Szrońca"
"heroes.name_fancy.royal_knight_costume_blacksmith","Hardy kowal"
"heroes.name_fancy.royal_knight_costume_cute","Kreskówkowy rycerz"
"heroes.name_fancy.royal_knight_costume_glass","Szklany rycerz"
"heroes.name_fancy.royal_pikeman","Poważny strażnik"
"heroes.name_fancy.s2_ariel","Księżniczka z Atlantydy"
"heroes.name_fancy.s2_ariel_costume_cute","Kreskówkowa księżniczka z Atlantydy"
"heroes.name_fancy.s2_ariel_costume_enchanter","Czarodziejka z Atlantydy"
"heroes.name_fancy.s2_atlantean_robot","Stróż Atlantydy"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Krewkówkowy strażnik z Atlantydy"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Atlantejski Strażnik"
"heroes.name_fancy.s2_chameleon_bruiser","Wojownik kameleon"
"heroes.name_fancy.s2_chameleon_chief","Generał kameleon"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Mistrz świata wagi ciężkiej"
"heroes.name_fancy.s2_chameleon_mage","Szaman kameleon"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Kameleon alchemik"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Kreskówkowy szaman kameleon"
"heroes.name_fancy.s2_croc_man","Zbir z bagien"
"heroes.name_fancy.s2_cursed_samurai","Przeklęty watażka"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Żuk samuraj"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Przeklęty kreskówkowy władca"
"heroes.name_fancy.s2_demon_master","Daimyo podstępu"
"heroes.name_fancy.s2_demon_master_costume_cute","Kreskówkowy oszust"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul Oszustwa"
"heroes.name_fancy.s2_fiji_mermaid","Łowca z mielizn"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Kreskówkowy łowca"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Prześladowczyni z mielizn"
"heroes.name_fancy.s2_fox_girl","Duch o 9 ogonach"
"heroes.name_fancy.s2_fox_girl_costume_cute","Kreskówkowa o dziewięciu ogonach"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Biały duch Kitsune"
"heroes.name_fancy.s2_ghost_woman","Samotny duch"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Samotna Yurei"
"heroes.name_fancy.s2_hammerhead_hulk","Szalony rzeźnik"
"heroes.name_fancy.s2_hammerhead_hulk_costume_cute","Dziki kreskówkowy"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Dziki mistrz ostrzy"
"heroes.name_fancy.s2_junglehunter","Książę dżungli"
"heroes.name_fancy.s2_junglehunter_costume_cute","Kreskówkowy z dżungli"
"heroes.name_fancy.s2_junglehunter_costume_party","Książę Lūʻau"
"heroes.name_fancy.s2_lantern_ghost","Latarnia Yokai"
"heroes.name_fancy.s2_mercenary_woman","Wspaniały najemnik"
"heroes.name_fancy.s2_mercenary_woman_costume_cute","Znakomity kreskówkowy"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Cudowna tancerka Hula"
"heroes.name_fancy.s2_merman","Tryton z Atlantydy"
"heroes.name_fancy.s2_merman_costume_cute","Kreskówkowy tryton"
"heroes.name_fancy.s2_merman_costume_leutenant","Porucznik Atlantydy"
"heroes.name_fancy.s2_merwoman","Syrena z Atlantydy"
"heroes.name_fancy.s2_merwoman_costume_cute","Kreskówkowa syrena"
"heroes.name_fancy.s2_merwoman_costume_emissary","Emisariusz Atlantydy"
"heroes.name_fancy.s2_noble_lady","Femme fatale"
"heroes.name_fancy.s2_noble_lady_costume_cute","Kreskówkowa piękność"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Oszałamiająca piękność"
"heroes.name_fancy.s2_oceanus","Morski Tytan"
"heroes.name_fancy.s2_oceanus_costume_volcano","Magmowy tytan"
"heroes.name_fancy.s2_poseidon","Władca Atlantydy"
"heroes.name_fancy.s2_poseidon_costume_cute","Kreskówkowy władca Atlantydy"
"heroes.name_fancy.s2_poseidon_costume_slayer","Pogromca Atlantydy"
"heroes.name_fancy.s2_proteus","Mag z Atlantydy"
"heroes.name_fancy.s2_proteus_costume_cute","Kreskówkowy mag z Atlantydy"
"heroes.name_fancy.s2_proteus_costume_farseer","Jasnowidz z Atlantydy"
"heroes.name_fancy.s2_rugged_fisherman","Bitny rybak"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Bitny kreskówkowy rybak"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Zuchwały Gorzelnik"
"heroes.name_fancy.s2_skyllaros","Strażnik z Atlantydy"
"heroes.name_fancy.s2_skyllaros_costume_cute","Kreskówkowy strażnik z Atlantydy"
"heroes.name_fancy.s2_skyllaros_costume_reef","Strażnik raf"
"heroes.name_fancy.s2_straw_demon","Słomiany demon"
"heroes.name_fancy.s2_tanuki_raccoon","Śmiały oszust"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Nieustraszony kupiec"
"heroes.name_fancy.s2_tethys","Bogini Rzek"
"heroes.name_fancy.s2_tethys_costume_steel","Mścicielka Rzek"
"heroes.name_fancy.s2_triton","Kapitan z Atlantydy"
"heroes.name_fancy.s2_triton_costume_champion","Czempion z Atlantydy"
"heroes.name_fancy.s2_ursena","Imperatorka Głębin"
"heroes.name_fancy.s2_ursena_costume_cute","Kreskówkowy z Głębin"
"heroes.name_fancy.s2_ursena_costume_reef","Zabójcza królowa raf"
"heroes.name_fancy.s3_agnes","Dzielny wieśniak"
"heroes.name_fancy.s3_alfrike","Królowa Svartalfheimu"
"heroes.name_fancy.s3_alfrike_costume_hatter","Kapeluszniczka ze Svartalfheimu"
"heroes.name_fancy.s3_almur","Mroczne Ostrze z Svartalfheimu"
"heroes.name_fancy.s3_almur_costume_lord","Król Svartalfheimu"
"heroes.name_fancy.s3_anwindr","Przeklęty wikiński mięśniak"
"heroes.name_fancy.s3_baldur","Świetlisty bóg"
"heroes.name_fancy.s3_baldur_costume_fiery","Ognisty bóg"
"heroes.name_fancy.s3_bera","Księżniczka Dísir"
"heroes.name_fancy.s3_bera_costume_conjurer","Iluzjonistka Dísir"
"heroes.name_fancy.s3_bjorn","Odważny wieśniak"
"heroes.name_fancy.s3_bjorn_costume_viking","Odważny żołnierz"
"heroes.name_fancy.s3_brynhild","Tarczowniczka Walkirii"
"heroes.name_fancy.s3_by_ulf","Przeklęty wikiński siepacz"
"heroes.name_fancy.s3_ei_dunn","Przeklęta wikińska wojowniczka"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Zaciekła wikińska wojowniczka"
"heroes.name_fancy.s3_fenrir","Wódz Niflheimu"
"heroes.name_fancy.s3_fenrir_costume_guardian","Opiekun Nilfheimu"
"heroes.name_fancy.s3_freya","Pani poległych"
"heroes.name_fancy.s3_freya_costume_witch","Wiedźma poległych"
"heroes.name_fancy.s3_frigg","Bogini przepowiedni"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Bogini jasnowidzenia"
"heroes.name_fancy.s3_fura","Zatruwacz ze Svartalfheimu"
"heroes.name_fancy.s3_fura_costume_herbalist","Zielarka ze Svartalfheimu"
"heroes.name_fancy.s3_gefjon","Bogini plonów"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Bogini dziczy"
"heroes.name_fancy.s3_grevle","Przebiegły borsuk"
"heroes.name_fancy.s3_gullinbursti","Złoty dzik"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Wyswobodzony dzik"
"heroes.name_fancy.s3_heimdall","Czujny strażnik"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Przerażający strażnik"
"heroes.name_fancy.s3_jarvur","Waleczny rosomak"
"heroes.name_fancy.s3_jott","Barbarzyński lodowy gigant"
"heroes.name_fancy.s3_kvasir","Pszczelarz z Alfheim"
"heroes.name_fancy.s3_kvasir_costume_captain","Dowódca pszczół z Alfheim"
"heroes.name_fancy.s3_loki_female","Bogini oszustwa"
"heroes.name_fancy.s3_loki_female_costume_mother","Oszukańcza matka"
"heroes.name_fancy.s3_loki_fish","Oszukańcza ryba"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Dostojna ryba"
"heroes.name_fancy.s3_loki_male","Bóg oszustwa"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Zmiennokształtny bóg"
"heroes.name_fancy.s3_mireweave","Śmigły draugr"
"heroes.name_fancy.s3_mist","Dowódczyni Walkirii"
"heroes.name_fancy.s3_nordri","Lodowy Krasnolud z Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Krasnolud odkrywca z Jotunheimu"
"heroes.name_fancy.s3_norns","Prząśniczki przeznaczenia"
"heroes.name_fancy.s3_norns_costume_puppeteers","Lalkarze przeznaczenia"
"heroes.name_fancy.s3_odin","Mądry wszechojciec"
"heroes.name_fancy.s3_odin_costume_champion","Chrobry Wszechojciec"
"heroes.name_fancy.s3_ratatoskr","Posłaniec z Yggdrasil"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Architekt Yggdrasil"
"heroes.name_fancy.s3_shadereave","Brutalny draugr"
"heroes.name_fancy.s3_sif","Jasnowłosa bogini"
"heroes.name_fancy.s3_sif_costume_golden","Złocista bogini"
"heroes.name_fancy.s3_skadi","Bogini Jotunheimu"
"heroes.name_fancy.s3_skadi_costume_ravager","Opiekunka Jotunheimu"
"heroes.name_fancy.s3_stonecleave","Bezlitosny Draugr"
"heroes.name_fancy.s3_sudri","Ognisty karzeł z Muspelheim"
"heroes.name_fancy.s3_sumle","Niewyraźny ognisty olbrzym"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Nieuświęcony ognisty olbrzym"
"heroes.name_fancy.s3_thor","Bóg gromu"
"heroes.name_fancy.s3_thor_costume_conduit","Ucieleśnienie Gromu"
"heroes.name_fancy.s3_tyr","Ramię sprawiedliwości"
"heroes.name_fancy.s3_tyr_costume_savage","Dzika sprawiedliwość"
"heroes.name_fancy.s4_akkorog","Wódz Morloków"
"heroes.name_fancy.s4_akkorog_costume_football","Morlok biegacz"
"heroes.name_fancy.s4_aouda","Dobrotliwa księżniczka"
"heroes.name_fancy.s4_aouda_costume_lotus","Księżniczka lotosu"
"heroes.name_fancy.s4_captain_nemo","Tajemniczy odkrywca"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Enigmatyczny maszynista"
"heroes.name_fancy.s4_congalach","Wojownik Głębin"
"heroes.name_fancy.s4_congalach_costume_kelp","Wodorostowy wojownik"
"heroes.name_fancy.s4_doctor_moreau","Przebiegły naukowiec"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Przebiegły skryba"
"heroes.name_fancy.s4_elizabeth","Pajęcza arystokratka"
"heroes.name_fancy.s4_elizabeth_costume_bride","Weselna arystokratka"
"heroes.name_fancy.s4_exeera","Ośmioręki kapłan"
"heroes.name_fancy.s4_exeera_costume_hierophant","Ośmioręka hierofant"
"heroes.name_fancy.s4_garjammal","Mistrz walki Morloków"
"heroes.name_fancy.s4_garjammal_costume_kite","Mistrzyni latawców Morloków"
"heroes.name_fancy.s4_gramps","Starszy niziołków"
"heroes.name_fancy.s4_gramps_costume_gardener","Niziołek ogrodnik"
"heroes.name_fancy.s4_griffin","Człowiek niewidzialny"
"heroes.name_fancy.s4_griffin_costume_priest","Niewidzialny kapłan"
"heroes.name_fancy.s4_hannah","Archeolog awanturnik"
"heroes.name_fancy.s4_hannah_costume_drover","Śmiała poganiaczka bydła"
"heroes.name_fancy.s4_helo","Eloiski rybak"
"heroes.name_fancy.s4_helo_costume_baker","Eloiski piekarz"
"heroes.name_fancy.s4_hulda","Przywódczyni kretów"
"heroes.name_fancy.s4_hulda_costume_nurse","Pielęgniarka oddziałowa"
"heroes.name_fancy.s4_kravekrush","Ettin dowódca"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Ettin mistrz grilla"
"heroes.name_fancy.s4_lepiota","Przywódczyni Eloiów"
"heroes.name_fancy.s4_lepiota_costume_undying","Władczyni nieumarłych"
"heroes.name_fancy.s4_lughaidh","Król otchłani"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Nieśmiertelny król"
"heroes.name_fancy.s4_mack","Niziołek awanturnik"
"heroes.name_fancy.s4_mack_costume_novelist","Niziołek powieściopisarz"
"heroes.name_fancy.s4_morel","Eloiski łowca"
"heroes.name_fancy.s4_morel_costume_sage","Eloiski mędrzec"
"heroes.name_fancy.s4_morris","Potężny człowiek-kret"
"heroes.name_fancy.s4_morris_costume_potter","Człowiek-kret garncarz"
"heroes.name_fancy.s4_octros","Czempion ośmionogów"
"heroes.name_fancy.s4_octros_costume_suitor","Mięczak pretendent"
"heroes.name_fancy.s4_passepartout","Sprytny podróżnik"
"heroes.name_fancy.s4_passepartout_costume_artist","Elegancki artysta"
"heroes.name_fancy.s4_phileas_fogg","Dzielny podróżnik"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Kunsztowny wynalazca"
"heroes.name_fancy.s4_poppy","Niziołek z kuszą"
"heroes.name_fancy.s4_poppy_costume_lodger","Niziołka-najemczyni"
"heroes.name_fancy.s4_professor_lidenbrock","Bystra naukowczyni"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Bystra jubilerka"
"heroes.name_fancy.s4_rokkamush","Ettin łamacz"
"heroes.name_fancy.s4_rokkamush_costume_mason","Ettin murarz"
"heroes.name_fancy.s4_russula","Eloiski łotr"
"heroes.name_fancy.s4_russula_costume_painter","Eloiski malarz"
"heroes.name_fancy.s4_tettukh","Bestia Morlok"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Cheerleader murloków"
"heroes.name_fancy.s4_vollermork","Zbieracz Morloków"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlok barman"
"heroes.name_fancy.s4_xenda","Dziedziczka z Podziemia"
"heroes.name_fancy.s4_xenda_costume_flame","Dziedziczka płomienia"
"heroes.name_fancy.s4_xnolphod","Ośmioręki czarodziej"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Ośmionogi strażnik"
"heroes.name_fancy.s4_zekena","Książę wijów"
"heroes.name_fancy.s4_zekena_costume_vines","Toinowaty książę"
"heroes.name_fancy.s4_zenobia","Królowa wijów"
"heroes.name_fancy.s4_zenobia_costume_floral","Toinowata królowa"
"heroes.name_fancy.s4_zila_lei","Octropod zabójca"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Ośmionoga tancerka"
"heroes.name_fancy.s5_ahhotep","Mumia wojownik"
"heroes.name_fancy.s5_ahhotep_costume_champion","Bohaterska mumia"
"heroes.name_fancy.s5_ahmose","Mumia faraon"
"heroes.name_fancy.s5_ahmose_costume_reborn","Odrodzony faraon"
"heroes.name_fancy.s5_anubis","Bóg zaświatów"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Arbiter parkietu"
"heroes.name_fancy.s5_aqeela","Uliczny spryciarz"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Uliczny czarownik"
"heroes.name_fancy.s5_azmia","Karczmarka twarda jak skała"
"heroes.name_fancy.s5_azmia_costume_dancing","Karczmarz z tancbudy"
"heroes.name_fancy.s5_bastet","Oko księżyca"
"heroes.name_fancy.s5_bastet_costume_forest","Oko lasu"
"heroes.name_fancy.s5_bennu","Duch stworzenia"
"heroes.name_fancy.s5_bennu_costume_heron","Heron Stworzenia"
"heroes.name_fancy.s5_cleopatra","Boski faraon"
"heroes.name_fancy.s5_cleopatra_costume_feline","Kocia Faraonka"
"heroes.name_fancy.s5_el_naddaha","Syrena z rzeki"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Morska syrena"
"heroes.name_fancy.s5_eset","Dama o tysiącu imion"
"heroes.name_fancy.s5_eset_costume_goldensun","Pani Złotego Słońca"
"heroes.name_fancy.s5_faiez","Szczęśliwy rolnik"
"heroes.name_fancy.s5_faiez_costume_miner","Szczęśliwy górnik"
"heroes.name_fancy.s5_hathor","Bogini macierzyństwa"
"heroes.name_fancy.s5_hathor_costume_starlit","Gwiezdna matka"
"heroes.name_fancy.s5_hetepheres","Przebiegły Sfinks"
"heroes.name_fancy.s5_hetepheres_costume_spa","Sfinks w spa"
"heroes.name_fancy.s5_horus","Bóg łowów"
"heroes.name_fancy.s5_horus_costume_golden","Złoty łowca"
"heroes.name_fancy.s5_jarif","Zestresowany skryba"
"heroes.name_fancy.s5_jarif_costume_curator","Zestresowany kurator"
"heroes.name_fancy.s5_junaid","Zaprzysiężony żołnierz"
"heroes.name_fancy.s5_junaid_costume_champion","Zaprzysiężony bohater"
"heroes.name_fancy.s5_khafre","Bystry Androsfinks"
"heroes.name_fancy.s5_khafre_costume_aquatic","Akwatyczny Androsfinks"
"heroes.name_fancy.s5_khepri","Bóg skarabeuszy"
"heroes.name_fancy.s5_khepri_costume_overlord","Władca skarabeuszy"
"heroes.name_fancy.s5_khonshu","Bóg Księżyca"
"heroes.name_fancy.s5_khonshu_costume_knight","Księżycowy rycerz"
"heroes.name_fancy.s5_maat","Pani harmonii"
"heroes.name_fancy.s5_maat_costume_river","Pani Iteru"
"heroes.name_fancy.s5_meresankh","Sfinks Słońca"
"heroes.name_fancy.s5_meresankh_costume_disco","Dyskotekowy sfinks"
"heroes.name_fancy.s5_papyros","Golem z papieru i piasku"
"heroes.name_fancy.s5_papyros_costume_colossus","Kolos z papieru i piasku"
"heroes.name_fancy.s5_ptolemy","Starszy faraon"
"heroes.name_fancy.s5_ptolemy_costume_log","Starsza kłoda"
"heroes.name_fancy.s5_rekhetre","Młody Sfinks"
"heroes.name_fancy.s5_rekhetre_costume_artist","Młoda artystka"
"heroes.name_fancy.s5_scoratek","Skarabeusz Strażnik"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Strażnik skarabeusz"
"heroes.name_fancy.s5_sekhmet","Oko Słońca"
"heroes.name_fancy.s5_sekhmet_costume_warden","Strażnik słońca"
"heroes.name_fancy.s5_set","Mroczny uzurpator"
"heroes.name_fancy.s5_set_costume_tyrant","Mroczy tyran"
"heroes.name_fancy.s5_sneferu","Sfinks Księżyca"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Księżycowy pogromca"
"heroes.name_fancy.s5_sobek","Bóg rzeki"
"heroes.name_fancy.s5_sobek_costume_guardian","Strażnik rzeki"
"heroes.name_fancy.s5_tetisheri","Mumia Królowa"
"heroes.name_fancy.s5_tetisheri_costume_molten","Roztopiona Królowa"
"heroes.name_fancy.s5_waqas","Tarcza faraona"
"heroes.name_fancy.s5_waqas_costume_blade","Ostrze faraona"
"heroes.name_fancy.sand_horse","Wierny rumak Piaskowego Imperium"
"heroes.name_fancy.sand_king","Król z Piaskowego Imperium"
"heroes.name_fancy.sand_king_costume_lifeguard","Król ratowników"
"heroes.name_fancy.sand_queen","Królowa z Piaskowego Imperium"
"heroes.name_fancy.sand_queen_costume_surfer","Królowa surferów"
"heroes.name_fancy.sand_roc","Obrońca Piaskowego Imperium"
"heroes.name_fancy.sand_roc_costume_juice","Obrońca plaży"
"heroes.name_fancy.sand_soldier","Żołnierz z Piaskowego Imperium"
"heroes.name_fancy.sand_tower","Brutal z Piaskowego Imperium"
"heroes.name_fancy.sand_vizier","Wezyr z Piaskowego Imperium"
"heroes.name_fancy.scoundrel_duval","Podstępny strzelec"
"heroes.name_fancy.scoundrel_lane","Uliczny bandyta"
"heroes.name_fancy.shadow_abigail","Dziennikarka śledcza"
"heroes.name_fancy.shadow_asketel","Poszukiwacz zaginionej wiedzy"
"heroes.name_fancy.shadow_atwood","Urzeczony nieznanym"
"heroes.name_fancy.shadow_burton","Badacz homunkulusów"
"heroes.name_fancy.shadow_cthuwu","Pomiot przedwiecznych"
"heroes.name_fancy.shadow_dolores","Nierozważna prywatna detektywka"
"heroes.name_fancy.shadow_gwendoline","Fanatyczna archeolożka"
"heroes.name_fancy.shadow_hunter","Potomek przedwiecznych"
"heroes.name_fancy.shadow_hysteria","Kolekcjonerka mistycznych artefaktów"
