"herocard.passive_skill.description.addmana.all.allies","Todos los aliados obtienen una pequeña cantidad de maná."
"herocard.passive_skill.title.revivewithchance","Revivir"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Tempo rápido: Balada"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Tempo rápido: Danza"
"herocard.passive_skill.title.sharereceiveddamage","Comparte el daño recibido"
"herocard.passive_skill.title.short.generic","Pasiva"
"herocard.passive_skill.title.short.league","Ventaja"
"herocard.passive_skill.title.short.league.non_featured","Desventaja"
"herocard.passive_skill.title.short.trait","Rasgo"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Máscara elemental"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Maestría con tropas"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Maestría con tropas"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Escudos mejorados con habilidad especial"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Escudos mejorados con habilidad especial"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Escudos mejorados con habilidad especial"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Escudos mejorados con habilidad especial"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Escudos mejorados con habilidad especial"
"herocard.passive_skill.title.specialdamagereduction","Reducción del daño de habilidad especial"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Reducción del daño de habilidad especial"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Comienza la batalla con maná"
"herocard.passive_skill.title.statmodifier.attack","Ferocidad"
"herocard.passive_skill.title.statmodifier.defense","Caparazón"
"herocard.passive_skill.title.statmodifier.health","Resiliencia"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Aumento de los efectos de estado de ataque"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Reducción de las alteraciones de ataque"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Reducción de las alteraciones de ataque"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Aumento de los efectos de estado de ataque"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Reducción de las alteraciones de ataque"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Aumento de los efectos de estado de defensa"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Reducción de las alteraciones de defensa"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Reducción de las alteraciones de defensa"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Aumento de los efectos de estado de defensa"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Reducción de las alteraciones de defensa"
"herocard.passive_skill.title.statuseffectdurationmodifier","Aumento de la duración de las bendiciones"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Reducción de la duración de las alteraciones"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Reducción de la duración de las alteraciones de defensa"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Aumento de la duración de las bendiciones"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Copia alteración con purificación"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Vigor de cazador"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Marca de cazatitanes"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Piel suave de gárgola"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Piel de piedra de gárgola"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Bendición de regeneración de maná con alteraciones"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Máscara elemental"
"herocard.passive_skill.title.stylish","¡Con estilo!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Invoca un brote"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Invoca un brote"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Invoca un brote"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Invoca un brote"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Invoca un brote"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Invoca un brote"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Secuaz viscoso con derrota"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Secuaz viscoso con derrota"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Secuaz viscoso con derrota"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Secuaz viscoso con derrota"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Secuaz viscoso con derrota"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","División de secuaz viscoso"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","División de secuaz viscoso"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","División de secuaz viscoso"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","División de secuaz viscoso"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","División de secuaz viscoso"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Invocación con quemadura"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Invocación con daño con el tiempo"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Invocación de secuaz con alteración de defensa"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Invoca un gorrión"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Invoca un retoño maldito"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Invoca un brote"
"herocard.passive_skill.title.targetstatedependenteffectonspecial.healthboost.checkstate.all.allies.dance","Bailarín grácil"
"herocard.passive_skill.title.taunt","Ignora la burla"
"herocard.passive_skill.title.titan_dread_damage_minions","Temible"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Temible"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Temible"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Temible"
"herocard.passive_skill.title.titan_resist_15","Titán"
"herocard.passive_skill.title.titan_resist_16","Titán"
"herocard.passive_skill.title.titan_resist_17","Titán"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Caricatura"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Transformar bendiciones"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transformar bendiciones"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transformar alteraciones"
"herocard.passive_skill.title.wither.all.enemies","Merma"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Invoca un [#!]demonio brote maldito[#] para un enemigo aleatorio en cada turno.
[*] El [#!]demonio brote maldito[#] se convierte en [#!]demonio retoño[#] pasados {EVOLVINGFAMILIAR1EVOLVETURNS} turnos.
[*] El [#!]demonio retoño[#] se convierte en [#!]megademonio flor[#] pasados {EVOLVINGFAMILIAR2EVOLVETURNS} turnos.
[*] La evolución de los demonios se retrasa {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} turno cada vez que absorben curación.

[#!]Demonio brote maldito[#]:
[#!]{EVOLVINGFAMILIAR1FAMILIARATTACK} %[#] de ataque y [#!]{EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} %[#] de vitalidad.

[#!]Demonio retoño[#]:
[#!]{EVOLVINGFAMILIAR2FAMILIARATTACK} %[#] de ataque y [#!]{EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} %[#] de vitalidad.

[#!]Megademonio flor[#]:
[#!]{EVOLVINGFAMILIAR3FAMILIARATTACK} %[#] de ataque y [#!]{EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} %[#] de vitalidad."
