"heroes.name_fancy.astral_cosmicspeaker","Astral Elf Astronomer"
"heroes.name_fancy.s3_loki_female_costume_mother","Trickster Mother"
"heroes.name_fancy.s3_loki_fish","Trickster Fish"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Dapper Fish"
"heroes.name_fancy.s3_loki_male","Trickster God"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Shapeshifter God"
"heroes.name_fancy.s3_mireweave","Swift Draugr"
"heroes.name_fancy.s3_mist","Commander of Valkyries"
"heroes.name_fancy.s3_nordri","Ice Dwarf of Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Explorer Dwarf of Jotunheim"
"heroes.name_fancy.s3_norns","Weavers of Destiny"
"heroes.name_fancy.s3_norns_costume_puppeteers","Puppeteers of Destiny"
"heroes.name_fancy.s3_odin","Wise All-Father"
"heroes.name_fancy.s3_odin_costume_champion","Valiant All-Father"
"heroes.name_fancy.s3_ratatoskr","Messenger of Yggdrasil"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Architect of Yggdrasil"
"heroes.name_fancy.s3_shadereave","Brutish Draugr"
"heroes.name_fancy.s3_sif","Fair-Haired Deity"
"heroes.name_fancy.s3_sif_costume_golden","Golden Deity"
"heroes.name_fancy.s3_skadi","Goddess of Jotunheim"
"heroes.name_fancy.s3_skadi_costume_ravager","Guardian of Jotunheim"
"heroes.name_fancy.s3_stonecleave","Relentless Draugr"
"heroes.name_fancy.s3_sudri","Fire Dwarf of Muspelheim"
"heroes.name_fancy.s3_sumle","Burly Fire Giant"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Unhallowed Fire Giant"
"heroes.name_fancy.s3_thor","God of Thunder"
"heroes.name_fancy.s3_thor_costume_conduit","Conduit of Thunder"
"heroes.name_fancy.s3_tyr","Relentless Justice"
"heroes.name_fancy.s3_tyr_costume_savage","Savage Justice"
"heroes.name_fancy.s4_akkorog","Morlock Chieftain"
"heroes.name_fancy.s4_akkorog_costume_football","Morlock Running Back"
"heroes.name_fancy.s4_aouda","Kind-hearted Princess"
"heroes.name_fancy.s4_aouda_costume_lotus","Lotus Princess"
"heroes.name_fancy.s4_captain_nemo","Enigmatic Explorer"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Enigmatic Machinist"
"heroes.name_fancy.s4_congalach","Warrior of the Depths"
"heroes.name_fancy.s4_congalach_costume_kelp","Warrior of Kelp"
"heroes.name_fancy.s4_doctor_moreau","Devious Scientist"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Devious Scribe"
"heroes.name_fancy.s4_elizabeth","Arachnid Aristocrat"
"heroes.name_fancy.s4_elizabeth_costume_bride","Bridal Aristocrat"
"heroes.name_fancy.s4_exeera","Octopod Priest"
"heroes.name_fancy.s4_exeera_costume_hierophant","Octopod Hierophant"
"heroes.name_fancy.s4_garjammal","Morlock Battle Master"
"heroes.name_fancy.s4_garjammal_costume_kite","Morlock Kite Master"
"heroes.name_fancy.s4_gramps","Halfling Elder"
"heroes.name_fancy.s4_gramps_costume_gardener","Halfling Gardener"
"heroes.name_fancy.s4_griffin","Invisible Man"
"heroes.name_fancy.s4_griffin_costume_priest","Invisible Priest"
"heroes.name_fancy.s4_hannah","Adventurous Archaeologist"
"heroes.name_fancy.s4_hannah_costume_drover","Adventurous Drover"
"heroes.name_fancy.s4_helo","Eloi Fisherman"
"heroes.name_fancy.s4_helo_costume_baker","Eloi Baker"
"heroes.name_fancy.s4_hulda","Head of the Moles"
"heroes.name_fancy.s4_hulda_costume_nurse","Head Nurse"
"heroes.name_fancy.s4_kravekrush","Ettin Commander"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Ettin Grillmaster"
"heroes.name_fancy.s4_lepiota","Leader of the Eloi"
"heroes.name_fancy.s4_lepiota_costume_undying","Leader of the Undying"
"heroes.name_fancy.s4_lughaidh","King of the Depths"
"heroes.name_fancy.s4_lughaidh_costume_deathless","The Deathless King"
"heroes.name_fancy.s4_mack","Halfling Adventurer"
"heroes.name_fancy.s4_mack_costume_novelist","Halfling Novelist"
"heroes.name_fancy.s4_morel","Eloi Hunter"
"heroes.name_fancy.s4_morel_costume_sage","Eloi Sage"
"heroes.name_fancy.s4_morris","Mighty Moleman"
"heroes.name_fancy.s4_morris_costume_potter","Moleman  Potter"
"heroes.name_fancy.s4_octros","Octopod Champion"
"heroes.name_fancy.s4_octros_costume_suitor","Molluscan Suitor"
"heroes.name_fancy.s4_passepartout","Clever Voyager"
"heroes.name_fancy.s4_passepartout_costume_artist","Elegant Artist"
"heroes.name_fancy.s4_phileas_fogg","Courageous Voyager"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Exquisite Engineer"
"heroes.name_fancy.s4_poppy","Halfling Arbalist"
"heroes.name_fancy.s4_poppy_costume_lodger","Halfling Lodger"
"heroes.name_fancy.s4_professor_lidenbrock","Sagacious Scientist"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Sagacious Jeweler"
"heroes.name_fancy.s4_rokkamush","Ettin Smasher"
"heroes.name_fancy.s4_rokkamush_costume_mason","Ettin Mason"
"heroes.name_fancy.s4_russula","Eloi Rogue"
"heroes.name_fancy.s4_russula_costume_painter","Eloi Painter"
"heroes.name_fancy.s4_tettukh","Morlock Brute"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Morlock Cheerleader"
"heroes.name_fancy.s4_vollermork","Morlock Hoarder"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlock Bartender"
"heroes.name_fancy.s4_xenda","Heiress of the Underworld"
"heroes.name_fancy.s4_xenda_costume_flame","Heiress to the Flame"
"heroes.name_fancy.s4_xnolphod","Octopod Sorcerer"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Octopod Jailer"
"heroes.name_fancy.s4_zekena","Myriapod Prince"
"heroes.name_fancy.s4_zekena_costume_vines","Apocynacid Prince"
"heroes.name_fancy.s4_zenobia","Myriapod Queen"
"heroes.name_fancy.s4_zenobia_costume_floral","Apocynacid Queen"
"heroes.name_fancy.s4_zila_lei","Octropod Assassin"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Octopod Dancer"
"heroes.name_fancy.s5_ahhotep","Mummy Warrior"
"heroes.name_fancy.s5_ahhotep_costume_champion","Mummy Champion"
"heroes.name_fancy.s5_ahmose","Mummy Pharaoh"
"heroes.name_fancy.s5_ahmose_costume_reborn","Pharaoh Reborn"
"heroes.name_fancy.s5_anubis","God of the Afterlife"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Arbiter of the Dancefloor"
"heroes.name_fancy.s5_aqeela","Street-Smart Urchin"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Street-Smart Sorcerer"
"heroes.name_fancy.s5_azmia","Tough-as-Nails Tavern Keeper"
"heroes.name_fancy.s5_azmia_costume_dancing","Dancing Tavern Keeper"
"heroes.name_fancy.s5_bastet","Eye of the Moon"
"heroes.name_fancy.s5_bastet_costume_forest","Eye of the Forest"
"heroes.name_fancy.s5_bennu","Spirit of Creation"
"heroes.name_fancy.s5_bennu_costume_heron","Heron of Creation"
"heroes.name_fancy.s5_cleopatra","Divine Pharaoh"
"heroes.name_fancy.s5_cleopatra_costume_feline","Feline Pharaoh"
"heroes.name_fancy.s5_el_naddaha","Siren of the River"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Siren of the Sea"
"heroes.name_fancy.s5_eset","Lady of Ten Thousand Names"
"heroes.name_fancy.s5_eset_costume_goldensun","Lady of the Golden Sun"
"heroes.name_fancy.s5_faiez","Fortuitous Farmer"
"heroes.name_fancy.s5_faiez_costume_miner","Fortuitous Miner"
"heroes.name_fancy.s5_hathor","Goddess of Motherhood"
"heroes.name_fancy.s5_hathor_costume_starlit","Starlit Mother"
"heroes.name_fancy.s5_hetepheres","Cunning Sphinx"
"heroes.name_fancy.s5_hetepheres_costume_spa","Sphinx at the Spa"
"heroes.name_fancy.s5_horus","God of the Hunt"
"heroes.name_fancy.s5_horus_costume_golden","Golden Hunter"
"heroes.name_fancy.s5_jarif","Stressed-Out Scribe"
"heroes.name_fancy.s5_jarif_costume_curator","Stressed-Out Curator"
"heroes.name_fancy.s5_junaid","Sworn Soldier"
"heroes.name_fancy.s5_junaid_costume_champion","Sworn Champion"
"heroes.name_fancy.s5_khafre","Acute Androsphinx"
"heroes.name_fancy.s5_khafre_costume_aquatic","Aquatic Androsphinx"
"heroes.name_fancy.s5_khepri","Scarab God"
"heroes.name_fancy.s5_khepri_costume_overlord","Scarab Overlord"
"heroes.name_fancy.s5_khonshu","God of the Moon"
"heroes.name_fancy.s5_khonshu_costume_knight","Knight of the Moon"
"heroes.name_fancy.s5_maat","Lady of Harmony"
"heroes.name_fancy.s5_maat_costume_river","Lady of the Iteru"
"heroes.name_fancy.s5_meresankh","Sphinx of the Sun"
"heroes.name_fancy.s5_meresankh_costume_disco","Sphinx of the Disco"
"heroes.name_fancy.s5_papyros","Golem of Paper and Sand"
"heroes.name_fancy.s5_papyros_costume_colossus","Colossus of Paper and Sand"
"heroes.name_fancy.s5_ptolemy","Elder Pharaoh"
"heroes.name_fancy.s5_ptolemy_costume_log","Elder Log"
"heroes.name_fancy.s5_rekhetre","Young Sphinx"
"heroes.name_fancy.s5_rekhetre_costume_artist","Young Artist"
"heroes.name_fancy.s5_scoratek","Scarab Guard"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Scarab Sentinel"
"heroes.name_fancy.s5_sekhmet","Eye of the Sun"
"heroes.name_fancy.s5_sekhmet_costume_warden","Warden of the Sun"
"heroes.name_fancy.s5_set","Dark Usurper"
"heroes.name_fancy.s5_set_costume_tyrant","Dark Tyrant"
"heroes.name_fancy.s5_sneferu","Sphinx of the Moon"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Vanquisher of the Moon"
"heroes.name_fancy.s5_sobek","God of the River"
"heroes.name_fancy.s5_sobek_costume_guardian","Guardian of the River"
"heroes.name_fancy.s5_tetisheri","Mummy Queen"
"heroes.name_fancy.s5_tetisheri_costume_molten","Molten Queen"
"heroes.name_fancy.s5_waqas","Pharaoh's Shield"
"heroes.name_fancy.s5_waqas_costume_blade","Pharaoh's Blade"
"heroes.name_fancy.sand_horse","Trusted Steed of Sand Empire"
"heroes.name_fancy.sand_king","King of Sand Empire"
"heroes.name_fancy.sand_king_costume_lifeguard","King of Lifeguards"
"heroes.name_fancy.sand_queen","Queen of Sand Empire"
"heroes.name_fancy.sand_queen_costume_surfer","Surfer Queen"
"heroes.name_fancy.sand_roc","Protector of Sand Empire"
"heroes.name_fancy.sand_roc_costume_juice","Protector of the Beach"
"heroes.name_fancy.sand_soldier","Soldier of Sand Empire"
"heroes.name_fancy.sand_tower","Brute of Sand Empire"
"heroes.name_fancy.sand_vizier","Vizier of Sand Empire"
"heroes.name_fancy.shadow_abigail","Investigative Journalist"
"heroes.name_fancy.shadow_asketel","Seeker of Lost Knowledge"
"heroes.name_fancy.shadow_atwood","Captivated by the Unknown"
"heroes.name_fancy.shadow_burton","Homunculus Investigator"
"heroes.name_fancy.shadow_cthuwu","Spawn of the Old Ones"
"heroes.name_fancy.shadow_dolores","Reckless Private Investigator"
"heroes.name_fancy.shadow_gwendoline","Fanatical Archaeologist"
"heroes.name_fancy.shadow_hunter","Descendant of the Old Ones"
"heroes.name_fancy.shadow_hysteria","Collector of Mystical Artifacts"
"heroes.name_fancy.shadow_melancholia","Acolyte of the Old Ones"
"heroes.name_fancy.shadow_omen","Hallowed by the Devil Reef"
"heroes.name_fancy.shadow_penelope","Fierce Ex-Librarian"
"heroes.name_fancy.shadow_rashan","Hulu-Metal User"
"heroes.name_fancy.shadow_rosanna","Trueshot"
"heroes.name_fancy.shadow_salvatore","Twisted Medium"
"heroes.name_fancy.shadow_shoggo","Shapeshifting Guide"
"heroes.name_fancy.shadow_wulfstan","Eldritch Ammunition Artisan"
"heroes.name_fancy.shadow_zavinia","Hybrid of the Deep"
"heroes.name_fancy.slayer_aodhan","The Burning"
"heroes.name_fancy.slayer_caitlin","The Enlightened"
"heroes.name_fancy.slayer_caitlin_costume_crusader","The Justicar Crusader"
"heroes.name_fancy.slayer_cathal","The Bravehearted"
"heroes.name_fancy.slayer_cillian","The Undying"
"heroes.name_fancy.slayer_maeve","The Unseen"
"heroes.name_fancy.slayer_noril","The Fierce"
"heroes.name_fancy.slayer_orla","The Worthy"
"heroes.name_fancy.slayer_rian","The Steadfast"
"heroes.name_fancy.slayer_saoirse","The Untamable"
"heroes.name_fancy.slayer_saoirse_costume_knight","The Vanquisher"
"heroes.name_fancy.slayer_senan","The Accursed"
"heroes.name_fancy.slayer_senan_costume_tentacles","The Cephaloid Servant"
"heroes.name_fancy.slime_charmione","Charming Theater Goo"
"heroes.name_fancy.slime_choozen","Shy Chest Slime"
"heroes.name_fancy.slime_fruitio","Fruit Loving Slime"
"heroes.name_fancy.slime_fungustine","Rejuvenating Forest Slime"
"heroes.name_fancy.slime_gloozmer","Gentle Trickster Slime"
"heroes.name_fancy.slime_goldrip","Golden Slime King"
"heroes.name_fancy.slime_gooldron","Nerdy Cauldron Slime"
"heroes.name_fancy.slime_goorian","Barbaric Sludge"
"heroes.name_fancy.slime_gooric","Wise Sanctuary Goo"
"heroes.name_fancy.slime_gooze","Escaped Alchemy lab Goo"
"heroes.name_fancy.slime_gunktus","Relentless Battle Blob"
"heroes.name_fancy.slime_harubo","Patrolling Slime"
"heroes.name_fancy.slime_knightus","Chivalric Temple Slime"
"heroes.name_fancy.slime_labblub","Curious Scientist Slime"
"heroes.name_fancy.slime_magistine","Spell Weaving Slime"
"heroes.name_fancy.slime_mucktus","Fiendish Forest Blob"
"heroes.name_fancy.slime_slaymire","Stubborn Slime Executor"
"heroes.name_fancy.slime_slimgo","Sneaky Rogue Slime"
"heroes.name_fancy.slime_sliposi","Slippery Courier Slime"
"heroes.name_fancy.slime_sludgus","Singing Tavern Slime"
"heroes.name_fancy.slime_verdigoo","Gooey Emerald Arbiter"
"heroes.name_fancy.slime_zestique","Sweet Blushing Slime"
"heroes.name_fancy.styx_amphitrite","Goddess of the Sea"
"heroes.name_fancy.styx_arges","Potion Merchant Cyclops"
"heroes.name_fancy.styx_brontes","Farmer Cyclops"
"heroes.name_fancy.styx_charon","Ferryman of Styx"
"heroes.name_fancy.styx_dante","Adventurer of the Underworld"
"heroes.name_fancy.styx_erebus","God of Deep Darkness"
"heroes.name_fancy.styx_hypnos","Master of Sleep"
"heroes.name_fancy.styx_nemesis","Goddess of Divine Retribution"
"heroes.name_fancy.styx_nyx","Mother Night"
"heroes.name_fancy.styx_steropes","Artist Cyclops"
"heroes.name_fancy.styx_thanatos","God of Peaceful Demise"
"heroes.name_fancy.styx_virgil","Guide to the Underworld"
"heroes.name_fancy.tales1_aqualith","Elemental Hoplite"
"heroes.name_fancy.tales1_aqualith_costume_purple","Elemental Colossus"
"heroes.name_fancy.tales1_atlanteia","Glacial Nereid of the Deep"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Glacial Siren of the Deep"
"heroes.name_fancy.tales1_bagreg","Fishman Skirmish Leader"
"heroes.name_fancy.tales1_bagreg_costume_scout","Fishboy Scout"
"heroes.name_fancy.tales1_ceto","Primordial Goddess of Sea Monsters"
"heroes.name_fancy.tales1_ceto_costume_queen","Primordial Queen of Sea Monsters"
"heroes.name_fancy.tales1_domiventus","The Eternal Hadal Being"
"heroes.name_fancy.tales1_domiventus_costume_supreme","The Supreme Hadal Being"
"heroes.name_fancy.tales1_ephyra","Nereid Princess"
"heroes.name_fancy.tales1_ephyra_costume_reef","Princess of the Reef"
"heroes.name_fancy.tales1_galapago","Wise Sage of the Oceans"
"heroes.name_fancy.tales1_galapago_costume_quarry","Wise Roller of the Quarry"
"heroes.name_fancy.tales1_gelert","Treasure Hunter of the Deep"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Scavenger of the Deep"
"heroes.name_fancy.tales1_gestalt","Prince of the Eternal Deep"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Prince of the Eternal Pearls"
"heroes.name_fancy.tales1_jaco","Dodgy Merchant of the Deep"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Dodgy Alchemist of the Deep"
"heroes.name_fancy.tales1_lasalle","Flamboyant Hussar of Atlantis"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Flamboyant Jockey of Atlantis"
"heroes.name_fancy.tales1_medea","Naga Queen of the Deep"
"heroes.name_fancy.tales1_medea_costume_goddess","Naga Goddess of the Deep"
"heroes.name_fancy.tales1_mulgog","Fishman Marauder"
"heroes.name_fancy.tales1_mulgog_costume_bard","Fishman Bard"
"heroes.name_fancy.tales1_persa","Water Spirit of Plunder"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Jellyfish Noble"
"heroes.name_fancy.tales1_phorcys","Primordial God of the Depths"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Warrior God of the Depths"
"heroes.name_fancy.tales1_sharkhai","Great Betrayer"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Jagged Butcher"
"heroes.name_fancy.tales1_spartoi","Naga Berserker"
"heroes.name_fancy.tales1_spartoi_costume_guard","Naga Guard"
"heroes.name_fancy.tales1_thalassa","Primordial Goddess of the Oceans"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Primordial Goddess of the Crystals"
"heroes.name_fancy.tales1_ultrox","Temple Keeper of the Deep"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Siphoner of the Deep"
"heroes.name_fancy.tales2_aethslegaur","Dwarven Fire Seeker"
"heroes.name_fancy.tales2_andvari","Dwarven Oracle"
"heroes.name_fancy.tales2_bragi","Dwarven Prizefighter"
"heroes.name_fancy.tales2_bryggvir","Dwarven Goat Rider"
"heroes.name_fancy.tales2_dagr","Dwarven Mountain Shaman"
"heroes.name_fancy.tales2_dain","Dwarven Siegemaster"
"heroes.name_fancy.tales2_dularfulr","Dwarven Dark Seer"
"heroes.name_fancy.tales2_fafnir","Dwarven Lord of Myrkheim"
"heroes.name_fancy.tales2_fimafeng","Dwarven Survivalist"
"heroes.name_fancy.tales2_fjalar","Dwarven Golden Skald"
"heroes.name_fancy.tales2_gandr","Dwarven Wind Warrior"
"heroes.name_fancy.tales2_helgi","Dwarven Rage Runner"
"heroes.name_fancy.tales2_hogne","Dwarven Great Knight"
"heroes.name_fancy.tales2_hreidmarr","Dwarven Mountain King"
"heroes.name_fancy.tales2_motsognir","Dwarven Frontier Wildman"
"heroes.name_fancy.tales2_ott","Dwarven Merry Trickster"
"heroes.name_fancy.tales2_regin","Dwarven Fabled Prince"
"heroes.name_fancy.tales2_snorri","Dwarven Storyteller"
"heroes.name_fancy.tales2_svafa","Dwarven Big Game Hunter"
"heroes.name_fancy.tales2_thrivaldi","Dwarven Frost Seeker"
"heroes.name_fancy.trainer","Sword for Hire"
"heroes.name_fancy.tribal_chief","Chief of Tribes"
"heroes.name_fancy.tribal_chief_costume_conqueror","Avenger of Tribes"
"heroes.name_fancy.tribal_chief_costume_cute","Chief of Toons"
"heroes.name_fancy.tribal_chief_costume_glass","Chief of Vitrails"
"heroes.name_fancy.tribal_chief_costume_leopard","Chief of Leopards"
"heroes.name_fancy.undead_captain_warrior","Deathbound Lord"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Deathbound Toon"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Deathbound Vitrail"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Deathless Prince"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Deathbound Reveller"
"heroes.name_fancy.undead_female_warrior","Deathbound Lady"
"heroes.name_fancy.undead_female_warrior_costume_cute","Deathless Toon"
"heroes.name_fancy.undead_female_warrior_costume_glass","Deathbound Vitrail"
"heroes.name_fancy.undead_female_warrior_costume_princess","Deathless Princess"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Deathbound Princess"
"heroes.name_fancy.undead_horned_skeleton","Relentless Remnant"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Relentless Toon"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Jester Remnant"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Relentless Vitrail"
"heroes.name_fancy.undead_running_skeleton","Solemn Remnant"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Solemn Toon"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Glass Remnant"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Roman Remnant"
"heroes.name_fancy.undead_screaming_zombie","Shambling Remnant"
"heroes.name_fancy.underworld_champion","Praetorian Bodyguard"
"heroes.name_fancy.underworld_champion_costume_champion","Praetorian Gladiator"
"heroes.name_fancy.underworld_champion_costume_cute","Praetorian Toon"
"heroes.name_fancy.underworld_champion_costume_glass","Praetorian Vitrail"
"heroes.name_fancy.underworld_champion_costume_vampire","Praetorian Vampire"
"heroes.name_fancy.valentines_anteros","Cupid of Love Returned"
"heroes.name_fancy.valentines_cupido","Cupid of Affection"
"heroes.name_fancy.valentines_elba","Stalwart Protector of Love"
"heroes.name_fancy.valentines_eros","Cupid of Desire"
"heroes.name_fancy.valentines_himeros","Cupid of Unrequited Love"
"heroes.name_fancy.valentines_kabeiroi","Love-struck Gearhead"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Orcish Dating Consultant"
"heroes.name_fancy.valentines_phthonus","Cupid of Envy"
"heroes.name_fancy.valentines_voluptas","Cupid of Delights"
"heroes.name_fancy.valentines_zarola","Cupid of Heartbreakers"
"heroes.name_fancy.vampire_king","Vampire King"
"heroes.name_fancy.vampire_king_costume_mafia","King of Crime"
"heroes.name_fancy.vampire_lord","Vampire Henchman"
"heroes.name_fancy.vampire_queen","Child of Night"
"heroes.name_fancy.vegetable_bartholomew","Bell Pepper Barbarian"
"heroes.name_fancy.vegetable_elsbeth","Beetroot Knight"
"heroes.name_fancy.villain_asterius","Monstrous Minotaur"
"heroes.name_fancy.villain_crystalis","Crystal Empress"
"heroes.name_fancy.villain_dark_lord","Bane of Karemdol"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Astronomer of Karemdol"
"heroes.name_fancy.villain_edd","Thick-Headed Thug"
"heroes.name_fancy.villain_ingolf","Doomed Hersir"
"heroes.name_fancy.villain_isrod","Doomed Jarl"
"heroes.name_fancy.villain_karnov","Champion Bruiser"
"heroes.name_fancy.villain_karnov_costume_jammies","Bedtime Bruiser"
"heroes.name_fancy.villain_sanngrior","Fallen Valkyrie"
"heroes.name_fancy.villain_skrekok","Ratman Scoundrel"
"heroes.name_fancy.villain_toxicandra","Sovereign of Cerbera"
"heroes.name_fancy.villain_toxicandra_costume_rose","Sovereign of Flora"
"heroes.name_fancy.wild_cat_ferni","Adventurous Rainforest Cat"
"heroes.name_fancy.wild_cat_imagus","Fluffy Constellationist"
"heroes.name_fancy.wild_cat_lennart","Sharp-Eyed Bobcat"
"heroes.name_fancy.wild_cat_leonie","Leor Survivor"
"heroes.name_fancy.wild_cat_marnes","Flank-Stabbing Panther"
"heroes.name_fancy.wild_cat_rajesh","Gourmand Tigris Chief"
"heroes.name_fancy.wild_cat_stravia","Messenger of the Chentari"
"heroes.name_fancy.wild_cat_thaffer","Tabby Safecracker"
"heroes.name_fancy.wild_cat_tunes","Mountain Cat Musician"
"heroes.name_fancy.wild_cat_vernix","Snow Leopard Magus"
"heroes.name_fancy.witch_king","Master of Crypts"
"heroes.name_fancy.witch_king_costume_cosmic","Cosmic Conjurer"
"heroes.name_fancy.wonderland_alice","Adventurer of Wonderland"
"heroes.name_fancy.wonderland_alice_costume_warping","Croquet Princess of Wonderland"
"heroes.name_fancy.wonderland_bear","Beast of Wonderland"
"heroes.name_fancy.wonderland_captain","Knave of Wonderland"
"heroes.name_fancy.wonderland_cheshire_cat","Mischievous Kitty Cat"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Malicious Kitty Cat"
"heroes.name_fancy.wonderland_hatter","Riddler of Wonderland"
"heroes.name_fancy.wonderland_hatter_costume_tea","Tea Connoisseur of Wonderland"
"heroes.name_fancy.wonderland_jabberwocky","Horror of Wonderland"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Jabbermoth"
"heroes.name_fancy.wonderland_knave_of_hearts","Thief of Wonderland"
"heroes.name_fancy.wonderland_phoenicus","Intellect of Wonderland"
"heroes.name_fancy.wonderland_queen","Monarch of Wonderland"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Benefactor of Wonderland"
"heroes.name_fancy.wonderland_tweedles","Twins of Wonderland"
"heroes.name_fancy.wonderland_white_rabbit","Guide of Wonderland"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Mask of Madness"
