"herocard.passive_skill.description.addmana.all.allies","Tutti gli alleati guadagnano una piccola quantità di mana."
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Vantaggio di lega"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Ostacola il mana"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana per morte del servitore"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana dai disturbi"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Memorizza servitori e demoni nemici"
"herocard.passive_skill.title.memorizestatuseffects","Memorizza disturbi"
"herocard.passive_skill.title.mimic_dread_damage_minions","Timore"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Bottino Mimic"
"herocard.passive_skill.title.nevermissspecial","Precisione perfetta"
"herocard.passive_skill.title.ransack","Occasione del ladro"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Ruba magia benefica"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Senso del cacciatore"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Maestria delle truppe"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Aumento danni di Palla di fuoco potenziato"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Ingannare la morte"
"herocard.passive_skill.title.remove_growth_from_enemies","Raduno delle guardie"
"herocard.passive_skill.title.remove_wither_from_allies","Raduno delle guardie"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Nucleo riparatore"
"herocard.passive_skill.title.repeat_special_once","Fortuna"
"herocard.passive_skill.title.resist.accuracymodifiers","Resisti a cecità"
"herocard.passive_skill.title.resist.alldebuffs","Resisti ai disturbi"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Resisti a tutti i disturbi"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Resistenza apice"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Resisti a disturbi della Difesa"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Resisti alla riduzione Difesa"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Resisti ai disturbi del mana"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Resisti agli effetti negativi del mana"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Resisti ai danni da effetti di stato"
"herocard.passive_skill.title.resist.attackdelay","Resisti al ritardo dell'attacco"
"herocard.passive_skill.title.resist.attackmodifiers","Resisti a disturbi dell'Attacco"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Resisti agli effetti di stato dell'Attacco"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Resisti a riduzione Attacco"
"herocard.passive_skill.title.resist.bleed","Resisti a sanguinamento"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Aumento resistenza a sanguinamento"
"herocard.passive_skill.title.resist.buffdispels","Resisti agli annullamenti"
"herocard.passive_skill.title.resist.buffimmunity","Resisti al blocco delle magie benefiche"
"herocard.passive_skill.title.resist.burn","Resisti a ustione"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Aumento resistenza a Ustione"
"herocard.passive_skill.title.resist.criticalhits.none","Resisti ai colpi critici"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Resisti a disturbi della Difesa"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Servitori inarrestabili"
"herocard.passive_skill.title.resist.frost","Resisti al Gelo"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Aumento resistenza a Gelo"
"herocard.passive_skill.title.resist.healeffects","Resisti a disturbi della cura"
"herocard.passive_skill.title.resist.healthsteal","Resisti a disturbi del furto di Salute"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Resisti alla Follia"
"herocard.passive_skill.title.resist.manadebuffs","Resisti ai disturbi del mana"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Resisti ai disturbi del mana e al blocco delle abilità speciali"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Resisti ai disturbi alla rigenerazione mana"
"herocard.passive_skill.title.resist.manareduction","Resisti alla riduzione diretta del mana"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Aumento resistenza alla riduzione del mana"
"herocard.passive_skill.title.resist.maxhealthreduction","Resisti alla riduzione della Salute massima"
"herocard.passive_skill.title.resist.poison","Resisti al veleno"
"herocard.passive_skill.title.resist.poison.burn.bleed","Resisti a veleno, ustione e sanguinamento"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Resisti alla possessione"
"herocard.passive_skill.title.resist.sand","Resisti alla sabbia"
"herocard.passive_skill.title.resist.specialblocking","Resisti al blocco delle Abilità speciali"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Aumento resistenza al blocco delle Abilità speciali"
"herocard.passive_skill.title.resist.stopmanageneration","Resisti alle interruzioni della rigenerazione mana"
"herocard.passive_skill.title.resist.water","Resisti all'acqua"
"herocard.passive_skill.title.resist_all_defense_effects","Tratto: 
Struttura agile"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Resisti ai disturbi dei servitori"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Resisti alla rimozione dei servitori"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Resisti agli effetti negativi dei servitori"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Resisti agli effetti negativi dei servitori superiore"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Resisti ai demoni"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Resisti ai demoni e ai demoni Mega"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Resisti ai disturbi"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Riduzione delle probabilità di resurrezione"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Riduzione Salute alla rinascita"
"herocard.passive_skill.title.revive_chance_nine_lives","Nove vite"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Patto sinistro"
"herocard.passive_skill.title.revivewithchance","Rianima"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Tempo veloce: Ballata"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Tempo veloce: Danza"
"herocard.passive_skill.title.sharereceiveddamage","Danni subiti condivisi"
"herocard.passive_skill.title.short.generic","Passiva"
"herocard.passive_skill.title.short.league","Vantaggio"
"herocard.passive_skill.title.short.league.non_featured","Svantaggio"
"herocard.passive_skill.title.short.trait","Tratto"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Maschera elementale"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Maestria delle truppe"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Maestria delle truppe"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Scudi potenziati all'attivazione dell'Abilità speciale"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Scudi potenziati all'attivazione dell'Abilità speciale"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Scudi potenziati all'attivazione dell'Abilità speciale"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Scudi potenziati all'attivazione dell'Abilità speciale"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Scudi potenziati all'attivazione dell'Abilità speciale"
"herocard.passive_skill.title.specialdamagereduction","Riduzione ai danni da Abilità speciali"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Riduzione ai danni da Abilità speciali"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Inizia la battaglia con mana"
"herocard.passive_skill.title.statmodifier.attack","Feroce"
"herocard.passive_skill.title.statmodifier.defense","Carapace"
"herocard.passive_skill.title.statmodifier.health","Resiliente"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Aumento Attacco degli effetti di stato"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Riduzione dei disturbi dell'attacco"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Riduzione dei disturbi dell'attacco"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Aumento Attacco degli effetti di stato"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Riduzione dei disturbi dell'attacco"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Aumento Difesa degli effetti di stato"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Riduzione dei disturbi della difesa"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Riduzione dei disturbi della difesa"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Aumento Difesa degli effetti di stato"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Riduzione dei disturbi della difesa"
"herocard.passive_skill.title.statuseffectdurationmodifier","Durata delle magie benefiche aumentata"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Durata dei disturbi ridotta"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Durata dei disturbi della difesa ridotta"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Durata delle magie benefiche aumentata"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Copia disturbo all'annullamento"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Vigore del cacciatore"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Marchio del cacciatore di Titani"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Pelle morbida del Gargoyle"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Pelle di pietra del Gargoyle"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Magia benefica di rigenerazione mana dai disturbi"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Maschera elementale"
"herocard.passive_skill.title.stylish","Che eleganza!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Evocatore della Piantina"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Evocatore della Piantina"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Evocatore della Piantina"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Servitore Slime su sconfitta"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Servitore Slime su sconfitta"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Servitore Slime su sconfitta"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Servitore Slime su sconfitta"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Servitore Slime su sconfitta"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Divisione del servitore slime"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Divisione del servitore slime"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Divisione del servitore slime"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Divisione del servitore slime"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Divisione del servitore slime"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Chiamata su ustione"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Chiamata su DnT"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Chiamata servitore su disturbo della Difesa"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Evocatore del passero"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Evocatore dell'alberello maledetto"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Evocatore della Piantina"
"herocard.passive_skill.title.taunt","Ignora Deridi"
"herocard.passive_skill.title.titan_dread_damage_minions","Timore"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Timore"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Timore"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Timore"
"herocard.passive_skill.title.titan_resist_15","Titano"
"herocard.passive_skill.title.titan_resist_16","Titano"
"herocard.passive_skill.title.titan_resist_17","Titano"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Cartone animato"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Trasforma magie benefiche"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Trasforma magie benefiche"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Trasforma disturbi"
"herocard.passive_skill.title.wither.all.enemies","Avvizzimento"
