"heroes.name_fancy.astral_cosmicspeaker","Astronome des elfes astraux"
"heroes.name_fancy.s2_demon_master","Daimyo de la supercherie"
"heroes.name_fancy.s2_demon_master_costume_cute","Toon de la supercherie"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul de la malice"
"heroes.name_fancy.s2_fiji_mermaid","Chasseur de bas-fonds"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Toon chasseur"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Poursuivante des bas-fonds"
"heroes.name_fancy.s2_fox_girl","Esprit à neuf queues"
"heroes.name_fancy.s2_fox_girl_costume_cute","Toon à neuf queues"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Esprit de Kitsune blanc"
"heroes.name_fancy.s2_ghost_woman","Fantôme solitaire"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Yurei solitaire"
"heroes.name_fancy.s2_hammerhead_hulk","Boucher sauvage"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Épéiste sauvage"
"heroes.name_fancy.s2_junglehunter","Prince de la jungle"
"heroes.name_fancy.s2_junglehunter_costume_cute","Toon de la jungle"
"heroes.name_fancy.s2_junglehunter_costume_party","Prince du Lū'au"
"heroes.name_fancy.s2_lantern_ghost","Yokai à la lanterne"
"heroes.name_fancy.s2_mercenary_woman","Mercenaire magnifique"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Spécialiste du hula"
"heroes.name_fancy.s2_merman","Triton de l'Atlantide"
"heroes.name_fancy.s2_merman_costume_cute","Triton cartoonesque"
"heroes.name_fancy.s2_merman_costume_leutenant","Lieutenant de l'Atlantide"
"heroes.name_fancy.s2_merwoman","Sirène de l'Atlantide"
"heroes.name_fancy.s2_merwoman_costume_cute","Sirène cartoonesque"
"heroes.name_fancy.s2_merwoman_costume_emissary","Émissaire de l'Atlantide"
"heroes.name_fancy.s2_noble_lady","Beauté fatale"
"heroes.name_fancy.s2_noble_lady_costume_cute","Beauté cartoonesque"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Beauté incandescente"
"heroes.name_fancy.s2_oceanus","Titan de la mer"
"heroes.name_fancy.s2_oceanus_costume_volcano","Titan du magma"
"heroes.name_fancy.s2_poseidon","Roi de l'Atlantide"
"heroes.name_fancy.s2_poseidon_costume_cute","Roi cartoonesque de l'Atlantide"
"heroes.name_fancy.s2_poseidon_costume_slayer","Tueur de l'Atlantide"
"heroes.name_fancy.s2_proteus","Mage de l'Atlantide"
"heroes.name_fancy.s2_proteus_costume_cute","Mage cartoonesque de l'Atlantide"
"heroes.name_fancy.s2_proteus_costume_farseer","Voyant de l'Atlantide"
"heroes.name_fancy.s2_rugged_fisherman","Pêcheur vaillant"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Pêcheur vaillant cartoonesque"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Brave brasseur"
"heroes.name_fancy.s2_skyllaros","Gardien de l'Atlantide"
"heroes.name_fancy.s2_skyllaros_costume_cute","Gardien de l'Atlantide cartoonesque"
"heroes.name_fancy.s2_skyllaros_costume_reef","Gardien du récif"
"heroes.name_fancy.s2_straw_demon","Démon de paille"
"heroes.name_fancy.s2_tanuki_raccoon","Escroc intrépide"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Marchand sans peur"
"heroes.name_fancy.s2_tethys","Déesse de toutes les rivières"
"heroes.name_fancy.s2_tethys_costume_steel","Défenseur des rivières"
"heroes.name_fancy.s2_triton","Capitaine atlante"
"heroes.name_fancy.s2_triton_costume_champion","Champion de l'Atlantide"
"heroes.name_fancy.s2_ursena","Impératrice des profondeurs"
"heroes.name_fancy.s2_ursena_costume_cute","Toon des profondeurs"
"heroes.name_fancy.s2_ursena_costume_reef","Reine des récifs fatale"
"heroes.name_fancy.s3_agnes","Villageois courageux"
"heroes.name_fancy.s3_alfrike","Reine de Svartalfheim"
"heroes.name_fancy.s3_alfrike_costume_hatter","Cœur de Svartalfheim"
"heroes.name_fancy.s3_almur","Sombrelame de Svartalfheim"
"heroes.name_fancy.s3_almur_costume_lord","Seigneur de Svartalfheim"
"heroes.name_fancy.s3_anwindr","Frappeur Viking maudit"
"heroes.name_fancy.s3_baldur","Dieu lumineux"
"heroes.name_fancy.s3_baldur_costume_fiery","Dieu ardent"
"heroes.name_fancy.s3_bera","Princesse du Dísir"
"heroes.name_fancy.s3_bera_costume_conjurer","Conjuratrice du Dísir"
"heroes.name_fancy.s3_bjorn","Villageois courageux"
"heroes.name_fancy.s3_bjorn_costume_viking","Brave soldat"
"heroes.name_fancy.s3_brynhild","Protectrice des valkyries"
"heroes.name_fancy.s3_by_ulf","Bagarreur Viking maudit"
"heroes.name_fancy.s3_ei_dunn","Combattant Viking maudit"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Guerrière viking féroce"
"heroes.name_fancy.s3_fenrir","Souverain de Niflheim"
"heroes.name_fancy.s3_fenrir_costume_guardian","Gardien de Niflheim"
"heroes.name_fancy.s3_freya","Dame massacre"
"heroes.name_fancy.s3_freya_costume_witch","Sorcière des déchus"
"heroes.name_fancy.s3_frigg","Déesse de la prévoyance"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Déesse de la clairvoyance"
"heroes.name_fancy.s3_fura","Empoisonneur de Svartalfheim"
"heroes.name_fancy.s3_fura_costume_herbalist","Herboriste de Svartalfheim"
"heroes.name_fancy.s3_gefjon","Déesse de la récolte"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Déesse de la nature"
"heroes.name_fancy.s3_grevle","Blaireau rusé"
"heroes.name_fancy.s3_gullinbursti","Sanglier doré"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Sanglier déchaîné"
"heroes.name_fancy.s3_heimdall","Gardien vigilant"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Garde redoutable"
"heroes.name_fancy.s3_jarvur","Pugiliste glouton"
"heroes.name_fancy.s3_jott","Géant de glace barbare"
"heroes.name_fancy.s3_kvasir","Apiculteur d'Alfheim"
"heroes.name_fancy.s3_kvasir_costume_captain","Capitaine abeille d'Alfheim"
"heroes.name_fancy.s3_loki_female","Déesse trompeuse"
"heroes.name_fancy.s3_loki_female_costume_mother","Mère trompeuse"
"heroes.name_fancy.s3_loki_fish","Saumon trompeur"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Poisson élégant"
"heroes.name_fancy.s3_loki_male","Dieu trompeur"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Dieu polymorphe"
"heroes.name_fancy.s3_mireweave","Draugr vive"
"heroes.name_fancy.s3_mist","Commandante des Valkyries"
"heroes.name_fancy.s3_nordri","Nain de glace de Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Nain explorateur de Jotunheim"
"heroes.name_fancy.s3_norns","Tisseuses du destin"
"heroes.name_fancy.s3_norns_costume_puppeteers","Marionnettistes du destin"
"heroes.name_fancy.s3_odin","Sage Père de tout"
"heroes.name_fancy.s3_odin_costume_champion","Vaillant Père de tout"
"heroes.name_fancy.s3_ratatoskr","Messager d'Yggdrasil"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Architecte d'Yggdrasil"
"heroes.name_fancy.s3_shadereave","Draugr bestial"
"heroes.name_fancy.s3_sif","Déité blonde"
"heroes.name_fancy.s3_sif_costume_golden","Déesse dorée"
"heroes.name_fancy.s3_skadi","Déesse de Jotunheim"
"heroes.name_fancy.s3_skadi_costume_ravager","Gardienne de Jotunheim"
"heroes.name_fancy.s3_stonecleave","Draugr impitoyable"
"heroes.name_fancy.s3_sudri","Nain de feu de Muspelheim"
"heroes.name_fancy.s3_sumle","Géant de feu robuste"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Géant de feu impie"
"heroes.name_fancy.s3_thor","Dieu du tonnerre"
"heroes.name_fancy.s3_thor_costume_conduit","Émissaire de la foudre"
"heroes.name_fancy.s3_tyr","Justice implacable"
"heroes.name_fancy.s3_tyr_costume_savage","Justice sauvage"
"heroes.name_fancy.s4_akkorog","Chef Morlock"
"heroes.name_fancy.s4_akkorog_costume_football","Morlock footballeur américain"
"heroes.name_fancy.s4_aouda","Princesse au grand cœur"
"heroes.name_fancy.s4_aouda_costume_lotus","Princesse du lotus"
"heroes.name_fancy.s4_captain_nemo","Explorateur énigmatique"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Machiniste énigmatique"
"heroes.name_fancy.s4_congalach","Guerrier des profondeurs"
"heroes.name_fancy.s4_congalach_costume_kelp","Guerrier des algues"
"heroes.name_fancy.s4_doctor_moreau","Scientifique perfide"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Scribe fourbe"
"heroes.name_fancy.s4_elizabeth","Aristocrate arachnide"
"heroes.name_fancy.s4_elizabeth_costume_bride","Aristocrate mariée"
"heroes.name_fancy.s4_exeera","Prêtresse octopode"
"heroes.name_fancy.s4_exeera_costume_hierophant","Hiérophante octopode"
"heroes.name_fancy.s4_garjammal","Maître de bataille Morlock"
"heroes.name_fancy.s4_garjammal_costume_kite","Morlock à cerf-volant"
"heroes.name_fancy.s4_gramps","Ancien demi-homme"
"heroes.name_fancy.s4_gramps_costume_gardener","Jardinier demi-homme"
"heroes.name_fancy.s4_griffin","Homme invisible"
"heroes.name_fancy.s4_griffin_costume_priest","Prêtre invisible"
"heroes.name_fancy.s4_hannah","Archéologue aventurière"
"heroes.name_fancy.s4_hannah_costume_drover","Vachère aventureuse"
"heroes.name_fancy.s4_helo","Pêcheur Eloi"
"heroes.name_fancy.s4_helo_costume_baker","Eloi boulanger"
"heroes.name_fancy.s4_hulda","Chef des taupes"
"heroes.name_fancy.s4_hulda_costume_nurse","Infirmière en chef"
"heroes.name_fancy.s4_kravekrush","Commandant ettin"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Cuisinier ettin"
"heroes.name_fancy.s4_lepiota","Chef des Eloi"
"heroes.name_fancy.s4_lepiota_costume_undying","Chef des immortels"
"heroes.name_fancy.s4_lughaidh","Roi des profondeurs"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Roi immortel"
"heroes.name_fancy.s4_mack","Aventurier demi-humain"
"heroes.name_fancy.s4_mack_costume_novelist","Romancier demi-homme"
"heroes.name_fancy.s4_morel","Chasseur Eloi"
"heroes.name_fancy.s4_morel_costume_sage","Sage Eloi"
"heroes.name_fancy.s4_morris","Homme-taupe puissant"
"heroes.name_fancy.s4_morris_costume_potter","Potier homme-taupe"
"heroes.name_fancy.s4_octros","Champion octopode"
"heroes.name_fancy.s4_octros_costume_suitor","Prétendant mollusque"
"heroes.name_fancy.s4_passepartout","Voyageur intelligent"
"heroes.name_fancy.s4_passepartout_costume_artist","Artiste élégant"
"heroes.name_fancy.s4_phileas_fogg","Voyageur courageux"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Ingénieur exquis"
"heroes.name_fancy.s4_poppy","Arbalétrière demi-humaine"
"heroes.name_fancy.s4_poppy_costume_lodger","Locataire demi-humaine"
"heroes.name_fancy.s4_professor_lidenbrock","Scientifique sagace"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Bijoutière sagace"
"heroes.name_fancy.s4_rokkamush","Ettin fracasseur"
"heroes.name_fancy.s4_rokkamush_costume_mason","Maçon ettin"
"heroes.name_fancy.s4_russula","Voleur Eloi"
"heroes.name_fancy.s4_russula_costume_painter","Peintre eloi"
"heroes.name_fancy.s4_tettukh","Brute Morlock"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Morlock encourageant"
"heroes.name_fancy.s4_vollermork","Amasseur Morlock"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlock tavernier"
"heroes.name_fancy.s4_xenda","Héritière de l'Outre-monde"
"heroes.name_fancy.s4_xenda_costume_flame","Héritière de la flamme"
"heroes.name_fancy.s4_xnolphod","Sorcier octopode"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Geôlier octopode"
"heroes.name_fancy.s4_zekena","Prince myriapode"
"heroes.name_fancy.s4_zekena_costume_vines","Prince apocynacé"
"heroes.name_fancy.s4_zenobia","Reine myriapode"
"heroes.name_fancy.s4_zenobia_costume_floral","Reine apocynacée"
"heroes.name_fancy.s4_zila_lei","Pieuvre assassine"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Danseur octopode"
"heroes.name_fancy.s5_ahhotep","Guerrier momifié"
"heroes.name_fancy.s5_ahhotep_costume_champion","Momie championne"
"heroes.name_fancy.s5_ahmose","Pharaon momifié"
"heroes.name_fancy.s5_ahmose_costume_reborn","Pharaon réincarné"
"heroes.name_fancy.s5_anubis","Dieu de l'au-delà"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Arbitre de la piste de danse"
"heroes.name_fancy.s5_aqeela","Vagabonde rusée"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Sorcière avisée"
"heroes.name_fancy.s5_azmia","Tavernière coriace"
"heroes.name_fancy.s5_azmia_costume_dancing","Tavernière danseuse"
"heroes.name_fancy.s5_bastet","Œil de la lune"
"heroes.name_fancy.s5_bastet_costume_forest","Œil de la forêt"
"heroes.name_fancy.s5_bennu","Esprit de la création"
"heroes.name_fancy.s5_bennu_costume_heron","Héron de la création"
"heroes.name_fancy.s5_cleopatra","Pharaonne divine"
"heroes.name_fancy.s5_cleopatra_costume_feline","Pharaonne féline"
"heroes.name_fancy.s5_el_naddaha","Sirène de la rivière"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Sirène de la mer"
"heroes.name_fancy.s5_eset","Dame aux dix-mille noms"
"heroes.name_fancy.s5_eset_costume_goldensun","Dame du soleil d'or"
"heroes.name_fancy.s5_faiez","Fermier providentiel"
"heroes.name_fancy.s5_faiez_costume_miner","Mineur chanceux"
"heroes.name_fancy.s5_hathor","Déesse de la maternité"
"heroes.name_fancy.s5_hathor_costume_starlit","Mère stellaire"
"heroes.name_fancy.s5_hetepheres","Sphinx rusé"
"heroes.name_fancy.s5_hetepheres_costume_spa","Sphinx du spa"
"heroes.name_fancy.s5_horus","Dieu de la chasse"
"heroes.name_fancy.s5_horus_costume_golden","Chasseur doré"
"heroes.name_fancy.s5_jarif","Scribe stressé"
"heroes.name_fancy.s5_jarif_costume_curator","Conservateur stressé"
"heroes.name_fancy.s5_junaid","Soldat loyal"
"heroes.name_fancy.s5_junaid_costume_champion","Champion fidèle"
"heroes.name_fancy.s5_khafre","Androsphinx sagace"
"heroes.name_fancy.s5_khafre_costume_aquatic","Androsphinx aquatique"
"heroes.name_fancy.s5_khepri","Dieu scarabée"
"heroes.name_fancy.s5_khepri_costume_overlord","Seigneur des scarabées"
"heroes.name_fancy.s5_khonshu","Dieu de la lune"
"heroes.name_fancy.s5_khonshu_costume_knight","Chevalier de la lune"
"heroes.name_fancy.s5_maat","Dame de l'harmonie"
"heroes.name_fancy.s5_maat_costume_river","Dame de l'Iteru"
"heroes.name_fancy.s5_meresankh","Sphinx du soleil"
"heroes.name_fancy.s5_meresankh_costume_disco","Sphinx du disco"
"heroes.name_fancy.s5_papyros","Golem de sable et de papier"
"heroes.name_fancy.s5_papyros_costume_colossus","Colosse de sable et de papier"
"heroes.name_fancy.s5_ptolemy","Pharaon ancien"
"heroes.name_fancy.s5_ptolemy_costume_log","Bûche ancestrale"
"heroes.name_fancy.s5_rekhetre","Jeune sphinx"
"heroes.name_fancy.s5_rekhetre_costume_artist","Jeune artiste"
"heroes.name_fancy.s5_scoratek","Garde scarabée"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Sentinelle scarabée"
"heroes.name_fancy.s5_sekhmet","Œil du soleil"
"heroes.name_fancy.s5_sekhmet_costume_warden","Gardienne du soleil"
"heroes.name_fancy.s5_set","Usurpateur sombre"
"heroes.name_fancy.s5_set_costume_tyrant","Tyran sombre"
"heroes.name_fancy.s5_sneferu","Sphinx de la lune"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Vainqueur de la lune"
"heroes.name_fancy.s5_sobek","Dieu de la rivière"
"heroes.name_fancy.s5_sobek_costume_guardian","Gardien de la rivière"
"heroes.name_fancy.s5_tetisheri","Reine momifiée"
"heroes.name_fancy.s5_tetisheri_costume_molten","Reine en fusion"
"heroes.name_fancy.s5_waqas","Bouclier du pharaon"
"heroes.name_fancy.s5_waqas_costume_blade","Lame du pharaon"
"heroes.name_fancy.sand_horse","Monture de l'Empire des Sables"
"heroes.name_fancy.sand_king","Roi de l'empire des sables"
"heroes.name_fancy.sand_king_costume_lifeguard","Roi des sauveteurs"
"heroes.name_fancy.sand_queen","Reine de l'empire des sables"
"heroes.name_fancy.sand_queen_costume_surfer","Reine du surf"
"heroes.name_fancy.sand_roc","Protecteur de l'Empire des Sables"
"heroes.name_fancy.sand_roc_costume_juice","Protecteur des plages"
"heroes.name_fancy.sand_soldier","Soldat de l'empire des sables"
"heroes.name_fancy.sand_tower","Brute de l'Empire des Sables"
"heroes.name_fancy.sand_vizier","Vizir de l'empire des sables"
"heroes.name_fancy.scoundrel_duval","Tireur d'élite trompeur"
"heroes.name_fancy.scoundrel_lane","Bandit de grand chemin"
"heroes.name_fancy.shadow_abigail","Journaliste d'investigation"
"heroes.name_fancy.shadow_asketel","Chercheur de connaissances perdues"
"heroes.name_fancy.shadow_atwood","Captivé par l'inconnu"
"heroes.name_fancy.shadow_burton","Golem enquêteur"
"heroes.name_fancy.shadow_cthuwu","Rejeton des anciens"
"heroes.name_fancy.shadow_dolores","Détective téméraire"
"heroes.name_fancy.shadow_gwendoline","Archéologue fanatique"
"heroes.name_fancy.shadow_hunter","Descendant des anciens"
"heroes.name_fancy.shadow_hysteria","Collectionneur d'artefacts mystiques"
"heroes.name_fancy.shadow_melancholia","Acolyte des anciens"
"heroes.name_fancy.shadow_omen","Élu du récif démoniaque"
"heroes.name_fancy.shadow_penelope","Ancienne bibliothécaire féroce"
"heroes.name_fancy.shadow_rashan","Utilisateur des Hulu-métaux"
"heroes.name_fancy.shadow_rosanna","Tireuse infaillible"
"heroes.name_fancy.shadow_salvatore","Médium tordu"
"heroes.name_fancy.shadow_shoggo","Guide métamorphe"
"heroes.name_fancy.shadow_wulfstan","Fabricant de munitions fantasmagorique"
"heroes.name_fancy.shadow_zavinia","Hybride des profondeurs"
"heroes.name_fancy.slayer_aodhan","L'Embrasé"
"heroes.name_fancy.slayer_caitlin","L'Éclairée"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Croisée de la justice"
"heroes.name_fancy.slayer_cathal","Le Vaillant"
"heroes.name_fancy.slayer_cillian","L'Immortel"
"heroes.name_fancy.slayer_maeve","L'Invisible"
"heroes.name_fancy.slayer_noril","Le Féroce"
"heroes.name_fancy.slayer_orla","La Digne"
"heroes.name_fancy.slayer_rian","L'Inébranlable"
"heroes.name_fancy.slayer_saoirse","L'Indomptable"
"heroes.name_fancy.slayer_saoirse_costume_knight","La Vainqueuse"
"heroes.name_fancy.slayer_senan","Le Maudit"
"heroes.name_fancy.slayer_senan_costume_tentacles","Le Serviteur céphaloïde"
"heroes.name_fancy.slime_achillea","Gladiatrice gluante sans peur"
"heroes.name_fancy.slime_boboosang","Vieux colporteur gluant"
"heroes.name_fancy.slime_bulklug","Gluant bâtisseur de blobs"
"heroes.name_fancy.slime_charmione","Charmante actrice gluante"
"heroes.name_fancy.slime_chingiriko","Chasseuse de l'ombre gluante"
"heroes.name_fancy.slime_choozen","Gluant timide du coffre"
"heroes.name_fancy.slime_fruitio","Gluant amateur de fruits"
"heroes.name_fancy.slime_fungustine","Gluant forestier rajeunissant"
"heroes.name_fancy.slime_gloozmer","Gluant farceur"
"heroes.name_fancy.slime_goldrip","Gluant royal doré"
"heroes.name_fancy.slime_gooldron","Gluant intello du chaudron"
"heroes.name_fancy.slime_goorian","Substance barbare"
"heroes.name_fancy.slime_gooric","Sage gluant du sanctuaire"
"heroes.name_fancy.slime_gooze","Gluant alchimique évadé"
"heroes.name_fancy.slime_gunktus","Blob de combat acharné"
"heroes.name_fancy.slime_harubo","Gluant patrouilleur"
"heroes.name_fancy.slime_justico","Gluant protecteur"
"heroes.name_fancy.slime_knightus","Gluant chevaleresque du temple"
"heroes.name_fancy.slime_labblub","Gluant scientifique"
"heroes.name_fancy.slime_magistine","Gluant magique"
"heroes.name_fancy.slime_mucktus","Gluant maléfique de la forêt"
"heroes.name_fancy.slime_slaymire","Bourreau gluant obstiné"
"heroes.name_fancy.slime_slimgo","Voyou gluant sournois"
"heroes.name_fancy.slime_sliposi","Messager gluant"
"heroes.name_fancy.slime_sludgus","Gluant chanteur de la taverne"
"heroes.name_fancy.slime_verdigoo","Juge d'émeraude gluant"
"heroes.name_fancy.slime_zestique","Gluant rougissant"
"heroes.name_fancy.styx_amphitrite","Déesse de la mer"
"heroes.name_fancy.styx_arges","Cyclope vendeur de potions"
"heroes.name_fancy.styx_brontes","Cyclope agriculteur"
"heroes.name_fancy.styx_charon","Passeur du Styx"
"heroes.name_fancy.styx_dante","Aventurier de l'Outre-monde"
"heroes.name_fancy.styx_erebus","Dieu des ténèbres insondables"
"heroes.name_fancy.styx_hypnos","Maître du sommeil"
"heroes.name_fancy.styx_nemesis","Déesse de la rétribution"
"heroes.name_fancy.styx_nyx","Mère Nuit"
"heroes.name_fancy.styx_steropes","Cyclope artiste"
"heroes.name_fancy.styx_thanatos","Dieu de la mort paisible"
"heroes.name_fancy.styx_virgil","Guide de l'Outre-monde"
"heroes.name_fancy.tales1_aqualith","Hoplite élémentaire"
"heroes.name_fancy.tales1_aqualith_costume_purple","Colosse élémentaire"
"heroes.name_fancy.tales1_atlanteia","Néréide des profondeurs"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Sirène glaciale des profondeurs"
"heroes.name_fancy.tales1_bagreg","Homme-poisson chef d'escarmouche"
"heroes.name_fancy.tales1_bagreg_costume_scout","Homme-poisson éclaireur"
"heroes.name_fancy.tales1_ceto","Déesse primordiale des monstres marins"
"heroes.name_fancy.tales1_ceto_costume_queen","Reine primordiale des monstres marins"
"heroes.name_fancy.tales1_domiventus","Entité hadale éternelle"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Entité hadale suprême"
"heroes.name_fancy.tales1_ephyra","Princesse néréide"
"heroes.name_fancy.tales1_ephyra_costume_reef","Princesse du récif"
"heroes.name_fancy.tales1_galapago","Sage des océans"
"heroes.name_fancy.tales1_galapago_costume_quarry","Sage de la carrière"
"heroes.name_fancy.tales1_gelert","Explorateur des profondeurs"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Pillard des profondeurs"
"heroes.name_fancy.tales1_gestalt","Prince des profondeurs éternelles"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Prince des perles éternelles"
"heroes.name_fancy.tales1_jaco","Marchand des profondeurs"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Alchimiste des profondeurs louche"
"heroes.name_fancy.tales1_lasalle","Hussard flamboyant de l'Atlantide"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Jockey flamboyant de l'Atlantide"
"heroes.name_fancy.tales1_medea","Reine naga des profondeurs"
"heroes.name_fancy.tales1_medea_costume_goddess","Déesse naga des profondeurs"
"heroes.name_fancy.tales1_mulgog","Homme-poisson maraudeur"
"heroes.name_fancy.tales1_mulgog_costume_bard","Homme-poisson barde"
"heroes.name_fancy.tales1_persa","Esprit du pillage aquatique"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Méduse noble"
"heroes.name_fancy.tales1_phorcys","Dieu primordial des profondeurs"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Dieu guerrier des profondeurs"
"heroes.name_fancy.tales1_sharkhai","Grand traître"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Boucher féroce"
"heroes.name_fancy.tales1_spartoi","Berserker naga"
"heroes.name_fancy.tales1_spartoi_costume_guard","Garde naga"
"heroes.name_fancy.tales1_thalassa","Déesse primordiale des océans"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Déesse primordiale des cristaux"
"heroes.name_fancy.tales1_ultrox","Gardien de temple des profondeurs"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Siphon des profondeurs"
"heroes.name_fancy.tales2_aethslegaur","Nain cherche-feu"
"heroes.name_fancy.tales2_andvari","Oracle naine"
"heroes.name_fancy.tales2_bragi","Nain pugiliste"
"heroes.name_fancy.tales2_bryggvir","Nain chevaucheur de chèvre"
"heroes.name_fancy.tales2_dagr","Chaman nain de la montagne"
"heroes.name_fancy.tales2_dain","Naine spécialiste du siège"
"heroes.name_fancy.tales2_dularfulr","Voyante naine des ténèbres"
"heroes.name_fancy.tales2_fafnir","Souveraine naine de Myrkheim"
"heroes.name_fancy.tales2_fimafeng","Naine survivaliste"
"heroes.name_fancy.tales2_fjalar","Skald nain doré"
"heroes.name_fancy.tales2_fjalar_costume_undead","Skald nain spectral"
"heroes.name_fancy.tales2_gandr","Guerrière naine du vent"
"heroes.name_fancy.tales2_gandr_costume_guardian","Soldate royale naine"
"heroes.name_fancy.tales2_helgi","Coureur nain enragé"
"heroes.name_fancy.tales2_helgi_costume_combatant","Restaurateur nain"
"heroes.name_fancy.tales2_hogne","Grand chevalier nain"
"heroes.name_fancy.tales2_hreidmarr","Roi nain de la montagne"
"heroes.name_fancy.tales2_motsognir","Nain pionnier"
"heroes.name_fancy.tales2_ott","Joyeux nain trompeur"
"heroes.name_fancy.tales2_ott_costume_herbalist","Maître de la tromperie nain"
"heroes.name_fancy.tales2_regin","Princesse naine fabuleuse"
"heroes.name_fancy.tales2_regin_costume_omen","Prince déchu nain"
"heroes.name_fancy.tales2_snorri","Nain raconteur"
"heroes.name_fancy.tales2_svafa","Naine chasseuse de gros gibier"
"heroes.name_fancy.tales2_thrivaldi","Nain amateur de givre"
"heroes.name_fancy.titan_hunter_adelitza","Avant-garde de la forêt"
"heroes.name_fancy.titan_hunter_borgholf","Trappeur du bosquet"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","Gardienne de la toundra"
"heroes.name_fancy.trainer","Épéiste"
"heroes.name_fancy.tribal_chief","Chef de tribu"
"heroes.name_fancy.tribal_chief_costume_conqueror","Vengeur des tribus"
"heroes.name_fancy.tribal_chief_costume_cute","Chef des toons"
"heroes.name_fancy.tribal_chief_costume_glass","Chef des vitraux"
"heroes.name_fancy.tribal_chief_costume_leopard","Chef des léopards"
"heroes.name_fancy.undead_captain_warrior","Seigneur Déjà-mort"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Toon condamné"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Vitrail condamné"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Prince immortel"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Fêtard condamné"
"heroes.name_fancy.undead_female_warrior","Dame Déjà-Morte"
"heroes.name_fancy.undead_female_warrior_costume_cute","Cartoon immortelle"
"heroes.name_fancy.undead_female_warrior_costume_glass","Vitrail condamné"
"heroes.name_fancy.undead_female_warrior_costume_princess","Princesse immortelle"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Princesse condamnée"
"heroes.name_fancy.undead_horned_skeleton","Reste implacable"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Cartoon implacable"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Bouffon revenant"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Vitrail implacable"
"heroes.name_fancy.undead_running_skeleton","Reste solennel"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Cartoon solennel"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Revenant de verre"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Restes romains"
"heroes.name_fancy.undead_screaming_zombie","Reste égaré"
"heroes.name_fancy.underworld_champion","Reste prétorien"
"heroes.name_fancy.underworld_champion_costume_champion","Gladiateur prétorien"
