"herocard.passive_skill.description.addmana.all.allies","仲間全員のマナが少量増加する。"
"herocard.passive_skill.title.resist.healthsteal","ライフ収奪異常耐性"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","狂気耐性"
"herocard.passive_skill.title.resist.manadebuffs","マナ異常耐性"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","マナ生成異常耐性と特殊スキルブロック耐性"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","マナ生成異常耐性"
"herocard.passive_skill.title.resist.manareduction","マナ奪取耐性"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","強化マナ奪取耐性"
"herocard.passive_skill.title.resist.maxhealthreduction","最大HP吸収効果耐性"
"herocard.passive_skill.title.resist.poison","毒耐性"
"herocard.passive_skill.title.resist.poison.burn.bleed","毒/燃焼/出血耐性"
"herocard.passive_skill.title.resist.possession.allstatuseffects","保有耐性"
"herocard.passive_skill.title.resist.sand","砂耐性"
"herocard.passive_skill.title.resist.specialblocking","特殊スキルブロック耐性"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","強化特殊スキルブロック耐性"
"herocard.passive_skill.title.resist.stopmanageneration","マナ生成停止耐性"
"herocard.passive_skill.title.resist.water","水耐性"
"herocard.passive_skill.title.resist_all_defense_effects","特性：
柔軟な体"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","ミニオンからのステータス異常に抵抗"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","ミニオン排除耐性"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","マイナスのミニオン効果耐性"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","マイナスのミニオン効果耐性大"
"herocard.passive_skill.title.resistnewfamiliars.parasite","フィエンド耐性"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","フィエンドおよびメガフィエンド耐性"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","ステータス異常に抵抗"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","復活確率の減少"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","復活ライフ減少"
"herocard.passive_skill.title.revive_chance_nine_lives","九生あり"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","エルドリッチの協定"
"herocard.passive_skill.title.revivewithchance","復活"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","クイックテンポ：バラード"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","クイックテンポ：ダンス"
"herocard.passive_skill.title.sharereceiveddamage","被ダメージ共有"
"herocard.passive_skill.title.short.generic","パッシブ"
"herocard.passive_skill.title.short.league","有利"
"herocard.passive_skill.title.short.league.non_featured","不利"
"herocard.passive_skill.title.short.trait","特性"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","エレメントマスク"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","兵団の達人"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","兵団の達人"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","特殊スキルに対する強化シールド"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","特殊スキルに対する強化シールド"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","特殊スキルに対する強化シールド"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","特殊スキルに対する強化シールド"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","特殊スキルに対する強化シールド"
"herocard.passive_skill.title.specialdamagereduction","特殊スキルによるダメージ軽減"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","特殊スキルによるダメージ軽減"
"herocard.passive_skill.title.startbattlewitheffect.addmana","マナ満タンでバトルを開始"
"herocard.passive_skill.title.statmodifier.attack","猛り"
"herocard.passive_skill.title.statmodifier.defense","甲殻化"
"herocard.passive_skill.title.statmodifier.health","反撥力"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","攻撃力のステータス効果強化"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","攻撃力異常削減"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","攻撃力異常削減"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","攻撃力のステータス効果強化"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","攻撃力異常削減"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","防御力のステータス効果強化"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","防御力異常の軽減"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","防御力異常の軽減"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","防御力のステータス効果強化"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","防御力異常の軽減"
"herocard.passive_skill.title.statuseffectdurationmodifier","バフの持続時間の増加"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","ステータス異常の持続時間の減少"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","防御系のステータス異常の
持続時間の減少"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","バフの持続時間の増加"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","浄化時に状態異常をコピー"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","ハンターの覇気"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","タイタンハンターの印"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","ガーゴイルの柔膚"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","ガーゴイルの石膚"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","異常からのマナ生成バフ"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","エレメントマスク"
"herocard.passive_skill.title.stylish","スタイリッシュ！"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","苗木の召喚者"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","苗木の召喚者"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","苗木の召喚者"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","敗北時にスライムミニオンを付与"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","敗北時にスライムミニオンを付与"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","敗北時にスライムミニオンを付与"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","敗北時にスライムミニオンを付与"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","敗北時にスライムミニオンを付与"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","スライムミニオンの分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","スライムミニオンの分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","スライムミニオンの分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","スライムミニオンの分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","スライムミニオンの分裂"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","燃焼時のサモン"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","継続ダメージ時のサモン"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","防御ステータス異常時にミニオンをサモン"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","スパロウのサモン者"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","呪われた若木のフィエンドサモン者"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","苗木の召喚者"
"herocard.passive_skill.title.taunt","挑発無視"
"herocard.passive_skill.title.titan_dread_damage_minions","恐怖"
"herocard.passive_skill.title.titan_dread_damage_minions_15","恐怖"
"herocard.passive_skill.title.titan_dread_damage_minions_16","恐怖"
"herocard.passive_skill.title.titan_dread_damage_minions_17","恐怖"
"herocard.passive_skill.title.titan_resist_15","タイタン"
"herocard.passive_skill.title.titan_resist_16","タイタン"
"herocard.passive_skill.title.titan_resist_17","タイタン"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","アニメ風"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","バフ変化"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","バフ変化"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","ステータス異常変化"
"herocard.passive_skill.title.wither.all.enemies","弱化"
