"herocard.passive_skill.description.addmana.all.allies","Todos os aliados recebem uma pequena quantidade de mana."
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Resistência superior a efeitos negativos de ajudantes"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Resistência a demônios"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Resistência a demônios e demônios mega"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Resistência a males de status"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Redução da chance de reviver"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Redução da vida ao reviver"
"herocard.passive_skill.title.revive_chance_nine_lives","Sete Vidas"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Pacto Místico"
"herocard.passive_skill.title.revivewithchance","Revivificação"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Ritmo Rápido: Balada"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Ritmo Rápido: Dança"
"herocard.passive_skill.title.sharereceiveddamage","Compartilhamento de Dano Recebido"
"herocard.passive_skill.title.short.generic","Passivo"
"herocard.passive_skill.title.short.league","Vantagem"
"herocard.passive_skill.title.short.league.non_featured","Desvantagem"
"herocard.passive_skill.title.short.trait","Característica"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Máscara Elemental"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Domínio de Tropa"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Domínio de Tropa"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Escudos reforçados com especiais"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Escudos reforçados com especiais"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Escudos reforçados com especiais"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Escudos reforçados com especiais"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Escudos reforçados com especiais"
"herocard.passive_skill.title.specialdamagereduction","Redução de dano da habilidade especial"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Redução de dano da habilidade especial"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Mana no início da batalha"
"herocard.passive_skill.title.statmodifier.attack","Feroz"
"herocard.passive_skill.title.statmodifier.defense","Blindado"
"herocard.passive_skill.title.statmodifier.health","Resistente"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Mais ataque de efeito de status"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Redução de mal de ataque"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Redução de mal de ataque"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Mais ataque de efeito de status"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Redução de mal de ataque"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Mais defesa de efeito de status"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Redução de males de defesa"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Redução de males de defesa"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Mais defesa de efeito de status"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Redução de males de defesa"
"herocard.passive_skill.title.statuseffectdurationmodifier","Duração de reforços prolongada"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Duração de males reduzida"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Duração de males de defesa reduzida"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Duração de reforços prolongada"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Copiar mal ao expurgar"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Vigor de Caçador"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Marca dos Caçador de Titã"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Pele Macia do Gárgula"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Pele de pedra do gárgula"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Reforço de geração de mana por males de status"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Máscara Elemental"
"herocard.passive_skill.title.stylish","Estiloso!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Convocador de Muda"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Convocador de Muda"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Convocador de Muda"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Ajudante de Gosma ao ser derrotado"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Ajudante de Gosma ao ser derrotado"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Ajudante de Gosma ao ser derrotado"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Ajudante de Gosma ao ser derrotado"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Ajudante de Gosma ao ser derrotado"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Divisão de Ajudante de Gosma"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Divisão de Ajudante de Gosma"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Divisão de Ajudante de Gosma"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Divisão de Ajudante de Gosma"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Divisão de Ajudante de Gosma"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Convocação por queimadura"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Convocação por DLT"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Convocação de ajudante por mal de defesa"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Convocador de Pardal"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Convocador de Broto Amaldiçoado"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Convocador de Muda"
"herocard.passive_skill.title.taunt","Ignorar Provocar"
"herocard.passive_skill.title.titan_dread_damage_minions","Pavor"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Pavor"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Pavor"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Pavor"
"herocard.passive_skill.title.titan_resist_15","Titã"
"herocard.passive_skill.title.titan_resist_16","Titã"
"herocard.passive_skill.title.titan_resist_17","Titã"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Fofura"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Transformação de Reforços"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transformação de Reforços"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transformação de Males"
"herocard.passive_skill.title.wither.all.enemies","Atrofia"
