"herocard.passive_skill.description.addmana.all.allies","Alla allierade får lite mana."
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Grotesks mjukskinn"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Grotesks stenskinn"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Manaskapandebonus från negativa statuseffekter"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Elementmask"
"herocard.passive_skill.title.stylish","Stilsäkert!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Groddåkallare"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Groddåkallare"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Groddåkallare"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Groddåkallare"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Groddåkallare"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Groddåkallare"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Slemundersåte när den besegras"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Slemundersåte när den besegras"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Slemundersåte när den besegras"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Slemundersåte när den besegras"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Slemundersåte när den besegras"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Slemundersåte: delning"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Slemundersåte: delning"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Slemundersåte: delning"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Slemundersåte: delning"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Slemundersåte: delning"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Åkalla vid brännskada"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Åkalla vid skada över tid"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Frammana undersåte vid negativ statuseffekt mot försvar"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Sparvåkallare"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Förhäxad telningsåkallare"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Groddåkallare"
"herocard.passive_skill.title.targetstatedependenteffectonspecial.healthboost.checkstate.all.allies.dance","Elegant dansare"
"herocard.passive_skill.title.taunt","Ignorera hån"
"herocard.passive_skill.title.titan_dread_damage_minions","Fruktan"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Fruktan"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Fruktan"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Fruktan"
"herocard.passive_skill.title.titan_resist_15","Titan"
"herocard.passive_skill.title.titan_resist_16","Titan"
"herocard.passive_skill.title.titan_resist_17","Titan"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Tecknad"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Förvandla bonusar"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Förvandla bonusar"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Förvandla negativa effekter"
"herocard.passive_skill.title.wither.all.enemies","Vittra"
