"heroes.name_fancy.astral_cosmicspeaker","Astralelfenastronom"
"heroes.name_fancy.pirate_commodore_finley","Kommodore von Corellia"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Düsterer Kommodore"
"heroes.name_fancy.pirate_dread_captain","Gefürchteter Kapitän von Corellia"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Verdorbener Kapitän von Corellia"
"heroes.name_fancy.pirate_finley","Rachsüchtiger Steuermann von Corellia"
"heroes.name_fancy.pirate_first_mate","Erster Maat von Corellia"
"heroes.name_fancy.pirate_lady","Lady von Corellia"
"heroes.name_fancy.pirate_lady_costume_queen","Rebellenkönigin"
"heroes.name_fancy.pirate_marie_therese","Voodookönigin von Corellia"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Seelenraubende Priesterin"
"heroes.name_fancy.pirate_sally","Maskottchen von Corellia"
"heroes.name_fancy.pirate_swashbuckler","Piratenkapitän von Corellia"
"heroes.name_fancy.pirate_vodnik","Fischer von Corellia"
"heroes.name_fancy.rabbit_blue","Sprosstal-Wächter"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Spaltenbrecher"
"heroes.name_fancy.rabbit_green","Sprosstal-Champion"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Eiersucher von Sprosstal"
"heroes.name_fancy.rabbit_red","Sprosstal-Knappe"
"heroes.name_fancy.royal_female_knight","Eigensinniger Champion"
"heroes.name_fancy.royal_female_knight_costume_cute","Toon-Champion"
"heroes.name_fancy.royal_female_knight_costume_glass","Glaschampion"
"heroes.name_fancy.royal_female_knight_costume_prospector","Sturer Schürfer"
"heroes.name_fancy.royal_female_knight_costume_winter","Wikinger-Champion"
"heroes.name_fancy.royal_knight","Schützender Ritter"
"heroes.name_fancy.royal_knight_commander","Frostmorrow-Schwinger"
"heroes.name_fancy.royal_knight_commander_costume_cute","Frostmorrow-Toon"
"heroes.name_fancy.royal_knight_commander_costume_glass","Vitrail von Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Frostmorrow-Kommandant"
"heroes.name_fancy.royal_knight_commander_costume_king","Frostmorrow-König"
"heroes.name_fancy.royal_knight_costume_blacksmith","Tapferer Schmied"
"heroes.name_fancy.royal_knight_costume_cute","Toon-Ritter"
"heroes.name_fancy.royal_knight_costume_glass","Glasritter"
"heroes.name_fancy.royal_pikeman","Ernsthafte Wache"
"heroes.name_fancy.s2_ariel","Prinzessin von Atlantis"
"heroes.name_fancy.s2_ariel_costume_cute","Toon-Prinzessin von Atlantis"
"heroes.name_fancy.s2_ariel_costume_enchanter","Zauberin von Atlantis"
"heroes.name_fancy.s2_atlantean_robot","Wächter von Atlantis"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Atlantischer Toon-Wächter"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Wache von Atlantis"
"heroes.name_fancy.s2_chameleon_bruiser","Chamäleon-Krieger"
"heroes.name_fancy.s2_chameleon_chief","Chamäleon-General"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Schwergewichtsweltmeister"
"heroes.name_fancy.s2_chameleon_mage","Chamäleon-Schamane"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Chamäleon-Alchemist"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Toon-Chamäleon-Schamane"
"heroes.name_fancy.s2_croc_man","Sumpfstrolch"
"heroes.name_fancy.s2_cursed_samurai","Verfluchter Warlord"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Käfersamurai"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Verfluchter Toon-Lord"
"heroes.name_fancy.s2_demon_master","Daimyo der Täuschung"
"heroes.name_fancy.s2_demon_master_costume_cute","Toon der Täuschung"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul von Guile"
"heroes.name_fancy.s2_fiji_mermaid","Untiefen-Jäger"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Toon-Jäger"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Untiefenverfolger"
"heroes.name_fancy.s2_fox_girl","Neunschwänziger Geist"
"heroes.name_fancy.s2_fox_girl_costume_cute","Neunschwänziger Toon"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Weißer Kitsune-Geist"
"heroes.name_fancy.s2_ghost_woman","Einsamer Geist"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Einsamer Yurei"
"heroes.name_fancy.s2_hammerhead_hulk","Wilder Schlächter"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Wilder Klingenmeister"
"heroes.name_fancy.s2_junglehunter","Dschungelprinz"
"heroes.name_fancy.s2_junglehunter_costume_cute","Toon des Dschungels"
"heroes.name_fancy.s2_junglehunter_costume_party","Prinz der Lūʻau"
"heroes.name_fancy.s2_lantern_ghost","Laternen-Yokai"
"heroes.name_fancy.s2_mercenary_woman","Prächtiger Söldner"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Prächtige Hula-Tänzerin"
"heroes.name_fancy.s2_merman","Meermann von Atlantis"
"heroes.name_fancy.s2_merman_costume_cute","Toon-Meermann"
"heroes.name_fancy.s2_merman_costume_leutenant","Leutnant von Atlantis"
"heroes.name_fancy.s2_merwoman","Meerjungfrau von Atlantis"
"heroes.name_fancy.s2_merwoman_costume_cute","Toon-Meerjungfrau"
"heroes.name_fancy.s2_merwoman_costume_emissary","Botschafter von Atlantis"
"heroes.name_fancy.s2_noble_lady","Tödliche Schönheit"
"heroes.name_fancy.s2_noble_lady_costume_cute","Toon-Schönheit"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Leuchtende Schönheit"
"heroes.name_fancy.s2_oceanus","Titan des Meeres"
"heroes.name_fancy.s2_oceanus_costume_volcano","Magmatitan"
"heroes.name_fancy.s2_poseidon","Herrscher von Atlantis"
"heroes.name_fancy.s2_poseidon_costume_cute","Toon-Herrscher von Atlantis"
"heroes.name_fancy.s2_poseidon_costume_slayer","Schlächter von Atlantis"
"heroes.name_fancy.s2_proteus","Magier von Atlantis"
"heroes.name_fancy.s2_proteus_costume_cute","Toon-Magier von Atlantis"
"heroes.name_fancy.s2_proteus_costume_farseer","Seher von Atlantis"
"heroes.name_fancy.s2_rugged_fisherman","Tapferer Fischer"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Tapferer Toon-Fischer"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Kühner Braumeister"
"heroes.name_fancy.s2_skyllaros","Beschützer von Atlantis"
"heroes.name_fancy.s2_skyllaros_costume_cute","Toon-Beschützer von Atlantis"
"heroes.name_fancy.s2_skyllaros_costume_reef","Beschützer des Riffs"
"heroes.name_fancy.s2_straw_demon","Strohdämon"
"heroes.name_fancy.s2_tanuki_raccoon","Verwegener Täuscher"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Furchtloser Händler"
"heroes.name_fancy.s2_tethys","Göttin aller Flüsse"
"heroes.name_fancy.s2_tethys_costume_steel","Rächer aller Flüsse"
"heroes.name_fancy.s2_triton","Hauptmann von Atlantis"
"heroes.name_fancy.s2_triton_costume_champion","Champion von Atlantis"
"heroes.name_fancy.s2_ursena","Kaiserin der Tiefen"
"heroes.name_fancy.s2_ursena_costume_cute","Toon der Tiefen"
"heroes.name_fancy.s2_ursena_costume_reef","Tödliche Riffkönigin"
"heroes.name_fancy.s3_agnes","Mutige Dorfbewohnerin"
"heroes.name_fancy.s3_alfrike","Königin von Svartalfheim"
"heroes.name_fancy.s3_alfrike_costume_hatter","Hutmacherin von Svartalfheim"
"heroes.name_fancy.s3_almur","Schattenklinge von Svartalfheim"
"heroes.name_fancy.s3_almur_costume_lord","König von Svartalfheim"
"heroes.name_fancy.s3_anwindr","Verfluchter Wikinger-Schläger"
"heroes.name_fancy.s3_baldur","Leuchtender Gott"
"heroes.name_fancy.s3_baldur_costume_fiery","Feuriger Gott"
"heroes.name_fancy.s3_bera","Prinzessin der Disen"
"heroes.name_fancy.s3_bera_costume_conjurer","Zauberin der Disen"
"heroes.name_fancy.s3_bjorn","Tapferer Dorfbewohner"
"heroes.name_fancy.s3_bjorn_costume_viking","Tapferer Soldat"
"heroes.name_fancy.s3_brynhild","Schildmaid der Walküren"
"heroes.name_fancy.s3_by_ulf","Verfluchter Wikinger-Schläger"
"heroes.name_fancy.s3_ei_dunn","Verfluchte Wikinger-Kämpferin"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Wilde Wikinger-Kämpferin"
"heroes.name_fancy.s3_fenrir","Anführer von Niflheim"
"heroes.name_fancy.s3_fenrir_costume_guardian","Wächter von Niflheim"
"heroes.name_fancy.s3_freya","Herrin der Gefallenen"
"heroes.name_fancy.s3_freya_costume_witch","Hexe der Gefallenen"
"heroes.name_fancy.s3_frigg","Göttin der Voraussicht"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Göttin der Hellseherei"
"heroes.name_fancy.s3_fura","Giftmischer von Svartalfheim"
"heroes.name_fancy.s3_fura_costume_herbalist","Kräuterkundlerin von Svartalfheim"
"heroes.name_fancy.s3_gefjon","Göttin der Ernte"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Göttin der Wildnis"
"heroes.name_fancy.s3_grevle","Listiger Dachs"
"heroes.name_fancy.s3_gullinbursti","Goldenes Wildschwein"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Entfesselter Eber"
"heroes.name_fancy.s3_heimdall","Aufmerksamer Wächter"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Gefürchteter Wächter"
"heroes.name_fancy.s3_jarvur","Wolverine-Boxer"
"heroes.name_fancy.s3_jott","Barbarischer Eisriese"
"heroes.name_fancy.s3_kvasir","Imker von Alfheim"
"heroes.name_fancy.s3_kvasir_costume_captain","Bienenhauptmann von Alfheim"
"heroes.name_fancy.s3_loki_female","Gewiefte Göttin"
"heroes.name_fancy.s3_loki_female_costume_mother","Gewiefte Mutter"
"heroes.name_fancy.s3_loki_fish","Gewiefter Fisch"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Adretter Fisch"
"heroes.name_fancy.s3_loki_male","Gewiefter Gott"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Formwandelnder Gott"
"heroes.name_fancy.s3_mireweave","Schnelle Draugr"
"heroes.name_fancy.s3_mist","Kommandantin der Walküren"
"heroes.name_fancy.s3_nordri","Eiszwerg von Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Erkunderzwerg von Jotunheim"
"heroes.name_fancy.s3_norns","Weberin des Schicksals"
"heroes.name_fancy.s3_norns_costume_puppeteers","Puppenspieler des Schicksals"
"heroes.name_fancy.s3_odin","Weiser Allvater"
"heroes.name_fancy.s3_odin_costume_champion","Heldenhafter Allvater"
"heroes.name_fancy.s3_ratatoskr","Botschafter von Yggdrasil"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Architekt von Yggdrasil"
"heroes.name_fancy.s3_shadereave","Brutaler Draugr"
"heroes.name_fancy.s3_sif","Blonde Gottheit"
"heroes.name_fancy.s3_sif_costume_golden","Goldene Gottheit"
"heroes.name_fancy.s3_skadi","Göttin von Jotunheim"
"heroes.name_fancy.s3_skadi_costume_ravager","Wächterin von Jotunheim"
"heroes.name_fancy.s3_stonecleave","Unerbittlicher Draugr"
"heroes.name_fancy.s3_sudri","Feuerzwerg von Muspelheim"
"heroes.name_fancy.s3_sumle","Kräftiger Feuerriese"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Unheiliger Feuerriese"
"heroes.name_fancy.s3_thor","Gott des Donners"
"heroes.name_fancy.s3_thor_costume_conduit","Leiter des Donners"
"heroes.name_fancy.s3_tyr","Gnadenlose Gerechtigkeit"
"heroes.name_fancy.s3_tyr_costume_savage","Wilde Gerechtigkeit"
"heroes.name_fancy.s4_akkorog","Morlock-Häuptling"
"heroes.name_fancy.s4_akkorog_costume_football","Morlock-Läufer"
"heroes.name_fancy.s4_aouda","Gütige Prinzessin"
"heroes.name_fancy.s4_aouda_costume_lotus","Lotusprinzessin"
"heroes.name_fancy.s4_captain_nemo","Rätselhafter Entdecker"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Rätselhafter Maschinist"
"heroes.name_fancy.s4_congalach","Krieger der Tiefen"
"heroes.name_fancy.s4_congalach_costume_kelp","Seetang-Krieger"
"heroes.name_fancy.s4_doctor_moreau","Hinterhältiger Wissenschaftler"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Hinterhältiger Schriftgelehrter"
"heroes.name_fancy.s4_elizabeth","Spinnenadelige"
"heroes.name_fancy.s4_elizabeth_costume_bride","Hochzeitliche Aristokratin"
"heroes.name_fancy.s4_exeera","Achtfüßer-Priesterin"
"heroes.name_fancy.s4_exeera_costume_hierophant","Achtfüßer-Hierophant"
"heroes.name_fancy.s4_garjammal","Morlock-Kampfmeister"
"heroes.name_fancy.s4_garjammal_costume_kite","Morlock-Drachenmeister"
"heroes.name_fancy.s4_gramps","Halbling-Ältester"
"heroes.name_fancy.s4_gramps_costume_gardener","Halblings-Gärtner"
"heroes.name_fancy.s4_griffin","Unsichtbarer Mann"
"heroes.name_fancy.s4_griffin_costume_priest","Unsichtbarer Priester"
"heroes.name_fancy.s4_hannah","Abenteuerlustige Archäologin"
"heroes.name_fancy.s4_hannah_costume_drover","Abenteuerlustiger Viehtreiber"
"heroes.name_fancy.s4_helo","Eloi-Fischer"
"heroes.name_fancy.s4_helo_costume_baker","Eloi-Bäcker"
"heroes.name_fancy.s4_hulda","Maulwurfchef"
"heroes.name_fancy.s4_hulda_costume_nurse","Oberschwester"
"heroes.name_fancy.s4_kravekrush","Ettin-Kommandant"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Ettin-Grillmeister"
"heroes.name_fancy.s4_lepiota","Anführer der Eloi"
"heroes.name_fancy.s4_lepiota_costume_undying","Anführer der Unsterblichen"
"heroes.name_fancy.s4_lughaidh","König der Tiefen"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Der todlose König"
"heroes.name_fancy.s4_mack","Halbling-Abenteurer"
"heroes.name_fancy.s4_mack_costume_novelist","Halbling-Schriftsteller"
"heroes.name_fancy.s4_morel","Eloi-Jäger"
"heroes.name_fancy.s4_morel_costume_sage","Eloi-Weiser"
"heroes.name_fancy.s4_morris","Mächtiger Maulwurf"
"heroes.name_fancy.s4_morris_costume_potter","Maulwurftöpfer"
"heroes.name_fancy.s4_octros","Achtfüßer-Champion"
"heroes.name_fancy.s4_octros_costume_suitor","Weichtierverehrer"
"heroes.name_fancy.s4_passepartout","Kluger Reisender"
"heroes.name_fancy.s4_passepartout_costume_artist","Eleganter Künstler"
"heroes.name_fancy.s4_phileas_fogg","Mutiger Reisender"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Exquisiter Ingenieur"
"heroes.name_fancy.s4_poppy","Halbling-Schützin"
"heroes.name_fancy.s4_poppy_costume_lodger","Halbling-Untermieter"
"heroes.name_fancy.s4_professor_lidenbrock","Scharfsinnige Wissenschaftlerin"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Scharfsinniger Juwelier"
"heroes.name_fancy.s4_rokkamush","Ettin-Zerstörer"
"heroes.name_fancy.s4_rokkamush_costume_mason","Ettin-Steinmetz"
"heroes.name_fancy.s4_russula","Eloi-Schurke"
"heroes.name_fancy.s4_russula_costume_painter","Eloi-Maler"
"heroes.name_fancy.s4_tettukh","Morlock-Rohling"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Morlock-Cheerleader"
"heroes.name_fancy.s4_vollermork","Morlock-Sammler"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlock-Barkeeper"
"heroes.name_fancy.s4_xenda","Erbin der Unterwelt"
"heroes.name_fancy.s4_xenda_costume_flame","Erbin der Flamme"
"heroes.name_fancy.s4_xnolphod","Achtfüßer-Zauberer"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Achtfüßer-Kerkermeister"
"heroes.name_fancy.s4_zekena","Tausendfüßer-Prinz"
"heroes.name_fancy.s4_zekena_costume_vines","Apokynaziden-Prinz"
"heroes.name_fancy.s4_zenobia","Tausendfüßer-Königin"
"heroes.name_fancy.s4_zenobia_costume_floral","Apokynaziden-Königin"
"heroes.name_fancy.s4_zila_lei","Krakenassassine"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Achtfüßer-Tänzer"
"heroes.name_fancy.s5_ahhotep","Mumienkrieger"
"heroes.name_fancy.s5_ahhotep_costume_champion","Mumienchampion"
"heroes.name_fancy.s5_ahmose","Mumienpharao"
"heroes.name_fancy.s5_ahmose_costume_reborn","Wiedergeborener Pharao"
"heroes.name_fancy.s5_anubis","Gott des Jenseits"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Vermittler auf der Tanzfläche"
"heroes.name_fancy.s5_aqeela","Gewieftes Gassenkind"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Gewiefter Gassenzauberer"
"heroes.name_fancy.s5_azmia","Knallharte Wirtin"
"heroes.name_fancy.s5_azmia_costume_dancing","Tanzende Wirtin"
"heroes.name_fancy.s5_bastet","Auge des Mondes"
"heroes.name_fancy.s5_bastet_costume_forest","Auge des Waldes"
"heroes.name_fancy.s5_bennu","Geist der Schöpfung"
"heroes.name_fancy.s5_bennu_costume_heron","Reiher der Schöpfung"
"heroes.name_fancy.s5_cleopatra","Göttlicher Pharao"
"heroes.name_fancy.s5_cleopatra_costume_feline","Katzenartiger Pharao"
"heroes.name_fancy.s5_el_naddaha","Sirene des Flusses"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Sirene des Meeres"
"heroes.name_fancy.s5_eset","Dame der Zehntausend Namen"
"heroes.name_fancy.s5_eset_costume_goldensun","Dame der Goldenen Sonne"
"heroes.name_fancy.s5_faiez","Farmer im Glück"
"heroes.name_fancy.s5_faiez_costume_miner","Bergmann im Glück"
"heroes.name_fancy.s5_hathor","Göttin der Mütter"
"heroes.name_fancy.s5_hathor_costume_starlit","Sternenlicht-Mutter"
"heroes.name_fancy.s5_hetepheres","Kluge Sphinx"
"heroes.name_fancy.s5_hetepheres_costume_spa","Wellness-Sphinx"
"heroes.name_fancy.s5_horus","Gott der Jagd"
"heroes.name_fancy.s5_horus_costume_golden","Goldener Jäger"
"heroes.name_fancy.s5_jarif","Gestresster Schreiber"
"heroes.name_fancy.s5_jarif_costume_curator","Gestresster Museumsdirektor"
"heroes.name_fancy.s5_junaid","Eingeschworener Soldat"
"heroes.name_fancy.s5_junaid_costume_champion","Eingeschworener Champion"
"heroes.name_fancy.s5_khafre","Scharfsinniger Androsphinx"
"heroes.name_fancy.s5_khafre_costume_aquatic","Aquatische Androsphinx"
"heroes.name_fancy.s5_khepri","Skarabäusgott"
"heroes.name_fancy.s5_khepri_costume_overlord","Skarabäusoberherr"
"heroes.name_fancy.s5_khonshu","Gott des Mondes"
"heroes.name_fancy.s5_khonshu_costume_knight","Ritter des Mondes"
"heroes.name_fancy.s5_maat","Herrin der Harmonie"
"heroes.name_fancy.s5_maat_costume_river","Dame von Iteru"
"heroes.name_fancy.s5_meresankh","Sphinx der Sonne"
"heroes.name_fancy.s5_meresankh_costume_disco","Sphinx der Disco"
"heroes.name_fancy.s5_papyros","Golem aus Papier und Sand"
"heroes.name_fancy.s5_papyros_costume_colossus","Koloss aus Papier und Sand"
"heroes.name_fancy.s5_ptolemy","Pharao-Ältester"
"heroes.name_fancy.s5_ptolemy_costume_log","Holunderbaumstamm"
"heroes.name_fancy.s5_rekhetre","Junge Sphinx"
"heroes.name_fancy.s5_rekhetre_costume_artist","Junger Künstler"
"heroes.name_fancy.s5_scoratek","Skarabäuswache"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Skarabäuswächter"
"heroes.name_fancy.s5_sekhmet","Auge der Sonne"
"heroes.name_fancy.s5_sekhmet_costume_warden","Wächter der Sonne"
"heroes.name_fancy.s5_set","Finsterer Eindringling"
"heroes.name_fancy.s5_set_costume_tyrant","Finsterer Tyrann"
"heroes.name_fancy.s5_sneferu","Sphinx des Monds"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Bezwinger des Mondes"
"heroes.name_fancy.s5_sobek","Gott des Flusses"
"heroes.name_fancy.s5_sobek_costume_guardian","Beschützer des Flusses"
"heroes.name_fancy.s5_tetisheri","Mumienkönigin"
"heroes.name_fancy.s5_tetisheri_costume_molten","Geschmolzene Königin"
"heroes.name_fancy.s5_waqas","Schild des Pharao"
"heroes.name_fancy.s5_waqas_costume_blade","Klinge des Pharao"
"heroes.name_fancy.sand_horse","Treues Ross des Sandimperiums"
"heroes.name_fancy.sand_king","König des Sandimperiums"
"heroes.name_fancy.sand_king_costume_lifeguard","König der Rettungsschwimmer"
"heroes.name_fancy.sand_queen","Königin des Sandimperiums"
"heroes.name_fancy.sand_queen_costume_surfer","Surfer-Königin"
"heroes.name_fancy.sand_roc","Beschützer des Sandimperiums"
"heroes.name_fancy.sand_roc_costume_juice","Beschützer des Strands"
"heroes.name_fancy.sand_soldier","Soldat des Sandimperiums"
"heroes.name_fancy.sand_tower","Rüpel des Sandimperiums"
"heroes.name_fancy.sand_vizier","Wesir des Sandimperiums"
"heroes.name_fancy.scoundrel_duval","Der hinterhältige Schütze"
"heroes.name_fancy.scoundrel_lane","Der Straßenräuber"
"heroes.name_fancy.shadow_abigail","Investigativjournalistin"
"heroes.name_fancy.shadow_asketel","Sucher des verlorenen Wissens"
"heroes.name_fancy.shadow_atwood","Gefesselt vom Unbekannten"
"heroes.name_fancy.shadow_burton","Homunkulus-Ermittler"
"heroes.name_fancy.shadow_cthuwu","Brut der Alten"
"heroes.name_fancy.shadow_dolores","Rücksichtsloser Privatdetektiv"
"heroes.name_fancy.shadow_gwendoline","Fanatische Archäologin"
"heroes.name_fancy.shadow_hunter","Nachkomme der Alten"
"heroes.name_fancy.shadow_hysteria","Sammlerin von mystischen Artefakten"
"heroes.name_fancy.shadow_melancholia","Akolythin der Alten"
"heroes.name_fancy.shadow_omen","Vom Teufelsriff geheiligt"
"heroes.name_fancy.shadow_penelope","Wilde ehemalige Bibliothekarin"
"heroes.name_fancy.shadow_rashan","Nutzer von Hulu-Metall"
"heroes.name_fancy.shadow_rosanna","Zielsichere Schützin"
"heroes.name_fancy.shadow_salvatore","Verdorbenes Medium"
"heroes.name_fancy.shadow_shoggo","Formwandelnder Führer"
"heroes.name_fancy.shadow_wulfstan","Unheimlicher Munitionskünstler"
"heroes.name_fancy.shadow_zavinia","Hybrid der Tiefe"
"heroes.name_fancy.slayer_aodhan","Der Brennende"
"heroes.name_fancy.slayer_caitlin","Die Erleuchtete"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Vollstrecker-Kreuzritterin"
"heroes.name_fancy.slayer_cathal","Der Mutige"
"heroes.name_fancy.slayer_cillian","Der Unsterbliche"
"heroes.name_fancy.slayer_maeve","Die Ungesehene"
"heroes.name_fancy.slayer_noril","Der Wilde"
"heroes.name_fancy.slayer_orla","Die Würdige"
"heroes.name_fancy.slayer_rian","Der Standhafte"
"heroes.name_fancy.slayer_saoirse","Die Unzähmbare"
"heroes.name_fancy.slayer_saoirse_costume_knight","Die Auslöscherin"
"heroes.name_fancy.slayer_senan","Der Verfluchte"
"heroes.name_fancy.slayer_senan_costume_tentacles","Der kopfförmige Diener"
"heroes.name_fancy.slime_achillea","Furchtloser Gladiatorschleim"
"heroes.name_fancy.slime_boboosang","Alter Krämerschleim"
"heroes.name_fancy.slime_bulklug","Bloberbauerschleim"
"heroes.name_fancy.slime_charmione","Reizender Theaterschleim"
"heroes.name_fancy.slime_chingiriko","Schattenpirscherschleim"
"heroes.name_fancy.slime_choozen","Schüchterner Truhenschleim"
"heroes.name_fancy.slime_fruitio","Vitaminliebender Schleim"
"heroes.name_fancy.slime_fungustine","Verjüngender Waldschleim"
"heroes.name_fancy.slime_gloozmer","Freundlicher Schleimgauner"
"heroes.name_fancy.slime_goldrip","Goldener Schleimkönig"
"heroes.name_fancy.slime_gooldron","Seltsamer Kesselschleim"
"heroes.name_fancy.slime_goorian","Barbarenschlamm"
"heroes.name_fancy.slime_gooric","Weiser Zufluchtsschleim"
"heroes.name_fancy.slime_gooze","Aus dem Alchemielabor entkommener Schleim"
"heroes.name_fancy.slime_gunktus","Unerbittlicher Kampfblob"
"heroes.name_fancy.slime_harubo","Schleim auf Patrouille"
"heroes.name_fancy.slime_justico","Beschützerschleim"
"heroes.name_fancy.slime_knightus","Ritterlicher Tempelschleim"
"heroes.name_fancy.slime_labblub","Neugieriger Schleimforscher"
"heroes.name_fancy.slime_magistine","Zauberweber-Schleim"
"heroes.name_fancy.slime_mucktus","Teuflischer Waldblob"
"heroes.name_fancy.slime_slaymire","Sturer Schleimvollstrecker"
"heroes.name_fancy.slime_slimgo","Heimlicher Schurkenschleim"
"heroes.name_fancy.slime_sliposi","Flinker Botenschleim"
"heroes.name_fancy.slime_sludgus","Singender Tavernenschleim"
"heroes.name_fancy.slime_verdigoo","Glibbrig-grüner Schlichter"
"heroes.name_fancy.slime_zestique","Berührter Schleim"
"heroes.name_fancy.styx_amphitrite","Göttin der See"
"heroes.name_fancy.styx_arges","Zyklopen-Trankhändler"
"heroes.name_fancy.styx_brontes","Zyklopen-Farmer"
"heroes.name_fancy.styx_charon","Fährmann des Styx"
"heroes.name_fancy.styx_dante","Unterwelt-Abenteurer"
"heroes.name_fancy.styx_erebus","Gott der tiefsten Dunkelheit"
"heroes.name_fancy.styx_hypnos","Meister des Schlafs"
"heroes.name_fancy.styx_nemesis","Göttin der göttlichen Vergeltung"
"heroes.name_fancy.styx_nyx","Mutter Nacht"
"heroes.name_fancy.styx_steropes","Zyklopenkünstler"
"heroes.name_fancy.styx_thanatos","Gott des friedlichen Ablebens"
"heroes.name_fancy.styx_virgil","Lotse durch die Unterwelt"
"heroes.name_fancy.tales1_aqualith","Elementar-Hoplit"
"heroes.name_fancy.tales1_aqualith_costume_purple","Elementar-Koloss"
"heroes.name_fancy.tales1_atlanteia","Gletschernereide der Tiefe"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Gletschersirene der Tiefe"
"heroes.name_fancy.tales1_bagreg","Fischmenschen-Gefechtsanführer"
"heroes.name_fancy.tales1_bagreg_costume_scout","Fischjungen-Späher"
"heroes.name_fancy.tales1_ceto","Urgöttin der Seemonster"
"heroes.name_fancy.tales1_ceto_costume_queen","Urkönigin der Seemonster"
"heroes.name_fancy.tales1_domiventus","Das ewige Hadalwesen"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Das überragende Hadalwesen"
"heroes.name_fancy.tales1_ephyra","Wassernymphenprinzessin"
"heroes.name_fancy.tales1_ephyra_costume_reef","Prinzessin des Riffs"
"heroes.name_fancy.tales1_galapago","Weiser der Ozeane"
"heroes.name_fancy.tales1_galapago_costume_quarry","Weise Walze des Steinbruchs"
"heroes.name_fancy.tales1_gelert","Schatzsucher der Tiefe"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Plünderer der Tiefe"
"heroes.name_fancy.tales1_gestalt","Prinz der Ewigen Tiefe"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Prinz der Ewigen Perlen"
"heroes.name_fancy.tales1_jaco","Zwielichtiger Händler der Tiefe"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Zwielichtiger Alchemist der Tiefe"
"heroes.name_fancy.tales1_lasalle","Extravaganter Husar von Atlantis"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Extravaganter Jockey von Atlantis"
"heroes.name_fancy.tales1_medea","Naga-Königin der Tiefe"
"heroes.name_fancy.tales1_medea_costume_goddess","Nagagöttin der Tiefe"
"heroes.name_fancy.tales1_mulgog","Fischmenschen-Plünderer"
"heroes.name_fancy.tales1_mulgog_costume_bard","Fischmenschen-Barde"
