"specials.name.a_cozy_break","Słodka przerwa"
"specials.name.reanimated_spite","Reanimująca złość"
"specials.name.reanimated_spite_pve","Reanimująca złość"
"specials.name.reckless_charge","Brawurowa szarża"
"specials.name.reckless_finisher","Zuchwały cios"
"specials.name.reckless_slash","Zuchwałe cięcie"
"specials.name.reckless_stab","Zuchwałe dźgnięcie"
"specials.name.reckless_swing","Zuchwały zamach"
"specials.name.reckless_sword_swings","Zuchwałe zamachy mieczem"
"specials.name.red_lizard_charge","Szarża czerwonej zakamuflowanej jaszczurki"
"specials.name.red_shoes","Czerwone obuwie"
"specials.name.red_sparks_dragon_pve","Czerwone iskry"
"specials.name.reef_blast","Uderzenie rafy"
"specials.name.reflecting_stance","Odbijająca postawa"
"specials.name.regal_claws","Królewskie szpony"
"specials.name.regal_spearhead","Królewska włócznia"
"specials.name.regeneration","Regeneracja"
"specials.name.rejuvenating_elixir","Odmładzający eliksir"
"specials.name.rejuvenating_leap","Ożywiający skok"
"specials.name.relaxing_riddle","Relaksująca zagadka"
"specials.name.relentless_brawler","Bezwzględny awanturnik"
"specials.name.remedies_and_diseases","Lekarstwa i choróbska"
"specials.name.rending_dagger","Rozrywający sztylet"
"specials.name.reporting_for_duty","Gotowość do służby"
"specials.name.resolute_spirit","Niezachwiany zapał"
"specials.name.resolute_spirit2","Niezachwiany zapał"
"specials.name.restoration_and_annihilation","Odrodzenie i zagłada"
"specials.name.resurrection_of_the_fallen","Wskrzeszenie upadłych"
"specials.name.resurrection_of_the_fallen_kemeny","Wskrzeszenie upadłych"
"specials.name.revengeful_smite","Mściwe uderzenie"
"specials.name.reverse_recovery","Odwrotna regeneracja"
"specials.name.reversed_lifeforce","Wypaczenie życia"
"specials.name.revitalizing_melody","Rewitalizująca melodia"
"specials.name.revitalizing_orb","Rewitalizująca kula"
"specials.name.revitalizing_sludge","Rewitalizująca fala"
"specials.name.reviving_touch","Wskrzeszający dotyk"
"specials.name.rhythm_of_havoc","Echo zniszczenia"
"specials.name.riches_to_poor","Bogactwo dla biedoty"
"specials.name.ricochet_bolt","Rykoszetujący grot"
"specials.name.riddle_of_the_moon","Zagadka Księżyca"
"specials.name.riddle_of_the_sun","Zagadka Słońca"
"specials.name.riders_arrow","Strzała jeźdźca"
"specials.name.riders_lance","Lanca jeźdźca"
"specials.name.rift_blade","Ostrze rozłamu"
"specials.name.righteous_pulverizer","Praworządny niszczyciel"
"specials.name.righteous_revenge","Słuszna zemsta"
"specials.name.righteous_stance","Sprawiedliwa postawa"
"specials.name.righteous_strike","Praworządny cios"
"specials.name.rime_heart","Oszronione serce"
"specials.name.ring_around_the_rosie","Wianek róż"
"specials.name.rite_of_cuteness","Kreskówkowy osąd"
"specials.name.rite_of_glass","Szklany osąd"
"specials.name.rite_of_judgement","Rytuał osądu"
"specials.name.rites_of_inner_knowledge","Rytuały wewnętrznej wiedzy"
"specials.name.ritual_of_judgement","Rytuał osądzenia"
"specials.name.ritual_of_the_deep","Rytuał głębin"
"specials.name.ritual_of_the_elements","Rytuał żywiołów"
"specials.name.roadside_surprise","Przydrożna niespodzianka"
"specials.name.roar_of_the_panther","Ryk pantery"
"specials.name.rockfall_bash","Lawinowe grzmotnięcie"
"specials.name.rod_of_freedom","Kostur wolności"
"specials.name.rod_of_torment","Kostur męczarni"
"specials.name.roman_cleave","Spartański atak"
"specials.name.roots_of_wrath","Korzenie gniewu"
"specials.name.roots_of_yggdrasil","Korzenie Yggdrasila"
"specials.name.rose_bouquet_blast","Wybuch bukietu róż"
"specials.name.rotting_wound_dragon_pve","Gnijąca rana"
"specials.name.rottman","Szczurze szaleństwo"
"specials.name.rough_and_tumble","Szamotanina"
"specials.name.royal_assault","Królewskie natarcie"
"specials.name.royal_blades","Królewskie ostrza"
"specials.name.royal_meatball_buffet","Królewskie klopsiki"
"specials.name.royal_poisoner","Królewski truciciel"
"specials.name.ruby_rush","Rubinowa gorączka"
"specials.name.rude_awakening","Brutalne przebudzenie"
"specials.name.ruler_of_seas","Władca mórz"
"specials.name.ruler_of_seas_deadly","Władca mórz"
"specials.name.rural_chop","Wiejskie rąbnięcie"
"specials.name.rush_of_flame","Ognista szarża"
"specials.name.rushed_melody","Ponaglająca melodia"
"specials.name.rusty_blade","Zardzewiałe ostrze"
"specials.name.ruthless_gambit","Bezlitosna zagrywka"
"specials.name.sable_slasher","Soboli dźgacz"
"specials.name.sacrament_of_salvation","Sakrament odkupienia"
"specials.name.sacred_horns","Święte rogi"
"specials.name.sacred_reflection","Święte odbicie"
"specials.name.saga_of_deliverance","Saga wybawienia"
"specials.name.saga_of_protection","Saga ochrony"
"specials.name.salty_splash_dragon_pve","Słony rozbryzg"
"specials.name.sanction_for_heresy","Usankcjonowanie herezji"
"specials.name.sanctuary_of_light","Sanktuarium światła"
"specials.name.sand_cyclone","Piaskowy cyklon"
"specials.name.sand_cyclone_pve","Piaskowy cyklon"
"specials.name.sand_wave_rana","Surfing po wydmach"
"specials.name.sand_wave_yunan","Upadek"
"specials.name.sandstorm_strike","Uderzenie burzy piaskowej"
"specials.name.sandworm_strike","Uderzenie piaskowego robaka"
"specials.name.sapphire_eyes","Szafirowe oczy"
"specials.name.saturated_suffering","Nasycone cierpienie"
"specials.name.savage_gobble_blue","Dzikie pożarcie"
"specials.name.savage_gobble_green","Dzikie pożarcie"
"specials.name.savage_gobble_purple","Dzikie pożarcie"
"specials.name.savage_gobble_red","Dzikie pożarcie"
"specials.name.savage_gobble_yellow","Dzikie pożarcie"
"specials.name.savage_talons","Ostre Szpony"
"specials.name.scale_of_the_newt","Łuska salamandry"
"specials.name.scaly_skin","Łuskowa skóra"
"specials.name.scar_of_the_depths","Szrama z głębin"
"specials.name.scar_of_the_depths_deadly","Szrama z głębin"
"specials.name.scarab_barrage","Blokada skarabeusza"
"specials.name.scarab_blitz","Blitzkrieg skarabeusza"
"specials.name.scarab_bombardment","Bombardowanie skarabeusza"
"specials.name.scarab_rush","Zryw skarabeusza"
"specials.name.scarab_throw","Rzut skarabeusza"
"specials.name.scavenging_dash","Żerujący doskok"
"specials.name.scepter_of_bundelkhand","Berło Bundelkhand"
"specials.name.scepter_of_constellations","Berło Konstelacji"
"specials.name.scion_sword","Miecz potomka"
"specials.name.scion_sword_costume_white_raven","Ostrze potomka"
"specials.name.scorching_orb","Paląca kula"
"specials.name.scoundrel_swing","Łajdacze uderzenie"
"specials.name.scourge_of_joy","Plaga radości"
"specials.name.scourge_of_the_strong","Postrach siłaczy"
"specials.name.scouts_spyglass","Luneta harcerza"
"specials.name.scroll_of_equations","Zwój równań"
"specials.name.scroll_of_fellowship","Zwój braterstwa"
"specials.name.scroll_of_navigation","Zwój nawigacji"
"specials.name.scroll_of_new_beginnings","Zwój nowego początku"
"specials.name.scroll_of_spite","Zwój urazy"
"specials.name.scythe_of_sorceries","Kosa czarów"
"specials.name.seabed_pirouette","Piruet morskiego dna"
"specials.name.seabed_sissonne","Krok nożycowy morskiego dna"
"specials.name.seal_of_ares","Pieczęć Aresa"
"specials.name.seal_of_fire","Piętno ognia"
"specials.name.searing_frost","Szczypiący mróz"
"specials.name.searing_strike","Dotkliwy cios"
"specials.name.seastar_burst","Wybuch rozgwiazdy"
"specials.name.seaweed_flail","Wodorostowy cep"
"specials.name.second_skin","Druga skóra"
"specials.name.seeking_shots","Naprowadzane strzały"
"specials.name.self_preservation","Samoobrona"
"specials.name.sense_of_wonder","Podziw"
"specials.name.serenade_of_sedition","Serenada buntu"
"specials.name.servants_aid","Pomoc sługi"
"specials.name.set_phase2","Uwolniony mrok"
"specials.name.set_phase3","Ostatni wysiłek"
"specials.name.severed_seal","Zerwana pieczęć"
"specials.name.severing_strike","Oszałamiający Cios"
"specials.name.sewing_back_together","Zszycie"
"specials.name.shackles_of_the_sea","Morskie okowy"
"specials.name.shade_cloak","Peleryna cienia"
"specials.name.shadow_link","Stalowa więź"
"specials.name.shadow_lunge","Mroczna szarża"
"specials.name.shadow_monster_form","Nadprzyrodzone cięcie"
"specials.name.shadow_sidestep","Cienisty unik"
"specials.name.shadow_strike","Cieniste uderzenie"
"specials.name.shadow_sweep","Zamiatanie cieni"
"specials.name.shady_concerto","Szemrany koncert"
"specials.name.shapeshifters_deception","Podstęp zmiennokształtnego"
"specials.name.shards_of_sun","Odłamki słońca"
"specials.name.shared_compassion","Dzielone współczucie"
"specials.name.shared_visage","Wspólne oblicze"
"specials.name.shark_bite","Ugryzienie rekina"
"specials.name.sharp_cut","Ostre cięcie"
"specials.name.sharp_knife","Ostry nóż"
"specials.name.sharp_stingers","Ostre żądła"
"specials.name.shatter_psyche","Roztrzaskana psyche"
"specials.name.shatter_soul","Rozbicie duszy"
"specials.name.shattering_shriek","Kruszący krzyk"
"specials.name.shattering_warcry","Straszliwy okrzyk"
"specials.name.shed_skin","Zrzucona skóra"
"specials.name.shieldmaidens_protection","Ochrona tarczowniczki"
"specials.name.shifting_mindless_attack","Nieobliczalny Furiacki Atak"
"specials.name.shimmering_shield","Połyskująca tarcza"
"specials.name.shock_bolt","Uderzenie pioruna"
"specials.name.shock_ultimatum","Wstrząsające ultimatum"
"specials.name.shocking_news","Szokujące wieści"
"specials.name.shrill_announcement","Przeraźliwe obwieszczenie"
"specials.name.shy_jab_dragon_pve","Wstydliwy cios"
"specials.name.sickening_glow","Okropny błysk"
"specials.name.sickle_of_eradication","Sierp eliminacji"
"specials.name.sickle_of_wu","Sierp Wu"
"specials.name.sickle_trouble","Sierpowe kłopoty"
"specials.name.sideswipe","Atak z boku"
"specials.name.sigil_of_the_sun","Pieczęć słońca"
"specials.name.silencing_stick_up","Uciszający napad"
"specials.name.silent_takedown","Ciche powalenie"
"specials.name.sinister_enlace","Nikczemny splot"
"specials.name.sinister_enlace_deadly","Nikczemny splot"
"specials.name.sinister_siphon","Złowieszcze wyssanie"
"specials.name.sir_agony","Drenujące ostrze"
"specials.name.sir_pain","Kosa zemsty"
"specials.name.situational_awareness","Świadomość sytuacyjna"
"specials.name.sky_attack","Podniebny atak"
"specials.name.skyfall_crumble","Oberwanie nieboskłonu"
"specials.name.slash_and_support","Cięcie i wsparcie"
"specials.name.slash_of_four_blades","Cios czterech ostrzy"
"specials.name.slash_of_glass_blades","Cięcie szklanych ostrzy"
"specials.name.slash_of_seven_blades","Cios siedmiu ostrzy"
"specials.name.slash_of_seven_daggers","Cios siedmiu sztyletów"
"specials.name.slash_of_seven_toons","Cięcie siedmiu kresek"
"specials.name.slash_of_the_seven_stilettos","Cięcie Siedmiu Sztyletów"
"specials.name.slaying_stake","Zabójczy pal"
"specials.name.sledge_bash","Uderzenie młota"
"specials.name.slice_and_dice","Szybkie cięcie"
"specials.name.slice_and_dice_pve","Szybkie cięcie"
"specials.name.slime_coated_sword","Miecz pokryty śluzem"
"specials.name.slime_serving","Porcja śluzu"
"specials.name.slime_slap","Śluzowe uderzenie"
"specials.name.slimy_balls","Oślizgłe kule"
"specials.name.slingja_attack_chingiriko","Atak procą"
"specials.name.slumber_spores","Zarodnik snu"
"specials.name.slumbering_beatdown","Drzemiąca porażka"
"specials.name.smoldering_tear_dragon_pve","Rozżarzone szarpnięcie"
"specials.name.smooth_treatment","Kojąca kuracja"
"specials.name.snapping_jaws","Kłapiące szczęki"
"specials.name.snowlit_slices","Śnieżne cięcia"
"specials.name.soaring_blast","Gwałtowny wybuch"
"specials.name.sock_and_block","Blokuj i szokuj"
"specials.name.solar_beam","Promień słoneczny"
"specials.name.solar_strike","Słoneczny grom"
"specials.name.soldiers_curse","Piaskowa bryza"
"specials.name.solid_frozen_fist","Mocno zmrożona pięść"
"specials.name.song_of_calamity","Pieśń nieszczęścia"
"specials.name.song_of_hoot_and_holler","Pieśń dezaprobaty"
"specials.name.song_of_regression","Pieśń regresu"
"specials.name.song_of_the_morass","Pieśń bagien"
"specials.name.song_of_the_skies","Pieśń niebios"
"specials.name.songs_of_the_cherry_tree","Pieśni drzewa wiśniowego"
"specials.name.sonic_infusion_arrow","Strzała dźwięku"
"specials.name.sonic_roar","Soniczny wrzask"
"specials.name.sonic_wall","Ściana dźwięku"
"specials.name.sonorous_spear","Dźwięczna włócznia"
"specials.name.soothing_melody","Kojąca melodia"
"specials.name.soothing_song","Pocieszająca pieśń"
"specials.name.soul_cage","Wezwij szkielety"
"specials.name.soul_guardian","Duchowy strażnik"
"specials.name.sour_berry_blast_dragon_pve","Wybuch kwaśnej jagody"
"specials.name.sparking_star_slash","Błyszczące gwiezdne cięcie"
"specials.name.sparrow_fury","Gniew wróbla"
"specials.name.spartan_cleave","Spartańskie rozszczepienie"
"specials.name.spartan_slash","Spartańskie cięcie"
"specials.name.spear_of_blood_pact","Włócznia paktu krwi"
"specials.name.spear_of_loyalty","Włócznia Lojalności"
"specials.name.spear_of_shu","Włócznia Shu"
"specials.name.spearwand_gale","Włócznioróżdżka Wichrów"
"specials.name.spectacular_bite","Spektakularne ugryzienie"
"specials.name.spectral_visions","Upiorne Wizje"
"specials.name.spectral_wings","Widmowe skrzydła"
"specials.name.spectres_flail","Kiścień widma"
"specials.name.spell_lock","Blokada zaklęć"
"specials.name.spell_of_camaraderie","Zaklęcie braterstwa"
"specials.name.spicy_berry_blast_dragon_pve","Wybuch ostrej jagody"
"specials.name.spike_burst","Eksplozja kolców"
"specials.name.spilled_decoctions","Rozlane odwary"
"specials.name.spirit_arrow","Strzała ducha"
"specials.name.spirit_drain","Wyssanie ducha"
"specials.name.spirit_of_spring","Duch źródła"
"specials.name.spirit_of_winter","Duch zimy"
"specials.name.spirit_rally","Rajd duchów"
"specials.name.spirits_of_the_mountain","Górskie duchy"
"specials.name.spiritual_unity","Cudowna uczta"
"specials.name.spiritual_wire","Duchowe powiązanie"
"specials.name.splintering_shot","Rozłupujący strzał"
"specials.name.splintering_shot2","Rozłupujący strzał"
"specials.name.spotting_trouble","Nadchodzące kłopoty"
"specials.name.spreading_gossip","Szerzenie plotek"
"specials.name.spreading_shadow","Przenikający cień"
"specials.name.spreading_traps","Rozprzestrzeniające się pułapki"
"specials.name.sprite_ballad","Ballada ducha"
"specials.name.sprite_hymn","Hymn duchów"
"specials.name.squeak_of_protection","Pisk ochronny"
"specials.name.squire_strike","Uderzenie giermka"
"specials.name.squires_squirrel","Wiewiórka giermka"
"specials.name.squish_squash_achillea","Zgniecenie"
"specials.name.stab_of_four_blades","Dźgnięcie czterech ostrzy"
"specials.name.staff_of_mana_control","Kostur Kontroli Many"
"specials.name.staff_of_mana_control_pve","Kostur Kontroli Many"
"specials.name.staff_of_the_seastar","Berło rozgwiazdy"
"specials.name.staggering_blows","Naprzemienne ciosy"
"specials.name.stalling_spell","Czar opóźniający"
"specials.name.stalling_strike","Uderzenie na zwłokę"
"specials.name.stalwart_rally","Niezłomne zjednoczenie"
"specials.name.stalwart_to_the_end","Niezłomność po kres"
"specials.name.standing_fortress","Wytrzymała forteca"
"specials.name.standing_fortress3","Wytrzymała forteca"
"specials.name.star_construct","Gwiezdny konstrukt"
"specials.name.star_trail","Gwiezdny szlak"
"specials.name.starplay","Gwiezdne zagranie"
"specials.name.stately_retribution","Sroga kara"
"specials.name.steel_rush","Stalowy szturm"
"specials.name.stellar_beam","Gwiezdny promień"
"specials.name.sticky_express","Lepki ekspres"
"specials.name.sticky_spear","Lepka włócznia"
"specials.name.stiletto_cyclone","Cyklon sztyletów"
"specials.name.stolen_tarts","Kradzione placki"
"specials.name.stomp","Tąpnięcie"
"specials.name.stone_skin","Łączność z duchami"
"specials.name.storm_of_blades","Nawałnica ostrzy"
"specials.name.strange_incense","Osobliwe kadzidło"
"specials.name.strategic_slash","Ornitologiczne cięcie"
"specials.name.strength_of_the_accursed","Siła przeklętego"
"specials.name.strength_of_the_benemoth","Siła behemota"
"specials.name.strength_of_the_volcano","Potęga wulkanu"
"specials.name.strengthening_draught","Wzmacniająca mikstura"
"specials.name.strengthening_smash","Wzmacniający cios"
"specials.name.strict_standards","Rygorystyczne normy"
"specials.name.strike_and_support","Uderzenie i wsparcie"
"specials.name.strike_from_the_shadows","Uderzenie z cienia"
"specials.name.strike_from_the_skies","Uderzenie z Niebios"
"specials.name.strike_of_a_thousand_howls","Uderzenie tysiąca ryków"
"specials.name.strike_of_the_ancients","Uderzenie przodków"
"specials.name.strike_of_the_cobra","Uderzenie kobry"
"specials.name.strike_of_the_monolith","Cios monolitu"
"specials.name.strike_of_the_toons","Kreskówkowe uderzenie"
"specials.name.strike_of_the_underworld","Uderzenie podziemi"
"specials.name.struck_by_thunder","Uderzenie piorunem"
"specials.name.stubby_reap","Krępe koszenie"
"specials.name.stunning_blow","Paraliżujący cios"
"specials.name.stunning_spear","Ogłuszająca włócznia"
"specials.name.stunning_steel","Ogłuszająca stal"
"specials.name.stunning_strike","Ogłuszające uderzenie"
"specials.name.stupendous_break_in","Zdumiewające włamanie"
"specials.name.sturdy_riposte","Cięta riposta"
"specials.name.stylish_chop","Stylowe rąbnięcie"
"specials.name.stylish_counterattack","Stylowa kontra"
"specials.name.stylish_eruption","Stylowa erupcja"
"specials.name.stylish_fireball","Stylowa kula ognia"
"specials.name.stylish_heal","Stylowe leczenie"
"specials.name.stylish_pulverizer","Stylowy miażdżyciel"
"specials.name.stylish_slash","Stylowe cięcie"
"specials.name.stylish_spear","Stylowa włócznia"
"specials.name.stylish_strike","Stylowe uderzenie"
"specials.name.stylish_strike_caedmon","Stylowe uderzenie"
"specials.name.stylish_warcry","Stylowy okrzyk bojowy"
"specials.name.subduing_strike","Obezwładniające uderzenie"
"specials.name.sublime_pastry","Ciasto rybne"
"specials.name.sudden_attack","Nagły atak"
"specials.name.suffocating_smoke","Gryzący dym"
"specials.name.suffocating_smoke2","Gryzący dym"
"specials.name.suffocating_smoke3","Gryzący dym"
"specials.name.sugar_rush","Cukrowa gorączka"
"specials.name.summer_carol","Kolęda przesilenia"
"specials.name.summers_end","Mrożący finisz"
"specials.name.summon_ballerina_fiend","Wezwanie baletnic"
"specials.name.summon_celestial_guardians","Wezwanie bożych strażników"
"specials.name.summon_rock_golems","Wezwanie kamiennych golemów"
"specials.name.summon_sand_golems","Wezwanie piaskowych golemów"
"specials.name.summon_temple_guardians","Wezwanie strażników świątyni"
"specials.name.sunken_abyss","Zatopiona otchłań"
"specials.name.sunken_magma_cube","Podtopiona kostka magmy"
"specials.name.sunscreen_blast","Kapka kremu z filtrem"
"specials.name.sunstone_glare_dragon_pve","Słoneczne oślepienie"
"specials.name.super_duper_spray","Superowy ekstra spray"
"specials.name.super_porridge","Super owsianka"
"specials.name.superb_sake","Najlepsze Sake"
"specials.name.supercharged_fireball_dragon_pve","Doładowana kula ognia"
"specials.name.supernova","Supernowa"
"specials.name.supernova_boss_phase1","Supernowa"
"specials.name.supernova_boss_phase2","Aeternus supernowej"
"specials.name.suppressing_ki","Tłumiące ki"
"specials.name.sure_fire_combustion","Przeszywające podpalenie"
"specials.name.surprise_goo","Maź niespodzianka!"
"specials.name.suspicious_stew","Podejrzany gulasz"
"specials.name.swamp_skin","Bagienna skóra"
"specials.name.swashbuckling_stab","Zawadiackie dźgnięcie"
"specials.name.sweet_berry_blast_dragon_pve","Wybuch słodkiej jagody"
"specials.name.sweet_dreams","Słodkie sny"
"specials.name.swift_little_friends","Zwinni mali przyjaciele"
"specials.name.swift_maneuvers","Błyskawiczne manewry"
"specials.name.swift_stingers","Szybkie żądła"
"specials.name.swooping_support","Powietrzne wsparcie"
"specials.name.swooping_talon","Pikujący pazur"
"specials.name.sword_barricade","Barykada mieczy"
"specials.name.sword_dance","Taniec mieczy"
"specials.name.sword_of_swan_song","Pieśń łabędziego miecza"
"specials.name.sword_of_wei","Miecz Wei"
"specials.name.sylvan_blessings","Leśne dary"
"specials.name.symphonic_pulverizer","Symfoniczna destrukcja"
"specials.name.tackle","Ofensywa"
"specials.name.tactical_cut","Taktyczne cięcie"
"specials.name.tail_bash","Smagnięcie ogona"
"specials.name.tail_slam","Uderzenie ogona"
"specials.name.tail_slam_deadly","Uderzenie ogona"
"specials.name.tail_sting","Użądlenie"
"specials.name.tail_sting_deadly","Użądlenie"
"specials.name.tainted_axe","Splamiony topór"
"specials.name.tambourine_solo","Solówka na tamburynie"
"specials.name.tangy_berry_blast_dragon_pve","Wybuch cierpkiej jagody"
"specials.name.tantrum_of_forest","Gniew kreskówkowych"
"specials.name.teeth_of_the_river","Rzeczne zębiska"
"specials.name.tempered_blade","Hartowane ostrze"
"specials.name.tentacle_jab","Mackowy cios"
"specials.name.tentacle_slash","Mackowe cięcie"
"specials.name.terrifying_screech","Przerażający wrzask"
"specials.name.terror_shriek","Krzyk grozy"
"specials.name.testudo_rock","Żółwi kamień"
"specials.name.testudo_roll","Żółwia kula"
"specials.name.testudo_roll_deadly","Żółwia kula"
"specials.name.the_call_to_hibernate","Wezwanie hibernacji"
"specials.name.the_dukes_investigation","Śledztwo księcia"
"specials.name.the_eagles_blessing","Błogosławieństwo orła"
"specials.name.the_mighty_crescendo","Potężne crescendo"
"specials.name.the_perfect_throw","Rzut idealny"
"specials.name.the_piranha_incident","Incydent z piraniami"
"specials.name.the_queens_radiance","Blask królowej"
"specials.name.the_queens_speech","Przemowa królowej"
"specials.name.the_two_sides_of_the_moon","Dwie strony księżyca"
"specials.name.the_undercover_investigation","Tajne śledztwo"
"specials.name.thieving_shot","Złodziejski strzał"
"specials.name.thorned_slam_dunk","Ciernisty wsad"
"specials.name.thousand_cuts","Tysiąc cięć"
"specials.name.thousand_palm_strikes","Uderzenie tysiąca dłoni"
"specials.name.three_bandit_mice","Trzy bandyckie myszy"
"specials.name.three_blind_mice","Trzy ślepe myszki"
"specials.name.three_little_rams","Trzy baranki"
"specials.name.thresher_worms","Młócące robaki"
"specials.name.thrilling_clash","Ekscytująca potyczka"
"specials.name.throwing_daggers","Rzut sztyletami"
"specials.name.throwing_stars","Śmiercionośne gwiazdy"
"specials.name.thunder_ultimatum","Ultimatum burzy"
"specials.name.thunderbolt","Grom z jasnego nieba"
"specials.name.thundering_strike","Grzmiące uderzenie"
"specials.name.thunderstorm","Burza z piorunami"
"specials.name.thunderstrike","Ultimatum burzy"
"specials.name.tidal_force","Przypływ siły"
"specials.name.tidal_vortex","Wir wodny"
"specials.name.tidal_wave","Fala grozy"
"specials.name.tidal_waves","Fale pływowe"
"specials.name.tidy_up","Sprzątanie!"
"specials.name.time_rewind","Cofanie czasu"
"specials.name.timeless_timepiece","Ponadczasowy zegar"
"specials.name.titanbone_chain_slash","Łańcuch z tytanowych kości"
"specials.name.titanium_antler_attack","Atak tytanowego poroża"
"specials.name.titantooth_blade","Ostrze z kła tytana"
"specials.name.to_the_rescue","Na ratunek!"
"specials.name.tokri_of_resources","Tokri zasobów"
"specials.name.tome_of_the_stag","Księga jelenia"
"specials.name.toon_annihilation","Kreskówkowa zagłada"
"specials.name.toon_athenas_bow","Kreskówkowy łuk Ateny"
"specials.name.toon_attack","Kreskówkowy atak"
"specials.name.toon_barrage","Kreskówkowy ostrzał"
"specials.name.toon_bash","Kreskówkowe uderzenie"
"specials.name.toon_bite","Kreskówkowe ugryzienie"
"specials.name.toon_blast","Kreskówkowy wybuch"
"specials.name.toon_brew","Kreskówkowy napitek"
"specials.name.toon_chop","Kreskówkowy cios"
"specials.name.toon_cleave","Kreskówkowe rozpłatanie"
"specials.name.toon_counter","Kreska i kontra"
"specials.name.toon_cut","Kreskówkowe cięcie"
"specials.name.toon_finisher","Kreskówkowe wykończenie"
"specials.name.toon_fury","Kreskówkowa furia"
"specials.name.toon_hit","Kreskówkowe uderzenie"
"specials.name.toon_jolt","Kreskówkowy wstrząs"
"specials.name.toon_lament","Kreskówkowy lament"
"specials.name.toon_link","Kreskówkowe połączenie"
"specials.name.toon_mirror","Kreskówkowe lustro"
"specials.name.toon_mist","Kreskówkowa mgła"
"specials.name.toon_of_the_depths","Kreskówkowy z Głębin"
"specials.name.toon_of_the_seas","Kreskówkowy z mórz"
"specials.name.toon_prowess","Kreskówkowa biegłość"
"specials.name.toon_riposte","Kreskówkowa riposta"
"specials.name.toon_shot","Kreskówkowy wystrzał"
"specials.name.toon_slam","Kreskówkowe uderzenie"
"specials.name.toon_slash","Kreskówkowe cięcie"
"specials.name.toon_stab","Kreskówkowe dźgnięcie"
"specials.name.toon_stars","Kreskówkowe gwiazdy"
"specials.name.toon_storm","Kreskówkowa burza"
"specials.name.toon_strike","Kreskówkowy cios"
"specials.name.toon_traps","Kreskówkowe pułapki"
"specials.name.toon_ultimatum","Kreskówkowe ultimatum"
"specials.name.toon_vines","Kreskówkowe pnącza"
"specials.name.toon_wave","Kreskówkowa fala"
"specials.name.toon_waza","Kreskówkowa waza"
"specials.name.toonball","Kreskówkowa kula"
"specials.name.tooncry","Kreskówkowy ryk"
"specials.name.toonpower_pulverizer","Kreskówkowa destrukcja"
"specials.name.toons_luck","Kreskówkowe szczęście"
"specials.name.toons_order","Kreskówkowy rozkaz"
"specials.name.toontastic_feast","Kreskówkowa uczta"
"specials.name.toontastic_fog","Kreskówkowa mgła"
"specials.name.toontastic_link","Kreskówkowe spoiwo"
"specials.name.toontastic_protection","Kreskówkowa ochrona"
"specials.name.toontastic_pulverizer","Kreskówkowa destrukcja"
"specials.name.toontastic_riposte","Kreskówkowa riposta"
"specials.name.toontastic_smash","Kreskówkowe zmiażdżenie"
"specials.name.toontastic_strike","Kreskówkowy atak"
"specials.name.total_beatdown","Całkowita deklasacja"
"specials.name.tough_love","Działo miłości"
"specials.name.towers_curse","Piaskowa wichura"
"specials.name.toxic_berry_blast","Wybuch toksycznej jagody"
"specials.name.toxic_bile","Toksyczna żółć"
"specials.name.toxic_flames","Toksyczne płomienie"
"specials.name.toxic_fumes","Toksyczne opary"
"specials.name.toxic_gas_cloud","Toksyczna chmura"
"specials.name.toxic_headbutt","Toksyczne uderzenie głową"
"specials.name.toxic_incense","Toksyczne kadzidło"
"specials.name.toxic_spit","Toksyczne splunięcie"
"specials.name.toxic_stinger","Toksyczne żądło"
"specials.name.toxic_traps","Toksyczne pułapki"
"specials.name.toxic_tricks","Toksyczne sztuczki"
"specials.name.toxicadendra","Przyspieszony wzrost"
"specials.name.trainer_blast","Uderzenie trenera"
"specials.name.trainer_slash","Uderzenie treningowe"
"specials.name.tranquil_mist","Mgła ciszy"
"specials.name.transcendental_charge","Transcendentalna szarża"
"specials.name.transcendental_frame","Transcendentalna rama"
"specials.name.transfigure","Transfiguracja"
"specials.name.travelers_snack","Przekąska podróżnika"
"specials.name.treasure_ale","Cenny napitek"
"specials.name.trial_of_darkness","Próba mroku"
"specials.name.trial_of_fauna","Próba fauny"
"specials.name.trial_of_fire","Próba ognia"
"specials.name.trial_of_flames","Próba płomieni"
"specials.name.trial_of_flora","Próba flory"
"specials.name.trial_of_frost","Próba mrozu"
"specials.name.trial_of_ice","Próba lodu"
"specials.name.trial_of_nature","Próba natury"
"specials.name.trial_of_pain","Próba bólu"
"specials.name.trial_of_the_moon","Próba księżyca"
"specials.name.trial_of_the_sun","Próba słońca"
"specials.name.trial_of_the_waters","Próba wód"
"specials.name.tribal_rage","Plemienny gniew"
"specials.name.tribal_rage_pve","Plemienny gniew"
"specials.name.trick_of_the_trade","Tajemnice fachu"
"specials.name.trickster_grenades","Granaty kuglarza"
"specials.name.tricksters_buff","Butelka"
"specials.name.tricksters_damage","Miecze"
"specials.name.tricksters_exchange","Sztuczka szulera"
"specials.name.tricksters_lullaby","Kołysanka oszusta"
"specials.name.tricksters_malice","Podłość oszusta"
"specials.name.tricksters_mischief","Podstęp oszusta"
"specials.name.tricksters_negative","Zmrożenie"
"specials.name.tricksters_transformation","Transformacja oszusta"
"specials.name.triple_stab","Potrójne dźgnięcie"
"specials.name.triumph_of_strategy","Strategiczny triumf"
"specials.name.tropical_ambush","Tropikalna zasadzka"
