"heroes.name_fancy.astral_cosmicspeaker","Gök Bilimcisi Astral Elf"
"heroes.name_fancy.owl_mariol","Baykuş Kulesi Nedimi"
"heroes.name_fancy.owl_olbec","Baykuş Kulesi Simyacısı"
"heroes.name_fancy.owl_ommodus","Baykuş Kulesinin Kanun Getireni"
"heroes.name_fancy.owl_paeia","Baykuş Kulesi Prensesi"
"heroes.name_fancy.owl_pertinax","Baykuş Kulesi Şövalye Muhafızı"
"heroes.name_fancy.owl_relius","Baykuş Kulesinin Otacısı"
"heroes.name_fancy.owl_timius","Baykuş Kulesinin Kraliyet Öncü Birliği"
"heroes.name_fancy.owl_verus","Baykuş Kulesinin Gözcü Komutanı"
"heroes.name_fancy.pirate_anne","Corellia'nın Gemi Başı Süsü"
"heroes.name_fancy.pirate_boatswain","Corellia'nın Lostromosu"
"heroes.name_fancy.pirate_cabin_boy","Corellia Kamarotu"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Kıyıda Gazete Satan Çocuk"
"heroes.name_fancy.pirate_commodore_finley","Corellia Amirali"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Kasvetli Amiral"
"heroes.name_fancy.pirate_dread_captain","Corellia'nın Dehşet Kaptanı"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Corellia'nın Çürümüş Kaptanı"
"heroes.name_fancy.pirate_finley","Corellia'nın Kindar Dümencisi"
"heroes.name_fancy.pirate_first_mate","Corellia'nın İlk Arkadaşı"
"heroes.name_fancy.pirate_lady","Corellia Hanımı"
"heroes.name_fancy.pirate_lady_costume_queen","Asi Kraliçe"
"heroes.name_fancy.pirate_marie_therese","Corellia'nın Voodoo Kraliçesi"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Ruh Çalan Rahibe"
"heroes.name_fancy.pirate_sally","Corellia'nın Maskotu"
"heroes.name_fancy.pirate_swashbuckler","Corellia'nın Korsan Kaptanı"
"heroes.name_fancy.pirate_vodnik","Corellia Balıkçısı"
"heroes.name_fancy.rabbit_blue","Bahar Vadisi Muhafızı"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Yarık Açan"
"heroes.name_fancy.rabbit_green","Bahar Vadisi Şampiyonu"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Bahar Vadisi'nin Yumurta Avcısı"
"heroes.name_fancy.rabbit_red","Bahar Vadisi Kavalyesi"
"heroes.name_fancy.royal_female_knight","İnatçı Şampiyon"
"heroes.name_fancy.royal_female_knight_costume_cute","Çizgi Şampiyon"
"heroes.name_fancy.royal_female_knight_costume_glass","Cam Şampiyonu"
"heroes.name_fancy.royal_female_knight_costume_prospector","İnatçı Maden Arayıcısı"
"heroes.name_fancy.royal_female_knight_costume_winter","Viking Şampiyonu"
"heroes.name_fancy.royal_knight","Koruyucu Şövalye"
"heroes.name_fancy.royal_knight_commander","Ayaz Yarını Taşıyıcısı"
"heroes.name_fancy.royal_knight_commander_costume_cute","Ayazlı Yarınlar Çizgisi"
"heroes.name_fancy.royal_knight_commander_costume_glass","Ayazlı Yarınlar Vitrayı"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Komutan Donuk Yarınlar"
"heroes.name_fancy.royal_knight_commander_costume_king","Ayaz Yarını Kralı"
"heroes.name_fancy.royal_knight_costume_blacksmith","Cesur Demirci"
"heroes.name_fancy.royal_knight_costume_cute","Çizgi Şövalye"
"heroes.name_fancy.royal_knight_costume_glass","Cam Şövalye"
"heroes.name_fancy.royal_pikeman","Ciddi Nöbetçi"
"heroes.name_fancy.s2_ariel","Atlantis Prensesi"
"heroes.name_fancy.s2_ariel_costume_cute","Çizgi Atlantis Prensesi"
"heroes.name_fancy.s2_ariel_costume_enchanter","Atlantis Büyücüsü"
"heroes.name_fancy.s2_atlantean_robot","Atlantis Gözcüsü"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Çizgi Atlantis Gözcüsü"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Atlantisli Nöbetçi"
"heroes.name_fancy.s2_chameleon_bruiser","Bukalemun Savaşçı"
"heroes.name_fancy.s2_chameleon_chief","Bukalemun General"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Dünya Ağır Sıklet Şampiyonu"
"heroes.name_fancy.s2_chameleon_mage","Bukalemun Şaman"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Bukalemun Simyacı"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Çizgi Bukalemun Şaman"
"heroes.name_fancy.s2_croc_man","Bataklık Haydudu"
"heroes.name_fancy.s2_cursed_samurai","Lanetli Savaş Lordu"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Samuray Böcek"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Lanetli Çizgi Lordu"
"heroes.name_fancy.s2_demon_master","Aldatıcı Daimyo"
"heroes.name_fancy.s2_demon_master_costume_cute","Çizgi Aldatıcı"
"heroes.name_fancy.s2_demon_master_costume_steppe","Guileli Khevtuul"
"heroes.name_fancy.s2_fiji_mermaid","Sığlık Avcısı"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Çizgi Avcı"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Sığlık Takipçisi"
"heroes.name_fancy.s2_fox_girl","Dokuz kuyruklu Ruh"
"heroes.name_fancy.s2_fox_girl_costume_cute","Dokun Kuyruklu Çizgi"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Beyaz Kitsune Ruhu"
"heroes.name_fancy.s2_ghost_woman","Yalnız Hayalet"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Yalnız Yurei"
"heroes.name_fancy.s2_hammerhead_hulk","Vahşi Kasap"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Vahşi Kılıç Ustası"
"heroes.name_fancy.s2_junglehunter","Orman Prensi"
"heroes.name_fancy.s2_junglehunter_costume_cute","Orman Çizgisi"
"heroes.name_fancy.s2_junglehunter_costume_party","Lū'au'nun Prensi"
"heroes.name_fancy.s2_lantern_ghost","Fener Yokai"
"heroes.name_fancy.s2_mercenary_woman","Muhteşem Paralı Asker"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Görkemli Hula Dansçısı"
"heroes.name_fancy.s2_merman","Atlantis Deniz Adamı"
"heroes.name_fancy.s2_merman_costume_cute","Çizgi Deniz Adam"
"heroes.name_fancy.s2_merman_costume_leutenant","Atlantis Teğmeni"
"heroes.name_fancy.s2_merwoman","Atlantisli Deniz Kızı"
"heroes.name_fancy.s2_merwoman_costume_cute","Çizgi Deniz Kızı"
"heroes.name_fancy.s2_merwoman_costume_emissary","Atlantis Temsilcisi"
"heroes.name_fancy.s2_noble_lady","Ölümcül Güzellik"
"heroes.name_fancy.s2_noble_lady_costume_cute","Çizgi Güzel"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Yanan Güzellik"
"heroes.name_fancy.s2_oceanus","Deniz Titanı"
"heroes.name_fancy.s2_oceanus_costume_volcano","Magma Titanı"
"heroes.name_fancy.s2_poseidon","Atlantis Hükümdarı"
"heroes.name_fancy.s2_poseidon_costume_cute","Çizgi Atlantis Hükümdarı"
"heroes.name_fancy.s2_poseidon_costume_slayer","Atlantis Katili"
"heroes.name_fancy.s2_proteus","Atlantis Sihirbazı"
"heroes.name_fancy.s2_proteus_costume_cute","Çizgi Atlantis Sihirbazı"
"heroes.name_fancy.s2_proteus_costume_farseer","Atlantis Kahini"
"heroes.name_fancy.s2_rugged_fisherman","Cesur Balıkçı"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Çizgi Cesur Balıkçı"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Cesur İçki Üreticisi"
"heroes.name_fancy.s2_skyllaros","Atlantis Muhafızı"
"heroes.name_fancy.s2_skyllaros_costume_cute","Çizgi Atlantis Muhafızı"
"heroes.name_fancy.s2_skyllaros_costume_reef","Kayalığın Muhafızı"
"heroes.name_fancy.s2_straw_demon","Saman İblisi"
"heroes.name_fancy.s2_tanuki_raccoon","Korkusuz Aldatıcı"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Korkusuz Tüccar"
"heroes.name_fancy.s2_tethys","Tüm Nehirlerin Tanrıçası"
"heroes.name_fancy.s2_tethys_costume_steel","Tüm Nehirlerin İntikamcısı"
"heroes.name_fancy.s2_triton","Atlantis Kaptanı"
"heroes.name_fancy.s2_triton_costume_champion","Atlantis Şampiyonu"
"heroes.name_fancy.s2_ursena","Derinliklerin İmparatoriçesi"
"heroes.name_fancy.s2_ursena_costume_cute","Derinliklerin Çizgisi"
"heroes.name_fancy.s2_ursena_costume_reef","Ölümcül Kayalık Kraliçesi"
"heroes.name_fancy.s3_agnes","Cesur Köylü"
"heroes.name_fancy.s3_alfrike","Svartalfheim Kraliçesi"
"heroes.name_fancy.s3_alfrike_costume_hatter","Svartalfheim Şapkacısı"
"heroes.name_fancy.s3_almur","Svartalfheim Gölge Kılıcı"
"heroes.name_fancy.s3_almur_costume_lord","Svartalfheim Lordu"
"heroes.name_fancy.s3_anwindr","Lanetli Viking Biraderler"
"heroes.name_fancy.s3_baldur","Parlak Tanrı"
"heroes.name_fancy.s3_baldur_costume_fiery","Ateşli Tanrı"
"heroes.name_fancy.s3_bera","Dísir Prensesi"
"heroes.name_fancy.s3_bera_costume_conjurer","Dísir Büyücüsü"
"heroes.name_fancy.s3_bjorn","Cesur Köylü"
"heroes.name_fancy.s3_bjorn_costume_viking","Cesur Asker"
"heroes.name_fancy.s3_brynhild","Valkürlerin Kalkan Bakiresi"
"heroes.name_fancy.s3_by_ulf","Lanetli Viking Dövüşçüsü"
"heroes.name_fancy.s3_ei_dunn","Lanetli Viking Cengaveri"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Azılı Viking Savaşçısı"
"heroes.name_fancy.s3_fenrir","Niflheim Lideri"
"heroes.name_fancy.s3_fenrir_costume_guardian","Niflheim Muhafızı"
"heroes.name_fancy.s3_freya","Katliamın Hanımefendisi"
"heroes.name_fancy.s3_freya_costume_witch","Düşmüşlerin Cadısı"
"heroes.name_fancy.s3_frigg","Basiret Tanrıçası"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Durugörü Tanrıçası"
"heroes.name_fancy.s3_fura","Svartalfheim Zehirleyicisi"
"heroes.name_fancy.s3_fura_costume_herbalist","Svartalfheim'ın Otacısı"
"heroes.name_fancy.s3_gefjon","Hasat Tanrıçası"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Yaban Tanrıçası"
"heroes.name_fancy.s3_grevle","Kurnaz Porsuk"
"heroes.name_fancy.s3_gullinbursti","Altın Domuz"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Zincirsiz Yaban Domuzu"
"heroes.name_fancy.s3_heimdall","Uyanık Gözcü"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Korkunç Gözcü"
"heroes.name_fancy.s3_jarvur","Obur Boksör"
"heroes.name_fancy.s3_jott","Barbar Buz Devi"
"heroes.name_fancy.s3_kvasir","Alfheim Arıcısı"
"heroes.name_fancy.s3_kvasir_costume_captain","Alfheim'ın Arı Kaptanı"
"heroes.name_fancy.s3_loki_female","Hilebaz Tanrıça"
"heroes.name_fancy.s3_loki_female_costume_mother","Hilebaz Anne"
"heroes.name_fancy.s3_loki_fish","Hilebaz Balık"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Zarif Balık"
"heroes.name_fancy.s3_loki_male","Hilebaz Tanrı"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Şekil Değiştiren Tanrı"
"heroes.name_fancy.s3_mireweave","Hızlı Draugr"
"heroes.name_fancy.s3_mist","Valkürlerin Komutanı"
"heroes.name_fancy.s3_nordri","Jotunheim'in Buz Cücesi"
"heroes.name_fancy.s3_nordri_costume_explorer","Jotunheim'ın Kaşif Cücesi"
"heroes.name_fancy.s3_norns","Kaderin Ağ Örücüleri"
"heroes.name_fancy.s3_norns_costume_puppeteers","Kaderin Kuklacıları"
"heroes.name_fancy.s3_odin","Bilge Baş Tanrı"
"heroes.name_fancy.s3_odin_costume_champion","Cesur Yüce Baba"
"heroes.name_fancy.s3_ratatoskr","Yggdrasil'in Elçisi"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Yggdrasil'in Mimarı"
"heroes.name_fancy.s3_shadereave","Yabani Draugr"
"heroes.name_fancy.s3_sif","Sarışın İlah"
"heroes.name_fancy.s3_sif_costume_golden","Altın İlah"
"heroes.name_fancy.s3_skadi","Jotunheim Tanrıçası"
"heroes.name_fancy.s3_skadi_costume_ravager","Jotunheim Muhafızı"
"heroes.name_fancy.s3_stonecleave","Merhametsiz Draugr"
"heroes.name_fancy.s3_sudri","Muspelheim'in Ateş Cücesi"
"heroes.name_fancy.s3_sumle","İri Kıyım Ateş Devi"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Kutsanmamış Ateş Devi"
"heroes.name_fancy.s3_thor","Gök Gürültüsü Tanrısı"
"heroes.name_fancy.s3_thor_costume_conduit","Şimşek Hattı"
"heroes.name_fancy.s3_tyr","Amansız Adalet"
"heroes.name_fancy.s3_tyr_costume_savage","Vahşi Adalet"
"heroes.name_fancy.s4_akkorog","Morlock Reisi"
"heroes.name_fancy.s4_akkorog_costume_football","Morlock Defans Oyuncusu"
"heroes.name_fancy.s4_aouda","İyi Kalpli Prenses"
"heroes.name_fancy.s4_aouda_costume_lotus","Lotus Prenses"
"heroes.name_fancy.s4_captain_nemo","Esrarengiz Kaşif"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Esrarengiz Makinist"
"heroes.name_fancy.s4_congalach","Derinliklerin Savaşçısı"
"heroes.name_fancy.s4_congalach_costume_kelp","Yosun Savaşçısı"
"heroes.name_fancy.s4_doctor_moreau","Tehlikeli Bilim İnsanı"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Sinsi Katip"
"heroes.name_fancy.s4_elizabeth","Örümcek Aristokrat"
"heroes.name_fancy.s4_elizabeth_costume_bride","Aristokrat Gelin"
"heroes.name_fancy.s4_exeera","Ahtapot Papaz"
"heroes.name_fancy.s4_exeera_costume_hierophant","Ahtapot Tefsirci"
"heroes.name_fancy.s4_garjammal","Morlock Savaş Ustası"
"heroes.name_fancy.s4_garjammal_costume_kite","Morlock Uçurtma Ustası"
"heroes.name_fancy.s4_gramps","Buçukluk İhtiyar"
"heroes.name_fancy.s4_gramps_costume_gardener","Buçukluk Bahçıvan"
"heroes.name_fancy.s4_griffin","Görünmez Adam"
"heroes.name_fancy.s4_griffin_costume_priest","Görünmez Papaz"
"heroes.name_fancy.s4_hannah","Maceracı Arkeolog"
"heroes.name_fancy.s4_hannah_costume_drover","Maceracı Çoban"
"heroes.name_fancy.s4_helo","Eloi Balıkçısı"
"heroes.name_fancy.s4_helo_costume_baker","Eloi Pastacısı"
"heroes.name_fancy.s4_hulda","Köstebeklerin Başı"
"heroes.name_fancy.s4_hulda_costume_nurse","Baş Hemşire"
"heroes.name_fancy.s4_kravekrush","Ettin Komutanı"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Dev Izgara Ustası"
"heroes.name_fancy.s4_lepiota","Eloi Lideri"
"heroes.name_fancy.s4_lepiota_costume_undying","Ölümsüzlerin Lideri"
"heroes.name_fancy.s4_lughaidh","Derinliklerin Kralı"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Ölümsüz Kral"
"heroes.name_fancy.s4_mack","Maceracı Buçukluk"
"heroes.name_fancy.s4_mack_costume_novelist","Buçukluk Romancı"
"heroes.name_fancy.s4_morel","Eloi Avcısı"
"heroes.name_fancy.s4_morel_costume_sage","Eloi Bilgesi"
"heroes.name_fancy.s4_morris","Güçlü Köstebek Adam"
"heroes.name_fancy.s4_morris_costume_potter","Çömlekçi Köstebek Adam"
"heroes.name_fancy.s4_octros","Ahtapot Şampiyon"
"heroes.name_fancy.s4_octros_costume_suitor","Yumuşakça Talip"
"heroes.name_fancy.s4_passepartout","Akıllı Gezgin"
"heroes.name_fancy.s4_passepartout_costume_artist","Zarif Sanatçı"
"heroes.name_fancy.s4_phileas_fogg","Cesur Gezgin"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Seçkin Mühendis"
"heroes.name_fancy.s4_poppy","Arbaletli Buçukluk"
"heroes.name_fancy.s4_poppy_costume_lodger","Buçukluk Kiracı"
"heroes.name_fancy.s4_professor_lidenbrock","Bilge Bilim İnsanı"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Akıllı Kuyumcu"
"heroes.name_fancy.s4_rokkamush","Ettin Darbesi"
"heroes.name_fancy.s4_rokkamush_costume_mason","Ettin Duvarcı"
"heroes.name_fancy.s4_russula","Eloi Haini"
"heroes.name_fancy.s4_russula_costume_painter","Eloi Ressam"
"heroes.name_fancy.s4_tettukh","Morlock Canavarı"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Morlock Amigosu"
"heroes.name_fancy.s4_vollermork","İstifçi Morlock"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlock Barmen"
"heroes.name_fancy.s4_xenda","Yer Altı Dünyasının Mirasçısı"
"heroes.name_fancy.s4_xenda_costume_flame","Alev Mirasçısı"
"heroes.name_fancy.s4_xnolphod","Ahtapot Büyücü"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Ahtapot Gardiyan"
"heroes.name_fancy.s4_zekena","Çok Ayaklı Prens"
"heroes.name_fancy.s4_zekena_costume_vines","Bitki Prensi"
"heroes.name_fancy.s4_zenobia","Çok Ayaklı Kraliçe"
"heroes.name_fancy.s4_zenobia_costume_floral","Bitki Kraliçesi"
"heroes.name_fancy.s4_zila_lei","Octropot Suikastçı"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Ahtapot Dansçı"
"heroes.name_fancy.s5_ahhotep","Mumya Savaşçı"
"heroes.name_fancy.s5_ahhotep_costume_champion","Mumya Şampiyon"
"heroes.name_fancy.s5_ahmose","Mumya Firavun"
"heroes.name_fancy.s5_ahmose_costume_reborn","Yeniden Doğmuş Firavun"
"heroes.name_fancy.s5_anubis","Ahiretin Tanrısı"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Dans Pisti Hakemi"
"heroes.name_fancy.s5_aqeela","Şehirli Urchin"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Şehirli Büyücü"
"heroes.name_fancy.s5_azmia","Turp Gibi Taverna Bekçisi"
"heroes.name_fancy.s5_azmia_costume_dancing","Dans Eden Taverna Bekçisi"
"heroes.name_fancy.s5_bastet","Ayın Gözü"
"heroes.name_fancy.s5_bastet_costume_forest","Ormanın Gözü"
"heroes.name_fancy.s5_bennu","Yaratılışın Ruhu"
"heroes.name_fancy.s5_bennu_costume_heron","Yaratılış Balıkçılı"
"heroes.name_fancy.s5_cleopatra","İlahi Firavun"
"heroes.name_fancy.s5_cleopatra_costume_feline","Kedi Firavun"
"heroes.name_fancy.s5_el_naddaha","Nehrin Sireni"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Denizin Sireni"
"heroes.name_fancy.s5_eset","Bin İsimli Hanım"
"heroes.name_fancy.s5_eset_costume_goldensun","Altın Güneşin Leydisi"
"heroes.name_fancy.s5_faiez","Tesadüfi Çiftçi"
"heroes.name_fancy.s5_faiez_costume_miner","Tesadüfi Madenci"
"heroes.name_fancy.s5_hathor","Annelik Tanrıçası"
"heroes.name_fancy.s5_hathor_costume_starlit","Yıldız Işıklı Anne"
"heroes.name_fancy.s5_hetepheres","Kurnaz Sfenks"
"heroes.name_fancy.s5_hetepheres_costume_spa","Kaplıcadaki Sfenks"
"heroes.name_fancy.s5_horus","Av Tanrısı"
"heroes.name_fancy.s5_horus_costume_golden","Altın Avcı"
"heroes.name_fancy.s5_jarif","Stresli Yazar"
"heroes.name_fancy.s5_jarif_costume_curator","Stresli İdareci"
"heroes.name_fancy.s5_junaid","Yeminli Asker"
"heroes.name_fancy.s5_junaid_costume_champion","Yeminli Şampiyon"
"heroes.name_fancy.s5_khafre","Akut İnsan Başlı Sfenks"
"heroes.name_fancy.s5_khafre_costume_aquatic","Su Androsfenksi"
"heroes.name_fancy.s5_khepri","Kutsal Böcek Tanrısı"
"heroes.name_fancy.s5_khepri_costume_overlord","Böcek Hükümdarı"
"heroes.name_fancy.s5_khonshu","Ay Tanrısı"
"heroes.name_fancy.s5_khonshu_costume_knight","Ay Şövalyesi"
"heroes.name_fancy.s5_maat","Ahenk Leydisi"
"heroes.name_fancy.s5_maat_costume_river","Iteru Hanımı"
"heroes.name_fancy.s5_meresankh","Güneş Sfenksi"
"heroes.name_fancy.s5_meresankh_costume_disco","Disko Sfenksi"
"heroes.name_fancy.s5_papyros","Kağıdın ve Kumun Golemi"
"heroes.name_fancy.s5_papyros_costume_colossus","Kağıt ve Kum Devi"
"heroes.name_fancy.s5_ptolemy","Yaşlı Firavun"
"heroes.name_fancy.s5_ptolemy_costume_log","İhtiyar Kaydı"
"heroes.name_fancy.s5_rekhetre","Genç Sfenks"
"heroes.name_fancy.s5_rekhetre_costume_artist","Genç Sanatçı"
"heroes.name_fancy.s5_scoratek","Kutsal Böcek Muhafızı"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Böcek Nöbetçi"
"heroes.name_fancy.s5_sekhmet","Güneşin Gözü"
"heroes.name_fancy.s5_sekhmet_costume_warden","Güneşin Bekçisi"
"heroes.name_fancy.s5_set","Karanlık Gaspçı"
"heroes.name_fancy.s5_set_costume_tyrant","Karanlık Tiran"
"heroes.name_fancy.s5_sneferu","Ay Sfenksi"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Ay'ın Galibi"
"heroes.name_fancy.s5_sobek","Nehir Tanrısı"
"heroes.name_fancy.s5_sobek_costume_guardian","Nehrin Muhafızı"
"heroes.name_fancy.s5_tetisheri","Mumya Kraliçe"
"heroes.name_fancy.s5_tetisheri_costume_molten","Eriyik Kraliçe"
"heroes.name_fancy.s5_waqas","Firavunun Kalkanı"
"heroes.name_fancy.s5_waqas_costume_blade","Firavunun Kılıcı"
"heroes.name_fancy.sand_horse","Kum İmparatorluğunun Güvenilir Atı"
"heroes.name_fancy.sand_king","Kum İmparatorluğu Kralı"
"heroes.name_fancy.sand_king_costume_lifeguard","Cankurtaranlar Kralı"
"heroes.name_fancy.sand_queen","Kum İmparatorluğu Kraliçesi"
"heroes.name_fancy.sand_queen_costume_surfer","Sörfçü Kraliçe"
"heroes.name_fancy.sand_roc","Kum İmparatorluğunun Koruyucusu"
"heroes.name_fancy.sand_roc_costume_juice","Plajın Koruyucusu"
"heroes.name_fancy.sand_soldier","Kum İmparatorluğu Askeri"
"heroes.name_fancy.sand_tower","Kum İmparatorluğu Canavarı"
"heroes.name_fancy.sand_vizier","Kum İmparatorluğu Veziri"
"heroes.name_fancy.scoundrel_duval","Düzenbaz Nişancı"
"heroes.name_fancy.scoundrel_lane","Yol Kesen Haydut"
"heroes.name_fancy.shadow_abigail","Araştırmacı Gazeteci"
"heroes.name_fancy.shadow_asketel","Kayıp Bilgilerin Arayıcısı"
"heroes.name_fancy.shadow_atwood","Bilinmeyene Kapılan"
"heroes.name_fancy.shadow_burton","Homunkulus Araştırmacı"
"heroes.name_fancy.shadow_cthuwu","Eskilerden Doğan"
"heroes.name_fancy.shadow_dolores","Umursamaz Özel Dedektif"
"heroes.name_fancy.shadow_gwendoline","Fanatik Arkeolog"
"heroes.name_fancy.shadow_hunter","Eskilerin Soyu"
"heroes.name_fancy.shadow_hysteria","Mistik Eser Koleksiyoncusu"
"heroes.name_fancy.shadow_melancholia","Eskilerin Destekçisi"
"heroes.name_fancy.shadow_omen","Şeytan Yarığının Kutsalı"
"heroes.name_fancy.shadow_penelope","Azılı Eski Kütüphaneci"
"heroes.name_fancy.shadow_rashan","Hulu Metal Kullanıcısı"
"heroes.name_fancy.shadow_rosanna","İsabetli Atış"
"heroes.name_fancy.shadow_salvatore","Sapkın Medyum"
"heroes.name_fancy.shadow_shoggo","Şekil Değiştirme Kılavuzu"
"heroes.name_fancy.shadow_wulfstan","Tuhaf Mühimmat Zanaatkarı"
"heroes.name_fancy.shadow_zavinia","Derinliklerin Melezi"
"heroes.name_fancy.slayer_aodhan","Yanan"
"heroes.name_fancy.slayer_caitlin","Aydınlanmış"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Adalet Savaşçısı"
"heroes.name_fancy.slayer_cathal","Cesur Yürekli"
"heroes.name_fancy.slayer_cillian","Ölümsüz"
"heroes.name_fancy.slayer_maeve","Görünmez"
"heroes.name_fancy.slayer_noril","Hiddetli"
"heroes.name_fancy.slayer_orla","Değerli"
"heroes.name_fancy.slayer_rian","Kararlı"
"heroes.name_fancy.slayer_saoirse","Ehlileştirilemez"
"heroes.name_fancy.slayer_saoirse_costume_knight","Galip"
"heroes.name_fancy.slayer_senan","Uğursuz"
"heroes.name_fancy.slayer_senan_costume_tentacles","Kafadan Bacaklı Uşak"
"heroes.name_fancy.slime_achillea","Korkusuz Gladyatör Balçık"
"heroes.name_fancy.slime_boboosang","İhtiyar Gezgin Satıcı Balçık"
"heroes.name_fancy.slime_bulklug","Damla Mimarı Balçık"
"heroes.name_fancy.slime_charmione","Cazibeli Tiyatro Sıvısı"
"heroes.name_fancy.slime_chingiriko","Gölge Takipçisi Balçık"
"heroes.name_fancy.slime_choozen","Utangaç Sandık Balçığı"
"heroes.name_fancy.slime_fruitio","Meyve Seven Balçık"
"heroes.name_fancy.slime_fungustine","Yenilenen Orman Balçığı"
"heroes.name_fancy.slime_gloozmer","Nazik Hilebaz Balçık"
"heroes.name_fancy.slime_goldrip","Altın Balçık Kralı"
"heroes.name_fancy.slime_gooldron","İnek Kazan Balçığı"
"heroes.name_fancy.slime_goorian","Barbar Çamur"
"heroes.name_fancy.slime_gooric","Bilge Sığınak Sıvısı"
"heroes.name_fancy.slime_gooze","Kaçak Simya Laboratuvarı Sıvısı"
"heroes.name_fancy.slime_gunktus","Acımasız Savaş Damlası"
"heroes.name_fancy.slime_harubo","Devriye Gezen Balçık"
"heroes.name_fancy.slime_justico","Koruyucu Balçık"
"heroes.name_fancy.slime_knightus","Nazik Tapınak Balçığı"
"heroes.name_fancy.slime_labblub","Meraklı Bilim Balçığı"
"heroes.name_fancy.slime_magistine","Büyü Dokuyucu Balçık"
"heroes.name_fancy.slime_mucktus","Zalim Orman Damlası"
"heroes.name_fancy.slime_slaymire","İnatçı Memur Balçık"
"heroes.name_fancy.slime_slimgo","Sinsi Düzenbaz Balçık"
"heroes.name_fancy.slime_sliposi","Üçkağıtçı Kurye Balçık"
"heroes.name_fancy.slime_sludgus","Şarkı Söyleyen Taverna Balçığı"
"heroes.name_fancy.slime_verdigoo","Vıcık Zümrüt Yargıcı"
"heroes.name_fancy.slime_zestique","Hoş Utangaç Balçık"
"heroes.name_fancy.styx_amphitrite","Deniz Tanrıçası"
"heroes.name_fancy.styx_arges","İksir Tüccarı Kiklop"
"heroes.name_fancy.styx_brontes","Çiftçi Kiklop"
"heroes.name_fancy.styx_charon","Stiks Teknecisi"
"heroes.name_fancy.styx_dante","Yer Altı Dünyası Maceracısı"
"heroes.name_fancy.styx_erebus","Derin Karanlık Tanrısı"
"heroes.name_fancy.styx_hypnos","Uykunun Efendisi"
"heroes.name_fancy.styx_nemesis","İlahi İntikam Tanrıçası"
"heroes.name_fancy.styx_nyx","Gece Anne"
"heroes.name_fancy.styx_steropes","Sanatçı Kiklop"
"heroes.name_fancy.styx_thanatos","Huzurlu Ölüm Tanrısı"
"heroes.name_fancy.styx_virgil","Yer Altı Dünyasına Rehber"
"heroes.name_fancy.tales1_aqualith","Element Hopliti"
"heroes.name_fancy.tales1_aqualith_costume_purple","Elementer Dev"
"heroes.name_fancy.tales1_atlanteia","Derinlerin Buzul Nereid'i"
