"heroes.name_fancy.astral_cosmicspeaker","Stjärnalvernas astronom"
"heroes.name_fancy.s2_noble_lady","Dödlig skönhet"
"heroes.name_fancy.s2_noble_lady_costume_cute","Tecknad skönhet"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Flammande skönhet"
"heroes.name_fancy.s2_oceanus","Havstitan"
"heroes.name_fancy.s2_oceanus_costume_volcano","Magmatitan"
"heroes.name_fancy.s2_poseidon","Atlantis härskare"
"heroes.name_fancy.s2_poseidon_costume_cute","Tecknad Atlantis härskare"
"heroes.name_fancy.s2_poseidon_costume_slayer","Atlantis dräpare"
"heroes.name_fancy.s2_proteus","Atlantisk magiker"
"heroes.name_fancy.s2_proteus_costume_cute","Tecknad atlantisk magiker"
"heroes.name_fancy.s2_proteus_costume_farseer","Atlantis fjärrskådare"
"heroes.name_fancy.s2_rugged_fisherman","Djärv fiskare"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Tecknad djärv fiskare"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Strålande sakebryggare"
"heroes.name_fancy.s2_skyllaros","Atlantisk väktare"
"heroes.name_fancy.s2_skyllaros_costume_cute","Tecknad atlantisk väktare"
"heroes.name_fancy.s2_skyllaros_costume_reef","Revets väktare"
"heroes.name_fancy.s2_straw_demon","Halmdemon"
"heroes.name_fancy.s2_tanuki_raccoon","Orädd bedragare"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Orädd köpman"
"heroes.name_fancy.s2_tethys","Alla floders gudinna"
"heroes.name_fancy.s2_tethys_costume_steel","Flodernas hämnare"
"heroes.name_fancy.s2_triton","Atlantis kapten"
"heroes.name_fancy.s2_triton_costume_champion","Atlantis kämpe"
"heroes.name_fancy.s2_ursena","Djupens kejsarinna"
"heroes.name_fancy.s2_ursena_costume_cute","Tecknad djupets kejsarinna"
"heroes.name_fancy.s2_ursena_costume_reef","Dödlig revdrottning"
"heroes.name_fancy.s3_agnes","Modig bybo"
"heroes.name_fancy.s3_alfrike","Svartalfheims drottning"
"heroes.name_fancy.s3_alfrike_costume_hatter","Svartalfheims hattmakare"
"heroes.name_fancy.s3_almur","Svartalfheims skuggklinga"
"heroes.name_fancy.s3_almur_costume_lord","Svartalfheims herre"
"heroes.name_fancy.s3_anwindr","Förbannad vikingakämpe"
"heroes.name_fancy.s3_baldur","Lysande gud"
"heroes.name_fancy.s3_baldur_costume_fiery","Eldgud"
"heroes.name_fancy.s3_bera","Disernas prinsessa"
"heroes.name_fancy.s3_bera_costume_conjurer","Disernas besvärjare"
"heroes.name_fancy.s3_bjorn","Modig bybo"
"heroes.name_fancy.s3_bjorn_costume_viking","Tapper soldat"
"heroes.name_fancy.s3_brynhild","Valkyriornas sköldmö"
"heroes.name_fancy.s3_by_ulf","Förbannad vikingaslagskämpe"
"heroes.name_fancy.s3_ei_dunn","Förbannad vikingakrigare"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Vildsint vikingakrigare"
"heroes.name_fancy.s3_fenrir","Niflheims ledare"
"heroes.name_fancy.s3_fenrir_costume_guardian","Nifelheims väktare"
"heroes.name_fancy.s3_freya","De dräptas härskarinna"
"heroes.name_fancy.s3_freya_costume_witch","De stupades häxa"
"heroes.name_fancy.s3_frigg","Förutseendets gudinna"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Synskhetens drottning"
"heroes.name_fancy.s3_fura","Svartalfheims förgiftare"
"heroes.name_fancy.s3_fura_costume_herbalist","Svartalfheims örtkännare"
"heroes.name_fancy.s3_gefjon","Skördegudinnan"
"heroes.name_fancy.s3_gefjon_costume_wilderness","De vildas gudinna"
"heroes.name_fancy.s3_grevle","Listig grävling"
"heroes.name_fancy.s3_gullinbursti","Gyllene vildsvin"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Lössläppt vildsvin"
"heroes.name_fancy.s3_heimdall","Vaksam väktare"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Fruktad väktare"
"heroes.name_fancy.s3_jarvur","Järvpugilist"
"heroes.name_fancy.s3_jott","Barbarisk isjätte"
"heroes.name_fancy.s3_kvasir","Alfheims biodlare"
"heroes.name_fancy.s3_kvasir_costume_captain","Alfheims bikapten"
"heroes.name_fancy.s3_loki_female","Slughetens gudinna"
"heroes.name_fancy.s3_loki_female_costume_mother","Skojare till mor"
"heroes.name_fancy.s3_loki_fish","Slughetens fisk"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Fina fisken"
"heroes.name_fancy.s3_loki_male","Slughetens gud"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Hamnskiftargud"
"heroes.name_fancy.s3_mireweave","Snabb draug"
"heroes.name_fancy.s3_mist","Valkyriornas befälhavare"
"heroes.name_fancy.s3_nordri","Jotunheims isdvärg"
"heroes.name_fancy.s3_nordri_costume_explorer","Jotunheims utforskardvärg"
"heroes.name_fancy.s3_norns","Ödets väverskor"
"heroes.name_fancy.s3_norns_costume_puppeteers","Ödets dockspelare"
"heroes.name_fancy.s3_odin","Vise allfadern"
"heroes.name_fancy.s3_odin_costume_champion","Tappra Allfadern"
"heroes.name_fancy.s3_ratatoskr","Yggdrasils budbärare"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Yggdrasils arkitekt"
"heroes.name_fancy.s3_shadereave","Vild draug"
"heroes.name_fancy.s3_sif","Ljushårig gudom"
"heroes.name_fancy.s3_sif_costume_golden","Gyllene gudom"
"heroes.name_fancy.s3_skadi","Jotunheims gudinna"
"heroes.name_fancy.s3_skadi_costume_ravager","Jotunheims väktare"
"heroes.name_fancy.s3_stonecleave","Obeveklig draug"
"heroes.name_fancy.s3_sudri","Muspelheims elddvärg"
"heroes.name_fancy.s3_sumle","Väldig eldjätte"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Ohelgad eldjätte"
"heroes.name_fancy.s3_thor","Åskguden"
"heroes.name_fancy.s3_thor_costume_conduit","Åskledaren"
"heroes.name_fancy.s3_tyr","Obändig rättvisa"
"heroes.name_fancy.s3_tyr_costume_savage","Blodig rättvisa"
"heroes.name_fancy.s4_akkorog","Morlockhövding"
"heroes.name_fancy.s4_akkorog_costume_football","Running back-morlock"
"heroes.name_fancy.s4_aouda","Snäll prinsessa"
"heroes.name_fancy.s4_aouda_costume_lotus","Lotusprinsessan"
"heroes.name_fancy.s4_captain_nemo","Gåtfull utforskare"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Gåtfull maskinist"
"heroes.name_fancy.s4_congalach","Djupets krigare"
"heroes.name_fancy.s4_congalach_costume_kelp","Algkrigare"
"heroes.name_fancy.s4_doctor_moreau","Slug vetenskapsman"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Slug skrivare"
"heroes.name_fancy.s4_elizabeth","Spindelaristokrat"
"heroes.name_fancy.s4_elizabeth_costume_bride","Brudaristokrat"
"heroes.name_fancy.s4_exeera","Oktapod-präst"
"heroes.name_fancy.s4_exeera_costume_hierophant","Havets hierofant"
"heroes.name_fancy.s4_garjammal","Morlockstridsmästare"
"heroes.name_fancy.s4_garjammal_costume_kite","Morlockdrakmästare"
"heroes.name_fancy.s4_gramps","Halvmansäldste"
"heroes.name_fancy.s4_gramps_costume_gardener","Halvlingsträdgårdsmästare"
"heroes.name_fancy.s4_griffin","Osynlig man"
"heroes.name_fancy.s4_griffin_costume_priest","Osynlig präst"
"heroes.name_fancy.s4_hannah","Äventyrlig arkeolog"
"heroes.name_fancy.s4_hannah_costume_drover","Äventyrlig oxdrivare"
"heroes.name_fancy.s4_helo","Eloifiskare"
"heroes.name_fancy.s4_helo_costume_baker","Eloibagare"
"heroes.name_fancy.s4_hulda","Mullvadarnas ledare"
"heroes.name_fancy.s4_hulda_costume_nurse","Chefssjuksköterska"
"heroes.name_fancy.s4_kravekrush","Ettinbefälhavare"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Ettingrillmästare"
"heroes.name_fancy.s4_lepiota","Eloiledare"
"heroes.name_fancy.s4_lepiota_costume_undying","De odödligas ledare"
"heroes.name_fancy.s4_lughaidh","Djupets kung"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Den dödslösa kungen"
"heroes.name_fancy.s4_mack","Halvmansäventyrare"
"heroes.name_fancy.s4_mack_costume_novelist","Halvlingsförfattare"
"heroes.name_fancy.s4_morel","Eloijägare"
"heroes.name_fancy.s4_morel_costume_sage","Vis eloi"
"heroes.name_fancy.s4_morris","Mäktig mullvadsman"
"heroes.name_fancy.s4_morris_costume_potter","Krukmakande mullvadsman"
"heroes.name_fancy.s4_octros","Oktapod-mästare"
"heroes.name_fancy.s4_octros_costume_suitor","Molluskfriare"
"heroes.name_fancy.s4_passepartout","Smart resenär"
"heroes.name_fancy.s4_passepartout_costume_artist","Elegant konstnär"
"heroes.name_fancy.s4_phileas_fogg","Modig resande"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Enastående konstruktör"
"heroes.name_fancy.s4_poppy","Halvmansbågskytt"
"heroes.name_fancy.s4_poppy_costume_lodger","Halvmansinneboende"
"heroes.name_fancy.s4_professor_lidenbrock","Skarpsinnig vetenskapsman"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Skarpsinnig juvelerare"
"heroes.name_fancy.s4_rokkamush","Ettinkrossare"
"heroes.name_fancy.s4_rokkamush_costume_mason","Ettinstenläggare"
"heroes.name_fancy.s4_russula","Eloitjuv"
"heroes.name_fancy.s4_russula_costume_painter","Eloimålare"
"heroes.name_fancy.s4_tettukh","Morlockråskinn"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Morlockhejaklacksledare"
"heroes.name_fancy.s4_vollermork","Morlocksamlare"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlockbartender"
"heroes.name_fancy.s4_xenda","Dödsrikets arvtagerska"
"heroes.name_fancy.s4_xenda_costume_flame","Flammans arvtagare"
"heroes.name_fancy.s4_xnolphod","Oktapod-trollkarl"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Oktapod-fångvakt"
"heroes.name_fancy.s4_zekena","Myriapod-prins"
"heroes.name_fancy.s4_zekena_costume_vines","Apocynacid-prins"
"heroes.name_fancy.s4_zenobia","Myriapod-drottning"
"heroes.name_fancy.s4_zenobia_costume_floral","Apocynacid-drottning"
"heroes.name_fancy.s4_zila_lei","Oktropodlönnmördare"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Oktapod-dansare"
"heroes.name_fancy.s5_ahhotep","Mumiekrigare"
"heroes.name_fancy.s5_ahhotep_costume_champion","Mumiekämpe"
"heroes.name_fancy.s5_ahmose","Mumiefarao"
"heroes.name_fancy.s5_ahmose_costume_reborn","Återfödd farao"
"heroes.name_fancy.s5_anubis","Efterlivets gud"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Dansgolvets domare"
"heroes.name_fancy.s5_aqeela","Gatusmart slyngel"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Helsmart häxmästare"
"heroes.name_fancy.s5_azmia","Hårdnackad värdshusvärd"
"heroes.name_fancy.s5_azmia_costume_dancing","Dansant värdshusvärd"
"heroes.name_fancy.s5_bastet","Månens öga"
"heroes.name_fancy.s5_bastet_costume_forest","Skogens öga"
"heroes.name_fancy.s5_bennu","Skapelseande"
"heroes.name_fancy.s5_bennu_costume_heron","Skapelsehäger"
"heroes.name_fancy.s5_cleopatra","Gudomlig farao"
"heroes.name_fancy.s5_cleopatra_costume_feline","Kattig farao"
"heroes.name_fancy.s5_el_naddaha","Flodens siren"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Havssiren"
"heroes.name_fancy.s5_eset","Kvinnan med tiotusentals namn"
"heroes.name_fancy.s5_eset_costume_goldensun","Guldsolens utvalda"
"heroes.name_fancy.s5_faiez","Tillfällig bonde"
"heroes.name_fancy.s5_faiez_costume_miner","Nyckfull gruvarbetare"
"heroes.name_fancy.s5_hathor","Moderskapets gudinna"
"heroes.name_fancy.s5_hathor_costume_starlit","Stjärnbelyst moder"
"heroes.name_fancy.s5_hetepheres","Slug sfinx"
"heroes.name_fancy.s5_hetepheres_costume_spa","Sfinx på spa"
"heroes.name_fancy.s5_horus","Jaktens gud"
"heroes.name_fancy.s5_horus_costume_golden","Gyllene jägare"
"heroes.name_fancy.s5_jarif","Stressad skriftlärd"
"heroes.name_fancy.s5_jarif_costume_curator","Sönderstressad intendent"
"heroes.name_fancy.s5_junaid","Svuren soldat"
"heroes.name_fancy.s5_junaid_costume_champion","Edsvuren kämpe"
"heroes.name_fancy.s5_khafre","Skarp androsfinx"
"heroes.name_fancy.s5_khafre_costume_aquatic","Akvatisk androsfinx"
"heroes.name_fancy.s5_khepri","Skarabégud"
"heroes.name_fancy.s5_khepri_costume_overlord","Skarabéherre"
"heroes.name_fancy.s5_khonshu","Månens gud"
"heroes.name_fancy.s5_khonshu_costume_knight","Månens riddare"
"heroes.name_fancy.s5_maat","Harmonins kvinna"
"heroes.name_fancy.s5_maat_costume_river","Iterus härskarinna"
"heroes.name_fancy.s5_meresankh","Solens sfinx"
"heroes.name_fancy.s5_meresankh_costume_disco","Discots sfinx"
"heroes.name_fancy.s5_papyros","Golem av papper och sand"
"heroes.name_fancy.s5_papyros_costume_colossus","Papprets och sandens koloss"
"heroes.name_fancy.s5_ptolemy","Faraoäldste"
"heroes.name_fancy.s5_ptolemy_costume_log","Äldre trädstubbe"
"heroes.name_fancy.s5_rekhetre","Ung sfinx"
"heroes.name_fancy.s5_rekhetre_costume_artist","Ung konstnär"
"heroes.name_fancy.s5_scoratek","Skarabévakt"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Skarabéväktare"
"heroes.name_fancy.s5_sekhmet","Solens öga"
"heroes.name_fancy.s5_sekhmet_costume_warden","Solens beskyddare"
"heroes.name_fancy.s5_set","Mörk inkräktare"
"heroes.name_fancy.s5_set_costume_tyrant","Mörk tyrann"
"heroes.name_fancy.s5_sneferu","Månens sfinx"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Måndräparen"
"heroes.name_fancy.s5_sobek","Flodens gud"
"heroes.name_fancy.s5_sobek_costume_guardian","Flodens väktare"
"heroes.name_fancy.s5_tetisheri","Mumiedrottning"
"heroes.name_fancy.s5_tetisheri_costume_molten","Hettans drottning"
"heroes.name_fancy.s5_waqas","Faraons sköld"
"heroes.name_fancy.s5_waqas_costume_blade","Faraos klinga"
"heroes.name_fancy.sand_horse","Sandimperiets pålitliga häst"
"heroes.name_fancy.sand_king","Sandimperiets kung"
"heroes.name_fancy.sand_king_costume_lifeguard","Badvakternas konung"
"heroes.name_fancy.sand_queen","Sandimperiets drottning"
"heroes.name_fancy.sand_queen_costume_surfer","Surfardrottning"
"heroes.name_fancy.sand_roc","Sandrikets beskyddare"
"heroes.name_fancy.sand_roc_costume_juice","Strandens beskyddare"
"heroes.name_fancy.sand_soldier","Sandimperiets soldat"
"heroes.name_fancy.sand_tower","Sandimperiets råskinn"
"heroes.name_fancy.sand_vizier","Sandimperiets visir"
"heroes.name_fancy.scoundrel_duval","Bedräglig prickskytt"
"heroes.name_fancy.scoundrel_lane","Vägbandit"
"heroes.name_fancy.shadow_abigail","Undersökande journalist"
"heroes.name_fancy.shadow_asketel","Sökare av förlorad kunskap"
"heroes.name_fancy.shadow_atwood","Fängslad av det okända"
"heroes.name_fancy.shadow_burton","Homunculus-utredare"
"heroes.name_fancy.shadow_cthuwu","De gamlas avkomma"
"heroes.name_fancy.shadow_dolores","Vårdslös privatdetektiv"
"heroes.name_fancy.shadow_gwendoline","Fanatisk arkeolog"
"heroes.name_fancy.shadow_hunter","De gamlas ättling"
"heroes.name_fancy.shadow_hysteria","Samlare av mystiska artefakter"
"heroes.name_fancy.shadow_melancholia","De uråldrigas lärling"
"heroes.name_fancy.shadow_omen","Helgad av djävulsrevet"
"heroes.name_fancy.shadow_penelope","Vild ex-bibliotekarie"
"heroes.name_fancy.shadow_rashan","Hulu-metallanvändare"
"heroes.name_fancy.shadow_rosanna","Skarpskytt"
"heroes.name_fancy.shadow_salvatore","Förvridet medium"
"heroes.name_fancy.shadow_shoggo","Formskiftande vägvisare"
"heroes.name_fancy.shadow_wulfstan","Kuslig ammunitionstillverkare"
"heroes.name_fancy.shadow_zavinia","Djupets hybrid"
"heroes.name_fancy.slayer_aodhan","Den brinnande"
"heroes.name_fancy.slayer_caitlin","Den upplysta"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Domarkorsfararen"
"heroes.name_fancy.slayer_cathal","Den modige"
"heroes.name_fancy.slayer_cillian","Den odödliga"
"heroes.name_fancy.slayer_maeve","Den osedda"
"heroes.name_fancy.slayer_noril","Den vildsinta"
"heroes.name_fancy.slayer_orla","Den värdiga"
"heroes.name_fancy.slayer_rian","Den orubbliga"
"heroes.name_fancy.slayer_saoirse","Den otämjbara"
"heroes.name_fancy.slayer_saoirse_costume_knight","Kuvaren"
"heroes.name_fancy.slayer_senan","Den avskyvärda"
"heroes.name_fancy.slayer_senan_costume_tentacles","Cephaloidtjänaren"
"heroes.name_fancy.slime_achillea","Orätt gladiatorslem"
"heroes.name_fancy.slime_boboosang","Äldre handlarslem"
"heroes.name_fancy.slime_bulklug","Blobbyggarslem"
"heroes.name_fancy.slime_charmione","Charmig teatergegga"
"heroes.name_fancy.slime_chingiriko","Skuggjägarslem"
"heroes.name_fancy.slime_choozen","Blygt kistslem"
"heroes.name_fancy.slime_fruitio","Fruktälskande slem"
"heroes.name_fancy.slime_fungustine","Föryngrande skogsslem"
"heroes.name_fancy.slime_gloozmer","Snällt skojarslem"
"heroes.name_fancy.slime_goldrip","Gyllene slemkungen"
"heroes.name_fancy.slime_gooldron","Nördigt kittelslem"
"heroes.name_fancy.slime_goorian","Barbarisk gegga"
"heroes.name_fancy.slime_gooric","Vis fristadsgegga"
"heroes.name_fancy.slime_gooze","Förrymd alkemilabbsgegga"
"heroes.name_fancy.slime_gunktus","Skoningslös stridsklump"
"heroes.name_fancy.slime_harubo","Patrullerande slem"
"heroes.name_fancy.slime_justico","Beskyddarslem"
"heroes.name_fancy.slime_knightus","Ridderligt tempelslem"
"heroes.name_fancy.slime_labblub","Nyfiket forskarslem"
"heroes.name_fancy.slime_magistine","Slembesvärjare"
"heroes.name_fancy.slime_mucktus","Fruktansvärd skogsklump"
"heroes.name_fancy.slime_slaymire","Envis slembödel"
"heroes.name_fancy.slime_slimgo","Lömskt banditslem"
"heroes.name_fancy.slime_sliposi","Hal slemkurir"
"heroes.name_fancy.slime_sludgus","Sjungande värdshusslem"
"heroes.name_fancy.slime_verdigoo","Geggig smaragddomare"
"heroes.name_fancy.slime_zestique","Rodnande slem"
"heroes.name_fancy.styx_amphitrite","Havets gudinna"
"heroes.name_fancy.styx_arges","Trolldryckssäljande cyklop"
"heroes.name_fancy.styx_brontes","Bondcyklop"
"heroes.name_fancy.styx_charon","Styx färjkarl"
"heroes.name_fancy.styx_dante","Underjordisk äventyrare"
"heroes.name_fancy.styx_erebus","Det djupa mörkrets gudinna"
"heroes.name_fancy.styx_hypnos","Sömnens mästare"
"heroes.name_fancy.styx_nemesis","Den gudomliga hämndens gudinna"
"heroes.name_fancy.styx_nyx","Moder natt"
"heroes.name_fancy.styx_steropes","Konstnärscyklop"
"heroes.name_fancy.styx_thanatos","Det fridfulla frånfällets gud"
"heroes.name_fancy.styx_virgil","Underjordisk ledsagare"
"heroes.name_fancy.tales1_aqualith","Elementhoplit"
"heroes.name_fancy.tales1_aqualith_costume_purple","Elementkoloss"
"heroes.name_fancy.tales1_atlanteia","Glaciärnymf från djupet"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Glaciärsiren från djupet"
"heroes.name_fancy.tales1_bagreg","Fiskmansledare"
"heroes.name_fancy.tales1_bagreg_costume_scout","Fiskarspejare"
"heroes.name_fancy.tales1_ceto","Havsmonstrens urtidsgudinna"
"heroes.name_fancy.tales1_ceto_costume_queen","Havsmonstrens urtidsdrottning"
"heroes.name_fancy.tales1_domiventus","Varelsen från evighetsdjupet"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Den överlägsna djupvarelsen"
"heroes.name_fancy.tales1_ephyra","Nereidprinsessa"
"heroes.name_fancy.tales1_ephyra_costume_reef","Revets prinsessa"
"heroes.name_fancy.tales1_galapago","Havens vise"
"heroes.name_fancy.tales1_galapago_costume_quarry","Stenbrottets vise rullare"
"heroes.name_fancy.tales1_gelert","Djupets skattjägare"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Djupets plundrare"
"heroes.name_fancy.tales1_gestalt","Evighetsdjupets prins"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Evighetspärlornas prins"
"heroes.name_fancy.tales1_jaco","Djupets tvivelaktiga köpman"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Djupens skumma alkemist"
"heroes.name_fancy.tales1_lasalle","Atlantis färgstarka husar"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Atlantis färgstarka ryttare"
"heroes.name_fancy.tales1_medea","Nagadrottningen från djupet"
"heroes.name_fancy.tales1_medea_costume_goddess","Nagagudinnan från djupet"
"heroes.name_fancy.tales1_mulgog","Marodörfiskman"
"heroes.name_fancy.tales1_mulgog_costume_bard","Bardfiskman"
"heroes.name_fancy.tales1_persa","Plundrandets vattenande"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Manetadel"
"heroes.name_fancy.tales1_phorcys","Havsdjupens urtidsgud"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Avgrundernas krigsgud"
"heroes.name_fancy.tales1_sharkhai","Stor förrädare"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Naggad slaktare"
"heroes.name_fancy.tales1_spartoi","Nagabärsärk"
"heroes.name_fancy.tales1_spartoi_costume_guard","Nagavakt"
"heroes.name_fancy.tales1_thalassa","Havens urtidsgudinna"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Kristallernas urtidsgudinna"
"heroes.name_fancy.tales1_ultrox","Djupets tempelväktare"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Djupets sifonerare"
"heroes.name_fancy.tales2_aethslegaur","Dvärgeldsökare"
"heroes.name_fancy.tales2_andvari","Dvärgorakel"
"heroes.name_fancy.tales2_bragi","Dvärgisk priskämpe"
"heroes.name_fancy.tales2_bryggvir","Dvärgisk getryttare"
"heroes.name_fancy.tales2_dagr","Dvärgisk bergsschaman"
"heroes.name_fancy.tales2_dain","Dvärgisk belägringsmästare"
"heroes.name_fancy.tales2_dularfulr","Mörk dvärgsiare"
"heroes.name_fancy.tales2_fafnir","Myrkheimsk dvärgiska härskare"
"heroes.name_fancy.tales2_fimafeng","Dvärgöverlevare"
"heroes.name_fancy.tales2_fjalar","Gyllene dvärgskald"
"heroes.name_fancy.tales2_fjalar_costume_undead","Spöklig dvärgskald"
"heroes.name_fancy.tales2_gandr","Dvärgvindkrigare"
"heroes.name_fancy.tales2_gandr_costume_guardian","Kunglig dvärgsoldat"
"heroes.name_fancy.tales2_helgi","Rasande dvärglöpare"
"heroes.name_fancy.tales2_helgi_costume_combatant","Dvärgåterställare"
"heroes.name_fancy.tales2_hogne","Dvärgisk storriddare"
"heroes.name_fancy.tales2_hreidmarr","Dvärgisk bergakung"
"heroes.name_fancy.tales2_motsognir","Dvärgisk vildmarkslevare"
"heroes.name_fancy.tales2_ott","Glad dvärgskojare"
"heroes.name_fancy.tales2_ott_costume_herbalist","Mästerlig dvärgskojare"
"heroes.name_fancy.tales2_regin","Omtalad dvärgprins"
"heroes.name_fancy.tales2_regin_costume_omen","Fallen dvärgprins"
"heroes.name_fancy.tales2_snorri","Dvärgberättare"
"heroes.name_fancy.tales2_svafa","Dvärgisk storviltjägare"
"heroes.name_fancy.tales2_thrivaldi","Dvärgfrostsökare"
"heroes.name_fancy.trainer","Svärdsman"
"heroes.name_fancy.tribal_chief","Stamhövding"
"heroes.name_fancy.tribal_chief_costume_conqueror","Stammarnas hämnare"
"heroes.name_fancy.tribal_chief_costume_cute","De tecknades hövding"
"heroes.name_fancy.tribal_chief_costume_glass","Glasmålningarnas hövding"
"heroes.name_fancy.tribal_chief_costume_leopard","Leopardhövding"
"heroes.name_fancy.undead_captain_warrior","Dödens herre"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Tecknad dödsdyrkare"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Dödens glasmålning"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Odöd prins"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Dödens hantlangare"
"heroes.name_fancy.undead_female_warrior","Dödens dam"
"heroes.name_fancy.undead_female_warrior_costume_cute","Odöd tecknad"
"heroes.name_fancy.undead_female_warrior_costume_glass","Dödens glasmålning"
"heroes.name_fancy.undead_female_warrior_costume_princess","Odöd prinsessa"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Dödens prinsessa"
"heroes.name_fancy.undead_horned_skeleton","Obeveklig kvarleva"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Obeveklig tecknad"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Narrkvarleva"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Obeverklig glasmålning"
"heroes.name_fancy.undead_running_skeleton","Allvarlig kvarleva"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Allvarlig tecknad"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Glaskvarleva"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Romersk kvarleva"
"heroes.name_fancy.undead_screaming_zombie","Hasande kvarleva"
"heroes.name_fancy.underworld_champion","Romersk livvakt"
"heroes.name_fancy.underworld_champion_costume_champion","Romersk gladiator"
"heroes.name_fancy.underworld_champion_costume_cute","Tecknad romare"
"heroes.name_fancy.underworld_champion_costume_glass","Pretorianglasmålning"
"heroes.name_fancy.underworld_champion_costume_vampire","Pretorianvampyr"
"heroes.name_fancy.valentines_anteros","Kärlekshoppets amorin"
"heroes.name_fancy.valentines_cupido","Ömhetens amorin"
"heroes.name_fancy.valentines_elba","Kärlekens tappre väktare"
"heroes.name_fancy.valentines_eros","Åtråns amorin"
"heroes.name_fancy.valentines_himeros","Hopplösa kärlekens amorin"
"heroes.name_fancy.valentines_kabeiroi","Kärlekskrank fartdåre"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Orchisk dejtingcoach"
"heroes.name_fancy.valentines_phthonus","Avundets amorin"
"heroes.name_fancy.valentines_voluptas","Välbehagets amorin"
"heroes.name_fancy.valentines_zarola","Hjärtekrossarnas amorin"
"heroes.name_fancy.vampire_king","Vampyrkung"
"heroes.name_fancy.vampire_king_costume_mafia","Brottens kung"
"heroes.name_fancy.vampire_lord","Vampyrtjänare"
"heroes.name_fancy.vampire_queen","Nattbarn"
"heroes.name_fancy.vegetable_bartholomew","Paprikabarbar"
"heroes.name_fancy.vegetable_elsbeth","Rödbetsriddare"
"heroes.name_fancy.villain_asterius","Monstruös minotaur"
"heroes.name_fancy.villain_crystalis","Kristallkejsarinna"
"heroes.name_fancy.villain_dark_lord","Karemdols bane"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Karemdols astronom"
"heroes.name_fancy.villain_edd","Tjockskallig huligan"
"heroes.name_fancy.villain_ingolf","Fördömd herse"
"heroes.name_fancy.villain_isrod","Fördömd jarl"
"heroes.name_fancy.villain_karnov","Mästerslagskämpe"
"heroes.name_fancy.villain_karnov_costume_jammies","Läggdagsslagskämpe"
"heroes.name_fancy.villain_sanngrior","Fallen valkyria"
"heroes.name_fancy.villain_skrekok","Råttusling"
"heroes.name_fancy.villain_toxicandra","Cerberas härskare"
"heroes.name_fancy.villain_toxicandra_costume_rose","Floras härskare"
"heroes.name_fancy.wild_cat_catalina","Djungelns krona"
"heroes.name_fancy.wild_cat_ferni","Äventyrlig regnskogskatt"
