"specials.name.a_cozy_break","A Cozy Break"
"specials.name.shrill_announcement","Shrill Announcement"
"specials.name.shy_jab_dragon_pve","Shy Jab"
"specials.name.sickening_glow","Sickening Glow"
"specials.name.sickle_of_eradication","Sickle of Eradication"
"specials.name.sickle_of_wu","Sickle of Wu"
"specials.name.sideswipe","Sideswipe"
"specials.name.sigil_of_the_sun","Sigil of the Sun"
"specials.name.silencing_stick_up","Silencing Stick-up"
"specials.name.silent_takedown","Silent Takedown"
"specials.name.sinister_enlace","Sinister Enlace"
"specials.name.sinister_enlace_deadly","Sinister Enlace"
"specials.name.sinister_siphon","Sinister Siphon"
"specials.name.sir_agony","Draining Blade"
"specials.name.sir_pain","Vengeful Scythe"
"specials.name.situational_awareness","Situational Awareness"
"specials.name.sky_attack","Sky Attack"
"specials.name.skyfall_crumble","Skyfall Crumble"
"specials.name.slash_and_support","Slash and Support"
"specials.name.slash_of_four_blades","Slash of Four Blades"
"specials.name.slash_of_glass_blades","Slash of Glass Blades"
"specials.name.slash_of_seven_blades","Slash of Seven Blades"
"specials.name.slash_of_seven_daggers","Slash of Seven Daggers"
"specials.name.slash_of_seven_toons","Slash of Seven Toons"
"specials.name.slash_of_the_seven_stilettos","Slash of the Seven Stilettos"
"specials.name.slaying_stake","Slaying Stake"
"specials.name.slice_and_dice","Slice and Dice"
"specials.name.slice_and_dice_pve","Slice and Dice"
"specials.name.slime_coated_sword","Slime Coated Sword"
"specials.name.slime_serving","Slime Serving"
"specials.name.slime_slap","Slime Slap"
"specials.name.slimy_balls","Slimy Balls"
"specials.name.slingja_attack_chingiriko","Sling-ja Attack"
"specials.name.slumber_spores","Slumber Spores"
"specials.name.slumbering_beatdown","Slumbering Beatdown"
"specials.name.smoldering_tear_dragon_pve","Smoldering Tear"
"specials.name.smooth_treatment","Smooth Treatment"
"specials.name.snapping_jaws","Snapping Jaws"
"specials.name.snowlit_slices","Snowlit Slices"
"specials.name.soaring_blast","Soaring Blast"
"specials.name.sock_and_block","Sock and Block"
"specials.name.solar_beam","Solar Beam"
"specials.name.solar_strike","Solar Strike"
"specials.name.soldiers_curse","Sand Breeze"
"specials.name.solid_frozen_fist","Solid Frozen Fist"
"specials.name.song_of_calamity","Song of Calamity"
"specials.name.song_of_hoot_and_holler","Song of Hoot and Holler"
"specials.name.song_of_regression","Lament of Regression"
"specials.name.song_of_the_morass","Song of the Morass"
"specials.name.song_of_the_skies","Song of the Skies"
"specials.name.songs_of_the_cherry_tree","Songs of the Cherry Tree"
"specials.name.sonic_infusion_arrow","Sonic Infusion Arrow"
"specials.name.sonic_wall","Sonic Wall"
"specials.name.sonorous_spear","Sonorous Spear"
"specials.name.soothing_melody","Soothing Melody"
"specials.name.soothing_song","Soothing Song"
"specials.name.soul_cage","Skeletal Summon"
"specials.name.soul_guardian","Soul Guardian"
"specials.name.sour_berry_blast_dragon_pve","Sour Berry Blast"
"specials.name.sparking_star_slash","Sparking Star Slash"
"specials.name.sparrow_fury","Sparrow Fury"
"specials.name.spartan_cleave","Spartan Cleave"
"specials.name.spartan_slash","Spartan Slash"
"specials.name.spear_of_blood_pact","Spear of Blood Pact"
"specials.name.spear_of_loyalty","Spear of Loyalty"
"specials.name.spear_of_shu","Spear of Shu"
"specials.name.spearwand_gale","Spearwand Gale"
"specials.name.spectacular_bite","Spectacular Bite"
"specials.name.spectral_visions","Spectral Visions"
"specials.name.spectral_wings","Spectral Wings"
"specials.name.spectres_flail","Spectre's Flail"
"specials.name.spell_lock","Spell-lock"
"specials.name.spicy_berry_blast_dragon_pve","Spicy Berry Blast"
"specials.name.spike_burst","Spike Burst"
"specials.name.spilled_decoctions","Spilled Decoctions"
"specials.name.spirit_arrow","Spirit Arrow"
"specials.name.spirit_drain","Spirit Drain"
"specials.name.spirit_of_spring","Spirit of Spring"
"specials.name.spirit_of_winter","Spirit of Winter"
"specials.name.spirit_rally","Spirit Rally"
"specials.name.spirits_of_the_mountain","Spirits of the Mountain"
"specials.name.spiritual_unity","Wonderful Feast"
"specials.name.spiritual_wire","Spiritual Wire"
"specials.name.splintering_shot","Splintering Shot"
"specials.name.splintering_shot2","Splintering Shot"
"specials.name.spotting_trouble","Spotting Trouble"
"specials.name.spreading_gossip","Spreading Gossip"
"specials.name.spreading_shadow","Spreading Shadow"
"specials.name.spreading_traps","Spreading Traps"
"specials.name.sprite_ballad","Sprite Ballad"
"specials.name.sprite_hymn","Sprite Hymn"
"specials.name.squeak_of_protection","Squeak of Protection"
"specials.name.squire_strike","Squire Strike"
"specials.name.squires_squirrel","Squire's Squirrel"
"specials.name.squish_squash_achillea","Squish Squash"
"specials.name.stab_of_four_blades","Stab of Four Blades"
"specials.name.staff_of_mana_control","Staff of Mana Control"
"specials.name.staff_of_mana_control_pve","Staff of Mana Control"
"specials.name.staff_of_the_seastar","Staff of the Seastar"
"specials.name.staggering_blows","Staggering Blows"
"specials.name.stalling_spell","Stalling Spell"
"specials.name.stalling_strike","Stalling Strike"
"specials.name.stalwart_rally","Stalwart Rally"
"specials.name.stalwart_to_the_end","Stalwart to the End"
"specials.name.standing_fortress","Standing Fortress"
"specials.name.standing_fortress3","Standing Fortress"
"specials.name.star_construct","Star Construct"
"specials.name.star_trail","Star Trail"
"specials.name.starplay","Starplay"
"specials.name.stately_retribution","Stately Retribution"
"specials.name.steel_rush","Steel Rush"
"specials.name.stellar_beam","Stellar Beam"
"specials.name.sticky_express","Sticky Express"
"specials.name.sticky_spear","Sticky Spear"
"specials.name.stiletto_cyclone","Stiletto Cyclone"
"specials.name.stolen_tarts","Stolen Tarts"
"specials.name.stomp","Stomp"
"specials.name.stone_skin","Spirit Link"
"specials.name.storm_of_blades","Storm of Blades"
"specials.name.strange_incense","Strange Incense"
"specials.name.strategic_slash","Ornithological Cut"
"specials.name.strength_of_the_accursed","Strength of the Accursed"
"specials.name.strength_of_the_benemoth","Strength of the Behemoth"
"specials.name.strength_of_the_volcano","Strength of the Volcano"
"specials.name.strengthening_draught","Strengthening Draught"
"specials.name.strengthening_smash","Strengthening Smash"
"specials.name.strict_standards","Strict Standards"
"specials.name.strike_and_support","Strike and Support"
"specials.name.strike_from_the_shadows","Strike from the Shadows"
"specials.name.strike_from_the_skies","Strike From the Skies"
"specials.name.strike_of_a_thousand_howls","Strike of a Thousand Howls"
"specials.name.strike_of_the_ancients","Strike of the Ancients"
"specials.name.strike_of_the_cobra","Strike of the Cobra"
"specials.name.strike_of_the_monolith","Strike of the Monolith"
"specials.name.strike_of_the_toons","Strike of the Toons"
"specials.name.strike_of_the_underworld","Strike of the Underworld"
"specials.name.struck_by_thunder","Struck By Thunder"
"specials.name.stubby_reap","Stubby Reap"
"specials.name.stunning_blow","Paralyzing Smash"
"specials.name.stunning_spear","Stunning Spear"
"specials.name.stunning_steel","Stunning Steel"
"specials.name.stunning_strike","Stunning Strike"
"specials.name.stupendous_break_in","Stupendous Break In"
"specials.name.sturdy_riposte","Sturdy Riposte"
"specials.name.subduing_strike","Subduing Strike"
"specials.name.sublime_pastry","Fishiest Pastry"
"specials.name.sudden_attack","Sudden Attack"
"specials.name.suffocating_smoke","Suffocating Smoke"
"specials.name.suffocating_smoke2","Suffocating Smoke"
"specials.name.suffocating_smoke3","Suffocating Smoke"
"specials.name.sugar_rush","Sugar Rush"
"specials.name.summer_carol","Summer Carol"
"specials.name.summers_end","Freezing Finale"
"specials.name.summon_ballerina_fiend","Summoning of Ballerinas"
"specials.name.summon_celestial_guardians","Summon Celestial Guardians"
"specials.name.summon_rock_golems","Summon Rock Golems"
"specials.name.summon_sand_golems","Summon Sand Golems"
"specials.name.summon_temple_guardians","Summon Temple Guardians"
"specials.name.sunken_abyss","Sunken Abyss"
"specials.name.sunken_magma_cube","Sunken Magma Cube"
"specials.name.sunscreen_blast","Sunscreen Blast"
"specials.name.sunstone_glare_dragon_pve","Sunstone Glare"
"specials.name.super_duper_spray","Super Duper Spray"
"specials.name.super_porridge","Super Porridge"
"specials.name.superb_sake","Superb Sake"
"specials.name.supercharged_fireball_dragon_pve","Supercharged Fireball"
"specials.name.supernova","Supernova"
"specials.name.supernova_boss_phase1","Supernova"
"specials.name.supernova_boss_phase2","Supernova Aeternus"
"specials.name.suppressing_ki","Suppressing Ki"
"specials.name.sure_fire_combustion","Sure-Fire Combustion"
"specials.name.surprise_goo","Surprise Goo!"
"specials.name.suspicious_stew","Suspicious Stew"
"specials.name.swamp_skin","Swamp Skin"
"specials.name.sweet_berry_blast_dragon_pve","Sweet Berry Blast"
"specials.name.sweet_dreams","Sweet Dreams"
"specials.name.swift_little_friends","Swift Little Friends"
"specials.name.swift_stingers","Swift Stingers"
"specials.name.swooping_support","Swooping Support"
"specials.name.swooping_talon","Swooping Talon"
"specials.name.sword_barricade","Sword Barricade"
"specials.name.sword_dance","Sword Dance"
"specials.name.sword_of_swan_song","Sword of Swan Song"
"specials.name.sword_of_wei","Sword of Wei"
"specials.name.sylvan_blessings","Sylvan Blessings"
"specials.name.symphonic_pulverizer","Symphonic Pulverizer"
"specials.name.tackle","Tackle"
"specials.name.tactical_cut","Tactical Cut"
"specials.name.tail_bash","Tail Bash"
"specials.name.tail_slam","Tail Slam"
"specials.name.tail_slam_deadly","Tail Slam"
"specials.name.tail_sting","Tail Sting"
"specials.name.tail_sting_deadly","Tail Sting"
"specials.name.tainted_axe","Tainted Axe"
"specials.name.tambourine_solo","Tambourine Solo"
"specials.name.tangy_berry_blast_dragon_pve","Tangy Berry Blast"
"specials.name.tantrum_of_forest","Anger of the Toons"
"specials.name.teeth_of_the_river","Teeth of the River"
"specials.name.tempered_blade","Tempered Blade"
"specials.name.tentacle_jab","Tentacle Jab"
"specials.name.tentacle_slash","Tentacle Slash"
"specials.name.terrifying_screech","Terrifying Screech"
"specials.name.terror_shriek","Terror Shriek"
"specials.name.testudo_rock","Testudo Rock"
"specials.name.testudo_roll","Testudo Roll"
"specials.name.testudo_roll_deadly","Testudo Roll"
"specials.name.the_call_to_hibernate","The Call to Hibernate"
"specials.name.the_dukes_investigation","The Duke's Investigation"
"specials.name.the_eagles_blessing","The Eagle's Blessing"
"specials.name.the_mighty_crescendo","The Mighty Crescendo"
"specials.name.the_perfect_throw","The Perfect Throw"
"specials.name.the_queens_radiance","The Queen's Radiance"
"specials.name.the_queens_speech","The Queen's Speech"
"specials.name.the_two_sides_of_the_moon","The Two Sides of the Moon"
"specials.name.thorned_slam_dunk","Thorned Slam Dunk"
"specials.name.thousand_cuts","Thousand Cuts"
"specials.name.thousand_palm_strikes","Thousand Palm Strikes"
"specials.name.three_bandit_mice","Three Bandit Mice"
"specials.name.three_blind_mice","Three Blind Mice"
"specials.name.three_little_rams","Three Little Rams"
"specials.name.thresher_worms","Thresher Worms"
"specials.name.thrilling_clash","Thrilling Clash"
"specials.name.throwing_daggers","Throwing Daggers"
"specials.name.throwing_stars","Throwing Stars"
"specials.name.thunder_ultimatum","Thunder Ultimatum"
"specials.name.thunderbolt","Thunderbolt"
"specials.name.thundering_strike","Thundering Strike"
"specials.name.thunderstorm","Thunderstorm"
"specials.name.thunderstrike","Thunder Ultimatum"
"specials.name.tidal_force","Tidal Force"
"specials.name.tidal_vortex","Tidal Vortex"
"specials.name.tidal_wave","Rogue Wave"
"specials.name.tidal_waves","Tidal Waves"
"specials.name.tidy_up","Tidy Up!"
"specials.name.time_rewind","Time Rewind"
"specials.name.timeless_timepiece","Timeless Timepiece"
"specials.name.titanbone_chain_slash","Titanbone Chain Slash"
"specials.name.titantooth_blade","Titantooth Blade"
"specials.name.to_the_rescue","To the Rescue!"
"specials.name.tome_of_the_stag","Tome of the Stag"
"specials.name.toon_attack","Toon Attack"
"specials.name.toon_barrage","Toon Barrage"
"specials.name.toon_bite","Toon Bite"
"specials.name.toon_brew","Toon Brew"
"specials.name.toon_chop","Toon Chop"
"specials.name.toon_cleave","Toon Cleave"
"specials.name.toon_counter","Toon and Counter"
"specials.name.toon_cut","Toon Cut"
"specials.name.toon_finisher","Toon Finisher"
"specials.name.toon_fury","Toon Fury"
"specials.name.toon_hit","Toon Hit"
"specials.name.toon_jolt","Toon Jolt"
"specials.name.toon_link","Toon Link"
"specials.name.toon_mist","Toon Mist"
"specials.name.toon_riposte","Toon Riposte"
"specials.name.toon_shot","Toon Shot"
"specials.name.toon_slam","Toon Slam"
"specials.name.toon_slash","Toon Slash"
"specials.name.toon_stab","Toon Stab"
"specials.name.toon_stars","Toon Stars"
"specials.name.toon_storm","Toon Storm"
"specials.name.toon_traps","Toon Traps"
"specials.name.toon_ultimatum","Toon Ultimatum"
"specials.name.toon_vines","Toon Vines"
"specials.name.toonball","Toonball"
"specials.name.tooncry","Tooncry"
"specials.name.toonpower_pulverizer","Toonpower Pulverizer"
"specials.name.toons_order","The Toon's Order"
"specials.name.toontastic_fog","Toontastic Fog"
"specials.name.toontastic_link","Toontastic Link"
"specials.name.toontastic_pulverizer","Toontastic Pulverizer"
"specials.name.toontastic_riposte","Toontastic Riposte"
"specials.name.toontastic_smash","Toontastic Smash"
"specials.name.toontastic_strike","Toontastic Strike"
"specials.name.total_beatdown","Total Beatdown"
"specials.name.tough_love","Love Cannon"
"specials.name.towers_curse","Sand Gale"
"specials.name.toxic_berry_blast","Toxic Berry Blast"
"specials.name.toxic_bile","Toxic Bile"
"specials.name.toxic_flames","Toxic Flames"
"specials.name.toxic_fumes","Toxic Fumes"
"specials.name.toxic_gas_cloud","Toxic Gas Cloud"
"specials.name.toxic_headbutt","Toxic Headbutt"
"specials.name.toxic_incense","Toxic Incense"
"specials.name.toxic_spit","Toxic Spit"
"specials.name.toxic_stinger","Toxic Stinger"
"specials.name.toxic_traps","Toxic Traps"
"specials.name.toxic_tricks","Toxic Tricks"
"specials.name.toxicadendra","Accelerated Growth"
"specials.name.trainer_blast","Trainer Blast"
"specials.name.trainer_slash","Trainer Strike"
"specials.name.tranquil_mist","Tranquil Mist"
"specials.name.transcendental_charge","Transcendental Charge"
"specials.name.transcendental_frame","Transcendental Frame"
"specials.name.transfigure","Transfigure"
"specials.name.travelers_snack","Traveler's Snack"
"specials.name.treasure_ale","Treasure Ale"
"specials.name.trial_of_darkness","Trial of Darkness"
"specials.name.trial_of_fauna","Trial of Fauna"
"specials.name.trial_of_fire","Trial of Fire"
"specials.name.trial_of_flames","Trial of Flames"
"specials.name.trial_of_flora","Trial of Flora"
"specials.name.trial_of_frost","Trial of Frost"
"specials.name.trial_of_ice","Trial of Ice"
"specials.name.trial_of_nature","Trial of Nature"
"specials.name.trial_of_pain","Trial of Pain"
"specials.name.trial_of_the_moon","Trial of the Moon"
"specials.name.trial_of_the_sun","Trial of the Sun"
"specials.name.trial_of_the_waters","Trial of the Waters"
"specials.name.tribal_rage","Tribal Rage"
"specials.name.tribal_rage_pve","Tribal Rage"
"specials.name.trick_of_the_trade","Tricks of the Trade"
"specials.name.trickster_grenades","Trickster Grenades"
"specials.name.tricksters_buff","Bottle"
"specials.name.tricksters_damage","Swords"
"specials.name.tricksters_exchange","Trickster's Gambit"
"specials.name.tricksters_lullaby","Trickster's Lullaby"
"specials.name.tricksters_malice","Trickster's Malice"
"specials.name.tricksters_mischief","Trickster's Mischief"
"specials.name.tricksters_negative","Freeze"
"specials.name.tricksters_transformation","Trickster's Transformation"
"specials.name.triple_stab","Triple Stab"
"specials.name.triumph_of_strategy","Triumph of Strategy"
"specials.name.tropical_ambush","Tropical Ambush"
"specials.name.tumbling_dragon","Tumbling Dragon"
"specials.name.tumbling_dragon2","Tumbling Dragon"
"specials.name.turquoise_falcon","Turquoise Falcon"
"specials.name.twilight_of_crimes","Twilight of Crimes"
"specials.name.twilight_of_ruin","Twilight of Ruin"
"specials.name.twilight_of_sorrow","Twilight of Sorrow"
"specials.name.twilight_star_strike","Twilight Star Strike"
"specials.name.twilight_tricks","Twilight Tricks"
"specials.name.twist_of_fate","Twist of Fate"
"specials.name.twist_of_fate_minor","Twisted Destiny"
"specials.name.twostep_swing","Two-step Swing"
"specials.name.ultimate_giftsack","Ultimate Gift Sack"
"specials.name.unbreakable_brawler","Unbreakable Brawler"
"specials.name.unbroken_assault","Unbroken Assault"
"specials.name.unchained_jaws","Unchained Jaws"
"specials.name.unchained_jaws_ultimate_boss","Unchained Jaws"
"specials.name.undead_obliteration","Undead Obliterator"
"specials.name.undead_penance_poetic","Undead Penance"
"specials.name.undead_rage","Conjuration Arrow"
"specials.name.undead_razer","Undead Razer"
"specials.name.under_the_surf","Under the Surf"
"specials.name.underwater_magma_cube","Underwater Magma Cube"
"specials.name.underwater_riddle","Underwater Riddle"
"specials.name.undying_heads","Undying Heads"
"specials.name.undying_heads_ultimate_boss","Hydra Heads"
"specials.name.undying_incantation","Undying Incantation"
"specials.name.undying_summon","Undying Summon"
"specials.name.unerring_course","Unerring Course"
"specials.name.unfeeling_assailing","Unfeeling Assailing"
"specials.name.unhallowed_spirits","Unhallowed Spirits"
"specials.name.unholy_light","Unholy Light"
"specials.name.unholy_power","Unholy Power"
"specials.name.unholy_rain","Unholy Rain"
"specials.name.unite_and_oppose","Oppose and Overthrow"
"specials.name.unnatural_pact","Devourer of Vitality"
"specials.name.unrelenting_hunter","Unrelenting Hunter"
"specials.name.unrelenting_riposte","Unrelenting Riposte"
"specials.name.unstoppable_charge","Unstoppable Charge"
"specials.name.unstoppable_growl","Unstoppable Growl"
"specials.name.unwavering_devotion","Unwavering Devotion"
"specials.name.unwavering_devotion_pve","Unwavering Devotion"
"specials.name.unwavering_focus","Unwavering Focus"
"specials.name.unyielding_protector","Unyielding Protector"
"specials.name.unyielding_sword","Unyielding Sword"
"specials.name.ursine_protection","Ursine Protection"
"specials.name.valiant_lunge","Valiant Lunge"
"specials.name.valkyrie_charge","Valkyrie Charge"
"specials.name.valkyrie_defense","Valkyrie Defense"
"specials.name.valkyrie_resistance","Valkyrie Resistance"
"specials.name.valkyrie_rush","Valkyrie Rush"
"specials.name.valkyries_fortitude","Valkyrie's Fortitude"
"specials.name.valorant_strike","Valorant Strike"
"specials.name.valuable_contribution","Valuable Contribution"
"specials.name.vampire_killer","Vampire Killer"
"specials.name.vampiric_cleave","Vampiric Cleave"
"specials.name.vampiric_curse","Vampiric Curse"
"specials.name.vampiric_heist","Vampiric Heist"
"specials.name.vampiric_touch","Vampiric Touch"
"specials.name.vanguard_of_passion","Vanguard of Passion"
"specials.name.vantage_point","Vantage Point"
"specials.name.vapors_of_the_underworld","Vapors of the Underworld"
"specials.name.vast_ward","Robust Ward"
"specials.name.vengeance_of_owlhalla","Vengeance of Owlhalla"
"specials.name.vengeful_backstab","Vengeful Backstab"
"specials.name.vengeful_scythe","Vengeful Scythe"
"specials.name.venom_slash","Venom Slash"
"specials.name.venomfang_concoction","Venomfang Concoction"
"specials.name.venomous_claws","Venomous Claws"
"specials.name.venomous_jab","Venomous Jab"
"specials.name.venomous_spores","Venomous Spores"
"specials.name.venomous_sting_dragon_pve","Venomous Sting"
"specials.name.verdant_mirror","Verdant Mirror"
"specials.name.vertical_slash","Vertical Slash"
"specials.name.vicious_axe","Vicious Axe"
"specials.name.vicious_cyclone","Vicious Cyclone"
"specials.name.vicious_strike","Vicious Strike"
"specials.name.vicious_trap","Vicious Trap"
"specials.name.vigilante_punch","Vigilante Punch"
"specials.name.vigorous_aegis","Vigorous Aegis"
"specials.name.vigorous_villanelle","Vigorous Villanelle"
"specials.name.vile_blessing","Weakening Curse"
"specials.name.villain_swing","Villain Swing"
"specials.name.viper_blade","Viper Blade"
"specials.name.viper_blade_costume_bear_slayer","Bear Blade"
"specials.name.viscous_shield_justico","Viscous Shield"
"specials.name.vitalizing_show","Vitalizing Spectacle"
"specials.name.vitrail_flames","Vitrail Flames"
"specials.name.viziers_curse","Sand Gale"
"specials.name.voice_of_authority","Voice of Authority"
"specials.name.void_blast","Void Blast"
"specials.name.void_bomb","Void Bomb"
"specials.name.void_orb_dragon_pve","Void Orb"
"specials.name.voidshield","Voidshield"
"specials.name.volcanic_blast","Volcanic Blast"
"specials.name.volcanic_boulders","Volcanic Boulders"
"specials.name.volcanic_eruption","Volcanic Eruption"
"specials.name.volcanic_explosion","Volcanic Explosion"
"specials.name.volcanic_flareup","Volcanic Flareup"
"specials.name.volcanic_rush","Volcanic Rush"
"specials.name.volcanic_shell","Volcanic Shell"
"specials.name.volcanic_tantrum","Toon Explosion"
"specials.name.voluminous_vigor","Voluminous Vigor"
"specials.name.wall_of_ice","Wall of Ice"
"specials.name.wall_of_ki","Wall of Ki"
"specials.name.wall_of_ki2","Wall of Ki"
"specials.name.wall_of_swords","Wall of Swords"
"specials.name.wallet_pulverizer","Pulverizing Abacus"
"specials.name.wand_of_mana_control","Wand of Mana Control"
"specials.name.wand_of_mana_trickery","Wand of Mana Trickery"
"specials.name.wandering_star_shot","Wandering Star Shot"
"specials.name.war_feast","War Feast"
"specials.name.war_song","War Song"
"specials.name.warcry","Warcry"
"specials.name.warcry_of_the_hunt","Warcry of the Hunt"
"specials.name.warcry_of_the_jungle","Warcry of the Jungle"
"specials.name.warding_off_evil","Warding Off Evil"
"specials.name.warped_timepiece","Warped Timepiece"
"specials.name.water_jet_dragon_pve","Water Jet"
"specials.name.waters_of_nourishment","Waters of Nourishment"
"specials.name.watery_grave","Watery Grave"
"specials.name.weakening_strike","Weakening Strike"
"specials.name.web_of_spies","Web of Spies"
"specials.name.whimsical_aid","Whimsical Aid"
"specials.name.whirlpool","Whirlpool"
"specials.name.whirlpool_dash","Whirlpool Dash"
"specials.name.whirlwind_blows","Whirlwind Blows"
"specials.name.whispers_of_xulu","Whispers of Xulu"
"specials.name.whiteout","Whiteout"
"specials.name.wicked_witchcraft","Wicked Witchcraft"
"specials.name.wide_slash","Wide Slash"
"specials.name.widows_kiss","Widow's Kiss"
"specials.name.wild_cleave","Wild Cleave"
"specials.name.wild_growth","Wild Growth"
"specials.name.will_of_fire","Will of Fire"
"specials.name.wily_wisps","Wily Wisps"
"specials.name.wind_gospel","Wind Gospel"
"specials.name.wind_prayer","Wind Prayer"
"specials.name.wings_of_destruction_pve","Wings of Destruction"
"specials.name.wings_of_force","Wings of Force"
"specials.name.wings_of_frost","Wings of Frost"
"specials.name.wings_of_laceration","Wings of Laceration"
"specials.name.wings_of_recovery","Wings of Recovery"
"specials.name.wings_of_shadow","Wings of Shadow"
"specials.name.wings_of_thorn","Wings of Thorn"
"specials.name.wisdom_of_the_gnomes","Wisdom of the Gnomes"
"specials.name.wise_mans_counsel","Wise Man's Counsel"
"specials.name.witch_killer","Witch Killer"
"specials.name.witch_slayer","Witch Slayer"
"specials.name.withering_seasons","Withering Seasons"
"specials.name.wolf_bite","Wolf Bite"
"specials.name.word_of_queen","Word of the Queen"
"specials.name.word_of_skies","Word of the Skies"
"specials.name.worm_bite","Grub Bite"
"specials.name.wounding_strike","Wounding Strike"
"specials.name.wrap","Wrap"
"specials.name.wrath_of_fate","Wrath of Fate"
"specials.name.wrath_of_frozen_soul","Wrath of Frozen Soul"
"specials.name.wrath_of_the_ancient","Wrath of the Ancient"
"specials.name.wrath_of_the_nine_beaks","Wrath of the Nine Beaks"
"specials.name.wrath_of_tundra","Wrath of Tundra"
"specials.name.wrathful_sting","Wrathful Sting"
"specials.name.wrenching_strike","Wrenching Strike"
"specials.name.xenda_special","Underworld Blaze"
"specials.name.xenda_special_costume","Underworld Flame"
"specials.name.yellow_beetloid_bite","Yellow Beetloid Bite"
"specials.name.yellow_signs","Yellow Signs"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Zombie Blessing"
"specials.name.zombie_invocation","Zombie Invocation"
"specials.name.zooming_lunge","Zooming Lunge"
