"specials.name.a_cozy_break","Una pausa confortevole"
"specials.name.ravens_watch","Guardia dei corvi"
"specials.name.ray_strike","Assalto raggiante"
"specials.name.razor_smile","Sorriso affilato"
"specials.name.reanimated_spite","Cattiveria rediviva"
"specials.name.reanimated_spite_pve","Cattiveria rediviva"
"specials.name.reckless_charge","Carica spericolata"
"specials.name.reckless_finisher","Rifinitore spericolato"
"specials.name.reckless_slash","Fendente spericolato"
"specials.name.reckless_stab","Pugnalata spericolata"
"specials.name.reckless_swing","Spadata spericolata"
"specials.name.reckless_sword_swings","Fendenti di spada avventati"
"specials.name.red_lizard_charge","Carica della lucertola mimetica rossa"
"specials.name.red_shoes","Scarpe rosse"
"specials.name.red_sparks_dragon_pve","Scintille rosse"
"specials.name.reef_blast","Colpo della barriera"
"specials.name.reflecting_stance","Posizione riflettente"
"specials.name.regal_claws","Artigli reali"
"specials.name.regal_spearhead","Punta di lancia regale"
"specials.name.regeneration","Rigenerazione"
"specials.name.rejuvenating_elixir","Elisir ringiovanente"
"specials.name.rejuvenating_leap","Salto ringiovanente"
"specials.name.relaxing_riddle","Indovinello rilassante"
"specials.name.relentless_brawler","Attaccabrighe implacabile"
"specials.name.remedies_and_diseases","Rimedi e malattie"
"specials.name.rending_dagger","Pugnale squarciante"
"specials.name.reporting_for_duty","A rapporto"
"specials.name.resolute_spirit","Spirito risoluto"
"specials.name.resolute_spirit2","Spirito risoluto"
"specials.name.restoration_and_annihilation","Ristoro e annientamento"
"specials.name.resurrection_of_the_fallen","Resurrezione dei caduti"
"specials.name.resurrection_of_the_fallen_kemeny","Resurrezione dei caduti"
"specials.name.revengeful_smite","Punzione vendicativa"
"specials.name.reverse_recovery","Recupero inverso"
"specials.name.reversed_lifeforce","Forza vitale invertita"
"specials.name.revitalizing_melody","Melodia rivitalizzante"
"specials.name.revitalizing_orb","Sfera rivitalizzante"
"specials.name.revitalizing_sludge","Melma revitalizzante"
"specials.name.reviving_touch","Tocco rinvigorente"
"specials.name.rhythm_of_havoc","Ritmo del caos"
"specials.name.riches_to_poor","Dalla ricchezza alla povertà"
"specials.name.ricochet_bolt","Dardo rimbalzante"
"specials.name.riddle_of_the_moon","Enigma della luna"
"specials.name.riddle_of_the_sun","Enigma del sole"
"specials.name.riders_arrow","Freccia del cavaliere"
"specials.name.riders_lance","Lancia del cavaliere"
"specials.name.rift_blade","Lama della barriera"
"specials.name.righteous_pulverizer","Polverizzazione giustificata"
"specials.name.righteous_revenge","Vendetta giusta"
"specials.name.righteous_stance","Posizione risoluta"
"specials.name.righteous_strike","Colpo virtuoso"
"specials.name.rime_heart","Cuore di brina"
"specials.name.ring_around_the_rosie","Non c'è rosa senza spine"
"specials.name.rite_of_cuteness","Cartone del giudizio"
"specials.name.rite_of_glass","Giudizio del vetro"
"specials.name.rite_of_judgement","Rito di giudizio"
"specials.name.rites_of_inner_knowledge","Riti della conoscenza interiore"
"specials.name.ritual_of_judgement","Rituale del giudizio"
"specials.name.ritual_of_the_deep","Rituale delle profondità"
"specials.name.ritual_of_the_elements","Rituale degli elementi"
"specials.name.roadside_surprise","Sorpresa da strada"
"specials.name.roar_of_the_panther","Ruggito della pantera"
"specials.name.rockfall_bash","Cascata di massi"
"specials.name.rod_of_freedom","Verga della libertà"
"specials.name.rod_of_torment","Verga del tormento"
"specials.name.roman_cleave","Carica spartana"
"specials.name.roots_of_wrath","Radici dell'ira"
"specials.name.roots_of_yggdrasil","Radici di Yggdrasil"
"specials.name.rose_bouquet_blast","Esplosione di rose"
"specials.name.rotten_raid","Assalto putrido"
"specials.name.rotting_wound_dragon_pve","Ferita marcescente"
"specials.name.rottman","Mania del ratto matto"
"specials.name.rough_and_tumble","Rudezza e tumulto"
"specials.name.royal_assault","Assalto reale"
"specials.name.royal_blades","Lame regali"
"specials.name.royal_meatball_buffet","Buffet di polpette reali"
"specials.name.royal_poisoner","Avvelenatore reale"
"specials.name.ruby_rush","Raffica di rubini"
"specials.name.rude_awakening","Risveglio brusco"
"specials.name.ruler_of_seas","Sovrano dei mari"
"specials.name.ruler_of_seas_deadly","Sovrano dei mari"
"specials.name.rural_chop","Falciata rurale"
"specials.name.rush_of_flame","Impeto di fiamma"
"specials.name.rushed_melody","Melodia affrettata"
"specials.name.rusty_blade","Lama arrugginita"
"specials.name.ruthless_gambit","Tattica spietata"
"specials.name.sable_slasher","Aggressore zibellino"
"specials.name.sacrament_of_salvation","Sacramento della salvezza"
"specials.name.sacred_horns","Corna sacre"
"specials.name.sacred_reflection","Riflesso sacro"
"specials.name.saga_of_deliverance","Saga della liberazione"
"specials.name.saga_of_protection","Saga della protezione"
"specials.name.salty_splash_dragon_pve","Schizzo salato"
"specials.name.sanction_for_heresy","Pena per eresia"
"specials.name.sanctuary_of_light","Santuario della luce"
"specials.name.sand_cyclone","Ciclone di sabbia"
"specials.name.sand_cyclone_pve","Ciclone di sabbia"
"specials.name.sand_wave_rana","Sull'onda"
"specials.name.sand_wave_yunan","Spazzata"
"specials.name.sandstorm_strike","Colpo della tempesta di sabbia"
"specials.name.sandworm_strike","Colpo del verme delle sabbie"
"specials.name.sapphire_eyes","Occhi di zaffiro"
"specials.name.saturated_suffering","Sofferenza satura"
"specials.name.savage_gobble_blue","Gorgoglio selvaggio"
"specials.name.savage_gobble_green","Gorgoglio selvaggio"
"specials.name.savage_gobble_purple","Gorgoglio selvaggio"
"specials.name.savage_gobble_red","Gorgoglio selvaggio"
"specials.name.savage_gobble_yellow","Gorgoglio selvaggio"
"specials.name.savage_talons","Artigli selvaggi"
"specials.name.scale_of_the_newt","Scaglia del tritone"
"specials.name.scaly_skin","Pelle a scaglie"
"specials.name.scar_of_the_depths","Cicatrice degli abissi"
"specials.name.scar_of_the_depths_deadly","Cicatrice degli abissi"
"specials.name.scarab_barrage","Barriera di scarabei"
"specials.name.scarab_blitz","Assalto di scarabei"
"specials.name.scarab_bombardment","Bombardamento di scarabei"
"specials.name.scarab_rush","Raffica di scarabei"
"specials.name.scarab_throw","Lancio di scarabei"
"specials.name.scavenging_dash","Scatto spazzino"
"specials.name.scepter_of_bundelkhand","Scettro di Bundelkhand"
"specials.name.scepter_of_constellations","Scettro delle costellazioni"
"specials.name.scion_sword","Spada di Scion"
"specials.name.scion_sword_costume_white_raven","Lama di Scion"
"specials.name.scorching_orb","Sfera cocente"
"specials.name.scoundrel_swing","Fendente del furfante"
"specials.name.scourge_of_joy","Flagello della gioia"
"specials.name.scourge_of_the_strong","Flagello dei forti"
"specials.name.scouts_spyglass","Cannocchiale dell'esploratore"
"specials.name.scroll_of_equations","Pergamena delle equazioni"
"specials.name.scroll_of_fellowship","Pergamena della compagnia"
"specials.name.scroll_of_navigation","Pergamena della navigazione"
"specials.name.scroll_of_new_beginnings","Pergamena dei nuovi inizi"
"specials.name.scroll_of_spite","Pergamena del disprezzo"
"specials.name.scythe_of_sorceries","Falce delle stregonerie"
"specials.name.seabed_pirouette","Piroetta dei fondali"
"specials.name.seabed_sissonne","Sissonne dei fondali"
"specials.name.seal_of_ares","Sigillo di Ares"
"specials.name.seal_of_fire","Sigillo di Fuoco"
"specials.name.searing_frost","Ghiaccio ardente"
"specials.name.searing_strike","Assalto ardente"
"specials.name.seastar_burst","Scoppio della stella del mare"
"specials.name.seaweed_flail","Sferzata delle alghe"
"specials.name.second_skin","Seconda pelle"
"specials.name.seeking_shots","Colpi traccianti"
"specials.name.self_preservation","Autoconservazione"
"specials.name.sense_of_wonder","Senso di meraviglia"
"specials.name.serenade_of_sedition","Serenata della sedizione"
"specials.name.servants_aid","Aiuto del servitore"
"specials.name.set_phase2","Tenebre scatenate"
"specials.name.set_phase3","Ultimo sforzo"
"specials.name.severed_seal","Sigillo spezzato"
"specials.name.severing_strike","Colpo di taglio"
"specials.name.sewing_back_together","Rammendare"
"specials.name.shackles_of_the_sea","Catene del mare"
"specials.name.shade_cloak","Mantello ombra"
"specials.name.shadow_link","Collegamento d'acciaio"
"specials.name.shadow_lunge","Affondo d'ombra"
"specials.name.shadow_monster_form","Fendente occulto"
"specials.name.shadow_sidestep","Scivolata dell'ombra"
"specials.name.shadow_strike","Colpo d'ombra"
"specials.name.shadow_sweep","Spazzata dell'ombra"
"specials.name.shady_concerto","Concerto oscuro"
"specials.name.shapeshifters_deception","Inganno del mutaforma"
"specials.name.shards_of_sun","Frammenti di sole"
"specials.name.shared_compassion","Compassione condivisa"
"specials.name.shared_visage","Sembianze condivise"
"specials.name.shark_bite","Morso di squalo"
"specials.name.sharp_cut","Taglio netto"
"specials.name.sharp_knife","Coltello affilato"
"specials.name.sharp_stingers","Pungiglioni affilati"
"specials.name.shatter_psyche","Frantuma-psiche"
"specials.name.shatter_soul","Frangi anime"
"specials.name.shattering_shriek","Grido devastante"
"specials.name.shattering_warcry","Urlo di guerra devastante"
"specials.name.shed_skin","Muta"
"specials.name.shieldmaidens_protection","Protezione della vergine scudata"
"specials.name.shifting_mindless_attack","Assalto folle"
"specials.name.shimmering_shield","Scudo scintillante"
"specials.name.shock_bolt","Dardo elettrico"
"specials.name.shock_ultimatum","Ultimatum elettrico"
"specials.name.shocking_news","Notizie sconvolgenti"
"specials.name.shrill_announcement","Annuncio stridente"
"specials.name.shy_jab_dragon_pve","Diretto timido"
"specials.name.sickening_glow","Bagliore nauseante"
"specials.name.sickle_of_eradication","Falce dello sradicamento"
"specials.name.sickle_of_wu","Falce di Wu"
"specials.name.sickle_trouble","Falce delle afflizioni"
"specials.name.sideswipe","Colpo di lato"
"specials.name.sigil_of_the_sun","Sigillo del sole"
"specials.name.silencing_stick_up","Bastonata silenziante"
"specials.name.silent_takedown","Abbattimento silenzioso"
"specials.name.sinister_enlace","Intreccio sinistro"
"specials.name.sinister_enlace_deadly","Intreccio sinistro"
"specials.name.sinister_siphon","Sifone sinistro"
"specials.name.sir_agony","Lama debilitante"
"specials.name.sir_pain","Falce vendicativa"
"specials.name.situational_awareness","Consapevolezza situazionale"
"specials.name.sky_attack","Attacco dal cielo"
"specials.name.skyfall_crumble","Crollo dal cielo"
"specials.name.slash_and_support","Squarcia e sostieni"
"specials.name.slash_of_four_blades","Taglio delle quattro lame"
"specials.name.slash_of_glass_blades","Fendente di lame di vetro"
"specials.name.slash_of_seven_blades","Taglio di sette lame"
"specials.name.slash_of_seven_daggers","Taglio di sette pugnali"
"specials.name.slash_of_seven_toons","Fendente dei sette cartoni"
"specials.name.slash_of_stylish_blades","Fendente delle lame eleganti"
"specials.name.slash_of_the_seven_stilettos","Fendente dei sette stiletti"
"specials.name.slash_of_the_vibrant_lion","Fendente del leone vibrante"
"specials.name.slaying_stake","Paletto mortale"
"specials.name.sledge_bash","Colpo di slitta"
"specials.name.slice_and_dice","Taglia e affetta"
"specials.name.slice_and_dice_pve","Taglia e affetta"
"specials.name.slime_coated_sword","Spada rivestita di slime"
"specials.name.slime_serving","Porzione di slime"
"specials.name.slime_slap","Schiaffo di slime"
"specials.name.slimy_balls","Sfere di slime"
"specials.name.slingja_attack_chingiriko","Attacco sling-ja"
"specials.name.slumber_spores","Spore del sonno"
"specials.name.slumbering_beatdown","Picchiata assopita"
"specials.name.smoldering_tear_dragon_pve","Lacrima infuocata"
"specials.name.smooth_treatment","Trattamento lenitivo"
"specials.name.snapping_jaws","Fauci scattanti"
"specials.name.snowlit_slices","Tagli di neve"
"specials.name.soaring_blast","Esplosione impennante"
"specials.name.sock_and_block","Cazzotto e parata"
"specials.name.solar_beam","Raggio solare"
"specials.name.solar_shroud","Velo solare"
"specials.name.solar_strike","Assalto solare"
"specials.name.soldiers_curse","Raffiche di sabbia"
"specials.name.solid_frozen_fist","Pugno solido congelato"
"specials.name.song_of_calamity","Canzone della calamità"
"specials.name.song_of_hoot_and_holler","Canto di fischi e strepiti"
"specials.name.song_of_regression","Lamento punitivo"
"specials.name.song_of_the_morass","Canto della palude"
"specials.name.song_of_the_skies","Canto dei cieli"
"specials.name.songs_of_the_cherry_tree","Canti dell'albero di ciliegio"
"specials.name.sonic_infusion_arrow","Freccia a infusione sonica"
"specials.name.sonic_roar","Ruggito sonico"
"specials.name.sonic_wall","Muro sonico"
"specials.name.sonorous_spear","Lancia sonora"
"specials.name.soothing_melody","Melodia rilassante"
"specials.name.soothing_song","Canto rilassante"
"specials.name.soul_cage","Chiamata scheletrica"
"specials.name.soul_guardian","Guardiano dell'anima"
"specials.name.sour_berry_blast_dragon_pve","Esplosione di bacche acide"
"specials.name.sparking_star_slash","Fendente della stella scintillante"
"specials.name.sparrow_fury","Furia del passero"
"specials.name.spartan_cleave","Fendente spartano"
"specials.name.spartan_slash","Fendente spartano"
"specials.name.spear_of_blood_pact","Lancia del patto di sangue"
"specials.name.spear_of_loyalty","Lancia della lealtà"
"specials.name.spear_of_shu","Lancia di Shu"
"specials.name.spearwand_gale","Tempesta di lance"
"specials.name.spectacular_bite","Morso spettacolare"
"specials.name.spectral_visions","Visioni spettrali"
"specials.name.spectral_wings","Ali spettrali"
"specials.name.spectres_flail","Flagello dello spettro"
"specials.name.spell_lock","Blocco incantesimi"
"specials.name.spell_of_camaraderie","Incantesimo di cameratismo"
"specials.name.spicy_berry_blast_dragon_pve","Esplosione di bacche piccanti"
"specials.name.spike_burst","Scoppio perforante"
"specials.name.spilled_decoctions","Decotti versati"
"specials.name.spirit_arrow","Freccia fantasma"
"specials.name.spirit_drain","Prosciugamento dello spirito"
"specials.name.spirit_of_spring","Spirito di primavera"
"specials.name.spirit_of_winter","Spirito invernale"
"specials.name.spirit_rally","Adunata spirituale"
"specials.name.spirited_slash","Fendente vigoroso"
"specials.name.spirits_of_the_mountain","Spiriti della montagna"
"specials.name.spiritual_unity","Banchetto favoloso"
"specials.name.spiritual_wire","Conduttore spirituale"
"specials.name.splintering_shot","Colpo scheggiante"
"specials.name.splintering_shot2","Colpo scheggiante"
"specials.name.spotting_trouble","Individuare i problemi"
"specials.name.spreading_gossip","Diffondere pettegolezzi"
"specials.name.spreading_shadow","Ombra diffusa"
"specials.name.spreading_traps","Diffondere trappole"
"specials.name.sprite_ballad","Ballata degli spiriti"
"specials.name.sprite_hymn","Inno degli spiriti"
"specials.name.squeak_of_protection","Stridio di protezione"
"specials.name.squire_strike","Colpo dello scudiero"
"specials.name.squires_squirrel","Scoiattolo dello scudiero"
"specials.name.squish_squash_achillea","Schiaccia schiaccia"
"specials.name.stab_of_four_blades","Pugnalata delle quattro lame"
"specials.name.staff_of_domination","Bastone del dominio"
"specials.name.staff_of_mana_control","Bastone del controllo del mana"
"specials.name.staff_of_mana_control_pve","Bastone del controllo del mana"
"specials.name.staff_of_the_seastar","Bastone della stella del mare"
"specials.name.staggering_blows","Colpi barcollanti"
"specials.name.stalling_spell","Temporeggiamento"
"specials.name.stalling_strike","Colpo di stallo"
"specials.name.stalwart_rally","Raduno strenuo"
"specials.name.stalwart_to_the_end","Resistente fino alla fine"
"specials.name.standing_fortress","Fortezza eretta"
"specials.name.standing_fortress3","Fortezza eretta"
"specials.name.star_construct","Stella costrutto"
"specials.name.star_trail","Sentiero di stelle"
"specials.name.starplay","Giocata stellare"
"specials.name.stately_retribution","Castigo solenne"
"specials.name.steel_rush","Corsa all'acciaio"
"specials.name.stellar_beam","Raggio stellare"
"specials.name.sticky_express","Colpo travolgente appiccicoso"
"specials.name.sticky_spear","Lancia appiccicosa"
"specials.name.sticky_tongue","Lingua appiccicosa"
"specials.name.stiletto_cyclone","Ciclone di pugnali"
"specials.name.stolen_tarts","Crostate rubate"
"specials.name.stomp","Calpestamento"
"specials.name.stone_skin","Collegamento spirituale"
"specials.name.storm_of_blades","Tempesta di lame"
"specials.name.strange_incense","Incenso misterioso"
"specials.name.strategic_slash","Fendente ornitologico"
"specials.name.strength_of_the_accursed","Forza del maledetto"
"specials.name.strength_of_the_benemoth","Forza del Behemoth"
"specials.name.strength_of_the_volcano","Forza del vulcano"
"specials.name.strengthening_draught","Intruglio rafforzante"
"specials.name.strengthening_smash","Colpo rafforzante"
"specials.name.strict_standards","Standard rigorosi"
"specials.name.strike_and_support","Assalto e supporto"
"specials.name.strike_from_the_shadows","Assalto dall'ombra"
"specials.name.strike_from_the_skies","Assalto dal cielo"
"specials.name.strike_of_a_thousand_howls","Colpo dei mille ululati"
"specials.name.strike_of_the_ancients","Assalto degli Antichi"
"specials.name.strike_of_the_cobra","Colpo del cobra"
"specials.name.strike_of_the_monolith","Assalto del Monolite"
"specials.name.strike_of_the_toons","Colpo dei cartoni"
"specials.name.strike_of_the_underworld","Colpo degli Inferi"
"specials.name.struck_by_thunder","Colpito dal tuono"
"specials.name.stubby_reap","Mietitura mozzante"
"specials.name.stunning_blow","Colpo paralizzante"
"specials.name.stunning_spear","Lancia stordente"
"specials.name.stunning_steel","Acciaio stordente"
"specials.name.stunning_strike","Colpo stordente"
"specials.name.stupendous_break_in","Irruzione stupenda"
"specials.name.sturdy_riposte","Risposta robusta"
"specials.name.style_link","Legame di stile"
"specials.name.stylish_appetizer","Antipasto elegante"
"specials.name.stylish_chop","Attacco elegante"
"specials.name.stylish_cleave","Fendente elegante"
"specials.name.stylish_counterattack","Contrattacco elegante"
"specials.name.stylish_eruption","Eruzione elegante"
"specials.name.stylish_fireball","Palla di fuoco elegante"
"specials.name.stylish_fury","Furia elegante"
"specials.name.stylish_heal","Cura elegante"
"specials.name.stylish_jolt","Scossa elegante"
"specials.name.stylish_pulverizer","Polverizzatore elegante"
"specials.name.stylish_slash","Fendente elegante"
"specials.name.stylish_smash","Schianto elegante"
"specials.name.stylish_spear","Lancia elegante"
"specials.name.stylish_strike","Colpo elegante"
"specials.name.stylish_strike_caedmon","Colpo elegante"
"specials.name.stylish_strike_magni","Colpo elegante"
"specials.name.stylish_warcry","Grido di guerra elegante"
"specials.name.subduing_strike","Colpo sottomettente"
"specials.name.sublime_pastry","Pasticceria abboccante"
"specials.name.sudden_attack","Attacco improvviso"
"specials.name.suffocating_smoke","Fumo soffocante"
"specials.name.suffocating_smoke2","Fumo soffocante"
"specials.name.suffocating_smoke3","Fumo soffocante"
"specials.name.sugar_rush","Picco di zuccheri"
"specials.name.summer_carol","Carola estiva"
"specials.name.summers_end","Finale congelante"
"specials.name.summon_ballerina_fiend","Convocazione delle ballerine"
"specials.name.summon_celestial_guardians","Evoca guardiani celestiali"
"specials.name.summon_rock_golems","Evoca golem di pietra"
"specials.name.summon_sand_golems","Evoca golem di sabbia"
"specials.name.summon_temple_guardians","Evoca Guardiani del Tempio"
"specials.name.sunken_abyss","Abisso sprofondato"
"specials.name.sunken_magma_cube","Cubo di magma sommerso"
"specials.name.sunscreen_blast","Esplosione di protezione solare"
"specials.name.sunstone_glare_dragon_pve","Bagliore di pietra solare"
"specials.name.super_duper_spray","Spruzzo incontenibile"
"specials.name.super_porridge","Super avena"
"specials.name.superb_sake","Sakè superbo"
"specials.name.supercharged_fireball_dragon_pve","Palla di fuoco sovraccaricata"
"specials.name.superfood_purification","Purificazione superfood"
"specials.name.supernova","Supernova"
"specials.name.supernova_boss_phase1","Supernova"
"specials.name.supernova_boss_phase2","Supernova Aeternus"
"specials.name.suppressing_ki","Ki opprimente"
"specials.name.sure_fire_combustion","Combustione impetuosa"
"specials.name.surprise_goo","Melma a sorpresa!"
"specials.name.suspicious_stew","Stufato sospetto"
"specials.name.swamp_skin","Pelle di palude"
"specials.name.swashbuckling_stab","Pugnalata smargiassa"
"specials.name.sweep_the_soot","Spazza la fuliggine"
"specials.name.sweet_berry_blast_dragon_pve","Esplosione di bacche dolci"
"specials.name.sweet_dreams","Sogni d'oro"
"specials.name.swift_little_friends","Piccoli amici veloci"
"specials.name.swift_maneuvers","Manovre rapide"
"specials.name.swift_stingers","Punture rapide"
"specials.name.swooping_support","Supporto dall'alto"
"specials.name.swooping_talon","Artiglio in picchiata"
"specials.name.sword_barricade","Barricata di spade"
"specials.name.sword_dance","Danza della spada"
"specials.name.sword_of_swan_song","Spada del canto del cigno"
"specials.name.sword_of_wei","Spada di Wei"
"specials.name.sword_of_xuvhosh","Spada di Xu'Vhosh"
"specials.name.sylvan_blessings","Benedizioni silvestri"
"specials.name.symphonic_pulverizer","Polverizzatore sinfonico"
"specials.name.tackle","Placca"
"specials.name.tactical_cut","Taglio tattico"
"specials.name.tail_bash","Colpo di coda"
"specials.name.tail_slam","Colpo di coda"
"specials.name.tail_slam_deadly","Colpo di coda"
"specials.name.tail_sting","Puntura di coda"
"specials.name.tail_sting_deadly","Puntura di coda"
"specials.name.tainted_axe","Ascia infetta"
"specials.name.tambourine_solo","Assolo di tamburello"
"specials.name.tangy_berry_blast_dragon_pve","Esplosione di bacche pungenti"
"specials.name.tangy_torture","Tortura acidula"
"specials.name.tantrum_of_forest","Rabbia dei cartoni"
"specials.name.teargas_roulette","Roulette al gas lacrimogeno"
"specials.name.teeth_of_the_river","Denti del fiume"
"specials.name.tempered_blade","Lama temprata"
"specials.name.tentacle_jab","Affondo del tentacolo"
"specials.name.tentacle_slash","Fendente del tentacolo"
"specials.name.terrifying_screech","Urlo terrificante"
"specials.name.terror_shriek","Grido di terrore"
"specials.name.testudo_rock","Roccia della testuggine"
"specials.name.testudo_roll","Rotolata della testuggine"
"specials.name.testudo_roll_deadly","Rotolata della testuggine"
"specials.name.the_call_to_hibernate","Chiamata al letargo"
"specials.name.the_dukes_investigation","Indagine del Duca"
"specials.name.the_eagles_blessing","Benedizione dell'aquila"
"specials.name.the_mighty_crescendo","Crescendo potente"
"specials.name.the_perfect_throw","Lancio perfetto"
"specials.name.the_piranha_incident","L'incidente dei piranha"
"specials.name.the_queens_radiance","Fulgore della Regina"
"specials.name.the_queens_speech","Discorso della Regina"
"specials.name.the_two_sides_of_the_moon","I due lati della Luna"
"specials.name.the_undercover_investigation","Indagine sotto copertura"
"specials.name.thieving_shot","Colpo da ladro"
"specials.name.thorned_slam_dunk","Schiacciata spinosa"
"specials.name.thousand_cuts","Mille tagli"
"specials.name.thousand_palm_strikes","Colpi delle mille mani"
"specials.name.three_bandit_mice","Tre topolini banditi"
"specials.name.three_blind_mice","Tre topolini ciechi"
"specials.name.three_little_rams","Tre piccoli arieti"
"specials.name.thresher_worms","Vermi devastatori"
"specials.name.thrilling_clash","Urto penetrante"
"specials.name.throwing_daggers","Pugnali da lancio"
"specials.name.throwing_stars","Lancio di stelle"
"specials.name.thunder_ultimatum","Ultimatum tuono"
"specials.name.thunderbolt","Fulmine"
"specials.name.thundering_strike","Colpo tonante"
"specials.name.thunderstorm","Tempesta elettrica"
"specials.name.thunderstrike","Ultimatum tuono"
"specials.name.tidal_force","Forza della marea"
"specials.name.tidal_vortex","Vortice di marea"
"specials.name.tidal_wave","Ondata di furfanti"
"specials.name.tidal_waves","Onde di marea"
"specials.name.tidy_up","Riordina!"
"specials.name.time_rewind","Riavvolgimento temporale"
"specials.name.timeless_timepiece","Cronografo senza tempo"
"specials.name.tip_of_the_spear","Punta della lancia"
"specials.name.titanbone_chain_slash","Colpo di catena titanica"
"specials.name.titanium_antler_attack","Attacco con corna di titanio"
"specials.name.titantooth_blade","Lama di dente titanico"
"specials.name.to_the_rescue","Si salvi chi può!"
"specials.name.tokri_of_resources","Tokri delle risorse"
"specials.name.tome_of_the_stag","Tomo del cervo"
"specials.name.toon_annihilation","Annientamento cartone"
"specials.name.toon_athenas_bow","Arco di Atena cartone"
"specials.name.toon_attack","Attacco del cartone"
"specials.name.toon_barrage","Sbarramento del cartone"
"specials.name.toon_bash","Colpo del cartone"
"specials.name.toon_bite","Morso del cartone"
"specials.name.toon_blast","Esplosione cartone"
"specials.name.toon_brew","Birra del cartone"
"specials.name.toon_chop","Fendente del cartone"
"specials.name.toon_cleave","Sferzata del cartone"
"specials.name.toon_counter","Contrattacco del cartone"
"specials.name.toon_cut","Taglio del cartone"
"specials.name.toon_finisher","Colpo di grazia del cartone"
"specials.name.toon_fury","Furia del cartone"
"specials.name.toon_hit","Attacco del cartone"
"specials.name.toon_jolt","Scossa del cartone"
"specials.name.toon_lament","Lamento del cartone"
"specials.name.toon_link","Collegamento del cartone"
"specials.name.toon_mirror","Specchio del cartone"
"specials.name.toon_mist","Nebbia del cartone"
"specials.name.toon_of_the_depths","Cartone degli abissi"
"specials.name.toon_of_the_seas","Cartone dei mari"
"specials.name.toon_prowess","Potenze del cartone"
"specials.name.toon_riposte","Risposta del cartone"
"specials.name.toon_shot","Colpo del cartone"
"specials.name.toon_slam","Attacco del cartone"
"specials.name.toon_slash","Colpo di fendente del cartone"
"specials.name.toon_stab","Pugnalata del cartone"
"specials.name.toon_stars","Stelle del cartone"
"specials.name.toon_storm","Tempesta del cartone"
"specials.name.toon_strike","Colpo del cartone"
"specials.name.toon_traps","Trappole del cartone"
"specials.name.toon_ultimatum","Ultimatum del cartone"
"specials.name.toon_vines","Rampicanti del cartone"
"specials.name.toon_wave","Onda del cartone"
"specials.name.toon_waza","Tecnica del cartone"
"specials.name.toonball","Palla cartone"
"specials.name.tooncry","Urlo cartone"
"specials.name.toonpower_pulverizer","Polverizzatore cartone"
"specials.name.toons_luck","Fortuna del cartone"
"specials.name.toons_order","Ordine del cartone"
"specials.name.toontastic_feast","Banchetto cartoonesca"
"specials.name.toontastic_fog","Nebbia cartoonesca"
"specials.name.toontastic_link","Legame cartovoloso"
"specials.name.toontastic_protection","Protezione cartoonesca"
"specials.name.toontastic_pulverizer","Polverizzatore cartovoloso"
"specials.name.toontastic_riposte","Risposta cartovolosa"
"specials.name.toontastic_smash","Schianto cartovoloso"
"specials.name.toontastic_strike","Assalto cartovoloso"
"specials.name.total_beatdown","Mazzate sorprendenti"
"specials.name.tough_love","Cannone dell'amore"
"specials.name.towers_curse","Bufera di sabbia"
"specials.name.toxic_berry_blast","Esplosione di bacche tossiche"
"specials.name.toxic_bile","Bile tossica"
"specials.name.toxic_flames","Fiamme tossiche"
"specials.name.toxic_fumes","Fumi tossici"
"specials.name.toxic_gas_cloud","Nube di gas tossico"
"specials.name.toxic_headbutt","Colpo di testa tossico"
"specials.name.toxic_incense","Incenso tossico"
"specials.name.toxic_spit","Sputo tossico"
"specials.name.toxic_stinger","Pungiglione tossico"
"specials.name.toxic_traps","Trappole tossiche"
"specials.name.toxic_tricks","Trucchi tossici"
"specials.name.toxicadendra","Crescita accelerata"
"specials.name.trainer_blast","Esplosione dell'istruttore"
"specials.name.trainer_dummy_fights_back","Il manichino d'addestramento reagisce!"
"specials.name.trainer_dummy_repair","Riparazione del manichino d'addestramento!"
"specials.name.trainer_slash","Assalto istruttore"
"specials.name.tranquil_mist","Foschia tranquilla"
"specials.name.transcendental_charge","Carica trascendentale"
"specials.name.transcendental_frame","Aura trascendentale"
"specials.name.transfigure","Trasfigurazione"
"specials.name.travelers_snack","Merenda di viaggio"
"specials.name.treasure_ale","Birra del tesoro"
"specials.name.trial_of_darkness","Prova dell'oscurità"
"specials.name.trial_of_fauna","Prova della fauna"
"specials.name.trial_of_fire","Prova del fuoco"
"specials.name.trial_of_flames","Prova delle fiamme"
"specials.name.trial_of_flora","Prova della flora"
"specials.name.trial_of_frost","Prova del gelo"
"specials.name.trial_of_ice","Prova del ghiaccio"
"specials.name.trial_of_nature","Prova della natura"
"specials.name.trial_of_pain","Prova del dolore"
"specials.name.trial_of_the_moon","Prova della luna"
"specials.name.trial_of_the_sun","Prova del sole"
"specials.name.trial_of_the_waters","Prova delle acque"
"specials.name.tribal_rage","Ira tribale"
"specials.name.tribal_rage_pve","Ira tribale"
"specials.name.trick_of_the_trade","Trucchi del mestiere"
"specials.name.trickster_grenades","Granate dell'inganno"
"specials.name.tricksters_buff","Bottiglia"
"specials.name.tricksters_damage","Spade"
"specials.name.tricksters_exchange","Trucco dell'imbroglione"
"specials.name.tricksters_lullaby","Ninna nanna dell'imbroglione"
"specials.name.tricksters_malice","Malizia dell'imbroglione"
