"specials.name.a_cozy_break","En koselig pause"
"specials.name.sapphire_eyes","Safirøyne"
"specials.name.saturated_suffering","Mettet lidelse"
"specials.name.savage_gobble_blue","Vill buldring"
"specials.name.savage_gobble_green","Vill buldring"
"specials.name.savage_gobble_purple","Vill buldring"
"specials.name.savage_gobble_red","Vill buldring"
"specials.name.savage_gobble_yellow","Vill buldring"
"specials.name.savage_talons","Ville klør"
"specials.name.scale_of_the_newt","Vannsalamanderskala"
"specials.name.scaly_skin","Skjellhud"
"specials.name.scar_of_the_depths","Arr fra dypet"
"specials.name.scar_of_the_depths_deadly","Arr fra dypet"
"specials.name.scarab_barrage","Skarabéstorm"
"specials.name.scarab_blitz","Skarabéblits"
"specials.name.scarab_bombardment","Skarabébombardement"
"specials.name.scarab_rush","Skarabeerush"
"specials.name.scarab_throw","Skarabékast"
"specials.name.scavenging_dash","Letende sprang"
"specials.name.scepter_of_bundelkhand","Bundelkhand-septeret"
"specials.name.scepter_of_constellations","Konstellasjonssepter"
"specials.name.scion_sword","Scion-sverd"
"specials.name.scion_sword_costume_white_raven","Scion-klinge"
"specials.name.scorching_orb","Sviende kule"
"specials.name.scoundrel_swing","Kjeltringsving"
"specials.name.scourge_of_joy","Gledens svøpe"
"specials.name.scourge_of_the_strong","De sterkes svøpe"
"specials.name.scouts_spyglass","Speiders kikkert"
"specials.name.scroll_of_equations","Utjevning-skriftrull"
"specials.name.scroll_of_fellowship","Kameratskapsrull"
"specials.name.scroll_of_navigation","Navigasjonsrull"
"specials.name.scroll_of_new_beginnings","Nye begynnelser-rull"
"specials.name.scroll_of_spite","Ondskapens rull"
"specials.name.scythe_of_sorceries","Trolldomsljå"
"specials.name.seabed_pirouette","Havbunnpiruett"
"specials.name.seabed_sissonne","Havets bunn-Sissonne"
"specials.name.seal_of_ares","Ares' segl"
"specials.name.seal_of_fire","Ildens signet"
"specials.name.searing_frost","Sviende frost"
"specials.name.searing_strike","Brennende slag"
"specials.name.seastar_burst","Sjøstjernesprekk"
"specials.name.seaweed_flail","Sjøgress-sliul"
"specials.name.second_skin","Andre skinn"
"specials.name.seeking_shots","Søkende skudd"
"specials.name.self_preservation","Selvbevaring"
"specials.name.sense_of_wonder","Følelse av under"
"specials.name.serenade_of_sedition","Forførende serenade"
"specials.name.servants_aid","Tjeners hjelp"
"specials.name.set_phase2","Løssluppet mørke"
"specials.name.set_phase3","Siste innsats"
"specials.name.severed_seal","Avskåret segl"
"specials.name.severing_strike","Atskillende slag"
"specials.name.sewing_back_together","Syr sammen"
"specials.name.shackles_of_the_sea","Havets håndjern"
"specials.name.shade_cloak","Skyggekutte"
"specials.name.shadow_link","Stållenke"
"specials.name.shadow_lunge","Skyggesprang"
"specials.name.shadow_monster_form","Uhyggelig hugg"
"specials.name.shadow_sidestep","Skyggesideskritt"
"specials.name.shadow_strike","Skyggeangrep"
"specials.name.shadow_sweep","Skyggesveip"
"specials.name.shady_concerto","Konsert i skyggen"
"specials.name.shapeshifters_deception","Hamskifterens bedrag"
"specials.name.shards_of_sun","Solskår"
"specials.name.shared_compassion","Delt medfølelse"
"specials.name.shared_visage","Delt åsyn"
"specials.name.shark_bite","Haibitt"
"specials.name.sharp_cut","Skarpkutt"
"specials.name.sharp_knife","Skarp kniv"
"specials.name.sharp_stingers","Skarpe brodder"
"specials.name.shatter_psyche","Knus psyke"
"specials.name.shatter_soul","Knus sjel"
"specials.name.shattering_shriek","Knusende skrik"
"specials.name.shattering_warcry","Knusende krigsrop"
"specials.name.shed_skin","Felle ham"
"specials.name.shieldmaidens_protection","Skjoldmøyens beskyttelse"
"specials.name.shifting_mindless_attack","Skiftende tankeløst angrep"
"specials.name.shimmering_shield","Skimrende skjold"
"specials.name.shock_bolt","Sjokkbolt"
"specials.name.shock_ultimatum","Sjokkultimatum"
"specials.name.shocking_news","Sjokkerende nyheter"
"specials.name.shrill_announcement","Hvinende kunngjøring"
"specials.name.shy_jab_dragon_pve","Blygt slag"
"specials.name.sickening_glow","Vemmelig glød"
"specials.name.sickle_of_eradication","Utrydningens sigd"
"specials.name.sickle_of_wu","Wu-sigd"
"specials.name.sickle_trouble","Sigdproblemer"
"specials.name.sideswipe","Sidesveip"
"specials.name.sigil_of_the_sun","Solens segl"
"specials.name.silencing_stick_up","Stillende ran"
"specials.name.silent_takedown","Stille felling"
"specials.name.sinister_enlace","Uhyggelig omgitt"
"specials.name.sinister_enlace_deadly","Uhyggelig omgitt"
"specials.name.sinister_siphon","Uhyggelig gjennomsøking"
"specials.name.sir_agony","Tappende klinge"
"specials.name.sir_pain","Hevnende ljå"
"specials.name.situational_awareness","Situasjonsforståelse"
"specials.name.sky_attack","Himmelangrep"
"specials.name.skyfall_crumble","Skyfallforfall"
"specials.name.slash_and_support","Hugg og støtte"
"specials.name.slash_of_four_blades","Hugg fra fire kniver"
"specials.name.slash_of_glass_blades","Hugg fra glasskniver"
"specials.name.slash_of_seven_blades","Hugg fra sju kniver"
"specials.name.slash_of_seven_daggers","Hugg fra sju dolker"
"specials.name.slash_of_seven_toons","Hugg fra sju toons"
"specials.name.slash_of_the_seven_stilettos","De syv stiletters hugg"
"specials.name.slaying_stake","Slaktepåle"
"specials.name.sledge_bash","Kjelkeslag"
"specials.name.slice_and_dice","Snitt og kutt"
"specials.name.slice_and_dice_pve","Snitt og kutt"
"specials.name.slime_coated_sword","Slimtilsmurt sverd"
"specials.name.slime_serving","Slimporsjon"
"specials.name.slime_slap","Slimdask"
"specials.name.slimy_balls","Slimballer"
"specials.name.slingja_attack_chingiriko","Sling-ja-angrep"
"specials.name.slumber_spores","Søvnsporer"
"specials.name.slumbering_beatdown","Sløv nedkjempelse"
"specials.name.smoldering_tear_dragon_pve","Ulmende tåre"
"specials.name.smooth_treatment","Smidig behandling"
"specials.name.snapping_jaws","Snappende kjever"
"specials.name.snowlit_slices","Snøhugg"
"specials.name.soaring_blast","Skyhøy eksplosjon"
"specials.name.sock_and_block","Sokk og blokk"
"specials.name.solar_beam","Solstråle"
"specials.name.solar_strike","Solangrep"
"specials.name.soldiers_curse","Sandpust"
"specials.name.solid_frozen_fist","Solid frossen neve"
"specials.name.song_of_calamity","Elendighetens sang"
"specials.name.song_of_hoot_and_holler","Huie og rope-sang"
"specials.name.song_of_regression","Regresjonens beklagelighet"
"specials.name.song_of_the_morass","Myrsang"
"specials.name.song_of_the_skies","Himmelens sang"
"specials.name.songs_of_the_cherry_tree","Kirsebærtreets sanger"
"specials.name.sonic_infusion_arrow","Sonisk besatt pil"
"specials.name.sonic_roar","Sonisk brøk"
"specials.name.sonic_wall","Sonisk vegg"
"specials.name.sonorous_spear","Vellydende spyd"
"specials.name.soothing_melody","Beroligende melodi"
"specials.name.soothing_song","Beroligende sang"
"specials.name.soul_cage","Skjelettfremkalling"
"specials.name.soul_guardian","Sjelvokter"
"specials.name.sour_berry_blast_dragon_pve","Sur bæreksplosjon"
"specials.name.sparking_star_slash","Gnistrende stjernehugg"
"specials.name.sparrow_fury","Spurv-vrede"
"specials.name.spartan_cleave","Spartansk kløyving"
"specials.name.spartan_slash","Spartanersprut"
"specials.name.spear_of_blood_pact","Blodpaktspyd"
"specials.name.spear_of_loyalty","Lojalitetsspyd"
"specials.name.spear_of_shu","Shu-spyd"
"specials.name.spearwand_gale","Spydstokkbris"
"specials.name.spectacular_bite","Spektakulært bitt"
"specials.name.spectral_visions","Spektrasyn"
"specials.name.spectral_wings","Spektralvinger"
"specials.name.spectres_flail","Spøkelses silul"
"specials.name.spell_lock","Magilås"
"specials.name.spell_of_camaraderie","Kameratskapets magi"
"specials.name.spicy_berry_blast_dragon_pve","Krydret bæreksplosjon"
"specials.name.spike_burst","Piggesperreild"
"specials.name.spilled_decoctions","Tapte dekorasjoner"
"specials.name.spirit_arrow","Åndepil"
"specials.name.spirit_drain","Åndebelastning"
"specials.name.spirit_of_spring","Vårens ånd"
"specials.name.spirit_of_winter","Vinterånden"
"specials.name.spirit_rally","Åndesamling"
"specials.name.spirits_of_the_mountain","Fjellåndene"
"specials.name.spiritual_unity","Utrolig fest"
"specials.name.spiritual_wire","Spirituell wire"
"specials.name.splintering_shot","Splintrende skudd"
"specials.name.splintering_shot2","Splintrende skudd"
"specials.name.spotting_trouble","Få øye på trøbbel"
"specials.name.spreading_gossip","Spredende sladder"
"specials.name.spreading_shadow","Spredende skygge"
"specials.name.spreading_traps","Spredende feller"
"specials.name.sprite_ballad","Alvballade"
"specials.name.sprite_hymn","Alvhymne"
"specials.name.squeak_of_protection","Beskyttelsens hvin"
"specials.name.squire_strike","Væpnerslag"
"specials.name.squires_squirrel","Væpners ekorn"
"specials.name.squish_squash_achillea","Squish Squash"
"specials.name.stab_of_four_blades","Stikk fra fire kniver"
"specials.name.staff_of_mana_control","Manakontrollstav"
"specials.name.staff_of_mana_control_pve","Manakontrollstav"
"specials.name.staff_of_the_seastar","Sjøstjernestaven"
"specials.name.staggering_blows","Vinglende slag"
"specials.name.stalling_spell","Hindrende trolldom"
"specials.name.stalling_strike","Hindrende angrep"
"specials.name.stalwart_rally","Stødig samling"
"specials.name.stalwart_to_the_end","Lojal til slutten"
"specials.name.standing_fortress","Stående festning"
"specials.name.standing_fortress3","Stående festning"
"specials.name.star_construct","Stjerne-konstruktør"
"specials.name.star_trail","Stjernespor"
"specials.name.starplay","Stjernelek"
"specials.name.stately_retribution","Statelig gjengjeldelse"
"specials.name.steel_rush","Stålrush"
"specials.name.stellar_beam","Stjernestråle"
"specials.name.sticky_express","Klebrig ekspress"
"specials.name.sticky_spear","Klebrig spyd"
"specials.name.stiletto_cyclone","Stilettsyklon"
"specials.name.stolen_tarts","Stjålne terter"
"specials.name.stomp","Tramp"
"specials.name.stone_skin","Åndelig kobling"
"specials.name.storm_of_blades","Sverdstorm"
"specials.name.strange_incense","Merkelig røkelse"
"specials.name.strategic_slash","Ornitologisk kutt"
"specials.name.strength_of_the_accursed","Styrken til den forbannede"
"specials.name.strength_of_the_benemoth","Behemoths styrke"
"specials.name.strength_of_the_volcano","Vulkansk styrke"
"specials.name.strengthening_draught","Styrkende slurk"
"specials.name.strengthening_smash","Styrkende smadring"
"specials.name.strict_standards","Strenge standarder"
"specials.name.strike_and_support","Angrep og støtte"
"specials.name.strike_from_the_shadows","Angripe fra skyggene"
"specials.name.strike_from_the_skies","Angrep fra himmelen"
"specials.name.strike_of_a_thousand_howls","De tusen hyls slag"
"specials.name.strike_of_the_ancients","De gamles slag"
"specials.name.strike_of_the_cobra","Kobraens hugg"
"specials.name.strike_of_the_monolith","Monolittens slag"
"specials.name.strike_of_the_toons","Toons angrep"
"specials.name.strike_of_the_underworld","Underverdenens slag"
"specials.name.struck_by_thunder","Truffet av torden"
"specials.name.stubby_reap","Stubbet innhøsting"
"specials.name.stunning_blow","Lammende slag"
"specials.name.stunning_spear","Lammende spyd"
"specials.name.stunning_steel","Makeløst stål"
"specials.name.stunning_strike","Lammende angrep"
"specials.name.stupendous_break_in","Fantastisk innbrudd"
"specials.name.sturdy_riposte","Solid kontra"
"specials.name.stylish_chop","Stilig hakk"
"specials.name.stylish_counterattack","Stilig motangrep"
"specials.name.stylish_eruption","Stilig utbrudd"
"specials.name.stylish_fireball","Stilig ildkule"
"specials.name.stylish_heal","Stilig helbredelse"
"specials.name.stylish_pulverizer","Stilig pulverisering"
"specials.name.stylish_slash","Stilig hugg"
"specials.name.stylish_spear","Stilig spyd"
"specials.name.stylish_strike","Stilig angrep"
"specials.name.stylish_strike_caedmon","Stilig angrep"
"specials.name.stylish_warcry","Stilig krigsrop"
"specials.name.subduing_strike","Underleggende angrep"
"specials.name.sublime_pastry","Bakverk med fisk"
"specials.name.sudden_attack","Plutselig angrep"
"specials.name.suffocating_smoke","Kvelende røyk"
"specials.name.suffocating_smoke2","Kvelende røyk"
"specials.name.suffocating_smoke3","Kvelende røyk"
"specials.name.sugar_rush","Sukkerrus"
"specials.name.summer_carol","Sommerlovsang"
"specials.name.summers_end","Frysende finale"
"specials.name.summon_ballerina_fiend","Fremkalling av ballerinaer"
"specials.name.summon_celestial_guardians","Fremkall himmelvoktere"
"specials.name.summon_rock_golems","Fremkall steingolemer"
"specials.name.summon_sand_golems","Fremkall sandgolemer"
"specials.name.summon_temple_guardians","Fremkalle tempelvoktere"
"specials.name.sunken_abyss","Sunken avgrunn"
"specials.name.sunken_magma_cube","Sunket magmakube"
"specials.name.sunscreen_blast","Solkremeksplosjon"
"specials.name.sunstone_glare_dragon_pve","Solsteinglød"
"specials.name.super_duper_spray","Superduperspray"
"specials.name.super_porridge","Supergrøt"
"specials.name.superb_sake","Overlegen sake"
"specials.name.supercharged_fireball_dragon_pve","Superladet ildkule"
"specials.name.supernova","Supernova"
"specials.name.supernova_boss_phase1","Supernova"
"specials.name.supernova_boss_phase2","Supernova Aeternus"
"specials.name.suppressing_ki","Undertrykkende ki"
"specials.name.sure_fire_combustion","Brennsikker forbrenning"
"specials.name.surprise_goo","Overraskelsesslim!"
"specials.name.suspicious_stew","Mistenkelig stuing"
"specials.name.swamp_skin","Svampehud"
"specials.name.swashbuckling_stab","Pirathugg"
"specials.name.sweet_berry_blast_dragon_pve","Søt bæreksplosjon"
"specials.name.sweet_dreams","Søte drømmer"
"specials.name.swift_little_friends","Raske, små venner"
"specials.name.swift_maneuvers","Raske manøvrer"
"specials.name.swift_stingers","Raske stikkere"
"specials.name.swooping_support","Flaksende støtte"
"specials.name.swooping_talon","Stupende klo"
"specials.name.sword_barricade","Sverdbarrikade"
"specials.name.sword_dance","Sverddans"
"specials.name.sword_of_swan_song","Sverd av svanesang"
"specials.name.sword_of_wei","Wei-sverd"
"specials.name.sylvan_blessings","Sylva-velsignelser"
"specials.name.symphonic_pulverizer","Symfonisk knuser"
"specials.name.tackle","Takle"
"specials.name.tactical_cut","Taktisk kutt"
"specials.name.tail_bash","Haleslag"
"specials.name.tail_slam","Haleslag"
"specials.name.tail_slam_deadly","Haleslag"
"specials.name.tail_sting","Halestikk"
"specials.name.tail_sting_deadly","Halestikk"
"specials.name.tainted_axe","Skjemt øks"
"specials.name.tambourine_solo","Tamburinsolo"
"specials.name.tangy_berry_blast_dragon_pve","Skarp bæreksplosjon"
"specials.name.tantrum_of_forest","Toons sinne"
"specials.name.teeth_of_the_river","Elvens tann"
"specials.name.tempered_blade","Besinnende sverd"
"specials.name.tentacle_jab","Tentakkeljab"
"specials.name.tentacle_slash","Tentakkelhugg"
"specials.name.terrifying_screech","Forskrekkende skrik"
"specials.name.terror_shriek","Terrorskrik"
"specials.name.testudo_rock","Skjoldborstein"
"specials.name.testudo_roll","Skjoldborgrull"
"specials.name.testudo_roll_deadly","Skjoldborgrull"
"specials.name.the_call_to_hibernate","Dvalens kall"
"specials.name.the_dukes_investigation","Hertugens etterforskning"
"specials.name.the_eagles_blessing","Ørnens velsignelse"
"specials.name.the_mighty_crescendo","Den mektige crescendo"
"specials.name.the_perfect_throw","Det perfekte kast"
"specials.name.the_piranha_incident","Piraja-hendelsen"
"specials.name.the_queens_radiance","Dronningens utstråling"
"specials.name.the_queens_speech","Dronningens tale"
"specials.name.the_two_sides_of_the_moon","Månens to sider"
"specials.name.the_undercover_investigation","Den hemmelige etterforskningen"
"specials.name.thieving_shot","Tyvaktig skudd"
"specials.name.thorned_slam_dunk","Tornet slam dunk"
"specials.name.thousand_cuts","Tusen kutt"
"specials.name.thousand_palm_strikes","Tusen palmer-angrep"
"specials.name.three_bandit_mice","Tre bandittmus"
"specials.name.three_blind_mice","Tre blinde mus"
"specials.name.three_little_rams","Tre små bukker"
"specials.name.thresher_worms","Treskeormer"
"specials.name.thrilling_clash","Spennende sammenstøt"
"specials.name.throwing_daggers","Kastedolker"
"specials.name.throwing_stars","Kastestjerner"
"specials.name.thunder_ultimatum","Torden-ultimatum"
"specials.name.thunderbolt","Torden"
"specials.name.thundering_strike","Tordende angrep"
"specials.name.thunderstorm","Tordenstorm"
"specials.name.thunderstrike","Torden-ultimatum"
"specials.name.tidal_force","Tidevannsstyrke"
"specials.name.tidal_vortex","Tidevannsmalstrøm"
"specials.name.tidal_wave","Tyv vinker"
"specials.name.tidal_waves","Tidevannsbølger"
"specials.name.tidy_up","Rydd opp!"
"specials.name.time_rewind","Spol tiden tilbake"
"specials.name.timeless_timepiece","Tidsløst ur"
"specials.name.titanbone_chain_slash","Titanbein-kjedeslag"
"specials.name.titanium_antler_attack","Titangevirangrep"
"specials.name.titantooth_blade","Titantannkniv"
"specials.name.to_the_rescue","Til unnsetning!"
"specials.name.tokri_of_resources","Tokri av ressurser"
"specials.name.tome_of_the_stag","Hjortens bok"
"specials.name.toon_annihilation","Toon-utslettelse"
"specials.name.toon_athenas_bow","Toon-Athenes bue"
"specials.name.toon_attack","Toon-angrep"
"specials.name.toon_barrage","Toon-sperreild"
"specials.name.toon_bash","Toon-kamp"
"specials.name.toon_bite","Toon-bitt"
"specials.name.toon_blast","Toon-eksplosjon"
"specials.name.toon_brew","Toon-brygg"
"specials.name.toon_chop","Toon-hugg"
"specials.name.toon_cleave","Toon-kløyving"
"specials.name.toon_counter","Toon og mottrekk"
"specials.name.toon_cut","Toon-kutt"
"specials.name.toon_finisher","Toon-finisher"
"specials.name.toon_fury","Toon-sinne"
"specials.name.toon_hit","Toon-hit"
"specials.name.toon_jolt","Toon-støt"
"specials.name.toon_lament","Toon-klage"
"specials.name.toon_link","Toon-link"
"specials.name.toon_mirror","Toon-speil"
"specials.name.toon_mist","Toon-tåke"
"specials.name.toon_of_the_depths","Toon av dypet"
"specials.name.toon_of_the_seas","Toon av havene"
"specials.name.toon_prowess","Toon-tapperhet"
"specials.name.toon_riposte","Toon-ripost"
"specials.name.toon_shot","Toon-skudd"
"specials.name.toon_slam","Toon-smell"
"specials.name.toon_slash","Toon-kutt"
"specials.name.toon_stab","Toon-hugg"
"specials.name.toon_stars","Toon-stjerner"
"specials.name.toon_storm","Toon-storm"
"specials.name.toon_strike","Toon-angrep"
"specials.name.toon_traps","Toon-feller"
"specials.name.toon_ultimatum","Toon-ultimatum"
"specials.name.toon_vines","Toon-ranker"
"specials.name.toon_wave","Toon-bølge"
"specials.name.toon_waza","Toon-Waza"
"specials.name.toonball","Toon-ball"
"specials.name.tooncry","Toon-rop"
"specials.name.toonpower_pulverizer","Toonkraft-pulveriserer"
"specials.name.toons_luck","Toons hell"
"specials.name.toons_order","Toons bestilling"
"specials.name.toontastic_feast","Toontastisk festmåltid"
"specials.name.toontastic_fog","Toontastisk tåke"
"specials.name.toontastic_link","Toontastisk link"
"specials.name.toontastic_protection","Toontastisk beskyttelse"
"specials.name.toontastic_pulverizer","Toontastisk pulveriserer"
"specials.name.toontastic_riposte","Toontastisk ripost"
"specials.name.toontastic_smash","Toontastisk smadring"
"specials.name.toontastic_strike","Toontastisk angrep"
"specials.name.total_beatdown","Total nedkjempelse"
"specials.name.tough_love","Kjærlighetskanon"
"specials.name.towers_curse","Sandbris"
"specials.name.toxic_berry_blast","Giftig bærskudd"
"specials.name.toxic_bile","Giftig galle"
"specials.name.toxic_flames","Giftige flammer"
"specials.name.toxic_fumes","Giftig røyk"
"specials.name.toxic_gas_cloud","Giftgassky"
"specials.name.toxic_headbutt","Giftig stanging"
"specials.name.toxic_incense","Giftig røkelse"
"specials.name.toxic_spit","Giftig spytt"
"specials.name.toxic_stinger","Giftig stikker"
"specials.name.toxic_traps","Giftige feller"
"specials.name.toxic_tricks","Giftige triks"
"specials.name.toxicadendra","Akselerert vekst"
"specials.name.trainer_blast","Trenereksplosjon"
"specials.name.trainer_slash","Treningsangrep"
"specials.name.tranquil_mist","Rolig tåke"
"specials.name.transcendental_charge","Transcendentalt angrep"
"specials.name.transcendental_frame","Transcendental ramme"
"specials.name.transfigure","Transfigurasjon"
"specials.name.travelers_snack","Den reisendes snacks"
"specials.name.treasure_ale","Skatteføde"
"specials.name.trial_of_darkness","Mørkets prøve"
"specials.name.trial_of_fauna","Faunaens prøve"
"specials.name.trial_of_fire","Ildprøve"
"specials.name.trial_of_flames","Flammeprøve"
"specials.name.trial_of_flora","Floraens prøve"
"specials.name.trial_of_frost","Frostprøve"
"specials.name.trial_of_ice","Isprøve"
"specials.name.trial_of_nature","Prøvelse i natur"
"specials.name.trial_of_pain","Smertens prøve"
"specials.name.trial_of_the_moon","Månens prøve"
"specials.name.trial_of_the_sun","Solens prøve"
"specials.name.trial_of_the_waters","Vannets prøvelser"
"specials.name.tribal_rage","Stammens vrede"
"specials.name.tribal_rage_pve","Stammens vrede"
"specials.name.trick_of_the_trade","Branjsetriks"
"specials.name.trickster_grenades","Luregranater"
"specials.name.tricksters_buff","Flaske"
"specials.name.tricksters_damage","Sverd"
"specials.name.tricksters_exchange","Lurendreiers gambit"
"specials.name.tricksters_lullaby","Lurendreiers nattasang"
"specials.name.tricksters_malice","Lurendreiers ondsinnethet"
"specials.name.tricksters_mischief","Lurendreiers spillopper"
"specials.name.tricksters_negative","Frys"
"specials.name.tricksters_transformation","Lurendreierens forvandlinng"
"specials.name.triple_stab","Trippelhugg"
"specials.name.triumph_of_strategy","Triumfstrategi"
"specials.name.tropical_ambush","Tropisk angrep"
"specials.name.tumbling_dragon","Tumlende drage"
"specials.name.tumbling_dragon2","Tumlende drage"
"specials.name.turquoise_falcon","Turkis falk"
"specials.name.twilight_of_crimes","Kriminell skumring"
"specials.name.twilight_of_ruin","Skumringsruin"
"specials.name.twilight_of_sorrow","Sorgens skumring"
"specials.name.twilight_star_strike","Skumringsstjerneangrep"
"specials.name.twilight_tricks","Skumringstriks"
"specials.name.twist_of_fate","Skjebnens ironi"
"specials.name.twist_of_fate_minor","Forskrudd skjebne"
"specials.name.twostep_swing","To-trinns sving"
"specials.name.ultimate_giftsack","Ultimat sekk med gaver"
"specials.name.unbreakable_brawler","Uknuselig bråkmaker"
"specials.name.unbroken_assault","Uavbrutt angrep"
"specials.name.unchained_jaws","Ukjedede kjever"
"specials.name.unchained_jaws_ultimate_boss","Ukjedede kjever"
"specials.name.undead_obliteration","Vandød utsletter"
"specials.name.undead_penance_poetic","Vandød bot"
"specials.name.undead_rage","Fremkallingspil"
"specials.name.undead_razer","Vandød ødelegger"
"specials.name.under_the_surf","Under nivå"
"specials.name.underwater_magma_cube","Undervannsmagmakube"
"specials.name.underwater_riddle","Undervannsgåte"
"specials.name.undying_heads","Vandøde hoder"
"specials.name.undying_heads_ultimate_boss","Hydrahoder"
"specials.name.undying_incantation","Udødelig besvergelse"
"specials.name.undying_summon","Udødelig fremkalling"
"specials.name.unerring_course","Ufeilbar kurs"
"specials.name.unfeeling_assailing","Angripe uten følelser"
"specials.name.unhallowed_spirits","Onde ånder"
"specials.name.unholy_light","Vanhellig lys"
"specials.name.unholy_power","Uhellig kraft"
"specials.name.unholy_rain","Vanhellig regn"
"specials.name.unite_and_oppose","Gå imot og overkast"
"specials.name.unnatural_pact","Vitalitetsutbrudd"
"specials.name.unrelenting_hunter","Nådeløs jeger"
"specials.name.unrelenting_riposte","Nådeløs ripost"
"specials.name.unstoppable_charge","Ustoppelig angrep"
"specials.name.unstoppable_growl","Ustoppelige Knurr"
"specials.name.unwavering_devotion","Besluttsom hengivenhet"
"specials.name.unwavering_devotion_pve","Besluttsom hengivenhet"
"specials.name.unwavering_focus","Urokkelig fokus"
"specials.name.unyielding_protector","Urokkelig beskytter"
"specials.name.unyielding_stance","Urokkelig holdning"
"specials.name.unyielding_sword","Urokkelig sverd"
"specials.name.urgent_gift_delivery","Hastig gavelevering"
"specials.name.ursine_protection","Ursine-beskyttelse"
"specials.name.valiant_lunge","Tappert fremrykk"
"specials.name.valkyrie_charge","Valkyrieangrep"
"specials.name.valkyrie_defense","Valkyrieforsvar"
"specials.name.valkyrie_resistance","Valkyriemotstand"
"specials.name.valkyrie_rush","Valkyrierush"
"specials.name.valkyries_fortitude","Valkyriens standhaftighet"
"specials.name.valorant_strike","Tapperhetsslag"
"specials.name.valuable_contribution","Verdifullt bidrag"
"specials.name.vampire_killer","Vampyrdreper"
"specials.name.vampiric_cleave","Vampyrkløyving"
"specials.name.vampiric_curse","Vampyrforbannelse"
"specials.name.vampiric_heist","Vampyrkupp"
"specials.name.vampiric_touch","Vampyrberøring"
"specials.name.vanguard_of_passion","Lidenskapens avantgarde"
"specials.name.vantage_point","Utsiktspunkt"
"specials.name.vapors_of_the_underworld","Underverdenens fordamping"
"specials.name.vast_ward","Robust myndling"
"specials.name.vengeance_of_owlhalla","Uglehallas hevn"
"specials.name.vengeful_backstab","Hevngjerrig ryggdolking"
"specials.name.vengeful_scythe","Hevnende ljå"
"specials.name.venom_slash","Gifthugg"
"specials.name.venomfang_concoction","Venomfang-brygg"
"specials.name.venomous_claws","Giftige klør"
"specials.name.venomous_jab","Giftig jab"
"specials.name.venomous_spores","Giftige sporer"
"specials.name.venomous_sting_dragon_pve","Giftig stikk"
"specials.name.verdant_mirror","Umodent speil"
"specials.name.verdant_trap","Umoden felle"
"specials.name.vertical_slash","Vertikalt kutt"
"specials.name.vicious_axe","Ondskapsfull øks"
"specials.name.vicious_cyclone","Ond syklon"
"specials.name.vicious_strike","Ondskapsfullt slag"
"specials.name.vicious_trap","Ond felle"
"specials.name.vigilante_punch","Borgervernerslag"
"specials.name.vigorous_aegis","Energiske skjold"
"specials.name.vigorous_villanelle","Energiske Villanelle"
"specials.name.vile_blessing","Svekkende forbannelse"
"specials.name.villain_swing","Skurkesving"
"specials.name.viper_blade","Viper-sverd"
"specials.name.viper_blade_costume_bear_slayer","Bjørneklinge"
"specials.name.viscous_shield_justico","Seigt skjold"
"specials.name.vitalizing_show","Livvekkende spetakkel"
"specials.name.vitrail_flames","Vitrailflammer"
"specials.name.viziers_curse","Sandbris"
"specials.name.voice_of_authority","Autoritær stemme"
"specials.name.void_blast","Tomromslag"
"specials.name.void_bomb","Tomhetsbombe"
"specials.name.void_orb_dragon_pve","Tomromskule"
"specials.name.voidshield","Tomhetsskjold"
"specials.name.volatile_crystal_conduit","Flyktig krystallkanal"
"specials.name.volcanic_blast","Vulkansk skudd"
"specials.name.volcanic_boulders","Vulkanske kampesteiner"
"specials.name.volcanic_eruption","Vulkanutbrudd"
"specials.name.volcanic_explosion","Vulkansk eksplosjon"
"specials.name.volcanic_flareup","Vulkansk oppbluss"
"specials.name.volcanic_rush","Vulkanstormangrep"
"specials.name.volcanic_shell","Vulkanskjell"
"specials.name.volcanic_tantrum","Toon-eksplosjon"
"specials.name.voluminous_vigor","Voldsom vigør"
"specials.name.wall_of_ice","Isvegg"
"specials.name.wall_of_ki","Mur av Ki"
"specials.name.wall_of_ki2","Mur av Ki"
"specials.name.wall_of_swords","Sverdvegg"
"specials.name.wallet_pulverizer","Pulveriserende kuleramme"
"specials.name.wand_of_mana_control","Manakontrollstokk"
"specials.name.wand_of_mana_trickery","Manatryllestav"
"specials.name.wandering_star_shot","Vandrende stjerneskudd"
"specials.name.war_feast","Krigsbankett"
"specials.name.war_song","Krigssang"
"specials.name.warcry","Krigsrop"
"specials.name.warcry_of_the_hunt","Jaktkrigsrop"
"specials.name.warcry_of_the_jungle","Jungelkrigsrop"
"specials.name.warding_off_evil","Holder onskap unna"
"specials.name.warped_timepiece","Varpet ut"
"specials.name.watchful_duty","Vaktsom plikt"
"specials.name.water_jet_dragon_pve","Vannstråle"
"specials.name.waters_of_nourishment","Næringsrikt vann"
"specials.name.watery_grave","Vanngrav"
"specials.name.weakening_strike","Svekkende angrep"
"specials.name.web_of_spies","Spionnett"
"specials.name.welding_sweep_dragon_pve","Sveiset sveip"
"specials.name.whimsical_aid","Surrete hjelp"
"specials.name.whirlpool","Malstrøm"
"specials.name.whirlpool_dash","Snurresprang"
"specials.name.whirlwind_blows","Blåsende hvirvelvind"
"specials.name.whispers_of_xulu","Xulus hvisk"
