"specials.name.a_cozy_break","Miellyttävä tauko"
"specials.name.relentless_brawler","Sinnikäs rähinöitsijä"
"specials.name.remedies_and_diseases","Vaivat ja voiteet"
"specials.name.rending_dagger","Repivä tikari"
"specials.name.reporting_for_duty","Valmiina palvelukseen"
"specials.name.resolute_spirit","Jääräpäinen sisu"
"specials.name.resolute_spirit2","Jääräpäinen sisu"
"specials.name.restoration_and_annihilation","Nousu ja tuho"
"specials.name.resurrection_of_the_fallen","Kaatuneiden ylösnousemus"
"specials.name.resurrection_of_the_fallen_kemeny","Kaatuneiden ylösnousemus"
"specials.name.revengeful_smite","Koston isku"
"specials.name.reverse_recovery","Käänteinen palautuminen"
"specials.name.reversed_lifeforce","Käänteinen elinvoima"
"specials.name.revitalizing_melody","Elvyttävä melodia"
"specials.name.revitalizing_orb","Elvyttävä pallo"
"specials.name.revitalizing_sludge","Virkistävä mönjä"
"specials.name.reviving_touch","Elvyttävä kosketus"
"specials.name.rhythm_of_havoc","Hävityksen rytmi"
"specials.name.riches_to_poor","Vaurautta köyhille"
"specials.name.ricochet_bolt","Kimpoileva salama"
"specials.name.riddle_of_the_moon","Kuun arvoitus"
"specials.name.riddle_of_the_sun","Auringon arvoitus"
"specials.name.riders_arrow","Ratsastajan nuoli"
"specials.name.riders_lance","Ratsastajan peitsi"
"specials.name.rift_blade","Aukkomiekka"
"specials.name.righteous_pulverizer","Oikeamielinen jauhin"
"specials.name.righteous_revenge","Oikeamielinen kosto"
"specials.name.righteous_strike","Oikeamielinen isku"
"specials.name.ring_around_the_rosie","Piiri pieni pyörii"
"specials.name.rite_of_cuteness","Piirretyn tuomio"
"specials.name.rite_of_glass","Lasinen tuomio"
"specials.name.rite_of_judgement","Tuomioriitti"
"specials.name.rites_of_inner_knowledge","Sisäisen tiedon riitit"
"specials.name.ritual_of_judgement","Tuomiorituaali"
"specials.name.ritual_of_the_deep","Syvyyksien rituaali"
"specials.name.ritual_of_the_elements","Elementtien rituaali"
"specials.name.roadside_surprise","Tienvarsiyllätys"
"specials.name.roar_of_the_panther","Pantterin karjaisu"
"specials.name.rockfall_bash","Kiviputousisku"
"specials.name.rod_of_freedom","Vapauden sauva"
"specials.name.rod_of_torment","Piinaajan sauva"
"specials.name.roman_cleave","Spartalainen rynnäkkö"
"specials.name.roots_of_wrath","Vihan juuret"
"specials.name.roots_of_yggdrasil","Yggdrasilin juuret"
"specials.name.rose_bouquet_blast","Ruusupuuska"
"specials.name.rotting_wound_dragon_pve","Mätänevä haava"
"specials.name.rottman","Hullun rotan mania"
"specials.name.rough_and_tumble","Ryskyripa roikaa"
"specials.name.royal_assault","Kuninkaallinen hyökkäys"
"specials.name.royal_blades","Kuninkaalliset miekat"
"specials.name.royal_meatball_buffet","Kuninkaallinen lihapullapöytä"
"specials.name.royal_poisoner","Kuninkaallinen myrkyttäjä"
"specials.name.ruby_rush","Rubiiniryöppy"
"specials.name.rude_awakening","Karu herätys"
"specials.name.ruler_of_seas","Merten valtias"
"specials.name.ruler_of_seas_deadly","Merten valtias"
"specials.name.rural_chop","Maalaisisku"
"specials.name.rush_of_flame","Liekkivyöry"
"specials.name.rushed_melody","Hätäinen melodia"
"specials.name.rusty_blade","Ruosteinen terä"
"specials.name.ruthless_gambit","Häikäilemätön gambiitti"
"specials.name.sable_slasher","Soopelisivaltaja"
"specials.name.sacrament_of_salvation","Pelastuksen sakramentti"
"specials.name.sacred_horns","Pyhät sarvet"
"specials.name.sacred_reflection","Pyhä heijastus"
"specials.name.saga_of_deliverance","Pelastava saaga"
"specials.name.saga_of_protection","Suojeleva saaga"
"specials.name.salty_splash_dragon_pve","Suolainen loiskahdus"
"specials.name.sanction_for_heresy","Kerettiläisten rangaistus"
"specials.name.sanctuary_of_light","Valon pyhäkkö"
"specials.name.sand_cyclone","Hiekkasykloni"
"specials.name.sand_cyclone_pve","Hiekkasykloni"
"specials.name.sand_wave_rana","Hiekka-aalto"
"specials.name.sand_wave_yunan","Hiekkahyöky"
"specials.name.sandstorm_strike","Hiekkamyrskyisku"
"specials.name.sandworm_strike","Hietamadon isku"
"specials.name.sapphire_eyes","Safiirisilmät"
"specials.name.saturated_suffering","Kystä kyllin kärsimystä"
"specials.name.savage_gobble_blue","Armoton ahmaisu"
"specials.name.savage_gobble_green","Armoton ahmaisu"
"specials.name.savage_gobble_purple","Armoton ahmaisu"
"specials.name.savage_gobble_red","Armoton ahmaisu"
"specials.name.savage_gobble_yellow","Armoton ahmaisu"
"specials.name.savage_talons","Raatelevat kynnet"
"specials.name.scale_of_the_newt","Sisiliskon suomu"
"specials.name.scaly_skin","Suomuinen nahka"
"specials.name.scar_of_the_depths","Syvyyksien arpi"
"specials.name.scar_of_the_depths_deadly","Syvyyksien arpi"
"specials.name.scarab_barrage","Skarabeesade"
"specials.name.scarab_blitz","Skarabeepommitus"
"specials.name.scarab_bombardment","Skarabeepommitus"
"specials.name.scarab_rush","Skarabeerynnistys"
"specials.name.scarab_throw","Skarabeeheitto"
"specials.name.scavenging_dash","Pikainen nappaus"
"specials.name.scepter_of_bundelkhand","Bundelkhandin valtikka"
"specials.name.scepter_of_constellations","Tähtikuviovaltikka"
"specials.name.scion_sword","Perillisen miekka"
"specials.name.scion_sword_costume_white_raven","Perillisen teräase"
"specials.name.scorching_orb","Paahtava pallo"
"specials.name.scoundrel_swing","Ketkun huitaisu"
"specials.name.scourge_of_joy","Ilon piinaaja"
"specials.name.scourge_of_the_strong","Vahvojen vaivaaja"
"specials.name.scouts_spyglass","Tiedustelijan kaukoputki"
"specials.name.scroll_of_equations","Yhtälökäärö"
"specials.name.scroll_of_fellowship","Toveruuden käärö"
"specials.name.scroll_of_navigation","Navigoinnin käärö"
"specials.name.scroll_of_new_beginnings","Uusien alkujen käärö"
"specials.name.scroll_of_spite","Kaunan käärö"
"specials.name.scythe_of_sorceries","Noituuden viikate"
"specials.name.seabed_pirouette","Merenpohjan piruetti"
"specials.name.seabed_sissonne","Merenpohjan sissonne"
"specials.name.seal_of_ares","Areksen sinetti"
"specials.name.seal_of_fire","Tulivaakuna"
"specials.name.searing_frost","Polttava halla"
"specials.name.searing_strike","Polttava isku"
"specials.name.seastar_burst","Meritähden purske"
"specials.name.seaweed_flail","Merilevävarsta"
"specials.name.second_skin","Varaiho"
"specials.name.seeking_shots","Maaliin hakeutuvat ammukset"
"specials.name.self_preservation","Itsesuojelu"
"specials.name.sense_of_wonder","Ihmetyksen tuntu"
"specials.name.serenade_of_sedition","Kapinaserenadi"
"specials.name.servants_aid","Palvelijan apu"
"specials.name.set_phase2","Irti päässyt pimeys"
"specials.name.set_phase3","Viimeinen yritys"
"specials.name.severing_strike","Irrottava isku"
"specials.name.sewing_back_together","Kokoon parsimista"
"specials.name.shackles_of_the_sea","Meren kahleet"
"specials.name.shade_cloak","Varjoviitta"
"specials.name.shadow_link","Teräsyhteys"
"specials.name.shadow_lunge","Varjopisto"
"specials.name.shadow_monster_form","Ikiaikainen sivallus"
"specials.name.shadow_sidestep","Sivuaskel varjoihin"
"specials.name.shadow_strike","Varjoisku"
"specials.name.shadow_sweep","Varjojen pyyhkäisy"
"specials.name.shady_concerto","Hämärä konsertto"
"specials.name.shapeshifters_deception","Muodonmuuttajan petos"
"specials.name.shards_of_sun","Auringon sirut"
"specials.name.shared_visage","Yhteinen näky"
"specials.name.shark_bite","Hain puraisu"
"specials.name.sharp_cut","Terävä viilto"
"specials.name.sharp_knife","Terävä veitsi"
"specials.name.sharp_stingers","Terävät pistimet"
"specials.name.shatter_psyche","Psyyken murskaus"
"specials.name.shatter_soul","Sielun murskaus"
"specials.name.shattering_shriek","Rikkova rääkäisy"
"specials.name.shattering_warcry","Rikkova sotahuuto"
"specials.name.shed_skin","Nahanluonti"
"specials.name.shieldmaidens_protection","Kilpineidon suojaus"
"specials.name.shifting_mindless_attack","Muuttuva mieletön hyökkäys"
"specials.name.shimmering_shield","Kimmeltävä kilpi"
"specials.name.shock_bolt","Shokki-isku"
"specials.name.shock_ultimatum","Shokkiuhkaus"
"specials.name.shocking_news","Ikävä uutinen"
"specials.name.shrill_announcement","Kimakka ilmoitus"
"specials.name.shy_jab_dragon_pve","Ujo pisto"
"specials.name.sickening_glow","Iljettävä hehku"
"specials.name.sickle_of_eradication","Tuhon sirppi"
"specials.name.sickle_of_wu","Wun sirppi"
"specials.name.sickle_trouble","Sirppikiipeli"
"specials.name.sideswipe","Sivuhuitaisu"
"specials.name.sigil_of_the_sun","Auringon merkki"
"specials.name.silencing_stick_up","Hiljentävä ryöstö"
"specials.name.silent_takedown","Äänetön kaato"
"specials.name.sinister_enlace","Uhkaavat lonkerot"
"specials.name.sinister_enlace_deadly","Uhkaavat lonkerot"
"specials.name.sinister_siphon","Uhkaava ammennus"
"specials.name.sir_agony","Tyhjentävä terä"
"specials.name.sir_pain","Kostava viikate"
"specials.name.situational_awareness","Valppaus"
"specials.name.sky_attack","Ilmahyökkäys"
"specials.name.skyfall_crumble","Putoava taivas"
"specials.name.slash_and_support","Sivallus ja tuki"
"specials.name.slash_of_four_blades","Neljän veitsen sivallus"
"specials.name.slash_of_glass_blades","Lasisten veitsien sivallus"
"specials.name.slash_of_seven_blades","Seitsemän veitsen sivallus"
"specials.name.slash_of_seven_daggers","Seitsemän tikarin sivallus"
"specials.name.slash_of_seven_toons","Seitsemän piirretyn sivallus"
"specials.name.slash_of_the_seven_stilettos","Seitsemän stiletin sivallus"
"specials.name.slaying_stake","Surmaava vaarna"
"specials.name.sledge_bash","Rekirymäytys"
"specials.name.slice_and_dice","Suikalointi"
"specials.name.slice_and_dice_pve","Suikalointi"
"specials.name.slime_coated_sword","Limainen miekka"
"specials.name.slime_serving","Lima-annos"
"specials.name.slime_slap","Limaläpsy"
"specials.name.slimy_balls","Limapallot"
"specials.name.slingja_attack_chingiriko","Linkohyökkäys"
"specials.name.slumber_spores","Uinuitiöt"
"specials.name.slumbering_beatdown","Uninyrkkiä silmään"
"specials.name.smoldering_tear_dragon_pve","Savuava kyynel"
"specials.name.smooth_treatment","Juoheva hoito"
"specials.name.snapping_jaws","Louskuvat leuat"
"specials.name.snowlit_slices","Lumen valaisemat viillot"
"specials.name.soaring_blast","Liitävä laukaus"
"specials.name.sock_and_block","Tälli ja torjunta"
"specials.name.solar_beam","Auringonkeila"
"specials.name.solar_strike","Auringonisku"
"specials.name.soldiers_curse","Hiekkatuuli"
"specials.name.solid_frozen_fist","Umpijäinen nyrkki"
"specials.name.song_of_calamity","Epäonnen laulu"
"specials.name.song_of_hoot_and_holler","Huuhuileva laulu"
"specials.name.song_of_regression","Taantumavalitus"
"specials.name.song_of_the_morass","Suohon laulaminen"
"specials.name.song_of_the_skies","Taivaiden laulu"
"specials.name.songs_of_the_cherry_tree","Kirsikkapuun laulut"
"specials.name.sonic_infusion_arrow","Ääninuoli"
"specials.name.sonic_roar","Mahtimylväisy"
"specials.name.sonic_wall","Äänimuuri"
"specials.name.sonorous_spear","Sointuva keihäs"
"specials.name.soothing_melody","Rauhoittava melodia"
"specials.name.soothing_song","Rauhoittava laulu"
"specials.name.soul_cage","Luurankokutsu"
"specials.name.soul_guardian","Sielun vartija"
"specials.name.sour_berry_blast_dragon_pve","Hapan marjapläjäys"
"specials.name.sparking_star_slash","Kipinöivän tähden sivallus"
"specials.name.sparrow_fury","Varpusen raivo"
"specials.name.spartan_cleave","Spartalainen halkaisu"
"specials.name.spartan_slash","Spartalainen sivallus"
"specials.name.spear_of_blood_pact","Verivalan keihäs"
"specials.name.spear_of_loyalty","Uskollisuuden keihäs"
"specials.name.spear_of_shu","Shun keihäs"
"specials.name.spearwand_gale","Keihässauvamyrsky"
"specials.name.spectacular_bite","Näyttävä puraisu"
"specials.name.spectral_visions","Aavemaisia näkyjä"
"specials.name.spectral_wings","Aavesiivet"
"specials.name.spectres_flail","Aaveen varsta"
"specials.name.spell_lock","Loitsulukitus"
"specials.name.spicy_berry_blast_dragon_pve","Tulinen marjapläjäys"
"specials.name.spike_burst","Piikkipurske"
"specials.name.spilled_decoctions","Läikkyneet keitokset"
"specials.name.spirit_arrow","Henkinuoli"
"specials.name.spirit_drain","Hengenvalutus"
"specials.name.spirit_of_spring","Kevään henki"
"specials.name.spirit_of_winter","Talven henki"
"specials.name.spirit_rally","Henkien kutsu"
"specials.name.spirits_of_the_mountain","Vuoren henget"
"specials.name.spiritual_unity","Hieno juhla"
"specials.name.spiritual_wire","Henkevä johto"
"specials.name.splintering_shot","Pirstova laukaus"
"specials.name.splintering_shot2","Pirstova laukaus"
"specials.name.spotting_trouble","Ongelmia etsimässä"
"specials.name.spreading_gossip","Leviävä juoru"
"specials.name.spreading_shadow","Levittäytyvä varjo"
"specials.name.spreading_traps","Ansojen levitys"
"specials.name.sprite_ballad","Metsänhaltijoiden balladi"
"specials.name.sprite_hymn","Metsänhaltijoiden veisu"
"specials.name.squeak_of_protection","Suojeleva vinkaisu"
"specials.name.squire_strike","Aseenkantajan isku"
"specials.name.squires_squirrel","Aseenkantajan orava"
"specials.name.squish_squash_achillea","Liiskaus"
"specials.name.stab_of_four_blades","Neljän veitsen pisto"
"specials.name.staff_of_mana_control","Mananhallintasauva"
"specials.name.staff_of_mana_control_pve","Mananhallintasauva"
"specials.name.staff_of_the_seastar","Meritähden sauva"
"specials.name.staggering_blows","Horjuttavat iskut"
"specials.name.stalling_spell","Hidastava loitsu"
"specials.name.stalling_strike","Viivyttävä isku"
"specials.name.stalwart_rally","Uskollisten rohkaisu"
"specials.name.stalwart_to_the_end","Uskollinen loppuun saakka"
"specials.name.standing_fortress","Seisova linnoitus"
"specials.name.standing_fortress3","Seisova linnoitus"
"specials.name.star_construct","Tähtirakennelma"
"specials.name.star_trail","Tähtivana"
"specials.name.starplay","Tähtien leikki"
"specials.name.stately_retribution","Arvokas rangaistus"
"specials.name.steel_rush","Teräksinen ryntäys"
"specials.name.stellar_beam","Vakaa säde"
"specials.name.sticky_express","Tahmea pikavuoro"
"specials.name.sticky_spear","Tahmea keihäs"
"specials.name.stiletto_cyclone","Stilettisykloni"
"specials.name.stolen_tarts","Varastetut tortut"
"specials.name.stomp","Tallaus"
"specials.name.stone_skin","Henkiyhteys"
"specials.name.storm_of_blades","Miekkamyrsky"
"specials.name.strange_incense","Outo hajuste"
"specials.name.strategic_slash","Ornitologinen viilto"
"specials.name.strength_of_the_accursed","Kirotun voima"
"specials.name.strength_of_the_benemoth","Virtahevon voima"
"specials.name.strength_of_the_volcano","Tulivuoren voima"
"specials.name.strengthening_draught","Vahvistava huikka"
"specials.name.strengthening_smash","Vahvistava lyönti"
"specials.name.strict_standards","Tiukat normit"
"specials.name.strike_and_support","Iske ja tue"
"specials.name.strike_from_the_shadows","Varjoisku"
"specials.name.strike_from_the_skies","Isku taivaalta"
"specials.name.strike_of_a_thousand_howls","Tuhannen ulvaisun isku"
"specials.name.strike_of_the_ancients","Muinaisten isku"
"specials.name.strike_of_the_cobra","Kobran isku"
"specials.name.strike_of_the_monolith","Monoliitin isku"
"specials.name.strike_of_the_toons","Piirrettyjen isku"
"specials.name.strike_of_the_underworld","Manalan isku"
"specials.name.struck_by_thunder","Salaman iskemä"
"specials.name.stubby_reap","Iskevä niitto"
"specials.name.stunning_blow","Halvaannuttava lyönti"
"specials.name.stunning_spear","Tyrmäävä keihäs"
"specials.name.stunning_steel","Tyrmäävä teräs"
"specials.name.stunning_strike","Tyrmäävä isku"
"specials.name.stupendous_break_in","Huikea murtautuminen"
"specials.name.sturdy_riposte","Roteva riposti"
"specials.name.subduing_strike","Nujertava isku"
"specials.name.sublime_pastry","Piiraista kalaisin"
"specials.name.sudden_attack","Äkkihyökkäys"
"specials.name.suffocating_smoke","Tukahduttava savu"
"specials.name.suffocating_smoke2","Tukahduttava savu"
"specials.name.suffocating_smoke3","Tukahduttava savu"
"specials.name.sugar_rush","Sokerihuuma"
"specials.name.summer_carol","Kesälaulu"
"specials.name.summers_end","Jäätävä finaali"
"specials.name.summon_ballerina_fiend","Ballerinojen kutsu"
"specials.name.summon_celestial_guardians","Kutsu pyhimysvartijat"
"specials.name.summon_rock_golems","Kutsu kivigolemit"
"specials.name.summon_sand_golems","Kutsu hiekkagolemit"
"specials.name.summon_temple_guardians","Kutsu temppelin vartijat"
"specials.name.sunken_abyss","Synkin syvyys"
"specials.name.sunken_magma_cube","Vajonnut magmakuutio"
"specials.name.sunscreen_blast","Aurinkosuojan isku"
"specials.name.sunstone_glare_dragon_pve","Aurinkokiven häikäisy"
"specials.name.super_duper_spray","Yliveto suihkaus"
"specials.name.super_porridge","Superpuuro"
"specials.name.superb_sake","Sähäkkää sakea"
"specials.name.supercharged_fireball_dragon_pve","Yliladattu tulipallo"
"specials.name.supernova","Supernova"
"specials.name.supernova_boss_phase1","Supernova"
"specials.name.supernova_boss_phase2","Supernova Aeternus"
"specials.name.suppressing_ki","Vaimentava ki"
"specials.name.sure_fire_combustion","Satavarma sytytys"
"specials.name.surprise_goo","Yllätysmönjä!"
"specials.name.suspicious_stew","Epäilyttävä muhennos"
"specials.name.swamp_skin","Rämeiho"
"specials.name.swashbuckling_stab","Säilän pisto"
"specials.name.sweet_berry_blast_dragon_pve","Makea marjapläjäys"
"specials.name.sweet_dreams","Kauniita unia"
"specials.name.swift_little_friends","Nopeat pikkuystävät"
"specials.name.swift_maneuvers","Nopeat liikkeet"
"specials.name.swift_stingers","Pikapistokset"
"specials.name.swooping_support","Apuun syöksyminen"
"specials.name.swooping_talon","Syöksyvä kynsi"
"specials.name.sword_barricade","Miekkabarrikadi"
"specials.name.sword_dance","Miekkatanssi"
"specials.name.sword_of_swan_song","Joutsenlaulun miekka"
"specials.name.sword_of_wei","Wein miekka"
"specials.name.sylvan_blessings","Metsän siunaus"
"specials.name.symphonic_pulverizer","Sinfoninen jauhin"
"specials.name.tackle","Taklaus"
"specials.name.tactical_cut","Taktinen viilto"
"specials.name.tail_bash","Häntälyönti"
"specials.name.tail_slam","Pyrstöläimäys"
"specials.name.tail_slam_deadly","Pyrstöläimäys"
"specials.name.tail_sting","Pyrstöpisto"
"specials.name.tail_sting_deadly","Pyrstöpisto"
"specials.name.tainted_axe","Tahrittu kirves"
"specials.name.tambourine_solo","Tamburiinisoolo"
"specials.name.tangy_berry_blast_dragon_pve","Kirpeä marjapläjäys"
"specials.name.tantrum_of_forest","Piirrettyjen viha"
"specials.name.teeth_of_the_river","Joen hampaat"
"specials.name.tempered_blade","Karkaistu terä"
"specials.name.tentacle_jab","Lonkeron pisto"
"specials.name.tentacle_slash","Lonkeron sivallus"
"specials.name.terrifying_screech","Kauhistuttava huuto"
"specials.name.terror_shriek","Kauhun huuto"
"specials.name.testudo_rock","Kilpikonnakeikahdus"
"specials.name.testudo_roll","Kilpikonnakierähdys"
"specials.name.testudo_roll_deadly","Kilpikonnakierähdys"
"specials.name.the_call_to_hibernate","Talviunen kutsu"
"specials.name.the_dukes_investigation","Herttuan tutkimukset"
"specials.name.the_eagles_blessing","Kotkan siunaus"
"specials.name.the_mighty_crescendo","Mahtava huippukohta"
"specials.name.the_perfect_throw","Täydellinen heitto"
"specials.name.the_queens_radiance","Kuningattaren loistokkuus"
"specials.name.the_queens_speech","Kuningattaren puhe"
"specials.name.the_two_sides_of_the_moon","Kuun kaksi puolta"
"specials.name.the_undercover_investigation","Salainen tutkinta"
"specials.name.thieving_shot","Varastava isku"
"specials.name.thorned_slam_dunk","Piikikäs donkkaus"
"specials.name.thousand_cuts","Tuhat viiltoa"
"specials.name.thousand_palm_strikes","Tuhat kämmeniskua"
"specials.name.three_bandit_mice","Kolme rosvohiirtä"
"specials.name.three_blind_mice","Kolme sokeaa hiirtä"
"specials.name.three_little_rams","Kolme pientä pässiä"
"specials.name.thresher_worms","Sätkivät madot"
"specials.name.thrilling_clash","Jännittävä yhteenotto"
"specials.name.throwing_daggers","Heittotikarit"
"specials.name.throwing_stars","Heittotähdet"
"specials.name.thunder_ultimatum","Ukkosenjylinä"
"specials.name.thunderbolt","Salama"
"specials.name.thundering_strike","Ukkosisku"
"specials.name.thunderstorm","Ukkosmyrsky"
"specials.name.thunderstrike","Ukkosenjylinä"
"specials.name.tidal_force","Vuorovesivoima"
"specials.name.tidal_vortex","Vuorovesipyörre"
"specials.name.tidal_wave","Jättiaalto"
"specials.name.tidal_waves","Vuorovesiaallot"
"specials.name.tidy_up","Tehosiivous!"
"specials.name.time_rewind","Ajan taaksekelaus"
"specials.name.timeless_timepiece","Ajaton ajannäyttäjä"
"specials.name.titanbone_chain_slash","Ketjuisku titaaninluulla"
"specials.name.titanium_antler_attack","Titaanisarvien hyökkäys"
"specials.name.titantooth_blade","Titaaninhampainen miekka"
"specials.name.to_the_rescue","Apua on tulossa!"
"specials.name.tokri_of_resources","Resurssien tokri"
"specials.name.tome_of_the_stag","Hirvien kirja"
"specials.name.toon_annihilation","Piirretty tuho"
"specials.name.toon_athenas_bow","Piirretyn Athenan jousi"
"specials.name.toon_attack","Piirretty hyökkäys"
"specials.name.toon_barrage","Piirretty tulitus"
"specials.name.toon_bash","Piirretty kumautus"
"specials.name.toon_bite","Piirretty puraisu"
"specials.name.toon_blast","Piirretty puuska"
"specials.name.toon_brew","Piirretty soppa"
"specials.name.toon_chop","Piirretty lyönti"
"specials.name.toon_cleave","Piirretty halkaisu"
"specials.name.toon_counter","Piirretty vastaisku"
"specials.name.toon_cut","Piirretty viilto"
"specials.name.toon_finisher","Piirretty lopetusisku"
"specials.name.toon_fury","Piirretty raivo"
"specials.name.toon_hit","Piirretty osuma"
"specials.name.toon_jolt","Piirretty sähköisku"
"specials.name.toon_lament","Piirretty haikeus"
"specials.name.toon_link","Piirretty linkki"
"specials.name.toon_mirror","Piirretty peili"
"specials.name.toon_mist","Piirretty usva"
"specials.name.toon_of_the_depths","Syvyyksien piirretty"
"specials.name.toon_of_the_seas","Merten piirretty"
"specials.name.toon_prowess","Piirretty taituruus"
"specials.name.toon_riposte","Piirretty riposti"
"specials.name.toon_shot","Piirretty laukaus"
"specials.name.toon_slam","Piirretty läimäys"
"specials.name.toon_slash","Piirretty sivallus"
"specials.name.toon_stab","Piirretty puukotus"
"specials.name.toon_stars","Piirretyt tähdet"
"specials.name.toon_storm","Piirretty myrsky"
"specials.name.toon_strike","Piirretty isku"
"specials.name.toon_traps","Piirretyt ansat"
"specials.name.toon_ultimatum","Piirretty uhkavaatimus"
"specials.name.toon_vines","Piirretty köynnös"
"specials.name.toon_wave","Piirretty aalto"
"specials.name.toon_waza","Piirretty waza"
"specials.name.toonball","Piirretty pallo"
"specials.name.tooncry","Piirretty huuto"
"specials.name.toonpower_pulverizer","Piirretty jauhin"
"specials.name.toons_luck","Piirretyn onni"
"specials.name.toons_order","Piirretyn käsky"
"specials.name.toontastic_feast","Piirretty juhla-ateria"
"specials.name.toontastic_fog","Piirretty sumu"
"specials.name.toontastic_link","Piirretty linkki"
"specials.name.toontastic_protection","Piirretty suoja"
"specials.name.toontastic_pulverizer","Piirretty jauhin"
"specials.name.toontastic_riposte","Piirretty riposti"
"specials.name.toontastic_smash","Piirretty murskaus"
"specials.name.toontastic_strike","Piirretty isku"
"specials.name.total_beatdown","Totaalinen turpasauna"
"specials.name.tough_love","Lemmentykki"
"specials.name.towers_curse","Hiekkapuhuri"
"specials.name.toxic_berry_blast","Myrkyllinen marjapläjäys"
"specials.name.toxic_bile","Myrkkysappi"
"specials.name.toxic_flames","Myrkkyliekit"
"specials.name.toxic_fumes","Myrkkyhöyryt"
"specials.name.toxic_gas_cloud","Myrkkykaasupilvi"
"specials.name.toxic_headbutt","Myrkyllinen pääpusku"
"specials.name.toxic_incense","Myrkkysuitsuke"
"specials.name.toxic_spit","Myrkkysylki"
"specials.name.toxic_stinger","Myrkkypistin"
"specials.name.toxic_traps","Myrkkyansat"
"specials.name.toxic_tricks","Myrkkytemput"
"specials.name.toxicadendra","Kiihtynyt kasvu"
"specials.name.trainer_blast","Kouluttajan laukaus"
"specials.name.trainer_slash","Kouluttajan isku"
"specials.name.tranquil_mist","Seesteinen usva"
"specials.name.transcendental_charge","Transsendenttinen rynnäkkö"
"specials.name.transcendental_frame","Transsendenttinen kehys"
"specials.name.transfigure","Muodonmuutto"
"specials.name.travelers_snack","Matkaajan pikkupurtava"
"specials.name.treasure_ale","Aarreolut"
"specials.name.trial_of_darkness","Pimeyden koetus"
"specials.name.trial_of_fauna","Eläinten koetus"
"specials.name.trial_of_fire","Tulen koetus"
"specials.name.trial_of_flames","Liekkien koetus"
"specials.name.trial_of_flora","Kasvien koetus"
"specials.name.trial_of_frost","Kuuran koetus"
"specials.name.trial_of_ice","Jään koetus"
"specials.name.trial_of_nature","Luonnon koetus"
"specials.name.trial_of_pain","Tuskan koetus"
"specials.name.trial_of_the_moon","Kuun koetus"
"specials.name.trial_of_the_sun","Auringon koetus"
"specials.name.trial_of_the_waters","Vetinen koetus"
"specials.name.tribal_rage","Heimoraivo"
"specials.name.tribal_rage_pve","Heimoraivo"
"specials.name.trick_of_the_trade","Konkarin kikat"
"specials.name.trickster_grenades","Keppostelijan kranaatit"
"specials.name.tricksters_buff","Pullo"
"specials.name.tricksters_damage","Miekat"
"specials.name.tricksters_exchange","Temppuilijan gambiitti"
"specials.name.tricksters_lullaby","Temppuilijan tuutulaulu"
"specials.name.tricksters_malice","Temppuilijan ilkeys"
"specials.name.tricksters_mischief","Temppuilijan kepponen"
"specials.name.tricksters_negative","Jäädytys"
"specials.name.tricksters_transformation","Temppuilijan muodonmuutos"
"specials.name.triple_stab","Kolmoispisto"
"specials.name.triumph_of_strategy","Strategian voitto"
"specials.name.tropical_ambush","Trooppinen väijytys"
"specials.name.tumbling_dragon","Kaatuva lohikäärme"
"specials.name.tumbling_dragon2","Kaatuva lohikäärme"
"specials.name.turquoise_falcon","Turkoosi haukka"
"specials.name.twilight_of_crimes","Rikosten iltahämärä"
"specials.name.twilight_of_ruin","Turmion iltahämärä"
"specials.name.twilight_of_sorrow","Surun iltahämärä"
"specials.name.twilight_star_strike","Iltahämärän tähti-isku"
"specials.name.twilight_tricks","Iltahämärän temppuja"
"specials.name.twist_of_fate","Kohtalon oikku"
"specials.name.twist_of_fate_minor","Oikullinen kohtalo"
"specials.name.twostep_swing","Kahden askeleen huitaisu"
"specials.name.ultimate_giftsack","Ylivertainen lahjasäkki"
"specials.name.unbreakable_brawler","Rikkoutumaton rähinöitsijä"
"specials.name.unbroken_assault","Heltymätön hyökkäys"
"specials.name.unchained_jaws","Kahlitsemattomat leuat"
"specials.name.unchained_jaws_ultimate_boss","Kahlitsemattomat leuat"
"specials.name.undead_obliteration","Epäkuolleiden tuhoaja"
"specials.name.undead_penance_poetic","Epäkuolleen katumus"
"specials.name.undead_rage","Manausnuoli"
"specials.name.undead_razer","Epäkuolleiden hävittäjä"
"specials.name.under_the_surf","Aaltojen alla"
"specials.name.underwater_magma_cube","Vedenalainen magmakuutio"
"specials.name.underwater_riddle","Vedenalainen arvoitus"
"specials.name.undying_heads","Kuolemattomat päät"
"specials.name.undying_heads_ultimate_boss","Ikitursaan päät"
"specials.name.undying_incantation","Kuolematon manaus"
"specials.name.undying_summon","Kuolematon kutsu"
"specials.name.unerring_course","Erehtymätön suuntavaisto"
"specials.name.unfeeling_assailing","Tunteeton runtelu"
"specials.name.unhallowed_spirits","Pyhittämättömät henget"
"specials.name.unholy_light","Epäpyhä valo"
"specials.name.unholy_power","Epäpyhä voima"
"specials.name.unholy_rain","Epäpyhä sade"
"specials.name.unite_and_oppose","Vastusta ja kukista"
"specials.name.unnatural_pact","Vireyden viejä"
"specials.name.unrelenting_hunter","Väsymätön metsästäjä"
"specials.name.unrelenting_riposte","Vimmainen vastaisku"
"specials.name.unstoppable_charge","Pysäyttämätön rynnäkkö"
