"specials.name.a_cozy_break","Pausa Agradável"
"specials.name.reversed_lifeforce","Força Vital Reversa"
"specials.name.revitalizing_melody","Melodia Revitalizante"
"specials.name.revitalizing_orb","Orbe Revitalizante"
"specials.name.revitalizing_sludge","Sedimentos Revitalizantes"
"specials.name.reviving_touch","Toque Revivificante"
"specials.name.rhythm_of_havoc","Ritmo do Caos"
"specials.name.riches_to_poor","Riqueza à Miséria"
"specials.name.ricochet_bolt","Raio do Ricochete"
"specials.name.riddle_of_the_moon","Enigma da Lua"
"specials.name.riddle_of_the_sun","Enigma do Sol"
"specials.name.riders_arrow","Flecha do Cavaleiro"
"specials.name.riders_lance","Lança do Cavaleiro"
"specials.name.rift_blade","Lâmina da Fenda"
"specials.name.righteous_pulverizer","Pulverizador Virtuoso"
"specials.name.righteous_revenge","Vingança Virtuosa"
"specials.name.righteous_stance","Postura virtuosa"
"specials.name.righteous_strike","Golpe Virtuoso"
"specials.name.rime_heart","Coração gelado"
"specials.name.ring_around_the_rosie","Cirandinha"
"specials.name.rite_of_cuteness","Fofura do Julgamento"
"specials.name.rite_of_glass","Julgamento do Vidro"
"specials.name.rite_of_judgement","Rito de julgamento"
"specials.name.rites_of_inner_knowledge","Ritos de Conhecimento Interno"
"specials.name.ritual_of_judgement","Ritual de Julgamento"
"specials.name.ritual_of_the_deep","Ritual das Profundezas"
"specials.name.ritual_of_the_elements","Ritual dos Elementos"
"specials.name.roadside_surprise","Surpresa de Beira de Estrada"
"specials.name.roar_of_the_panther","Rugido da Pantera"
"specials.name.rockfall_bash","Desabamento de Pedras"
"specials.name.rod_of_freedom","Bastão da Liberdade"
"specials.name.rod_of_torment","Bastão da Tormenta"
"specials.name.roman_cleave","Investida Espartana"
"specials.name.roots_of_wrath","Raízes da Fúria"
"specials.name.roots_of_yggdrasil","Raízes de Yggdrasil"
"specials.name.rose_bouquet_blast","Buquê de Rosas"
"specials.name.rotting_wound_dragon_pve","Ferida Pustulenta"
"specials.name.rottman","Mania de Rato Louco"
"specials.name.rough_and_tumble","Ataque Irregular"
"specials.name.royal_assault","Assalto Real"
"specials.name.royal_blades","Lâminas Reais"
"specials.name.royal_meatball_buffet","Bufê Real"
"specials.name.royal_poisoner","Envenenador Real"
"specials.name.ruby_rush","Corrida do Rubi"
"specials.name.rude_awakening","Péssimo Despertar"
"specials.name.ruler_of_seas","Governante dos mares"
"specials.name.ruler_of_seas_deadly","Governante dos mares"
"specials.name.rural_chop","Corte Rural"
"specials.name.rush_of_flame","Investida das Chamas"
"specials.name.rushed_melody","Melodia Apressada"
"specials.name.rusty_blade","Lâmina Enferrujada"
"specials.name.ruthless_gambit","Gambito Cruel"
"specials.name.sable_slasher","Sabre sombrio"
"specials.name.sacrament_of_salvation","Sacramento da Salvação"
"specials.name.sacred_horns","Chifres Sagrados"
"specials.name.sacred_reflection","Reflexo Sagrado"
"specials.name.saga_of_deliverance","Saga da Libertação"
"specials.name.saga_of_protection","Saga da Proteção"
"specials.name.salty_splash_dragon_pve","Respingo Salgado"
"specials.name.sanction_for_heresy","Sanção de Heresia"
"specials.name.sanctuary_of_light","Santuário de Luz"
"specials.name.sand_cyclone","Ciclone de Areia"
"specials.name.sand_cyclone_pve","Ciclone de Areia"
"specials.name.sand_wave_rana","Surfe"
"specials.name.sand_wave_yunan","Tombo"
"specials.name.sandstorm_strike","Ataque da Tempestade"
"specials.name.sandworm_strike","Ataque do Verme da Areia"
"specials.name.sapphire_eyes","Olhos de Safira"
"specials.name.saturated_suffering","Sofrimento saturado"
"specials.name.savage_gobble_blue","Devoração Selvagem"
"specials.name.savage_gobble_green","Devoração Selvagem"
"specials.name.savage_gobble_purple","Devoração Selvagem"
"specials.name.savage_gobble_red","Devoração Selvagem"
"specials.name.savage_gobble_yellow","Devoração Selvagem"
"specials.name.savage_talons","Garras Selvagens"
"specials.name.scale_of_the_newt","Escala de Newt"
"specials.name.scaly_skin","Pele Escamosa"
"specials.name.scar_of_the_depths","Cicatriz das profundezas"
"specials.name.scar_of_the_depths_deadly","Cicatriz das profundezas"
"specials.name.scarab_barrage","Barragem do Escaravelho"
"specials.name.scarab_blitz","Ataque Relâmpago do Escaravelho"
"specials.name.scarab_bombardment","Bombardeio Escaravelho"
"specials.name.scarab_rush","Escaravelho Apressado"
"specials.name.scarab_throw","Arremesso Escaravelho"
"specials.name.scavenging_dash","Investida Catadora"
"specials.name.scepter_of_bundelkhand","Cetro de Bundelkhand"
"specials.name.scepter_of_constellations","Cetro das Constelações"
"specials.name.scion_sword","Espada do Cião"
"specials.name.scion_sword_costume_white_raven","Lâmina do Cião"
"specials.name.scorching_orb","Orbe Escaldante"
"specials.name.scoundrel_swing","Golpe do Malandro"
"specials.name.scourge_of_joy","Flagelo da Alegria"
"specials.name.scourge_of_the_strong","Flagelo dos Fortes"
"specials.name.scouts_spyglass","Luneta de Batedor"
"specials.name.scroll_of_equations","Pergaminho das Equações"
"specials.name.scroll_of_fellowship","Pergaminho da Comunhão"
"specials.name.scroll_of_navigation","Pergaminho da Navegação"
"specials.name.scroll_of_new_beginnings","Pergaminho do Recomeço"
"specials.name.scroll_of_spite","Pergaminho do Despeito"
"specials.name.scythe_of_sorceries","Foice da Bruxaria"
"specials.name.seabed_pirouette","Pirueta do Fundo do Mar"
"specials.name.seabed_sissonne","Sissonne do Fundo do Mar"
"specials.name.seal_of_ares","Selo de Ares"
"specials.name.seal_of_fire","Selo de fogo"
"specials.name.searing_frost","Geada Ardente"
"specials.name.searing_strike","Golpe Abrasador"
"specials.name.seastar_burst","Explosão da Estrela-do-Mar"
"specials.name.seaweed_flail","Mangual de Algas"
"specials.name.second_skin","Segunda Pele"
"specials.name.seeking_shots","Disparos Perseguidores"
"specials.name.self_preservation","Autopreservação"
"specials.name.sense_of_wonder","Deslumbramento"
"specials.name.serenade_of_sedition","Serenada da Sedição"
"specials.name.servants_aid","Ajuda de Servo"
"specials.name.set_phase2","Escuridão Desenfreada"
"specials.name.set_phase3","Último Esforço"
"specials.name.severed_seal","Selo rompido"
"specials.name.severing_strike","Golpe Seccionador"
"specials.name.sewing_back_together","Ponto Fechado"
"specials.name.shackles_of_the_sea","Grilhões do Mar"
"specials.name.shade_cloak","Manto da Sombra"
"specials.name.shadow_link","Vínculo de aço"
"specials.name.shadow_lunge","Investida Sombria"
"specials.name.shadow_monster_form","Golpe Místico"
"specials.name.shadow_sidestep","Sombras Evitadas"
"specials.name.shadow_strike","Ataque Sombrio"
"specials.name.shadow_sweep","Varredura da sombra"
"specials.name.shady_concerto","Concerto das Sombras"
"specials.name.shapeshifters_deception","Engodo do Metamorfo"
"specials.name.shards_of_sun","Fragmentos do Sol"
"specials.name.shared_compassion","Compaixão conjunta"
"specials.name.shared_visage","Semblante Dividido"
"specials.name.shark_bite","Mordida de Tubarão"
"specials.name.sharp_cut","Corte afiado"
"specials.name.sharp_knife","Faca Afiada"
"specials.name.sharp_stingers","Ferrões Afiados"
"specials.name.shatter_psyche","Devastação Psíquica"
"specials.name.shatter_soul","Despedaçar Alma"
"specials.name.shattering_shriek","Guincho despedaçador"
"specials.name.shattering_warcry","Grito de guerra despedaçador"
"specials.name.shed_skin","Pele Descamada"
"specials.name.shieldmaidens_protection","Proteção da Donzela Escudeira"
"specials.name.shifting_mindless_attack","Ataque Irracional"
"specials.name.shimmering_shield","Escudo Cintilante"
"specials.name.shock_bolt","Raio de choque"
"specials.name.shock_ultimatum","Ultimato de choque"
"specials.name.shocking_news","Notícia Chocante"
"specials.name.shrill_announcement","Anúncio Estridente"
"specials.name.shy_jab_dragon_pve","Estocada Tímida"
"specials.name.sickening_glow","Brilho Nauseante"
"specials.name.sickle_of_eradication","Foice de erradicação"
"specials.name.sickle_of_wu","Foice de Wu"
"specials.name.sickle_trouble","Coice de Foice"
"specials.name.sideswipe","Deslize lateral"
"specials.name.sigil_of_the_sun","Emblema do Sol"
"specials.name.silencing_stick_up","Defesa Silenciadora"
"specials.name.silent_takedown","Derrubada Silenciosa"
"specials.name.sinister_enlace","Enlace Sinistro"
"specials.name.sinister_enlace_deadly","Enlace Sinistro"
"specials.name.sinister_siphon","Sifão Sinistro"
"specials.name.sir_agony","Lâmina Escoadora"
"specials.name.sir_pain","Foice Vingativa"
"specials.name.situational_awareness","Percepção Situacional"
"specials.name.sky_attack","Ataque dos Céus"
"specials.name.skyfall_crumble","Desmoronamento Celeste"
"specials.name.slash_and_support","Golpe e Suporte"
"specials.name.slash_of_four_blades","Corte de quatro lâminas"
"specials.name.slash_of_glass_blades","Corte de Lâminas de Vidro"
"specials.name.slash_of_seven_blades","Corte de sete lâminas"
"specials.name.slash_of_seven_daggers","Corte de sete adagas"
"specials.name.slash_of_seven_toons","Corte das Sete Fofuras"
"specials.name.slash_of_the_seven_stilettos","Golpe de Estilete"
"specials.name.slaying_stake","Estaca Lancinante"
"specials.name.sledge_bash","Marretada"
"specials.name.slice_and_dice","Fatiar e Cortar"
"specials.name.slice_and_dice_pve","Fatiar e Cortar"
"specials.name.slime_coated_sword","Espada Gosmenta"
"specials.name.slime_serving","Porção de Gosma"
"specials.name.slime_slap","Golpe de Gosma"
"specials.name.slimy_balls","Bolas Gosmentas"
"specials.name.slingja_attack_chingiriko","Ataque de Sling-ja"
"specials.name.slumber_spores","Esporos da Letargia"
"specials.name.slumbering_beatdown","Surra Sonífera"
"specials.name.smoldering_tear_dragon_pve","Rasgo Fumegante"
"specials.name.smooth_treatment","Tratamento Suave"
"specials.name.snapping_jaws","Mandíbulas Arrebatadoras"
"specials.name.snowlit_slices","Fatias Nevadas"
"specials.name.soaring_blast","Explosão Elevada"
"specials.name.sock_and_block","Soco e Bloqueio"
"specials.name.solar_beam","Raio solar"
"specials.name.solar_strike","Golpe solar"
"specials.name.soldiers_curse","Brisa de areia"
"specials.name.solid_frozen_fist","Punho Gelado"
"specials.name.song_of_calamity","Canção da Calamidade"
"specials.name.song_of_hoot_and_holler","Canção Uivante"
"specials.name.song_of_regression","Lamentação de Regressão"
"specials.name.song_of_the_morass","Canção do Atoleiro"
"specials.name.song_of_the_skies","Canção dos Céus"
"specials.name.songs_of_the_cherry_tree","Canções da Cerejeira"
"specials.name.sonic_infusion_arrow","Flecha de Infusão Sônica"
"specials.name.sonic_roar","Rugido Sônico"
"specials.name.sonic_wall","Parede sônica"
"specials.name.sonorous_spear","Lança Estrondosa"
"specials.name.soothing_melody","Melodia Calmante"
"specials.name.soothing_song","Canção Reconfortante"
"specials.name.soul_cage","Convocação esquelética"
"specials.name.soul_guardian","Guardião das Almas"
"specials.name.sour_berry_blast_dragon_pve","Explosão de Baga Azeda"
"specials.name.sparking_star_slash","Golpe da Estrela Reluzente"
"specials.name.sparrow_fury","Fúria do Pardal"
"specials.name.spartan_cleave","Cutilada espartana"
"specials.name.spartan_slash","Golpe Espartano"
"specials.name.spear_of_blood_pact","Lança do Pacto de Sangue"
"specials.name.spear_of_loyalty","Lança da Lealdade"
"specials.name.spear_of_shu","Lança de Shu"
"specials.name.spearwand_gale","Nevasca de Lança"
"specials.name.spectacular_bite","Mordida Espetacular"
"specials.name.spectral_visions","Visões Espectrais"
"specials.name.spectral_wings","Asas Espectrais"
"specials.name.spectres_flail","Mangual do Espectro"
"specials.name.spell_lock","Bloqueio de Feitiço"
"specials.name.spell_of_camaraderie","Feitiço da camaradagem"
"specials.name.spicy_berry_blast_dragon_pve","Explosão de Baga Picante"
"specials.name.spike_burst","Explosão de Espinhos"
"specials.name.spilled_decoctions","Decocções Derramadas"
"specials.name.spirit_arrow","Flecha espiritual"
"specials.name.spirit_drain","Dreno Espiritual"
"specials.name.spirit_of_spring","Espírito da Primavera"
"specials.name.spirit_of_winter","Espírito do inverno"
"specials.name.spirit_rally","Reunião Espiritual"
"specials.name.spirits_of_the_mountain","Espíritos da Montanha"
"specials.name.spiritual_unity","Festa maravilhosa"
"specials.name.spiritual_wire","Fio Espiritual"
"specials.name.splintering_shot","Disparo Fragmentador"
"specials.name.splintering_shot2","Disparo Fragmentador"
"specials.name.spotting_trouble","Encrenca à Vista"
"specials.name.spreading_gossip","Fofoca Boa"
"specials.name.spreading_shadow","Sombra Vultuosa"
"specials.name.spreading_traps","Armadilhas Espalhadas"
"specials.name.sprite_ballad","Balada da Fada"
"specials.name.sprite_hymn","Hino dos Duendes"
"specials.name.squeak_of_protection","Guincho Protetor"
"specials.name.squire_strike","Golpe de Aprendiz"
"specials.name.squires_squirrel","Esquilo do Escudeiro"
"specials.name.squish_squash_achillea","Esguicho"
"specials.name.stab_of_four_blades","Punhalada de Quatro Lâminas"
"specials.name.staff_of_mana_control","Cajado do Controle de Mana"
"specials.name.staff_of_mana_control_pve","Cajado do Controle de Mana"
"specials.name.staff_of_the_seastar","Cajado da Estrela-do-Mar"
"specials.name.staggering_blows","Socos Cambaleantes"
"specials.name.stalling_spell","Feitiço Protelante"
"specials.name.stalling_strike","Golpe Estagnante"
"specials.name.stalwart_rally","Reunião Vigorosa"
"specials.name.stalwart_to_the_end","Solidez Eterna"
"specials.name.standing_fortress","Fortaleza Sólida"
"specials.name.standing_fortress3","Fortaleza Sólida"
"specials.name.star_construct","Construto Estelar"
"specials.name.star_trail","Rastro Estelar"
"specials.name.starplay","Jogada Estelar"
"specials.name.stately_retribution","Retribuição à altura"
"specials.name.steel_rush","Febre do Aço"
"specials.name.stellar_beam","Feixe Estelar"
"specials.name.sticky_express","Expresso Pegajoso"
"specials.name.sticky_spear","Lança Pegajosa"
"specials.name.stiletto_cyclone","Ciclone Stiletto"
"specials.name.stolen_tarts","Tartes Roubadas"
"specials.name.stomp","Pisoteio"
"specials.name.stone_skin","Elo espiritual"
"specials.name.storm_of_blades","Tempestade de Lâminas"
"specials.name.strange_incense","Incenso Estranho"
"specials.name.strategic_slash","Corte Ornitológico"
"specials.name.strength_of_the_accursed","Força do Amaldiçoado"
"specials.name.strength_of_the_benemoth","Força do Beemote"
"specials.name.strength_of_the_volcano","Força do Vulcão"
"specials.name.strengthening_draught","Corrente Fortalecedora"
"specials.name.strengthening_smash","Estrondo Fortalecedor"
"specials.name.strict_standards","Normas Rígidas"
"specials.name.strike_and_support","Ataque e Apoio"
"specials.name.strike_from_the_shadows","Ataque das Sombras"
"specials.name.strike_from_the_skies","Golpe dos Céus"
"specials.name.strike_of_a_thousand_howls","Ataque dos Mil Uivos"
"specials.name.strike_of_the_ancients","Golpe dos ancestrais"
"specials.name.strike_of_the_cobra","Ataque da Cobra"
"specials.name.strike_of_the_monolith","Golpe do Monolito"
"specials.name.strike_of_the_toons","Ataque das Fofuras"
"specials.name.strike_of_the_underworld","Ataque do Submundo"
"specials.name.struck_by_thunder","Golpe Trovejante"
"specials.name.stubby_reap","Ceifadinha"
"specials.name.stunning_blow","Estrondo paralisador"
"specials.name.stunning_spear","Lança Atordoante"
"specials.name.stunning_steel","Aço Atordoante"
"specials.name.stunning_strike","Golpe Atordoante"
"specials.name.stupendous_break_in","Invasão Estupenda"
"specials.name.sturdy_riposte","Revide Robusto"
"specials.name.stylish_chop","Fatiada estilosa"
"specials.name.stylish_counterattack","Contra-ataque estiloso"
"specials.name.stylish_eruption","Erupção estilosa"
"specials.name.stylish_fireball","Bola de fogo estilosa"
"specials.name.stylish_heal","Cura estilosa"
"specials.name.stylish_pulverizer","Pulverizador estiloso"
"specials.name.stylish_slash","Corte estiloso"
"specials.name.stylish_spear","Lança estilosa"
"specials.name.stylish_strike","Golpe estiloso"
"specials.name.stylish_strike_caedmon","Golpe estiloso"
"specials.name.stylish_warcry","Grito de guerra estiloso"
"specials.name.subduing_strike","Ataque Subjugante"
"specials.name.sublime_pastry","Folhado de Peixe"
"specials.name.sudden_attack","Ataque Súbito"
"specials.name.suffocating_smoke","Fumaça Sufocante"
"specials.name.suffocating_smoke2","Fumaça Sufocante"
"specials.name.suffocating_smoke3","Fumaça Sufocante"
"specials.name.sugar_rush","Euforia Açucarada"
"specials.name.summer_carol","Hino de Verão"
"specials.name.summers_end","Final Congelante"
"specials.name.summon_ballerina_fiend","Convocação das Bailarinas"
"specials.name.summon_celestial_guardians","Convocar Guardiões Celestiais"
"specials.name.summon_rock_golems","Convocar Golems de Pedra"
"specials.name.summon_sand_golems","Invocar Golems de Areia"
"specials.name.summon_temple_guardians","Convocar os Guardiões do templo"
"specials.name.sunken_abyss","Abismo Profundo"
"specials.name.sunken_magma_cube","Cubo de Magma Submerso"
"specials.name.sunscreen_blast","Explosão de Protetor Solar"
"specials.name.sunstone_glare_dragon_pve","Brilho da Pedra do Sol"
"specials.name.super_duper_spray","Super Spray"
"specials.name.super_porridge","Super mingau"
"specials.name.superb_sake","Saquê Soberbo"
"specials.name.supercharged_fireball_dragon_pve","Bola de Fogo Supercarregada"
"specials.name.supernova","Supernova"
"specials.name.supernova_boss_phase1","Supernova"
"specials.name.supernova_boss_phase2","Aeternus Supernova"
"specials.name.suppressing_ki","Ki de Supressão"
"specials.name.sure_fire_combustion","Combustão Garantida"
"specials.name.surprise_goo","Gosma Surpresa!"
"specials.name.suspicious_stew","Guisado Suspeito"
"specials.name.swamp_skin","Pele de Pântano"
"specials.name.swashbuckling_stab","Punhalada Pirata"
"specials.name.sweet_berry_blast_dragon_pve","Explosão de Baga Doce"
"specials.name.sweet_dreams","Bons Sonhos"
"specials.name.swift_little_friends","Amiguinhos Ágeis"
"specials.name.swift_maneuvers","Manobra Ágil"
"specials.name.swift_stingers","Rápidos e agudos"
"specials.name.swooping_support","Apoio Repentino"
"specials.name.swooping_talon","Garra Mergulhante"
"specials.name.sword_barricade","Barricada de Espadas"
"specials.name.sword_dance","Dança da Espada"
"specials.name.sword_of_swan_song","Espada do Canto do Cisne"
"specials.name.sword_of_wei","Espada de Wei"
"specials.name.sylvan_blessings","Bênção de Silvano"
"specials.name.symphonic_pulverizer","Pulverizador sinfônico"
"specials.name.tackle","Derrubada"
"specials.name.tactical_cut","Corte Tático"
"specials.name.tail_bash","Golpe de cauda"
"specials.name.tail_slam","Golpe de Cauda"
"specials.name.tail_slam_deadly","Golpe de Cauda"
"specials.name.tail_sting","Picada de Cauda"
"specials.name.tail_sting_deadly","Picada de Cauda"
"specials.name.tainted_axe","Machado corrompido"
"specials.name.tambourine_solo","Solo de Tamborim"
"specials.name.tangy_berry_blast_dragon_pve","Explosão de Baga Acre"
"specials.name.tantrum_of_forest","Fúria das Fofuras"
"specials.name.teeth_of_the_river","Dentes do Rio"
"specials.name.tempered_blade","Lâmina Equilibrada"
"specials.name.tentacle_jab","Estocada de Tentáculo"
"specials.name.tentacle_slash","Golpe de Tentáculo"
"specials.name.terrifying_screech","Guincho Aterrorizante"
"specials.name.terror_shriek","Grito Aterrorizado"
"specials.name.testudo_rock","Rocha Testudo"
"specials.name.testudo_roll","Formação Tartaruga"
"specials.name.testudo_roll_deadly","Formação Tartaruga"
"specials.name.the_call_to_hibernate","Chamado da Hibernação"
"specials.name.the_dukes_investigation","Investigação Ducal"
"specials.name.the_eagles_blessing","Bênção da Águia"
"specials.name.the_mighty_crescendo","Grande Crescendo"
"specials.name.the_perfect_throw","Arremesso Perfeito"
"specials.name.the_piranha_incident","Incidente das piranhas"
"specials.name.the_queens_radiance","Resplendor da Rainha"
"specials.name.the_queens_speech","Discurso da Rainha"
"specials.name.the_two_sides_of_the_moon","Os Dois Lados da Lua"
"specials.name.the_undercover_investigation","Investigação Sigilosa"
"specials.name.thieving_shot","Disparo de Ladrão"
"specials.name.thorned_slam_dunk","Enterrada Espinhosa"
"specials.name.thousand_cuts","Mil Cortes"
"specials.name.thousand_palm_strikes","Golpes das Mil Palmas"
"specials.name.three_bandit_mice","Três Ratinhos"
"specials.name.three_blind_mice","Três ratos cegos"
"specials.name.three_little_rams","Três Carneirinhos"
"specials.name.thresher_worms","Vermes Trilhadores"
"specials.name.thrilling_clash","Embate Eletrizante"
"specials.name.throwing_daggers","Arremesso de Adagas"
"specials.name.throwing_stars","Estrelas de Arremesso"
"specials.name.thunder_ultimatum","Ultimato do trovão"
"specials.name.thunderbolt","Relâmpago"
"specials.name.thundering_strike","Golpe Trovejante"
"specials.name.thunderstorm","Trovoada"
"specials.name.thunderstrike","Ultimato do trovão"
"specials.name.tidal_force","Força da Maré"
"specials.name.tidal_vortex","Vórtice Maremotriz"
"specials.name.tidal_wave","Vagalhão"
"specials.name.tidal_waves","Maremoto"
"specials.name.tidy_up","Organização"
"specials.name.time_rewind","Volta no Tempo"
"specials.name.timeless_timepiece","Relógio atemporal"
"specials.name.titanbone_chain_slash","Corte-Corrente Titânico"
"specials.name.titanium_antler_attack","Galhada de Titânio"
"specials.name.titantooth_blade","Lâmina de Titã"
"specials.name.to_the_rescue","Ao Resgate!"
"specials.name.tokri_of_resources","Tokri dos Recursos"
"specials.name.tome_of_the_stag","Tomo do Cervo"
"specials.name.toon_annihilation","Aniquilação Fofa"
"specials.name.toon_athenas_bow","Arco de Athena Fofa"
"specials.name.toon_attack","Ataque Fofo"
"specials.name.toon_barrage","Barragem Fofa"
"specials.name.toon_bash","Pancada Fofa"
"specials.name.toon_bite","Mordida Fofa"
"specials.name.toon_blast","Explosão Fofa"
"specials.name.toon_brew","Cerveja Fofa"
"specials.name.toon_chop","Corte Fofo"
"specials.name.toon_cleave","Cutelo Fofo"
"specials.name.toon_counter","Contra-Fofura"
"specials.name.toon_cut","Corte Fofo"
"specials.name.toon_finisher","Finalização Fofa"
"specials.name.toon_fury","Fúria Fofa"
"specials.name.toon_hit","Acerto Fofo"
"specials.name.toon_jolt","Safanão Fofo"
"specials.name.toon_lament","Lamento da Fofura"
"specials.name.toon_link","Elo Fofo"
"specials.name.toon_mirror","Espelho da Fofura"
"specials.name.toon_mist","Bruma Fofa"
"specials.name.toon_of_the_depths","Fofura das Profundezas"
"specials.name.toon_of_the_seas","Fofura dos Mares"
"specials.name.toon_prowess","Proeza Fofa"
"specials.name.toon_riposte","Riposta Fofa"
"specials.name.toon_shot","Tiro Fofo"
"specials.name.toon_slam","Batida Fofa"
"specials.name.toon_slash","Golpe Fofo"
"specials.name.toon_stab","Punhalada Fofa"
"specials.name.toon_stars","Estrelas Fofas"
"specials.name.toon_storm","Tempestade Fofa"
"specials.name.toon_strike","Golpe Fofo"
"specials.name.toon_traps","Armadilhas Fofas"
"specials.name.toon_ultimatum","Ultimato Fofo"
"specials.name.toon_vines","Trepadeiras Fofas"
"specials.name.toon_wave","Onda da Fofura"
"specials.name.toon_waza","Waza da Fofura"
"specials.name.toonball","Bola Fofa"
"specials.name.tooncry","Grito Fofo"
"specials.name.toonpower_pulverizer","Pulverizador de Fofura"
"specials.name.toons_luck","Sorte da Fofura"
"specials.name.toons_order","Ordem da Fofura"
"specials.name.toontastic_feast","Banquete Fofo"
"specials.name.toontastic_fog","Bruma Fofástica"
"specials.name.toontastic_link","Elo Fofástico"
"specials.name.toontastic_protection","Proteção Fofa"
"specials.name.toontastic_pulverizer","Pulverizador Fofástico"
"specials.name.toontastic_riposte","Riposta Fofa"
"specials.name.toontastic_smash","Estrondo Fofástico"
"specials.name.toontastic_strike","Golpe Fofástico"
"specials.name.total_beatdown","Surra Total"
"specials.name.tough_love","Canhão do Amor"
"specials.name.towers_curse","Vendaval de areia"
"specials.name.toxic_berry_blast","Explosão de Baga Tóxica"
"specials.name.toxic_bile","Bílis Tóxica"
"specials.name.toxic_flames","Chamas Tóxicas"
"specials.name.toxic_fumes","Vapores Tóxicos"
"specials.name.toxic_gas_cloud","Nuvem de Gás Tóxico"
"specials.name.toxic_headbutt","Cabeçada Tóxica"
"specials.name.toxic_incense","Incenso Tóxico"
"specials.name.toxic_spit","Cuspe Tóxico"
"specials.name.toxic_stinger","Picada Tóxica"
"specials.name.toxic_traps","Armadilhas tóxicas"
"specials.name.toxic_tricks","Truques Tóxicos"
"specials.name.toxicadendra","Crescimento Acelerado"
"specials.name.trainer_blast","Explosão de Treino"
"specials.name.trainer_slash","Golpe de treino"
"specials.name.tranquil_mist","Névoa Tranquila"
"specials.name.transcendental_charge","Investida Transcendental"
"specials.name.transcendental_frame","Moldura Transcendental"
"specials.name.transfigure","Transfigurar"
"specials.name.travelers_snack","Lanche do viajante"
"specials.name.treasure_ale","Cerveja Preciosa"
"specials.name.trial_of_darkness","Provação Sombria"
"specials.name.trial_of_fauna","Provação da Fauna"
"specials.name.trial_of_fire","Provação do Fogo"
"specials.name.trial_of_flames","Provação das Chamas"
"specials.name.trial_of_flora","Provação da Flora"
"specials.name.trial_of_frost","Provação do Frio"
"specials.name.trial_of_ice","Provação do Gelo"
"specials.name.trial_of_nature","Provação da Natureza"
"specials.name.trial_of_pain","Provação da Dor"
"specials.name.trial_of_the_moon","Provação da Lua"
"specials.name.trial_of_the_sun","Provação do Sol"
"specials.name.trial_of_the_waters","Provação das Águas"
"specials.name.tribal_rage","Fúria tribal"
"specials.name.tribal_rage_pve","Fúria tribal"
"specials.name.trick_of_the_trade","Ossos do Ofício"
"specials.name.trickster_grenades","Granadas Traiçoeiras"
"specials.name.tricksters_buff","Garrafa"
"specials.name.tricksters_damage","Espadas"
"specials.name.tricksters_exchange","Truque do malandro"
"specials.name.tricksters_lullaby","Cantiga de Ninar"
"specials.name.tricksters_malice","Malícia do Impostor"
"specials.name.tricksters_mischief","Travessura do Trapaceiro"
"specials.name.tricksters_negative","Congelar"
"specials.name.tricksters_transformation","Transformação do Trapaceiro"
"specials.name.triple_stab","Estocada Tripla"
"specials.name.triumph_of_strategy","Triunfo da Estratégia"
"specials.name.tropical_ambush","Emboscada Tropical"
"specials.name.tumbling_dragon","Dragão Cambaleante"
"specials.name.tumbling_dragon2","Dragão Cambaleante"
"specials.name.turquoise_falcon","Falcão Turquesa"
"specials.name.twilight_of_crimes","Crepúsculo do Crime"
"specials.name.twilight_of_ruin","Crepúsculo da Ruína"
"specials.name.twilight_of_sorrow","Crepúsculo da Angústia"
"specials.name.twilight_star_strike","Golpe do Lusco-Fusco"
"specials.name.twilight_tricks","Truques do Crepúsculo"
"specials.name.twist_of_fate","Reviravolta do Destino"
"specials.name.twist_of_fate_minor","Destino Entrelaçado"
"specials.name.twostep_swing","Golpe de Dois Passos"
"specials.name.ultimate_giftsack","Saco de presentes supremo"
"specials.name.unbreakable_brawler","Arruaceiro Inquebrável"
"specials.name.unbroken_assault","Assalto Inquebrável"
"specials.name.unchained_jaws","Mandíbulas Livres"
"specials.name.unchained_jaws_ultimate_boss","Mandíbulas Livres"
"specials.name.undead_obliteration","Obliterador Morto-vivo"
"specials.name.undead_penance_poetic","Penitência do Além"
"specials.name.undead_rage","Flecha da conjuração"
"specials.name.undead_razer","Demolidor Morto-vivo"
"specials.name.under_the_surf","Arrebentação"
"specials.name.underwater_magma_cube","Cubo de Magma Submarino"
"specials.name.underwater_riddle","Charada Submarina"
"specials.name.undying_heads","Cabeças Imortais"
"specials.name.undying_heads_ultimate_boss","Cabeças de Hidra"
"specials.name.undying_incantation","Encanto Imortal"
"specials.name.undying_summon","Convocação Imortal"
"specials.name.unerring_course","Curso Certo"
"specials.name.unfeeling_assailing","Assalto Insensível"
"specials.name.unhallowed_spirits","Espíritos Profanos"
"specials.name.unholy_light","Luz Profana"
"specials.name.unholy_power","Poder Profano"
"specials.name.unholy_rain","Chuva Profana"
"specials.name.unite_and_oppose","Oposição e Derrubada"
"specials.name.unnatural_pact","Devorador de Vitalidade"
"specials.name.unrelenting_hunter","Caçador Implacável"
"specials.name.unrelenting_riposte","Riposta Incansável"
"specials.name.unstoppable_charge","Investida Implacável"
"specials.name.unstoppable_growl","Rugido indomável"
"specials.name.unwavering_devotion","Devoção Inabalável"
"specials.name.unwavering_devotion_pve","Devoção Inabalável"
"specials.name.unwavering_focus","Foco sem vacilo"
"specials.name.unyielding_protector","Protetor Implacável"
"specials.name.unyielding_stance","Postura implacável"
