"herocard.passive_skill.description.addmana.all.allies","Wszyscy sojusznicy zyskują małą ilość many."
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana przy obrażeniach od mrozu"
"herocard.passive_skill.title.glass_reflect_debuffs","Szkło"
"herocard.passive_skill.title.growth","Rozrost"
"herocard.passive_skill.title.guaranteedeffectonspecial","Gwarantowany efekt umiejętności specjalnej"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Zmniejszone leczenie"
"herocard.passive_skill.title.healonheal.heal","Dodatkowe LECZENIE"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Zdrowie od martwego pomocnika"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Wzmocnione zdrowie od martwego pomocnika"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Zwiększony atak za każdego wroga, który nie należy do żywiołu natury"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Zwiększony atak za każdego wroga, który nie należy do żywiołu ognia"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Dodatkowe obrażenia przeciwko pomocnikom i mega pomocnikom"
"herocard.passive_skill.title.increaseddamageagainstminions","Zwiększone obrażenia zadawane pomocnikom"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Zwiększone obrażenia przeciwko prowokacji"
"herocard.passive_skill.title.increasespecialdamage","Zwiększenie obrażeń od umiejętności specjalnej"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Zwiększenie obrażeń od umiejętności specjalnej"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Zwiększenie obrażeń od umiejętności specjalnej"
"herocard.passive_skill.title.insanitydamagereduction","Naznaczenie pradawnych"
"herocard.passive_skill.title.iterateeffectonspecial","Dodatkowa szansa na efekt umiejętności specjalnej"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Niedogodność ligi"
"herocard.passive_skill.title.league_featured_family_resist","Korzyść ligi"
"herocard.passive_skill.title.league_heal_modifier_against_family","Niedogodność ligi"
"herocard.passive_skill.title.league_heal_modifier_for_family","Korzyść ligi"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Korzyść ligi"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Spowolnienie many"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana za śmierć pomocnika"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana z dolegliwości"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Zapamiętuje pomocników i potwory przeciwnika"
"herocard.passive_skill.title.memorizestatuseffects","Zapamiętywanie dolegliwości ze statusu"
"herocard.passive_skill.title.mimic_dread_damage_minions","Groza"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Łupy mimika"
"herocard.passive_skill.title.nevermissspecial","Doskonała celność"
"herocard.passive_skill.title.ransack","Złodziejska okazja"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Kradzież wzmocnienia"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Zmysł łowcy"
"herocard.passive_skill.title.received_strong_troop_damage_pve","Zmniejszenie obrażeń oddziału"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Mistrzostwo oddziału"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Silne wzmocnienie obrażeń kuli ognia"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Oszukanie śmierci"
"herocard.passive_skill.title.remove_growth_from_enemies","Zwarcie szyków"
"herocard.passive_skill.title.remove_wither_from_allies","Zwarcie szyków"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Rdzeń naprawczy"
"herocard.passive_skill.title.repeat_special_once","Fart"
"herocard.passive_skill.title.resist.accuracymodifiers","Odporność na ślepotę"
"herocard.passive_skill.title.resist.alldebuffs","Odporność na dolegliwości ze statusu"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Odporność na wszystkie dolegliwości"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Odporność Alfa"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Odporność na dolegliwości obronne"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Odparcie zmniejszenia obrony"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Odporność na dolegliwości związane z maną"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Odporność na negatywne efekty wpływające na manę"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Odporność na obrażenia efektów ze statusu"
"herocard.passive_skill.title.resist.attackdelay","Odporność na opóźnienie ataku"
"herocard.passive_skill.title.resist.attackmodifiers","Odporność na dolegliwości ofensywne"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Odporność na efekty ze statusu z ataku"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Odporność na zmniejszenie ataku"
"herocard.passive_skill.title.resist.bleed","Odporność na krwawienie"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Wzmocniona odporność na krwawienie"
"herocard.passive_skill.title.resist.buffdispels","Odporność na odczarowanie"
"herocard.passive_skill.title.resist.buffimmunity","Odpiera blokowanie wzmocnień"
"herocard.passive_skill.title.resist.burn","Odporność na oparzenia"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Wzmocniona odporność na oparzenia"
"herocard.passive_skill.title.resist.criticalhits.none","Odporność na trafienia krytyczne"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Odporność na dolegliwości obronne"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Niepowstrzymani pomocnicy"
"herocard.passive_skill.title.resist.frost","Odporność na mróz"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Wzmocniona odporność na mróz"
"herocard.passive_skill.title.resist.healeffects","Odporność na dolegliwości spowalniające leczenie"
"herocard.passive_skill.title.resist.healthsteal","Odporność na wysysanie zdrowia"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Odporność na obłęd"
"herocard.passive_skill.title.resist.manadebuffs","Odporność na dolegliwości zw. z maną"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Odporność na dolegliwości związane z maną i blokowanie umiejętności specjalnych"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Odporność na dolegliwości związane z regeneracją many"
"herocard.passive_skill.title.resist.manareduction","Odporność na bezpośrednie wyssanie many"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Wzmocniona odporność na zmniejszenie many"
"herocard.passive_skill.title.resist.maxhealthreduction","Odporność na zmniejszanie maksymalnego zdrowia"
"herocard.passive_skill.title.resist.poison","Odporność na trucizny"
"herocard.passive_skill.title.resist.poison.burn.bleed","Odporność na truciznę, podpalenie i krwawienie"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Odporność na opętanie"
"herocard.passive_skill.title.resist.sand","Odporność na piasek"
"herocard.passive_skill.title.resist.specialblocking","Odporność na blokowanie umiejętności specjalnej"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Wzmocniona odporność na blokowanie umiejętności specjalnych"
"herocard.passive_skill.title.resist.stopmanageneration","Odporność na powstrzymanie generowania many"
"herocard.passive_skill.title.resist.water","Odporność na wodę"
"herocard.passive_skill.title.resist_all_defense_effects","Cecha: 
Gibka postawa"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Odporność na dolegliwości ze statusu wywoływane przez pomocników"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Odporność na usunięcie pomocników"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Odporność na negatywne efekty pomocników"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Wzmocniona odporność na negatywne efekty pomocników"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Odporność na potwory."
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Odporność na potwory i mega potwory"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Odporność na dolegliwości ze statusu"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Redukcja szansy na odrodzenie"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Zmniejszenie zdrowia po wskrzeszeniu"
"herocard.passive_skill.title.revive_chance_nine_lives","Dziewięć żyć"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Nadprzyrodzony pakt"
"herocard.passive_skill.title.revivewithchance","Odrodzenie"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Szybkie tempo: ballada"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Szybkie tempo: taniec"
"herocard.passive_skill.title.sharereceiveddamage","Dzielenie otrzymywanych obrażeń"
"herocard.passive_skill.title.short.generic","Pasywna"
"herocard.passive_skill.title.short.league","Korzyść"
"herocard.passive_skill.title.short.league.non_featured","Niedogodność"
"herocard.passive_skill.title.short.trait","Cecha"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Maska Żywiołów"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Mistrzostwo oddziału"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Mistrzostwo oddziału"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Wzmocnienie tarcz przy umiejętności specjalnej"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Wzmocnienie tarcz przy umiejętności specjalnej"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Wzmocnienie tarcz przy umiejętności specjalnej"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Wzmocnienie tarcz przy umiejętności specjalnej"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Wzmocnienie tarcz przy umiejętności specjalnej"
"herocard.passive_skill.title.specialdamagereduction","Redukcja obrażeń od umiejętności specjalnej"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Redukcja obrażeń od umiejętności specjalnej"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Rozpoczęcie bitwy z maną"
"herocard.passive_skill.title.statmodifier.attack","Dzikość"
"herocard.passive_skill.title.statmodifier.defense","Opancerzenie"
"herocard.passive_skill.title.statmodifier.health","Odporność"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Zwiększenie ataku efektu ze statusu"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Redukcja dolegliwości ofensywnych"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Redukcja dolegliwości ofensywnych"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Zwiększenie ataku efektu ze statusu"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Redukcja dolegliwości ofensywnych"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Zwiększenie obrony efektu ze statusu"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Redukcja dolegliwości obronnych"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Redukcja dolegliwości obronnych"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Zwiększenie obrony efektu ze statusu"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Redukcja dolegliwości obronnych"
"herocard.passive_skill.title.statuseffectdurationmodifier","Wydłużenie czasu wzmocnienia"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Skrócenie czasu dolegliwości"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Skrócenie czasu dolegliwości wpływających na obronę"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Wydłużenie czasu wzmocnienia"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Kopiuje dolegliwość przy oczyszczeniu"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Werwa łowcy"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Znak łowcy tytanów"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Delikatna skóra gargulca"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Kamienna skóra gargulca"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Wzmocnienie regeneracji many za dolegliwości"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Maska Żywiołów"
"herocard.passive_skill.title.stylish","Stylish!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Przywoływacz sadzonek"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Przywoływacz sadzonek"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Przywoływacz sadzonek"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Przywoływacz sadzonek"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Przywoływacz sadzonek"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Przywoływacz sadzonek"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Śluzowy pomocnik po porażce"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Śluzowy pomocnik po porażce"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Śluzowy pomocnik po porażce"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Śluzowy pomocnik po porażce"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Śluzowy pomocnik po porażce"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Podzielenie śluzowego pomocnika"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Podzielenie śluzowego pomocnika"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Podzielenie śluzowego pomocnika"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Podzielenie śluzowego pomocnika"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Podzielenie śluzowego pomocnika"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Wezwanie po podpaleniu"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Wezwanie przy zadawaniu obrażeń rozłożonych w czasie"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Wezwanie pomocnika na dolegliwości obronne"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Przywoływacz wróbli"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Przeklęty kiełkujący przywoływacz"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Przywoływacz sadzonek"
"herocard.passive_skill.title.targetstatedependenteffectonspecial.healthboost.checkstate.all.allies.dance","Wdzięczy tancerz"
"herocard.passive_skill.title.taunt","Ignoruj Prowokację"
"herocard.passive_skill.title.titan_dread_damage_minions","Groza"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Groza"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Groza"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Groza"
"herocard.passive_skill.title.titan_resist_15","Tytan"
"herocard.passive_skill.title.titan_resist_16","Tytan"
"herocard.passive_skill.title.titan_resist_17","Tytan"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Kreskówkowi"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Przemiana wzmocnień"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Przemiana wzmocnień"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Przemiana dolegliwości"
"herocard.passive_skill.title.wither.all.enemies","Susza"
