"heroes.name_fancy.astral_cosmicspeaker","Astronoma degli elfi astrali"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul dell'astuzia"
"heroes.name_fancy.s2_fiji_mermaid","Cacciatore dei bassifondi"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Cacciatrice cartone"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Inseguitrice dei bassifondi"
"heroes.name_fancy.s2_fox_girl","Spirito a nove code"
"heroes.name_fancy.s2_fox_girl_costume_cute","Cartone a nove code"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Spirito della kitsune bianca"
"heroes.name_fancy.s2_ghost_woman","Fantasma solitaria"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Yurei solitaria"
"heroes.name_fancy.s2_hammerhead_hulk","Macellaio selvaggio"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Maestro di lama selvaggio"
"heroes.name_fancy.s2_junglehunter","Principe della giungla"
"heroes.name_fancy.s2_junglehunter_costume_cute","Cartone della giungla"
"heroes.name_fancy.s2_junglehunter_costume_party","Principe del Lūʻau"
"heroes.name_fancy.s2_lantern_ghost","Yōkai delle lanterne"
"heroes.name_fancy.s2_mercenary_woman","Mercenaria magnifica"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Ballerina di hula magnifica"
"heroes.name_fancy.s2_merman","Tritone di Atlantide"
"heroes.name_fancy.s2_merman_costume_cute","Tritone cartone"
"heroes.name_fancy.s2_merman_costume_leutenant","Tenente di Atlantide"
"heroes.name_fancy.s2_merwoman","Sirena di Atlantide"
"heroes.name_fancy.s2_merwoman_costume_cute","Sirena cartone"
"heroes.name_fancy.s2_merwoman_costume_emissary","Emissaria di Atlantide"
"heroes.name_fancy.s2_noble_lady","Bellezza fatale"
"heroes.name_fancy.s2_noble_lady_costume_cute","Bellezza cartone"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Bellezza fiammeggiante"
"heroes.name_fancy.s2_oceanus","Titano del mare"
"heroes.name_fancy.s2_oceanus_costume_volcano","Titano del magma"
"heroes.name_fancy.s2_poseidon","Sovrano di Atlantide"
"heroes.name_fancy.s2_poseidon_costume_cute","Sovrano di Atlantide cartone"
"heroes.name_fancy.s2_poseidon_costume_slayer","Assassino di Atlantide"
"heroes.name_fancy.s2_proteus","Mago di Atlantide"
"heroes.name_fancy.s2_proteus_costume_cute","Mago di Atlantide cartone"
"heroes.name_fancy.s2_proteus_costume_farseer","Veggente di Atlantide"
"heroes.name_fancy.s2_rugged_fisherman","Pescatore valoroso"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Pescatore valoroso cartone"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Birraio audace"
"heroes.name_fancy.s2_skyllaros","Guardiano di Atlantide"
"heroes.name_fancy.s2_skyllaros_costume_cute","Guardiano di Atlantide cartone"
"heroes.name_fancy.s2_skyllaros_costume_reef","Guardiano della Barriera"
"heroes.name_fancy.s2_straw_demon","Demone di paglia"
"heroes.name_fancy.s2_tanuki_raccoon","Ingannatore intrepido"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Mercante impavido"
"heroes.name_fancy.s2_tethys","Dea di tutti i fiumi"
"heroes.name_fancy.s2_tethys_costume_steel","Vendicatrice di tutti i fiumi"
"heroes.name_fancy.s2_triton","Capitano di Atlantide"
"heroes.name_fancy.s2_triton_costume_champion","Campione di Atlantide"
"heroes.name_fancy.s2_ursena","Imperatrice degli abissi"
"heroes.name_fancy.s2_ursena_costume_cute","Cartone degli abissi"
"heroes.name_fancy.s2_ursena_costume_reef","Regina letale della barriera"
"heroes.name_fancy.s3_agnes","Paesana coraggiosa"
"heroes.name_fancy.s3_alfrike","Regina di Svartalfheim"
"heroes.name_fancy.s3_alfrike_costume_hatter","Cappellaio di Svartalfheim"
"heroes.name_fancy.s3_almur","Lamombrosa di Svartalfheim"
"heroes.name_fancy.s3_almur_costume_lord","Signore di Svartalfheim"
"heroes.name_fancy.s3_anwindr","Colosso vichingo maledetto"
"heroes.name_fancy.s3_baldur","Dio luminoso"
"heroes.name_fancy.s3_baldur_costume_fiery","Dio del fuoco"
"heroes.name_fancy.s3_bera","Principessa delle Dísir"
"heroes.name_fancy.s3_bera_costume_conjurer","Evocatrice delle Dísir"
"heroes.name_fancy.s3_bjorn","Paesano coraggioso"
"heroes.name_fancy.s3_bjorn_costume_viking","Soldato coraggioso"
"heroes.name_fancy.s3_brynhild","Vergine scudata delle Valchirie"
"heroes.name_fancy.s3_by_ulf","Attaccabrighe vichingo maledetto"
"heroes.name_fancy.s3_ei_dunn","Combattente vichinga maledetta"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Combattente vichingo feroce"
"heroes.name_fancy.s3_fenrir","Leader di Niflheim"
"heroes.name_fancy.s3_fenrir_costume_guardian","Guardiano di Niflheim"
"heroes.name_fancy.s3_freya","Dama del massacro"
"heroes.name_fancy.s3_freya_costume_witch","Strega dei caduti"
"heroes.name_fancy.s3_frigg","Dea della preveggenza"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Dea della chiaroveggenza"
"heroes.name_fancy.s3_fura","Avvelenatrice di Svartalfheim"
"heroes.name_fancy.s3_fura_costume_herbalist","Erborista di Svartalfheim"
"heroes.name_fancy.s3_gefjon","Dea del raccolto"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Dea delle terre selvagge"
"heroes.name_fancy.s3_grevle","Tasso astuto"
"heroes.name_fancy.s3_gullinbursti","Cinghiale dorato"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Cinghiale libero dalle catene"
"heroes.name_fancy.s3_heimdall","Sentinella vigile"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Guardiano temuto"
"heroes.name_fancy.s3_jarvur","Ghiottone pugile"
"heroes.name_fancy.s3_jott","Gigante di ghiaccio barbaro"
"heroes.name_fancy.s3_kvasir","Apicultore di Alfheim"
"heroes.name_fancy.s3_kvasir_costume_captain","Capitano delle api di Alfheim"
"heroes.name_fancy.s3_loki_female","Dea dell'inganno"
"heroes.name_fancy.s3_loki_female_costume_mother","Madre ingannatrice"
"heroes.name_fancy.s3_loki_fish","Pesce ingannevole"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Pesce elegante"
"heroes.name_fancy.s3_loki_male","Dio dell'inganno"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Dio mutaforma"
"heroes.name_fancy.s3_mireweave","Draugr veloce"
"heroes.name_fancy.s3_mist","Comandante delle Valchirie"
"heroes.name_fancy.s3_nordri","Nano di ghiaccio di Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Nano esploratore di Jotunheim"
"heroes.name_fancy.s3_norns","Tessitrici del fato"
"heroes.name_fancy.s3_norns_costume_puppeteers","Burattinaie del destino"
"heroes.name_fancy.s3_odin","Padre degli dèi saggio"
"heroes.name_fancy.s3_odin_costume_champion","Padre degli dèi valoroso"
"heroes.name_fancy.s3_ratatoskr","Messaggero di Yggdrasill"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Architetto di Yggdrasil"
"heroes.name_fancy.s3_shadereave","Draugr brutale"
"heroes.name_fancy.s3_sif","Divinità dalla bella chioma"
"heroes.name_fancy.s3_sif_costume_golden","Divinità dorata"
"heroes.name_fancy.s3_skadi","Dea di Jotunheim"
"heroes.name_fancy.s3_skadi_costume_ravager","Guardiana di Jotunheim"
"heroes.name_fancy.s3_stonecleave","Draugr implacabile"
"heroes.name_fancy.s3_sudri","Nano di fuoco di Muspelheim"
"heroes.name_fancy.s3_sumle","Gigante del fuoco corpulento"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Gigante di fuoco empio"
"heroes.name_fancy.s3_thor","Dio del tuono"
"heroes.name_fancy.s3_thor_costume_conduit","Condottiero del tuono"
"heroes.name_fancy.s3_tyr","Giustizia implacabile"
"heroes.name_fancy.s3_tyr_costume_savage","Giustizia selvaggia"
"heroes.name_fancy.s4_akkorog","Capo morlock"
"heroes.name_fancy.s4_akkorog_costume_football","Attaccante morlock"
"heroes.name_fancy.s4_aouda","Principessa dal cuore tenero"
"heroes.name_fancy.s4_aouda_costume_lotus","Principessa del loto"
"heroes.name_fancy.s4_captain_nemo","Esploratore enigmatico"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Macchinista enigmatico"
"heroes.name_fancy.s4_congalach","Guerriero degli abissi"
"heroes.name_fancy.s4_congalach_costume_kelp","Guerriero delle alghe"
"heroes.name_fancy.s4_doctor_moreau","Scienziato subdolo"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Scriba subdolo"
"heroes.name_fancy.s4_elizabeth","Aristocratica aracnide"
"heroes.name_fancy.s4_elizabeth_costume_bride","Sposa aristocratica"
"heroes.name_fancy.s4_exeera","Sacerdotessa ottopode"
"heroes.name_fancy.s4_exeera_costume_hierophant","Gerofante ottopode"
"heroes.name_fancy.s4_garjammal","Maestro di battaglia morlock"
"heroes.name_fancy.s4_garjammal_costume_kite","Maestro di aquiloni morlock"
"heroes.name_fancy.s4_gramps","Anziano halfling"
"heroes.name_fancy.s4_gramps_costume_gardener","Giardiniere halfling"
"heroes.name_fancy.s4_griffin","Uomo invisibile"
"heroes.name_fancy.s4_griffin_costume_priest","Sacerdote invisibile"
"heroes.name_fancy.s4_hannah","Archeologa avventurosa"
"heroes.name_fancy.s4_hannah_costume_drover","Mandriana avventurosa"
"heroes.name_fancy.s4_helo","Pescatore eloi"
"heroes.name_fancy.s4_helo_costume_baker","Pizzaiola eloi"
"heroes.name_fancy.s4_hulda","Capo delle talpe"
"heroes.name_fancy.s4_hulda_costume_nurse","Capo infermiera"
"heroes.name_fancy.s4_kravekrush","Comandante ettin"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Maestro della griglia ettin"
"heroes.name_fancy.s4_lepiota","Leader degli Eloi"
"heroes.name_fancy.s4_lepiota_costume_undying","Leader degli imperituri"
"heroes.name_fancy.s4_lughaidh","Re degli abissi"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Il Re senza morte"
"heroes.name_fancy.s4_mack","Avventuriero halfling"
"heroes.name_fancy.s4_mack_costume_novelist","Romanziere halfling"
"heroes.name_fancy.s4_morel","Cacciatore eloi"
"heroes.name_fancy.s4_morel_costume_sage","Saggia eloi"
"heroes.name_fancy.s4_morris","Potente uomo-talpa"
"heroes.name_fancy.s4_morris_costume_potter","Uomo-talpa vasaio"
"heroes.name_fancy.s4_octros","Campione ottopode"
"heroes.name_fancy.s4_octros_costume_suitor","Pretendente tentacolato"
"heroes.name_fancy.s4_passepartout","Viaggiatore intelligente"
"heroes.name_fancy.s4_passepartout_costume_artist","Artista elegante"
"heroes.name_fancy.s4_phileas_fogg","Viaggiatore audace"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Ingegnere raffinato"
"heroes.name_fancy.s4_poppy","Balestriera halfling"
"heroes.name_fancy.s4_poppy_costume_lodger","Inquilina halfling"
"heroes.name_fancy.s4_professor_lidenbrock","Scienziata sagace"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Gioielliere sagace"
"heroes.name_fancy.s4_rokkamush","Distruttore ettin"
"heroes.name_fancy.s4_rokkamush_costume_mason","Muratore ettin"
"heroes.name_fancy.s4_russula","Furfante eloi"
"heroes.name_fancy.s4_russula_costume_painter","Pittore eloi"
"heroes.name_fancy.s4_tettukh","Bruto morlock"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Portatore di gioia morlock"
"heroes.name_fancy.s4_vollermork","Incettatore morlock"
"heroes.name_fancy.s4_vollermork_costume_bartender","Barista morlock"
"heroes.name_fancy.s4_xenda","Erede degli Inferi"
"heroes.name_fancy.s4_xenda_costume_flame","Ereditiera alla fiamma"
"heroes.name_fancy.s4_xnolphod","Stregone ottopode"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Carceriere ottopode"
"heroes.name_fancy.s4_zekena","Principe dei miriapodi"
"heroes.name_fancy.s4_zekena_costume_vines","Principe della linfa"
"heroes.name_fancy.s4_zenobia","Regina dei miriapodi"
"heroes.name_fancy.s4_zenobia_costume_floral","Regina della linfa"
"heroes.name_fancy.s4_zila_lei","Assassina tentacolare"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Ballerina ottopode"
"heroes.name_fancy.s5_ahhotep","Guerriero mummia"
"heroes.name_fancy.s5_ahhotep_costume_champion","Campionessa mummia"
"heroes.name_fancy.s5_ahmose","Faraone mummia"
"heroes.name_fancy.s5_ahmose_costume_reborn","Faraone rinato"
"heroes.name_fancy.s5_anubis","Dio dell'aldilà"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Arbitro della pista da ballo"
"heroes.name_fancy.s5_aqeela","Monella di strada"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Strega scaltra"
"heroes.name_fancy.s5_azmia","Taverniera tenace"
"heroes.name_fancy.s5_azmia_costume_dancing","Taverniera danzante"
"heroes.name_fancy.s5_bastet","Occhio della luna"
"heroes.name_fancy.s5_bastet_costume_forest","Occhio della foresta"
"heroes.name_fancy.s5_bennu","Spirito della creazione"
"heroes.name_fancy.s5_bennu_costume_heron","Airone della creazione"
"heroes.name_fancy.s5_cleopatra","Regina divina"
"heroes.name_fancy.s5_cleopatra_costume_feline","Regina felina"
"heroes.name_fancy.s5_el_naddaha","Sirena del fiume"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Sirena del mare"
"heroes.name_fancy.s5_eset","Signora dei diecimila nomi"
"heroes.name_fancy.s5_eset_costume_goldensun","Signora del sole dorato"
"heroes.name_fancy.s5_faiez","Agricoltore fortuito"
"heroes.name_fancy.s5_faiez_costume_miner","Minatore fortuito"
"heroes.name_fancy.s5_hathor","Dea della maternità"
"heroes.name_fancy.s5_hathor_costume_starlit","Madre stellata"
"heroes.name_fancy.s5_hetepheres","Sfinge astuta"
"heroes.name_fancy.s5_hetepheres_costume_spa","Sfinge alle terme"
"heroes.name_fancy.s5_horus","Dio della caccia"
"heroes.name_fancy.s5_horus_costume_golden","Cacciatore dorato"
"heroes.name_fancy.s5_jarif","Scriba stressato"
"heroes.name_fancy.s5_jarif_costume_curator","Curatore stressato"
"heroes.name_fancy.s5_junaid","Soldato giurato"
"heroes.name_fancy.s5_junaid_costume_champion","Campione giurato"
"heroes.name_fancy.s5_khafre","Androsfinge acuta"
"heroes.name_fancy.s5_khafre_costume_aquatic","Androsfinge acquatica"
"heroes.name_fancy.s5_khepri","Dio scarabeo"
"heroes.name_fancy.s5_khepri_costume_overlord","Scarabeo dominatore"
"heroes.name_fancy.s5_khonshu","Dio della luna"
"heroes.name_fancy.s5_khonshu_costume_knight","Cavaliere della luna"
"heroes.name_fancy.s5_maat","Signora dell'armonia"
"heroes.name_fancy.s5_maat_costume_river","Signora dell'Iteru"
"heroes.name_fancy.s5_meresankh","Sfinge del sole"
"heroes.name_fancy.s5_meresankh_costume_disco","Sfinge della discoteca"
"heroes.name_fancy.s5_papyros","Golem di carta e sabbia"
"heroes.name_fancy.s5_papyros_costume_colossus","Colosso di carta e sabbia"
"heroes.name_fancy.s5_ptolemy","Faraone anziano"
"heroes.name_fancy.s5_ptolemy_costume_log","Ceppo anziano"
"heroes.name_fancy.s5_rekhetre","Giovane sfinge"
"heroes.name_fancy.s5_rekhetre_costume_artist","Giovane artista"
"heroes.name_fancy.s5_scoratek","Guardia scarabeo"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Sentinella scarabeo"
"heroes.name_fancy.s5_sekhmet","Occhio del sole"
"heroes.name_fancy.s5_sekhmet_costume_warden","Guardiana del sole"
"heroes.name_fancy.s5_set","Usurpatore oscuro"
"heroes.name_fancy.s5_set_costume_tyrant","Tiranno oscuro"
"heroes.name_fancy.s5_sneferu","Sfinge della luna"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Conquistatore della luna"
"heroes.name_fancy.s5_sobek","Dio del fiume"
"heroes.name_fancy.s5_sobek_costume_guardian","Guardiano del fiume"
"heroes.name_fancy.s5_tetisheri","Regina mummia"
"heroes.name_fancy.s5_tetisheri_costume_molten","Regina incandescente"
"heroes.name_fancy.s5_waqas","Scudo del faraone"
"heroes.name_fancy.s5_waqas_costume_blade","Lama del faraone"
"heroes.name_fancy.sand_horse","Fido destriero dell'Impero delle Sabbie"
"heroes.name_fancy.sand_king","Re dell'Impero delle Sabbie"
"heroes.name_fancy.sand_king_costume_lifeguard","Re dei guardaspiaggia"
"heroes.name_fancy.sand_queen","Regina dell'Impero delle Sabbie"
"heroes.name_fancy.sand_queen_costume_surfer","Regina surfista"
"heroes.name_fancy.sand_roc","Protettore dell'Impero delle Sabbie"
"heroes.name_fancy.sand_roc_costume_juice","Protettore della spiaggia"
"heroes.name_fancy.sand_soldier","Soldato dell'Impero delle Sabbie"
"heroes.name_fancy.sand_tower","Bruto dell'Impero delle Sabbie"
"heroes.name_fancy.sand_vizier","Visir dell'Impero delle Sabbie"
"heroes.name_fancy.scoundrel_duval","Tiratore ingannevole"
"heroes.name_fancy.scoundrel_lane","Bandito da strada"
"heroes.name_fancy.shadow_abigail","Giornalista investigativa"
"heroes.name_fancy.shadow_asketel","Cercatore della conoscenza perduta"
"heroes.name_fancy.shadow_atwood","Affascinato dall'ignoto"
"heroes.name_fancy.shadow_burton","Investigatore di homunculus"
"heroes.name_fancy.shadow_cthuwu","Rampollo degli Antichi"
"heroes.name_fancy.shadow_dolores","Investigatrice spericolata"
"heroes.name_fancy.shadow_gwendoline","Archeologa fanatica"
"heroes.name_fancy.shadow_hunter","Discendente degli Antichi"
"heroes.name_fancy.shadow_hysteria","Collezionista di artefatti mistici"
"heroes.name_fancy.shadow_melancholia","Accolita degli Antichi"
"heroes.name_fancy.shadow_omen","Consacrato dalla barriera demoniaca"
"heroes.name_fancy.shadow_penelope","Ex-bibliotecaria feroce"
"heroes.name_fancy.shadow_rashan","Fruitore dell'Hulu-metallo"
"heroes.name_fancy.shadow_rosanna","Cecchina sicura"
"heroes.name_fancy.shadow_salvatore","Medium contorto"
"heroes.name_fancy.shadow_shoggo","Guida mutaforma"
"heroes.name_fancy.shadow_wulfstan","Artigiano delle munizioni sinistre"
"heroes.name_fancy.shadow_zavinia","Ibrido degli abissi"
"heroes.name_fancy.slayer_aodhan","L'infuocato"
"heroes.name_fancy.slayer_caitlin","L'illuminata"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Crociato giustiziere"
"heroes.name_fancy.slayer_cathal","L'intrepido"
"heroes.name_fancy.slayer_cillian","L'imperituro"
"heroes.name_fancy.slayer_maeve","L'inosservata"
"heroes.name_fancy.slayer_noril","Il fiero"
"heroes.name_fancy.slayer_orla","La degna"
"heroes.name_fancy.slayer_rian","Il saldo"
"heroes.name_fancy.slayer_saoirse","L'indomita"
"heroes.name_fancy.slayer_saoirse_costume_knight","L'annientatrice"
"heroes.name_fancy.slayer_senan","Il terribile"
"heroes.name_fancy.slayer_senan_costume_tentacles","Il servitore cefaloide"
"heroes.name_fancy.slime_achillea","Slime gladiatrice senza paura"
"heroes.name_fancy.slime_boboosang","Slime mercante ambulante anziano"
"heroes.name_fancy.slime_bulklug","Slime costruttore blob"
"heroes.name_fancy.slime_charmione","Melma teatrale incantevole"
"heroes.name_fancy.slime_chingiriko","Slime cacciatrice dell'ombra"
"heroes.name_fancy.slime_choozen","Slime timida"
"heroes.name_fancy.slime_fruitio","Slime fruttariano"
"heroes.name_fancy.slime_fungustine","Slime della foresta ringiovanente"
"heroes.name_fancy.slime_gloozmer","Slime gentile e imbroglione"
"heroes.name_fancy.slime_goldrip","Re slime dorato"
"heroes.name_fancy.slime_gooldron","Slime acuto del calderone"
"heroes.name_fancy.slime_goorian","Melma barbarica"
"heroes.name_fancy.slime_gooric","Melma saggia del santuario"
"heroes.name_fancy.slime_gooze","Melma fuggita dal laboratorio alchemico"
"heroes.name_fancy.slime_gunktus","Palla bellica implacabile"
"heroes.name_fancy.slime_harubo","Slime di pattuglia"
"heroes.name_fancy.slime_justico","Slime protettore"
"heroes.name_fancy.slime_knightus","Slime del tempio cavalleresco"
"heroes.name_fancy.slime_labblub","Slime scienziato curioso"
"heroes.name_fancy.slime_magistine","Slime tessitore di incantesimi"
"heroes.name_fancy.slime_mucktus","Blob della foresta diabolica"
"heroes.name_fancy.slime_slaymire","Slime esecutore testardo"
"heroes.name_fancy.slime_slimgo","Slime furtivo furfante"
"heroes.name_fancy.slime_sliposi","Slime corriere viscido"
"heroes.name_fancy.slime_sludgus","Slime della taverna del canto"
"heroes.name_fancy.slime_verdigoo","Arbitra smeraldo melmosa"
"heroes.name_fancy.slime_zestique","Slime dolce emotiva"
"heroes.name_fancy.styx_amphitrite","Dea del mare"
"heroes.name_fancy.styx_arges","Ciclope mercante di pozioni"
"heroes.name_fancy.styx_brontes","Ciclope agricoltore"
"heroes.name_fancy.styx_charon","Traghettatore dello Stige"
"heroes.name_fancy.styx_dante","Avventuriero degli Inferi"
"heroes.name_fancy.styx_erebus","Dio delle tenebre profonde"
"heroes.name_fancy.styx_hypnos","Signore del sonno"
"heroes.name_fancy.styx_nemesis","Dea della punizione divina"
"heroes.name_fancy.styx_nyx","Madre Notte"
"heroes.name_fancy.styx_steropes","Ciclope artista"
"heroes.name_fancy.styx_thanatos","Dio della morte pacifica"
"heroes.name_fancy.styx_virgil","Guida degli Inferi"
"heroes.name_fancy.tales1_aqualith","Oplita elementale"
"heroes.name_fancy.tales1_aqualith_costume_purple","Colosso elementale"
"heroes.name_fancy.tales1_atlanteia","Nereide glaciale degli Abissi"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Sirena glaciale degli Abissi"
"heroes.name_fancy.tales1_bagreg","Uomo-pesce leader della schermaglia"
"heroes.name_fancy.tales1_bagreg_costume_scout","Pescatore esploratore"
"heroes.name_fancy.tales1_ceto","Dea primordiale dei mostri marini"
"heroes.name_fancy.tales1_ceto_costume_queen","Regina primordiale dei mostri marini"
"heroes.name_fancy.tales1_domiventus","L'essere adale eterno"
"heroes.name_fancy.tales1_domiventus_costume_supreme","L'essere adale supremo"
"heroes.name_fancy.tales1_ephyra","Principessa nereide"
"heroes.name_fancy.tales1_ephyra_costume_reef","Principessa della barriera"
"heroes.name_fancy.tales1_galapago","Saggio degli oceani"
"heroes.name_fancy.tales1_galapago_costume_quarry","Guardia saggia della cava"
"heroes.name_fancy.tales1_gelert","Cacciatore di tesori degli abissi"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Spazzino delle profondità"
"heroes.name_fancy.tales1_gestalt","Principe degli Abissi eterni"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Principe delle perle eterne"
"heroes.name_fancy.tales1_jaco","Mercante losco degli abissi"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Alchimista losco degli abissi"
"heroes.name_fancy.tales1_lasalle","Ussaro esuberante di Atlantide"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Fantino esuberante di Atlantide"
"heroes.name_fancy.tales1_medea","Regina naga degli Abissi"
"heroes.name_fancy.tales1_medea_costume_goddess","Dea Naga degli Abissi"
"heroes.name_fancy.tales1_mulgog","Uomo-pesce predone"
"heroes.name_fancy.tales1_mulgog_costume_bard","Uomo-pesce bardo"
"heroes.name_fancy.tales1_persa","Spirito d'acqua del saccheggio"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Medusa nobile"
"heroes.name_fancy.tales1_phorcys","Dio primordiale degli abissi"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Dio guerriero degli abissi"
"heroes.name_fancy.tales1_sharkhai","Grande traditore"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Macellaio seghettato"
"heroes.name_fancy.tales1_spartoi","Berserker naga"
"heroes.name_fancy.tales1_spartoi_costume_guard","Guardia Naga"
"heroes.name_fancy.tales1_thalassa","Dea primordiale degli oceani"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Dea primordiale dei cristalli"
"heroes.name_fancy.tales1_ultrox","Custode del tempio degli abissi"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Razziatore delle profondità"
"heroes.name_fancy.tales2_aethslegaur","Cercatore di fuoco nanico"
"heroes.name_fancy.tales2_andvari","Oracolo nanico"
"heroes.name_fancy.tales2_bragi","Combattente nanico"
"heroes.name_fancy.tales2_bryggvir","Cavaliere di capre nanico"
"heroes.name_fancy.tales2_dagr","Sciamano nanico della montagna"
"heroes.name_fancy.tales2_dain","Assediatrice nanica"
"heroes.name_fancy.tales2_dularfulr","Veggente dell'Oscurità nanica"
"heroes.name_fancy.tales2_fafnir","Signora nanica di Myrkheim"
"heroes.name_fancy.tales2_fimafeng","Survivalista nanica"
"heroes.name_fancy.tales2_fjalar","Scaldo dorato nanico"
"heroes.name_fancy.tales2_fjalar_costume_undead","Scaldo spettrale nanico"
"heroes.name_fancy.tales2_gandr","Guerriero del vento nanico"
"heroes.name_fancy.tales2_gandr_costume_guardian","Soldatessa regale nanica"
"heroes.name_fancy.tales2_helgi","Corridore della furia nanico"
"heroes.name_fancy.tales2_helgi_costume_combatant","Rifornitore nanico"
"heroes.name_fancy.tales2_hogne","Gran cavaliere nanico"
"heroes.name_fancy.tales2_hreidmarr","Re nanico della montagna"
"heroes.name_fancy.tales2_motsognir","Selvaggio di frontiera nanico"
"heroes.name_fancy.tales2_ott","Ingannatore allegro nanico"
"heroes.name_fancy.tales2_ott_costume_herbalist","Ingannatore maestro nanico"
"heroes.name_fancy.tales2_regin","Principe favoloso nanico"
"heroes.name_fancy.tales2_regin_costume_omen","Principe caduto nanico"
"heroes.name_fancy.tales2_snorri","Cantastorie nanico"
"heroes.name_fancy.tales2_svafa","Cacciatrice inarrestabile nanica"
"heroes.name_fancy.tales2_thrivaldi","Cercatore di ghiaccio nanico"
"heroes.name_fancy.trainer","Spada mercenaria"
"heroes.name_fancy.tribal_chief","Capotribù"
"heroes.name_fancy.tribal_chief_costume_conqueror","Vendicatore della tribù"
"heroes.name_fancy.tribal_chief_costume_cute","Capo dei cartoni"
"heroes.name_fancy.tribal_chief_costume_glass","Capo delle Vitrail"
"heroes.name_fancy.tribal_chief_costume_leopard","Capo dei leopardi"
"heroes.name_fancy.undead_captain_warrior","Signore della morte"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Cartone della morte"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Vitrail della morte"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Principe immortale"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Redivivo della morte"
"heroes.name_fancy.undead_female_warrior","Dama della morte"
"heroes.name_fancy.undead_female_warrior_costume_cute","Cartone senza morte"
"heroes.name_fancy.undead_female_warrior_costume_glass","Vitrail della morte"
"heroes.name_fancy.undead_female_warrior_costume_princess","Principessa immortale"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Principessa di morte"
"heroes.name_fancy.undead_horned_skeleton","Scheletro implacabile"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Cartone implacabile"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Scheletro giullare"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Vitrail implacabile"
"heroes.name_fancy.undead_running_skeleton","Scheletro solenne"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Cartone solenne"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Scheletro di vetro"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Scheletro romano"
"heroes.name_fancy.undead_screaming_zombie","Scheletro dinoccolato"
"heroes.name_fancy.underworld_champion","Guardia del corpo pretoriana"
"heroes.name_fancy.underworld_champion_costume_champion","Gladiatore pretoriano"
"heroes.name_fancy.underworld_champion_costume_cute","Cartone pretoriano"
"heroes.name_fancy.underworld_champion_costume_glass","Vitrail pretoriano"
