"specials.name.a_cozy_break","Istirahat yang Nyaman"
"specials.name.resurrection_of_the_fallen","Kebangkitan yang Jatuh"
"specials.name.resurrection_of_the_fallen_kemeny","Kebangkitan yang Jatuh"
"specials.name.revengeful_smite","Pukulan Dendam"
"specials.name.reverse_recovery","Pemulihan Terbalik"
"specials.name.reversed_lifeforce","Tenaga Hidup Terbalik"
"specials.name.revitalizing_melody","Melodi Revitalisasi"
"specials.name.revitalizing_orb","Bola Revitalisasi"
"specials.name.revitalizing_sludge","Lumpur Revitalisasi"
"specials.name.reviving_touch","Sentuhan Membangkitkan"
"specials.name.rhythm_of_havoc","Ritme Kekacauan"
"specials.name.riches_to_poor","Kaya jadi Miskin"
"specials.name.ricochet_bolt","Petir Memantul"
"specials.name.riddle_of_the_moon","Teka-Teki Bulan"
"specials.name.riddle_of_the_sun","Teka-Teki Matahari"
"specials.name.riders_arrow","Panah Penunggang"
"specials.name.riders_lance","Tombak Penunggang"
"specials.name.rift_blade","Retaknya Pedang"
"specials.name.righteous_pulverizer","Pelumat Kebenaran"
"specials.name.righteous_revenge","Balas Dendam Kebenaran"
"specials.name.righteous_strike","Serangan Kebenaran"
"specials.name.ring_around_the_rosie","Lingkaran Seputar Rosie"
"specials.name.rite_of_cuteness","Toon Penghakiman"
"specials.name.rite_of_glass","Penghakiman Kaca"
"specials.name.rite_of_judgement","Ritus Penghakiman"
"specials.name.rites_of_inner_knowledge","Ritus Pengetahuan Dalam"
"specials.name.ritual_of_judgement","Ritual Penghakiman"
"specials.name.ritual_of_the_deep","Ritual dari Kedalaman"
"specials.name.ritual_of_the_elements","Ritual Elemen"
"specials.name.roadside_surprise","Kejutan Pinggir Jalan"
"specials.name.roar_of_the_panther","Raungan Panter"
"specials.name.rockfall_bash","Tamparan Batu Jatuh"
"specials.name.rod_of_freedom","Tongkat Kebebasan"
"specials.name.rod_of_torment","Tongkat Siksaan"
"specials.name.roman_cleave","Serangan Sparta"
"specials.name.roots_of_wrath","Akar Amarah"
"specials.name.roots_of_yggdrasil","Akar Yggdrasil"
"specials.name.rose_bouquet_blast","Ledakan Buket Mawar"
"specials.name.rotting_wound_dragon_pve","Luka Membusuk"
"specials.name.rottman","Maniak Tikus Gila"
"specials.name.rough_and_tumble","Kasar dan Jatuh"
"specials.name.royal_assault","Serangan Ningrat"
"specials.name.royal_blades","Pedang Ningrat"
"specials.name.royal_meatball_buffet","Bufet Bakso Kerajaan"
"specials.name.royal_poisoner","Peracun Kerajaan"
"specials.name.ruby_rush","Berburu Rubi"
"specials.name.rude_awakening","Kebangkitan Kasar"
"specials.name.ruler_of_seas","Penguasa Lautan"
"specials.name.ruler_of_seas_deadly","Penguasa Lautan"
"specials.name.rural_chop","Pemotong Desa"
"specials.name.rush_of_flame","Demam Api"
"specials.name.rushed_melody","Melodi Gesa"
"specials.name.rusty_blade","Pedang Berkarat"
"specials.name.ruthless_gambit","Tumbal Kejam"
"specials.name.sable_slasher","Pemotong Musang"
"specials.name.sacrament_of_salvation","Sakramen Penebusan"
"specials.name.sacred_horns","Tanduk Suci"
"specials.name.sacred_reflection","Pantulan Suci"
"specials.name.saga_of_deliverance","Saga Pembebasan"
"specials.name.saga_of_protection","Saga Perlindungan"
"specials.name.salty_splash_dragon_pve","Percikan Asin"
"specials.name.sanction_for_heresy","Sanksi untuk Bidah"
"specials.name.sanctuary_of_light","Suaka Cahaya"
"specials.name.sand_cyclone","Topan Pasir"
"specials.name.sand_cyclone_pve","Topan Pasir"
"specials.name.sand_wave_rana","Berselancar"
"specials.name.sand_wave_yunan","Menyapu Bersih"
"specials.name.sandstorm_strike","Serangan Badai Pasir"
"specials.name.sandworm_strike","Serangan Cacing Pasir"
"specials.name.sapphire_eyes","Mata Safir"
"specials.name.saturated_suffering","Penderitaan yang Jenuh"
"specials.name.savage_gobble_blue","Pelahap Biadab"
"specials.name.savage_gobble_green","Pelahap Biadab"
"specials.name.savage_gobble_purple","Pelahap Biadab"
"specials.name.savage_gobble_red","Pelahap Biadab"
"specials.name.savage_gobble_yellow","Pelahap Biadab"
"specials.name.savage_talons","Cakar Biadab"
"specials.name.scale_of_the_newt","Sisik Kadal Air"
"specials.name.scaly_skin","Kulit Bersisik"
"specials.name.scar_of_the_depths","Parut Palung"
"specials.name.scar_of_the_depths_deadly","Parut Palung"
"specials.name.scarab_barrage","Rentetan Scarab"
"specials.name.scarab_blitz","Bombardir Scarab"
"specials.name.scarab_bombardment","Pengeboman Scarab"
"specials.name.scarab_rush","Berebut Scarab"
"specials.name.scarab_throw","Lemparan Scarab"
"specials.name.scavenging_dash","Lari Mengeruk"
"specials.name.scepter_of_bundelkhand","Tongkat Bundelkhand"
"specials.name.scepter_of_constellations","Tongkat Konstelasi"
"specials.name.scion_sword","Pedang Keturunan"
"specials.name.scion_sword_costume_white_raven","Bilah Keturunan"
"specials.name.scorching_orb","Bola Menghanguskan"
"specials.name.scoundrel_swing","Ayunan Cecunguk"
"specials.name.scourge_of_joy","Momok Sukacita"
"specials.name.scourge_of_the_strong","Momok si Kuat"
"specials.name.scouts_spyglass","Keker Pengintai"
"specials.name.scroll_of_equations","Gulungan Persamaan"
"specials.name.scroll_of_fellowship","Gulungan Persekutuan"
"specials.name.scroll_of_navigation","Gulungan Navigasi"
"specials.name.scroll_of_new_beginnings","Gulungan Awal Baru"
"specials.name.scroll_of_spite","Gulungan Dendam"
"specials.name.scythe_of_sorceries","Sabit Sihir"
"specials.name.seabed_pirouette","Putaran Dasar Laut"
"specials.name.seabed_sissonne","Sissonne Dasar Laut"
"specials.name.seal_of_ares","Segel Ares"
"specials.name.seal_of_fire","Segel Api"
"specials.name.searing_frost","Beku Penghangus"
"specials.name.searing_strike","Pukulan Penghangus"
"specials.name.seastar_burst","Ledakan Bintang Laut"
"specials.name.seaweed_flail","Pukulan Rumput Laut"
"specials.name.second_skin","Kulit Kedua"
"specials.name.seeking_shots","Tembakan Pencari"
"specials.name.self_preservation","Pelestarian Diri"
"specials.name.sense_of_wonder","Rasa Keajaiban"
"specials.name.serenade_of_sedition","Serenade Penghasutan"
"specials.name.servants_aid","Bantuan Pelayan"
"specials.name.set_phase2","Kegelapan Dilepaskan"
"specials.name.set_phase3","Upaya Terakhir"
"specials.name.severing_strike","Pukulan Pemutus"
"specials.name.sewing_back_together","Menjahit Balik Jadi Satu"
"specials.name.shackles_of_the_sea","Belenggu Laut"
"specials.name.shade_cloak","Jubah Naungan"
"specials.name.shadow_link","Rantai Baja"
"specials.name.shadow_lunge","Terjangan Bayangan"
"specials.name.shadow_monster_form","Sabetan Eldritch"
"specials.name.shadow_sidestep","Bayangan Menghindar"
"specials.name.shadow_strike","Serangan Bayangan"
"specials.name.shadow_sweep","Sapuan Bayangan"
"specials.name.shady_concerto","Konserto Gelap"
"specials.name.shapeshifters_deception","Penipuan Pengubah Bentuk"
"specials.name.shards_of_sun","Serpihan Surya"
"specials.name.shared_visage","Wajah Bersama"
"specials.name.shark_bite","Gigitan Hiu"
"specials.name.sharp_cut","Irisan Tajam"
"specials.name.sharp_knife","Pisau Tajam"
"specials.name.sharp_stingers","Penyengat Tajam"
"specials.name.shatter_psyche","Hancurkan Jiwa"
"specials.name.shatter_soul","Jiwa Hancur"
"specials.name.shattering_shriek","Pekik Menghancurkan"
"specials.name.shattering_warcry","Pekik Perang Memekakkan"
"specials.name.shed_skin","Kulit Terkelupas"
"specials.name.shieldmaidens_protection","Perlindungan Gadis Perisai"
"specials.name.shifting_mindless_attack","Serangan Awur Berubah"
"specials.name.shimmering_shield","Perisai Berkilau"
"specials.name.shock_bolt","Kejut Listrik"
"specials.name.shock_ultimatum","Ultimatum Kejut"
"specials.name.shocking_news","Berita Mengejutkan"
"specials.name.shrill_announcement","Pengumuman Lantang"
"specials.name.shy_jab_dragon_pve","Tusukan Malu"
"specials.name.sickening_glow","Cahaya yang Memuakkan"
"specials.name.sickle_of_eradication","Sabit Pembasmi"
"specials.name.sickle_of_wu","Sabit Wu"
"specials.name.sickle_trouble","Sabit Masalah"
"specials.name.sideswipe","Sapuan Samping"
"specials.name.sigil_of_the_sun","Sigil Surya"
"specials.name.silencing_stick_up","Tongkat Pembungkam"
"specials.name.silent_takedown","Pelenyapan Diam-diam"
"specials.name.sinister_enlace","Semak Berduri Seram"
"specials.name.sinister_enlace_deadly","Semak Berduri Seram"
"specials.name.sinister_siphon","Sifon Seram"
"specials.name.sir_agony","Pedang Menguras"
"specials.name.sir_pain","Sabit Pendendam"
"specials.name.situational_awareness","Kesadaran Situasi"
"specials.name.sky_attack","Serangan Langit"
"specials.name.skyfall_crumble","Langit Jatuh Runtuh"
"specials.name.slash_and_support","Sabet dan Sokong"
"specials.name.slash_of_four_blades","Sabetan Empat Pedang"
"specials.name.slash_of_glass_blades","Sabetan Pedang Kaca"
"specials.name.slash_of_seven_blades","Gorokan Tujuh Pedang"
"specials.name.slash_of_seven_daggers","Sabetan Tujuh Golok"
"specials.name.slash_of_seven_toons","Sabetan Tujuh Toon"
"specials.name.slash_of_the_seven_stilettos","Sabetan Tujuh Stileto"
"specials.name.slaying_stake","Tombak Pembunuh"
"specials.name.sledge_bash","Tamparan Kereta Luncur"
"specials.name.slice_and_dice","Iris dan Potong"
"specials.name.slice_and_dice_pve","Iris dan Potong"
"specials.name.slime_coated_sword","Pedang Berlapis Lendir"
"specials.name.slime_serving","Penyajian Lendir"
"specials.name.slime_slap","Tamparan Lendir"
"specials.name.slimy_balls","Bola Berlendir"
"specials.name.slingja_attack_chingiriko","Serangan Sling-ja"
"specials.name.slumber_spores","Spora Tidur"
"specials.name.slumbering_beatdown","Pemukulan Menidurkan"
"specials.name.smoldering_tear_dragon_pve","Air Mata Membara"
"specials.name.smooth_treatment","Perawatan Halus"
"specials.name.snapping_jaws","Rahang Terkatup"
"specials.name.snowlit_slices","Irisan Cahaya Salju"
"specials.name.soaring_blast","Ledakan Melonjak"
"specials.name.sock_and_block","Hantam dan Tangkis"
"specials.name.solar_beam","Sinar Surya"
"specials.name.solar_strike","Serangan Matahari"
"specials.name.soldiers_curse","Hembusan Pasir"
"specials.name.solid_frozen_fist","Tinju Beku Padat"
"specials.name.song_of_calamity","Lagu Bencana"
"specials.name.song_of_hoot_and_holler","Lagu Keluhan"
"specials.name.song_of_regression","Ratapan Regresi"
"specials.name.song_of_the_morass","Lagu Rawa"
"specials.name.song_of_the_skies","Lagu Langit"
"specials.name.songs_of_the_cherry_tree","Lagu Pohon Ceri"
"specials.name.sonic_infusion_arrow","Panah Infusi Sonik"
"specials.name.sonic_roar","Raungan Sonik"
"specials.name.sonic_wall","Dinding Sonik"
"specials.name.sonorous_spear","Tombak Nyaring"
"specials.name.soothing_melody","Melodi Menenangkan"
"specials.name.soothing_song","Lagu Menenangkan"
"specials.name.soul_cage","Panggilan Jerangkong"
"specials.name.soul_guardian","Penjaga Jiwa"
"specials.name.sour_berry_blast_dragon_pve","Ledakan Beri Asam"
"specials.name.sparking_star_slash","Sabetan Bintang Percik"
"specials.name.sparrow_fury","Amarah Pipit"
"specials.name.spartan_cleave","Tebasan Sparta"
"specials.name.spartan_slash","Sabetan Sparta"
"specials.name.spear_of_blood_pact","Tombak Pakta Darah"
"specials.name.spear_of_loyalty","Tombak Kesetiaan"
"specials.name.spear_of_shu","Tombak Shu"
"specials.name.spearwand_gale","Angin Tombak"
"specials.name.spectacular_bite","Gigitan Spektakuler"
"specials.name.spectral_visions","Visi Spektral"
"specials.name.spectral_wings","Sayap Spektral"
"specials.name.spectres_flail","Cambuk Momok"
"specials.name.spell_lock","Kunci Mantra"
"specials.name.spicy_berry_blast_dragon_pve","Ledakan Beri Pedas"
"specials.name.spike_burst","Ledakan Runcing"
"specials.name.spilled_decoctions","Ramuan Tumpah"
"specials.name.spirit_arrow","Panah Roh"
"specials.name.spirit_drain","Menguras Roh"
"specials.name.spirit_of_spring","Roh Musim Semi"
"specials.name.spirit_of_winter","Roh Musim Dingin"
"specials.name.spirit_rally","Kerahan Roh"
"specials.name.spirits_of_the_mountain","Roh Pegunungan"
"specials.name.spiritual_unity","Jamuan Jaya"
"specials.name.spiritual_wire","Kawat Spiritual"
"specials.name.splintering_shot","Tembakan Pecah"
"specials.name.splintering_shot2","Tembakan Pecah"
"specials.name.spotting_trouble","Masalah Berbintik"
"specials.name.spreading_gossip","Gosip Menyebar"
"specials.name.spreading_shadow","Bayangan Menyebar"
"specials.name.spreading_traps","Jebakan Menyebar"
"specials.name.sprite_ballad","Balada Sprite"
"specials.name.sprite_hymn","Himne Sprite"
"specials.name.squeak_of_protection","Cicitan Perlindungan"
"specials.name.squire_strike","Serangan Pengawal"
"specials.name.squires_squirrel","Tupai Pengawal"
"specials.name.squish_squash_achillea","Remas Lumat"
"specials.name.stab_of_four_blades","Tikaman Empat Pedang"
"specials.name.staff_of_mana_control","Tongkat Kontrol Mana"
"specials.name.staff_of_mana_control_pve","Tongkat Kontrol Mana"
"specials.name.staff_of_the_seastar","Tongkat Bintang Laut"
"specials.name.staggering_blows","Pukulan Mengejutkan"
"specials.name.stalling_spell","Sihir Penahan"
"specials.name.stalling_strike","Serangan Menghentikan"
"specials.name.stalwart_rally","Reli Pendukung"
"specials.name.stalwart_to_the_end","Setia sampai Akhir"
"specials.name.standing_fortress","Benteng Berdiri"
"specials.name.standing_fortress3","Benteng Berdiri"
"specials.name.star_construct","Konstruksi Bintang"
"specials.name.star_trail","Jejak Bintang"
"specials.name.starplay","Permainan Bintang"
"specials.name.stately_retribution","Retribusi Besar"
"specials.name.steel_rush","Demam Baja"
"specials.name.stellar_beam","Sinar Bintang"
"specials.name.sticky_express","Ekspres Lengket"
"specials.name.sticky_spear","Tombak Lengket"
"specials.name.stiletto_cyclone","Topan Belati"
"specials.name.stolen_tarts","Tar Curian"
"specials.name.stomp","Injak"
"specials.name.stone_skin","Dinamika Roh"
"specials.name.storm_of_blades","Badai Pedang"
"specials.name.strange_incense","Dupa Aneh"
"specials.name.strategic_slash","Irisan Ornitologis"
"specials.name.strength_of_the_accursed","Kekuatan si Terkutuk"
"specials.name.strength_of_the_benemoth","Kekuatan Behemoth"
"specials.name.strength_of_the_volcano","Kekuatan Gunung Berapi"
"specials.name.strengthening_draught","Angin Pemerkuat"
"specials.name.strengthening_smash","Pukulan Pemerkuat"
"specials.name.strict_standards","Standar Ketat"
"specials.name.strike_and_support","Serangan dan Dukungan"
"specials.name.strike_from_the_shadows","Serangan dari Balik Bayangan"
"specials.name.strike_from_the_skies","Serangan dari Langit"
"specials.name.strike_of_a_thousand_howls","Serangan Seribu Lolongan"
"specials.name.strike_of_the_ancients","Serangan Kuno"
"specials.name.strike_of_the_cobra","Serangan Kobra"
"specials.name.strike_of_the_monolith","Serangan Monolit"
"specials.name.strike_of_the_toons","Serangan Toon"
"specials.name.strike_of_the_underworld","Serangan Dunia Bawah"
"specials.name.struck_by_thunder","Tersambar Petir"
"specials.name.stubby_reap","Penuai Gemuk"
"specials.name.stunning_blow","Pukulan Melumpuhkan"
"specials.name.stunning_spear","Tombak Menakjubkan"
"specials.name.stunning_steel","Baja Pelumpuh"
"specials.name.stunning_strike","Serangan Pelumpuh"
"specials.name.stupendous_break_in","Pembobolan Luar Biasa"
"specials.name.sturdy_riposte","Balasan Kuat"
"specials.name.subduing_strike","Serangan Menaklukkan"
"specials.name.sublime_pastry","Pastri Paling Ikan"
"specials.name.sudden_attack","Serangan Tiba-tiba"
"specials.name.suffocating_smoke","Asap Menyesakkan"
"specials.name.suffocating_smoke2","Asap Menyesakkan"
"specials.name.suffocating_smoke3","Asap Menyesakkan"
"specials.name.sugar_rush","Gila Gula"
"specials.name.summer_carol","Nyanyian Musim Panas"
"specials.name.summers_end","Akhir Beku"
"specials.name.summon_ballerina_fiend","Panggil Balerina"
"specials.name.summon_celestial_guardians","Panggil Penjaga Surgawi"
"specials.name.summon_rock_golems","Panggil Golem Batu"
"specials.name.summon_sand_golems","Panggil Golem Pasir"
"specials.name.summon_temple_guardians","Panggil Penjaga Kuil"
"specials.name.sunken_abyss","Jurang Tenggelam"
"specials.name.sunken_magma_cube","Kubus Magma Tenggelam"
"specials.name.sunscreen_blast","Ledakan Tabir Surya"
"specials.name.sunstone_glare_dragon_pve","Silau Batu Surya"
"specials.name.super_duper_spray","Semprotan Super Duper"
"specials.name.super_porridge","Bubur Super"
"specials.name.superb_sake","Sake Super"
"specials.name.supercharged_fireball_dragon_pve","Bola Api Terisi Super"
"specials.name.supernova","Supernova"
"specials.name.supernova_boss_phase1","Supernova"
"specials.name.supernova_boss_phase2","Supernova Aeternus"
"specials.name.suppressing_ki","Ki Penindas"
"specials.name.sure_fire_combustion","Pembakaran Api Pasti"
"specials.name.surprise_goo","Goo Kejutan!"
"specials.name.suspicious_stew","Semur Mencurigakan"
"specials.name.swamp_skin","Kulit Rawa"
"specials.name.swashbuckling_stab","Tusukan Pendekar Pedang"
"specials.name.sweet_berry_blast_dragon_pve","Ledakan Beri Manis"
"specials.name.sweet_dreams","Mimpi Indah"
"specials.name.swift_little_friends","Iblis Kecil Cepat"
"specials.name.swift_maneuvers","Manuver Cepat"
"specials.name.swift_stingers","Penyengat Cepat"
"specials.name.swooping_support","Tukikan Dukungan"
"specials.name.swooping_talon","Cakar Menukik"
"specials.name.sword_barricade","Barikade Pedang"
"specials.name.sword_dance","Tarian Pedang"
"specials.name.sword_of_swan_song","Pedang Nyanyian Angsa"
"specials.name.sword_of_wei","Pedang Wei"
"specials.name.sylvan_blessings","Berkat Sylvan"
"specials.name.symphonic_pulverizer","Pelumat Simfonis"
"specials.name.tackle","Menekel"
"specials.name.tactical_cut","Irisan Taktis"
"specials.name.tail_bash","Tamparan Ekor"
"specials.name.tail_slam","Bantingan Ekor"
"specials.name.tail_slam_deadly","Bantingan Ekor"
"specials.name.tail_sting","Sengatan Ekor"
"specials.name.tail_sting_deadly","Sengatan Ekor"
"specials.name.tainted_axe","Kapak Bernoda"
"specials.name.tambourine_solo","Solo Tamborin"
"specials.name.tangy_berry_blast_dragon_pve","Ledakan Beri Tajam"
"specials.name.tantrum_of_forest","Amarah Toon"
"specials.name.teeth_of_the_river","Gigi Sungai"
"specials.name.tempered_blade","Bilah Kokoh"
"specials.name.tentacle_jab","Tusukan Tentakel"
"specials.name.tentacle_slash","Sabetan Tentakel"
"specials.name.terrifying_screech","Jeritan yang Mengerikan"
"specials.name.terror_shriek","Jeritan Teror"
"specials.name.testudo_rock","Karang Testudo"
"specials.name.testudo_roll","Gulungan Penyu"
"specials.name.testudo_roll_deadly","Gulungan Penyu"
"specials.name.the_call_to_hibernate","Panggilan Berhibernasi"
"specials.name.the_dukes_investigation","Investigasi Duke"
"specials.name.the_eagles_blessing","Berkat Elang"
"specials.name.the_mighty_crescendo","Kresendo Sakti"
"specials.name.the_perfect_throw","Lemparan Sempurna"
"specials.name.the_queens_radiance","Cahaya Ratu"
"specials.name.the_queens_speech","Pidato Ratu"
"specials.name.the_two_sides_of_the_moon","Dua Sisi Bulan"
"specials.name.the_undercover_investigation","Investigasi Rahasia"
"specials.name.thieving_shot","Tembakan Pencuri"
"specials.name.thorned_slam_dunk","Slam Dunk Berduri"
"specials.name.thousand_cuts","Seribu Irisan"
"specials.name.thousand_palm_strikes","Serangan Seribu Telapak Tangan"
"specials.name.three_bandit_mice","Tiga Tikus Bandit"
"specials.name.three_blind_mice","Tiga Tikus Buta"
"specials.name.three_little_rams","Tiga Domba Jantan Kecil"
"specials.name.thresher_worms","Cacing Penebah"
"specials.name.thrilling_clash","Pertarungan Seru"
"specials.name.throwing_daggers","Belati Lempar"
"specials.name.throwing_stars","Bintang Lempar"
"specials.name.thunder_ultimatum","Ultimatum Petir"
"specials.name.thunderbolt","Halilintar"
"specials.name.thundering_strike","Sambaran Petir"
"specials.name.thunderstorm","Badai Petir"
"specials.name.thunderstrike","Ultimatum Petir"
"specials.name.tidal_force","Kekuatan Pasang"
"specials.name.tidal_vortex","Pusaran Pasang"
"specials.name.tidal_wave","Gelombang Mematikan"
"specials.name.tidal_waves","Gelombang Pasang"
"specials.name.tidy_up","Rapikan!"
"specials.name.time_rewind","Mundur Waktu"
"specials.name.timeless_timepiece","Arloji Abadi"
"specials.name.titanbone_chain_slash","Sabetan Rantai Tulang Titan"
"specials.name.titanium_antler_attack","Serangan Tanduk Titanium"
"specials.name.titantooth_blade","Pedang Gigi Titan"
"specials.name.to_the_rescue","Akan Menyelamatkan!"
"specials.name.tokri_of_resources","Tokri Sumber Daya"
"specials.name.tome_of_the_stag","Kitab Rusa"
"specials.name.toon_annihilation","Penghancuran Toon"
"specials.name.toon_athenas_bow","Busur Athena Toon"
"specials.name.toon_attack","Serangan Toon"
"specials.name.toon_barrage","Rentetan Toon"
"specials.name.toon_bash","Tamparan Toon"
"specials.name.toon_bite","Gigitan Toon"
"specials.name.toon_blast","Ledakan Toon"
"specials.name.toon_brew","Pembuatan Bir Toon"
"specials.name.toon_chop","Potongan Toon"
"specials.name.toon_cleave","Tebasan Toon"
"specials.name.toon_counter","Toon dan Balas"
"specials.name.toon_cut","Irisan Toon"
"specials.name.toon_finisher","Penyelesai Toon"
"specials.name.toon_fury","Amarah Toon"
"specials.name.toon_hit","Pukulan Toon"
"specials.name.toon_jolt","Sentakan Toon"
"specials.name.toon_lament","Ratapan Toon"
"specials.name.toon_link","Dinamika Toon"
"specials.name.toon_mirror","Cermin Toon"
"specials.name.toon_mist","Kabut Toon"
"specials.name.toon_of_the_depths","Toon Kedalaman"
"specials.name.toon_of_the_seas","Toon Lautan"
"specials.name.toon_prowess","Kecakapan Toon"
"specials.name.toon_riposte","Balasan Toon"
"specials.name.toon_shot","Tembakan Toon"
"specials.name.toon_slam","Bantingan Toon"
"specials.name.toon_slash","Sabetan Toon"
"specials.name.toon_stab","Tusukan Toon"
"specials.name.toon_stars","Bintang Toon"
"specials.name.toon_storm","Badai Toon"
"specials.name.toon_strike","Serangan Toon"
"specials.name.toon_traps","Jebakan Toon"
"specials.name.toon_ultimatum","Ultimatum Toon"
"specials.name.toon_vines","Sulur Toon"
"specials.name.toon_wave","Gelombang Toon"
"specials.name.toon_waza","Toon-Waza"
"specials.name.toonball","Bola Toon"
"specials.name.tooncry","Jeritan Toon"
"specials.name.toonpower_pulverizer","Semprotan Kekuatan Toon"
"specials.name.toons_luck","Keberuntungan Toon"
"specials.name.toons_order","Perintah Toon"
"specials.name.toontastic_feast","Pesta Toontastis"
"specials.name.toontastic_fog","Kabut Toontastis"
"specials.name.toontastic_link","Dinamika Toontastis"
"specials.name.toontastic_protection","Perlindungan Toontastis"
"specials.name.toontastic_pulverizer","Pelumat Toontastis"
"specials.name.toontastic_riposte","Balasan Toontastis"
"specials.name.toontastic_smash","Pukulan Toontastis"
"specials.name.toontastic_strike","Serbuan Toontastis"
"specials.name.total_beatdown","Menghajar Total"
"specials.name.tough_love","Meriam Cinta"
"specials.name.towers_curse","Bohorok Pasir"
"specials.name.toxic_berry_blast","Ledakan Beri Beracun"
"specials.name.toxic_bile","Empedu Beracun"
"specials.name.toxic_flames","Kobaran Beracun"
"specials.name.toxic_fumes","Asap Beracun"
"specials.name.toxic_gas_cloud","Awan Gas Beracun"
"specials.name.toxic_headbutt","Serudukan Beracun"
"specials.name.toxic_incense","Dupa Beracun"
"specials.name.toxic_spit","Ludah Beracun"
"specials.name.toxic_stinger","Penyengat Beracun"
"specials.name.toxic_traps","Jebakan Beracun"
"specials.name.toxic_tricks","Tipuan Beracun"
"specials.name.toxicadendra","Bertumbuh Dipercepat"
"specials.name.trainer_blast","Ledakan Pelatih"
"specials.name.trainer_slash","Gempuran Pelatih"
"specials.name.tranquil_mist","Kabut Senyap"
"specials.name.transcendental_charge","Serangan Transendental"
"specials.name.transcendental_frame","Bingkai Transendental"
"specials.name.transfigure","Berubah Bentuk"
"specials.name.travelers_snack","Kudapan Musafir"
"specials.name.treasure_ale","Ale Harta Karun"
"specials.name.trial_of_darkness","Cobaan Kegelapan"
"specials.name.trial_of_fauna","Cobaan Fauna"
"specials.name.trial_of_fire","Cobaan Api"
"specials.name.trial_of_flames","Cobaan Kobaran Api"
"specials.name.trial_of_flora","Cobaan Flora"
"specials.name.trial_of_frost","Cobaan Beku"
"specials.name.trial_of_ice","Cobaan Es"
"specials.name.trial_of_nature","Uji Alam"
"specials.name.trial_of_pain","Cobaan Kesakitan"
"specials.name.trial_of_the_moon","Cobaan Bulan"
"specials.name.trial_of_the_sun","Cobaan Matahari"
"specials.name.trial_of_the_waters","Ujian Perairan"
"specials.name.tribal_rage","Amarah Kesukuan"
"specials.name.tribal_rage_pve","Amarah Kesukuan"
"specials.name.trick_of_the_trade","Trik Keahlian"
"specials.name.trickster_grenades","Granat Pengecoh"
"specials.name.tricksters_buff","Botol"
"specials.name.tricksters_damage","Pedang"
"specials.name.tricksters_exchange","Tumbal Pengecoh"
"specials.name.tricksters_lullaby","Nyanyian Pengecoh"
"specials.name.tricksters_malice","Kedengkian Pengecoh"
"specials.name.tricksters_mischief","Kenakalan Pengecoh"
"specials.name.tricksters_negative","Beku"
"specials.name.tricksters_transformation","Transformasi Pengecoh"
"specials.name.triple_stab","Tusuk Tripel"
"specials.name.triumph_of_strategy","Kemenangan Strategi"
"specials.name.tropical_ambush","Sergapan Tropis"
"specials.name.tumbling_dragon","Naga Tumbang"
"specials.name.tumbling_dragon2","Naga Tumbang"
"specials.name.turquoise_falcon","Elang Pirus"
"specials.name.twilight_of_crimes","Senja Kejahatan"
"specials.name.twilight_of_ruin","Senja Kehancuran"
"specials.name.twilight_of_sorrow","Senja Nestapa"
"specials.name.twilight_star_strike","Serangan Bintang Senja"
"specials.name.twilight_tricks","Trik Senja"
"specials.name.twist_of_fate","Perputaran Nasib"
"specials.name.twist_of_fate_minor","Takdir Berbalik"
"specials.name.twostep_swing","Ayun Dua Langkah"
"specials.name.ultimate_giftsack","Karung Hadiah Ultima"
"specials.name.unbreakable_brawler","Petarung Nyali Baja"
"specials.name.unbroken_assault","Serangan Tak Terputus"
"specials.name.unchained_jaws","Rahang Bebas Rantai"
"specials.name.unchained_jaws_ultimate_boss","Rahang Bebas Rantai"
"specials.name.undead_obliteration","Pemusnah Zombi"
"specials.name.undead_penance_poetic","Penebusan Dosa Zombi"
"specials.name.undead_rage","Panah Sihir"
"specials.name.undead_razer","Peruntuh Zombi"
"specials.name.under_the_surf","Di Bawah Ombak"
"specials.name.underwater_magma_cube","Kubus Magma Bawah Air"
"specials.name.underwater_riddle","Teka-Teki Bawah Air"
"specials.name.undying_heads","Kepala Abadi"
"specials.name.undying_heads_ultimate_boss","Kepala Hidra"
"specials.name.undying_incantation","Jampi Abadi"
"specials.name.undying_summon","Panggilan Abadi"
"specials.name.unerring_course","Jalur yang Tepat"
"specials.name.unfeeling_assailing","Pembunuhan Tanpa Perasaan"
"specials.name.unhallowed_spirits","Roh Tidak Kudus"
"specials.name.unholy_light","Cahaya Cemar"
"specials.name.unholy_power","Kekuatan Cemar"
"specials.name.unholy_rain","Hujan Cemar"
"specials.name.unite_and_oppose","Lawan dan Gulingkan"
"specials.name.unnatural_pact","Pelahap Vitalitas"
"specials.name.unrelenting_hunter","Pemburu Tanpa Henti"
"specials.name.unrelenting_riposte","Balasan Tanpa Henti"
"specials.name.unstoppable_charge","Serbuan Tak Terhentikan"
"specials.name.unstoppable_growl","Gerundel Tak Terhentikan"
"specials.name.unwavering_devotion","Pengabdian Tak Tergoyahkan"
"specials.name.unwavering_devotion_pve","Pengabdian Tak Tergoyahkan"
"specials.name.unwavering_focus","Fokus Teguh"
"specials.name.unyielding_protector","Pelindung Pantang Menyerah"
"specials.name.unyielding_sword","Pedang Pantang Menyerah"
"specials.name.ursine_protection","Perlindungan Ursine"
"specials.name.valiant_lunge","Terjang Perkasa"
