"heroes.name_fancy.astral_cosmicspeaker","Astronom Elf Astral"
"heroes.name_fancy.pirate_anne","Tokoh Utama Corellia"
"heroes.name_fancy.pirate_boatswain","Kepala Kelasi Corellia"
"heroes.name_fancy.pirate_cabin_boy","Anak Kabin Corellia"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Bocah Kertas di Pantai"
"heroes.name_fancy.pirate_commodore_finley","Komodor Corellia"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Komodor Suram"
"heroes.name_fancy.pirate_dread_captain","Kapten Seram Corellia"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Kapten Busuk Corellia"
"heroes.name_fancy.pirate_finley","Nakhoda Pendendam Corellia"
"heroes.name_fancy.pirate_first_mate","Wakil Kapten Corellia"
"heroes.name_fancy.pirate_lady","Lady Corellia"
"heroes.name_fancy.pirate_lady_costume_queen","Ratu Pemberontak"
"heroes.name_fancy.pirate_marie_therese","Ratu Voodoo Corellia"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Pendeta Wanita Pencuri Jiwa"
"heroes.name_fancy.pirate_sally","Maskot Corellia"
"heroes.name_fancy.pirate_swashbuckler","Kapten Perompak Corellia"
"heroes.name_fancy.pirate_vodnik","Nelayan Corellia"
"heroes.name_fancy.rabbit_blue","Penjaga Springvale"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Pemecah Keretakan"
"heroes.name_fancy.rabbit_green","Jawara Springvale"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Pemburu Telur Springvale"
"heroes.name_fancy.rabbit_red","Tuan Tanah Springvale"
"heroes.name_fancy.royal_female_knight","Jawara Kepala Batu"
"heroes.name_fancy.royal_female_knight_costume_cute","Jawara Toon"
"heroes.name_fancy.royal_female_knight_costume_glass","Jawara Kaca"
"heroes.name_fancy.royal_female_knight_costume_prospector","Prospektor Sengaja"
"heroes.name_fancy.royal_female_knight_costume_winter","Jawara Viking"
"heroes.name_fancy.royal_knight","Kesatria Pelindung"
"heroes.name_fancy.royal_knight_commander","Penguasa Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_cute","Toon Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_glass","Kaca Patri Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Komandan Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_king","Raja Frostmorrow"
"heroes.name_fancy.royal_knight_costume_blacksmith","Pandai Besi Pemberani"
"heroes.name_fancy.royal_knight_costume_cute","Kesatria Toon"
"heroes.name_fancy.royal_knight_costume_glass","Kesatria Kaca"
"heroes.name_fancy.royal_pikeman","Penjaga Serius"
"heroes.name_fancy.s2_ariel","Putri Atlantis"
"heroes.name_fancy.s2_ariel_costume_cute","Putri Atlantis Toon"
"heroes.name_fancy.s2_ariel_costume_enchanter","Pemikat dari Atlantis"
"heroes.name_fancy.s2_atlantean_robot","Intel Atlantis"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Intel Atlantis Toon"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Penjaga Atlantis"
"heroes.name_fancy.s2_chameleon_bruiser","Pejuang Bunglon"
"heroes.name_fancy.s2_chameleon_chief","Jenderal Bunglon"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Juara Kelas Berat Dunia"
"heroes.name_fancy.s2_chameleon_mage","Syaman Bunglon"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Alkemis Bunglon"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Syaman Bunglon Toon"
"heroes.name_fancy.s2_croc_man","Preman Paya"
"heroes.name_fancy.s2_cursed_samurai","Panglima Laknat"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Samurai Kumbang"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Lord Terkutuk Toon"
"heroes.name_fancy.s2_demon_master","Daimyo Licik"
"heroes.name_fancy.s2_demon_master_costume_cute","Toon Licik"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul Guile"
"heroes.name_fancy.s2_fiji_mermaid","Pemburu Picik"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Pemburu Toon"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Pengejar Dangkal"
"heroes.name_fancy.s2_fox_girl","Roh Rubah Ekor 9"
"heroes.name_fancy.s2_fox_girl_costume_cute","Toon Ekor 9"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Roh Kitsune Putih"
"heroes.name_fancy.s2_ghost_woman","Arwah Kesepian"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Yurei Kesepian"
"heroes.name_fancy.s2_hammerhead_hulk","Jagal Biadab"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Master Pedang Biadab"
"heroes.name_fancy.s2_junglehunter","Pangeran Hutan"
"heroes.name_fancy.s2_junglehunter_costume_cute","Toon Hutan"
"heroes.name_fancy.s2_junglehunter_costume_party","Pangeran Lūʻau"
"heroes.name_fancy.s2_lantern_ghost","Roh Lentera"
"heroes.name_fancy.s2_mercenary_woman","Kontraktor Keren"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Penari Hula yang Hebat"
"heroes.name_fancy.s2_merman","Putra Duyung Atlantis"
"heroes.name_fancy.s2_merman_costume_cute","Putra Duyung Toon"
"heroes.name_fancy.s2_merman_costume_leutenant","Letnan Atlantis"
"heroes.name_fancy.s2_merwoman","Putri Duyung Atlantis"
"heroes.name_fancy.s2_merwoman_costume_cute","Putri Duyung Toon"
"heroes.name_fancy.s2_merwoman_costume_emissary","Utusan Atlantis"
"heroes.name_fancy.s2_noble_lady","Cantik Maut"
"heroes.name_fancy.s2_noble_lady_costume_cute","Cantik Toon"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Cantik Membara"
"heroes.name_fancy.s2_oceanus","Titan Lautan"
"heroes.name_fancy.s2_oceanus_costume_volcano","Titan Magma"
"heroes.name_fancy.s2_poseidon","Penguasa Atlantis"
"heroes.name_fancy.s2_poseidon_costume_cute","Penguasa Atlantis Toon"
"heroes.name_fancy.s2_poseidon_costume_slayer","Pembunuh Atlantis"
"heroes.name_fancy.s2_proteus","Magi Atlantis"
"heroes.name_fancy.s2_proteus_costume_cute","Magi Atlantis Toon"
"heroes.name_fancy.s2_proteus_costume_farseer","Peramal Atlantis"
"heroes.name_fancy.s2_rugged_fisherman","Nelayan Perkasa"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Nelayan Perkasa Toon"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Master Pembuat Sake yang Berani"
"heroes.name_fancy.s2_skyllaros","Penjaga Atlantis"
"heroes.name_fancy.s2_skyllaros_costume_cute","Penjaga Atlantis Toon"
"heroes.name_fancy.s2_skyllaros_costume_reef","Penjaga Karang"
"heroes.name_fancy.s2_straw_demon","Setan Jerami"
"heroes.name_fancy.s2_tanuki_raccoon","Penipu Gigih"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Pedang Tanpa Takut"
"heroes.name_fancy.s2_tethys","Dewi semua Sungai"
"heroes.name_fancy.s2_tethys_costume_steel","Pembalas Semua Sungai"
"heroes.name_fancy.s2_triton","Kapten Atlantis"
"heroes.name_fancy.s2_triton_costume_champion","Juara Atlantis"
"heroes.name_fancy.s2_ursena","Permaisuri Palung"
"heroes.name_fancy.s2_ursena_costume_cute","Toon Kedalaman"
"heroes.name_fancy.s2_ursena_costume_reef","Ratu Karang Mematikan"
"heroes.name_fancy.s3_agnes","Penduduk Pemberani"
"heroes.name_fancy.s3_alfrike","Ratu Svartalfheim"
"heroes.name_fancy.s3_alfrike_costume_hatter","Pembenci Svartalfheim"
"heroes.name_fancy.s3_almur","Pedang Bayangan dari Svartalfheim"
"heroes.name_fancy.s3_almur_costume_lord","Penguasa Svartalfheim"
"heroes.name_fancy.s3_anwindr","Bramacorah Viking Terkutuk"
"heroes.name_fancy.s3_baldur","Dewa Berpendar"
"heroes.name_fancy.s3_baldur_costume_fiery","Dewa Berapi-api"
"heroes.name_fancy.s3_bera","Putri dari Dísir"
"heroes.name_fancy.s3_bera_costume_conjurer","Pesulap dari Dísir"
"heroes.name_fancy.s3_bjorn","Warga Pemberani"
"heroes.name_fancy.s3_bjorn_costume_viking","Prajurit Pemberani"
"heroes.name_fancy.s3_brynhild","Prajurit Wanita Valkyrie"
"heroes.name_fancy.s3_by_ulf","Petarung Viking Terkutuk"
"heroes.name_fancy.s3_ei_dunn","Pejuang Viking Terkutuk"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Pejuang Viking Buas"
"heroes.name_fancy.s3_fenrir","Pemimpin Niflheim"
"heroes.name_fancy.s3_fenrir_costume_guardian","Penjaga Niflheim"
"heroes.name_fancy.s3_freya","Putri Pembunuh"
"heroes.name_fancy.s3_freya_costume_witch","Wanita Penyihir Jatuh"
"heroes.name_fancy.s3_frigg","Dewi Prediksi"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Dewi Waskita"
"heroes.name_fancy.s3_fura","Peracun Svartalfheim"
"heroes.name_fancy.s3_fura_costume_herbalist","Herbalis Svartalfheim"
"heroes.name_fancy.s3_gefjon","Dewi Panen"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Dewi Alam Liar"
"heroes.name_fancy.s3_grevle","Luak Cerdik"
"heroes.name_fancy.s3_gullinbursti","Babi Emas"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Beruang Lepas Rantai"
"heroes.name_fancy.s3_heimdall","Penjaga Waspada"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Penjaga Ditakuti"
"heroes.name_fancy.s3_jarvur","Petinju Wolverine"
"heroes.name_fancy.s3_jott","Raksasa Es Barbar"
"heroes.name_fancy.s3_kvasir","Peternak Lebah Alfheim"
"heroes.name_fancy.s3_kvasir_costume_captain","Kapten Lebah dari Alfheim"
"heroes.name_fancy.s3_loki_female","Dewi Pengecoh"
"heroes.name_fancy.s3_loki_female_costume_mother","Ibu Pengecoh"
"heroes.name_fancy.s3_loki_fish","Ikan Pengecoh"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Ikan Rapi"
"heroes.name_fancy.s3_loki_male","Dewa Pengecoh"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Dewa Pengubah Bentuk"
"heroes.name_fancy.s3_mireweave","Draugr Gesit"
"heroes.name_fancy.s3_mist","Komandan Valkyrie"
"heroes.name_fancy.s3_nordri","Kurcaci Es Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Kurcaci Penjelajah Jotunheim"
"heroes.name_fancy.s3_norns","Penenun Takdir"
"heroes.name_fancy.s3_norns_costume_puppeteers","Dalang Takdir"
"heroes.name_fancy.s3_odin","Bapak Para Dewa yang Bijak"
"heroes.name_fancy.s3_odin_costume_champion","Ayah Semua Perkasa"
"heroes.name_fancy.s3_ratatoskr","Kurir Yggdrasil"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Arsitek Yggdrasil"
"heroes.name_fancy.s3_shadereave","Draugr Kasar"
"heroes.name_fancy.s3_sif","Dewa Berambut Pirang"
"heroes.name_fancy.s3_sif_costume_golden","Dewa Emas"
"heroes.name_fancy.s3_skadi","Dewi Jotunheim"
"heroes.name_fancy.s3_skadi_costume_ravager","Penjaga Jotunheim"
"heroes.name_fancy.s3_stonecleave","Draugr Tanpa Henti"
"heroes.name_fancy.s3_sudri","Kurcaci Api Muspelheim"
"heroes.name_fancy.s3_sumle","Raksasa Api Kekar"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Raksasa Api Najis"
"heroes.name_fancy.s3_thor","Dewa Petir"
"heroes.name_fancy.s3_thor_costume_conduit","Saluran Petir"
"heroes.name_fancy.s3_tyr","Keadilan Tanpa Henti"
"heroes.name_fancy.s3_tyr_costume_savage","Keadilan Liar"
"heroes.name_fancy.s4_akkorog","Kepala Suku Morlock"
"heroes.name_fancy.s4_akkorog_costume_football","Morlock Berlari Kembali"
"heroes.name_fancy.s4_aouda","Putri Baik Hati"
"heroes.name_fancy.s4_aouda_costume_lotus","Putri Teratai"
"heroes.name_fancy.s4_captain_nemo","Penjelajah Enigmatik"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Masinis Enigmatik"
"heroes.name_fancy.s4_congalach","Pejuang Kedalaman"
"heroes.name_fancy.s4_congalach_costume_kelp","Pejuang Kelp"
"heroes.name_fancy.s4_doctor_moreau","Ilmuwan Licik"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Penulis Licik"
"heroes.name_fancy.s4_elizabeth","Bangsawan Arakhnida"
"heroes.name_fancy.s4_elizabeth_costume_bride","Aristrokat Pengantin"
"heroes.name_fancy.s4_exeera","Pendeta Gurita"
"heroes.name_fancy.s4_exeera_costume_hierophant","Hierophant Gurita"
"heroes.name_fancy.s4_garjammal","Master Tempur Morlock"
"heroes.name_fancy.s4_garjammal_costume_kite","Master Layangan Morlock"
"heroes.name_fancy.s4_gramps","Tetua Halfling"
"heroes.name_fancy.s4_gramps_costume_gardener","Tukang Kebun Halfling"
"heroes.name_fancy.s4_griffin","Manusia Tak Terlihat"
"heroes.name_fancy.s4_griffin_costume_priest","Pendeta Tak Terlihat"
"heroes.name_fancy.s4_hannah","Arkeolog Petualang"
"heroes.name_fancy.s4_hannah_costume_drover","Pengemudi Petualang"
"heroes.name_fancy.s4_helo","Nelayan Eloi"
"heroes.name_fancy.s4_helo_costume_baker","Pembuat Roti Eloi"
"heroes.name_fancy.s4_hulda","Kepala Tikus"
"heroes.name_fancy.s4_hulda_costume_nurse","Kepala Perawat"
"heroes.name_fancy.s4_kravekrush","Komandan Ettin"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Master Panggang Ettin"
"heroes.name_fancy.s4_lepiota","Pemimpin Eloi"
"heroes.name_fancy.s4_lepiota_costume_undying","Pemimpin yang Tidak Mati"
"heroes.name_fancy.s4_lughaidh","Raja Kedalaman"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Raja Abadi"
"heroes.name_fancy.s4_mack","Petualang Halfling"
"heroes.name_fancy.s4_mack_costume_novelist","Novelis Halfling"
"heroes.name_fancy.s4_morel","Pemburu Eloi"
"heroes.name_fancy.s4_morel_costume_sage","Si Bijak Eloi"
"heroes.name_fancy.s4_morris","Moleman Sakti"
"heroes.name_fancy.s4_morris_costume_potter","Tukang Tembikar Moleman"
"heroes.name_fancy.s4_octros","Juara Gurita"
"heroes.name_fancy.s4_octros_costume_suitor","Pelamar Moluska"
"heroes.name_fancy.s4_passepartout","Pengelana Pintar"
"heroes.name_fancy.s4_passepartout_costume_artist","Seniman Elegan"
"heroes.name_fancy.s4_phileas_fogg","Penjelajah Pemberani"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Insinyur Indah"
"heroes.name_fancy.s4_poppy","Pemanah Silang Halfling"
"heroes.name_fancy.s4_poppy_costume_lodger","Penyewa Halfling"
"heroes.name_fancy.s4_professor_lidenbrock","Ilmuwan Cerdas"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Tukang Perhiasan Bijak"
"heroes.name_fancy.s4_rokkamush","Pukulan Keras Ettin"
"heroes.name_fancy.s4_rokkamush_costume_mason","Tukang Batu Ettin"
"heroes.name_fancy.s4_russula","Berandal Eloi"
"heroes.name_fancy.s4_russula_costume_painter","Pelukis Eloi"
"heroes.name_fancy.s4_tettukh","Si Brutal Morlock"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Pemandu Sorak Morlock"
"heroes.name_fancy.s4_vollermork","Penimbun Morlock"
"heroes.name_fancy.s4_vollermork_costume_bartender","Bartender Morlock"
"heroes.name_fancy.s4_xenda","Pewaris Wanita Dunia Bawah"
"heroes.name_fancy.s4_xenda_costume_flame","Pewaris Api"
"heroes.name_fancy.s4_xnolphod","Penyihir Gurita"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Penjara Oktopoda"
"heroes.name_fancy.s4_zekena","Pangeran Myriapoda"
"heroes.name_fancy.s4_zekena_costume_vines","Pangeran Apocynacid"
"heroes.name_fancy.s4_zenobia","Ratu Myriapoda"
"heroes.name_fancy.s4_zenobia_costume_floral","Ratu Apocynacid"
"heroes.name_fancy.s4_zila_lei","Pembunuh Oktopoda"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Penari Oktopoda"
"heroes.name_fancy.s5_ahhotep","Pejuang Mumi"
"heroes.name_fancy.s5_ahhotep_costume_champion","Juara Mumi"
"heroes.name_fancy.s5_ahmose","Firaun Mumi"
"heroes.name_fancy.s5_ahmose_costume_reborn","Titisan Firaun"
"heroes.name_fancy.s5_anubis","Dewa Akhirat"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Wasit Lantai Dansa"
"heroes.name_fancy.s5_aqeela","Anak Lihai"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Penyihir Lihai"
"heroes.name_fancy.s5_azmia","Penjaga Kedai Bertekad Bulat"
"heroes.name_fancy.s5_azmia_costume_dancing","Penjaga Kedai Menari"
"heroes.name_fancy.s5_bastet","Mata Bulan"
"heroes.name_fancy.s5_bastet_costume_forest","Mata Hutan"
"heroes.name_fancy.s5_bennu","Roh Ciptaan"
"heroes.name_fancy.s5_bennu_costume_heron","Bangau Penciptaan"
"heroes.name_fancy.s5_cleopatra","Firaun Ilahi"
"heroes.name_fancy.s5_cleopatra_costume_feline","Firaun Kucing"
"heroes.name_fancy.s5_el_naddaha","Siren Sungai"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Siren Lautan"
"heroes.name_fancy.s5_eset","Putri Berlaksa Nama"
"heroes.name_fancy.s5_eset_costume_goldensun","Putri Surya Emas"
"heroes.name_fancy.s5_faiez","Petani Beruntung"
"heroes.name_fancy.s5_faiez_costume_miner","Penambang Kebetulan"
"heroes.name_fancy.s5_hathor","Dewi Ibu"
"heroes.name_fancy.s5_hathor_costume_starlit","Ibu Berbintang"
"heroes.name_fancy.s5_hetepheres","Sfinks Licik"
"heroes.name_fancy.s5_hetepheres_costume_spa","Sfinks di Spa"
"heroes.name_fancy.s5_horus","Dewa Berburu"
"heroes.name_fancy.s5_horus_costume_golden","Pemburu Emas"
"heroes.name_fancy.s5_jarif","Juru Tulis Stres"
"heroes.name_fancy.s5_jarif_costume_curator","Kurator Stres"
"heroes.name_fancy.s5_junaid","Prajurit Tersumpah"
"heroes.name_fancy.s5_junaid_costume_champion","Juara Tersumpah"
"heroes.name_fancy.s5_khafre","Androsphinx Akut"
"heroes.name_fancy.s5_khafre_costume_aquatic","Androsphinx Akuatik"
"heroes.name_fancy.s5_khepri","Dewa Scarab"
"heroes.name_fancy.s5_khepri_costume_overlord","Maharaja Scarab"
"heroes.name_fancy.s5_khonshu","Dewi Bulan"
"heroes.name_fancy.s5_khonshu_costume_knight","Kesatria Bulan"
"heroes.name_fancy.s5_maat","Putri Harmoni"
"heroes.name_fancy.s5_maat_costume_river","Nyonya Iteru"
"heroes.name_fancy.s5_meresankh","Sfinks Matahari"
"heroes.name_fancy.s5_meresankh_costume_disco","Sfinks Disko"
"heroes.name_fancy.s5_papyros","Golem Kertas dan Pasir"
"heroes.name_fancy.s5_papyros_costume_colossus","Raksasa Kertas dan Pasir"
"heroes.name_fancy.s5_ptolemy","Firaun Tetua"
"heroes.name_fancy.s5_ptolemy_costume_log","Kayu Tetua"
"heroes.name_fancy.s5_rekhetre","Sfinks Muda"
"heroes.name_fancy.s5_rekhetre_costume_artist","Seniman Muda"
"heroes.name_fancy.s5_scoratek","Pengawal Scarab"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Penjaga Scarab"
"heroes.name_fancy.s5_sekhmet","Mata Surya"
"heroes.name_fancy.s5_sekhmet_costume_warden","Wali Surya"
"heroes.name_fancy.s5_set","Perampas Kegelapan"
"heroes.name_fancy.s5_set_costume_tyrant","Tiran Gelap"
"heroes.name_fancy.s5_sneferu","Sfinks Bulan"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Penakluk Bulan"
"heroes.name_fancy.s5_sobek","Dewa Sungai"
"heroes.name_fancy.s5_sobek_costume_guardian","Penjaga Sungai"
"heroes.name_fancy.s5_tetisheri","Ratu Mumi"
"heroes.name_fancy.s5_tetisheri_costume_molten","Ratu Leleh"
"heroes.name_fancy.s5_waqas","Perisai Firaun"
"heroes.name_fancy.s5_waqas_costume_blade","Bilah Firaun"
"heroes.name_fancy.sand_horse","Kuda Andalan Kekaisaran Pasir"
"heroes.name_fancy.sand_king","Raja Kekaisaran Pasir"
"heroes.name_fancy.sand_king_costume_lifeguard","Raja Penjaga Pantai"
"heroes.name_fancy.sand_queen","Ratu Kekaisaran Pasir"
"heroes.name_fancy.sand_queen_costume_surfer","Ratu Peselancar"
"heroes.name_fancy.sand_roc","Pelindung Kekaisaran Pasir"
"heroes.name_fancy.sand_roc_costume_juice","Pelindung Pantai"
"heroes.name_fancy.sand_soldier","Prajurit Kekaisaran Pasir"
"heroes.name_fancy.sand_tower","Preman Kekaisaran Pasir"
"heroes.name_fancy.sand_vizier","Wazir Kekaisaran Pasir"
"heroes.name_fancy.scoundrel_duval","Jago Tembak Penipu"
"heroes.name_fancy.scoundrel_lane","Bandit Jalanan"
"heroes.name_fancy.shadow_abigail","Jurnalis Investigatif"
"heroes.name_fancy.shadow_asketel","Pencari Pengetahuan yang Hilang"
"heroes.name_fancy.shadow_atwood","Terpesona oleh Yang Tidak Diketahui"
"heroes.name_fancy.shadow_burton","Penyelidik Homunculus"
"heroes.name_fancy.shadow_cthuwu","Bibit dari yang Lama"
"heroes.name_fancy.shadow_dolores","Detektif Swasta yang Ceroboh"
"heroes.name_fancy.shadow_gwendoline","Arkeolog Fanatik"
"heroes.name_fancy.shadow_hunter","Keturunan dari yang Lama"
"heroes.name_fancy.shadow_hysteria","Kolektor Artefak Mistis"
"heroes.name_fancy.shadow_melancholia","Pembari dari yang Lama"
"heroes.name_fancy.shadow_omen","Dikuduskan oleh Karang Setan"
"heroes.name_fancy.shadow_penelope","Mantan Pustakawan Galak"
"heroes.name_fancy.shadow_rashan","Pengguna Hulu-Logam"
"heroes.name_fancy.shadow_rosanna","Tembakan Nyata"
"heroes.name_fancy.shadow_salvatore","Media Belok"
"heroes.name_fancy.shadow_shoggo","Panduan Berubah Bentuk"
"heroes.name_fancy.shadow_wulfstan","Perajin Amunisi Eldritch"
"heroes.name_fancy.shadow_zavinia","Hibrida dari Kedalaman"
"heroes.name_fancy.slayer_aodhan","Yang Terbakar"
"heroes.name_fancy.slayer_caitlin","Yang Tercerahkan"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Tentara Salib Justicar"
"heroes.name_fancy.slayer_cathal","Yang Berhati Berani"
"heroes.name_fancy.slayer_cillian","Yang Abadi"
"heroes.name_fancy.slayer_maeve","Yang Tak Terlihat"
"heroes.name_fancy.slayer_noril","Yang Galak"
"heroes.name_fancy.slayer_orla","Yang Layak"
"heroes.name_fancy.slayer_rian","Yang Tegar"
"heroes.name_fancy.slayer_saoirse","Yang Tak Terjinakkan"
"heroes.name_fancy.slayer_saoirse_costume_knight","Sang Penakluk"
"heroes.name_fancy.slayer_senan","Yang Terkutuk"
"heroes.name_fancy.slayer_senan_costume_tentacles","Pelayan Cephaloid"
"heroes.name_fancy.slime_achillea","Lendir Gladiator Tanpa Takut"
"heroes.name_fancy.slime_boboosang","Lendir Penjaja Tetua"
"heroes.name_fancy.slime_bulklug","Lendir Tukang Blob"
"heroes.name_fancy.slime_charmione","Goo Teater Menawan"
"heroes.name_fancy.slime_chingiriko","Lendir Penguntit Bayangan"
"heroes.name_fancy.slime_choozen","Lendir Peti Pemalu"
"heroes.name_fancy.slime_fruitio","Lendir Pencinta Buah"
"heroes.name_fancy.slime_fungustine","Lendir Hutan Peremajaan"
"heroes.name_fancy.slime_gloozmer","Lendir Pengecoh Lembut"
"heroes.name_fancy.slime_goldrip","Raja Lendir Emas"
"heroes.name_fancy.slime_gooldron","Lendir Kuali Kutu Buku"
"heroes.name_fancy.slime_goorian","Lumpur Barbar"
"heroes.name_fancy.slime_gooric","Goo Suaka Bijak"
"heroes.name_fancy.slime_gooze","Goo Lolos dari laboratorium Alkimia"
"heroes.name_fancy.slime_gunktus","Gumpalan Tempur Tanpa Henti"
"heroes.name_fancy.slime_harubo","Lendir Patroli"
"heroes.name_fancy.slime_justico","Lendir Pelindung"
"heroes.name_fancy.slime_knightus","Lendir Kuil Kesatria"
"heroes.name_fancy.slime_labblub","Lendir Ilmuwan Penasaran"
"heroes.name_fancy.slime_magistine","Lendir Tenun Mantra"
"heroes.name_fancy.slime_mucktus","Gumpalan Hutan yang Jahat"
"heroes.name_fancy.slime_slaymire","Eksekutor Lendir yang Keras Kepala"
"heroes.name_fancy.slime_slimgo","Lendir Berandal yang Licik"
"heroes.name_fancy.slime_sliposi","Lendir Kurir Licin"
"heroes.name_fancy.slime_sludgus","Lendir Kedai Minum yang Bernyanyi"
"heroes.name_fancy.slime_verdigoo","Wasit Zamrud Lengket"
"heroes.name_fancy.slime_zestique","Lendir Manis yang Memerah"
"heroes.name_fancy.styx_amphitrite","Dewi Laut"
"heroes.name_fancy.styx_arges","Cyclop Pedagang Ramuan"
"heroes.name_fancy.styx_brontes","Cyclop Petani"
"heroes.name_fancy.styx_charon","Tukang Feri dari Stiks"
"heroes.name_fancy.styx_dante","Petualang Dunia Bawah"
"heroes.name_fancy.styx_erebus","Dewa Kegelapan Dalam"
"heroes.name_fancy.styx_hypnos","Master Tidur"
"heroes.name_fancy.styx_nemesis","Dewi Pembalasan Ilahi"
"heroes.name_fancy.styx_nyx","Ibu Malam"
"heroes.name_fancy.styx_steropes","Cyclop Artis"
"heroes.name_fancy.styx_thanatos","Dewa Kematian Damai"
"heroes.name_fancy.styx_virgil","Panduan ke Dunia Bawah"
"heroes.name_fancy.tales1_aqualith","Hoplite Elemen"
"heroes.name_fancy.tales1_aqualith_costume_purple","Kolosus Elemen"
"heroes.name_fancy.tales1_atlanteia","Nereid Glasial dari Kedalaman"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Siren Glasial dari Kedalaman"
"heroes.name_fancy.tales1_bagreg","Pemimpin Tempur Manusia Ikan"
"heroes.name_fancy.tales1_bagreg_costume_scout","Pengintai Bocah Ikan"
"heroes.name_fancy.tales1_ceto","Dewi Purba Monster Laut"
"heroes.name_fancy.tales1_ceto_costume_queen","Ratu Purba Monster Laut"
"heroes.name_fancy.tales1_domiventus","Makhluk Hadal yang Abadi"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Makhluk Hadal Tertinggi"
"heroes.name_fancy.tales1_ephyra","Putri Nereid"
"heroes.name_fancy.tales1_ephyra_costume_reef","Putri Karang"
"heroes.name_fancy.tales1_galapago","Orang Bijak dari Lautan"
"heroes.name_fancy.tales1_galapago_costume_quarry","Pelempar Bijak dari Kuari"
"heroes.name_fancy.tales1_gelert","Pemburu Harta Karun Kedalaman"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Pemulung dari Kedalaman"
"heroes.name_fancy.tales1_gestalt","Pangeran Kedalaman Abadi"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Pangeran Mutiara Abadi"
"heroes.name_fancy.tales1_jaco","Pedagang Cerdik dari Kedalaman"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Ahli Alkimia Cerdik dari Kedalaman"
"heroes.name_fancy.tales1_lasalle","Prajurit Berkuda Flamboyan dari Atlantis"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Joki Flamboyan dari Atlantis"
"heroes.name_fancy.tales1_medea","Ratu Naga dari Kedalaman"
"heroes.name_fancy.tales1_medea_costume_goddess","Dewi Naga dari Kedalaman"
"heroes.name_fancy.tales1_mulgog","Perampok Manusia Ikan"
