"specials.name.a_cozy_break","Un merecido descanso"
"specials.name.rose_bouquet_blast","Explosión de rosas"
"specials.name.rotting_wound_dragon_pve","Herida podrida"
"specials.name.rottman","Demencia roedora"
"specials.name.rough_and_tumble","Tunda dura"
"specials.name.royal_assault","Asalto real"
"specials.name.royal_blades","Hojas regias"
"specials.name.royal_meatball_buffet","Bufé real de albóndigas"
"specials.name.royal_poisoner","Veneno regio"
"specials.name.ruby_rush","Ataque de rubí"
"specials.name.rude_awakening","Estupor"
"specials.name.ruler_of_seas","Rey del mar"
"specials.name.ruler_of_seas_deadly","Rey del mar"
"specials.name.rural_chop","Tajo rural"
"specials.name.rush_of_flame","Llamas arrolladoras"
"specials.name.rushed_melody","Melodía acelerada"
"specials.name.rusty_blade","Espada oxidada"
"specials.name.ruthless_gambit","Gambito despiadado"
"specials.name.sable_slasher","Sable destripador"
"specials.name.sacrament_of_salvation","Sacramento de salvación"
"specials.name.sacred_horns","Cuernos sagrados"
"specials.name.sacred_reflection","Reflejo sagrado"
"specials.name.saga_of_deliverance","Saga de la liberación"
"specials.name.saga_of_protection","Saga de la protección"
"specials.name.salty_splash_dragon_pve","Salpicadura salada"
"specials.name.sanction_for_heresy","Condena por herejía"
"specials.name.sanctuary_of_light","Santuario de la luz"
"specials.name.sand_cyclone","Ciclón de arena"
"specials.name.sand_cyclone_pve","Ciclón de arena"
"specials.name.sand_wave_rana","La cresta de la ola"
"specials.name.sand_wave_yunan","Aniquilación"
"specials.name.sandstorm_strike","Tormenta de arena letal"
"specials.name.sandworm_strike","Golpe de gusano de arena"
"specials.name.sapphire_eyes","Ojos de zafiro"
"specials.name.saturated_suffering","Sufrimiento saturado"
"specials.name.savage_gobble_blue","Gula salvaje"
"specials.name.savage_gobble_green","Gula salvaje"
"specials.name.savage_gobble_purple","Gula salvaje"
"specials.name.savage_gobble_red","Gula salvaje"
"specials.name.savage_gobble_yellow","Gula salvaje"
"specials.name.savage_talons","Garras salvajes"
"specials.name.scale_of_the_newt","Escama de tritón"
"specials.name.scaly_skin","Piel escamada"
"specials.name.scar_of_the_depths","Marca de las profundidades"
"specials.name.scar_of_the_depths_deadly","Marca de las profundidades"
"specials.name.scarab_barrage","Salva de escarabajo"
"specials.name.scarab_blitz","Cañoneo de escarabajo"
"specials.name.scarab_bombardment","Bombardeo de escarabajo"
"specials.name.scarab_rush","Escarabajo de ataque"
"specials.name.scarab_throw","Lanzamiento de escarabajo"
"specials.name.scavenging_dash","Asalto de búsqueda"
"specials.name.scepter_of_bundelkhand","Cetro de Bundelkhand"
"specials.name.scepter_of_constellations","Cetro de las constelaciones"
"specials.name.scion_sword","Espada de vástago"
"specials.name.scion_sword_costume_white_raven","Cuchilla de vástago"
"specials.name.scorching_orb","Orbe abrasador"
"specials.name.scoundrel_swing","Golpe canalla"
"specials.name.scourge_of_joy","Azote de la alegría"
"specials.name.scourge_of_the_strong","Azote de los fuertes"
"specials.name.scouts_spyglass","Catalejo de los exploradores"
"specials.name.scroll_of_equations","Pergamino de ecuaciones"
"specials.name.scroll_of_fellowship","Pergamino de la hermandad"
"specials.name.scroll_of_navigation","Pergamino de navegación"
"specials.name.scroll_of_new_beginnings","Pergamino de nuevos comienzos"
"specials.name.scroll_of_spite","Pergamino de desprecio"
"specials.name.scythe_of_sorceries","Guadaña de hechizos"
"specials.name.seabed_pirouette","Pirueta marina"
"specials.name.seabed_sissonne","""Sissonne"" marino"
"specials.name.seal_of_ares","Sello de Ares"
"specials.name.seal_of_fire","Sello de fuego"
"specials.name.searing_frost","Frío abrasador"
"specials.name.searing_strike","Golpe abrasador"
"specials.name.seastar_burst","Estallido de estrellas de mar"
"specials.name.seaweed_flail","Mayal de algas"
"specials.name.second_skin","Segunda piel"
"specials.name.seeking_shots","Disparos guiados"
"specials.name.self_preservation","Autopreservación"
"specials.name.sense_of_wonder","Sensación maravillosa"
"specials.name.serenade_of_sedition","Serenata de la sedición"
"specials.name.servants_aid","Ayuda servicial"
"specials.name.set_phase2","Oscuridad desatada"
"specials.name.set_phase3","Último esfuerzo"
"specials.name.severed_seal","Sello roto"
"specials.name.severing_strike","Golpe amputador"
"specials.name.sewing_back_together","Recosido"
"specials.name.shackles_of_the_sea","Grilletes del mar"
"specials.name.shade_cloak","Capa de sombras"
"specials.name.shadow_link","Vínculo de acero"
"specials.name.shadow_lunge","Ataque sombrío"
"specials.name.shadow_monster_form","Tajo sobrenatural"
"specials.name.shadow_sidestep","Elusión de las sombras"
"specials.name.shadow_strike","Golpe de las sombras"
"specials.name.shadow_sweep","Barrido de las sombras"
"specials.name.shady_concerto","Concierto sombrío"
"specials.name.shapeshifters_deception","Engaño de cambiaformas"
"specials.name.shards_of_sun","Esquirlas solares"
"specials.name.shared_compassion","Compasión compartida"
"specials.name.shared_visage","Rostro compartido"
"specials.name.shark_bite","Mordisco de tiburón"
"specials.name.sharp_cut","Corte preciso"
"specials.name.sharp_knife","Cuchillo afilado"
"specials.name.sharp_stingers","Picaduras agudas"
"specials.name.shatter_psyche","Mente en pedazos"
"specials.name.shatter_soul","Alma en pedazos"
"specials.name.shattering_shriek","Aullido devastador"
"specials.name.shattering_warcry","Grito de guerra desgarrador"
"specials.name.shed_skin","Muda de piel"
"specials.name.shieldmaidens_protection","Protección de doncella escudera"
"specials.name.shifting_mindless_attack","Ataque salvaje cambiante"
"specials.name.shimmering_shield","Escudo resplandeciente"
"specials.name.shock_bolt","Virote de descarga"
"specials.name.shock_ultimatum","Ultimátum de descarga"
"specials.name.shocking_news","Noticias impactantes"
"specials.name.shrill_announcement","Anuncio estridente"
"specials.name.shy_jab_dragon_pve","Puñetazo tímido"
"specials.name.sickening_glow","Brillo enfermizo"
"specials.name.sickle_of_eradication","Guadaña de erradicación"
"specials.name.sickle_of_wu","Hoz de Wu"
"specials.name.sickle_trouble","Problema con la hoz"
"specials.name.sideswipe","Descarga lateral"
"specials.name.sigil_of_the_sun","Sello del Sol"
"specials.name.silencing_stick_up","Robo sigiloso"
"specials.name.silent_takedown","Eliminación silenciosa"
"specials.name.sinister_enlace","Entrelazamiento siniestro"
"specials.name.sinister_enlace_deadly","Entrelazamiento siniestro"
"specials.name.sinister_siphon","Absorción siniestra"
"specials.name.sir_agony","Filo absorbente"
"specials.name.sir_pain","Guadaña vengativa"
"specials.name.situational_awareness","Consciencia situacional"
"specials.name.sky_attack","Ataque celestial"
"specials.name.skyfall_crumble","Desplome celeste"
"specials.name.slash_and_support","Apoyo cortante"
"specials.name.slash_of_four_blades","Sablazo de cuatro cuchillas"
"specials.name.slash_of_glass_blades","Sablazo de cuchillas de cristal"
"specials.name.slash_of_seven_blades","Sablazo de siete cuchillas"
"specials.name.slash_of_seven_daggers","Sablazo de siete dagas"
"specials.name.slash_of_seven_toons","Sablazo de las siete caricaturas"
"specials.name.slash_of_the_seven_stilettos","Puñalada de los siete estiletes"
"specials.name.slaying_stake","Estaca homicida"
"specials.name.sledge_bash","Porrazo con trineo"
"specials.name.slice_and_dice","Desmenuzamiento"
"specials.name.slice_and_dice_pve","Desmenuzamiento"
"specials.name.slime_coated_sword","Espada cubierta de viscosidad"
"specials.name.slime_serving","Servicio viscoso"
"specials.name.slime_slap","Manotazo viscoso"
"specials.name.slimy_balls","Bolas viscosas"
"specials.name.slingja_attack_chingiriko","Ataque ninja"
"specials.name.slumber_spores","Esporas somníferas"
"specials.name.slumbering_beatdown","Paliza somnolienta"
"specials.name.smoldering_tear_dragon_pve","Desgarro ardiente"
"specials.name.smooth_treatment","Tratamiento delicado"
"specials.name.snapping_jaws","Mandíbulas destructoras"
"specials.name.snowlit_slices","Tajos brillantes como la nieve"
"specials.name.soaring_blast","Explosión aérea"
"specials.name.sock_and_block","Golpear y bloquear"
"specials.name.solar_beam","Rayo solar"
"specials.name.solar_strike","Golpe solar"
"specials.name.soldiers_curse","Brisa arenosa"
"specials.name.solid_frozen_fist","Puño congelado robusto"
"specials.name.song_of_calamity","Canción de la calamidad"
"specials.name.song_of_hoot_and_holler","Canción de ululato"
"specials.name.song_of_regression","Lamento de regresión"
"specials.name.song_of_the_morass","Canción de la ciénaga"
"specials.name.song_of_the_skies","Canción de los cielos"
"specials.name.songs_of_the_cherry_tree","Canciones del cerezo"
"specials.name.sonic_infusion_arrow","Flecha sónica"
"specials.name.sonic_roar","Rugido sónico"
"specials.name.sonic_wall","Muro sónico"
"specials.name.sonorous_spear","Lanza sonora"
"specials.name.soothing_melody","Melodía tranquilizadora"
"specials.name.soothing_song","Canción tranquilizadora"
"specials.name.soul_cage","Invocación de esqueletos"
"specials.name.soul_guardian","Protección del alma"
"specials.name.sour_berry_blast_dragon_pve","Explosión de bayas agrias"
"specials.name.sparking_star_slash","Tajos estelares centelleantes"
"specials.name.sparrow_fury","Furia de gorrión"
"specials.name.spartan_cleave","Daga espartana"
"specials.name.spartan_slash","Corte espartano"
"specials.name.spear_of_blood_pact","Lanza del pacto de sangre"
"specials.name.spear_of_loyalty","Lanza de la lealtad"
"specials.name.spear_of_shu","Lanza de Shu"
"specials.name.spearwand_gale","Vendaval de lanzas"
"specials.name.spectacular_bite","Mordisco espectacular"
"specials.name.spectral_visions","Visiones espectrales"
"specials.name.spectral_wings","Alas espectrales"
"specials.name.spectres_flail","Mayal del espectro"
"specials.name.spell_lock","Candado mágico"
"specials.name.spell_of_camaraderie","Hechizo de compañerismo"
"specials.name.spicy_berry_blast_dragon_pve","Explosión de bayas picantes"
"specials.name.spike_burst","Explosión de pinchos"
"specials.name.spilled_decoctions","Decocciones derramadas"
"specials.name.spirit_arrow","Flecha espiritual"
"specials.name.spirit_drain","Drenaje espiritual"
"specials.name.spirit_of_spring","Espíritu de la primavera"
"specials.name.spirit_of_winter","Espíritu invernal"
"specials.name.spirit_rally","Congregación espiritual"
"specials.name.spirits_of_the_mountain","Espíritus de la montaña"
"specials.name.spiritual_unity","Festín maravilloso"
"specials.name.spiritual_wire","Cable espiritual"
"specials.name.splintering_shot","Tiro divisorio"
"specials.name.splintering_shot2","Tiro divisorio"
"specials.name.spotting_trouble","Detección de problemas"
"specials.name.spreading_gossip","Chismorreo continuo"
"specials.name.spreading_shadow","Sombra propagadora"
"specials.name.spreading_traps","Trampas propagadoras"
"specials.name.sprite_ballad","Balada espiritual"
"specials.name.sprite_hymn","Himno espiritual"
"specials.name.squeak_of_protection","Chillido protector"
"specials.name.squire_strike","Golpe de escudero"
"specials.name.squires_squirrel","Ardilla de escudero"
"specials.name.squish_squash_achillea","Apretujón"
"specials.name.stab_of_four_blades","Puñalada de cuatro cuchillas"
"specials.name.staff_of_mana_control","Control del báculo de maná"
"specials.name.staff_of_mana_control_pve","Control del báculo de maná"
"specials.name.staff_of_the_seastar","Báculo de estrella marina"
"specials.name.staggering_blows","Golpes tambaleantes"
"specials.name.stalling_spell","Hechizo crítico"
"specials.name.stalling_strike","Golpe crítico"
"specials.name.stalwart_rally","Arenga incondicional"
"specials.name.stalwart_to_the_end","Leal hasta el final"
"specials.name.standing_fortress","Fortaleza imponente"
"specials.name.standing_fortress3","Fortaleza imponente"
"specials.name.star_construct","Creación estelar"
"specials.name.star_trail","Rastro estelar"
"specials.name.starplay","Juegos estelares"
"specials.name.stately_retribution","Castigo divino"
"specials.name.steel_rush","Acero urgente"
"specials.name.stellar_beam","Rayo estelar"
"specials.name.sticky_express","Prisa pegajosa"
"specials.name.sticky_spear","Lanza pegajosa"
"specials.name.stiletto_cyclone","Ciclón de estiletes"
"specials.name.stolen_tarts","Tartaletas robadas"
"specials.name.stomp","Pisotón"
"specials.name.stone_skin","Enlace espiritual"
"specials.name.storm_of_blades","Tormenta afilada"
"specials.name.strange_incense","Incienso extraño"
"specials.name.strategic_slash","Tajo ornitológico"
"specials.name.strength_of_the_accursed","Fuerza de los malditos"
"specials.name.strength_of_the_benemoth","Fuerza de gigante"
"specials.name.strength_of_the_volcano","Fuerza del volcán"
"specials.name.strengthening_draught","Corrientes fortalecedoras"
"specials.name.strengthening_smash","Aplastamiento fortalecedor"
"specials.name.strict_standards","Estándares estrictos"
"specials.name.strike_and_support","Golpe de apoyo"
"specials.name.strike_from_the_shadows","Golpe entre las sombras"
"specials.name.strike_from_the_skies","Golpe desde los cielos"
"specials.name.strike_of_a_thousand_howls","Golpe de los mil aullidos"
"specials.name.strike_of_the_ancients","Golpe de los ancestros"
"specials.name.strike_of_the_cobra","Golpe de la cobra"
"specials.name.strike_of_the_monolith","Golpe del monolito"
"specials.name.strike_of_the_toons","Golpe de las caricaturas"
"specials.name.strike_of_the_underworld","Golpe del inframundo"
"specials.name.struck_by_thunder","Golpe de rayo"
"specials.name.stubby_reap","Siega baja"
"specials.name.stunning_blow","Rotura paralizante"
"specials.name.stunning_spear","Lanza deslumbrante"
"specials.name.stunning_steel","Hoja aturdidora"
"specials.name.stunning_strike","Golpe aturdidor"
"specials.name.stupendous_break_in","Robo con elegancia"
"specials.name.sturdy_riposte","Respuesta sólida"
"specials.name.stylish_chop","Golpe masivo con estilo"
"specials.name.stylish_counterattack","Contraataque con estilo"
"specials.name.stylish_eruption","Erupción con estilo"
"specials.name.stylish_fireball","Bola de fuego con estilo"
"specials.name.stylish_heal","Curación con estilo"
"specials.name.stylish_pulverizer","Pulverizador con estilo"
"specials.name.stylish_slash","Tajo con estilo"
"specials.name.stylish_spear","Lanza con estilo"
"specials.name.stylish_strike","Golpe con estilo"
"specials.name.stylish_strike_caedmon","Golpe con estilo"
"specials.name.stylish_warcry","Grito de guerra con estilo"
"specials.name.subduing_strike","Golpe subyugante"
"specials.name.sublime_pastry","Pastel de pescado"
"specials.name.sudden_attack","Ataque repentino"
"specials.name.suffocating_smoke","Humo sofocante"
"specials.name.suffocating_smoke2","Humo sofocante"
"specials.name.suffocating_smoke3","Humo sofocante"
"specials.name.sugar_rush","Subidón de azúcar"
"specials.name.summer_carol","Villancico veraniego"
"specials.name.summers_end","Final congelador"
"specials.name.summon_ballerina_fiend","Invocación de bailarinas"
"specials.name.summon_celestial_guardians","Invocar guardianes celestiales"
"specials.name.summon_rock_golems","Invocar gólems de piedra"
"specials.name.summon_sand_golems","Invocar gólems de arena"
"specials.name.summon_temple_guardians","Invocar guardianes del templo"
"specials.name.sunken_abyss","Abismo sumergido"
"specials.name.sunken_magma_cube","Cubo hundido en magma"
"specials.name.sunscreen_blast","Protector solar explosivo"
"specials.name.sunstone_glare_dragon_pve","Brillo pétreo solar"
"specials.name.super_duper_spray","Aerosol sensacional"
"specials.name.super_porridge","Supergachas"
"specials.name.superb_sake","Sake soberbio"
"specials.name.supercharged_fireball_dragon_pve","Bola de fuego sobrecargada"
"specials.name.supernova","Supernova"
"specials.name.supernova_boss_phase1","Supernova"
"specials.name.supernova_boss_phase2","Supernova aeternus"
"specials.name.suppressing_ki","Ki supresor"
"specials.name.sure_fire_combustion","Combustión infalible"
"specials.name.surprise_goo","¡Baba sorpresa!"
"specials.name.suspicious_stew","Guiso sospechoso"
"specials.name.swamp_skin","Piel cenagosa"
"specials.name.swashbuckling_stab","Puñalada corsaria"
"specials.name.sweet_berry_blast_dragon_pve","Explosión de bayas dulces"
"specials.name.sweet_dreams","Dulces sueños"
"specials.name.swift_little_friends","Amiguitos veloces"
"specials.name.swift_maneuvers","Maniobras veloces"
"specials.name.swift_stingers","Picaduras veloces"
"specials.name.swooping_support","Apoyo en picado"
"specials.name.swooping_talon","Garras en picado"
"specials.name.sword_barricade","Barricada de espadas"
"specials.name.sword_dance","Danza de espadas"
"specials.name.sword_of_swan_song","Espada del canto del cisne"
"specials.name.sword_of_wei","Espada de Wei"
"specials.name.sylvan_blessings","Bendiciones silvanas"
"specials.name.symphonic_pulverizer","Pulverizador sinfónico"
"specials.name.tackle","Placaje"
"specials.name.tactical_cut","Corte táctico"
"specials.name.tail_bash","Golpe de colas"
"specials.name.tail_slam","Golpe de cola"
"specials.name.tail_slam_deadly","Golpe de cola"
"specials.name.tail_sting","Picadura de cola"
"specials.name.tail_sting_deadly","Picadura de cola"
"specials.name.tainted_axe","Hacha corrompida"
"specials.name.tambourine_solo","Solo de pandereta"
"specials.name.tangy_berry_blast_dragon_pve","Explosión de bayas ácidas"
"specials.name.tantrum_of_forest","Ira de las caricaturas"
"specials.name.teeth_of_the_river","Dientes del río"
"specials.name.tempered_blade","Espada templada"
"specials.name.tentacle_jab","Puñetazo con tentáculo"
"specials.name.tentacle_slash","Corte con tentáculo"
"specials.name.terrifying_screech","Graznido aterrador"
"specials.name.terror_shriek","Grito de terror"
"specials.name.testudo_rock","Roca de testudo"
"specials.name.testudo_roll","Voltereta de testudo"
"specials.name.testudo_roll_deadly","Voltereta de testudo"
"specials.name.the_call_to_hibernate","Llamada a hibernar"
"specials.name.the_dukes_investigation","Investigación del duque"
"specials.name.the_eagles_blessing","Bendición de águila"
"specials.name.the_mighty_crescendo","Crescendo poderoso"
"specials.name.the_perfect_throw","Lanzamiento perfecto"
"specials.name.the_piranha_incident","Incidente con pirañas"
"specials.name.the_queens_radiance","El resplandor de la reina"
"specials.name.the_queens_speech","El discurso de la reina"
"specials.name.the_two_sides_of_the_moon","Los dos lados de la luna"
"specials.name.the_undercover_investigation","La investigación encubierta"
"specials.name.thieving_shot","Tiro de criminal"
"specials.name.thorned_slam_dunk","Mate espinoso"
"specials.name.thousand_cuts","Mil cortes"
"specials.name.thousand_palm_strikes","Palmadas a miles"
"specials.name.three_bandit_mice","Tres ratones bandidos"
"specials.name.three_blind_mice","Tres ratones ciegos"
"specials.name.three_little_rams","Tres carneritos"
"specials.name.thresher_worms","Gusanos trilladores"
"specials.name.thrilling_clash","Choque emocionante"
"specials.name.throwing_daggers","Dagas arrojadizas"
"specials.name.throwing_stars","Estrellas radiantes"
"specials.name.thunder_ultimatum","Ultimátum del trueno"
"specials.name.thunderbolt","Relámpago"
"specials.name.thundering_strike","Golpe atronador"
"specials.name.thunderstorm","Tormenta"
"specials.name.thunderstrike","Ultimátum del trueno"
"specials.name.tidal_force","Fuerza de las mareas"
"specials.name.tidal_vortex","Vórtice de las mareas"
"specials.name.tidal_wave","Oleada rebelde"
"specials.name.tidal_waves","Oleaje con marea"
"specials.name.tidy_up","¡A limpiar!"
"specials.name.time_rewind","Rebobinado temporal"
"specials.name.timeless_timepiece","Reloj atemporal"
"specials.name.titanbone_chain_slash","Cadena de hueso de titán"
"specials.name.titanium_antler_attack","Ataque con asta de titanio"
"specials.name.titantooth_blade","Hoja de diente de titán"
"specials.name.to_the_rescue","¡Al rescate!"
"specials.name.tokri_of_resources","Tokri de recursos"
"specials.name.tome_of_the_stag","Tomo cérvido"
"specials.name.toon_annihilation","Aniquilación de caricatura"
"specials.name.toon_athenas_bow","Arco de Athena de caricatura"
"specials.name.toon_attack","Ataque de caricatura"
"specials.name.toon_barrage","Avalancha de caricatura"
"specials.name.toon_bash","Empujón de caricatura"
"specials.name.toon_bite","Mordisco de caricatura"
"specials.name.toon_blast","Explosión de caricatura"
"specials.name.toon_brew","Brebaje de caricatura"
"specials.name.toon_chop","Corte de caricatura"
"specials.name.toon_cleave","Surco de caricatura"
"specials.name.toon_counter","Caricatura y contraataque"
"specials.name.toon_cut","Corte de caricatura"
"specials.name.toon_finisher","Remate de caricatura"
"specials.name.toon_fury","Furia de caricatura"
"specials.name.toon_hit","Leñazo de caricatura"
"specials.name.toon_jolt","Sacudida de caricatura"
"specials.name.toon_lament","Lamento de caricatura"
"specials.name.toon_link","Vínculo de caricatura"
"specials.name.toon_mirror","Espejo de caricatura"
"specials.name.toon_mist","Neblina de caricatura"
"specials.name.toon_of_the_depths","Caricatura de las profundidades"
"specials.name.toon_of_the_seas","Caricatura de los mares"
"specials.name.toon_prowess","Proeza de caricatura"
"specials.name.toon_riposte","Estocada de caricatura"
"specials.name.toon_shot","Tiro de caricatura"
"specials.name.toon_slam","Golpetazo de caricatura"
"specials.name.toon_slash","Tajo de caricatura"
"specials.name.toon_stab","Puñalada de caricatura"
"specials.name.toon_stars","Estrellas de caricatura"
"specials.name.toon_storm","Tormenta de caricatura"
"specials.name.toon_strike","Golpe de caricatura"
"specials.name.toon_traps","Trampas de caricatura"
"specials.name.toon_ultimatum","Ultimátum de caricatura"
"specials.name.toon_vines","Enredaderas de caricatura"
"specials.name.toon_wave","Onda de caricatura"
"specials.name.toon_waza","Oji-Waza de caricatura"
"specials.name.toonball","Bola de caricatura"
"specials.name.tooncry","Grito de caricatura"
"specials.name.toonpower_pulverizer","Pulverizador de caricatura"
"specials.name.toons_luck","Suerte de caricatura"
"specials.name.toons_order","Orden de caricatura"
"specials.name.toontastic_feast","Festín de caricatura"
"specials.name.toontastic_fog","Niebla de caricatura"
"specials.name.toontastic_link","Enlace de caricatura"
"specials.name.toontastic_protection","Protección de caricatura"
"specials.name.toontastic_pulverizer","Pulverizador caricaturesco"
"specials.name.toontastic_riposte","Estocada de caricatura"
"specials.name.toontastic_smash","Aplastamiento de caricatura"
"specials.name.toontastic_strike","Golpe caricaturesco"
"specials.name.total_beatdown","Paliza total"
"specials.name.tough_love","Cañón del amor"
"specials.name.towers_curse","Temporal de arena"
"specials.name.toxic_berry_blast","Estallido de baya tóxica"
"specials.name.toxic_bile","Bilis tóxica"
"specials.name.toxic_flames","Llamas tóxicas"
"specials.name.toxic_fumes","Vapores tóxicos"
"specials.name.toxic_gas_cloud","Nube de gas tóxico"
"specials.name.toxic_headbutt","Cabezazo tóxico"
"specials.name.toxic_incense","Incienso tóxico"
"specials.name.toxic_spit","Esputo tóxico"
"specials.name.toxic_stinger","Escozor tóxico"
"specials.name.toxic_traps","Trampas tóxicas"
"specials.name.toxic_tricks","Trucos tóxicos"
"specials.name.toxicadendra","Crecimiento acelerado"
"specials.name.trainer_blast","Explosión de entrenador"
"specials.name.trainer_slash","Golpe de entrenador"
"specials.name.tranquil_mist","Bruma tranquila"
"specials.name.transcendental_charge","Embestida trascendental"
"specials.name.transcendental_frame","Trampa trascendental"
"specials.name.transfigure","Transfiguración"
"specials.name.travelers_snack","Picoteo de viaje"
"specials.name.treasure_ale","Cerveza preciada"
"specials.name.trial_of_darkness","Prueba de la oscuridad"
"specials.name.trial_of_fauna","Prueba de la fauna"
"specials.name.trial_of_fire","Prueba de fuego"
"specials.name.trial_of_flames","Prueba de las llamas"
"specials.name.trial_of_flora","Prueba de la flora"
"specials.name.trial_of_frost","Prueba gélida"
"specials.name.trial_of_ice","Prueba de hielo"
"specials.name.trial_of_nature","Prueba de naturaleza"
"specials.name.trial_of_pain","Prueba del dolor"
"specials.name.trial_of_the_moon","Prueba de la luna"
"specials.name.trial_of_the_sun","Prueba del sol"
"specials.name.trial_of_the_waters","Prueba de las aguas"
"specials.name.tribal_rage","Ira tribal"
"specials.name.tribal_rage_pve","Ira tribal"
"specials.name.trick_of_the_trade","Secretos del oficio"
"specials.name.trickster_grenades","Granadas engañosas"
"specials.name.tricksters_buff","Botella"
"specials.name.tricksters_damage","Espadas"
"specials.name.tricksters_exchange","Maniobra del embaucador"
"specials.name.tricksters_lullaby","Nana del embaucador"
"specials.name.tricksters_malice","Malicia embaucadora"
"specials.name.tricksters_mischief","Embuste del embaucador"
"specials.name.tricksters_negative","Congelar"
"specials.name.tricksters_transformation","Transformación del embaucador"
"specials.name.triple_stab","Puñalada triple"
"specials.name.triumph_of_strategy","Triunfo de la estrategia"
"specials.name.tropical_ambush","Emboscada tropical"
"specials.name.tumbling_dragon","Dragón rodante"
"specials.name.tumbling_dragon2","Dragón rodante"
"specials.name.turquoise_falcon","Halcón turquesa"
"specials.name.twilight_of_crimes","Crepúsculo de los crímenes"
"specials.name.twilight_of_ruin","Crepúsculo de la ruina"
"specials.name.twilight_of_sorrow","Crepúsculo melancólico"
"specials.name.twilight_star_strike","Golpe estelar crepuscular"
"specials.name.twilight_tricks","Engaños crepusculares"
"specials.name.twist_of_fate","Golpe del destino"
"specials.name.twist_of_fate_minor","Destino truncado"
"specials.name.twostep_swing","Golpe en dos pasos"
"specials.name.ultimate_giftsack","Zurrón de regalos definitivo"
"specials.name.unbreakable_brawler","Matón indestructible"
"specials.name.unbroken_assault","Asalto ininterrumpido"
"specials.name.unchained_jaws","Fauces desencadenadas"
"specials.name.unchained_jaws_ultimate_boss","Fauces desencadenadas"
"specials.name.undead_obliteration","Aniquilación zombi"
"specials.name.undead_penance_poetic","Castigo zombi"
"specials.name.undead_rage","Flecha embrujada"
"specials.name.undead_razer","Exterminio zombi"
"specials.name.under_the_surf","Bajo el oleaje"
"specials.name.underwater_magma_cube","Cubo de magma submarino"
"specials.name.underwater_riddle","Acertijo submarino"
"specials.name.undying_heads","Cabezas inmortales"
"specials.name.undying_heads_ultimate_boss","Cabezas de hidra"
"specials.name.undying_incantation","Ensalmo inmortal"
"specials.name.undying_summon","Invocación inmortal"
"specials.name.unerring_course","Rumbo infalible"
"specials.name.unfeeling_assailing","Acometida insensible"
"specials.name.unhallowed_spirits","Espíritus impíos"
"specials.name.unholy_light","Luz profana"
"specials.name.unholy_power","Poder profano"
"specials.name.unholy_rain","Lluvia profana"
"specials.name.unite_and_oppose","Derrocamiento"
"specials.name.unnatural_pact","Devorador de vitalidad"
"specials.name.unrelenting_hunter","Caza implacable"
"specials.name.unrelenting_riposte","Estocada implacable"
"specials.name.unstoppable_charge","Embestida imparable"
"specials.name.unstoppable_growl","Bramido imparable"
"specials.name.unwavering_devotion","Devoción inquebrantable"
"specials.name.unwavering_devotion_pve","Devoción inquebrantable"
"specials.name.unwavering_focus","Concentración inquebrantable"
"specials.name.unyielding_protector","Protección firme"
"specials.name.unyielding_stance","Postura firme"
"specials.name.unyielding_sword","Espada firme"
"specials.name.urgent_gift_delivery","Entrega de regalos urgente"
"specials.name.ursine_protection","Protección osuna"
"specials.name.valiant_lunge","Embestida valiente"
"specials.name.valkyrie_charge","Carga de valkiria"
"specials.name.valkyrie_defense","Defensa de valkiria"
"specials.name.valkyrie_resistance","Resistencia de valkiria"
"specials.name.valkyrie_rush","Avalancha de valkiria"
"specials.name.valkyries_fortitude","Fortaleza de valkiria"
"specials.name.valorant_strike","Golpe valeroso"
"specials.name.valuable_contribution","Contribución valiosa"
"specials.name.vampire_killer","Matavampiros"
"specials.name.vampiric_cleave","Tajo vampírico"
"specials.name.vampiric_curse","Maldición vampírica"
"specials.name.vampiric_heist","Golpe vampírico"
"specials.name.vampiric_touch","Toque vampírico"
"specials.name.vanguard_of_passion","Vanguardia de la pasión"
"specials.name.vantage_point","Punto estratégico"
"specials.name.vapors_of_the_underworld","Vapores del inframundo"
"specials.name.vast_ward","Protección robusta"
"specials.name.vengeance_of_owlhalla","Venganza del Buhohalla"
"specials.name.vengeful_backstab","Puñalada a traición"
"specials.name.vengeful_scythe","Guadaña vengativa"
"specials.name.venom_slash","Tajo venenoso"
"specials.name.venomfang_concoction","Mejunje venenoso"
"specials.name.venomous_claws","Garras venenosas"
"specials.name.venomous_jab","Golpe venenoso"
"specials.name.venomous_spores","Esporas venenosas"
"specials.name.venomous_sting_dragon_pve","Picadura venenosa"
"specials.name.verdant_mirror","Espejo verde"
"specials.name.verdant_trap","Trampa verde"
"specials.name.vertical_slash","Sablazo vertical"
"specials.name.vicious_axe","Hacha despiadada"
"specials.name.vicious_cyclone","Ciclón despiadado"
"specials.name.vicious_strike","Golpe despiadado"
"specials.name.vicious_trap","Trampa despiadada"
"specials.name.vigilante_punch","Puñetazo de justiciero"
"specials.name.vigorous_aegis","Égida vigorosa"
"specials.name.vigorous_villanelle","Poesía vigorosa"
"specials.name.vile_blessing","Maldición debilitadora"
"specials.name.villain_swing","Golpe vil"
"specials.name.viper_blade","Hoja de víbora"
"specials.name.viper_blade_costume_bear_slayer","Hoja de oso"
"specials.name.viscous_shield_justico","Escudo viscoso"
"specials.name.vitalizing_show","Función revitalizadora"
