"heroes.name_fancy.astral_cosmicspeaker","Elfa astral astrónoma"
"heroes.name_fancy.owl_lodius","Berserker de la torre de los búhos"
"heroes.name_fancy.owl_mariol","Cortesana de la torre de los búhos"
"heroes.name_fancy.owl_olbec","Alquimista de la torre de los búhos"
"heroes.name_fancy.owl_ommodus","Dictasentencias de la torre de los búhos"
"heroes.name_fancy.owl_paeia","Princesa de la torre de los búhos"
"heroes.name_fancy.owl_pertinax","Caballero guardián de la torre de los búhos"
"heroes.name_fancy.owl_relius","Herborista de la torre de los búhos"
"heroes.name_fancy.owl_timius","Vanguardia real de la torre de los búhos"
"heroes.name_fancy.owl_verus","Comandante de los exploradores de la torre de los búhos"
"heroes.name_fancy.pirate_anne","Figura insigne de Corellia"
"heroes.name_fancy.pirate_boatswain","Contramaestre de Corellia"
"heroes.name_fancy.pirate_cabin_boy","Grumete de Corellia"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Chico de los recados de la costa"
"heroes.name_fancy.pirate_commodore_finley","Comodoro de Corellia"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Comodoro lúgubre"
"heroes.name_fancy.pirate_dread_captain","Capitán aterrador de Corellia"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Capitán corrupto de Corellia"
"heroes.name_fancy.pirate_finley","Timonel vengativo de Corellia"
"heroes.name_fancy.pirate_first_mate","Primer oficial de Corellia"
"heroes.name_fancy.pirate_lady","Dama de Corellia"
"heroes.name_fancy.pirate_lady_costume_queen","Reina rebelde"
"heroes.name_fancy.pirate_marie_therese","Reina vudú de Corellia"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Sacerdotisa ladrona de almas"
"heroes.name_fancy.pirate_sally","Mascota de Corellia"
"heroes.name_fancy.pirate_swashbuckler","Capitán pirata de Corellia"
"heroes.name_fancy.pirate_vodnik","Pescador de Corellia"
"heroes.name_fancy.rabbit_blue","Guardián de Springvale"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Quebrantador de abismos"
"heroes.name_fancy.rabbit_green","Campeón de Springvale"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Cazahuevos de Springvale"
"heroes.name_fancy.rabbit_red","Escudero de Springvale"
"heroes.name_fancy.rabbit_red_costume_knight","Caballero joven de Springvale"
"heroes.name_fancy.rodent_embertail","El pirorratón"
"heroes.name_fancy.rodent_sproutwhisker","La clériga oscura"
"heroes.name_fancy.ronin_asakura_masao","Ronin enfurecido"
"heroes.name_fancy.ronin_kageyama_nagato","Ronin de shuriken ladrón"
"heroes.name_fancy.ronin_mikanagi_miran","Ronin demonio"
"heroes.name_fancy.ronin_tokage_daigo","Ronin de sangre fría"
"heroes.name_fancy.ronin_yamada_jingasa","Campeón de Karate"
"heroes.name_fancy.royal_female_knight","Campeón obstinado"
"heroes.name_fancy.royal_female_knight_costume_cute","Campeona de caricatura"
"heroes.name_fancy.royal_female_knight_costume_glass","Campeona de cristal"
"heroes.name_fancy.royal_female_knight_costume_prospector","Buscadora obstinada"
"heroes.name_fancy.royal_female_knight_costume_winter","Campeón vikingo"
"heroes.name_fancy.royal_knight","Caballero protector"
"heroes.name_fancy.royal_knight_commander","Forjador de la espada Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_cute","Caricatura Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_glass","Vidriera Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Comandante Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_king","Rey Frostmorrow"
"heroes.name_fancy.royal_knight_costume_blacksmith","Herrero valiente"
"heroes.name_fancy.royal_knight_costume_cute","Caballero de caricatura"
"heroes.name_fancy.royal_knight_costume_glass","Caballero de cristal"
"heroes.name_fancy.royal_pikeman","Guarda serio"
"heroes.name_fancy.s2_ariel","Princesa de Atlantis"
"heroes.name_fancy.s2_ariel_costume_cute","Princesa de Atlantis de caricatura"
"heroes.name_fancy.s2_ariel_costume_enchanter","Hechicera de Atlantis"
"heroes.name_fancy.s2_atlantean_robot","Observador de Atlantis"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Observador atlante de caricatura"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Centinela atlante"
"heroes.name_fancy.s2_chameleon_bruiser","Guerrero camaleón"
"heroes.name_fancy.s2_chameleon_chief","Camaleón general"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Campeón de pesos pesados del mundo"
"heroes.name_fancy.s2_chameleon_mage","Camaleón chamán"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Camaleón alquimista"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Camaleón alquimista de caricatura"
"heroes.name_fancy.s2_croc_man","Bestia del pantano"
"heroes.name_fancy.s2_cursed_samurai","Señor de la guerra maldito"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Escarabajo samurái"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Señor maldito de caricatura"
"heroes.name_fancy.s2_demon_master","Daimio del engaño"
"heroes.name_fancy.s2_demon_master_costume_cute","Caricatura del engaño"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul estratega"
"heroes.name_fancy.s2_fiji_mermaid","Cazadora frívola"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Cazadora de caricatura"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Acechadora de las aguas poco profundas"
"heroes.name_fancy.s2_fox_girl","Espíritu de las nueve colas"
"heroes.name_fancy.s2_fox_girl_costume_cute","Caricatura de las nueve colas"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Espíritu de kitsune blanco"
"heroes.name_fancy.s2_ghost_woman","Fantasma solitario"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Yurei solitaria"
"heroes.name_fancy.s2_hammerhead_hulk","Carnicero salvaje"
"heroes.name_fancy.s2_hammerhead_hulk_costume_cute","Caricatura salvaje"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Espadachín salvaje"
"heroes.name_fancy.s2_junglehunter","Príncipe de la jungla"
"heroes.name_fancy.s2_junglehunter_costume_cute","Caricatura de la jungla"
"heroes.name_fancy.s2_junglehunter_costume_party","Príncipe del luau"
"heroes.name_fancy.s2_lantern_ghost","Linterna Yokai"
"heroes.name_fancy.s2_mercenary_woman","Mercenaria gloriosa"
"heroes.name_fancy.s2_mercenary_woman_costume_cute","Caricatura magnífica"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Bailarina de hula magnífica"
"heroes.name_fancy.s2_merman","Tritón de Atlantis"
"heroes.name_fancy.s2_merman_costume_cute","Tritón de caricatura"
"heroes.name_fancy.s2_merman_costume_leutenant","Teniente de Atlantis"
"heroes.name_fancy.s2_merwoman","Sirena de Atlantis"
"heroes.name_fancy.s2_merwoman_costume_cute","Sirena de caricatura"
"heroes.name_fancy.s2_merwoman_costume_emissary","Emisaria de Atlantis"
"heroes.name_fancy.s2_noble_lady","Belleza fatal"
"heroes.name_fancy.s2_noble_lady_costume_cute","Belleza de caricatura"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Belleza abrasadora"
"heroes.name_fancy.s2_oceanus","Titán del mar"
"heroes.name_fancy.s2_oceanus_costume_volcano","Titán del magma"
"heroes.name_fancy.s2_poseidon","Dirigente de Atlantis"
"heroes.name_fancy.s2_poseidon_costume_cute","Dirigente de Atlantis de caricatura"
"heroes.name_fancy.s2_poseidon_costume_slayer","Asesino de Atlantis"
"heroes.name_fancy.s2_proteus","Mago de Atlantis"
"heroes.name_fancy.s2_proteus_costume_cute","Mago de Atlantis de caricatura"
"heroes.name_fancy.s2_proteus_costume_farseer","Vidente de Atlantis"
"heroes.name_fancy.s2_rugged_fisherman","Pescador valiente"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Pescador valiente de caricatura"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Maestro destilador astuto"
"heroes.name_fancy.s2_skyllaros","Guardián de Atlantis"
"heroes.name_fancy.s2_skyllaros_costume_cute","Guardián de Atlantis de caricatura"
"heroes.name_fancy.s2_skyllaros_costume_reef","Guardián del arrecife"
"heroes.name_fancy.s2_straw_demon","Demonio de paja"
"heroes.name_fancy.s2_tanuki_raccoon","Impostor intrépido"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Comerciante intrépido"
"heroes.name_fancy.s2_tethys","Diosa de todos los ríos"
"heroes.name_fancy.s2_tethys_costume_steel","Vengadora de todos los ríos"
"heroes.name_fancy.s2_triton","Capitán de Atlantis"
"heroes.name_fancy.s2_triton_costume_champion","Campeón de Atlantis"
"heroes.name_fancy.s2_ursena","Emperatriz de las profundidades"
"heroes.name_fancy.s2_ursena_costume_cute","Caricatura de las profundidades"
"heroes.name_fancy.s2_ursena_costume_reef","Reina letal del arrecife"
"heroes.name_fancy.s3_agnes","Aldeano intrépido"
"heroes.name_fancy.s3_alfrike","Reina de Svartalfheim"
"heroes.name_fancy.s3_alfrike_costume_hatter","Sombrerera de Svartalfheim"
"heroes.name_fancy.s3_almur","Asesino furtivo de Svartalfheim"
"heroes.name_fancy.s3_almur_costume_lord","Señor de Svartalfheim"
"heroes.name_fancy.s3_anwindr","Matón vikingo maldito"
"heroes.name_fancy.s3_baldur","Dios luminoso"
"heroes.name_fancy.s3_baldur_costume_fiery","Dios ardiente"
"heroes.name_fancy.s3_bera","Princesa de las dísir"
"heroes.name_fancy.s3_bera_costume_conjurer","Conjuradora de las dísir"
"heroes.name_fancy.s3_bjorn","Aldeano valiente"
"heroes.name_fancy.s3_bjorn_costume_viking","Soldado valiente"
"heroes.name_fancy.s3_brynhild","Doncella escudera de valkirias"
"heroes.name_fancy.s3_by_ulf","Alborotador vikingo maldito"
"heroes.name_fancy.s3_ei_dunn","Combatiente vikingo maldito"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Combatiente vikinga feroz"
"heroes.name_fancy.s3_fenrir","Líder de Niflheim"
"heroes.name_fancy.s3_fenrir_costume_guardian","Guardián de Niflheim"
"heroes.name_fancy.s3_freya","Dama de los caídos"
"heroes.name_fancy.s3_freya_costume_witch","Bruja de los caídos"
"heroes.name_fancy.s3_frigg","Diosa de los presagios"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Diosa de la clarividencia"
"heroes.name_fancy.s3_fura","Envenenadora de Svartalfheim"
"heroes.name_fancy.s3_fura_costume_herbalist","Herborista de Svartalfheim"
"heroes.name_fancy.s3_gefjon","Diosa de la cosecha"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Diosa de la naturaleza"
"heroes.name_fancy.s3_grevle","Mofeta astuta"
"heroes.name_fancy.s3_gullinbursti","Jabalí dorado"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Jabalí desencadenado"
"heroes.name_fancy.s3_heimdall","Vigilante atento"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Custodio temido"
"heroes.name_fancy.s3_jarvur","Carcayú púgil"
"heroes.name_fancy.s3_jott","Gigante bárbaro de hielo"
"heroes.name_fancy.s3_kvasir","Apicultor de Alfheim"
"heroes.name_fancy.s3_kvasir_costume_captain","Capitán apicultor de Alfheim"
"heroes.name_fancy.s3_loki_female","Diosa de los engaños"
"heroes.name_fancy.s3_loki_female_costume_mother","Madre embaucadora"
"heroes.name_fancy.s3_loki_fish","Pez embaucador"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Pez gallardo"
"heroes.name_fancy.s3_loki_male","Dios de los engaños"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Dios cambiaformas"
"heroes.name_fancy.s3_mireweave","Draugr veloz"
"heroes.name_fancy.s3_mist","Comandante de valkirias"
"heroes.name_fancy.s3_nordri","Duende de hielo de Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Duende explorador de Jotunheim"
"heroes.name_fancy.s3_norns","Tejedoras del destino"
"heroes.name_fancy.s3_norns_costume_puppeteers","Marionetistas del destino"
"heroes.name_fancy.s3_odin","Padre que todo lo sabe"
"heroes.name_fancy.s3_odin_costume_champion","Padre de todos valeroso"
"heroes.name_fancy.s3_ratatoskr","Mensajero de Yggdrasil"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Arquitecto de Yggdrasil"
"heroes.name_fancy.s3_shadereave","Draugr bruto"
"heroes.name_fancy.s3_sif","Deidad de cabellos rubios"
"heroes.name_fancy.s3_sif_costume_golden","Deidad dorada"
"heroes.name_fancy.s3_skadi","Diosa de Jotunheim"
"heroes.name_fancy.s3_skadi_costume_ravager","Guardiana de Jotunheim"
"heroes.name_fancy.s3_stonecleave","Draugr firme"
"heroes.name_fancy.s3_sudri","Duende de fuego de Muspelheim"
"heroes.name_fancy.s3_sumle","Gigante corpulento de fuego"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Gigante impío de fuego"
"heroes.name_fancy.s3_thor","Dios del trueno"
"heroes.name_fancy.s3_thor_costume_conduit","Conducto del trueno"
"heroes.name_fancy.s3_tyr","Justicia implacable"
"heroes.name_fancy.s3_tyr_costume_savage","Justicia salvaje"
"heroes.name_fancy.s4_akkorog","Jefe de los morlocks"
"heroes.name_fancy.s4_akkorog_costume_football","Corredor morlock"
"heroes.name_fancy.s4_aouda","Princesa bondadosa"
"heroes.name_fancy.s4_aouda_costume_lotus","Princesa del loto"
"heroes.name_fancy.s4_captain_nemo","Explorador enigmático"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Maquinista enigmático"
"heroes.name_fancy.s4_congalach","Guerrero de las profundidades"
"heroes.name_fancy.s4_congalach_costume_kelp","Guerrero de alga marina"
"heroes.name_fancy.s4_doctor_moreau","Científico perverso"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Escriba perverso"
"heroes.name_fancy.s4_elizabeth","Aristócrata arácnida"
"heroes.name_fancy.s4_elizabeth_costume_bride","Aristócrata nupcial"
"heroes.name_fancy.s4_exeera","Sacerdotisa octópoda"
"heroes.name_fancy.s4_exeera_costume_hierophant","Hierofante octópoda"
"heroes.name_fancy.s4_garjammal","Maestra de batalla de los morlocks"
"heroes.name_fancy.s4_garjammal_costume_kite","Maestra de cometas de los morlocks"
"heroes.name_fancy.s4_gramps","Mediano anciano"
"heroes.name_fancy.s4_gramps_costume_gardener","Jardinero mediano"
"heroes.name_fancy.s4_griffin","Hombre invisible"
"heroes.name_fancy.s4_griffin_costume_priest","Sacerdote invisible"
"heroes.name_fancy.s4_hannah","Arqueóloga aventurera"
"heroes.name_fancy.s4_hannah_costume_drover","Vaquera aventurera"
"heroes.name_fancy.s4_helo","Pescador eloi"
"heroes.name_fancy.s4_helo_costume_baker","Panadero eloi"
"heroes.name_fancy.s4_hulda","Líder de los topos"
"heroes.name_fancy.s4_hulda_costume_nurse","Jefa de enfermeras"
"heroes.name_fancy.s4_kravekrush","Comandante ettin"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Parrillero ettin"
"heroes.name_fancy.s4_lepiota","Líder de los eloi"
"heroes.name_fancy.s4_lepiota_costume_undying","Líder de los inmortales"
"heroes.name_fancy.s4_lughaidh","Rey de las profundidades"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Rey imperecedero"
"heroes.name_fancy.s4_mack","Aventurero mediano"
"heroes.name_fancy.s4_mack_costume_novelist","Novelista mediano"
"heroes.name_fancy.s4_morel","Cazador eloi"
"heroes.name_fancy.s4_morel_costume_sage","Sabia eloi"
"heroes.name_fancy.s4_morris","Hombre topo fortachón"
"heroes.name_fancy.s4_morris_costume_potter","Hombre topo ceramista"
"heroes.name_fancy.s4_octros","Campeón octópodo"
"heroes.name_fancy.s4_octros_costume_suitor","Pretendiente molusco"
"heroes.name_fancy.s4_passepartout","Viajero inteligente"
"heroes.name_fancy.s4_passepartout_costume_artist","Artista elegante"
"heroes.name_fancy.s4_phileas_fogg","Viajero intrépido"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Ingeniero sofisticado"
"heroes.name_fancy.s4_poppy","Ballestera mediana"
"heroes.name_fancy.s4_poppy_costume_lodger","Huésped mediana"
"heroes.name_fancy.s4_professor_lidenbrock","Científica sagaz"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Joyera sagaz"
"heroes.name_fancy.s4_rokkamush","Aplastador ettin"
"heroes.name_fancy.s4_rokkamush_costume_mason","Cantero ettin"
"heroes.name_fancy.s4_russula","Rebelde eloi"
"heroes.name_fancy.s4_russula_costume_painter","Pintor eloi"
"heroes.name_fancy.s4_tettukh","Morlock matón"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Morlock animador"
"heroes.name_fancy.s4_vollermork","Morlock chatarrero"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlock camarero"
"heroes.name_fancy.s4_xenda","Heredera del inframundo"
"heroes.name_fancy.s4_xenda_costume_flame","Heredera de la llama"
"heroes.name_fancy.s4_xnolphod","Hechicero octópodo"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Carcelero octópodo"
"heroes.name_fancy.s4_zekena","Príncipe miriápodo"
"heroes.name_fancy.s4_zekena_costume_vines","Príncipe apocináceo"
"heroes.name_fancy.s4_zenobia","Reina miriápoda"
"heroes.name_fancy.s4_zenobia_costume_floral","Reina apocinácea"
"heroes.name_fancy.s4_zila_lei","Asesina octópoda"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Bailarina octópoda"
"heroes.name_fancy.s5_ahhotep","Momia guerrera"
"heroes.name_fancy.s5_ahhotep_costume_champion","Momia campeona"
"heroes.name_fancy.s5_ahmose","Faraón momificado"
"heroes.name_fancy.s5_ahmose_costume_reborn","Faraón renacido"
"heroes.name_fancy.s5_anubis","Dios del más allá"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Árbitro de la pista de baile"
"heroes.name_fancy.s5_aqeela","Granuja espabilada"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Hechicera espabilada"
"heroes.name_fancy.s5_azmia","Tabernera ruda"
"heroes.name_fancy.s5_azmia_costume_dancing","Tabernera danzante"
"heroes.name_fancy.s5_bastet","Ojo de la luna"
"heroes.name_fancy.s5_bastet_costume_forest","Ojo del bosque"
"heroes.name_fancy.s5_bennu","Espíritu de la creación"
"heroes.name_fancy.s5_bennu_costume_heron","Garza de la creación"
"heroes.name_fancy.s5_cleopatra","Faraona divina"
"heroes.name_fancy.s5_cleopatra_costume_feline","Faraona felina"
"heroes.name_fancy.s5_el_naddaha","Sirena del río"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Sirena del mar"
"heroes.name_fancy.s5_eset","Dama de los mil nombres"
"heroes.name_fancy.s5_eset_costume_goldensun","Dama del sol dorado"
"heroes.name_fancy.s5_faiez","Granjero providencial"
"heroes.name_fancy.s5_faiez_costume_miner","Minero providencial"
"heroes.name_fancy.s5_hathor","Diosa de la maternidad"
"heroes.name_fancy.s5_hathor_costume_starlit","Madre estelar"
"heroes.name_fancy.s5_hetepheres","Esfinge artera"
"heroes.name_fancy.s5_hetepheres_costume_spa","Esfinge en el balneario"
"heroes.name_fancy.s5_horus","Dios de la caza"
"heroes.name_fancy.s5_horus_costume_golden","Cazador dorado"
"heroes.name_fancy.s5_jarif","Escriba estresado"
"heroes.name_fancy.s5_jarif_costume_curator","Mecenas estresado"
"heroes.name_fancy.s5_junaid","Soldado leal"
"heroes.name_fancy.s5_junaid_costume_champion","Campeón leal"
"heroes.name_fancy.s5_khafre","Androesfinge perspicaz"
"heroes.name_fancy.s5_khafre_costume_aquatic","Androesfinge acuática"
"heroes.name_fancy.s5_khepri","Dios escarabajo"
"heroes.name_fancy.s5_khepri_costume_overlord","Señor escarabajo"
"heroes.name_fancy.s5_khonshu","Dios de la luna"
"heroes.name_fancy.s5_khonshu_costume_knight","Caballero de la luna"
"heroes.name_fancy.s5_maat","Dama de la armonía"
"heroes.name_fancy.s5_maat_costume_river","Dama del Iteru"
"heroes.name_fancy.s5_meresankh","Esfinge del sol"
"heroes.name_fancy.s5_meresankh_costume_disco","Esfinge de discoteca"
"heroes.name_fancy.s5_papyros","Gólem de papel y arena"
"heroes.name_fancy.s5_papyros_costume_colossus","Coloso de papel y arena"
"heroes.name_fancy.s5_ptolemy","Faraón ancestral"
"heroes.name_fancy.s5_ptolemy_costume_log","Tronco ancestral"
"heroes.name_fancy.s5_rekhetre","Joven esfinge"
"heroes.name_fancy.s5_rekhetre_costume_artist","Joven artista"
"heroes.name_fancy.s5_scoratek","Guardia escarabajo"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Centinela escarabajo"
"heroes.name_fancy.s5_sekhmet","Ojo del sol"
"heroes.name_fancy.s5_sekhmet_costume_warden","Guardia del sol"
"heroes.name_fancy.s5_set","Usurpador oscuro"
"heroes.name_fancy.s5_set_costume_tyrant","Tirano oscuro"
"heroes.name_fancy.s5_sneferu","Esfinge de la luna"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Adalid de la luna"
"heroes.name_fancy.s5_sobek","Dios del río"
"heroes.name_fancy.s5_sobek_costume_guardian","Guardián del río"
"heroes.name_fancy.s5_tetisheri","Reina momificada"
"heroes.name_fancy.s5_tetisheri_costume_molten","Reina fundida"
"heroes.name_fancy.s5_waqas","Escudo del faraón"
"heroes.name_fancy.s5_waqas_costume_blade","Filo del faraón"
"heroes.name_fancy.sand_horse","Corcel fiable del Imperio de la arena"
"heroes.name_fancy.sand_king","Rey del Imperio de la arena"
"heroes.name_fancy.sand_king_costume_lifeguard","Rey de los socorristas"
"heroes.name_fancy.sand_queen","Reina del Imperio de la arena"
"heroes.name_fancy.sand_queen_costume_surfer","Reina surfista"
"heroes.name_fancy.sand_roc","Protector del Imperio de la arena"
"heroes.name_fancy.sand_roc_costume_juice","Protector de la playa"
"heroes.name_fancy.sand_soldier","Soldado del Imperio de la arena"
"heroes.name_fancy.sand_tower","Bestia del Imperio de la arena"
"heroes.name_fancy.sand_vizier","Visir del Imperio de la arena"
"heroes.name_fancy.scoundrel_duval","Tirador artero"
"heroes.name_fancy.scoundrel_lane","Bandolero de caminos"
"heroes.name_fancy.shadow_abigail","Periodista de investigación"
"heroes.name_fancy.shadow_asketel","Buscador del conocimiento perdido"
"heroes.name_fancy.shadow_atwood","Fascinado por lo desconocido"
"heroes.name_fancy.shadow_burton","Detective homúnculo"
"heroes.name_fancy.shadow_cthuwu","Engendro de los mayores"
"heroes.name_fancy.shadow_dolores","Detective privada imprudente"
"heroes.name_fancy.shadow_gwendoline","Arqueóloga fanática"
"heroes.name_fancy.shadow_hunter","Descendiente de los mayores"
"heroes.name_fancy.shadow_hysteria","Coleccionista de artefactos místicos"
"heroes.name_fancy.shadow_melancholia","Secuaz de los mayores"
"heroes.name_fancy.shadow_omen","Consagrado en el arrecife demoníaco"
"heroes.name_fancy.shadow_penelope","Exbibliotecaria feroz"
"heroes.name_fancy.shadow_rashan","Manipulador de metal hulu"
"heroes.name_fancy.shadow_rosanna","Tiradora certera"
"heroes.name_fancy.shadow_salvatore","Médium retorcido"
"heroes.name_fancy.shadow_shoggo","Guía cambiaformas"
"heroes.name_fancy.shadow_wulfstan","Artesano de munición sobrenatural"
"heroes.name_fancy.shadow_zavinia","Híbrido de las profundidades"
"heroes.name_fancy.slayer_aodhan","El Ardiente"
"heroes.name_fancy.slayer_caitlin","La Iluminada"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Cruzada justiciera"
"heroes.name_fancy.slayer_cathal","El Valiente"
"heroes.name_fancy.slayer_cillian","El Inmortal"
"heroes.name_fancy.slayer_maeve","La Oculta"
"heroes.name_fancy.slayer_noril","El Feroz"
"heroes.name_fancy.slayer_orla","La Noble"
"heroes.name_fancy.slayer_rian","El Inalterable"
"heroes.name_fancy.slayer_saoirse","La Indomable"
"heroes.name_fancy.slayer_saoirse_costume_knight","La Vencedora"
"heroes.name_fancy.slayer_senan","El Maldito"
"heroes.name_fancy.slayer_senan_costume_tentacles","Siervo cefaloide"
"heroes.name_fancy.slime_achillea","Viscosidad gladiadora valiente"
"heroes.name_fancy.slime_boboosang","Viscosidad comerciante mayor"
"heroes.name_fancy.slime_bulklug","Viscosidad constructora amasijo"
"heroes.name_fancy.slime_charmione","Baba teatral encantadora"
"heroes.name_fancy.slime_chingiriko","Viscosidad acechadora sombría"
"heroes.name_fancy.slime_choozen","Cofre viscoso tímido"
"heroes.name_fancy.slime_fruitio","Viscosidad amante de la fruta"
"heroes.name_fancy.slime_fungustine","Viscosidad forestal rejuvenecedora"
"heroes.name_fancy.slime_gloozmer","Viscosidad embaucadora dulce"
"heroes.name_fancy.slime_goldrip","Rey dorado de las viscosidades"
"heroes.name_fancy.slime_gooldron","Viscosidad sabelotodo del caldero"
"heroes.name_fancy.slime_goorian","Lodo bárbaro"
"heroes.name_fancy.slime_gooric","Baba sabia del santuario"
"heroes.name_fancy.slime_gooze","Baba huida del laboratorio de alquimia"
"heroes.name_fancy.slime_gunktus","Amasijo de combate implacable"
"heroes.name_fancy.slime_harubo","Viscosidad patrulladora"
"heroes.name_fancy.slime_justico","Viscosidad protectora"
"heroes.name_fancy.slime_knightus","Viscosidad templaria caballerosa"
"heroes.name_fancy.slime_labblub","Viscosidad científica curiosa"
"heroes.name_fancy.slime_magistine","Viscosidad conjuradora"
"heroes.name_fancy.slime_mucktus","Amasijo forestal maligno"
"heroes.name_fancy.slime_slaymire","Viscosidad verdugo obstinada"
"heroes.name_fancy.slime_slimgo","Viscosidad rebelde astuta"
"heroes.name_fancy.slime_sliposi","Viscosidad mensajera resbaladiza"
"heroes.name_fancy.slime_sludgus","Viscosidad cantarina de taberna"
"heroes.name_fancy.slime_verdigoo","Viscosidad árbitra esmeralda"
"heroes.name_fancy.slime_zestique","Viscosidad ruborizada dulce"
"heroes.name_fancy.styx_amphitrite","Diosa del mar"
"heroes.name_fancy.styx_arges","Cíclope comerciante de pócimas"
"heroes.name_fancy.styx_brontes","Cíclope granjero"
"heroes.name_fancy.styx_charon","Barquero de Estigia"
"heroes.name_fancy.styx_dante","Aventurero del inframundo"
"heroes.name_fancy.styx_erebus","Dios de la oscuridad profunda"
"heroes.name_fancy.styx_hypnos","Maestro del sueño"
"heroes.name_fancy.styx_nemesis","Diosa de la retribución divina"
"heroes.name_fancy.styx_nyx","Madre Noche"
"heroes.name_fancy.styx_steropes","Cíclope artista"
"heroes.name_fancy.styx_thanatos","Dios de la muerte pacífica"
"heroes.name_fancy.styx_virgil","Guía del inframundo"
"heroes.name_fancy.tales1_aqualith","Hoplita elemental"
"heroes.name_fancy.tales1_aqualith_costume_purple","Coloso elemental"
"heroes.name_fancy.tales1_atlanteia","Nereida glacial de las profundidades"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Sirena glacial de las profundidades"
"heroes.name_fancy.tales1_bagreg","Hombre pez alborotador"
"heroes.name_fancy.tales1_bagreg_costume_scout","Chico pez de los exploradores"
"heroes.name_fancy.tales1_ceto","Diosa primordial de los monstruos marinos"
"heroes.name_fancy.tales1_ceto_costume_queen","Reina primordial de los monstruos marinos"
"heroes.name_fancy.tales1_domiventus","El ser hadal eterno"
"heroes.name_fancy.tales1_domiventus_costume_supreme","El ser hadal supremo"
"heroes.name_fancy.tales1_ephyra","Princesa nereida"
"heroes.name_fancy.tales1_ephyra_costume_reef","Princesa del arrecife"
"heroes.name_fancy.tales1_galapago","Sabio de los océanos"
"heroes.name_fancy.tales1_galapago_costume_quarry","Sabio rodador de la cantera"
"heroes.name_fancy.tales1_gelert","Cazador de tesoros de las profundidades"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Buscatesoros de las profundidades"
"heroes.name_fancy.tales1_gestalt","Príncipe de las profundidades eternas"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Príncipe de las perlas eternas"
"heroes.name_fancy.tales1_jaco","Comerciante corrupto de las profundidades"
