"specials.name.a_cozy_break","Een gezellige pauze"
"specials.name.razor_smile","Vlijmscherpe glimlach"
"specials.name.reanimated_spite","Tot leven gewekte wrok"
"specials.name.reanimated_spite_pve","Tot leven gewekte wrok"
"specials.name.reckless_charge","Roekeloze lading"
"specials.name.reckless_finisher","Roekeloze Afmaker"
"specials.name.reckless_slash","Roekeloze Houw"
"specials.name.reckless_stab","Roekeloze Steek"
"specials.name.reckless_swing","Roekeloze slag"
"specials.name.reckless_sword_swings","Roekeloze zwaardslagen"
"specials.name.red_lizard_charge","Rode camouflagehagedislading"
"specials.name.red_shoes","Rode schoenen"
"specials.name.red_sparks_dragon_pve","Rode vonken"
"specials.name.reef_blast","Rifexplosie"
"specials.name.reflecting_stance","Weerspiegelende houding"
"specials.name.regal_claws","Vorstelijke klauwen"
"specials.name.regal_spearhead","Vorstelijke speerkop"
"specials.name.regeneration","Regeneratie"
"specials.name.rejuvenating_elixir","Verjongend elixer"
"specials.name.rejuvenating_leap","Verjongende sprong"
"specials.name.relaxing_riddle","Ontspannend raadsel"
"specials.name.relentless_brawler","Meedogenloze knokker"
"specials.name.remedies_and_diseases","Remedies en ziekten"
"specials.name.rending_dagger","Verscheurende dolk"
"specials.name.reporting_for_duty","Melden voor dienst"
"specials.name.resolute_spirit","Resolute geest"
"specials.name.resolute_spirit2","Resolute geest"
"specials.name.restoration_and_annihilation","Herstel en vernietiging"
"specials.name.resurrection_of_the_fallen","Wederopstand van de gevallene"
"specials.name.resurrection_of_the_fallen_kemeny","Wederopstand van de gevallene"
"specials.name.revengeful_smite","Wraakzuchtige dreun"
"specials.name.reverse_recovery","Omgekeerd herstel"
"specials.name.reversed_lifeforce","Omgekeerde levenskracht"
"specials.name.revitalizing_melody","Revitaliserende melodie"
"specials.name.revitalizing_orb","Revitaliserende bol"
"specials.name.revitalizing_sludge","Revitaliserend slib"
"specials.name.reviving_touch","Herlevende aanraking"
"specials.name.rhythm_of_havoc","Ritme van de ravage"
"specials.name.riches_to_poor","Van rijkdom naar armoede"
"specials.name.ricochet_bolt","Weerkaatsflits"
"specials.name.riddle_of_the_moon","Raadsel van de maan"
"specials.name.riddle_of_the_sun","Raadsel van de zon"
"specials.name.riders_arrow","Ruiterspijl"
"specials.name.riders_lance","Ruiterslans"
"specials.name.rift_blade","Kloofzwaard"
"specials.name.righteous_pulverizer","Gerechtigde verpletteraar"
"specials.name.righteous_revenge","Gerechtvaardigde wraak"
"specials.name.righteous_stance","Deugdzame houding"
"specials.name.righteous_strike","Gerechtigde aanval"
"specials.name.rime_heart","Rijmend hart"
"specials.name.ring_around_the_rosie","Dans om de Rosie"
"specials.name.rite_of_cuteness","Toon van gerechtigheid"
"specials.name.rite_of_glass","Glasoordeel"
"specials.name.rite_of_judgement","Oordeelsrite"
"specials.name.rites_of_inner_knowledge","Riten van intieme kennis"
"specials.name.ritual_of_judgement","Oordeelsritueel"
"specials.name.ritual_of_the_deep","Ritueel van de diepte"
"specials.name.ritual_of_the_elements","Ritueel van de elementen"
"specials.name.roadside_surprise","Verrassing op de weg"
"specials.name.roar_of_the_panther","Brul van de panter"
"specials.name.rockfall_bash","Rotsvaldreun"
"specials.name.rod_of_freedom","Staf van vrijheid"
"specials.name.rod_of_torment","Staf van kwelling"
"specials.name.roman_cleave","Spartaanse charge"
"specials.name.roots_of_wrath","Wortel van wraak"
"specials.name.roots_of_yggdrasil","Wortels van Yggdrasil"
"specials.name.rose_bouquet_blast","Knallend boeket rozen"
"specials.name.rotten_raid","Verrote overval"
"specials.name.rotting_wound_dragon_pve","Rottende wond"
"specials.name.rottman","Rattenmanie"
"specials.name.rough_and_tumble","Een opstootje"
"specials.name.royal_assault","Koninklijke belegering"
"specials.name.royal_blades","Koninklijke zwaarden"
"specials.name.royal_meatball_buffet","Koninklijk gehaktballenbuffet"
"specials.name.royal_poisoner","Koningsvergiftiger"
"specials.name.ruby_rush","Robijnen stormaanval"
"specials.name.rude_awakening","Ruw ontwaken"
"specials.name.ruler_of_seas","Heerser van de zeeën"
"specials.name.ruler_of_seas_deadly","Heerser van de zeeën"
"specials.name.rural_chop","Boerenhouw"
"specials.name.rush_of_flame","Golf van de vlam"
"specials.name.rushed_melody","Gehaaste melodie"
"specials.name.rusty_blade","Roestig lemmet"
"specials.name.ruthless_gambit","Meedogenloze manoeuvre"
"specials.name.sable_slasher","Sabelsnede"
"specials.name.sacrament_of_salvation","Sacrament der verlossing"
"specials.name.sacred_horns","Heilige hoorns"
"specials.name.sacred_reflection","Heilige reflectie"
"specials.name.saga_of_deliverance","Saga van de verlossing"
"specials.name.saga_of_protection","Saga van de bescherming"
"specials.name.salty_splash_dragon_pve","Zoute spetter"
"specials.name.sanction_for_heresy","Sanctie voor ketterij"
"specials.name.sanctuary_of_light","Heiligdom van licht"
"specials.name.sand_cyclone","Zandcycloon"
"specials.name.sand_cyclone_pve","Zandcycloon"
"specials.name.sand_wave_rana","Surfgolf"
"specials.name.sand_wave_yunan","Wipeout"
"specials.name.sandstorm_strike","Zandstormaanval"
"specials.name.sandworm_strike","Zandwormaanval"
"specials.name.sapphire_eyes","Saffierogen"
"specials.name.saturated_suffering","Verzadigd lijden"
"specials.name.savage_gobble_blue","Woest geschrans"
"specials.name.savage_gobble_green","Woest geschrans"
"specials.name.savage_gobble_purple","Woest geschrans"
"specials.name.savage_gobble_red","Woest geschrans"
"specials.name.savage_gobble_yellow","Woest geschrans"
"specials.name.savage_talons","Woeste klauwen"
"specials.name.scale_of_the_newt","Schaal van de salamander"
"specials.name.scaly_skin","Geschubde huid"
"specials.name.scar_of_the_depths","Litteken uit de diepte"
"specials.name.scar_of_the_depths_deadly","Litteken uit de diepte"
"specials.name.scarab_barrage","Scarabeebarrage"
"specials.name.scarab_blitz","Scarabeeblitz"
"specials.name.scarab_bombardment","Scarabeebombardement"
"specials.name.scarab_rush","Scarabeestorm"
"specials.name.scarab_throw","Scarabeeworp"
"specials.name.scavenging_dash","Schrapende sprint"
"specials.name.scepter_of_bundelkhand","Scepter van Bundelkhand"
"specials.name.scepter_of_constellations","Scepter van constellaties"
"specials.name.scion_sword","Telgzwaard"
"specials.name.scion_sword_costume_white_raven","Telgzwaardblad"
"specials.name.scorching_orb","Verschroeiende bol"
"specials.name.scoundrel_swing","Ploertenzwaai"
"specials.name.scourge_of_joy","Blijdschapsplaag"
"specials.name.scourge_of_the_strong","Plaag van de sterken"
"specials.name.scouts_spyglass","Verrekijker van de verkenner"
"specials.name.scroll_of_equations","Boekrol der Vergelijkingen"
"specials.name.scroll_of_fellowship","Rol van het kameraadschap"
"specials.name.scroll_of_navigation","Scrol van navigatie"
"specials.name.scroll_of_new_beginnings","Boekrol van een nieuw begin"
"specials.name.scroll_of_spite","Rol van wrok"
"specials.name.scythe_of_sorceries","Zeis der spreuken"
"specials.name.seabed_pirouette","Zeebodempirouette"
"specials.name.seabed_sissonne","Zeebodemsissonne"
"specials.name.seal_of_ares","Zegel van Ares"
"specials.name.seal_of_fire","Vuurzegel"
"specials.name.searing_frost","Verschroeiende vorst"
"specials.name.searing_strike","Verschroeiende aanval"
"specials.name.seastar_burst","Zeesterrensalvo"
"specials.name.seaweed_flail","Zeewiervlegel"
"specials.name.second_skin","Tweede huid"
"specials.name.seeking_shots","Zoeker van schoten"
"specials.name.self_preservation","Zelfbehoud"
"specials.name.sense_of_wonder","Gevoel van wonder"
"specials.name.serenade_of_sedition","Serenade van opruiing"
"specials.name.servants_aid","Dienaar van de dienaar"
"specials.name.set_phase2","Ontketende duisternis"
"specials.name.set_phase3","Laatste poging"
"specials.name.severed_seal","Doorgehakt zegel"
"specials.name.severing_strike","Doorklievende aanval"
"specials.name.sewing_back_together","Aan elkaar naaien"
"specials.name.shackles_of_the_sea","Schakels van de zee"
"specials.name.shade_cloak","Schaduwmantel"
"specials.name.shadow_link","Stalen schakel"
"specials.name.shadow_lunge","Schaduwduik"
"specials.name.shadow_monster_form","Eldritchslag"
"specials.name.shadow_sidestep","Uitwijkende schaduw"
"specials.name.shadow_strike","Schaduwaanval"
"specials.name.shadow_sweep","Schaduwveeg"
"specials.name.shady_concerto","Schaduwrijk concerto"
"specials.name.shapeshifters_deception","Misleiding van de vormveranderaar"
"specials.name.shards_of_sun","Zonnestralen"
"specials.name.shared_compassion","Gedeelde compassie"
"specials.name.shared_visage","Gedeeld gelaat"
"specials.name.shark_bite","Haaienbeet"
"specials.name.sharp_cut","Scherpe Snee"
"specials.name.sharp_knife","Scherp mes"
"specials.name.sharp_stingers","Scherpe angels"
"specials.name.shatter_psyche","Versplinterende psyche"
"specials.name.shatter_soul","Gebarsten ziel"
"specials.name.shattering_shriek","Verbrijzelende schreeuw"
"specials.name.shattering_warcry","Verbrijzelende strijdkreet"
"specials.name.shed_skin","Vervelde huid"
"specials.name.shieldmaidens_protection","Bescherming van schildmaagd"
"specials.name.shifting_mindless_attack","Verschuivende hersenloze aanval"
"specials.name.shimmering_shield","Glanzend schild"
"specials.name.shock_bolt","Schokflits"
"specials.name.shock_ultimatum","Schokultimatum"
"specials.name.shocking_news","Schokkend nieuws"
"specials.name.shrill_announcement","Schelle aankondiging"
"specials.name.shy_jab_dragon_pve","Verlegen stoot"
"specials.name.sickening_glow","Ziekelijke gloed"
"specials.name.sickle_of_eradication","Sikkel der Verwoesting"
"specials.name.sickle_of_wu","Sikkel van Wu"
"specials.name.sickle_trouble","Sikkelproblemen"
"specials.name.sideswipe","Zijslag"
"specials.name.sigil_of_the_sun","Zegel van de zon"
"specials.name.silencing_stick_up","Verstommende overval"
"specials.name.silent_takedown","Stille verwoesting"
"specials.name.sinister_enlace","Sinistere omsnoering"
"specials.name.sinister_enlace_deadly","Sinistere omsnoering"
"specials.name.sinister_siphon","Duistere aftapping"
"specials.name.sir_agony","Onttrekkend zwaard"
"specials.name.sir_pain","Wraakzuchtige zeis"
"specials.name.situational_awareness","Situatiebewustzijn"
"specials.name.sky_attack","Luchtaanval"
"specials.name.skyfall_crumble","Luchtvalafbrokkeling"
"specials.name.slash_and_support","Hakken en ondersteunen"
"specials.name.slash_of_four_blades","Houw met vier Zwaarden"
"specials.name.slash_of_glass_blades","Houw met glazen zwaarden"
"specials.name.slash_of_seven_blades","Houw met zeven Zwaarden"
"specials.name.slash_of_seven_daggers","Houw met zeven Dolken"
"specials.name.slash_of_seven_toons","Houw van zeven toons"
"specials.name.slash_of_stylish_blades","Houw met stijlvolle zwaarden"
"specials.name.slash_of_the_seven_stilettos","Slag van de zeven stiletto's"
"specials.name.slash_of_the_vibrant_lion","Slag van de levendige leeuw"
"specials.name.slaying_stake","Doodsstaak"
"specials.name.sledge_bash","Sleeslag"
"specials.name.slice_and_dice","Klieven en kappen"
"specials.name.slice_and_dice_pve","Klieven en kappen"
"specials.name.slime_coated_sword","Slijmerig zwaard"
"specials.name.slime_serving","Portie slijm"
"specials.name.slime_slap","Klap met slijm"
"specials.name.slimy_balls","Slijmerige ballen"
"specials.name.slingja_attack_chingiriko","Sling-ja-aanval"
"specials.name.slumber_spores","Slaapsporen"
"specials.name.slumbering_beatdown","Sluimerende aframmeling"
"specials.name.smoldering_tear_dragon_pve","Smeulende traan"
"specials.name.smooth_treatment","Soepele behandeling"
"specials.name.snapping_jaws","Bijtende kaken"
"specials.name.snowlit_slices","Verlichte sneeuwklieven"
"specials.name.soaring_blast","Wervelende knal"
"specials.name.sock_and_block","Beuken en Blokkeren"
"specials.name.solar_beam","Zonnestraal"
"specials.name.solar_shroud","Zonnesluier"
"specials.name.solar_strike","Zonneslag"
"specials.name.soldiers_curse","Zandbries"
"specials.name.solid_frozen_fist","Bevroren vuist"
"specials.name.song_of_calamity","Lied van calamiteit"
"specials.name.song_of_hoot_and_holler","Een kras en koddig lied"
"specials.name.song_of_regression","Klagelijke achteruitgang"
"specials.name.song_of_the_morass","Lied van het moeras"
"specials.name.song_of_the_skies","Lied van de hemelen"
"specials.name.songs_of_the_cherry_tree","Lied van de Kersenboom"
"specials.name.sonic_infusion_arrow","Sonische infusiepijl"
"specials.name.sonic_roar","Sonische brul"
"specials.name.sonic_wall","Muur van Geluid"
"specials.name.sonorous_spear","Sonore speer"
"specials.name.soothing_melody","Rustgevende melodie"
"specials.name.soothing_song","Kalmerend lied"
"specials.name.soul_cage","Skelet aanroepen"
"specials.name.soul_guardian","Zielenwachter"
"specials.name.sour_berry_blast_dragon_pve","Zure bessen-explosie"
"specials.name.sparking_star_slash","Sprankelende sterrenslag"
"specials.name.sparrow_fury","Mussenfurie"
"specials.name.spartan_cleave","Spartaanse Houw"
"specials.name.spartan_slash","Spartaanse slag"
"specials.name.spear_of_blood_pact","Speer van bloedverbond"
"specials.name.spear_of_loyalty","Speer van loyaliteit"
"specials.name.spear_of_shu","Speer van Shu"
"specials.name.spearwand_gale","Speerstaf-orkaan"
"specials.name.spectacular_bite","Spectaculaire beet"
"specials.name.spectral_visions","Spectrale visies"
"specials.name.spectral_wings","Spectrale vleugels"
"specials.name.spectres_flail","Schimvlegels"
"specials.name.spell_lock","Spreukenslot"
"specials.name.spell_of_camaraderie","Spreuk van camaraderie"
"specials.name.spicy_berry_blast_dragon_pve","Pittige bessen-explosie"
"specials.name.spike_burst","Puntig salvo"
"specials.name.spilled_decoctions","Gemorste brouwsels"
"specials.name.spirit_arrow","Geestenpijl"
"specials.name.spirit_drain","Levenslustonttrekking"
"specials.name.spirit_of_spring","Geest van de lente"
"specials.name.spirit_of_winter","Wintergeest"
"specials.name.spirit_rally","Geestenverzameling"
"specials.name.spirited_slash","Bezielde slag"
"specials.name.spirits_of_the_mountain","Geesten van de berg"
"specials.name.spiritual_unity","Fantastisch feestmaal"
"specials.name.spiritual_wire","Spirituele draad"
"specials.name.splintering_shot","Versplinterend schot"
"specials.name.splintering_shot2","Versplinterend schot"
"specials.name.spotting_trouble","Problemen in het vizier"
"specials.name.spreading_gossip","Spreidende roddel"
"specials.name.spreading_shadow","Spreidschaduw"
"specials.name.spreading_traps","Verspreidende vallen"
"specials.name.sprite_ballad","Ballade van de geest"
"specials.name.sprite_hymn","Hymne van de geest"
"specials.name.squeak_of_protection","Beschermende piep"
"specials.name.squire_strike","Schildknaapaanval"
"specials.name.squires_squirrel","Schildknaapeekhoorn"
"specials.name.squish_squash_achillea","Plet plat"
"specials.name.stab_of_four_blades","Steek met vier zwaarden"
"specials.name.staff_of_domination","Staf van overheersing"
"specials.name.staff_of_mana_control","Staf van manabeheersing"
"specials.name.staff_of_mana_control_pve","Staf van manabeheersing"
"specials.name.staff_of_the_seastar","Staf van de zeester"
"specials.name.staggering_blows","Onthutsende klappen"
"specials.name.stalling_spell","Tijdrekspreuk"
"specials.name.stalling_strike","Tijdrekkende aanval"
"specials.name.stalwart_rally","Groep trouwe aanhangers"
"specials.name.stalwart_to_the_end","Trouw tot het bittere eind"
"specials.name.standing_fortress","Solide fort"
"specials.name.standing_fortress3","Solide fort"
"specials.name.star_construct","Sterrenconstructie"
"specials.name.star_trail","Sterrenspoor"
"specials.name.starplay","Sterrenspel"
"specials.name.stately_retribution","Statige Wraak"
"specials.name.steel_rush","Diefstalstorm"
"specials.name.stellar_beam","Sterrenstraal"
"specials.name.sticky_express","Kleverige sneldienst"
"specials.name.sticky_spear","Kleverige speer"
"specials.name.sticky_tongue","Kleverige tong"
"specials.name.stiletto_cyclone","Stiletto-tornado"
"specials.name.stolen_tarts","Gestolen taarten"
"specials.name.stomp","Stamp"
"specials.name.stone_skin","Zielenlink"
"specials.name.storm_of_blades","Storm van zwaarden"
"specials.name.strange_incense","Vreemde wierook"
"specials.name.strategic_slash","Ornithologische snee"
"specials.name.strength_of_the_accursed","Kracht van de gehate"
"specials.name.strength_of_the_benemoth","Kracht van de Benemoth"
"specials.name.strength_of_the_volcano","Kracht van de vulkaan"
"specials.name.strengthening_draught","Versterkende tocht"
"specials.name.strengthening_smash","Versterkende slag"
"specials.name.strict_standards","Strikte normen"
"specials.name.strike_and_support","Aanval en ondersteuning"
"specials.name.strike_from_the_shadows","Aanval vanuit de schaduw"
"specials.name.strike_from_the_skies","Aanval vanuit de hemelen"
"specials.name.strike_of_a_thousand_howls","Aanval van oneindig gehuil"
"specials.name.strike_of_the_ancients","Klap van de Oudsten"
"specials.name.strike_of_the_cobra","Aanval van de cobra"
"specials.name.strike_of_the_monolith","Aanval van de monoliet"
"specials.name.strike_of_the_toons","Aanval van de toons"
"specials.name.strike_of_the_underworld","Klap van de onderwereld"
"specials.name.struck_by_thunder","Getroffen door bliksem"
"specials.name.stubby_reap","Stompige oogst"
"specials.name.stunning_blow","Verlammende Klap"
"specials.name.stunning_spear","Verlammende speer"
"specials.name.stunning_steel","Verlammend staal"
"specials.name.stunning_strike","Verlammende slag"
"specials.name.stupendous_break_in","Overweldigende inbraak"
"specials.name.sturdy_riposte","Stevige riposte"
"specials.name.style_link","Stijllink"
"specials.name.stylish_appetizer","Stijlvol aperitief"
"specials.name.stylish_chop","Stijlvolle houw"
"specials.name.stylish_cleave","Stijlvolle kliefaanval"
"specials.name.stylish_counterattack","Stijlvolle tegenaanval"
"specials.name.stylish_eruption","Stijlvolle uitbarsting"
"specials.name.stylish_fireball","Stijlvolle vuurbal"
"specials.name.stylish_fury","Stijlvolle razernij"
"specials.name.stylish_heal","Stijlvolle genezing"
"specials.name.stylish_jolt","Stijlvolle schok"
"specials.name.stylish_pulverizer","Stijlvolle vergruizer"
"specials.name.stylish_slash","Stijlvolle slag"
"specials.name.stylish_smash","Stijlvolle slag"
"specials.name.stylish_spear","Stijlvolle speer"
"specials.name.stylish_strike","Stijlvolle aanval"
"specials.name.stylish_strike_caedmon","Stijlvolle aanval"
"specials.name.stylish_strike_magni","Stijlvolle aanval"
"specials.name.stylish_warcry","Stijlvolle strijdkreet"
"specials.name.subduing_strike","Temperende aanval"
"specials.name.sublime_pastry","Ultiem vispasteitje"
"specials.name.sudden_attack","Plotse aanval"
"specials.name.suffocating_smoke","Verstikkende rook"
"specials.name.suffocating_smoke2","Verstikkende rook"
"specials.name.suffocating_smoke3","Verstikkende rook"
"specials.name.sugar_rush","Suikerkick"
"specials.name.summer_carol","Zomerlied"
"specials.name.summers_end","IJskoude afloop"
"specials.name.summon_ballerina_fiend","Aanroep van ballerina's"
"specials.name.summon_celestial_guardians","Hemelse wachters aanroepen"
"specials.name.summon_rock_golems","Rotsgolems aanroepen"
"specials.name.summon_sand_golems","Zandgolems aanroepen"
"specials.name.summon_temple_guardians","Tempelwachters oproepen"
"specials.name.sunken_abyss","Gezonken afgrond"
"specials.name.sunken_magma_cube","Verzonken magmakubus"
"specials.name.sunscreen_blast","Zonneschermstoot"
"specials.name.sunstone_glare_dragon_pve","Glitter van de zonnesteen"
"specials.name.super_duper_spray","Superspray"
"specials.name.super_porridge","Superpap"
"specials.name.superb_sake","Uitstekende sake"
"specials.name.supercharged_fireball_dragon_pve","Supervurige vuurbal"
"specials.name.superfood_purification","Zuiverend superfood"
"specials.name.supernova","Supernova"
"specials.name.supernova_boss_phase1","Supernova"
"specials.name.supernova_boss_phase2","Supernova Aeternus"
"specials.name.suppressing_ki","Onderdrukkende Ki"
"specials.name.sure_fire_combustion","Gegarandeerde ontsteking"
"specials.name.surprise_goo","Verrassingsslijm!"
"specials.name.suspicious_stew","Verdachte stoofpot"
"specials.name.swamp_skin","Moerashuid"
"specials.name.swashbuckling_stab","Steek van een avonturier"
"specials.name.sweep_the_soot","Veeg het roet"
"specials.name.sweet_berry_blast_dragon_pve","Zoete bessen-explosie"
"specials.name.sweet_dreams","Droom zacht"
"specials.name.swift_little_friends","Snelle vriendjes"
"specials.name.swift_maneuvers","Snelle manoeuvres"
"specials.name.swift_stingers","Snelle stekers"
"specials.name.swooping_support","Stoot aan steun"
"specials.name.swooping_talon","Duikende klauw"
"specials.name.sword_barricade","Zwaardbarricade"
"specials.name.sword_dance","Zwaarddans"
"specials.name.sword_of_swan_song","Zwaard van zwanenlied"
"specials.name.sword_of_wei","Zwaard van Wei"
"specials.name.sword_of_xuvhosh","Zwaard van Xu'Vhosh"
"specials.name.sylvan_blessings","Sylvanieten zegeningen"
"specials.name.symphonic_pulverizer","Symfonische Verpletteraar"
"specials.name.tackle","Tackelen"
"specials.name.tactical_cut","Tactische Snee"
"specials.name.tail_bash","Staartslag"
"specials.name.tail_slam","Staartslag"
"specials.name.tail_slam_deadly","Staartslag"
"specials.name.tail_sting","Staartsteek"
"specials.name.tail_sting_deadly","Staartsteek"
"specials.name.tainted_axe","Besmette bijl"
"specials.name.tambourine_solo","Tamboerijnsolo"
"specials.name.tangy_berry_blast_dragon_pve","Scherpe bessen-explosie"
"specials.name.tangy_torture","Pittige pijniging"
"specials.name.tantrum_of_forest","Woede van de toons"
"specials.name.teargas_roulette","Traangasroulette"
"specials.name.teeth_of_the_river","Tanden van de rivier"
"specials.name.tempered_blade","Getemperd blad"
"specials.name.tentacle_jab","Tentakelstoot"
"specials.name.tentacle_slash","Tentakelslag"
"specials.name.terrifying_screech","Angstaanjagende krijs"
"specials.name.terror_shriek","Angstkreet"
"specials.name.testudo_rock","Testudo-rots"
"specials.name.testudo_roll","Testudorol"
"specials.name.testudo_roll_deadly","Testudo-rol"
"specials.name.the_call_to_hibernate","Winsterslaaproep"
"specials.name.the_dukes_investigation","Onderzoek van de hertog"
"specials.name.the_eagles_blessing","Adelaarszege"
"specials.name.the_mighty_crescendo","Almachtig crescendo"
"specials.name.the_perfect_throw","De perfecte worp"
"specials.name.the_piranha_incident","Het piranha-incident"
"specials.name.the_queens_radiance","De uitstraling van de koningin"
"specials.name.the_queens_speech","Toespraak van de koningin"
"specials.name.the_two_sides_of_the_moon","De Twee Zijden van de Maan"
"specials.name.the_undercover_investigation","Het undercoveronderzoek"
"specials.name.thieving_shot","Stelend schot"
"specials.name.thorned_slam_dunk","Prikkende slamdunk"
"specials.name.thousand_cuts","Duizend sneden"
"specials.name.thousand_palm_strikes","Treffer van duizend palmen"
"specials.name.three_bandit_mice","Drie rovermuizen"
"specials.name.three_blind_mice","Drie blinde muizen"
"specials.name.three_little_rams","Drie ramlammetjes"
"specials.name.thresher_worms","Dorswormen"
"specials.name.thrilling_clash","Enerverend treffen"
"specials.name.throwing_daggers","Dolken werpen"
"specials.name.throwing_stars","Werpsterren"
"specials.name.thunder_ultimatum","Donderultimatum"
"specials.name.thunderbolt","Bliksemschicht"
"specials.name.thundering_strike","Donderaanval"
"specials.name.thunderstorm","Onweer"
"specials.name.thunderstrike","Donderultimatum"
"specials.name.tidal_force","Kracht van de vloedgolf"
"specials.name.tidal_vortex","Getijdekolk"
"specials.name.tidal_wave","Dievengolf"
"specials.name.tidal_waves","Getijdegolven"
"specials.name.tidy_up","Opruimen!"
"specials.name.time_rewind","Terug in de tijd"
"specials.name.timeless_timepiece","Tijdloos uurwerk"
"specials.name.tip_of_the_spear","Punt van de speer"
"specials.name.titanbone_chain_slash","Slag van keten van titanenbot"
"specials.name.titanium_antler_attack","Titanium geweistoot"
"specials.name.titantooth_blade","Titanentandzwaard"
"specials.name.to_the_rescue","Reddende hand!"
"specials.name.tokri_of_resources","Tokri van grondstoffen"
"specials.name.tome_of_the_stag","Boek van het hert"
"specials.name.toon_annihilation","Toon-vernietiging"
"specials.name.toon_athenas_bow","Athena's Toon-boog"
"specials.name.toon_attack","Toonaanval"
"specials.name.toon_barrage","Toonregen"
"specials.name.toon_bash","Toon-slag"
"specials.name.toon_bite","Toonbeet"
"specials.name.toon_blast","Toon-explosie"
"specials.name.toon_brew","Toonbrouwsel"
"specials.name.toon_chop","Toonhak"
"specials.name.toon_cleave","Toonhouw"
"specials.name.toon_counter","Toon en terugslag"
"specials.name.toon_cut","Toonsnee"
"specials.name.toon_finisher","Toonafmaker"
"specials.name.toon_fury","Toonfurie"
"specials.name.toon_hit","Toontreffer"
"specials.name.toon_jolt","Toonschicht"
"specials.name.toon_lament","Toon-klaagzang"
"specials.name.toon_link","Toonlink"
"specials.name.toon_mirror","Toon-spiegel"
"specials.name.toon_mist","Toonmist"
"specials.name.toon_of_the_depths","Toon der diepten"
"specials.name.toon_of_the_seas","Toon der zeeën"
"specials.name.toon_prowess","Toon-vermogen"
"specials.name.toon_riposte","Toonriposte"
"specials.name.toon_shot","Toonschot"
"specials.name.toon_slam","Toonslag"
"specials.name.toon_slash","Toonsnee"
"specials.name.toon_stab","Toonsteek"
"specials.name.toon_stars","Toonsterren"
"specials.name.toon_storm","Toonstorm"
"specials.name.toon_strike","Toon-aanval"
"specials.name.toon_traps","Toonvallen"
"specials.name.toon_ultimatum","Toonultimatum"
"specials.name.toon_vines","Toonranken"
"specials.name.toon_wave","Toon-golf"
"specials.name.toon_waza","Toon-Waza"
"specials.name.toonball","Toonbal"
"specials.name.tooncry","Toonhuil"
"specials.name.toonpower_pulverizer","Toonkracht-vergruizer"
"specials.name.toons_luck","Toons geluk"
"specials.name.toons_order","De orde van de toon"
"specials.name.toontastic_feast","Toontastisch feestmaal"
"specials.name.toontastic_fog","Toontastische mist"
"specials.name.toontastic_link","Toontastische link"
"specials.name.toontastic_protection","Toontastische bescherming"
"specials.name.toontastic_pulverizer","Toontastische verpulveraar"
"specials.name.toontastic_riposte","Toontastische riposte"
"specials.name.toontastic_smash","Toontastische dreun"
"specials.name.toontastic_strike","Toontastische aanval"
"specials.name.total_beatdown","Aframmeling"
"specials.name.tough_love","Liefdeskanon"
"specials.name.towers_curse","Zandorkaan"
"specials.name.toxic_berry_blast","Giftige bes-explosie"
"specials.name.toxic_bile","Giftige gal"
"specials.name.toxic_flames","Giftige vlammen"
"specials.name.toxic_fumes","Giftige gassen"
"specials.name.toxic_gas_cloud","Giftige gaswolk"
"specials.name.toxic_headbutt","Giftige kopstoot"
"specials.name.toxic_incense","Giftige wierook"
"specials.name.toxic_spit","Giftig spuug"
"specials.name.toxic_stinger","Gifprik"
"specials.name.toxic_traps","Giftige Vallen"
"specials.name.toxic_tricks","Giftige trucjes"
"specials.name.toxicadendra","Versnelde groei"
"specials.name.trainer_blast","Trainersexplosie"
"specials.name.trainer_dummy_fights_back","Trainerdummy vecht terug!"
"specials.name.trainer_dummy_repair","Reparatie trainerdummy!"
"specials.name.trainer_slash","Traineraanval"
"specials.name.tranquil_mist","Rustgevende mist"
"specials.name.transcendental_charge","Transcendentale lading"
"specials.name.transcendental_frame","Transcendentaal kader"
"specials.name.transfigure","Transfigureren"
"specials.name.travelers_snack","Snack van de Reiziger"
"specials.name.treasure_ale","Bierschat"
"specials.name.trial_of_darkness","Proeve der duisternis"
"specials.name.trial_of_fauna","Faunaproeve"
"specials.name.trial_of_fire","Vuurproeve"
"specials.name.trial_of_flames","Vlammenproeve"
"specials.name.trial_of_flora","Floraproeve"
"specials.name.trial_of_frost","Vorstproeve"
"specials.name.trial_of_ice","IJsproeve"
"specials.name.trial_of_nature","Proeve der natuur"
"specials.name.trial_of_pain","Pijnproeve"
"specials.name.trial_of_the_moon","Maanproeve"
"specials.name.trial_of_the_sun","Zonproeve"
"specials.name.trial_of_the_waters","Beproeving van de wateren"
"specials.name.tribal_rage","Stammenwoede"
"specials.name.tribal_rage_pve","Stammenwoede"
"specials.name.trick_of_the_trade","Trucjes van het vak"
"specials.name.trickster_grenades","Bedriegersgranaten"
"specials.name.tricksters_buff","Fles"
"specials.name.tricksters_damage","Zwaarden"
"specials.name.tricksters_exchange","Bedrieglijke manoeuvre"
"specials.name.tricksters_lullaby","Bedriegersslaaplied"
"specials.name.tricksters_malice","Bedriegersvenijn"
"specials.name.tricksters_mischief","Oplichters onheil"
"specials.name.tricksters_negative","Bevriezing"
"specials.name.tricksters_transformation","Bedriegerstransformatie"
"specials.name.triple_stab","Drievoudige steek"
"specials.name.triumph_of_strategy","Triomf van de strategie"
"specials.name.tropical_ambush","Tropische hinderlaag"
