"heroes.name_fancy.astral_cosmicspeaker","아스트랄 엘프 천문학자"
"heroes.name_fancy.s2_merman","아틀란티스의 어인"
"heroes.name_fancy.s2_merman_costume_cute","툰 어인"
"heroes.name_fancy.s2_merman_costume_leutenant","아틀란티스의 부관"
"heroes.name_fancy.s2_merwoman","아틀란티스의 인어"
"heroes.name_fancy.s2_merwoman_costume_cute","툰 인어"
"heroes.name_fancy.s2_merwoman_costume_emissary","아틀란티스의 사절"
"heroes.name_fancy.s2_noble_lady","경국지색"
"heroes.name_fancy.s2_noble_lady_costume_cute","툰 미녀"
"heroes.name_fancy.s2_noble_lady_costume_warrior","불꽃 미녀"
"heroes.name_fancy.s2_oceanus","바다의 타이탄"
"heroes.name_fancy.s2_oceanus_costume_volcano","마그마 타이탄"
"heroes.name_fancy.s2_poseidon","아틀란티스의 군주"
"heroes.name_fancy.s2_poseidon_costume_cute","툰 아틀란티스의 군주"
"heroes.name_fancy.s2_poseidon_costume_slayer","아틀란티스의 처단자"
"heroes.name_fancy.s2_proteus","아틀란티스의 마법사"
"heroes.name_fancy.s2_proteus_costume_cute","툰 아틀란티스의 마법사"
"heroes.name_fancy.s2_proteus_costume_farseer","아틀란티스의 통찰자"
"heroes.name_fancy.s2_rugged_fisherman","용맹한 어부"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","용맹한 툰 어부"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","용감한 양조자"
"heroes.name_fancy.s2_skyllaros","아틀란티스의 수호자"
"heroes.name_fancy.s2_skyllaros_costume_cute","툰 아틀란티스의 수호자"
"heroes.name_fancy.s2_skyllaros_costume_reef","암초 수호자"
"heroes.name_fancy.s2_straw_demon","밀짚 요괴"
"heroes.name_fancy.s2_tanuki_raccoon","불굴의 사기꾼"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","용감한 상인"
"heroes.name_fancy.s2_tethys","강의 여신"
"heroes.name_fancy.s2_tethys_costume_steel","모든 강의 복수자"
"heroes.name_fancy.s2_triton","아틀란티스의 대장"
"heroes.name_fancy.s2_triton_costume_champion","아틀란티스의 챔피언"
"heroes.name_fancy.s2_ursena","심연의 여제"
"heroes.name_fancy.s2_ursena_costume_cute","심연의 툰"
"heroes.name_fancy.s2_ursena_costume_reef","치명적인 암초 여왕"
"heroes.name_fancy.s3_agnes","용감한 주민"
"heroes.name_fancy.s3_alfrike","스바르탈프하임의 여왕"
"heroes.name_fancy.s3_alfrike_costume_hatter","스바르탈프하임의 모자장수"
"heroes.name_fancy.s3_almur","스바르탈프하임의 그림자 검객"
"heroes.name_fancy.s3_almur_costume_lord","스바르탈프하임의 군주"
"heroes.name_fancy.s3_anwindr","저주받은 바이킹 거한"
"heroes.name_fancy.s3_baldur","빛나는 신"
"heroes.name_fancy.s3_baldur_costume_fiery","불타는 신"
"heroes.name_fancy.s3_bera","디시르의 공주"
"heroes.name_fancy.s3_bera_costume_conjurer","디시르의 마법사"
"heroes.name_fancy.s3_bjorn","용감한 주민"
"heroes.name_fancy.s3_bjorn_costume_viking","용감한 병사"
"heroes.name_fancy.s3_brynhild","발키리 방패 여전사"
"heroes.name_fancy.s3_by_ulf","저주받은 바이킹 싸움꾼"
"heroes.name_fancy.s3_ei_dunn","저주받은 바이킹 투사"
"heroes.name_fancy.s3_ei_dunn_costume_shield","흉폭한 바이킹 싸움꾼"
"heroes.name_fancy.s3_fenrir","니플하임의 지도자"
"heroes.name_fancy.s3_fenrir_costume_guardian","니플헤임의 수호자"
"heroes.name_fancy.s3_freya","살해당한 자의 여신"
"heroes.name_fancy.s3_freya_costume_witch","망자의 마녀"
"heroes.name_fancy.s3_frigg","예지의 여신"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","예지의 여신"
"heroes.name_fancy.s3_fura","스바르탈프하임의 독술사"
"heroes.name_fancy.s3_fura_costume_herbalist","스바르탈프하임의 약초사"
"heroes.name_fancy.s3_gefjon","수확의 여신"
"heroes.name_fancy.s3_gefjon_costume_wilderness","바람의 여신"
"heroes.name_fancy.s3_grevle","교활한 오소리"
"heroes.name_fancy.s3_gullinbursti","황금 멧돼지"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","풀려난 멧돼지"
"heroes.name_fancy.s3_heimdall","집요한 감시자"
"heroes.name_fancy.s3_heimdall_costume_dreaded","공포의 감시자"
"heroes.name_fancy.s3_jarvur","울버린 싸움꾼"
"heroes.name_fancy.s3_jott","야만적인 얼음 거인"
"heroes.name_fancy.s3_kvasir","알프하임의 양봉가"
"heroes.name_fancy.s3_kvasir_costume_captain","알프하임의 벌 대장"
"heroes.name_fancy.s3_loki_female","사기의 여신"
"heroes.name_fancy.s3_loki_female_costume_mother","사기꾼 어머니"
"heroes.name_fancy.s3_loki_fish","사기의 물고기"
"heroes.name_fancy.s3_loki_fish_costume_dapper","물고기 신사"
"heroes.name_fancy.s3_loki_male","사기의 신"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","변신의 신"
"heroes.name_fancy.s3_mireweave","날쌘 드로거"
"heroes.name_fancy.s3_mist","발키리 사령관"
"heroes.name_fancy.s3_nordri","요툰하임의 얼음 드워프"
"heroes.name_fancy.s3_nordri_costume_explorer","요툰하임의 탐험가 드워프"
"heroes.name_fancy.s3_norns","운명을 엮는 자"
"heroes.name_fancy.s3_norns_costume_puppeteers","운명의 인형술사"
"heroes.name_fancy.s3_odin","현명한 절대신"
"heroes.name_fancy.s3_odin_costume_champion","용맹한 올파더"
"heroes.name_fancy.s3_ratatoskr","이그드라실의 전령"
"heroes.name_fancy.s3_ratatoskr_costume_architect","위그드라실의 건축가"
"heroes.name_fancy.s3_shadereave","짐승 같은 드로거"
"heroes.name_fancy.s3_sif","금발의 신"
"heroes.name_fancy.s3_sif_costume_golden","황금빛 신"
"heroes.name_fancy.s3_skadi","요툰하임의 여신"
"heroes.name_fancy.s3_skadi_costume_ravager","요툰하임의 수호자"
"heroes.name_fancy.s3_stonecleave","집요한 드로거"
"heroes.name_fancy.s3_sudri","무스펠하임의 화염 드워프"
"heroes.name_fancy.s3_sumle","건장한 화염 거인"
"heroes.name_fancy.s3_sumle_costume_unhallowed","부정한 화염 거인"
"heroes.name_fancy.s3_thor","천둥의 신"
"heroes.name_fancy.s3_thor_costume_conduit","천둥관"
"heroes.name_fancy.s3_tyr","쉬지 않는 정의"
"heroes.name_fancy.s3_tyr_costume_savage","야만적인 정의"
"heroes.name_fancy.s4_akkorog","몰록 족장"
"heroes.name_fancy.s4_akkorog_costume_football","몰록 러닝백"
"heroes.name_fancy.s4_aouda","친절한 공주"
"heroes.name_fancy.s4_aouda_costume_lotus","연꽃 공주"
"heroes.name_fancy.s4_captain_nemo","불가사의한 탐험가"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","수수께끼의 기계공"
"heroes.name_fancy.s4_congalach","심연의 전사"
"heroes.name_fancy.s4_congalach_costume_kelp","해초 전사"
"heroes.name_fancy.s4_doctor_moreau","사악한 과학자"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","거짓 필경사"
"heroes.name_fancy.s4_elizabeth","거미 귀족"
"heroes.name_fancy.s4_elizabeth_costume_bride","귀족 신부"
"heroes.name_fancy.s4_exeera","문어 사제"
"heroes.name_fancy.s4_exeera_costume_hierophant","문어 해설자"
"heroes.name_fancy.s4_garjammal","몰록 전투 마스터"
"heroes.name_fancy.s4_garjammal_costume_kite","몰록 연 달인"
"heroes.name_fancy.s4_gramps","하플링 장로"
"heroes.name_fancy.s4_gramps_costume_gardener","하플링 정원사"
"heroes.name_fancy.s4_griffin","투명 인간"
"heroes.name_fancy.s4_griffin_costume_priest","투명 사제"
"heroes.name_fancy.s4_hannah","모험적인 고고학자"
"heroes.name_fancy.s4_hannah_costume_drover","모험적인 드로버"
"heroes.name_fancy.s4_helo","엘로이 어부"
"heroes.name_fancy.s4_helo_costume_baker","일로이 제빵사"
"heroes.name_fancy.s4_hulda","두더지들의 우두머리"
"heroes.name_fancy.s4_hulda_costume_nurse","수간호사"
"heroes.name_fancy.s4_kravekrush","거대한 사령관"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","거대한 그릴마스터"
"heroes.name_fancy.s4_lepiota","엘로이의 리더"
"heroes.name_fancy.s4_lepiota_costume_undying","불멸자의 우두머리"
"heroes.name_fancy.s4_lughaidh","심연의 왕"
"heroes.name_fancy.s4_lughaidh_costume_deathless","불사의 왕"
"heroes.name_fancy.s4_mack","하플링 모험가"
"heroes.name_fancy.s4_mack_costume_novelist","하프링 소설가"
"heroes.name_fancy.s4_morel","엘로이 사냥꾼"
"heroes.name_fancy.s4_morel_costume_sage","엘로이 현자"
"heroes.name_fancy.s4_morris","강력한 두더지인간"
"heroes.name_fancy.s4_morris_costume_potter","몰맨 포터"
"heroes.name_fancy.s4_octros","문어 챔피언"
"heroes.name_fancy.s4_octros_costume_suitor","흐물흐물 문어인간"
"heroes.name_fancy.s4_passepartout","영리한 여행자"
"heroes.name_fancy.s4_passepartout_costume_artist","우아한 예술가"
"heroes.name_fancy.s4_phileas_fogg","용감한 여행자"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","정교한 엔지니어"
"heroes.name_fancy.s4_poppy","하플링 석궁수"
"heroes.name_fancy.s4_poppy_costume_lodger","난쟁이 숙박객"
"heroes.name_fancy.s4_professor_lidenbrock","현명한 과학자"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","현명한 보석 세공인"
"heroes.name_fancy.s4_rokkamush","거대한 스매셔"
"heroes.name_fancy.s4_rokkamush_costume_mason","거대 석공"
"heroes.name_fancy.s4_russula","엘로이 도적"
"heroes.name_fancy.s4_russula_costume_painter","엘로이 화가"
"heroes.name_fancy.s4_tettukh","몰록 거한"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","몰록 치어리더"
"heroes.name_fancy.s4_vollermork","몰록 호더"
"heroes.name_fancy.s4_vollermork_costume_bartender","멀록 바텐더"
"heroes.name_fancy.s4_xenda","지하 세계의 상속녀"
"heroes.name_fancy.s4_xenda_costume_flame","불꽃의 상속녀"
"heroes.name_fancy.s4_xnolphod","문어 마술사"
"heroes.name_fancy.s4_xnolphod_costume_jailer","옥토포드 교도소장"
"heroes.name_fancy.s4_zekena","다족류 왕자"
"heroes.name_fancy.s4_zekena_costume_vines","아포시나시드 왕자"
"heroes.name_fancy.s4_zenobia","다족 여왕"
"heroes.name_fancy.s4_zenobia_costume_floral","아포시나시드 여왕"
"heroes.name_fancy.s4_zila_lei","문어 암살자"
"heroes.name_fancy.s4_zila_lei_costume_dancer","옥토포드 댄서"
"heroes.name_fancy.s5_ahhotep","미라 전사"
"heroes.name_fancy.s5_ahhotep_costume_champion","미라 챔피언"
"heroes.name_fancy.s5_ahmose","미라 파라오"
"heroes.name_fancy.s5_ahmose_costume_reborn","파라오의 재림"
"heroes.name_fancy.s5_anubis","저승의 신"
"heroes.name_fancy.s5_anubis_costume_dancefloor","댄스 플로어의 심판자"
"heroes.name_fancy.s5_aqeela","세상물정에 밝은 소년"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","세상 물정에 밝은 마술사"
"heroes.name_fancy.s5_azmia","강인한 여관 주인"
"heroes.name_fancy.s5_azmia_costume_dancing","춤추는 여관 주인"
"heroes.name_fancy.s5_bastet","달의 눈"
"heroes.name_fancy.s5_bastet_costume_forest","숲의 눈"
"heroes.name_fancy.s5_bennu","창조의 신"
"heroes.name_fancy.s5_bennu_costume_heron","창조의 헤론"
"heroes.name_fancy.s5_cleopatra","신성한 파라오"
"heroes.name_fancy.s5_cleopatra_costume_feline","고양이 파라오"
"heroes.name_fancy.s5_el_naddaha","강의 사이렌"
"heroes.name_fancy.s5_el_naddaha_costume_sea","바다의 사이렌"
"heroes.name_fancy.s5_eset","1만 가지 이름의 여주인"
"heroes.name_fancy.s5_eset_costume_goldensun","금빛 태양의 여인"
"heroes.name_fancy.s5_faiez","행운의 농부"
"heroes.name_fancy.s5_faiez_costume_miner","행운의 광부"
"heroes.name_fancy.s5_hathor","모성의 여신"
"heroes.name_fancy.s5_hathor_costume_starlit","별빛 어머니"
"heroes.name_fancy.s5_hetepheres","교활한 스핑크스"
"heroes.name_fancy.s5_hetepheres_costume_spa","스파의 스핑크스"
"heroes.name_fancy.s5_horus","사냥의 신"
"heroes.name_fancy.s5_horus_costume_golden","황금 사냥꾼"
"heroes.name_fancy.s5_jarif","스트레스에 지친 필경사"
"heroes.name_fancy.s5_jarif_costume_curator","스트레스에 지친 큐레이터"
"heroes.name_fancy.s5_junaid","맹세를 바친 병사"
"heroes.name_fancy.s5_junaid_costume_champion","맹세 챔피언"
"heroes.name_fancy.s5_khafre","예민한 남성형 스핑크스"
"heroes.name_fancy.s5_khafre_costume_aquatic","아쿠아 안드로스핑크스"
"heroes.name_fancy.s5_khepri","풍뎅이 신"
"heroes.name_fancy.s5_khepri_costume_overlord","풍뎅이 군주"
"heroes.name_fancy.s5_khonshu","달의 신"
"heroes.name_fancy.s5_khonshu_costume_knight","달의 기사"
"heroes.name_fancy.s5_maat","조화의 여주인"
"heroes.name_fancy.s5_maat_costume_river","이테루의 여인"
"heroes.name_fancy.s5_meresankh","태양의 스핑크스"
"heroes.name_fancy.s5_meresankh_costume_disco","디스코의 스핑크스"
"heroes.name_fancy.s5_papyros","종이와 모래의 골렘"
"heroes.name_fancy.s5_papyros_costume_colossus","종이와 모래의 거인"
"heroes.name_fancy.s5_ptolemy","원로 파라오"
"heroes.name_fancy.s5_ptolemy_costume_log","장로 로그"
"heroes.name_fancy.s5_rekhetre","젊은 스핑크스"
"heroes.name_fancy.s5_rekhetre_costume_artist","젊은 예술가"
"heroes.name_fancy.s5_scoratek","풍뎅이 파수병"
"heroes.name_fancy.s5_scoratek_costume_sentinel","풍뎅이 센티널"
"heroes.name_fancy.s5_sekhmet","태양의 눈"
"heroes.name_fancy.s5_sekhmet_costume_warden","태양의 수호자"
"heroes.name_fancy.s5_set","어둠의 찬탈자"
"heroes.name_fancy.s5_set_costume_tyrant","암흑 폭군"
"heroes.name_fancy.s5_sneferu","달의 스핑크스"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","달의 정복자"
"heroes.name_fancy.s5_sobek","강의 신"
"heroes.name_fancy.s5_sobek_costume_guardian","강의 수호자"
"heroes.name_fancy.s5_tetisheri","미라 여왕"
"heroes.name_fancy.s5_tetisheri_costume_molten","녹아버린 여왕"
"heroes.name_fancy.s5_waqas","파라오의 방패"
"heroes.name_fancy.s5_waqas_costume_blade","파라오의 검"
"heroes.name_fancy.sand_horse","모래 제국의 믿음직한 군마"
"heroes.name_fancy.sand_king","모래 제국의 왕"
"heroes.name_fancy.sand_king_costume_lifeguard","근위 기병의 왕"
"heroes.name_fancy.sand_queen","모래 제국의 여왕"
"heroes.name_fancy.sand_queen_costume_surfer","서퍼 여왕"
"heroes.name_fancy.sand_roc","모래 제국의 수호자"
"heroes.name_fancy.sand_roc_costume_juice","해변의 수호자"
"heroes.name_fancy.sand_soldier","모래 제국의 병사"
"heroes.name_fancy.sand_tower","모래 제국의 거한"
"heroes.name_fancy.sand_vizier","모래 제국의 고관"
"heroes.name_fancy.scoundrel_duval","배반의 명사수"
"heroes.name_fancy.scoundrel_lane","노상 강도"
"heroes.name_fancy.shadow_abigail","탐사 저널리스트"
"heroes.name_fancy.shadow_asketel","잃어버린 지식의 탐구자"
"heroes.name_fancy.shadow_atwood","미지의 세계에 사로잡힘"
"heroes.name_fancy.shadow_burton","호문쿨루스 조사관"
"heroes.name_fancy.shadow_cthuwu","노병의 부활"
"heroes.name_fancy.shadow_dolores","무모한 사립 탐정"
"heroes.name_fancy.shadow_gwendoline","광신적 고고학자"
"heroes.name_fancy.shadow_hunter","노병의 후예"
"heroes.name_fancy.shadow_hysteria","신비로운 유물 수집가"
"heroes.name_fancy.shadow_melancholia","조상 추종자"
"heroes.name_fancy.shadow_omen","악마 암초의 신성화"
"heroes.name_fancy.shadow_penelope","맹렬한 전직 사서"
"heroes.name_fancy.shadow_rashan","훌루-금속 사용자"
"heroes.name_fancy.shadow_rosanna","트루샷"
"heroes.name_fancy.shadow_salvatore","트위스티드 미디엄"
"heroes.name_fancy.shadow_shoggo","둔갑술 가이드"
"heroes.name_fancy.shadow_wulfstan","엘드리치 탄약 장인"
"heroes.name_fancy.shadow_zavinia","심연의 하이브리드"
"heroes.name_fancy.slayer_aodhan","불타는 자"
"heroes.name_fancy.slayer_caitlin","깨달은 자"
"heroes.name_fancy.slayer_caitlin_costume_crusader","유스티카 십자군"
"heroes.name_fancy.slayer_cathal","용감한 자"
"heroes.name_fancy.slayer_cillian","불멸자"
"heroes.name_fancy.slayer_maeve","보이지 않는 자"
"heroes.name_fancy.slayer_noril","맹렬한 자"
"heroes.name_fancy.slayer_orla","가치 있는 자"
"heroes.name_fancy.slayer_rian","변함없는 자"
"heroes.name_fancy.slayer_saoirse","길들일 수 없는 자"
"heroes.name_fancy.slayer_saoirse_costume_knight","밴퀴셔"
"heroes.name_fancy.slayer_senan","저주받은 자"
"heroes.name_fancy.slayer_senan_costume_tentacles","두족류 서번트"
"heroes.name_fancy.slime_achillea","거침없는 검투사 슬라임"
"heroes.name_fancy.slime_boboosang","노련한 상인 슬라임"
"heroes.name_fancy.slime_bulklug","덩어리 조형 슬라임"
"heroes.name_fancy.slime_charmione","매력적인 극장 구"
"heroes.name_fancy.slime_chingiriko","그림자 추적 슬라임"
"heroes.name_fancy.slime_choozen","수줍은 상자 슬라임"
"heroes.name_fancy.slime_fruitio","과일 사랑 슬라임"
"heroes.name_fancy.slime_fungustine","활력을 되찾은 숲 슬라임"
"heroes.name_fancy.slime_gloozmer","부드러운 사기꾼 슬라임"
"heroes.name_fancy.slime_goldrip","황금 슬라임 왕"
"heroes.name_fancy.slime_gooldron","괴짜 가마솥 슬라임"
"heroes.name_fancy.slime_goorian","야만적 슬러지"
"heroes.name_fancy.slime_gooric","현명한 성소 구"
"heroes.name_fancy.slime_gooze","탈출한 연금술 실험실 구"
"heroes.name_fancy.slime_gunktus","끈질긴 전투 블롭"
"heroes.name_fancy.slime_harubo","순찰 슬라임"
"heroes.name_fancy.slime_justico","수호자 슬라임"
"heroes.name_fancy.slime_knightus","기사단 사원 슬라임"
"heroes.name_fancy.slime_labblub","호기심 많은 과학자 슬라임"
"heroes.name_fancy.slime_magistine","주문이 걸린 슬라임"
"heroes.name_fancy.slime_mucktus","사악한 숲 블롭"
"heroes.name_fancy.slime_slaymire","고집불통 슬라임 집행관"
"heroes.name_fancy.slime_slimgo","교활한 도적 슬라임"
"heroes.name_fancy.slime_sliposi","미끌미끌 택배 슬라임"
"heroes.name_fancy.slime_sludgus","노래하는 선술집 슬라임"
"heroes.name_fancy.slime_verdigoo","끈적끈적한 에메랄드 중재자"
"heroes.name_fancy.slime_zestique","달콤한 볼빨간 슬라임"
"heroes.name_fancy.styx_amphitrite","바다의 여신"
"heroes.name_fancy.styx_arges","물약 상인 사이클롭스"
"heroes.name_fancy.styx_brontes","농부 사이클롭스"
"heroes.name_fancy.styx_charon","스틱스의 사공"
"heroes.name_fancy.styx_dante","지하세계의 모험가"
"heroes.name_fancy.styx_erebus","유암의 신"
"heroes.name_fancy.styx_hypnos","잠의 주인"
"heroes.name_fancy.styx_nemesis","성스러운 심판의 여신"
"heroes.name_fancy.styx_nyx","밤의 어머니"
"heroes.name_fancy.styx_steropes","예술가 사이클롭스"
"heroes.name_fancy.styx_thanatos","평화로운 죽음의 신"
"heroes.name_fancy.styx_virgil","지하세계의 인도자"
"heroes.name_fancy.tales1_aqualith","엘리멘탈 호프라이트"
"heroes.name_fancy.tales1_aqualith_costume_purple","원소 거상"
"heroes.name_fancy.tales1_atlanteia","심연의 빙하 네레이드"
"heroes.name_fancy.tales1_atlanteia_costume_siren","심연의 빙하 사이렌"
"heroes.name_fancy.tales1_bagreg","바다 습격대 우두머리"
"heroes.name_fancy.tales1_bagreg_costume_scout","물고기소년 정찰병"
"heroes.name_fancy.tales1_ceto","고대 바다 괴수 여신"
"heroes.name_fancy.tales1_ceto_costume_queen","고대 바다 괴수 여왕"
"heroes.name_fancy.tales1_domiventus","불멸의 하달"
"heroes.name_fancy.tales1_domiventus_costume_supreme","하달 최고 존재"
"heroes.name_fancy.tales1_ephyra","갯지렁이 공주"
"heroes.name_fancy.tales1_ephyra_costume_reef","산호의 공주"
"heroes.name_fancy.tales1_galapago","바다의 지혜로운 현자"
"heroes.name_fancy.tales1_galapago_costume_quarry","채석장의 지혜로운 롤러"
"heroes.name_fancy.tales1_gelert","심해의 보물사냥꾼"
"heroes.name_fancy.tales1_gelert_costume_scavenger","심연의 청소부"
"heroes.name_fancy.tales1_gestalt","영원한 심연의 왕자"
"heroes.name_fancy.tales1_gestalt_costume_pearls","영원한 진주의 왕자"
"heroes.name_fancy.tales1_jaco","심해의 의심스러운 상인"
"heroes.name_fancy.tales1_jaco_costume_alchemist","심여의 의심스러운 연금술사"
"heroes.name_fancy.tales1_lasalle","아틀란티스의 화려한 경기병"
"heroes.name_fancy.tales1_lasalle_costume_jockey","아틀란티스의 화려한 기병"
"heroes.name_fancy.tales1_medea","심연의 나가 여왕"
"heroes.name_fancy.tales1_medea_costume_goddess","심연의 나가 여신"
"heroes.name_fancy.tales1_mulgog","피시맨 약탈자"
"heroes.name_fancy.tales1_mulgog_costume_bard","피시맨 시인"
"heroes.name_fancy.tales1_persa","약탈의 물 정령"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","해파리 귀족"
"heroes.name_fancy.tales1_phorcys","고대 심연의 신"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","심연의 전사 신"
"heroes.name_fancy.tales1_sharkhai","엄청난 밀고자"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","삐죽삐죽한 도살자"
"heroes.name_fancy.tales1_spartoi","나가 버서커"
"heroes.name_fancy.tales1_spartoi_costume_guard","나가 수호자"
"heroes.name_fancy.tales1_thalassa","고대 바다의 여신"
"heroes.name_fancy.tales1_thalassa_costume_crystals","고대 크리스탈의 여신"
"heroes.name_fancy.tales1_ultrox","심해의 성전 수호자"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","심연의 사이포너"
"heroes.name_fancy.tales2_aethslegaur","드워프 불의 추적자"
"heroes.name_fancy.tales2_andvari","드워프 오라클"
"heroes.name_fancy.tales2_bragi","드워프 계약 전투사"
"heroes.name_fancy.tales2_bryggvir","드워프 고트 라이더"
"heroes.name_fancy.tales2_dagr","드워프 산 속 주술사"
"heroes.name_fancy.tales2_dain","드워프 시즈마스터"
"heroes.name_fancy.tales2_dularfulr","드워프 암흑 예언자"
"heroes.name_fancy.tales2_fafnir","미르하임의 드워프 군주"
"heroes.name_fancy.tales2_fimafeng","드워프 생존 전문가"
"heroes.name_fancy.tales2_fjalar","드워프 황금 스칼드"
"heroes.name_fancy.tales2_fjalar_costume_undead","드워프 고스트 스칼드"
"heroes.name_fancy.tales2_gandr","드워프 바람의 전사"
"heroes.name_fancy.tales2_gandr_costume_guardian","드워프 왕실 병사"
"heroes.name_fancy.tales2_helgi","드워프 분노의 질주자"
"heroes.name_fancy.tales2_helgi_costume_combatant","드워프 보급병"
"heroes.name_fancy.tales2_hogne","드워프 대기사"
"heroes.name_fancy.tales2_hreidmarr","드워프 산 속 왕"
"heroes.name_fancy.tales2_motsognir","드워프 국경 야인"
"heroes.name_fancy.tales2_ott","드워프 메리 트릭스터"
"heroes.name_fancy.tales2_ott_costume_herbalist","드워프 마에스트로 트릭스터"
"heroes.name_fancy.tales2_regin","드워프 전설의 왕자"
"heroes.name_fancy.tales2_regin_costume_omen","드워프 몰락한 왕자"
"heroes.name_fancy.tales2_snorri","드워프 이야기꾼"
"heroes.name_fancy.tales2_svafa","드워프 거물 사냥꾼"
"heroes.name_fancy.tales2_thrivaldi","드워프 얼음의 추적자"
"heroes.name_fancy.titan_hunter_adelitza","열대우림의 선봉"
"heroes.name_fancy.titan_hunter_borgholf","숲의 사냥꾼"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","툰드라의 수호자"
"heroes.name_fancy.trainer","용병 칼잡이"
"heroes.name_fancy.tribal_chief","부족장"
"heroes.name_fancy.tribal_chief_costume_conqueror","부족 복수자"
"heroes.name_fancy.tribal_chief_costume_cute","툰 족장"
"heroes.name_fancy.tribal_chief_costume_glass","비트랄리의 족장"
"heroes.name_fancy.tribal_chief_costume_leopard","표범 우두머리"
"heroes.name_fancy.undead_captain_warrior","망자 군주"
"heroes.name_fancy.undead_captain_warrior_costume_cute","데스바운드 툰"
"heroes.name_fancy.undead_captain_warrior_costume_glass","데스바운드 비트레일"
"heroes.name_fancy.undead_captain_warrior_costume_prince","불멸 왕자"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","죽음에서 부활한 술꾼"
"heroes.name_fancy.undead_female_warrior","망자 여제"
"heroes.name_fancy.undead_female_warrior_costume_cute","불사의 툰"
"heroes.name_fancy.undead_female_warrior_costume_glass","데스바운드 비트레일"
"heroes.name_fancy.undead_female_warrior_costume_princess","불멸 공주"
"heroes.name_fancy.undead_female_warrior_costume_rococo","데스바운드 프린세스"
"heroes.name_fancy.undead_horned_skeleton","끈질긴 망자"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","가차없는 툰"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","광대 망자"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","무자비한 비트레일"
"heroes.name_fancy.undead_running_skeleton","침통한 망자"
"heroes.name_fancy.undead_running_skeleton_costume_cute","엄숙한 툰"
"heroes.name_fancy.undead_running_skeleton_costume_glass","유리 자손"
"heroes.name_fancy.undead_running_skeleton_costume_roman","로마의 자손"
"heroes.name_fancy.undead_screaming_zombie","어기적거리는 망자"
"heroes.name_fancy.underworld_champion","치안관의 경호원"
"heroes.name_fancy.underworld_champion_costume_champion","치안관의 검투사"
"heroes.name_fancy.underworld_champion_costume_cute","프레이토리안 툰"
"heroes.name_fancy.underworld_champion_costume_glass","치안관의 비트레일"
"heroes.name_fancy.underworld_champion_costume_stylish","세련된 경호원"
"heroes.name_fancy.underworld_champion_costume_vampire","뱀파이어 근위병"
"heroes.name_fancy.valentines_anteros","돌아온 사랑의 큐피드"
"heroes.name_fancy.valentines_cupido","애정의 큐피드"
"heroes.name_fancy.valentines_cupido_costume_flame","불타는 정열의 큐피드"
"heroes.name_fancy.valentines_elba","사랑의 충직한 수호자"
"heroes.name_fancy.valentines_eros","욕망의 큐피드"
"heroes.name_fancy.valentines_himeros","짝사랑의 큐피드"
"heroes.name_fancy.valentines_kabeiroi","사랑에 사로잡힌 기계광"
"heroes.name_fancy.valentines_lempi","겨울 아침의 큐피드"
"heroes.name_fancy.valentines_matchmaker_dodgrom","오크 데이팅 상담사"
"heroes.name_fancy.valentines_phthonus","질투의 큐피드"
"heroes.name_fancy.valentines_vernon","심재의 큐피드"
"heroes.name_fancy.valentines_voluptas","기쁨의 큐피드"
"heroes.name_fancy.valentines_voluptas_costume_paint","화가의 큐피드"
"heroes.name_fancy.valentines_zarola","실연의 큐피드"
"heroes.name_fancy.valentines_zarola_costume_cowboy","고독한 전사들의 큐피드"
"heroes.name_fancy.vampire_king","뱀파이어 왕"
"heroes.name_fancy.vampire_king_costume_mafia","범죄의 왕"
"heroes.name_fancy.vampire_lord","뱀파이어의 심복"
"heroes.name_fancy.vampire_queen","밤의 아이"
"heroes.name_fancy.vegetable_bartholomew","피망 바바리안"
"heroes.name_fancy.vegetable_elsbeth","비트루트 나이트"
"heroes.name_fancy.villain_asterius","거대한 미노타우루스"
"heroes.name_fancy.villain_crystalis","크리스탈 여제"
"heroes.name_fancy.villain_dark_lord","카렘돌의 베인"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","카렘돌의 천문학자"
