"heroes.name_fancy.astral_cosmicspeaker","アストラルエルフの天文学者"
"heroes.name_fancy.owl_livia","オウルタワーの大司祭"
"heroes.name_fancy.owl_lodius","オウルタワーの戦士"
"heroes.name_fancy.owl_mariol","オウルタワーの廷臣"
"heroes.name_fancy.owl_olbec","オウルタワーの錬金術師"
"heroes.name_fancy.owl_ommodus","オウルタワーの法執行者"
"heroes.name_fancy.owl_paeia","オウルタワーの王女"
"heroes.name_fancy.owl_pertinax","オウルタワーの守護騎士"
"heroes.name_fancy.owl_relius","オウルタワーの薬草医"
"heroes.name_fancy.owl_timius","オウルタワーの王家の先導部隊"
"heroes.name_fancy.owl_verus","オウルタワーの斥候指揮官"
"heroes.name_fancy.pirate_anne","コレリアの表向きの首領"
"heroes.name_fancy.pirate_boatswain","コレリアの甲板長"
"heroes.name_fancy.pirate_cabin_boy","コレリアの給仕"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","海岸の新聞売り"
"heroes.name_fancy.pirate_commodore_finley","コレリアの准将"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","希望のない准将"
"heroes.name_fancy.pirate_dread_captain","コレリアの怖隊長"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","堕落したコレリアの船長"
"heroes.name_fancy.pirate_finley","コレリアの懲罰官"
"heroes.name_fancy.pirate_first_mate","コレリアの一等航海士"
"heroes.name_fancy.pirate_lady","コレリアの女史"
"heroes.name_fancy.pirate_lady_costume_queen","反逆の女王"
"heroes.name_fancy.pirate_marie_therese","コレリアの女呪術師"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","魂盗りの女祭司"
"heroes.name_fancy.pirate_sally","コレリアのマスコット"
"heroes.name_fancy.pirate_swashbuckler","コレリアの海賊長"
"heroes.name_fancy.pirate_vodnik","コレリアの漁師"
"heroes.name_fancy.rabbit_blue","スプリングヴェイルの守護者"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","リフトブレイカー"
"heroes.name_fancy.rabbit_green","スプリングヴェイルの王者"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","スプリングヴェイルのエッグハンター"
"heroes.name_fancy.rabbit_red","スプリングヴェイルの郷士"
"heroes.name_fancy.rabbit_red_costume_knight","スプリングヴェイルの騎士見習い"
"heroes.name_fancy.rodent_embertail","火鼠"
"heroes.name_fancy.rodent_sproutwhisker","黒毛の聖職者"
"heroes.name_fancy.ronin_asakura_masao","怒りの浪人"
"heroes.name_fancy.ronin_kageyama_nagato","手裏剣使いの盗賊浪人"
"heroes.name_fancy.ronin_mikanagi_miran","魔の浪人"
"heroes.name_fancy.ronin_tokage_daigo","冷血の浪人"
"heroes.name_fancy.ronin_yamada_jingasa","空手の達人"
"heroes.name_fancy.royal_female_knight","強心の王者"
"heroes.name_fancy.royal_female_knight_costume_cute","アニメ風チャンピオン"
"heroes.name_fancy.royal_female_knight_costume_glass","ガラスの王者"
"heroes.name_fancy.royal_female_knight_costume_prospector","自分勝手な探鉱者"
"heroes.name_fancy.royal_female_knight_costume_winter","ヴァイキングの王者"
"heroes.name_fancy.royal_knight","守護騎士"
"heroes.name_fancy.royal_knight_commander","フロストモロウの権者"
"heroes.name_fancy.royal_knight_commander_costume_cute","アニメ風のフロストモロウ"
"heroes.name_fancy.royal_knight_commander_costume_glass","フロストモロウのヴィトレイル"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","フロストモロウの指揮官"
"heroes.name_fancy.royal_knight_commander_costume_king","フロストモロウの王"
"heroes.name_fancy.royal_knight_costume_blacksmith","勇敢なる鍛冶工"
"heroes.name_fancy.royal_knight_costume_cute","アニメ風の騎士"
"heroes.name_fancy.royal_knight_costume_glass","ガラスの騎士"
"heroes.name_fancy.royal_pikeman","真摯たる衛兵"
"heroes.name_fancy.s2_ariel","アトランティスの女王"
"heroes.name_fancy.s2_ariel_costume_cute","アニメ風のアトランティスの女王"
"heroes.name_fancy.s2_ariel_costume_enchanter","アトランティスの術師"
"heroes.name_fancy.s2_atlantean_robot","アトランティスの監視人"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","アニメ風のアトランティスの監視人"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","アトランティスの哨兵"
"heroes.name_fancy.s2_chameleon_bruiser","カメレオン戦士"
"heroes.name_fancy.s2_chameleon_chief","カメレオンジェネラル"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","世界ヘビー級チャンピオン"
"heroes.name_fancy.s2_chameleon_mage","カメレオンシャーマン"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","カメレオンの錬金術師"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","アニメ風のカメレオンシャーマン"
"heroes.name_fancy.s2_croc_man","沼地の賊"
"heroes.name_fancy.s2_cursed_samurai","忌まわしの軍長"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","ビートル侍"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","アニメ風の呪いの主君"
"heroes.name_fancy.s2_demon_master","偽りの大名"
"heroes.name_fancy.s2_demon_master_costume_cute","欺きのトゥーン"
"heroes.name_fancy.s2_demon_master_costume_steppe","狡猾な夜警"
"heroes.name_fancy.s2_fiji_mermaid","シャローハンター"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","アニメ風の狩人"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","浅瀬の追跡者"
"heroes.name_fancy.s2_fox_girl","九尾の精"
"heroes.name_fancy.s2_fox_girl_costume_cute","九尾のトゥーン"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","白ギツネの精霊"
"heroes.name_fancy.s2_ghost_woman","孤高のゴースト"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","孤独な幽霊"
"heroes.name_fancy.s2_hammerhead_hulk","残忍なる解体者"
"heroes.name_fancy.s2_hammerhead_hulk_costume_cute","アニメ風の蛮族"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","残忍な刀使い"
"heroes.name_fancy.s2_junglehunter","ジャングル王子"
"heroes.name_fancy.s2_junglehunter_costume_cute","ジャングルのトゥーン"
"heroes.name_fancy.s2_junglehunter_costume_party","ルアウの王子"
"heroes.name_fancy.s2_lantern_ghost","ランプの妖怪"
"heroes.name_fancy.s2_mercenary_woman","至高の傭兵"
"heroes.name_fancy.s2_mercenary_woman_costume_cute","華麗なるアニメ"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","華麗なるフラダンサー"
"heroes.name_fancy.s2_merman","アトランティス マーマン"
"heroes.name_fancy.s2_merman_costume_cute","アニメ風のマーマン"
"heroes.name_fancy.s2_merman_costume_leutenant","アトランティスの大尉"
"heroes.name_fancy.s2_merwoman","アトランティス マーメイド"
"heroes.name_fancy.s2_merwoman_costume_cute","アニメ風のマーメイド"
"heroes.name_fancy.s2_merwoman_costume_emissary","アトランティスの使者"
"heroes.name_fancy.s2_noble_lady","死美"
"heroes.name_fancy.s2_noble_lady_costume_cute","アニメ風の貴婦人"
"heroes.name_fancy.s2_noble_lady_costume_warrior","麗しの炎"
"heroes.name_fancy.s2_oceanus","海の巨人"
"heroes.name_fancy.s2_oceanus_costume_volcano","溶岩の巨人"
"heroes.name_fancy.s2_poseidon","アトランティスの支配者"
"heroes.name_fancy.s2_poseidon_costume_cute","アニメ風のアトランティスの支配者"
"heroes.name_fancy.s2_poseidon_costume_slayer","アトランティスのスレイヤー"
"heroes.name_fancy.s2_proteus","アトランティスの学者"
"heroes.name_fancy.s2_proteus_costume_cute","アニメ風のアトランティスの学者"
"heroes.name_fancy.s2_proteus_costume_farseer","アトランティスの先見の明を持つ者"
"heroes.name_fancy.s2_rugged_fisherman","勇猛なる海男"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","アニメ風の勇猛なる海男"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","勇敢な醸造職人"
"heroes.name_fancy.s2_skyllaros","アトランティスの守護者"
"heroes.name_fancy.s2_skyllaros_costume_cute","アニメ風のアトランティスの守護者"
"heroes.name_fancy.s2_skyllaros_costume_reef","岩礁の守護者"
"heroes.name_fancy.s2_straw_demon","ストローデーモン"
"heroes.name_fancy.s2_tanuki_raccoon","不屈のペテン師"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","勇敢な商人"
"heroes.name_fancy.s2_tethys","すべての川の女神"
"heroes.name_fancy.s2_tethys_costume_steel","すべての川の復讐者"
"heroes.name_fancy.s2_triton","アトランティスの首長"
"heroes.name_fancy.s2_triton_costume_champion","アトランティスの闘志"
"heroes.name_fancy.s2_ursena","深淵の女帝"
"heroes.name_fancy.s2_ursena_costume_cute","深淵のトゥーン"
"heroes.name_fancy.s2_ursena_costume_reef","致命的な岩礁の女王"
"heroes.name_fancy.s3_agnes","勇気ある村人"
"heroes.name_fancy.s3_alfrike","スヴァルトアールヴヘイムの女王"
"heroes.name_fancy.s3_alfrike_costume_hatter","スヴァルトアールヴヘイムの帽子屋"
"heroes.name_fancy.s3_almur","スヴァルトアールヴヘイムのシャドーブレイド"
"heroes.name_fancy.s3_almur_costume_lord","スヴァルトアールヴヘイムの王"
"heroes.name_fancy.s3_anwindr","呪いのバイキング大男"
"heroes.name_fancy.s3_baldur","ルミナスゴッド"
"heroes.name_fancy.s3_baldur_costume_fiery","炎の神"
"heroes.name_fancy.s3_bera","ディーシルの王女"
"heroes.name_fancy.s3_bera_costume_conjurer","夢の奇術師"
"heroes.name_fancy.s3_bjorn","勇敢な村人"
"heroes.name_fancy.s3_bjorn_costume_viking","勇敢な兵士"
"heroes.name_fancy.s3_brynhild","盾乙女ヴァルキリー"
"heroes.name_fancy.s3_by_ulf","呪いのバイキング闘士"
"heroes.name_fancy.s3_ei_dunn","呪いのバイキング戦士"
"heroes.name_fancy.s3_ei_dunn_costume_shield","残忍なるヴァイキングの戦士"
"heroes.name_fancy.s3_fenrir","ニヴルヘイムのリーダー"
"heroes.name_fancy.s3_fenrir_costume_guardian","ニヴルヘイムの守護者"
"heroes.name_fancy.s3_freya","虐殺の麗人"
"heroes.name_fancy.s3_freya_costume_witch","堕ちた魔女"
"heroes.name_fancy.s3_frigg","先見の女神"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","千里眼の女神"
"heroes.name_fancy.s3_fura","スヴァルトアールヴヘイムの害毒者"
"heroes.name_fancy.s3_fura_costume_herbalist","スヴァルトアールヴヘイムの薬草医"
"heroes.name_fancy.s3_gefjon","収穫の女神"
"heroes.name_fancy.s3_gefjon_costume_wilderness","荒野の女神"
"heroes.name_fancy.s3_grevle","カニングバッジャー"
"heroes.name_fancy.s3_gullinbursti","ゴールドボア"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","解放されたイノシシ"
"heroes.name_fancy.s3_heimdall","寝ずのウォッチマン"
"heroes.name_fancy.s3_heimdall_costume_dreaded","恐怖の番人"
"heroes.name_fancy.s3_jarvur","ウルヴァリン拳闘士"
"heroes.name_fancy.s3_jott","バーバリアン氷巨人"
"heroes.name_fancy.s3_kvasir","アルフヘイムの養蜂家"
"heroes.name_fancy.s3_kvasir_costume_captain","アルフヘイムの蜂使いの隊長"
"heroes.name_fancy.s3_loki_female","詐欺師の女神"
"heroes.name_fancy.s3_loki_female_costume_mother","詐欺師の母"
"heroes.name_fancy.s3_loki_fish","ペテン師"
"heroes.name_fancy.s3_loki_fish_costume_dapper","オシャレな魚"
"heroes.name_fancy.s3_loki_male","詐欺師の神"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","変幻自在の神"
"heroes.name_fancy.s3_mireweave","スウィフトドラウグ"
"heroes.name_fancy.s3_mist","ヴァルキリーコマンダー"
"heroes.name_fancy.s3_nordri","ヨトゥンヘイムの氷ドワーフ"
"heroes.name_fancy.s3_nordri_costume_explorer","ヨトゥンヘイムの探検家ドワーフ"
"heroes.name_fancy.s3_norns","運命を紡ぐ者"
"heroes.name_fancy.s3_norns_costume_puppeteers","運命の傀儡師"
"heroes.name_fancy.s3_odin","知恵に富む主神"
"heroes.name_fancy.s3_odin_costume_champion","勇敢なる万物の父"
"heroes.name_fancy.s3_ratatoskr","ユグドラシルの使者"
"heroes.name_fancy.s3_ratatoskr_costume_architect","ユグドラシルの建築家"
"heroes.name_fancy.s3_shadereave","野蛮なるドラウグ"
"heroes.name_fancy.s3_sif","麗髪の神"
"heroes.name_fancy.s3_sif_costume_golden","黄金の神"
"heroes.name_fancy.s3_skadi","ヨトゥンヘイムの女神"
"heroes.name_fancy.s3_skadi_costume_ravager","ヨトゥンヘイムの守護者"
"heroes.name_fancy.s3_stonecleave","無慈悲なるドラウグ"
"heroes.name_fancy.s3_sudri","ムスペルヘイムの炎ドワーフ"
"heroes.name_fancy.s3_sumle","強靭な炎巨人"
"heroes.name_fancy.s3_sumle_costume_unhallowed","邪悪な炎巨人"
"heroes.name_fancy.s3_thor","雷の神"
"heroes.name_fancy.s3_thor_costume_conduit","稲妻の導体"
"heroes.name_fancy.s3_tyr","慈悲なき正義"
"heroes.name_fancy.s3_tyr_costume_savage","残忍なる正義"
"heroes.name_fancy.s4_akkorog","モーロックの酋長"
"heroes.name_fancy.s4_akkorog_costume_football","モーロックのランニングバック"
"heroes.name_fancy.s4_aouda","心優しき王女"
"heroes.name_fancy.s4_aouda_costume_lotus","ロータスの王女"
"heroes.name_fancy.s4_captain_nemo","謎めいた探検家"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","謎の機械工"
"heroes.name_fancy.s4_congalach","深淵の戦士"
"heroes.name_fancy.s4_congalach_costume_kelp","昆布の戦士"
"heroes.name_fancy.s4_doctor_moreau","邪悪な科学者"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","邪な書記"
"heroes.name_fancy.s4_elizabeth","蜘蛛の貴族"
"heroes.name_fancy.s4_elizabeth_costume_bride","貴族の花嫁"
"heroes.name_fancy.s4_exeera","八腕の聖職者"
"heroes.name_fancy.s4_exeera_costume_hierophant","オクトポッドの教皇"
"heroes.name_fancy.s4_garjammal","モーロックのバトルマスター"
"heroes.name_fancy.s4_garjammal_costume_kite","モーロックの凧マスター"
"heroes.name_fancy.s4_gramps","ハーフリング族のエルダー"
"heroes.name_fancy.s4_gramps_costume_gardener","ハーフリング族の庭師"
"heroes.name_fancy.s4_griffin","透明人間"
"heroes.name_fancy.s4_griffin_costume_priest","表に出ない聖職者"
"heroes.name_fancy.s4_hannah","冒険好きな考古学者"
"heroes.name_fancy.s4_hannah_costume_drover","勇敢なる牛追い"
"heroes.name_fancy.s4_helo","エロイの漁師"
"heroes.name_fancy.s4_helo_costume_baker","エロイのパン職人"
"heroes.name_fancy.s4_hulda","モグラ族の長"
"heroes.name_fancy.s4_hulda_costume_nurse","主任看護師"
"heroes.name_fancy.s4_kravekrush","エッティンの司令官"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","エッティンのグリルマスター"
"heroes.name_fancy.s4_lepiota","エロイの指導者"
"heroes.name_fancy.s4_lepiota_costume_undying","不死のリーダー"
"heroes.name_fancy.s4_lughaidh","深淵の王"
"heroes.name_fancy.s4_lughaidh_costume_deathless","不死身の王"
"heroes.name_fancy.s4_mack","ハーフリング族の冒険者"
"heroes.name_fancy.s4_mack_costume_novelist","ハーフリングの小説家"
"heroes.name_fancy.s4_morel","エロイのハンター"
"heroes.name_fancy.s4_morel_costume_sage","エロワの賢人"
"heroes.name_fancy.s4_morris","無敵のモールマン"
"heroes.name_fancy.s4_morris_costume_potter","モールマンの陶芸家"
"heroes.name_fancy.s4_octros","オクトポッドのチャンピオン"
"heroes.name_fancy.s4_octros_costume_suitor","軟体動物の求婚者"
"heroes.name_fancy.s4_passepartout","利口な旅人"
"heroes.name_fancy.s4_passepartout_costume_artist","優雅な芸術家"
"heroes.name_fancy.s4_phileas_fogg","勇気ある航海者"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","優秀なエンジニア"
"heroes.name_fancy.s4_poppy","ハーフリングの石弓射手"
"heroes.name_fancy.s4_poppy_costume_lodger","ハーフリングの下宿人"
"heroes.name_fancy.s4_professor_lidenbrock","聡明な科学者"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","利口な宝石商人"
"heroes.name_fancy.s4_rokkamush","エッティン スマッシャー"
"heroes.name_fancy.s4_rokkamush_costume_mason","エッティンの石工"
"heroes.name_fancy.s4_russula","エロイのローグ"
"heroes.name_fancy.s4_russula_costume_painter","エロイの絵描き"
"heroes.name_fancy.s4_tettukh","モーロック ブルート"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","モーロックのチアリーダー"
"heroes.name_fancy.s4_vollermork","モーロック ホーダー"
"heroes.name_fancy.s4_vollermork_costume_bartender","モーロックのバーテンダー"
"heroes.name_fancy.s4_xenda","冥界の女跡継ぎ"
"heroes.name_fancy.s4_xenda_costume_flame","炎の相続人"
"heroes.name_fancy.s4_xnolphod","オクトポッドの魔術師"
"heroes.name_fancy.s4_xnolphod_costume_jailer","八腕の看守"
"heroes.name_fancy.s4_zekena","多足類の王子"
"heroes.name_fancy.s4_zekena_costume_vines","アポシナシドの王子"
"heroes.name_fancy.s4_zenobia","ミリアポッド女王"
"heroes.name_fancy.s4_zenobia_costume_floral","アポシナシドの女王"
"heroes.name_fancy.s4_zila_lei","八腕類の暗殺者"
"heroes.name_fancy.s4_zila_lei_costume_dancer","八腕のダンサー"
"heroes.name_fancy.s5_ahhotep","ミイラ戦士"
"heroes.name_fancy.s5_ahhotep_costume_champion","ミイラチャンピオン"
"heroes.name_fancy.s5_ahmose","ミイラファラオ"
"heroes.name_fancy.s5_ahmose_costume_reborn","ファラオ再誕"
"heroes.name_fancy.s5_anubis","死後世界の神"
"heroes.name_fancy.s5_anubis_costume_dancefloor","舞踏場の裁定人"
"heroes.name_fancy.s5_aqeela","世渡り上手な浮浪者"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","世慣れた魔術師"
"heroes.name_fancy.s5_azmia","タフな酒場主"
"heroes.name_fancy.s5_azmia_costume_dancing","踊る酒場主"
"heroes.name_fancy.s5_bastet","月の目"
"heroes.name_fancy.s5_bastet_costume_forest","森の眼差し"
"heroes.name_fancy.s5_bennu","創造の精霊"
"heroes.name_fancy.s5_bennu_costume_heron","創造のサギ"
"heroes.name_fancy.s5_cleopatra","神聖なファラオ"
"heroes.name_fancy.s5_cleopatra_costume_feline","ネコのファラオ"
"heroes.name_fancy.s5_el_naddaha","魅惑の川"
"heroes.name_fancy.s5_el_naddaha_costume_sea","海のセイレーン"
"heroes.name_fancy.s5_eset","千の名を持つ女"
"heroes.name_fancy.s5_eset_costume_goldensun","黄金の太陽の貴婦人"
"heroes.name_fancy.s5_faiez","幸運な農夫"
"heroes.name_fancy.s5_faiez_costume_miner","幸運の鉱員"
"heroes.name_fancy.s5_hathor","母なる神"
"heroes.name_fancy.s5_hathor_costume_starlit","星明かりの母"
"heroes.name_fancy.s5_hetepheres","悪賢いスフィンクス"
"heroes.name_fancy.s5_hetepheres_costume_spa","スパのスフィンクス"
"heroes.name_fancy.s5_horus","狩りの神"
"heroes.name_fancy.s5_horus_costume_golden","黄金の狩人"
"heroes.name_fancy.s5_jarif","疲弊した書記"
"heroes.name_fancy.s5_jarif_costume_curator","心労の学芸員"
"heroes.name_fancy.s5_junaid","忠誠を誓った兵士"
"heroes.name_fancy.s5_junaid_costume_champion","誓いのチャンピオン"
"heroes.name_fancy.s5_khafre","気性の激しい人頭スフィンクス"
"heroes.name_fancy.s5_khafre_costume_aquatic","水のアンドロスフィンクス"
"heroes.name_fancy.s5_khepri","スカラベの神"
"heroes.name_fancy.s5_khepri_costume_overlord","スカラベの大王"
"heroes.name_fancy.s5_khonshu","月の神"
"heroes.name_fancy.s5_khonshu_costume_knight","月の騎士"
"heroes.name_fancy.s5_maat","調和の女神"
"heroes.name_fancy.s5_maat_costume_river","イテルの淑女"
"heroes.name_fancy.s5_meresankh","サンスフィンクス"
"heroes.name_fancy.s5_meresankh_costume_disco","ディスコのスフィンクス"
"heroes.name_fancy.s5_papyros","紙と砂のゴーレム"
"heroes.name_fancy.s5_papyros_costume_colossus","紙と砂の巨人"
"heroes.name_fancy.s5_ptolemy","長老のファラオ"
"heroes.name_fancy.s5_ptolemy_costume_log","老木"
"heroes.name_fancy.s5_rekhetre","若きスフィンクス"
"heroes.name_fancy.s5_rekhetre_costume_artist","若き芸術家"
"heroes.name_fancy.s5_scoratek","スカラベの護衛兵"
"heroes.name_fancy.s5_scoratek_costume_sentinel","スカラベの歩哨"
"heroes.name_fancy.s5_sekhmet","太陽の目"
"heroes.name_fancy.s5_sekhmet_costume_warden","太陽の番人"
"heroes.name_fancy.s5_set","闇の強奪者"
"heroes.name_fancy.s5_set_costume_tyrant","闇の暴君"
"heroes.name_fancy.s5_sneferu","月のスフィンクス"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","月の征服者"
"heroes.name_fancy.s5_sobek","川の神"
"heroes.name_fancy.s5_sobek_costume_guardian","川の守護者"
"heroes.name_fancy.s5_tetisheri","ミイラの女王"
"heroes.name_fancy.s5_tetisheri_costume_molten","白熱の女王"
"heroes.name_fancy.s5_waqas","ファラオの楯"
"heroes.name_fancy.s5_waqas_costume_blade","ファラオの刃"
"heroes.name_fancy.sand_horse","砂の国の頼れる名馬"
"heroes.name_fancy.sand_king","砂の国の王"
"heroes.name_fancy.sand_king_costume_lifeguard","ライフガードの王"
"heroes.name_fancy.sand_queen","砂の国の女王"
"heroes.name_fancy.sand_queen_costume_surfer","サーファーの女王"
"heroes.name_fancy.sand_roc","砂の国の守護者"
"heroes.name_fancy.sand_roc_costume_juice","海辺の守護者"
"heroes.name_fancy.sand_soldier","砂の国の戦士"
"heroes.name_fancy.sand_tower","砂の国の獣塔"
"heroes.name_fancy.sand_vizier","砂の国の高官"
"heroes.name_fancy.scoundrel_duval","欺きの射手"
"heroes.name_fancy.scoundrel_lane","路上の盗賊"
"heroes.name_fancy.shadow_abigail","調査報道ジャーナリスト"
"heroes.name_fancy.shadow_asketel","失われし知識を求める者"
"heroes.name_fancy.shadow_atwood","未知なるものに魅せられし者"
"heroes.name_fancy.shadow_burton","ホムンクルスの調査官"
"heroes.name_fancy.shadow_cthuwu","古き者の落とし子"
"heroes.name_fancy.shadow_dolores","無鉄砲な私立探偵"
"heroes.name_fancy.shadow_gwendoline","狂信的な考古学者"
"heroes.name_fancy.shadow_hunter","古き者の子孫"
"heroes.name_fancy.shadow_hysteria","神秘の工芸品コレクター"
"heroes.name_fancy.shadow_melancholia","古き者の侍者"
"heroes.name_fancy.shadow_omen","デビルリーフの聖者"
"heroes.name_fancy.shadow_penelope","狂暴な元司書"
"heroes.name_fancy.shadow_rashan","フール－メタルの使用者"
"heroes.name_fancy.shadow_rosanna","トゥルーショット"
"heroes.name_fancy.shadow_salvatore","歪みの霊媒師"
"heroes.name_fancy.shadow_shoggo","変化自在の案内人"
"heroes.name_fancy.shadow_wulfstan","エルドリッチの弾薬職人"
"heroes.name_fancy.shadow_zavinia","深海の交合種"
"heroes.name_fancy.slayer_aodhan","白熱"
"heroes.name_fancy.slayer_caitlin","啓蒙主義者"
"heroes.name_fancy.slayer_caitlin_costume_crusader","ジャスティカーの改革指導者"
"heroes.name_fancy.slayer_cathal","勇者ども"
"heroes.name_fancy.slayer_cillian","不死身の者"
"heroes.name_fancy.slayer_maeve","見えない者"
"heroes.name_fancy.slayer_noril","凶暴な者"
"heroes.name_fancy.slayer_orla","尊敬すべき者"
"heroes.name_fancy.slayer_rian","確固たる者"
"heroes.name_fancy.slayer_saoirse","支配できない者"
"heroes.name_fancy.slayer_saoirse_costume_knight","征服者"
"heroes.name_fancy.slayer_senan","呪われた者"
"heroes.name_fancy.slayer_senan_costume_tentacles","セファロイドのしもべ"
"heroes.name_fancy.slime_achillea","恐れ知らずの剣闘スライム"
"heroes.name_fancy.slime_boboosang","老年の行商スライム"
"heroes.name_fancy.slime_bulklug","巨大な建築スライム"
"heroes.name_fancy.slime_charmione","魅了するシアタースライム"
"heroes.name_fancy.slime_chingiriko","闇の追跡スライム"
"heroes.name_fancy.slime_choozen","恥ずかしがりの宝箱スライム"
"heroes.name_fancy.slime_fruitio","果物好きのスライム"
"heroes.name_fancy.slime_fungustine","若返りの森のスライム"
"heroes.name_fancy.slime_gloozmer","穏やかな詐欺師スライム"
"heroes.name_fancy.slime_goldrip","黄金のスライムの王"
"heroes.name_fancy.slime_gooldron","オタクの大壺スライム"
"heroes.name_fancy.slime_goorian","野蛮なヘドロ"
"heroes.name_fancy.slime_gooric","賢明なる聖なるスライム"
"heroes.name_fancy.slime_gooze","逃げだした実験用スライム"
"heroes.name_fancy.slime_gunktus","無慈悲な戦闘スライム"
"heroes.name_fancy.slime_harubo","警備スライム"
"heroes.name_fancy.slime_justico","守護スライム"
"heroes.name_fancy.slime_knightus","騎士道のテンプルスライム"
"heroes.name_fancy.slime_labblub","好奇心旺盛な科学者スライム"
"heroes.name_fancy.slime_magistine","呪文織成のスライム"
"heroes.name_fancy.slime_mucktus","邪悪なフォレストスライム"
"heroes.name_fancy.slime_slaymire","頑固なスライム処刑人"
"heroes.name_fancy.slime_slimgo","姑息なローグスライム"
"heroes.name_fancy.slime_sliposi","滑りやすい配達人スライム"
"heroes.name_fancy.slime_sludgus","歌う酒場スライム"
"heroes.name_fancy.slime_verdigoo","ネバネバのエメラルド色の裁定者"
"heroes.name_fancy.slime_zestique","やさしい赤面のスライム"
"heroes.name_fancy.styx_amphitrite","海の女神"
"heroes.name_fancy.styx_arges","ポーション商人のサイクロプス"
"heroes.name_fancy.styx_brontes","農民のサイクロプス"
"heroes.name_fancy.styx_charon","ステュクスの渡し守"
"heroes.name_fancy.styx_dante","アンダーワールドの冒険家"
"heroes.name_fancy.styx_erebus","深遠なる闇の神"
"heroes.name_fancy.styx_hypnos","眠りの支配者"
"heroes.name_fancy.styx_nemesis","天の報復の女神"
"heroes.name_fancy.styx_nyx","母なる夜"
"heroes.name_fancy.styx_steropes","芸術家のサイクロプス"
"heroes.name_fancy.styx_thanatos","安らかなる死の神"
"heroes.name_fancy.styx_virgil","アンダーワールドの案内人"
"heroes.name_fancy.tales1_aqualith","属性装甲歩兵"
"heroes.name_fancy.tales1_aqualith_costume_purple","エレメントの巨人"
"heroes.name_fancy.tales1_atlanteia","深海の氷河の女神"
"heroes.name_fancy.tales1_atlanteia_costume_siren","深海の氷河セイレーン"
"heroes.name_fancy.tales1_bagreg","フィッシュマンの喧嘩リーダー"
"heroes.name_fancy.tales1_bagreg_costume_scout","フィッシュボーイの偵察員"
"heroes.name_fancy.tales1_ceto","原始の海のモンスターの女神"
"heroes.name_fancy.tales1_ceto_costume_queen","原始の海のモンスターの女王"
"heroes.name_fancy.tales1_domiventus","超深海の不死の存在"
"heroes.name_fancy.tales1_domiventus_costume_supreme","超深海帯の存在"
"heroes.name_fancy.tales1_ephyra","ネレイス女王"
"heroes.name_fancy.tales1_ephyra_costume_reef","岩礁の王女"
"heroes.name_fancy.tales1_galapago","海の賢人"
"heroes.name_fancy.tales1_galapago_costume_quarry","採石場の賢明なる勝負師"
"heroes.name_fancy.tales1_gelert","深海のトレジャーハンター"
"heroes.name_fancy.tales1_gelert_costume_scavenger","深海を漁る者"
"heroes.name_fancy.tales1_gestalt","深海の王子"
"heroes.name_fancy.tales1_gestalt_costume_pearls","永遠の真珠の王子"
"heroes.name_fancy.tales1_jaco","深海の危険な商人"
"heroes.name_fancy.tales1_jaco_costume_alchemist","深淵の怪しい錬金術師"
"heroes.name_fancy.tales1_lasalle","アトランティスの派手好きの軽騎兵"
"heroes.name_fancy.tales1_lasalle_costume_jockey","アトランティスの派手好きな騎手"
"heroes.name_fancy.tales1_medea","深海の蛇神の女王"
"heroes.name_fancy.tales1_medea_costume_goddess","深海の蛇神の女神"
