"heroes.name_fancy.astral_cosmicspeaker","Astral-elvernes astronom"
"heroes.name_fancy.s2_chameleon_mage","Kamæleon-shaman"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Kamæleonsk alkymist"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Kamæleonisk tegneserieshaman"
"heroes.name_fancy.s2_croc_man","Sumpbisse"
"heroes.name_fancy.s2_cursed_samurai","Forbandet krigsherre"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Billesamurai"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Forbandet tegneserieherre"
"heroes.name_fancy.s2_demon_master","Bedragerisk daimyo"
"heroes.name_fancy.s2_demon_master_costume_cute","Bedragets tegneseriefigur"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul af Kløgt"
"heroes.name_fancy.s2_fiji_mermaid","Lavvandsjæger"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Tegneseriejæger"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Havets forfører"
"heroes.name_fancy.s2_fox_girl","Nihalet ånd"
"heroes.name_fancy.s2_fox_girl_costume_cute","Nihalet tegneseriefigur"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Hvid Kitsune-ånd"
"heroes.name_fancy.s2_ghost_woman","Enligt spøgelse"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Ensom Yurei"
"heroes.name_fancy.s2_hammerhead_hulk","Brutal slagter"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Brutal klingekonge"
"heroes.name_fancy.s2_junglehunter","Junglens prins"
"heroes.name_fancy.s2_junglehunter_costume_cute","Junglens tegneseriefigur"
"heroes.name_fancy.s2_junglehunter_costume_party","Prinsen af Lūʻau"
"heroes.name_fancy.s2_lantern_ghost","Lanterne-yokai"
"heroes.name_fancy.s2_mercenary_woman","Prægtig lejesoldat"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Enestående huladanser"
"heroes.name_fancy.s2_merman","Havmand fra Atlantis"
"heroes.name_fancy.s2_merman_costume_cute","Tegneseriehavmand"
"heroes.name_fancy.s2_merman_costume_leutenant","Atlantis-løjtnant"
"heroes.name_fancy.s2_merwoman","Havfrue fra Atlantis"
"heroes.name_fancy.s2_merwoman_costume_cute","Tegneseriehavfrue"
"heroes.name_fancy.s2_merwoman_costume_emissary","Atlantis-udsending"
"heroes.name_fancy.s2_noble_lady","Fatal skønhed"
"heroes.name_fancy.s2_noble_lady_costume_cute","Tegneserieskønhed"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Blussende skønhed"
"heroes.name_fancy.s2_oceanus","Havtitan"
"heroes.name_fancy.s2_oceanus_costume_volcano","Magmatitan"
"heroes.name_fancy.s2_poseidon","Hersker af Atlantis"
"heroes.name_fancy.s2_poseidon_costume_cute","Atlantis' tegneseriehersker"
"heroes.name_fancy.s2_poseidon_costume_slayer","Dræberen fra Atlantis"
"heroes.name_fancy.s2_proteus","Troldmand fra Atlantis"
"heroes.name_fancy.s2_proteus_costume_cute","Atlantis' tegneserietroldmand"
"heroes.name_fancy.s2_proteus_costume_farseer","Farseer fra Atlantis"
"heroes.name_fancy.s2_rugged_fisherman","Brav fisker"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Brav tegneseriefisker"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Modig brygmester"
"heroes.name_fancy.s2_skyllaros","Beskytter fra Atlantis"
"heroes.name_fancy.s2_skyllaros_costume_cute","Atlantis' tegneseriebeskytter"
"heroes.name_fancy.s2_skyllaros_costume_reef","Revets vogter"
"heroes.name_fancy.s2_straw_demon","Strådæmon"
"heroes.name_fancy.s2_tanuki_raccoon","Ukuelig bedrager"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Frygtløs købmand"
"heroes.name_fancy.s2_tethys","Flodernes gudinde"
"heroes.name_fancy.s2_tethys_costume_steel","Alle floders hævner"
"heroes.name_fancy.s2_triton","Kaptajn af Atlantis"
"heroes.name_fancy.s2_triton_costume_champion","Mesteren fra Atlantis"
"heroes.name_fancy.s2_ursena","Kejserinde af dybet"
"heroes.name_fancy.s2_ursena_costume_cute","Dybets tegneseriefigur"
"heroes.name_fancy.s2_ursena_costume_reef","Dødbringende revdronning"
"heroes.name_fancy.s3_agnes","Tapper landsbybo"
"heroes.name_fancy.s3_alfrike","Svartalfheims dronning"
"heroes.name_fancy.s3_alfrike_costume_hatter","Svartalfheims hattemager"
"heroes.name_fancy.s3_almur","Skyggeklingen fra Svartalfheim"
"heroes.name_fancy.s3_almur_costume_lord","Svartalfheims herre"
"heroes.name_fancy.s3_anwindr","Forbandet vikingeslagsbror"
"heroes.name_fancy.s3_baldur","Lysende gud"
"heroes.name_fancy.s3_baldur_costume_fiery","Ildgud"
"heroes.name_fancy.s3_bera","Diserprinsessen"
"heroes.name_fancy.s3_bera_costume_conjurer","Magiker fra Dísir"
"heroes.name_fancy.s3_bjorn","Modig landsbybo"
"heroes.name_fancy.s3_bjorn_costume_viking","Modig soldat"
"heroes.name_fancy.s3_brynhild","Valkyriernes skjoldmø"
"heroes.name_fancy.s3_by_ulf","Forbandet vikingespektakelmager"
"heroes.name_fancy.s3_ei_dunn","Forbandet vikingekæmper"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Blodtørstig vikingekæmper"
"heroes.name_fancy.s3_fenrir","Leder af Niflheim"
"heroes.name_fancy.s3_fenrir_costume_guardian","Niflheims vogter"
"heroes.name_fancy.s3_freya","De dræbtes frue"
"heroes.name_fancy.s3_freya_costume_witch","De faldnes heks"
"heroes.name_fancy.s3_frigg","Fremsynets gudinde"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Clairvoyancens gudinde"
"heroes.name_fancy.s3_fura","Svartalfheims giftmorder"
"heroes.name_fancy.s3_fura_costume_herbalist","Urtesamler fra Svartalfheim"
"heroes.name_fancy.s3_gefjon","Høstens gudinde"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Vildnissets gudinde"
"heroes.name_fancy.s3_grevle","Snedig grævling"
"heroes.name_fancy.s3_gullinbursti","Gyldent vildsvin"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Ulænket bjørn"
"heroes.name_fancy.s3_heimdall","Vagtsom vagt"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Frygtet vogter"
"heroes.name_fancy.s3_jarvur","Jærvbokser"
"heroes.name_fancy.s3_jott","Barbarisk iskæmpe"
"heroes.name_fancy.s3_kvasir","Alfheims biavler"
"heroes.name_fancy.s3_kvasir_costume_captain","Alfheims bikaptajn"
"heroes.name_fancy.s3_loki_female","Svindlernes gudinde"
"heroes.name_fancy.s3_loki_female_costume_mother","Svindlermor"
"heroes.name_fancy.s3_loki_fish","Svindlerfisk"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Fornem fisk"
"heroes.name_fancy.s3_loki_male","Svindlernes gud"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Formskiftergud"
"heroes.name_fancy.s3_mireweave","Hurtig Draugr"
"heroes.name_fancy.s3_mist","Valkyriernes kommandør"
"heroes.name_fancy.s3_nordri","Isdværg fra Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Udforskerdværg fra Jotunheim"
"heroes.name_fancy.s3_norns","Skæbnevævere"
"heroes.name_fancy.s3_norns_costume_puppeteers","Skæbnens dukkeførere"
"heroes.name_fancy.s3_odin","Alvidende alfader"
"heroes.name_fancy.s3_odin_costume_champion","Modig alfader"
"heroes.name_fancy.s3_ratatoskr","Yggdrasils budbringer"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Yggdrasils arkitekt"
"heroes.name_fancy.s3_shadereave","Dyrisk Draugr"
"heroes.name_fancy.s3_sif","Lyshåret guddom"
"heroes.name_fancy.s3_sif_costume_golden","Gylden guddom"
"heroes.name_fancy.s3_skadi","Gudinde fra Jotunheim"
"heroes.name_fancy.s3_skadi_costume_ravager","Jotunheims vogter"
"heroes.name_fancy.s3_stonecleave","Ubønhørlig Draugr"
"heroes.name_fancy.s3_sudri","Ilddværg fra Muspelheim"
"heroes.name_fancy.s3_sumle","Stor og stærk ildkæmpe"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Ugudelig ildkæmpe"
"heroes.name_fancy.s3_thor","Tordengud"
"heroes.name_fancy.s3_thor_costume_conduit","Tordenkanal"
"heroes.name_fancy.s3_tyr","Ubarmhjertig retfærdighed"
"heroes.name_fancy.s3_tyr_costume_savage","Barbarisk retfærdighed"
"heroes.name_fancy.s4_akkorog","Morlockhøvding"
"heroes.name_fancy.s4_akkorog_costume_football","Morlock-footballspiller"
"heroes.name_fancy.s4_aouda","Godhjertet prinsesse"
"heroes.name_fancy.s4_aouda_costume_lotus","Lotus-prinsesse"
"heroes.name_fancy.s4_captain_nemo","Enigmatisk udforsker"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Enigmatisk maskinist"
"heroes.name_fancy.s4_congalach","Dybets kriger"
"heroes.name_fancy.s4_congalach_costume_kelp","Tangkriger"
"heroes.name_fancy.s4_doctor_moreau","Snedig forsker"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Lusket skriver"
"heroes.name_fancy.s4_elizabeth","Edderkoppearistokrat"
"heroes.name_fancy.s4_elizabeth_costume_bride","Brudearistokrat"
"heroes.name_fancy.s4_exeera","Sprutte-præst"
"heroes.name_fancy.s4_exeera_costume_hierophant","Blækspruttehierofant"
"heroes.name_fancy.s4_garjammal","Mester i morlockkamp"
"heroes.name_fancy.s4_garjammal_costume_kite","Mester i morlockdrager"
"heroes.name_fancy.s4_gramps","Ældre hobbit"
"heroes.name_fancy.s4_gramps_costume_gardener","Hobbitgartner"
"heroes.name_fancy.s4_griffin","Usynlig mand"
"heroes.name_fancy.s4_griffin_costume_priest","Usynlig præst"
"heroes.name_fancy.s4_hannah","Eventyrlysten arkæolog"
"heroes.name_fancy.s4_hannah_costume_drover","Eventyrlysten studedriver"
"heroes.name_fancy.s4_helo","Eloi-fisker"
"heroes.name_fancy.s4_helo_costume_baker","Eloi-bager"
"heroes.name_fancy.s4_hulda","Muldvarpenes leder"
"heroes.name_fancy.s4_hulda_costume_nurse","Oversygeplejerske"
"heroes.name_fancy.s4_kravekrush","Ettinkommandør"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Ettin-grillmester"
"heroes.name_fancy.s4_lepiota","Leder af Eloi-folket"
"heroes.name_fancy.s4_lepiota_costume_undying","De udødeliges leder"
"heroes.name_fancy.s4_lughaidh","Dybdernes konge"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Den dødsløse konge"
"heroes.name_fancy.s4_mack","Eventyrer fra hobbitfolket"
"heroes.name_fancy.s4_mack_costume_novelist","Hobbitforfatter"
"heroes.name_fancy.s4_morel","Eloi-jæger"
"heroes.name_fancy.s4_morel_costume_sage","Visvæsen fra Eloi"
"heroes.name_fancy.s4_morris","Mægtig muldvarpemand"
"heroes.name_fancy.s4_morris_costume_potter","Muldvarpe-keramiker"
"heroes.name_fancy.s4_octros","Oktomester"
"heroes.name_fancy.s4_octros_costume_suitor","Bløddyrsbejler"
"heroes.name_fancy.s4_passepartout","Snedig rejsende"
"heroes.name_fancy.s4_passepartout_costume_artist","Elegant kunstner"
"heroes.name_fancy.s4_phileas_fogg","Tapper opdager"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Udsøgt ingeniør"
"heroes.name_fancy.s4_poppy","Armbrøstskytte fra hobbitfolket"
"heroes.name_fancy.s4_poppy_costume_lodger","Hobbitlejer"
"heroes.name_fancy.s4_professor_lidenbrock","Skarpsindig videnskabsmand"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Skarpsindig guldsmed"
"heroes.name_fancy.s4_rokkamush","Ettinknuser"
"heroes.name_fancy.s4_rokkamush_costume_mason","Ettinmurer"
"heroes.name_fancy.s4_russula","Rebel fra Eloi-folket"
"heroes.name_fancy.s4_russula_costume_painter","Eloi-maler"
"heroes.name_fancy.s4_tettukh","Morlockbæst"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Morlock-cheerleader"
"heroes.name_fancy.s4_vollermork","Hamstrer fra Morlock-folket"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlock-bartender"
"heroes.name_fancy.s4_xenda","Underverdenens arving"
"heroes.name_fancy.s4_xenda_costume_flame","Flammens arving"
"heroes.name_fancy.s4_xnolphod","Oktotroldmand"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Oktofangevogter"
"heroes.name_fancy.s4_zekena","Tusindbensprins"
"heroes.name_fancy.s4_zekena_costume_vines","Singrønning-fyrste"
"heroes.name_fancy.s4_zenobia","Myriapodedronning"
"heroes.name_fancy.s4_zenobia_costume_floral","Blomsterdronning"
"heroes.name_fancy.s4_zila_lei","Blækspruttekriger"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Oktodanser"
"heroes.name_fancy.s5_ahhotep","Mumiekriger"
"heroes.name_fancy.s5_ahhotep_costume_champion","Mumiemester"
"heroes.name_fancy.s5_ahmose","Mumiefarao"
"heroes.name_fancy.s5_ahmose_costume_reborn","Genfødt farao"
"heroes.name_fancy.s5_anubis","Efterlivets gud"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Dansegulvets mægler"
"heroes.name_fancy.s5_aqeela","Kvik knægt"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Gadesmart heksemester"
"heroes.name_fancy.s5_azmia","Benhård kroejer"
"heroes.name_fancy.s5_azmia_costume_dancing","Dansende kroejer"
"heroes.name_fancy.s5_bastet","Månens øje"
"heroes.name_fancy.s5_bastet_costume_forest","Skovens øje"
"heroes.name_fancy.s5_bennu","Skabelsesånden"
"heroes.name_fancy.s5_bennu_costume_heron","Skabelseshejre"
"heroes.name_fancy.s5_cleopatra","Guddommelig farao"
"heroes.name_fancy.s5_cleopatra_costume_feline","Kattenes farao"
"heroes.name_fancy.s5_el_naddaha","Flodens sirene"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Havets sirene"
"heroes.name_fancy.s5_eset","Kvinden med titusinde navne"
"heroes.name_fancy.s5_eset_costume_goldensun","Kvinden af den gyldne sol"
"heroes.name_fancy.s5_faiez","Heldig bonde"
"heroes.name_fancy.s5_faiez_costume_miner","Tilfældig minearbejder"
"heroes.name_fancy.s5_hathor","Moderskabets gudinde"
"heroes.name_fancy.s5_hathor_costume_starlit","Stjerneoplyst moder"
"heroes.name_fancy.s5_hetepheres","Snu sfinks"
"heroes.name_fancy.s5_hetepheres_costume_spa","Sfinks i spa"
"heroes.name_fancy.s5_horus","Jagtguden"
"heroes.name_fancy.s5_horus_costume_golden","Gylden jæger"
"heroes.name_fancy.s5_jarif","Stresset skriver"
"heroes.name_fancy.s5_jarif_costume_curator","Stresset kurator"
"heroes.name_fancy.s5_junaid","Loyal soldat"
"heroes.name_fancy.s5_junaid_costume_champion","Indsværget mester"
"heroes.name_fancy.s5_khafre","Skarpsindig androsfinks"
"heroes.name_fancy.s5_khafre_costume_aquatic","Hav-androsfinks"
"heroes.name_fancy.s5_khepri","Skarabægud"
"heroes.name_fancy.s5_khepri_costume_overlord","Skarabæhersker"
"heroes.name_fancy.s5_khonshu","Måneguden"
"heroes.name_fancy.s5_khonshu_costume_knight","Måneridder"
"heroes.name_fancy.s5_maat","Harmoniens frue"
"heroes.name_fancy.s5_maat_costume_river","Fruen fra Iteru"
"heroes.name_fancy.s5_meresankh","Solens sfinks"
"heroes.name_fancy.s5_meresankh_costume_disco","Diskotekets sfinks"
"heroes.name_fancy.s5_papyros","Papirets og sandets golem"
"heroes.name_fancy.s5_papyros_costume_colossus","Papirets og sandets kolos"
"heroes.name_fancy.s5_ptolemy","Ældre farao"
"heroes.name_fancy.s5_ptolemy_costume_log","Ældre stamme"
"heroes.name_fancy.s5_rekhetre","Ung sfinks"
"heroes.name_fancy.s5_rekhetre_costume_artist","Ung kunstner"
"heroes.name_fancy.s5_scoratek","Skarabævogter"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Skarabævagt"
"heroes.name_fancy.s5_sekhmet","Solens øje"
"heroes.name_fancy.s5_sekhmet_costume_warden","Solens vagt"
"heroes.name_fancy.s5_set","Dyster tronrager"
"heroes.name_fancy.s5_set_costume_tyrant","Mørk tyran"
"heroes.name_fancy.s5_sneferu","Månesfinksen"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Månens besejrer"
"heroes.name_fancy.s5_sobek","Flodens gud"
"heroes.name_fancy.s5_sobek_costume_guardian","Flodens vogter"
"heroes.name_fancy.s5_tetisheri","Mumiedronning"
"heroes.name_fancy.s5_tetisheri_costume_molten","Lavadronningen"
"heroes.name_fancy.s5_waqas","Faraos skjold"
"heroes.name_fancy.s5_waqas_costume_blade","Faraoens sværd"
"heroes.name_fancy.sand_horse","Betroet ganger fra sandriget"
"heroes.name_fancy.sand_king","Konge af sandriget"
"heroes.name_fancy.sand_king_costume_lifeguard","Livreddernes konge"
"heroes.name_fancy.sand_queen","Dronning af sandriget"
"heroes.name_fancy.sand_queen_costume_surfer","Surferdronning"
"heroes.name_fancy.sand_roc","Sandrigets beskytter"
"heroes.name_fancy.sand_roc_costume_juice","Strandens beskytter"
"heroes.name_fancy.sand_soldier","Soldat fra sandriget"
"heroes.name_fancy.sand_tower","Bølle fra sandriget"
"heroes.name_fancy.sand_vizier","Vesir af sandriget"
"heroes.name_fancy.scoundrel_duval","Den svigefulde pletskytte"
"heroes.name_fancy.scoundrel_lane","Vejbanditten"
"heroes.name_fancy.shadow_abigail","Undersøgende journalist"
"heroes.name_fancy.shadow_asketel","Søger af tabt viden"
"heroes.name_fancy.shadow_atwood","Fanget af det ukendte"
"heroes.name_fancy.shadow_burton","Detektiv af det overnaturlige"
"heroes.name_fancy.shadow_cthuwu","De ældstes yngel"
"heroes.name_fancy.shadow_dolores","Dumdristig privatdetektiv"
"heroes.name_fancy.shadow_gwendoline","Fanatisk arkæolog"
"heroes.name_fancy.shadow_hunter","De ældstes efterkommer"
"heroes.name_fancy.shadow_hysteria","Samler af magiske artefakter"
"heroes.name_fancy.shadow_melancholia","De gamles ministrant"
"heroes.name_fancy.shadow_omen","Djævlerevets helligdom"
"heroes.name_fancy.shadow_penelope","Glubs forhenværende bibliotekar"
"heroes.name_fancy.shadow_rashan","Bruger af Hulu-metal"
"heroes.name_fancy.shadow_rosanna","Mesterskytte"
"heroes.name_fancy.shadow_salvatore","Forskruet medie"
"heroes.name_fancy.shadow_shoggo","Hamskiftende vejviser"
"heroes.name_fancy.shadow_wulfstan","Sælsom ammunitionsfremstiller"
"heroes.name_fancy.shadow_zavinia","Hybrid fra dybet"
"heroes.name_fancy.slayer_aodhan","Den opblussede"
"heroes.name_fancy.slayer_caitlin","Den oplyste"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Justitskorsfareren"
"heroes.name_fancy.slayer_cathal","Den modige"
"heroes.name_fancy.slayer_cillian","Den udødelige"
"heroes.name_fancy.slayer_maeve","Den skjulte"
"heroes.name_fancy.slayer_noril","Den barske"
"heroes.name_fancy.slayer_orla","Den værdige"
"heroes.name_fancy.slayer_rian","Den standhaftige"
"heroes.name_fancy.slayer_saoirse","Den utæmmelige"
"heroes.name_fancy.slayer_saoirse_costume_knight","Sejrsherren"
"heroes.name_fancy.slayer_senan","Den forbandede"
"heroes.name_fancy.slayer_senan_costume_tentacles","Den tjenende sprutte"
"heroes.name_fancy.slime_achillea","Frygtløs gladiatorslim"
"heroes.name_fancy.slime_boboosang","Ældre handelsslim"
"heroes.name_fancy.slime_bulklug","Blobbyggerslim"
"heroes.name_fancy.slime_charmione","Yndig teaterklat"
"heroes.name_fancy.slime_chingiriko","Skyggejægerslim"
"heroes.name_fancy.slime_choozen","Sky kisteslim"
"heroes.name_fancy.slime_fruitio","Frugtelskende slim"
"heroes.name_fancy.slime_fungustine","Genopliver skovslim"
"heroes.name_fancy.slime_gloozmer","Snydeslim"
"heroes.name_fancy.slime_goldrip","Gylden slimkonge"
"heroes.name_fancy.slime_gooldron","Nørdet kedelslim"
"heroes.name_fancy.slime_goorian","Barbarisk slim"
"heroes.name_fancy.slime_gooric","Vist helligdomssnask"
"heroes.name_fancy.slime_gooze","Snask undsluppet fra alkymilaboratorie"
"heroes.name_fancy.slime_gunktus","Ubarmhjertig kampklat"
"heroes.name_fancy.slime_harubo","Patruljeslim"
"heroes.name_fancy.slime_justico","Beskytterslim"
"heroes.name_fancy.slime_knightus","Ridderligt tempelslim"
"heroes.name_fancy.slime_labblub","Nysgerrigt videnskabsslim"
"heroes.name_fancy.slime_magistine","Trylleslim"
"heroes.name_fancy.slime_mucktus","Onskabsfuld skovklat"
"heroes.name_fancy.slime_slaymire","Stædig slimhenretter"
"heroes.name_fancy.slime_slimgo","Lusket slimrebel"
"heroes.name_fancy.slime_sliposi","Glat slimbud"
"heroes.name_fancy.slime_sludgus","Syngende kroslim"
"heroes.name_fancy.slime_verdigoo","Slimet smaragddommer"
"heroes.name_fancy.slime_zestique","Sødt, rødmende slim"
"heroes.name_fancy.styx_amphitrite","Havets gudinde"
"heroes.name_fancy.styx_arges","Eliksirhandlende kyklop"
"heroes.name_fancy.styx_brontes","Bondekyklop"
"heroes.name_fancy.styx_charon","Styx' færgemand"
"heroes.name_fancy.styx_dante","Underverdenens eventyrer"
"heroes.name_fancy.styx_erebus","Det dybe mørkes gud"
"heroes.name_fancy.styx_hypnos","Søvnens mester"
"heroes.name_fancy.styx_nemesis","Gengældelsens gudinde"
"heroes.name_fancy.styx_nyx","Nattens moder"
"heroes.name_fancy.styx_steropes","Kunstnerkyklop"
"heroes.name_fancy.styx_thanatos","Gud af den fredelige undergang"
"heroes.name_fancy.styx_virgil","Underverdenens guide"
"heroes.name_fancy.tales1_aqualith","Element-hoplit"
"heroes.name_fancy.tales1_aqualith_costume_purple","Elementgigant"
"heroes.name_fancy.tales1_atlanteia","Dybhavsgletsjerens nereid"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Dybets gletsjersirene"
"heroes.name_fancy.tales1_bagreg","Oprørets fiskeleder"
"heroes.name_fancy.tales1_bagreg_costume_scout","Fiskedreng-spejder"
"heroes.name_fancy.tales1_ceto","Havmonstrenes urgudinde"
"heroes.name_fancy.tales1_ceto_costume_queen","Havmonstrenes urdronning"
"heroes.name_fancy.tales1_domiventus","Det evige hadalvæsen"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Det ypperste Hadal-væsen"
"heroes.name_fancy.tales1_ephyra","Nereid-prinsesse"
"heroes.name_fancy.tales1_ephyra_costume_reef","Revets prinsesse"
"heroes.name_fancy.tales1_galapago","Havets vismand"
"heroes.name_fancy.tales1_galapago_costume_quarry","Vis ellekrage fra stenbruddet"
"heroes.name_fancy.tales1_gelert","Skattejæger fra dybet"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Tingfinder fra dybet"
"heroes.name_fancy.tales1_gestalt","Prinsen af det evige dyb"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Prinsen af den evige perle"
"heroes.name_fancy.tales1_jaco","Skummel købmand fra dybet"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Skummel alkymist fra dybet"
"heroes.name_fancy.tales1_lasalle","Flamboyant husar fra Atlantis"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Flamboyant jockey fra Atlantis"
"heroes.name_fancy.tales1_medea","Dybets nagadronning"
"heroes.name_fancy.tales1_medea_costume_goddess","Naga, dybets gudinde"
"heroes.name_fancy.tales1_mulgog","Fiskemarodør"
"heroes.name_fancy.tales1_mulgog_costume_bard","Fiskemand-skjald"
"heroes.name_fancy.tales1_persa","Plyndringens vandånd"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Adelig vandmand"
"heroes.name_fancy.tales1_phorcys","Dybets urgud"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Dybets krigergud"
"heroes.name_fancy.tales1_sharkhai","Den store forræder"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Takket slagter"
"heroes.name_fancy.tales1_spartoi","Nagabersærker"
"heroes.name_fancy.tales1_spartoi_costume_guard","Naga-vagt"
"heroes.name_fancy.tales1_thalassa","Havets urgudinde"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Krystallernes urgudinde"
"heroes.name_fancy.tales1_ultrox","Tempelvogter fra dybet"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Dybets sifonheks"
"heroes.name_fancy.tales2_aethslegaur","Ildsøgende dværg"
"heroes.name_fancy.tales2_andvari","Sandsigende dværg"
"heroes.name_fancy.tales2_bragi","Professionel dværgekæmper"
"heroes.name_fancy.tales2_bryggvir","Dværgegederytter"
"heroes.name_fancy.tales2_dagr","Dværgebjergets shaman"
"heroes.name_fancy.tales2_dain","Dværgesejrherre"
"heroes.name_fancy.tales2_dularfulr","Sortseende dværg"
"heroes.name_fancy.tales2_fafnir","Dværgenes herre af Myrkheim"
"heroes.name_fancy.tales2_fimafeng","Dværgenes overlever"
"heroes.name_fancy.tales2_fjalar","Gylden dværgeskjald"
"heroes.name_fancy.tales2_fjalar_costume_undead","Spøgelsesdværgskjald"
"heroes.name_fancy.tales2_gandr","Vindkrigerdværg"
"heroes.name_fancy.tales2_gandr_costume_guardian","Kongelig dværgsoldat"
"heroes.name_fancy.tales2_helgi","Rasende løberdværg"
"heroes.name_fancy.tales2_helgi_costume_combatant","Dværggenopfrisker"
"heroes.name_fancy.tales2_hogne","Dværge-storridder"
"heroes.name_fancy.tales2_hreidmarr","Dværgebjergets konge"
"heroes.name_fancy.tales2_motsognir","Dværgenes vildmand ved grænsen"
"heroes.name_fancy.tales2_ott","Munter drilledværg"
"heroes.name_fancy.tales2_ott_costume_herbalist","Musisk drilledværg"
"heroes.name_fancy.tales2_regin","Sagnomspunden dværgeprins"
"heroes.name_fancy.tales2_regin_costume_omen","Falden dværgprins"
"heroes.name_fancy.tales2_snorri","Dværgenes historiefortæller"
"heroes.name_fancy.tales2_svafa","Dværgenes storvildtsjæger"
"heroes.name_fancy.tales2_thrivaldi","Frostsøgende dværg"
"heroes.name_fancy.titan_hunter_adelitza","Regnskovens fortrop"
"heroes.name_fancy.titan_hunter_borgholf","Lundens pelsjæger"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","Tundraens vogter"
"heroes.name_fancy.trainer","Sværd til leje"
"heroes.name_fancy.tribal_chief","Høvding for stammerne"
"heroes.name_fancy.tribal_chief_costume_conqueror","Stammehævneren"
"heroes.name_fancy.tribal_chief_costume_cute","Tegneseriehøvding"
"heroes.name_fancy.tribal_chief_costume_glass","Vitrailernes høvding"
"heroes.name_fancy.tribal_chief_costume_leopard","Leopardernes leder"
"heroes.name_fancy.undead_captain_warrior","Dødsdømt lord"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Tegneseriefigur på dødstogt"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Vitrail på dødstogt"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Udødelig prins"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Dødshigende svirebroder"
"heroes.name_fancy.undead_female_warrior","Dødsdømt lady"
"heroes.name_fancy.undead_female_warrior_costume_cute","Udødelig tegneseriefigur"
"heroes.name_fancy.undead_female_warrior_costume_glass","Vitrail på dødstogt"
"heroes.name_fancy.undead_female_warrior_costume_princess","Udødelig prinsesse"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Dødsdømt prinsesse"
"heroes.name_fancy.undead_horned_skeleton","Ubønhørlig efterkommer"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Ubønhørlig tegneseriefigur"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Gøglerskelet"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Ustoppelig vitrail"
