"heroes.name_fancy.astral_cosmicspeaker","Astrônomo dos Elfos Astrais"
"heroes.name_fancy.royal_female_knight_costume_glass","Campeã de Vidro"
"heroes.name_fancy.royal_female_knight_costume_prospector","Garimpeiro Obstinado"
"heroes.name_fancy.royal_female_knight_costume_winter","Campeão viking"
"heroes.name_fancy.royal_knight","Cavaleiro protetor"
"heroes.name_fancy.royal_knight_commander","Portador invernal"
"heroes.name_fancy.royal_knight_commander_costume_cute","Fofura Invernal"
"heroes.name_fancy.royal_knight_commander_costume_glass","Vitral Invernal"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Comandante Invernal"
"heroes.name_fancy.royal_knight_commander_costume_king","Rei Invernal"
"heroes.name_fancy.royal_knight_costume_blacksmith","Bravo ferreiro"
"heroes.name_fancy.royal_knight_costume_cute","Cavaleiro Fofo"
"heroes.name_fancy.royal_knight_costume_glass","Cavaleiro de Vidro"
"heroes.name_fancy.royal_pikeman","Soldado sério"
"heroes.name_fancy.s2_ariel","Princesa de Atlântida"
"heroes.name_fancy.s2_ariel_costume_cute","Princesa de Atlântida fofa"
"heroes.name_fancy.s2_ariel_costume_enchanter","Maga de Atlântida"
"heroes.name_fancy.s2_atlantean_robot","Vigia de Atlântida"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Vigia de Atlântida fofo"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Sentinela de Atlântida"
"heroes.name_fancy.s2_chameleon_bruiser","Guerreiro camaleão"
"heroes.name_fancy.s2_chameleon_chief","General camaleão"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Campeão Peso-Pesado"
"heroes.name_fancy.s2_chameleon_mage","Xamã camaleão"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Alquimista Camaleão"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Xamã camaleão fofo"
"heroes.name_fancy.s2_croc_man","Bandido do pântano"
"heroes.name_fancy.s2_cursed_samurai","Senhor da guerra amaldiçoado"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Samurai Besouro"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Senhor das fofuras amaldiçoado"
"heroes.name_fancy.s2_demon_master","Daimyo desonesto"
"heroes.name_fancy.s2_demon_master_costume_cute","Fofura desonesta"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul da Astúcia"
"heroes.name_fancy.s2_fiji_mermaid","Caçador de águas rasas"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Caçadora fofa"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Caçadora de Águas Rasas"
"heroes.name_fancy.s2_fox_girl","Espírito de nove caudas"
"heroes.name_fancy.s2_fox_girl_costume_cute","Fofura de nove caudas"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Kitsune Branca"
"heroes.name_fancy.s2_ghost_woman","Fantasma solitário"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Yurei Solitária"
"heroes.name_fancy.s2_hammerhead_hulk","Açougueiro selvagem"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Espadachim Selvagem"
"heroes.name_fancy.s2_junglehunter","Príncipe da selva"
"heroes.name_fancy.s2_junglehunter_costume_cute","Fofura da selva"
"heroes.name_fancy.s2_junglehunter_costume_party","Príncipe do Lūʻau"
"heroes.name_fancy.s2_lantern_ghost","Lanterna Yokai"
"heroes.name_fancy.s2_mercenary_woman","Mercenário magnífico"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Dançarina de hula"
"heroes.name_fancy.s2_merman","Tritão de Atlântida"
"heroes.name_fancy.s2_merman_costume_cute","Tritão fofo"
"heroes.name_fancy.s2_merman_costume_leutenant","Tenente de Atlântida"
"heroes.name_fancy.s2_merwoman","Sereia de Atlântida"
"heroes.name_fancy.s2_merwoman_costume_cute","Sereia fofa"
"heroes.name_fancy.s2_merwoman_costume_emissary","Emissária de Atlântida"
"heroes.name_fancy.s2_noble_lady","Beleza fatal"
"heroes.name_fancy.s2_noble_lady_costume_cute","Beldade fofa"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Beleza refulgente"
"heroes.name_fancy.s2_oceanus","Titã do mar"
"heroes.name_fancy.s2_oceanus_costume_volcano","Titã de magma"
"heroes.name_fancy.s2_poseidon","Governante da Atlântida"
"heroes.name_fancy.s2_poseidon_costume_cute","Governante de Atlântida fofo"
"heroes.name_fancy.s2_poseidon_costume_slayer","Matador de Atlântida"
"heroes.name_fancy.s2_proteus","Mago de Atlântida"
"heroes.name_fancy.s2_proteus_costume_cute","Mago de Atlântida fofo"
"heroes.name_fancy.s2_proteus_costume_farseer","Vidente de Atlântida"
"heroes.name_fancy.s2_rugged_fisherman","Pescador valente"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Pescador valente fofo"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Cervejeiro ousado"
"heroes.name_fancy.s2_skyllaros","Guardião de Atlântida"
"heroes.name_fancy.s2_skyllaros_costume_cute","Guardião de Atlântida fofo"
"heroes.name_fancy.s2_skyllaros_costume_reef","Guardião do Recife"
"heroes.name_fancy.s2_straw_demon","Demônio de Palha"
"heroes.name_fancy.s2_tanuki_raccoon","Enganador destemido"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Comerciante Destemido"
"heroes.name_fancy.s2_tethys","Deusa dos Rios"
"heroes.name_fancy.s2_tethys_costume_steel","Vingadora dos Rios"
"heroes.name_fancy.s2_triton","Capitão de Atlântida"
"heroes.name_fancy.s2_triton_costume_champion","Campeão de Atlântida"
"heroes.name_fancy.s2_ursena","Imperatriz das profundezas"
"heroes.name_fancy.s2_ursena_costume_cute","Fofura das profundezas"
"heroes.name_fancy.s2_ursena_costume_reef","Rainha do Recife Mortal"
"heroes.name_fancy.s3_agnes","Aldeão Corajoso"
"heroes.name_fancy.s3_alfrike","Rainha de Svartalfheim"
"heroes.name_fancy.s3_alfrike_costume_hatter","Chapeleiro de Svartalfheim"
"heroes.name_fancy.s3_almur","Umbralâmina de Svartalfheim"
"heroes.name_fancy.s3_almur_costume_lord","Senhor de Svartalfheim"
"heroes.name_fancy.s3_anwindr","Brutamontes Viking Amaldiçoado"
"heroes.name_fancy.s3_baldur","Deus Luminoso"
"heroes.name_fancy.s3_baldur_costume_fiery","Deus Flamejante"
"heroes.name_fancy.s3_bera","Princesa das Dísir"
"heroes.name_fancy.s3_bera_costume_conjurer","Conjurador das Dísir"
"heroes.name_fancy.s3_bjorn","Aldeão Bravo"
"heroes.name_fancy.s3_bjorn_costume_viking","Soldado Valente"
"heroes.name_fancy.s3_brynhild","Escudeira das Valquírias"
"heroes.name_fancy.s3_by_ulf","Lutador Viking Amaldiçoado"
"heroes.name_fancy.s3_ei_dunn","Combatente Viking Amaldiçoado"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Combatente Viking Feroz"
"heroes.name_fancy.s3_fenrir","Líder de Niflheim"
"heroes.name_fancy.s3_fenrir_costume_guardian","Guardião de Niflheim"
"heroes.name_fancy.s3_freya","Senhora dos Mortos"
"heroes.name_fancy.s3_freya_costume_witch","Bruxa dos Mortos"
"heroes.name_fancy.s3_frigg","Deusa da Presciência"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Deusa da Clarividência"
"heroes.name_fancy.s3_fura","Envenenador de Svartalfheim"
"heroes.name_fancy.s3_fura_costume_herbalist","Herborista de Svartalfheim"
"heroes.name_fancy.s3_gefjon","Deusa da Colheita"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Deusa da Floresta"
"heroes.name_fancy.s3_grevle","Texugo Destro"
"heroes.name_fancy.s3_gullinbursti","Javali Dourado"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Javali Desacorrentado"
"heroes.name_fancy.s3_heimdall","Olheiro Vigilante"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Vigia Temido"
"heroes.name_fancy.s3_jarvur","Wolverine Pugilista"
"heroes.name_fancy.s3_jott","Gigante de Gelo Bárbaro"
"heroes.name_fancy.s3_kvasir","Apicultor de Alfheim"
"heroes.name_fancy.s3_kvasir_costume_captain","Capitão de Alfheim"
"heroes.name_fancy.s3_loki_female","Deusa Trapaceira"
"heroes.name_fancy.s3_loki_female_costume_mother","Mãe Trapaceira"
"heroes.name_fancy.s3_loki_fish","Peixe Trapaceiro"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Peixe Elegante"
"heroes.name_fancy.s3_loki_male","Deus Trapaceiro"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Deus Metamorfo"
"heroes.name_fancy.s3_mireweave","Draugr Rápido"
"heroes.name_fancy.s3_mist","Comandante das Valquírias"
"heroes.name_fancy.s3_nordri","Anão do Gelo de Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Anão Explorador de Jotunheim"
"heroes.name_fancy.s3_norns","Tecelões do Destino"
"heroes.name_fancy.s3_norns_costume_puppeteers","Marionetista do Destino"
"heroes.name_fancy.s3_odin","Pai de Todos Sábio"
"heroes.name_fancy.s3_odin_costume_champion","Pai de Todos Valoroso"
"heroes.name_fancy.s3_ratatoskr","Mensageiro de Yggdrasil"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Arquiteto de Yggdrasil"
"heroes.name_fancy.s3_shadereave","Draugr Bruto"
"heroes.name_fancy.s3_sif","Deidade de Cabelos Claros"
"heroes.name_fancy.s3_sif_costume_golden","Divindade Dourada"
"heroes.name_fancy.s3_skadi","Deusa de Jotunheim"
"heroes.name_fancy.s3_skadi_costume_ravager","Guardiã de Jotunheim"
"heroes.name_fancy.s3_stonecleave","Draugr Implacável"
"heroes.name_fancy.s3_sudri","Anão de Fogo de Muspelheim"
"heroes.name_fancy.s3_sumle","Gigante do Fogo Corpulento"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Gigante do Fogo Amaldiçoado"
"heroes.name_fancy.s3_thor","Deus do Trovão"
"heroes.name_fancy.s3_thor_costume_conduit","Conduto do Trovão"
"heroes.name_fancy.s3_tyr","Justiça Incansável"
"heroes.name_fancy.s3_tyr_costume_savage","Justiça Selvagem"
"heroes.name_fancy.s4_akkorog","Chefe Morlock"
"heroes.name_fancy.s4_akkorog_costume_football","RB Morlock"
"heroes.name_fancy.s4_aouda","Princesa Gentil"
"heroes.name_fancy.s4_aouda_costume_lotus","Princesa de Lótus"
"heroes.name_fancy.s4_captain_nemo","Explorador Enigmático"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Maquinista Enigmático"
"heroes.name_fancy.s4_congalach","Guerreiro das Profundezas"
"heroes.name_fancy.s4_congalach_costume_kelp","Guerreiro das Algas"
"heroes.name_fancy.s4_doctor_moreau","Cientista Pérfido"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Escrivão Desonesto"
"heroes.name_fancy.s4_elizabeth","Aristocrata Aracnídea"
"heroes.name_fancy.s4_elizabeth_costume_bride","Aristocrata Nupcial"
"heroes.name_fancy.s4_exeera","Sacerdote octópode"
"heroes.name_fancy.s4_exeera_costume_hierophant","Hierofante Octópode"
"heroes.name_fancy.s4_garjammal","Mestre Morlock"
"heroes.name_fancy.s4_garjammal_costume_kite","Mestra das Pipas"
"heroes.name_fancy.s4_gramps","Ancião Halfling"
"heroes.name_fancy.s4_gramps_costume_gardener","Jardineiro Halfling"
"heroes.name_fancy.s4_griffin","Homem Invisível"
"heroes.name_fancy.s4_griffin_costume_priest","Padre Invisível"
"heroes.name_fancy.s4_hannah","Arqueóloga Aventureira"
"heroes.name_fancy.s4_hannah_costume_drover","Boiadeira Aventureira"
"heroes.name_fancy.s4_helo","Pescador Eloi"
"heroes.name_fancy.s4_helo_costume_baker","Padeiro Eloi"
"heroes.name_fancy.s4_hulda","Líder dos Espiões"
"heroes.name_fancy.s4_hulda_costume_nurse","Enfermeira Chefe"
"heroes.name_fancy.s4_kravekrush","Comandante Ettin"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Ettin Mestre da Grelha"
"heroes.name_fancy.s4_lepiota","Líder dos Eloi"
"heroes.name_fancy.s4_lepiota_costume_undying","Líder dos Imortais"
"heroes.name_fancy.s4_lughaidh","Rei da Profundezas"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Rei Imortal"
"heroes.name_fancy.s4_mack","Aventureiro Halfling"
"heroes.name_fancy.s4_mack_costume_novelist","Halfling Escritor"
"heroes.name_fancy.s4_morel","Caçador de Eloi"
"heroes.name_fancy.s4_morel_costume_sage","Sábio de Eloi"
"heroes.name_fancy.s4_morris","Homem-Toupeira Poderoso"
"heroes.name_fancy.s4_morris_costume_potter","Homem-Toupeira Ceramista"
"heroes.name_fancy.s4_octros","Campeão Octópode"
"heroes.name_fancy.s4_octros_costume_suitor","Pretendente Molusco"
"heroes.name_fancy.s4_passepartout","Viajante Sagaz"
"heroes.name_fancy.s4_passepartout_costume_artist","Artista Elegante"
"heroes.name_fancy.s4_phileas_fogg","Viajante Corajoso"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Excelente Engenheiro"
"heroes.name_fancy.s4_poppy","Besteira Halfling"
"heroes.name_fancy.s4_poppy_costume_lodger","Halfling Visitante"
"heroes.name_fancy.s4_professor_lidenbrock","Cientista Sagaz"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Joalheiro Sagaz"
"heroes.name_fancy.s4_rokkamush","Esmagador Ettin"
"heroes.name_fancy.s4_rokkamush_costume_mason","Pedreiro de Ettin"
"heroes.name_fancy.s4_russula","Ladino Eloi"
"heroes.name_fancy.s4_russula_costume_painter","Pintor Eloi"
"heroes.name_fancy.s4_tettukh","Brutamontes Morlock"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Morlock Líder de Torcida"
"heroes.name_fancy.s4_vollermork","Morlock Acumulador"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlock Bartender"
"heroes.name_fancy.s4_xenda","Herdeira do Submundo"
"heroes.name_fancy.s4_xenda_costume_flame","Herdeira da Chama"
"heroes.name_fancy.s4_xnolphod","Feiticeiro Octópode"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Carcereiro Octópode"
"heroes.name_fancy.s4_zekena","Príncipe miriápode"
"heroes.name_fancy.s4_zekena_costume_vines","Príncipe Apocinacídeo"
"heroes.name_fancy.s4_zenobia","Rainha Miriápode"
"heroes.name_fancy.s4_zenobia_costume_floral","Rainha Apicinácida"
"heroes.name_fancy.s4_zila_lei","Assassina Octrópode"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Dançarina Octópode"
"heroes.name_fancy.s5_ahhotep","Guerreiro Mumificado"
"heroes.name_fancy.s5_ahhotep_costume_champion","Múmia Campeã"
"heroes.name_fancy.s5_ahmose","Faraó Mumificado"
"heroes.name_fancy.s5_ahmose_costume_reborn","Faraó Renascido"
"heroes.name_fancy.s5_anubis","Deus do Além"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Juiz da Pista de Dança"
"heroes.name_fancy.s5_aqeela","Menina de Rua Sagaz"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Feiticeira Esperta"
"heroes.name_fancy.s5_azmia","Taberneira Durona"
"heroes.name_fancy.s5_azmia_costume_dancing","Taberneira Dançante"
"heroes.name_fancy.s5_bastet","Olho da Lua"
"heroes.name_fancy.s5_bastet_costume_forest","Olho da Floresta"
"heroes.name_fancy.s5_bennu","Espírito da Criação"
"heroes.name_fancy.s5_bennu_costume_heron","Garça da Criação"
"heroes.name_fancy.s5_cleopatra","Faraó Divina"
"heroes.name_fancy.s5_cleopatra_costume_feline","Faraó Felina"
"heroes.name_fancy.s5_el_naddaha","Sereia do Rio"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Sereia do Mar"
"heroes.name_fancy.s5_eset","Senhora dos Dez Mil Nomes"
"heroes.name_fancy.s5_eset_costume_goldensun","Senhora do Sol Dourado"
"heroes.name_fancy.s5_faiez","Fazendeiro Afortunado"
"heroes.name_fancy.s5_faiez_costume_miner","Mineiro Fortuito"
"heroes.name_fancy.s5_hathor","Deusa da Maternidade"
"heroes.name_fancy.s5_hathor_costume_starlit","Mãe Estrelada"
"heroes.name_fancy.s5_hetepheres","Esfinge Astuta"
"heroes.name_fancy.s5_hetepheres_costume_spa","Esfinge do Spa"
"heroes.name_fancy.s5_horus","Deus da Caça"
"heroes.name_fancy.s5_horus_costume_golden","Caçador Dourado"
"heroes.name_fancy.s5_jarif","Escrivão Estressado"
"heroes.name_fancy.s5_jarif_costume_curator","Curador Estressado"
"heroes.name_fancy.s5_junaid","Soldado Jurado"
"heroes.name_fancy.s5_junaid_costume_champion","Campeão Jurado"
"heroes.name_fancy.s5_khafre","Androesfinge Astuta"
"heroes.name_fancy.s5_khafre_costume_aquatic","Androesfinge Aquática"
"heroes.name_fancy.s5_khepri","Deus Escaravelho"
"heroes.name_fancy.s5_khepri_costume_overlord","Senhor Escaravelho"
"heroes.name_fancy.s5_khonshu","Deus da Lua"
"heroes.name_fancy.s5_khonshu_costume_knight","Cavaleiro da Lua"
"heroes.name_fancy.s5_maat","Senhora da Harmonia"
"heroes.name_fancy.s5_maat_costume_river","Senhora do Iteru"
"heroes.name_fancy.s5_meresankh","Esfinge do Sol"
"heroes.name_fancy.s5_meresankh_costume_disco","Esfinge da Discoteca"
"heroes.name_fancy.s5_papyros","Golem de Papel e Areia"
"heroes.name_fancy.s5_papyros_costume_colossus","Colosso de Papel e Areia"
"heroes.name_fancy.s5_ptolemy","Antigo Faraó"
"heroes.name_fancy.s5_ptolemy_costume_log","Tronco Antigo"
"heroes.name_fancy.s5_rekhetre","Jovem Esfinge"
"heroes.name_fancy.s5_rekhetre_costume_artist","Jovem Artista"
"heroes.name_fancy.s5_scoratek","Guarda Escaravelho"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Sentinela Escaravelho"
"heroes.name_fancy.s5_sekhmet","Olho do Sol"
"heroes.name_fancy.s5_sekhmet_costume_warden","Guardiã do Sol"
"heroes.name_fancy.s5_set","Usurpador Sombrio"
"heroes.name_fancy.s5_set_costume_tyrant","Tirano das Trevas"
"heroes.name_fancy.s5_sneferu","Esfinge da Lua"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Destruidor da Lua"
"heroes.name_fancy.s5_sobek","Deus do Rio"
"heroes.name_fancy.s5_sobek_costume_guardian","Guardião do Rio"
"heroes.name_fancy.s5_tetisheri","Rainha Mumificada"
"heroes.name_fancy.s5_tetisheri_costume_molten","Rainha Derretida"
"heroes.name_fancy.s5_waqas","Escudo do Faraó"
"heroes.name_fancy.s5_waqas_costume_blade","Lâmina do Faraó"
"heroes.name_fancy.sand_horse","Alazão Confiável do Império de Areia"
"heroes.name_fancy.sand_king","Rei do Império de Areia"
"heroes.name_fancy.sand_king_costume_lifeguard","Rei dos Salva-Vidas"
"heroes.name_fancy.sand_queen","Rainha do Império de Areia"
"heroes.name_fancy.sand_queen_costume_surfer","Rainha Surfista"
"heroes.name_fancy.sand_roc","Protetor do Império de Areia"
"heroes.name_fancy.sand_roc_costume_juice","Protetor da Praia"
"heroes.name_fancy.sand_soldier","Soldado do Império de Areia"
"heroes.name_fancy.sand_tower","Brutamontes do Império de Areia"
"heroes.name_fancy.sand_vizier","Vizir do Império de Areia"
"heroes.name_fancy.scoundrel_duval","Atirador traiçoeiro"
"heroes.name_fancy.scoundrel_lane","Bandido de estrada"
"heroes.name_fancy.shadow_abigail","Jornalista investigativa"
"heroes.name_fancy.shadow_asketel","Perseguidor do Conhecimento Perdido"
"heroes.name_fancy.shadow_atwood","Cativado pelo Desconhecido"
"heroes.name_fancy.shadow_burton","Investigador Homúnculo"
"heroes.name_fancy.shadow_cthuwu","Cria dos Antigos"
"heroes.name_fancy.shadow_dolores","Detetive Particular Imprudente"
"heroes.name_fancy.shadow_gwendoline","Arqueóloga Fanática"
"heroes.name_fancy.shadow_hunter","Descendente dos Antigos"
"heroes.name_fancy.shadow_hysteria","Colecionador de Artefatos Místicos"
"heroes.name_fancy.shadow_melancholia","Acólito dos Antigos"
"heroes.name_fancy.shadow_omen","Abençoado pelo Recife"
"heroes.name_fancy.shadow_penelope","Ex-Bibliotecária Feroz"
"heroes.name_fancy.shadow_rashan","Usuário de Metal Hulu"
"heroes.name_fancy.shadow_rosanna","Tiro Certo"
"heroes.name_fancy.shadow_salvatore","Médium Perturbado"
"heroes.name_fancy.shadow_shoggo","Guia da Metamorfose"
"heroes.name_fancy.shadow_wulfstan","Artesão de Munições Místicas"
"heroes.name_fancy.shadow_zavinia","Híbrida das Profundezas"
"heroes.name_fancy.slayer_aodhan","O Ardente"
"heroes.name_fancy.slayer_caitlin","A Iluminada"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Cruzada Justiceira"
"heroes.name_fancy.slayer_cathal","O Bravo"
"heroes.name_fancy.slayer_cillian","O Imortal"
"heroes.name_fancy.slayer_maeve","A Invisível"
"heroes.name_fancy.slayer_noril","O Feroz"
"heroes.name_fancy.slayer_orla","A Digna"
"heroes.name_fancy.slayer_rian","O Resoluto"
"heroes.name_fancy.slayer_saoirse","A Indomável"
"heroes.name_fancy.slayer_saoirse_costume_knight","Eliminadora"
"heroes.name_fancy.slayer_senan","O Amaldiçoado"
"heroes.name_fancy.slayer_senan_costume_tentacles","Servo Cefaloide"
"heroes.name_fancy.slime_achillea","Gosma Gladiadora Destemida"
"heroes.name_fancy.slime_boboosang","Gosma Ambulante Anciã"
"heroes.name_fancy.slime_bulklug","Gosma Construtora"
"heroes.name_fancy.slime_charmione","Gosma Teatral"
"heroes.name_fancy.slime_chingiriko","Gosma Espreitadora"
"heroes.name_fancy.slime_choozen","Gosma de Baú Tímida"
"heroes.name_fancy.slime_fruitio","Gosma das Frutas"
"heroes.name_fancy.slime_fungustine","Gosma da Floresta Rejuvenescedora"
"heroes.name_fancy.slime_gloozmer","Gosma Traiçoeira Gentil"
"heroes.name_fancy.slime_goldrip","Rei da Gosma Dourada"
"heroes.name_fancy.slime_gooldron","Gosma Nerd"
"heroes.name_fancy.slime_goorian","Sedimentos Bárbaros"
"heroes.name_fancy.slime_gooric","Gosma Sábia"
"heroes.name_fancy.slime_gooze","Gosma Alquímica"
"heroes.name_fancy.slime_gunktus","Bolha de Batalha Implacável"
"heroes.name_fancy.slime_harubo","Gosma Patrulhadora"
"heroes.name_fancy.slime_justico","Gosma Protetora"
"heroes.name_fancy.slime_knightus","Gosma Cavaleiresca"
"heroes.name_fancy.slime_labblub","Gosma Cientista"
"heroes.name_fancy.slime_magistine","Gosma Enfeitiçante"
"heroes.name_fancy.slime_mucktus","Gosma da Floresta"
"heroes.name_fancy.slime_slaymire","Gosma Executora"
"heroes.name_fancy.slime_slimgo","Gosma Sorrateira"
"heroes.name_fancy.slime_sliposi","Gosma Entregadora"
"heroes.name_fancy.slime_sludgus","Gosma Cantora"
"heroes.name_fancy.slime_verdigoo","Árbitro Gosmento"
"heroes.name_fancy.slime_zestique","Gosma Acanhada"
"heroes.name_fancy.styx_amphitrite","Deusa do Mar"
"heroes.name_fancy.styx_arges","Ciclope das Poções"
"heroes.name_fancy.styx_brontes","Ciclope Fazendeiro"
"heroes.name_fancy.styx_charon","Balseiro do Estige"
"heroes.name_fancy.styx_dante","Aventureiro do Submundo"
"heroes.name_fancy.styx_erebus","Deus das Profundezas"
"heroes.name_fancy.styx_hypnos","Mestre do Sono"
"heroes.name_fancy.styx_nemesis","Deusa da Retribuição"
"heroes.name_fancy.styx_nyx","Noite Mãe"
"heroes.name_fancy.styx_steropes","Ciclope Artista"
"heroes.name_fancy.styx_thanatos","Deus da Morte Tranquila"
"heroes.name_fancy.styx_virgil","Guia do Submundo"
"heroes.name_fancy.tales1_aqualith","Hoplita Elemental"
"heroes.name_fancy.tales1_aqualith_costume_purple","Colosso Elemental"
"heroes.name_fancy.tales1_atlanteia","Nereida Glacial das Profundezas"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Sereia Glacial das Profundezas"
"heroes.name_fancy.tales1_bagreg","Homem-Peixe Líder"
"heroes.name_fancy.tales1_bagreg_costume_scout","Menino-Peixe Batedor"
"heroes.name_fancy.tales1_ceto","Deusa Primordial dos Monstros Marinhos"
"heroes.name_fancy.tales1_ceto_costume_queen","Rainha Primordial dos Monstros Marinhos"
"heroes.name_fancy.tales1_domiventus","Eterno Ser Hadal"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Ser Hadal Supremo"
"heroes.name_fancy.tales1_ephyra","Princesa Nereida"
"heroes.name_fancy.tales1_ephyra_costume_reef","Princesa do Recife"
"heroes.name_fancy.tales1_galapago","Sábio dos Oceanos"
"heroes.name_fancy.tales1_galapago_costume_quarry","Rolador Sábio da Pedreira"
"heroes.name_fancy.tales1_gelert","Caçador de Tesouros das Profundezas"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Catador das Profundezas"
"heroes.name_fancy.tales1_gestalt","Príncipe das Profundezas Eternas"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Príncipe das Pérolas Eternas"
"heroes.name_fancy.tales1_jaco","Comerciante Suspeito das Profundezas"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Alquimista das Profundezas"
"heroes.name_fancy.tales1_lasalle","Hussardo de Atlântida"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Jóquei Rocambolesco de Atlântida"
"heroes.name_fancy.tales1_medea","Rainha Naga das Profundezas"
"heroes.name_fancy.tales1_medea_costume_goddess","Deusa Naga das Profundezas"
"heroes.name_fancy.tales1_mulgog","Homem-Peixe Saqueador"
"heroes.name_fancy.tales1_mulgog_costume_bard","Homem-Peixe Bardo"
"heroes.name_fancy.tales1_persa","Espírito Aquático da Pilhagem"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Nobre Água-Viva"
"heroes.name_fancy.tales1_phorcys","Deus Primordial das Profundezas"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Deus Guerreiro das Profundezas"
"heroes.name_fancy.tales1_sharkhai","Grande Traidor"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Açougueiro Dentado"
"heroes.name_fancy.tales1_spartoi","Berserker Naga"
"heroes.name_fancy.tales1_spartoi_costume_guard","Guarda Naga"
"heroes.name_fancy.tales1_thalassa","Deusa Primordial dos Oceanos"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Deusa Primordial dos Cristais"
"heroes.name_fancy.tales1_ultrox","Guardião do Templo das Profundezas"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Sifão das Profundezas"
"heroes.name_fancy.tales2_aethslegaur","Perseguidor do Fogo dos Anões"
"heroes.name_fancy.tales2_andvari","Oráculo dos Anões"
"heroes.name_fancy.tales2_bragi","Lutador Anão"
"heroes.name_fancy.tales2_bryggvir","Ginete de Bode Anão"
"heroes.name_fancy.tales2_dagr","Xamã dos Anões da Montanha"
"heroes.name_fancy.tales2_dain","Mestre de Cerco Anã"
"heroes.name_fancy.tales2_dularfulr","Vidente Sombrio dos Anões"
"heroes.name_fancy.tales2_fafnir","Senhor de Myrkheim Anão"
"heroes.name_fancy.tales2_fimafeng","Sobrevivente dos Anões Astrais"
"heroes.name_fancy.tales2_fjalar","Escaldo Dourado dos Anões"
"heroes.name_fancy.tales2_fjalar_costume_undead","Escaldo Fantasmagórico dos Anões"
"heroes.name_fancy.tales2_gandr","Guerreiro do Vento dos Anões"
"heroes.name_fancy.tales2_gandr_costume_guardian","Soldado Majestoso dos Anões"
"heroes.name_fancy.tales2_helgi","Corredor Enfurecido dos Anões"
"heroes.name_fancy.tales2_helgi_costume_combatant","Reabastecedor dos Anões"
"heroes.name_fancy.tales2_hogne","Grande Cavaleiro dos Anões"
"heroes.name_fancy.tales2_hreidmarr","Rei dos Anões da Montanha"
"heroes.name_fancy.tales2_motsognir","Selvagem da Fronteira dos Anões"
