"herocard.passive_skill.description.addmana.all.allies","Tous les alliés reçoivent une petite quantité de mana."
"herocard.passive_skill.title.resist.water","Résistance à l'eau"
"herocard.passive_skill.title.resist_all_defense_effects","Trait :
Corps agile"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Résistance aux effets négatifs des sbires"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Résistance à la suppression de sbire"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Résistance aux effets négatifs des sbires"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Résistance supérieure aux effets négatifs des sbires"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Résistance aux démons"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Résistance aux démons et méga démons"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Résistance aux effets négatifs"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Réduction des chances de résurrection"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Réduction de la santé lors de la résurrection"
"herocard.passive_skill.title.revive_chance_nine_lives","Neuf vies"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Pacte fantasmagorique"
"herocard.passive_skill.title.revivewithchance","Ressusciter"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Tempo rapide : ballade"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Tempo rapide : danse"
"herocard.passive_skill.title.sharereceiveddamage","Partage des dégâts subis"
"herocard.passive_skill.title.short.generic","Passif"
"herocard.passive_skill.title.short.league","Avantage"
"herocard.passive_skill.title.short.league.non_featured","Désavantage"
"herocard.passive_skill.title.short.trait","Trait"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Masque élémentaire"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Maîtrise des troupes"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Maîtrise des troupes"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Boucliers améliorés lors de la compétence spéciale"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Boucliers améliorés lors de la compétence spéciale"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Boucliers améliorés lors de la compétence spéciale"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Boucliers améliorés lors de la compétence spéciale"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Boucliers améliorés lors de la compétence spéciale"
"herocard.passive_skill.title.specialdamagereduction","Réduction des dégâts des compétences spéciales"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Réduction des dégâts des compétences spéciales"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Gain de mana en début de combat"
"herocard.passive_skill.title.statmodifier.attack","Férocité"
"herocard.passive_skill.title.statmodifier.defense","Carapace"
"herocard.passive_skill.title.statmodifier.health","Résilience"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Effets d'attaque amplifiés"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Réduction des effets négatifs d'attaque"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Réduction des effets négatifs d'attaque"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Effets d'attaque amplifiés"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Réduction des effets négatifs d'attaque"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Effets de défense amplifiés"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Réduction des effets négatifs de défense"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Réduction des effets négatifs de défense"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Effets de défense amplifiés"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Réduction des effets négatifs de défense"
"herocard.passive_skill.title.statuseffectdurationmodifier","Augmentation de la durée des bonus"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Réduction de la durée des effets négatifs"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Réduction de la durée des effets négatifs affectant la défense"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Augmentation de la durée des bonus"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Copie du malus lors de la purification"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Vigueur de chasseur"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Marque du chasseur de titans"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Peau douce de gargouille"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Peau de pierre de dragon"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Bonus de génération de mana avec effets négatifs"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Masque élémentaire"
"herocard.passive_skill.title.stylish","Élégance"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Invocation de plantule"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Invocation de plantule"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Invocation de plantule"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Invocation de plantule"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Invocation de plantule"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Invocation de plantule"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Sbire gluant lors de la défaite"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Sbire gluant lors de la défaite"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Sbire gluant lors de la défaite"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Sbire gluant lors de la défaite"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Sbire gluant lors de la défaite"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Séparation de sbire gluant"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Séparation de sbire gluant"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Séparation de sbire gluant"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Séparation de sbire gluant"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Séparation de sbire gluant"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Invocation lors d'une brûlure"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Invocation lors des dégâts sur la durée"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Invocation de sbire lors des effets affectant la défense"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Invocation de moineau"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Invocation de jeune pousse maudite"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Invocation de plantule"
"herocard.passive_skill.title.targetstatedependenteffectonspecial.healthboost.checkstate.all.allies.dance","Danse gracieuse"
"herocard.passive_skill.title.taunt","Outrepasse la provocation"
"herocard.passive_skill.title.titan_dread_damage_minions","Terreur"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Terreur"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Terreur"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Terreur"
"herocard.passive_skill.title.titan_resist_15","Titan"
"herocard.passive_skill.title.titan_resist_16","Titan"
"herocard.passive_skill.title.titan_resist_17","Titan"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Cartoon"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Transformation des bonus"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transformation des bonus"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transformation des effets négatifs"
"herocard.passive_skill.title.wither.all.enemies","Flétrissement"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","À chaque tour, invoque un [#!]démon plantule[#] pour un ennemi aléatoire.
[*]Le [#!]démon plantule[#] devient un [#!]démon jeune pousse[#] au bout de {EVOLVINGFAMILIAR1EVOLVETURNS} tours.
[*]Le [#!]démon jeune pousse[#] devient un [#!]méga démon florissant[#] au bout de {EVOLVINGFAMILIAR2EVOLVETURNS} tours.
[*]L'évolution du démon est retardée de {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} tour à chaque fois qu'il absorbe des soins.

[#!]Démon plantule[#] :
[#!]{EVOLVINGFAMILIAR1FAMILIARATTACK}[#] % d'attaque, [#!]{EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}[#] % de santé.

[#!]Démon jeune pousse[#] :
[#!]{EVOLVINGFAMILIAR2FAMILIARATTACK}[#] % d'attaque, [#!]{EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}[#] % de santé.

[#!]Méga démon florissant[#] :
[#!]{EVOLVINGFAMILIAR3FAMILIARATTACK}[#] % d'attaque, [#!]{EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}[#] % de santé."
