"herocard.passive_skill.description.addmana.all.allies","Alle allierte får en liten mengde mana."
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Motstå forsvarslidelser"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Ustoppelige undersåtter"
"herocard.passive_skill.title.resist.frost","Motstå frost"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Styrket motstand mot frost"
"herocard.passive_skill.title.resist.healeffects","Motstå helbredelseslidelser"
"herocard.passive_skill.title.resist.healthsteal","Motstå helsestjelende lidelser"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Motstå galskap"
"herocard.passive_skill.title.resist.manadebuffs","Motstå manalidelser"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Motstå manalidelser og spesialferdighetblokkering"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Motstå mana-genereringlidelser"
"herocard.passive_skill.title.resist.manareduction","Motstå direkte manareduksjon"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Styret motstå direkte manareduksjon"
"herocard.passive_skill.title.resist.maxhealthreduction","Motstå reduksjon av maksimal helse"
"herocard.passive_skill.title.resist.poison","Motstå gift"
"herocard.passive_skill.title.resist.poison.burn.bleed","Motstå gift, brann og blødning"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Motstå besettelse"
"herocard.passive_skill.title.resist.sand","Motstå sand"
"herocard.passive_skill.title.resist.specialblocking","Motstå blokkering av spesialferdigheter"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Styrket blokkering av spesialferdigheter"
"herocard.passive_skill.title.resist.stopmanageneration","Motstå stopp av mana-generering"
"herocard.passive_skill.title.resist.water","Motstå vann"
"herocard.passive_skill.title.resist_all_attack_effects","Trekk:
Liten ramme"
"herocard.passive_skill.title.resist_all_defense_effects","Trekk: 
Lithe-ramme"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Motstå statuslidelser fra undersåtter"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Motstå undersått-fjerning"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Motstå negative undersått-effekter"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Motstå negative undersått-effekter (overlegen)"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Motstå djevler."
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Motstå djevler og megadjevler"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Motstå statuslidelser"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Reduksjon av sjanse for gjenoppliving"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Reduksjon i helse ved gjenoppliving"
"herocard.passive_skill.title.revive_chance_nine_lives","Ni liv"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Uhyggelig pakt"
"herocard.passive_skill.title.revivewithchance","Gjenoppliv"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Raskt tempo: Ballade"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Raskt tempo: Dans"
"herocard.passive_skill.title.sharereceiveddamage","Del mottatt skade"
"herocard.passive_skill.title.short.generic","Passiv"
"herocard.passive_skill.title.short.league","Fordel"
"herocard.passive_skill.title.short.league.non_featured","Ulempe"
"herocard.passive_skill.title.short.trait","Trekk"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Elementmaske"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Troppmestring"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Troppmestring"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Forbedrer skjold ved spesial"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Forbedrer skjold ved spesial"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Forbedrer skjold ved spesial"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Forbedrer skjold ved spesial"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Forbedrer skjold ved spesial"
"herocard.passive_skill.title.specialdamagereduction","Spesialferdighet-skadereduksjon"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Spesialferdighet-skadereduksjon"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Start kamp med mana"
"herocard.passive_skill.title.statmodifier.attack","Glupsk"
"herocard.passive_skill.title.statmodifier.defense","Skjoldet"
"herocard.passive_skill.title.statmodifier.health","Robost"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Øk angrep for statuseffekt"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Reduksjon av angrepslidelse"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Reduksjon av angrepslidelse"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Øk angrep for statuseffekt"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Reduksjon av angrepslidelse"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Øk forsvar for statuseffekt"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Reduksjon av forsvarslidelse"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Reduksjon av forsvarslidelse"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Øk forsvar for statuseffekt"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Reduksjon av forsvarslidelse"
"herocard.passive_skill.title.statuseffectdurationmodifier","Øk økningsvarighet"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Reduser lidelsesvarighet"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Reduser varighet på forsvarslidelse"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Øk økningsvarighet"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Kopier lidelse ved rens"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Jegers vigør"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Titanjegerens merke"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Griffs myke hud"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Griffs steinhud"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Managenerasjonsøkning fra lidelser"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Elementmaske"
"herocard.passive_skill.title.stylish","Stilig!"
"herocard.passive_skill.title.stylish_epic","Stilig!"
"herocard.passive_skill.title.stylish_legendary","Stilig!"
"herocard.passive_skill.title.stylish_rare","Stilig!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Fremkalling av frøplante"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Fremkalling av frøplante"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Fremkalling av frøplante"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Fremkalling av frøplante"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Fremkalling av frøplante"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Fremkalling av frøplante"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Slimundersått når beseiret"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Slimundersått når beseiret"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Slimundersått når beseiret"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Slimundersått når beseiret"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Slimundersått når beseiret"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Slimundersått-splitt"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Slimundersått-splitt"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Slimundersått-splitt"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Slimundersått-splitt"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Slimundersått-splitt"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Påkall ved brann"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Fremkalles ved DoT"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Påkall undersått ved forsvarslidelse"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Spurv-fremkaller"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Fremkaller av forbannet ungtre"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Fremkalling av frøplante"
"herocard.passive_skill.title.targetstatedependenteffectonspecial.healthboost.checkstate.all.allies.dance","Grasiøs danser"
"herocard.passive_skill.title.taunt","Ignorer Provoser"
"herocard.passive_skill.title.titan_dread_damage_minions","Frykt"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Frykt"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Frykt"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Frykt"
"herocard.passive_skill.title.titan_resist_15","Titan"
"herocard.passive_skill.title.titan_resist_16","Titan"
"herocard.passive_skill.title.titan_resist_17","Titan"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Toon"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Transformer økninger"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transformer økninger"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transformer lidelser"
"herocard.passive_skill.title.wither.all.enemies","Visne"
