"heroes.name_fancy.astral_cosmicspeaker","Astralalv-astronom"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Flammeskjønnhet"
"heroes.name_fancy.s2_oceanus","Sjøens titan"
"heroes.name_fancy.s2_oceanus_costume_volcano","Magmatitan"
"heroes.name_fancy.s2_poseidon","Atlantis-hersker"
"heroes.name_fancy.s2_poseidon_costume_cute","Toon-Atlantis-hersker"
"heroes.name_fancy.s2_poseidon_costume_slayer","Atlantis-slakter"
"heroes.name_fancy.s2_proteus","Atlantis-trollmann"
"heroes.name_fancy.s2_proteus_costume_cute","Toon-Atlantis-trollmann"
"heroes.name_fancy.s2_proteus_costume_farseer","Farseer fra Atlantis"
"heroes.name_fancy.s2_rugged_fisherman","Modig fisker"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Modig fisker-toon"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Skallet bryggmester"
"heroes.name_fancy.s2_skyllaros","Atlantis-vokter"
"heroes.name_fancy.s2_skyllaros_costume_cute","Toon-Atlantis-vokter"
"heroes.name_fancy.s2_skyllaros_costume_reef","Revvokteren"
"heroes.name_fancy.s2_straw_demon","Strådemon"
"heroes.name_fancy.s2_tanuki_raccoon","Modig bedrager"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Fryktløs handelsmann"
"heroes.name_fancy.s2_tethys","Alle elvers gudinne"
"heroes.name_fancy.s2_tethys_costume_steel","Alle elvers hevner"
"heroes.name_fancy.s2_triton","Atlantis-kaptein"
"heroes.name_fancy.s2_triton_costume_champion","Mester fra Atlantis"
"heroes.name_fancy.s2_ursena","Dypets keiserinne"
"heroes.name_fancy.s2_ursena_costume_cute","Toon av dypet"
"heroes.name_fancy.s2_ursena_costume_reef","Dødelig revdronning"
"heroes.name_fancy.s3_agnes","Modig landsbyboer"
"heroes.name_fancy.s3_alfrike","Dronningen av Svartalfheim"
"heroes.name_fancy.s3_alfrike_costume_hatter","Hattemaker fra Svartalfheim"
"heroes.name_fancy.s3_almur","Svartalfheims skyggeklinge"
"heroes.name_fancy.s3_almur_costume_lord","Lord av Svartalfheim"
"heroes.name_fancy.s3_anwindr","Forbannet viking-slåsskjempe"
"heroes.name_fancy.s3_baldur","Lysende gud"
"heroes.name_fancy.s3_baldur_costume_fiery","Ildgud"
"heroes.name_fancy.s3_bera","Disirs prinsesse"
"heroes.name_fancy.s3_bera_costume_conjurer","Disirs gjøgler"
"heroes.name_fancy.s3_bjorn","Modig landsbyboer"
"heroes.name_fancy.s3_bjorn_costume_viking","Modig soldat"
"heroes.name_fancy.s3_brynhild","Valkyrie-skjoldmø"
"heroes.name_fancy.s3_by_ulf","Forbannet viking-bølle"
"heroes.name_fancy.s3_ei_dunn","Forbannet viking-bråkmaker"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Vill vikingkriger"
"heroes.name_fancy.s3_fenrir","Lederen av Niflheim"
"heroes.name_fancy.s3_fenrir_costume_guardian","Vokter av Niflheim"
"heroes.name_fancy.s3_freya","De dreptes dame"
"heroes.name_fancy.s3_freya_costume_witch","De falnes heks"
"heroes.name_fancy.s3_frigg","Fremsynets gudinne"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Synsk gudinne"
"heroes.name_fancy.s3_fura","Giftmorder fra Svartalfheim"
"heroes.name_fancy.s3_fura_costume_herbalist","Botanker fra Svartalfheim"
"heroes.name_fancy.s3_gefjon","Innhøstingens gudinne"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Villmarkens gudinne"
"heroes.name_fancy.s3_grevle","Kløktig grevling"
"heroes.name_fancy.s3_gullinbursti","Gyllent villsvin"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Løst villsvin"
"heroes.name_fancy.s3_heimdall","Årvåken vaktmann"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Fryktet vaktmann"
"heroes.name_fancy.s3_jarvur","Jerv-bokser"
"heroes.name_fancy.s3_jott","Barbarisk iskjempe"
"heroes.name_fancy.s3_kvasir","Birøkter fra Alfheim"
"heroes.name_fancy.s3_kvasir_costume_captain","Bie-kaptein av Alfheim"
"heroes.name_fancy.s3_loki_female","Lurendreiergudinne"
"heroes.name_fancy.s3_loki_female_costume_mother","Narrmor"
"heroes.name_fancy.s3_loki_fish","Lurendreierfisk"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Kul fisk"
"heroes.name_fancy.s3_loki_male","Lurendreiergud"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Hamskiftergud"
"heroes.name_fancy.s3_mireweave","Rask Draugr"
"heroes.name_fancy.s3_mist","Valkyrie-kommandant"
"heroes.name_fancy.s3_nordri","Isdverg fra Jotunheim"
"heroes.name_fancy.s3_nordri_costume_explorer","Utforskerdverg fra Jotunheim"
"heroes.name_fancy.s3_norns","Skjebnens vevere"
"heroes.name_fancy.s3_norns_costume_puppeteers","Skjebnens dukkeførere"
"heroes.name_fancy.s3_odin","Vis allfader"
"heroes.name_fancy.s3_odin_costume_champion","Modig allfader"
"heroes.name_fancy.s3_ratatoskr","Budbringer fra Yggdrasil"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Yggdrasil-arkitekt"
"heroes.name_fancy.s3_shadereave","Dyrisk Draugr"
"heroes.name_fancy.s3_sif","Lyshåret guddom"
"heroes.name_fancy.s3_sif_costume_golden","Gyllen guddom"
"heroes.name_fancy.s3_skadi","Gudinne fra Jotunheim"
"heroes.name_fancy.s3_skadi_costume_ravager","Vokter av Jotunheim"
"heroes.name_fancy.s3_stonecleave","Nådeløs draugr"
"heroes.name_fancy.s3_sudri","Ilddverg fra Muspelheim"
"heroes.name_fancy.s3_sumle","Kraftig ildkjempe"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Uinnviet ildkjempe"
"heroes.name_fancy.s3_thor","Tordenguden"
"heroes.name_fancy.s3_thor_costume_conduit","Leder av torden"
"heroes.name_fancy.s3_tyr","Ustoppelig rettferdighet"
"heroes.name_fancy.s3_tyr_costume_savage","Usivilisert rettferdighet"
"heroes.name_fancy.s4_akkorog","Morlock-høvding"
"heroes.name_fancy.s4_akkorog_costume_football","Morlock-løper"
"heroes.name_fancy.s4_aouda","Godhjertet prinsesse"
"heroes.name_fancy.s4_aouda_costume_lotus","Lotus-prinsesse"
"heroes.name_fancy.s4_captain_nemo","Gåtefull utforsker"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Gåtefull maskinist"
"heroes.name_fancy.s4_congalach","Dypets kriger"
"heroes.name_fancy.s4_congalach_costume_kelp","Tangkriger"
"heroes.name_fancy.s4_doctor_moreau","Slu forsker"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Utspekulert skribent"
"heroes.name_fancy.s4_elizabeth","Arachnoide-aristokrat"
"heroes.name_fancy.s4_elizabeth_costume_bride","Brudearistokrat"
"heroes.name_fancy.s4_exeera","Oktopod-prest"
"heroes.name_fancy.s4_exeera_costume_hierophant","Blekksprutprest"
"heroes.name_fancy.s4_garjammal","Morlock-kampmester"
"heroes.name_fancy.s4_garjammal_costume_kite","Morlock-dragemester"
"heroes.name_fancy.s4_gramps","Senior-halvling"
"heroes.name_fancy.s4_gramps_costume_gardener","Halvlinggartner"
"heroes.name_fancy.s4_griffin","Usynlig mann"
"heroes.name_fancy.s4_griffin_costume_priest","Usynlig prest"
"heroes.name_fancy.s4_hannah","Eventyrlysten arkeolog"
"heroes.name_fancy.s4_hannah_costume_drover","Eventyrlysten kveghandler"
"heroes.name_fancy.s4_helo","Eloi-fisker"
"heroes.name_fancy.s4_helo_costume_baker","Eloi-baker"
"heroes.name_fancy.s4_hulda","Sjefen over Moles"
"heroes.name_fancy.s4_hulda_costume_nurse","Sjefssykepleier"
"heroes.name_fancy.s4_kravekrush","Ettin-kommandant"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Ettin-grillmester"
"heroes.name_fancy.s4_lepiota","Eloienes leder"
"heroes.name_fancy.s4_lepiota_costume_undying","Leder av de udødelige"
"heroes.name_fancy.s4_lughaidh","Kongen av dypet"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Den udødelige kongen"
"heroes.name_fancy.s4_mack","Halvlingeventyrer"
"heroes.name_fancy.s4_mack_costume_novelist","Halvling-skribent"
"heroes.name_fancy.s4_morel","Jeger"
"heroes.name_fancy.s4_morel_costume_sage","Eloi-vismann"
"heroes.name_fancy.s4_morris","Mektig muldvarpmann"
"heroes.name_fancy.s4_morris_costume_potter","Muldvarpmann"
"heroes.name_fancy.s4_octros","Oktopod-mester"
"heroes.name_fancy.s4_octros_costume_suitor","Molluskmann"
"heroes.name_fancy.s4_passepartout","Klok reisende"
"heroes.name_fancy.s4_passepartout_costume_artist","Elegant kunstner"
"heroes.name_fancy.s4_phileas_fogg","Modig reisende"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Utsøkt ingeniør"
"heroes.name_fancy.s4_poppy","Halvling-armbrøstskytter"
"heroes.name_fancy.s4_poppy_costume_lodger","Halvlinglosjerende"
"heroes.name_fancy.s4_professor_lidenbrock","Klok forsker"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Skarpsindig gullsmed"
"heroes.name_fancy.s4_rokkamush","Ettin-knuser"
"heroes.name_fancy.s4_rokkamush_costume_mason","Ettin-steinhugger"
"heroes.name_fancy.s4_russula","Eloi-røver"
"heroes.name_fancy.s4_russula_costume_painter","Eloi-maler"
"heroes.name_fancy.s4_tettukh","Morlock-bølle"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Morlock-heiajente"
"heroes.name_fancy.s4_vollermork","Morlock-hamstrer"
"heroes.name_fancy.s4_vollermork_costume_bartender","Morlock-bartender"
"heroes.name_fancy.s4_xenda","Underverdenens arving"
"heroes.name_fancy.s4_xenda_costume_flame","Flammearving"
"heroes.name_fancy.s4_xnolphod","Oktopod-trollmann"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Blekksprutfangevokter"
"heroes.name_fancy.s4_zekena","Myriapod-prins"
"heroes.name_fancy.s4_zekena_costume_vines","Apocynacid-prins"
"heroes.name_fancy.s4_zenobia","Myriapod-dronning"
"heroes.name_fancy.s4_zenobia_costume_floral","Apocynacid-dronning"
"heroes.name_fancy.s4_zila_lei","Oktopod-snikmorder"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Blekksprutdanser"
"heroes.name_fancy.s5_ahhotep","Mumiekriger"
"heroes.name_fancy.s5_ahhotep_costume_champion","Mumiemester"
"heroes.name_fancy.s5_ahmose","Mumiefarao"
"heroes.name_fancy.s5_ahmose_costume_reborn","Gjenfødt farao"
"heroes.name_fancy.s5_anubis","Gud i livet etter døden"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Dansegulvdommer"
"heroes.name_fancy.s5_aqeela","Gatesmart gategutt"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Gatesmart magiker"
"heroes.name_fancy.s5_azmia","Barsk vertshusvert"
"heroes.name_fancy.s5_azmia_costume_dancing","Dansende vertshusvert"
"heroes.name_fancy.s5_bastet","Månens øye"
"heroes.name_fancy.s5_bastet_costume_forest","Skogens øye"
"heroes.name_fancy.s5_bennu","Skapersjelen"
"heroes.name_fancy.s5_bennu_costume_heron","Skapelsens hegre"
"heroes.name_fancy.s5_cleopatra","Guddommelig farao"
"heroes.name_fancy.s5_cleopatra_costume_feline","Kattefarao"
"heroes.name_fancy.s5_el_naddaha","Elvens sirene"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Havets sirene"
"heroes.name_fancy.s5_eset","Damen med ti tusen navn"
"heroes.name_fancy.s5_eset_costume_goldensun","Fruen av den gylne sol"
"heroes.name_fancy.s5_faiez","Heldig gårdbruker"
"heroes.name_fancy.s5_faiez_costume_miner","Heldig gruvearbeider"
"heroes.name_fancy.s5_hathor","Moderskapets gudinne"
"heroes.name_fancy.s5_hathor_costume_starlit","Stjerneklar mor"
"heroes.name_fancy.s5_hetepheres","Listig sfinks"
"heroes.name_fancy.s5_hetepheres_costume_spa","Spaets sfinks"
"heroes.name_fancy.s5_horus","Jaktens gud"
"heroes.name_fancy.s5_horus_costume_golden","Gulljeger"
"heroes.name_fancy.s5_jarif","Stresset skribent"
"heroes.name_fancy.s5_jarif_costume_curator","Stresset kurator"
"heroes.name_fancy.s5_junaid","Svoren soldat"
"heroes.name_fancy.s5_junaid_costume_champion","Svoren mester"
"heroes.name_fancy.s5_khafre","Skarp androsfinks"
"heroes.name_fancy.s5_khafre_costume_aquatic","Vann-androsfinks"
"heroes.name_fancy.s5_khepri","Skarabégud"
"heroes.name_fancy.s5_khepri_costume_overlord","Skarabé-overherre"
"heroes.name_fancy.s5_khonshu","Månegud"
"heroes.name_fancy.s5_khonshu_costume_knight","Månens ridder"
"heroes.name_fancy.s5_maat","Harmonifruen"
"heroes.name_fancy.s5_maat_costume_river","Fruen fra Iteru"
"heroes.name_fancy.s5_meresankh","Sfinks av solen"
"heroes.name_fancy.s5_meresankh_costume_disco","Disco-sfinks"
"heroes.name_fancy.s5_papyros","Golem av papir og sand"
"heroes.name_fancy.s5_papyros_costume_colossus","Koloss av papir og sand"
"heroes.name_fancy.s5_ptolemy","Eldre farao"
"heroes.name_fancy.s5_ptolemy_costume_log","Eldre tømmerstokk"
"heroes.name_fancy.s5_rekhetre","Ung sfinks"
"heroes.name_fancy.s5_rekhetre_costume_artist","Ung kunstner"
"heroes.name_fancy.s5_scoratek","Skarabévakt"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Skarabévakt"
"heroes.name_fancy.s5_sekhmet","Solens øye"
"heroes.name_fancy.s5_sekhmet_costume_warden","Solens vokter"
"heroes.name_fancy.s5_set","Mørk tronraner"
"heroes.name_fancy.s5_set_costume_tyrant","Mørkets tyrann"
"heroes.name_fancy.s5_sneferu","Sfinks av månen"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Månens overvinner"
"heroes.name_fancy.s5_sobek","Elvens gud"
"heroes.name_fancy.s5_sobek_costume_guardian","Elvens vokter"
"heroes.name_fancy.s5_tetisheri","Mumiedronning"
"heroes.name_fancy.s5_tetisheri_costume_molten","Moltendronning"
"heroes.name_fancy.s5_waqas","Faraoskjold"
"heroes.name_fancy.s5_waqas_costume_blade","Faraos sverd"
"heroes.name_fancy.sand_horse","Pålitelig hest fra Sandriket"
"heroes.name_fancy.sand_king","Kongen av Sandriket"
"heroes.name_fancy.sand_king_costume_lifeguard","Livvaktenes konge"
"heroes.name_fancy.sand_queen","Dronningen av Sandriket"
"heroes.name_fancy.sand_queen_costume_surfer","Surferdronning"
"heroes.name_fancy.sand_roc","Beskytter av Sandriket"
"heroes.name_fancy.sand_roc_costume_juice","Strandens beskytter"
"heroes.name_fancy.sand_soldier","Soldat fra Sandriket"
"heroes.name_fancy.sand_tower","Slåsskjempe fra Sandriket"
"heroes.name_fancy.sand_vizier","Visir fra Sandriket"
"heroes.name_fancy.scoundrel_duval","Den bedragerske skarpskytteren"
"heroes.name_fancy.scoundrel_lane","Veibanditten"
"heroes.name_fancy.shadow_abigail","Undersøkende journalist"
"heroes.name_fancy.shadow_asketel","Søker av tapt kunnskap"
"heroes.name_fancy.shadow_atwood","Fengslet av det ukjente"
"heroes.name_fancy.shadow_burton","Homunculus etterforsker"
"heroes.name_fancy.shadow_cthuwu","Fremkalling av de gamle"
"heroes.name_fancy.shadow_dolores","Hensynsløs privatetterforsker"
"heroes.name_fancy.shadow_gwendoline","Fanatisk arkeolog"
"heroes.name_fancy.shadow_hunter","Etterkommere av de gamle"
"heroes.name_fancy.shadow_hysteria","Samler av mystiske artefakter"
"heroes.name_fancy.shadow_melancholia","De gamles medhjelper"
"heroes.name_fancy.shadow_omen","Helligholdt av Djevelrevet"
"heroes.name_fancy.shadow_penelope","Olm eksbibliotekar"
"heroes.name_fancy.shadow_rashan","Hulu-metallbruker"
"heroes.name_fancy.shadow_rosanna","Sannskudd"
"heroes.name_fancy.shadow_salvatore","Fordreid medium"
"heroes.name_fancy.shadow_shoggo","Formskiftende guide"
"heroes.name_fancy.shadow_wulfstan","Gåtefull ammunisjonshåndverker"
"heroes.name_fancy.shadow_zavinia","Hybrid fra dypet"
"heroes.name_fancy.slayer_aodhan","Den brennende"
"heroes.name_fancy.slayer_caitlin","Den opplyste"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Den dømmende korsridder"
"heroes.name_fancy.slayer_cathal","Den modige"
"heroes.name_fancy.slayer_cillian","Den udødelige"
"heroes.name_fancy.slayer_maeve","Den usette"
"heroes.name_fancy.slayer_noril","Den ville"
"heroes.name_fancy.slayer_orla","Den verdige"
"heroes.name_fancy.slayer_rian","Den urokkelige"
"heroes.name_fancy.slayer_saoirse","Den utemmelige"
"heroes.name_fancy.slayer_saoirse_costume_knight","Beseireren"
"heroes.name_fancy.slayer_senan","Den beskyldte"
"heroes.name_fancy.slayer_senan_costume_tentacles","Blekkspruttjeneren"
"heroes.name_fancy.slime_achillea","Fryktløst gladiatorslim"
"heroes.name_fancy.slime_boboosang","Eldre langerslim"
"heroes.name_fancy.slime_bulklug","Klumpbyggerslim"
"heroes.name_fancy.slime_charmione","Sjarmerende teatergørr"
"heroes.name_fancy.slime_chingiriko","Skyggestalkerslim"
"heroes.name_fancy.slime_choozen","Blygt kiste-slim"
"heroes.name_fancy.slime_fruitio","Fruktelsker-slim"
"heroes.name_fancy.slime_fungustine","Fornyende skogsslim"
"heroes.name_fancy.slime_gloozmer","Forsiktig lurendreier-slim"
"heroes.name_fancy.slime_goldrip","Gullslimkonge"
"heroes.name_fancy.slime_gooldron","Nerdete kjeleslim"
"heroes.name_fancy.slime_goorian","Barbarisk slam"
"heroes.name_fancy.slime_gooric","Klokt tilfluktsstedsgørr"
"heroes.name_fancy.slime_gooze","Unnsluppet alkymilab-gørr"
"heroes.name_fancy.slime_gunktus","Nådeløs kampklump"
"heroes.name_fancy.slime_harubo","Patruljerende slim"
"heroes.name_fancy.slime_justico","Beskytterslim"
"heroes.name_fancy.slime_knightus","Ridderlig tempelslim"
"heroes.name_fancy.slime_labblub","Nysgjerrig vitenskapsmann-slim"
"heroes.name_fancy.slime_magistine","Magibrukende slim"
"heroes.name_fancy.slime_mucktus","Djevelsk skogsklump"
"heroes.name_fancy.slime_slaymire","Sta slim-bøddel"
"heroes.name_fancy.slime_slimgo","Snikende røverslim"
"heroes.name_fancy.slime_sliposi","Glatt courier-slim"
"heroes.name_fancy.slime_sludgus","Syngende vertshusslim"
"heroes.name_fancy.slime_verdigoo","Klissete smaragd-dommer"
"heroes.name_fancy.slime_zestique","Søtt, rødmende slim"
"heroes.name_fancy.styx_amphitrite","Havets gudinne"
"heroes.name_fancy.styx_arges","Eliksirkremmer-kyklop"
"heroes.name_fancy.styx_brontes","Gårdbrukerkyklop"
"heroes.name_fancy.styx_charon","Styx-ferjemann"
"heroes.name_fancy.styx_dante","Eventyrer i underverdenen"
"heroes.name_fancy.styx_erebus","Det dype mørkets gud"
"heroes.name_fancy.styx_hypnos","Søvnmester"
"heroes.name_fancy.styx_nemesis","Den guddommelige gjengjeldelses gudinne"
"heroes.name_fancy.styx_nyx","Nattens mor"
"heroes.name_fancy.styx_steropes","Kunsterkyklop"
"heroes.name_fancy.styx_thanatos","Den rolige bortgangs gud"
"heroes.name_fancy.styx_virgil","Guide til underverdenen"
"heroes.name_fancy.tales1_aqualith","Elementhoplitt"
"heroes.name_fancy.tales1_aqualith_costume_purple","Elementkoloss"
"heroes.name_fancy.tales1_atlanteia","Isnereid fra dypet"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Issirene fra dypet"
"heroes.name_fancy.tales1_bagreg","Fiskemann-trefningsleder"
"heroes.name_fancy.tales1_bagreg_costume_scout","Fiskeguttspeider"
"heroes.name_fancy.tales1_ceto","Urgudinne for sjømonstre"
"heroes.name_fancy.tales1_ceto_costume_queen","Urdronning for sjømonstre"
"heroes.name_fancy.tales1_domiventus","Det evige Hadal-vesenet"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Overlegent Hadal-vesen"
"heroes.name_fancy.tales1_ephyra","Nereid-prinsesse"
"heroes.name_fancy.tales1_ephyra_costume_reef","Revets prinsesse"
"heroes.name_fancy.tales1_galapago","Den kloke vismannen fra havet"
"heroes.name_fancy.tales1_galapago_costume_quarry","Klok ruller fra steinbruddet"
"heroes.name_fancy.tales1_gelert","Dypets skattejeger"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Dypets leter"
"heroes.name_fancy.tales1_gestalt","Prinsesse i det evige dypet"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Prinsesse over de evige perler"
"heroes.name_fancy.tales1_jaco","Tvilsom selger fra dypet"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Slu alkymist dra dypet"
"heroes.name_fancy.tales1_lasalle","Praktfull Hussar fra Atlantis"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Praktfull jockey fra Atlantis"
"heroes.name_fancy.tales1_medea","Nagadronning i dypet"
"heroes.name_fancy.tales1_medea_costume_goddess","Naga-gudinne fra dypet"
"heroes.name_fancy.tales1_mulgog","Fiskemann-sjørøver"
"heroes.name_fancy.tales1_mulgog_costume_bard","Fiskerskald"
"heroes.name_fancy.tales1_persa","Plyndrende vannånd"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Edel manet"
"heroes.name_fancy.tales1_phorcys","Dypets urgud"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Dypets krigsgud"
"heroes.name_fancy.tales1_sharkhai","Storslått forræder"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Forrevet slakter"
"heroes.name_fancy.tales1_spartoi","Nagaberserker"
"heroes.name_fancy.tales1_spartoi_costume_guard","Nagavakt"
"heroes.name_fancy.tales1_thalassa","Urgudinne for havet"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Urgudinne for krystaller"
"heroes.name_fancy.tales1_ultrox","Tempelvokter fra dypet"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Gjennomsøker av dypet"
"heroes.name_fancy.tales2_aethslegaur","Dvergildsøker"
"heroes.name_fancy.tales2_andvari","Dvergorakel"
"heroes.name_fancy.tales2_bragi","Dvergpriskjemper"
"heroes.name_fancy.tales2_bryggvir","Dverg-geiterytter"
"heroes.name_fancy.tales2_dagr","Dvergfjellshaman"
"heroes.name_fancy.tales2_dain","Dverg-beleiringsmester"
"heroes.name_fancy.tales2_dularfulr","Dvergmørkeseer"
"heroes.name_fancy.tales2_fafnir","Dvergherre av Myrkheim"
"heroes.name_fancy.tales2_fimafeng","Dverg-overlevelsesstrateg"
"heroes.name_fancy.tales2_fjalar","Dverggullskald"
"heroes.name_fancy.tales2_fjalar_costume_undead","Spøkelsesaktig dvergskald"
"heroes.name_fancy.tales2_gandr","Dvergvindkriger"
"heroes.name_fancy.tales2_gandr_costume_guardian","Regal dvergsoldat"
"heroes.name_fancy.tales2_helgi","Dvergsinneløper"
"heroes.name_fancy.tales2_helgi_costume_combatant","Dvergpåfyller"
"heroes.name_fancy.tales2_hogne","Dvergstorridder"
"heroes.name_fancy.tales2_hreidmarr","Dvergfjellkonge"
"heroes.name_fancy.tales2_motsognir","Dverg-grensevillmann"
"heroes.name_fancy.tales2_ott","Dvergskøyer"
"heroes.name_fancy.tales2_ott_costume_herbalist","Dvergmesterskøyer"
"heroes.name_fancy.tales2_regin","Dvergprins"
"heroes.name_fancy.tales2_regin_costume_omen","Fallen dvergprins"
"heroes.name_fancy.tales2_snorri","Dverg-historieforteller"
"heroes.name_fancy.tales2_svafa","Dverg-jeger"
"heroes.name_fancy.tales2_thrivaldi","Dvergfrostsøker"
"heroes.name_fancy.trainer","Sverd for leie"
"heroes.name_fancy.tribal_chief","Stammenes høvding"
"heroes.name_fancy.tribal_chief_costume_conqueror","Stammehevneren"
"heroes.name_fancy.tribal_chief_costume_cute","Toon-høvding"
"heroes.name_fancy.tribal_chief_costume_glass","Høvding over vitrails"
"heroes.name_fancy.tribal_chief_costume_leopard","Leopardhøvding"
"heroes.name_fancy.undead_captain_warrior","Dødsbundet lord"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Dødens Toon"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Dødens Vitrail"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Dødløs prins"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Dødens rangler"
"heroes.name_fancy.undead_female_warrior","Dødsbundet lady"
"heroes.name_fancy.undead_female_warrior_costume_cute","Dødløs toon"
"heroes.name_fancy.undead_female_warrior_costume_glass","Dødens Vitrail"
"heroes.name_fancy.undead_female_warrior_costume_princess","Dødløs prinsesse"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Dødbundet prinsesse"
"heroes.name_fancy.undead_horned_skeleton","Ubarmhjertig levning"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Nådeløs toon"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Gjøglerlevning"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Nådeløs vitrail"
"heroes.name_fancy.undead_running_skeleton","Høytidelig levning"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Høytidelig toon"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Glasslevning"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Romersk levning"
"heroes.name_fancy.undead_screaming_zombie","Slepende levning"
"heroes.name_fancy.underworld_champion","Praetorian livvakt"
"heroes.name_fancy.underworld_champion_costume_champion","Pretoriangladiator"
"heroes.name_fancy.underworld_champion_costume_cute","Toon-pretorianer"
"heroes.name_fancy.underworld_champion_costume_glass","Praetorian-Vitrail"
"heroes.name_fancy.underworld_champion_costume_vampire","Pretorianervampyr"
"heroes.name_fancy.valentines_anteros","Cupido for tilbakevendt kjærlighet"
"heroes.name_fancy.valentines_cupido","Cupido for hengivenhet"
"heroes.name_fancy.valentines_elba","Lojal beskytter av kjærlighet"
"heroes.name_fancy.valentines_eros","Cupido for begjær"
"heroes.name_fancy.valentines_himeros","Cupido for ugjengjeldt kjærlighet"
"heroes.name_fancy.valentines_kabeiroi","Forelsket gearhead"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Orkedatingkonsulent"
"heroes.name_fancy.valentines_phthonus","Cupido for misunnelse"
"heroes.name_fancy.valentines_voluptas","Cupido for fornøyelse"
"heroes.name_fancy.valentines_zarola","Cupido for hjerteknusere"
"heroes.name_fancy.vampire_king","Vampyrkonge"
"heroes.name_fancy.vampire_king_costume_mafia","Ugjerningkongen"
"heroes.name_fancy.vampire_lord","Vampyrhåndlanger"
"heroes.name_fancy.vampire_queen","Nattens barn"
"heroes.name_fancy.vegetable_bartholomew","Paprika-barbar"
"heroes.name_fancy.vegetable_elsbeth","Rødbete-ridder"
"heroes.name_fancy.villain_asterius","Monstrøs minotaur"
"heroes.name_fancy.villain_crystalis","Krystallkeiserinne"
"heroes.name_fancy.villain_dark_lord","Karemdols bane"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Astronom fra Karemdol"
"heroes.name_fancy.villain_edd","Tykkskallet lømmel"
"heroes.name_fancy.villain_ingolf","Fordømt herse"
"heroes.name_fancy.villain_isrod","Fordømt jarl"
"heroes.name_fancy.villain_karnov","Mesterbølle"
"heroes.name_fancy.villain_karnov_costume_jammies","Sengetidknuser"
"heroes.name_fancy.villain_sanngrior","Fallen valkyrie"
"heroes.name_fancy.villain_skrekok","Rottemann-kjeltring"
"heroes.name_fancy.villain_toxicandra","Cerbera-hersker"
"heroes.name_fancy.villain_toxicandra_costume_rose","Floramester"
"heroes.name_fancy.wild_cat_catalina","Jungelens krone"
"heroes.name_fancy.wild_cat_ferni","Eventyrlysten regnskogkatt"
"heroes.name_fancy.wild_cat_imagus","Luftig stjernebildekjenner"
