"herocard.passive_skill.description.addmana.all.allies","Alle Verbündeten erhalten eine geringe Menge Mana."
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Reinigung bei Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Schaden bei voller Aufladung"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Lebensregeneration bei voller Aufladung"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Verstärktes Leben bei Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Statuseffekt bei voller Aufladung"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Blutung bei Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Fluch bei Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Schaden über Zeit bei voller Aufladung"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Erhöhter Schaden gegen verstärktes Leben"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Schaden über Zeit bei voller Aufladung"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Statuseffekt bei voller Aufladung"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Vergiftung bei Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Blindwütiger Angriff bei Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.stackingdefensemodifier","Stapel bei Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.stackinghealthgeneration","Stapel bei Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Schaden über Zeit bei voller Aufladung"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Schaden bei gegnerischer Spezialfähigkeit"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana bei Verspotten"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana bei feindlichem Verteidigungsbonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Statuseffekt bei feindlichem Verteidigungsbonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Statuseffekt bei feindlichem Angriffsbonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana bei erhaltenem Bonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana bei erlittener negativer Statusänderung"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Lebensregeneration bei erhaltenem Bonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Lebensregeneration bei negativer Statusänderung"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Manabonus bei erlittener negativer Statusänderung"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana bei erhaltenem Bonus"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Lebensregeneration bei erhaltenem Bonus"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Gesundheitsschub bei der Entfernung von Statuseffekten"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Schaden bei der Entfernung von Statuseffekten"
"herocard.passive_skill.title.effectovertime.revival","Über Zeit wiederbeleben"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana pro Gegner-Bonus"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Lebensverstärkung bei Gift"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana bei Lakaienbeschwörung"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Freund der Vertrauten"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana bei Feindbeschwörung"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Zorn der Haustiere"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Mehr Leben bei Feindbeschwörung"
"herocard.passive_skill.title.empowered_toon_resist_manareduction_dispels","Ermächtigter Toon"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Lakaien blenden"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Lakaikern"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Schwächere Mega-Lakaien"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Schwächere Lakaien"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Halte Mega-Lakaien auf"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Halte Lakaien auf"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana bei Frost"
"herocard.passive_skill.title.glass_reflect_debuffs","Glas"
"herocard.passive_skill.title.growth","Wachstum"
"herocard.passive_skill.title.guaranteedeffectonspecial","Garantierter Effekt bei Spezialfähigkeit"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Verringerte Heilung"
"herocard.passive_skill.title.healonheal.heal","Zusätzliche Heilung"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Leben von totem Lakaien"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Erhöhtes Leben von totem Lakaien"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Erhöhter Angriff pro Nicht-Natur-Gegner"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Erhöhter Angriff pro Nicht-Feuer-Gegner"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Erhöhter Schaden gegen Lakaien & Mega-Lakaien"
"herocard.passive_skill.title.increaseddamageagainstminions","Erhöhter Schaden gegen Lakaien"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Erhöhter Schaden gegen Verspotten"
"herocard.passive_skill.title.increasespecialdamage","Erhöhter Spezialfähigkeit-Schaden"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Erhöhter Spezialfähigkeit-Schaden"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Erhöhter Spezialfähigkeit-Schaden"
"herocard.passive_skill.title.insanitydamagereduction","Gebrandmarkt durch die Alten"
"herocard.passive_skill.title.iterateeffectonspecial","Zusatzchance auf Effekte bei Spezialfähigkeit"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Liga-Nachteil"
"herocard.passive_skill.title.league_featured_family_resist","Liga-Vorteil"
"herocard.passive_skill.title.league_heal_modifier_against_family","Liga-Nachteil"
"herocard.passive_skill.title.league_heal_modifier_for_family","Liga-Vorteil"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Liga-Vorteil"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Mana-Verhinderung"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana bei Lakaientod"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana durch negative Statusänderungen"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Gegnerische Lakaien und Feinde einprägen"
"herocard.passive_skill.title.memorizestatuseffects","Negative Statusänderungen einprägen"
"herocard.passive_skill.title.mimic_dread_damage_minions","Furcht"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Mimenbeute"
"herocard.passive_skill.title.minioncorruption.all.enemies","Lakaienverderbnis"
"herocard.passive_skill.title.nevermissspecial","Perfekte Genauigkeit"
"herocard.passive_skill.title.preventboostedhealth.all.enemies","Verhindert verstärkte Heilung"
"herocard.passive_skill.title.ransack","Diebische Gelegenheit"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Bonus stehlen"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Sinn des Jägers"
"herocard.passive_skill.title.received_strong_troop_damage_pve","Truppen-Schadensreduzierung"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Truppenmeisterung"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Starke Erhöhung des Feuerballschadens"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Dem Tod ein Schnippchen schlagen"
"herocard.passive_skill.title.remove_growth_from_enemies","Wächterangriff"
"herocard.passive_skill.title.remove_wither_from_allies","Wächterangriff"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Reparaturkern"
"herocard.passive_skill.title.repeat_special_once","Glück gehabt!"
"herocard.passive_skill.title.resist.accuracymodifiers","Blenden widerstehen"
"herocard.passive_skill.title.resist.alldebuffs","Negativen Statusänderungen widerstehen"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Allen negativen Statusänderungen widerstehen"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Spitzenwiderstand"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Verteidigungsver-
schlechterungen widerstehen"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Verteidigungs-
verringerung widerstehen"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Manaverschlechterungen widerstehen"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Negativen Manaeffekten widerstehen"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Widersteht Schaden durch Statusänderungen"
"herocard.passive_skill.title.resist.attackdelay","Angriffsverzögerungen widerstehen"
"herocard.passive_skill.title.resist.attackmodifiers","Angriffs-
verschlechterungen widerstehen"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Angriffsstatuseffekten widerstehen"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Angriffsverringe-
rung widerstehen"
"herocard.passive_skill.title.resist.bleed","Blutung widerstehen"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Ermächtigter
Blutungswiderstand"
"herocard.passive_skill.title.resist.buffdispels","Entfernen widerstehen"
"herocard.passive_skill.title.resist.buffimmunity","Bonusabwehr widerstehen"
"herocard.passive_skill.title.resist.burn","Verbrennen widerstehen"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Ermächtigter
Verbrennungswiderstand"
"herocard.passive_skill.title.resist.criticalhits.none","Kritischen Treffern widerstehen"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Verteidigungsver-
schlechterungen widerstehen"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Unaufhaltbare Lakaien"
"herocard.passive_skill.title.resist.frost","Frostwiderstand"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Ermächtigter Frostwiderstand"
"herocard.passive_skill.title.resist.healeffects","Heilungsverschlech-
terungen widerstehen"
"herocard.passive_skill.title.resist.healthsteal","Lebensraubverschlechterungen widerstehen"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Wahnsinn widerstehen"
"herocard.passive_skill.title.resist.manadebuffs","Manaverschlechterungen widerstehen"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Mana-Effekten und Spezialfähigkeitsblockaden widerstehen"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Manaregeneration-Effekten widerstehen"
"herocard.passive_skill.title.resist.manareduction","Mana-Reduktion widerstehen"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Verstärkter Widerstand gegen Mana-Reduktion"
"herocard.passive_skill.title.resist.maxhealthreduction","Reduktion des max. Lebens widerstehen"
"herocard.passive_skill.title.resist.poison","Gift widerstehen"
"herocard.passive_skill.title.resist.poison.burn.bleed","Gift, Verbrennung und Bluten widerstehen"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Besitzen widerstehen"
"herocard.passive_skill.title.resist.sand","Sand widerstehen"
"herocard.passive_skill.title.resist.specialblocking","Spezialfähigkeits-Blockierung widerstehen"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Verstärktes Spezialfähigkeits-Blockierung widerstehen"
"herocard.passive_skill.title.resist.stopmanageneration","Manaregeneration-Stoppung widerstehen"
"herocard.passive_skill.title.resist.water","Wasser widerstehen"
"herocard.passive_skill.title.resist_all_attack_effects","Attribut:
Winziger Rahmen"
"herocard.passive_skill.title.resist_all_defense_effects","Attribut: 
Lithe-Rahmen"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Negativen Statusänderungen von Lakaien widerstehen"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Lakaienentfernung widerstehen"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Negativen Lakaieneffekten widerstehen"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Überlegenes Widerstehen von negativen Lakaieneffekten"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Widersteht den Feinden"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Feinden und Mega-Feinden widerstehen"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Negativen Statusänderungen widerstehen"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Verringerung der Wiederbelebenschance"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Lebenverringerung beim Wiederbeleben"
"herocard.passive_skill.title.revive_chance_nine_lives","Neun Leben"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Gespenstischer Pakt"
"herocard.passive_skill.title.revivewithchance","Wiederbeleben"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Schnelles Tempo: Ballade"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Schnelles Tempo: Tanz"
"herocard.passive_skill.title.sharereceiveddamage","Erhaltenen Schaden teilen"
"herocard.passive_skill.title.short.generic","Passiv"
"herocard.passive_skill.title.short.league","Vorteil"
"herocard.passive_skill.title.short.league.non_featured","Nachteil"
"herocard.passive_skill.title.short.trait","Attribut"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Elementarmaske"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Truppenmeisterung"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Truppenmeisterung"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Verbesserte Schilde bei Spezialfähigkeit"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Verbesserte Schilde bei Spezialfähigkeit"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Verbesserte Schilde bei Spezialfähigkeit"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Verbesserte Schilde bei Spezialfähigkeit"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Verbesserte Schilde bei Spezialfähigkeit"
"herocard.passive_skill.title.specialdamagereduction","Spezialfähigkeit-Schadensverringerung"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Spezialfähigkeit-Schadensverringerung"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Kampf mit Mana beginnen"
"herocard.passive_skill.title.statmodifier.attack","Wild"
"herocard.passive_skill.title.statmodifier.defense","Gepanzert"
"herocard.passive_skill.title.statmodifier.health","Widerstandsfähig"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Erhöhung von Angriffsstatuseffekten"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Verringerung von Angriffsänderungen"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Verringerung von Angriffsänderungen"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Erhöhung von Angriffsstatuseffekten"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Verringerung von Angriffsänderungen"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Erhöhung von Verteidigungs-
statuseffekten"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Verringerung von Verteidigungsstatusänderungen"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Verringerung von Verteidigungsstatusänderungen"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Erhöhung von Verteidigungs-
statuseffekten"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Verringerung von Verteidigungsstatusänderungen"
"herocard.passive_skill.title.statuseffectdurationmodifier","Bonusdauer verlängern"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Statusänderungsdauer verkürzen"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Verteidigungs-Statusänderungsdauer verkürzen"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Bonusdauer verlängern"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Kopiert Statusänderung bei Reinigung"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Kraft des Jägers"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Zeichen des Titanenjägers"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Weichhaut des Gargoyle"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Steinhaut des Gargoyle"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Manaregenerationsbonus bei negativen Statusänderungen"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Elementarmaske"
"herocard.passive_skill.title.stylish","Fesch!"
"herocard.passive_skill.title.stylish_epic","Fesch!"
"herocard.passive_skill.title.stylish_legendary","Fesch!"
"herocard.passive_skill.title.stylish_rare","Fesch!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Setzling-Beschwörer"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Setzling-Beschwörer"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Setzling-Beschwörer"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Setzling-Beschwörer"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Setzling-Beschwörer"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Setzling-Beschwörer"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Schleimlakai bei Niederlage"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Schleimlakai bei Niederlage"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Schleimlakai bei Niederlage"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Schleimlakai bei Niederlage"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Schleimlakai bei Niederlage"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Schleimlakai-Teilung"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Schleimlakai-Teilung"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Schleimlakai-Teilung"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Schleimlakai-Teilung"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Schleimlakai-Teilung"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Beschwörung bei Brand"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Beschwörung durch Schaden über Zeit"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Lakai bei Verteidigungsschwächung rufen"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Spatzbeschwörung"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Verfluchter-Setzling-Beschwörung"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Setzling-Beschwörer"
"herocard.passive_skill.title.targetstatedependenteffectonspecial.healthboost.checkstate.all.allies.dance","Anmutige Tänzerin"
"herocard.passive_skill.title.taunt","Verspotten ignorieren"
"herocard.passive_skill.title.titan_dread_damage_minions","Furcht"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Furcht"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Furcht"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Furcht"
"herocard.passive_skill.title.titan_resist_15","Titan"
"herocard.passive_skill.title.titan_resist_16","Titan"
"herocard.passive_skill.title.titan_resist_17","Titan"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Toon"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Boni verwandeln"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Boni verwandeln"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Negative Statusänderungen verwandeln"
"herocard.passive_skill.title.wither.all.enemies","Verwelken"
