"heroes.name_fancy.astral_cosmicspeaker","Астральный эльф-астроном"
"heroes.name_fancy.s2_merwoman_costume_emissary","Посол Атлантиды"
"heroes.name_fancy.s2_noble_lady","Роковая красавица"
"heroes.name_fancy.s2_noble_lady_costume_cute","Мультяшка-красавица"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Пылающая прелесть"
"heroes.name_fancy.s2_oceanus","Морской титан"
"heroes.name_fancy.s2_oceanus_costume_volcano","Титан магмы"
"heroes.name_fancy.s2_poseidon","Правитель Атлантиды"
"heroes.name_fancy.s2_poseidon_costume_cute","Мультяшка-правитель Атлантиды"
"heroes.name_fancy.s2_poseidon_costume_slayer","Убийца Атлантиды"
"heroes.name_fancy.s2_proteus","Маг Атлантиды"
"heroes.name_fancy.s2_proteus_costume_cute","Мультяшка-маг Атлантиды"
"heroes.name_fancy.s2_proteus_costume_farseer","Прорицатель Антлантиды"
"heroes.name_fancy.s2_rugged_fisherman","Храбрый рыбак"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","Храбрый мультяшка-рыбак"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Храбрый мастер саке"
"heroes.name_fancy.s2_skyllaros","Страж Атлантиды"
"heroes.name_fancy.s2_skyllaros_costume_cute","Мультяшка-страж Атлантиды"
"heroes.name_fancy.s2_skyllaros_costume_reef","Страж рифов"
"heroes.name_fancy.s2_straw_demon","Соломенный демон"
"heroes.name_fancy.s2_tanuki_raccoon","Бесстрашный обманщик"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Бесстрашный торговец"
"heroes.name_fancy.s2_tethys","Богиня всех рек"
"heroes.name_fancy.s2_tethys_costume_steel","Мстительница всех рек"
"heroes.name_fancy.s2_triton","Капитан Атлантиды"
"heroes.name_fancy.s2_triton_costume_champion","Чемпион Атлантиды"
"heroes.name_fancy.s2_ursena","Императрица Пучин"
"heroes.name_fancy.s2_ursena_costume_cute","Мультяшка глубин"
"heroes.name_fancy.s2_ursena_costume_reef","Королева Мертвого рифа"
"heroes.name_fancy.s3_agnes","Отважный селянин"
"heroes.name_fancy.s3_alfrike","Королева Свартальфхейма"
"heroes.name_fancy.s3_alfrike_costume_hatter","Шляпница Свартальфхейма"
"heroes.name_fancy.s3_almur","Темный клинок Свартальфхейма"
"heroes.name_fancy.s3_almur_costume_lord","Лорд Свартальфхейма"
"heroes.name_fancy.s3_anwindr","Проклятый вышибала викингов"
"heroes.name_fancy.s3_baldur","Светящийся бог"
"heroes.name_fancy.s3_baldur_costume_fiery","Огненный бог"
"heroes.name_fancy.s3_bera","Принцесса дисов"
"heroes.name_fancy.s3_bera_costume_conjurer","Колдун дисов"
"heroes.name_fancy.s3_bjorn","Отважный селянин"
"heroes.name_fancy.s3_bjorn_costume_viking","Храбрый солдат"
"heroes.name_fancy.s3_brynhild","Воительница валькирий"
"heroes.name_fancy.s3_by_ulf","Проклятый драчун викингов"
"heroes.name_fancy.s3_ei_dunn","Проклятый боец викингов"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Яростный боец викингов"
"heroes.name_fancy.s3_fenrir","Предводитель Нифльхейма"
"heroes.name_fancy.s3_fenrir_costume_guardian","Страж Нифльхейма"
"heroes.name_fancy.s3_freya","Повелительница убитых"
"heroes.name_fancy.s3_freya_costume_witch","Ведьма павших"
"heroes.name_fancy.s3_frigg","Богиня предвидения"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Богиня провидения"
"heroes.name_fancy.s3_fura","Отравительница Свартальфхейма"
"heroes.name_fancy.s3_fura_costume_herbalist","Травник Свартальфхейма"
"heroes.name_fancy.s3_gefjon","Богиня урожая"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Богиня природы"
"heroes.name_fancy.s3_grevle","Хитрый барсук"
"heroes.name_fancy.s3_gullinbursti","Золотой вепрь"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Раскованный вепрь"
"heroes.name_fancy.s3_heimdall","Бдительный сторож"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Пугающий сторож"
"heroes.name_fancy.s3_jarvur","Борец-росомаха"
"heroes.name_fancy.s3_jott","Ледяной великан варваров"
"heroes.name_fancy.s3_kvasir","Пчеловод Альвхейма"
"heroes.name_fancy.s3_kvasir_costume_captain","Пчелиный командир Альвхейма"
"heroes.name_fancy.s3_loki_female","Хитрая богиня"
"heroes.name_fancy.s3_loki_female_costume_mother","Мать лукавства"
"heroes.name_fancy.s3_loki_fish","Хитрая рыба"
"heroes.name_fancy.s3_loki_fish_costume_dapper","Модная рыбешка"
"heroes.name_fancy.s3_loki_male","Хитрый бог"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","Меняющий обличья бог"
"heroes.name_fancy.s3_mireweave","Быстрый драугр"
"heroes.name_fancy.s3_mist","Командир валькирий"
"heroes.name_fancy.s3_nordri","Ледяной гном из Йотунхейма"
"heroes.name_fancy.s3_nordri_costume_explorer","Гном-исследователь из Йотунхейма"
"heroes.name_fancy.s3_norns","Ткачихи судьбы"
"heroes.name_fancy.s3_norns_costume_puppeteers","Кукловоды судьбы"
"heroes.name_fancy.s3_odin","Мудрый Всеотец"
"heroes.name_fancy.s3_odin_costume_champion","Доблестный Всеотец"
"heroes.name_fancy.s3_ratatoskr","Посланник Иггдрасиля"
"heroes.name_fancy.s3_ratatoskr_costume_architect","Зодчий Иггдрасиля"
"heroes.name_fancy.s3_shadereave","Жестокий драугр"
"heroes.name_fancy.s3_sif","Светловолосая богиня"
"heroes.name_fancy.s3_sif_costume_golden","Золотая богиня"
"heroes.name_fancy.s3_skadi","Богиня Йотунхейма"
"heroes.name_fancy.s3_skadi_costume_ravager","Стражница Йотунхейма"
"heroes.name_fancy.s3_stonecleave","Безжалостный Драугр"
"heroes.name_fancy.s3_sudri","Огненный гном из Муспельхейма"
"heroes.name_fancy.s3_sumle","Толстый огненный великан"
"heroes.name_fancy.s3_sumle_costume_unhallowed","Грешный огненный гигант"
"heroes.name_fancy.s3_thor","Бог грома"
"heroes.name_fancy.s3_thor_costume_conduit","Проводник грома"
"heroes.name_fancy.s3_tyr","Безжалостный судья"
"heroes.name_fancy.s3_tyr_costume_savage","Свирепое правосудие"
"heroes.name_fancy.s4_akkorog","Вождь морлоков"
"heroes.name_fancy.s4_akkorog_costume_football","Морлок-фулбек"
"heroes.name_fancy.s4_aouda","Принцесса с добрым сердцем"
"heroes.name_fancy.s4_aouda_costume_lotus","Принцесса лотоса"
"heroes.name_fancy.s4_captain_nemo","Интригующий исследователь"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","Загадочный механик"
"heroes.name_fancy.s4_congalach","Воин глубин"
"heroes.name_fancy.s4_congalach_costume_kelp","Воитель водорослей"
"heroes.name_fancy.s4_doctor_moreau","Коварный ученый"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","Лукавый переписчик"
"heroes.name_fancy.s4_elizabeth","Аристократка арахнидов"
"heroes.name_fancy.s4_elizabeth_costume_bride","Благородная невеста"
"heroes.name_fancy.s4_exeera","Восьминогая жрица"
"heroes.name_fancy.s4_exeera_costume_hierophant","Восьминогая проповедница"
"heroes.name_fancy.s4_garjammal","Боевой мастер морлоков"
"heroes.name_fancy.s4_garjammal_costume_kite","Мастер воздушных змеев морлоков"
"heroes.name_fancy.s4_gramps","Старейшина полуросликов"
"heroes.name_fancy.s4_gramps_costume_gardener","Полурослик-садовник"
"heroes.name_fancy.s4_griffin","Невидимка"
"heroes.name_fancy.s4_griffin_costume_priest","Невидимый жрец"
"heroes.name_fancy.s4_hannah","Археолог-авантюристка"
"heroes.name_fancy.s4_hannah_costume_drover","Погонщица-авантюристка"
"heroes.name_fancy.s4_helo","Рыбак-элой"
"heroes.name_fancy.s4_helo_costume_baker","Элой-пекарь"
"heroes.name_fancy.s4_hulda","Глава разведчиков"
"heroes.name_fancy.s4_hulda_costume_nurse","Старшая медсестра"
"heroes.name_fancy.s4_kravekrush","Эттин-командир"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","Эттин-грильмастер"
"heroes.name_fancy.s4_lepiota","Вождь элоев"
"heroes.name_fancy.s4_lepiota_costume_undying","Глава бессмертных"
"heroes.name_fancy.s4_lughaidh","Король глубин"
"heroes.name_fancy.s4_lughaidh_costume_deathless","Бессмертный король"
"heroes.name_fancy.s4_mack","Полурослик - искатель приключений"
"heroes.name_fancy.s4_mack_costume_novelist","Полурослик-писатель"
"heroes.name_fancy.s4_morel","Охотник элоев"
"heroes.name_fancy.s4_morel_costume_sage","Мудрец элоев"
"heroes.name_fancy.s4_morris","Могучий крот"
"heroes.name_fancy.s4_morris_costume_potter","Крот-горшечник"
"heroes.name_fancy.s4_octros","Восьминогий лидер"
"heroes.name_fancy.s4_octros_costume_suitor","Моллюсковый кавалер"
"heroes.name_fancy.s4_passepartout","Мудрый путешественник"
"heroes.name_fancy.s4_passepartout_costume_artist","Элегантный художник"
"heroes.name_fancy.s4_phileas_fogg","Отважный странник"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","Изысканный инженер"
"heroes.name_fancy.s4_poppy","Полурослик-арбалетчик"
"heroes.name_fancy.s4_poppy_costume_lodger","Полурослик-постоялец"
"heroes.name_fancy.s4_professor_lidenbrock","Прозорливый ученый"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","Сметливый ювелир"
"heroes.name_fancy.s4_rokkamush","Эттин-крушитель"
"heroes.name_fancy.s4_rokkamush_costume_mason","Эттин-масон"
"heroes.name_fancy.s4_russula","Элой-разбойник"
"heroes.name_fancy.s4_russula_costume_painter","Художник элоев"
"heroes.name_fancy.s4_tettukh","Морлок-дикарь"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","Морлок из команды поддержки"
"heroes.name_fancy.s4_vollermork","Морлок-скопидом"
"heroes.name_fancy.s4_vollermork_costume_bartender","Морлок-бармен"
"heroes.name_fancy.s4_xenda","Наследница подземного мира"
"heroes.name_fancy.s4_xenda_costume_flame","Наследница пламени"
"heroes.name_fancy.s4_xnolphod","Восьминогий маг"
"heroes.name_fancy.s4_xnolphod_costume_jailer","Восьминогий надсмотрщик"
"heroes.name_fancy.s4_zekena","Многоногий принц"
"heroes.name_fancy.s4_zekena_costume_vines","Принц апоцинкислот"
"heroes.name_fancy.s4_zenobia","Многоногая королева"
"heroes.name_fancy.s4_zenobia_costume_floral","Королева апоцинкислот"
"heroes.name_fancy.s4_zila_lei","Октопод-убийца"
"heroes.name_fancy.s4_zila_lei_costume_dancer","Восьминогий танцор"
"heroes.name_fancy.s5_ahhotep","Мумия-воин"
"heroes.name_fancy.s5_ahhotep_costume_champion","Мумия-победительница"
"heroes.name_fancy.s5_ahmose","Мумия-фараон"
"heroes.name_fancy.s5_ahmose_costume_reborn","Реинкарнация фараона"
"heroes.name_fancy.s5_anubis","Бог загробной жизни"
"heroes.name_fancy.s5_anubis_costume_dancefloor","Повелитель танцпола"
"heroes.name_fancy.s5_aqeela","Уличная оборванка"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","Уличная колдунья"
"heroes.name_fancy.s5_azmia","Невозмутимая хозяйка таверны"
"heroes.name_fancy.s5_azmia_costume_dancing","Танцующая трактирщица"
"heroes.name_fancy.s5_bastet","Око Луны"
"heroes.name_fancy.s5_bastet_costume_forest","Око леса"
"heroes.name_fancy.s5_bennu","Дух созидания"
"heroes.name_fancy.s5_bennu_costume_heron","Цапля Созидания"
"heroes.name_fancy.s5_cleopatra","Божественная фараонша"
"heroes.name_fancy.s5_cleopatra_costume_feline","Кошка-фараон"
"heroes.name_fancy.s5_el_naddaha","Сирена реки"
"heroes.name_fancy.s5_el_naddaha_costume_sea","Морская сирена"
"heroes.name_fancy.s5_eset","Госпожа Десяти Тысяч Имен"
"heroes.name_fancy.s5_eset_costume_goldensun","Госпожа Золотого Солнца"
"heroes.name_fancy.s5_faiez","Фартовый фермер"
"heroes.name_fancy.s5_faiez_costume_miner","Удачливый шахтер"
"heroes.name_fancy.s5_hathor","Богиня материнства"
"heroes.name_fancy.s5_hathor_costume_starlit","Звездная мать"
"heroes.name_fancy.s5_hetepheres","Лукавый сфинкс"
"heroes.name_fancy.s5_hetepheres_costume_spa","Сфинкс в спа"
"heroes.name_fancy.s5_horus","Бог охоты"
"heroes.name_fancy.s5_horus_costume_golden","Золотой охотник"
"heroes.name_fancy.s5_jarif","Утомленный летописец"
"heroes.name_fancy.s5_jarif_costume_curator","Тревожный опекун"
"heroes.name_fancy.s5_junaid","Присягнувший солдат"
"heroes.name_fancy.s5_junaid_costume_champion","Заклятый чемпион"
"heroes.name_fancy.s5_khafre","Проницательный андросфинкс"
"heroes.name_fancy.s5_khafre_costume_aquatic","Водный андросфинкс"
"heroes.name_fancy.s5_khepri","Бог-скарабей"
"heroes.name_fancy.s5_khepri_costume_overlord","Повелитель скарабеев"
"heroes.name_fancy.s5_khonshu","Бог Луны"
"heroes.name_fancy.s5_khonshu_costume_knight","Рыцарь луны"
"heroes.name_fancy.s5_maat","Богиня гармонии"
"heroes.name_fancy.s5_maat_costume_river","Госпожа Нила"
"heroes.name_fancy.s5_meresankh","Солнечный сфинкс"
"heroes.name_fancy.s5_meresankh_costume_disco","Диско-сфинкс"
"heroes.name_fancy.s5_papyros","Голем из бумаги и песка"
"heroes.name_fancy.s5_papyros_costume_colossus","Колосс из бумаги и песка"
"heroes.name_fancy.s5_ptolemy","Старый фараон"
"heroes.name_fancy.s5_ptolemy_costume_log","Древний чурбан"
"heroes.name_fancy.s5_rekhetre","Юный сфинкс"
"heroes.name_fancy.s5_rekhetre_costume_artist","Юная художница"
"heroes.name_fancy.s5_scoratek","Страж-скарабей"
"heroes.name_fancy.s5_scoratek_costume_sentinel","Страж-скарабей"
"heroes.name_fancy.s5_sekhmet","Око Солнца"
"heroes.name_fancy.s5_sekhmet_costume_warden","Стражница солнца"
"heroes.name_fancy.s5_set","Темный узурпатор"
"heroes.name_fancy.s5_set_costume_tyrant","Темный тиран"
"heroes.name_fancy.s5_sneferu","Лунный сфинкс"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","Покоритель луны"
"heroes.name_fancy.s5_sobek","Бог реки"
"heroes.name_fancy.s5_sobek_costume_guardian","Страж реки"
"heroes.name_fancy.s5_tetisheri","Королева мумий"
"heroes.name_fancy.s5_tetisheri_costume_molten","Расплавленная королева"
"heroes.name_fancy.s5_waqas","Щит фараона"
"heroes.name_fancy.s5_waqas_costume_blade","Клинок фараона"
"heroes.name_fancy.sand_horse","Верный жеребец Песочной империи"
"heroes.name_fancy.sand_king","Король Песочной империи"
"heroes.name_fancy.sand_king_costume_lifeguard","Король спасателей"
"heroes.name_fancy.sand_queen","Королева Песочной империи"
"heroes.name_fancy.sand_queen_costume_surfer","Королева серферов"
"heroes.name_fancy.sand_roc","Защитник Песочной империи"
"heroes.name_fancy.sand_roc_costume_juice","Защитник берега"
"heroes.name_fancy.sand_soldier","Солдат Песочной империи"
"heroes.name_fancy.sand_tower","Гигант Песочной империи"
"heroes.name_fancy.sand_vizier","Визир Песочной империи"
"heroes.name_fancy.scoundrel_duval","Лучник-хитрец"
"heroes.name_fancy.scoundrel_lane","Придорожный бандит"
"heroes.name_fancy.shadow_abigail","Журналистка-расследовательница"
"heroes.name_fancy.shadow_asketel","Искатель утерянных знаний"
"heroes.name_fancy.shadow_atwood","Очарованный Неизвестным"
"heroes.name_fancy.shadow_burton","Гомункул-следователь"
"heroes.name_fancy.shadow_cthuwu","Потомок Древних богов"
"heroes.name_fancy.shadow_dolores","Бесстрашный частный следователь"
"heroes.name_fancy.shadow_gwendoline","Фанатичный археолог"
"heroes.name_fancy.shadow_hunter","Наследник Древних богов"
"heroes.name_fancy.shadow_hysteria","Собиратель мистических артефактов"
"heroes.name_fancy.shadow_melancholia","Служитель старых богов"
"heroes.name_fancy.shadow_omen","Посвященный Дьявольскому рифу"
"heroes.name_fancy.shadow_penelope","Яростная бывшая библиотекарша"
"heroes.name_fancy.shadow_rashan","Знаток хулу-метала"
"heroes.name_fancy.shadow_rosanna","Меткая лучница"
"heroes.name_fancy.shadow_salvatore","Пострадавший медиум"
"heroes.name_fancy.shadow_shoggo","Меняющий облики проводник"
"heroes.name_fancy.shadow_wulfstan","Творец сверхъестественного снаряжения"
"heroes.name_fancy.shadow_zavinia","Гибрид Глубин"
"heroes.name_fancy.slayer_aodhan","Пылающий"
"heroes.name_fancy.slayer_caitlin","Просветленная"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Крестоносица-юстициар"
"heroes.name_fancy.slayer_cathal","Храбрый"
"heroes.name_fancy.slayer_cillian","Бессмертный"
"heroes.name_fancy.slayer_maeve","Незримая"
"heroes.name_fancy.slayer_noril","Свирепый"
"heroes.name_fancy.slayer_orla","Достойная"
"heroes.name_fancy.slayer_rian","Надежный"
"heroes.name_fancy.slayer_saoirse","Неукротимая"
"heroes.name_fancy.slayer_saoirse_costume_knight","Сокрушительница"
"heroes.name_fancy.slayer_senan","Проклятый"
"heroes.name_fancy.slayer_senan_costume_tentacles","Слуга-цефалоид"
"heroes.name_fancy.slime_achillea","Бесстрашная слизь-гладиатор"
"heroes.name_fancy.slime_boboosang","Старый слизь-торговец"
"heroes.name_fancy.slime_bulklug","Слизь-строитель шаров"
"heroes.name_fancy.slime_charmione","Чарующая театральная слизь"
"heroes.name_fancy.slime_chingiriko","Теневая слизь-следопыт"
"heroes.name_fancy.slime_choozen","Застенчивая слизь сундуков"
"heroes.name_fancy.slime_fruitio","Склизкий любитель фруктов"
"heroes.name_fancy.slime_fungustine","Живительная лесная слизь"
"heroes.name_fancy.slime_gloozmer","Вежливый склизкий хитрец"
"heroes.name_fancy.slime_goldrip","Золотой склизкий король"
"heroes.name_fancy.slime_gooldron","Ученый слизняк из котла"
"heroes.name_fancy.slime_goorian","Варварская жижа"
"heroes.name_fancy.slime_gooric","Мудрый слизняк святилища"
"heroes.name_fancy.slime_gooze","Сбежавший из лаборатории слизняк"
"heroes.name_fancy.slime_gunktus","Неутомимый боевой шар"
"heroes.name_fancy.slime_harubo","Склизкий патрульный"
"heroes.name_fancy.slime_justico","Слизь-защитник"
"heroes.name_fancy.slime_knightus","Рыцарственный храмовый слизняк"
"heroes.name_fancy.slime_labblub","Любопытный склизкий ученый"
"heroes.name_fancy.slime_magistine","Заклинательная слизь"
"heroes.name_fancy.slime_mucktus","Враждебный лесной пузырь"
"heroes.name_fancy.slime_slaymire","Упрямый склизкий палач"
"heroes.name_fancy.slime_slimgo","Хитрый разбойный слизняк"
"heroes.name_fancy.slime_sliposi","Скользкий склизкий курьер"
"heroes.name_fancy.slime_sludgus","Поющий в таверне слизень"
"heroes.name_fancy.slime_verdigoo","Тягучий изумрудный арбитр"
"heroes.name_fancy.slime_zestique","Краснеющая милая слизь"
"heroes.name_fancy.styx_amphitrite","Богиня моря"
"heroes.name_fancy.styx_arges","Циклоп - торговец зельями"
"heroes.name_fancy.styx_brontes","Циклоп-фермер"
"heroes.name_fancy.styx_charon","Стигийский паромщик"
"heroes.name_fancy.styx_dante","Исследователь подземного мира"
"heroes.name_fancy.styx_erebus","Бог глубокой тьмы"
"heroes.name_fancy.styx_hypnos","Повелитель сна"
"heroes.name_fancy.styx_nemesis","Богиня божественного возмездия"
"heroes.name_fancy.styx_nyx","Мать Ночь"
"heroes.name_fancy.styx_steropes","Циклоп-художник"
"heroes.name_fancy.styx_thanatos","Бог мирной кончины"
"heroes.name_fancy.styx_virgil","Проводник по подземному миру"
"heroes.name_fancy.tales1_aqualith","Элементаль-пехотинец"
"heroes.name_fancy.tales1_aqualith_costume_purple","Стихийный колосс"
"heroes.name_fancy.tales1_atlanteia","Ледниковая нимфа глубин"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Ледниковая сирена глубин"
"heroes.name_fancy.tales1_bagreg","Лидер рыбаков-повстанцев"
"heroes.name_fancy.tales1_bagreg_costume_scout","Юный подводный разведчик"
"heroes.name_fancy.tales1_ceto","Древняя богиня морских монстров"
"heroes.name_fancy.tales1_ceto_costume_queen","Древняя королева морских монстров"
"heroes.name_fancy.tales1_domiventus","Порождение вечных пучин"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Величайшее порождение пучин"
"heroes.name_fancy.tales1_ephyra","Принцесса морских нимф"
"heroes.name_fancy.tales1_ephyra_costume_reef","Принцесса рифа"
"heroes.name_fancy.tales1_galapago","Мудрец океанов"
"heroes.name_fancy.tales1_galapago_costume_quarry","Мудрый прокатчик карьера"
"heroes.name_fancy.tales1_gelert","Охотник за сокровищами глубин"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Падальщик глубин"
"heroes.name_fancy.tales1_gestalt","Принц вечных глубин"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Принц вечных жемчужин"
"heroes.name_fancy.tales1_jaco","Уклончивый торгаш глубин"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Изворотливый алхимик глубин"
"heroes.name_fancy.tales1_lasalle","Эксцентричный гусар Атлантиды"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Эксцентричный жокей Атлантиды"
"heroes.name_fancy.tales1_medea","Королева-наг глубин"
"heroes.name_fancy.tales1_medea_costume_goddess","Нага-богиня глубин"
"heroes.name_fancy.tales1_mulgog","Рыбак-мародер"
"heroes.name_fancy.tales1_mulgog_costume_bard","Подводный бард"
"heroes.name_fancy.tales1_persa","Разбойный дух воды"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Благородная медуза"
"heroes.name_fancy.tales1_phorcys","Древний бог глубин"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Бог-воитель Глубин"
"heroes.name_fancy.tales1_sharkhai","Великий предатель"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Угловатый мясник"
"heroes.name_fancy.tales1_spartoi","Наг-берсеркер"
"heroes.name_fancy.tales1_spartoi_costume_guard","Наг-стражник"
"heroes.name_fancy.tales1_thalassa","Древняя богиня океанов"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Древняя богиня кристаллов"
"heroes.name_fancy.tales1_ultrox","Хранитель храма глубин"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Вытягиватель глубин"
"heroes.name_fancy.tales2_aethslegaur","Искатель огня гномов"
"heroes.name_fancy.tales2_andvari","Оракул гномов"
"heroes.name_fancy.tales2_bragi","Гном-боксер"
"heroes.name_fancy.tales2_bryggvir","Гномский наездник на козле"
"heroes.name_fancy.tales2_dagr","Шаман из гномьих гор"
"heroes.name_fancy.tales2_dain","Гномская специалистка по осаде"
"heroes.name_fancy.tales2_dularfulr","Темная провидица гномов"
"heroes.name_fancy.tales2_fafnir","Гномская владычица Миркхейма"
"heroes.name_fancy.tales2_fimafeng","Гном-выживальщик"
"heroes.name_fancy.tales2_fjalar","Золотой скальд гномов"
"heroes.name_fancy.tales2_fjalar_costume_undead","Призрачный скальд гномов"
"heroes.name_fancy.tales2_gandr","Воительница ветра гномов"
"heroes.name_fancy.tales2_gandr_costume_guardian","Гномская королевская солдатка"
"heroes.name_fancy.tales2_helgi","Яростный бегун гномов"
"heroes.name_fancy.tales2_helgi_costume_combatant","Восстановитель гномов"
"heroes.name_fancy.tales2_hogne","Гном - великий рыцарь"
"heroes.name_fancy.tales2_hreidmarr","Король из гномьих гор"
"heroes.name_fancy.tales2_motsognir","Гном-пограничный дикарь"
"heroes.name_fancy.tales2_ott","Веселый обманщик гномов"
"heroes.name_fancy.tales2_ott_costume_herbalist","Маэстро-обманщик гномов"
"heroes.name_fancy.tales2_regin","Сказочная принцесса гномов"
"heroes.name_fancy.tales2_regin_costume_omen","Падшая принцесса гномов"
"heroes.name_fancy.tales2_snorri","Гном-рассказчик"
"heroes.name_fancy.tales2_svafa","Гном-охотник за крупной дичью"
"heroes.name_fancy.tales2_thrivaldi","Гномский искатель мороза"
"heroes.name_fancy.trainer","Наемник"
"heroes.name_fancy.tribal_chief","Предводитель племен"
"heroes.name_fancy.tribal_chief_costume_conqueror","Мститель племени"
"heroes.name_fancy.tribal_chief_costume_cute","Вождь мультяшек"
"heroes.name_fancy.tribal_chief_costume_glass","Предводитель витражей"
"heroes.name_fancy.tribal_chief_costume_leopard","Вождь леопардов"
"heroes.name_fancy.undead_captain_warrior","Заклятый лорд"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Скованный смертью мультяшка"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Скованный смертью витраж"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Бессмертный принц"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Смертельный гуляка"
"heroes.name_fancy.undead_female_warrior","Заклятая леди"
"heroes.name_fancy.undead_female_warrior_costume_cute","Бессмертная мультяшка"
"heroes.name_fancy.undead_female_warrior_costume_glass","Скованный смертью витраж"
"heroes.name_fancy.undead_female_warrior_costume_princess","Бессмертная принцесса"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Связанная смертью принцесса"
"heroes.name_fancy.undead_horned_skeleton","Безжалостный скелет"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Беспокойный мультяшка"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Шутовской скелет"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Неутомимый витраж"
"heroes.name_fancy.undead_running_skeleton","Мрачный скелет"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Важный мультяшка"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Стеклянные останки"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Скелет-легионер"
"heroes.name_fancy.undead_screaming_zombie","Шаркающий скелет"
"heroes.name_fancy.underworld_champion","Преторианский телохранитель"
"heroes.name_fancy.underworld_champion_costume_champion","Преторианский гладиатор"
"heroes.name_fancy.underworld_champion_costume_cute","Преторианский мультяшка"
"heroes.name_fancy.underworld_champion_costume_glass","Преторианский витраж"
"heroes.name_fancy.underworld_champion_costume_vampire","Преторианский вампир"
"heroes.name_fancy.valentines_anteros","Купидон вернувшейся любви"
"heroes.name_fancy.valentines_cupido","Купидон привязанности"
"heroes.name_fancy.valentines_elba","Надежный защитник любви"
"heroes.name_fancy.valentines_eros","Купидон страсти"
"heroes.name_fancy.valentines_himeros","Купидон невзаимной любви"
"heroes.name_fancy.valentines_kabeiroi","Влюбленный фанат механизмов"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Орочья сваха"
"heroes.name_fancy.valentines_phthonus","Купидон ревности"
"heroes.name_fancy.valentines_voluptas","Купидон удовольствий"
"heroes.name_fancy.valentines_zarola","Купидон разбитых сердец"
"heroes.name_fancy.vampire_king","Король вампиров"
"heroes.name_fancy.vampire_king_costume_mafia","Король преступного мира"
"heroes.name_fancy.vampire_lord","Головорез вампиров"
"heroes.name_fancy.vampire_queen","Дитя ночи"
"heroes.name_fancy.vegetable_bartholomew","Варвар-болгарский перец"
"heroes.name_fancy.vegetable_elsbeth","Свекольный рыцарь"
"heroes.name_fancy.villain_asterius","Чудовищный минотавр"
"heroes.name_fancy.villain_crystalis","Кристальная императрица"
"heroes.name_fancy.villain_dark_lord","Проклятие Каремдола"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Астроном Каремдола"
"heroes.name_fancy.villain_edd","Железнолобый громила"
"heroes.name_fancy.villain_ingolf","Проклятый хэрсир"
"heroes.name_fancy.villain_isrod","Проклятый ярл"
"heroes.name_fancy.villain_karnov","Мордоворот-чемпион"
"heroes.name_fancy.villain_karnov_costume_jammies","Громила-на-ночь"
"heroes.name_fancy.villain_sanngrior","Павшая валькирия"
"heroes.name_fancy.villain_skrekok","Крысиный плут"
"heroes.name_fancy.villain_toxicandra","Властительница Церберы"
"heroes.name_fancy.villain_toxicandra_costume_rose","Властительница Флоры"
"heroes.name_fancy.wild_cat_catalina","Венец джунглей"
