"specials.name.a_cozy_break","Уютный перерыв"
"specials.name.spiritual_unity","Прекрасный пир"
"specials.name.spiritual_wire","Духовная проволока"
"specials.name.splintering_shot","Расщепляющий выстрел"
"specials.name.splintering_shot2","Расщепляющий выстрел"
"specials.name.spotting_trouble","Приближение неприятностей"
"specials.name.spreading_gossip","Распространение сплетен"
"specials.name.spreading_shadow","Растекающаяся тень"
"specials.name.sprite_ballad","Баллада феи"
"specials.name.sprite_hymn","Гимн фей"
"specials.name.squeak_of_protection","Защитный визг"
"specials.name.squire_strike","Удар оруженосца"
"specials.name.squires_squirrel","Белка оруженосца"
"specials.name.stab_of_four_blades","Удар четырех клинков"
"specials.name.staff_of_mana_control","Посох контроля маны"
"specials.name.staff_of_mana_control_pve","Посох контроля маны"
"specials.name.staff_of_the_seastar","Посох морской звезды"
"specials.name.staggering_blows","Ошеломляющие удары"
"specials.name.stalling_spell","Тормозящие чары"
"specials.name.stalling_strike","Замедляющий удар"
"specials.name.stalwart_rally","Надежное шествие"
"specials.name.stalwart_to_the_end","Стойкость до конца"
"specials.name.standing_fortress","Устойчивая крепость"
"specials.name.standing_fortress3","Устойчивая крепость"
"specials.name.star_construct","Звездный план"
"specials.name.star_trail","Звездный след"
"specials.name.starplay","Игра звезд"
"specials.name.stately_retribution","Величественное возмездие"
"specials.name.stellar_beam","Звездный луч"
"specials.name.sticky_express","Липкий экспресс"
"specials.name.sticky_spear","Липкое копье"
"specials.name.stiletto_cyclone","Циклон кинжалов"
"specials.name.stolen_tarts","Украденные пирожки"
"specials.name.stomp","Втаптывание"
"specials.name.stone_skin","Духовная связь"
"specials.name.storm_of_blades","Вихрь клинков"
"specials.name.strange_incense","Странная курильница"
"specials.name.strategic_slash","Птичий порез"
"specials.name.strength_of_the_accursed","Сила проклятых"
"specials.name.strength_of_the_benemoth","Сила Бегемота"
"specials.name.strengthening_draught","Усиливающий глоток"
"specials.name.strengthening_smash","Усиливающий удар"
"specials.name.strict_standards","Строгие стандарты"
"specials.name.strike_and_support","Удар и поддержка"
"specials.name.strike_from_the_shadows","Удар из облаков"
"specials.name.strike_from_the_skies","Удар с небес"
"specials.name.strike_of_a_thousand_howls","Удар тысячи воплей"
"specials.name.strike_of_the_ancients","Атака древних"
"specials.name.strike_of_the_cobra","Бросок кобры"
"specials.name.strike_of_the_monolith","Удар монолита"
"specials.name.strike_of_the_toons","Атака мультяшек"
"specials.name.strike_of_the_underworld","Удар Бездны"
"specials.name.struck_by_thunder","Удар грома"
"specials.name.stubby_reap","Жнивье"
"specials.name.stunning_blow","Парализующий удар"
"specials.name.stunning_spear","Оглушающее копье"
"specials.name.stunning_steel","Ошеломительная сталь"
"specials.name.stunning_strike","Оглушающий удар"
"specials.name.stupendous_break_in","Восхитительное вторжение"
"specials.name.sturdy_riposte","Крепкий ответный удар"
"specials.name.subduing_strike","Подчиняющий удар"
"specials.name.sublime_pastry","Подозрительное пирожное"
"specials.name.sudden_attack","Внезапная атака"
"specials.name.suffocating_smoke","Удушливый дым"
"specials.name.suffocating_smoke2","Удушливый дым"
"specials.name.suffocating_smoke3","Удушливый дым"
"specials.name.sugar_rush","Сахарная эйфория"
"specials.name.summer_carol","Летний хорал"
"specials.name.summers_end","Морозный финал"
"specials.name.summon_ballerina_fiend","Призыв балерин"
"specials.name.summon_celestial_guardians","Призыв небесных стражей"
"specials.name.summon_rock_golems","Призыв каменных големов"
"specials.name.summon_sand_golems","Призыв песочных големов"
"specials.name.summon_temple_guardians","Призвать храмовых стражей"
"specials.name.sunken_abyss","Бездны глубин"
"specials.name.sunken_magma_cube","Утопленный куб магмы"
"specials.name.sunscreen_blast","Солнцезащитный взрыв"
"specials.name.sunstone_glare_dragon_pve","Взор камня солнца"
"specials.name.super_duper_spray","Супер-дупер-спрей"
"specials.name.super_porridge","Супер овсянка"
"specials.name.superb_sake","Великолепное саке"
"specials.name.supercharged_fireball_dragon_pve","Супермощный огненный шар"
"specials.name.supernova","Супернова"
"specials.name.supernova_boss_phase1","Сверхновая"
"specials.name.supernova_boss_phase2","Сверхновая Этерния"
"specials.name.suppressing_ki","Подавляющая ци"
"specials.name.sure_fire_combustion","Абсолютное воспламенение"
"specials.name.surprise_goo","Внезапная слизь!"
"specials.name.suspicious_stew","Подозрительное варево"
"specials.name.swamp_skin","Болотная кожа"
"specials.name.sweet_berry_blast_dragon_pve","Взрыв сладости"
"specials.name.sweet_dreams","Сладкие сны"
"specials.name.swift_little_friends","Стремительные крошки"
"specials.name.swift_stingers","Быстрое жало"
"specials.name.swooping_support","Поразительная поддержка"
"specials.name.swooping_talon","Пикирующий коготь"
"specials.name.sword_barricade","Баррикада из мечей"
"specials.name.sword_dance","Танец мечей"
"specials.name.sword_of_swan_song","Меч лебединой песни"
"specials.name.sword_of_wei","Меч Вэй"
"specials.name.sylvan_blessings","Благословение фавна"
"specials.name.symphonic_pulverizer","Симфонический пульверизатор"
"specials.name.tackle","Снаряд"
"specials.name.tactical_cut","Ловкий порез"
"specials.name.tail_bash","Удар хвостом"
"specials.name.tail_slam","Удар хвостом"
"specials.name.tail_slam_deadly","Удар хвостом"
"specials.name.tail_sting","Жалящий хвост"
"specials.name.tail_sting_deadly","Жалящий хвост"
"specials.name.tainted_axe","Оскверненный топор"
"specials.name.tambourine_solo","Соло тамбурина"
"specials.name.tangy_berry_blast_dragon_pve","Вяжущий взрыв"
"specials.name.tantrum_of_forest","Гнев мультяшек"
"specials.name.teeth_of_the_river","Клык реки"
"specials.name.tempered_blade","Закаленный клинок"
"specials.name.tentacle_jab","Тычок тентаклем"
"specials.name.tentacle_slash","Атака тентаклем"
"specials.name.terrifying_screech","Ужасающий скрежет"
"specials.name.terror_shriek","Вопль ужаса"
"specials.name.testudo_rock","Камень черепахи"
"specials.name.testudo_roll","Накат черепахой"
"specials.name.testudo_roll_deadly","Накат черепахи"
"specials.name.the_call_to_hibernate","Призыв к покою"
"specials.name.the_dukes_investigation","Расследование герцога"
"specials.name.the_eagles_blessing","Благословение орла"
"specials.name.the_mighty_crescendo","Мощное крещендо"
"specials.name.the_perfect_throw","Идеальный бросок"
"specials.name.the_queens_radiance","Королевский блеск"
"specials.name.the_queens_speech","Речь королевы"
"specials.name.the_two_sides_of_the_moon","Две стороны луны"
"specials.name.thorned_slam_dunk","Шипастый заброс"
"specials.name.thousand_cuts","Тысяча ножей"
"specials.name.thousand_palm_strikes","Тысяча ударов ладонями"
"specials.name.three_bandit_mice","Три мыши-разбойницы"
"specials.name.three_blind_mice","Три слепых мышки"
"specials.name.three_little_rams","Три барашка"
"specials.name.thresher_worms","Черви-молотильщики"
"specials.name.thrilling_clash","Бодрящее столкновение"
"specials.name.throwing_daggers","Броски кинжалов"
"specials.name.throwing_stars","Метание звезд"
"specials.name.thunder_ultimatum","Громовой ультиматум"
"specials.name.thunderbolt","Удар молнии"
"specials.name.thundering_strike","Громовой удар"
"specials.name.thunderstorm","Рокот грома"
"specials.name.thunderstrike","Громовой ультиматум"
"specials.name.tidal_force","Приливная сила"
"specials.name.tidal_vortex","Приливный водоворот"
"specials.name.tidal_wave","Волна-убийца"
"specials.name.tidal_waves","Волны прилива"
"specials.name.tidy_up","Уборка!"
"specials.name.time_rewind","Перемотка времени"
"specials.name.timeless_timepiece","Вечные часы"
"specials.name.titanbone_chain_slash","Цепь титановых ударов"
"specials.name.titantooth_blade","Клык титана"
"specials.name.to_the_rescue","На помощь!"
"specials.name.tome_of_the_stag","Книга оленя"
"specials.name.toon_attack","Мультяшная атака"
"specials.name.toon_barrage","Мультяшный заслон"
"specials.name.toon_bite","Мультяшный укус"
"specials.name.toon_brew","Мультяшное зелье"
"specials.name.toon_chop","Мультяшный удар"
"specials.name.toon_cleave","Мультяшный раскол"
"specials.name.toon_counter","Мультсчетчик"
"specials.name.toon_cut","Мультяшный порез"
"specials.name.toon_finisher","Мультяшный добивающий удар"
"specials.name.toon_fury","Мультяшная ярость"
"specials.name.toon_hit","Мультяшный кулак"
"specials.name.toon_jolt","Мультяшный шок"
"specials.name.toon_link","Мультяшная связь"
"specials.name.toon_mist","Мультяшный туман"
"specials.name.toon_riposte","Мультяшный выпад"
"specials.name.toon_shot","Мультяшный выстрел"
"specials.name.toon_slam","Мультяшный удар"
"specials.name.toon_slash","Мультяшный разрез"
"specials.name.toon_stab","Мультяшный удар"
"specials.name.toon_stars","Мультяшные звезды"
"specials.name.toon_storm","Мультяшный шторм"
"specials.name.toon_traps","Мультяшные ловушки"
"specials.name.toon_ultimatum","Мультяшный ультиматум"
"specials.name.toon_vines","Мультяшные лозы"
"specials.name.toonball","Мультшар"
"specials.name.tooncry","Мульткрик"
"specials.name.toonpower_pulverizer","Распылитель мультяшной силы"
"specials.name.toons_order","Орден мультяшек"
"specials.name.toontastic_fog","Мультастический туман"
"specials.name.toontastic_link","Мультяшная связь"
"specials.name.toontastic_pulverizer","Мультастический распылитель"
"specials.name.toontastic_riposte","Чудесная мультяшная контратака"
"specials.name.toontastic_smash","Мультастический шмяк"
"specials.name.toontastic_strike","Мультастический бац"
"specials.name.total_beatdown","Страшное избиение"
"specials.name.tough_love","Любовная пушка"
"specials.name.towers_curse","Песчаный шторм"
"specials.name.toxic_berry_blast","Ядовитый ягодный взрыв"
"specials.name.toxic_bile","Ядовитая желчь"
"specials.name.toxic_flames","Токсичное пламя"
"specials.name.toxic_fumes","Токсичные пары"
"specials.name.toxic_gas_cloud","Облако ядовитого газа"
"specials.name.toxic_headbutt","Отравляющий удар головой"
"specials.name.toxic_incense","Ядовитое испарение"
"specials.name.toxic_spit","Ядовитая слюна"
"specials.name.toxic_stinger","Ядовитое жало"
"specials.name.toxic_traps","Ядовитые ловушки"
"specials.name.toxic_tricks","Ядовитый трюк"
"specials.name.toxicadendra","Ускоренный рост"
"specials.name.trainer_blast","Взрыв тренера"
"specials.name.trainer_slash","Удар тренера"
"specials.name.tranquil_mist","Успокаивающий туман"
"specials.name.transcendental_charge","Призрачный заряд"
"specials.name.transcendental_frame","Призрачная рамка"
"specials.name.transfigure","Трансфигурация"
"specials.name.travelers_snack","Закуска путешественника"
"specials.name.trial_of_darkness","Испытание тьмы"
"specials.name.trial_of_fauna","Испытание природы"
"specials.name.trial_of_fire","Испытание огня"
"specials.name.trial_of_flames","Испытание пламени"
"specials.name.trial_of_flora","Испытание растений"
"specials.name.trial_of_frost","Испытание мороза"
"specials.name.trial_of_ice","Испытание льда"
"specials.name.trial_of_nature","Испытание Природы"
"specials.name.trial_of_pain","Испытание боли"
"specials.name.trial_of_the_moon","Испытание луны"
"specials.name.trial_of_the_sun","Испытание солнца"
"specials.name.trial_of_the_waters","Испытания вод"
"specials.name.tribal_rage","Племенная ярость"
"specials.name.tribal_rage_pve","Племенная ярость"
"specials.name.trick_of_the_trade","На все руки трюки"
"specials.name.tricksters_buff","Бутылка"
"specials.name.tricksters_damage","Мечи"
"specials.name.tricksters_exchange","Уловка хитреца"
"specials.name.tricksters_lullaby","Колыбельная трикстера"
"specials.name.tricksters_malice","Безумие хитреца"
"specials.name.tricksters_mischief","Проказы хитреца"
"specials.name.tricksters_negative","Заморозки"
"specials.name.tricksters_transformation","Трансформация хитреца"
"specials.name.triple_stab","Тройной удар"
"specials.name.triumph_of_strategy","Стратегический триумф"
"specials.name.tropical_ambush","Тропическая засада"
"specials.name.tumbling_dragon","Падающий дракон"
"specials.name.tumbling_dragon2","Падающий дракон"
"specials.name.twilight_of_crimes","Полночные преступления"
"specials.name.twilight_of_ruin","Полночные руины"
"specials.name.twilight_of_sorrow","Сумерки скорби"
"specials.name.twilight_star_strike","Удар сумеречной звезды"
"specials.name.twilight_tricks","Полночные трюки"
"specials.name.twist_of_fate","Поворот судьбы"
"specials.name.twist_of_fate_minor","Извращенная судьба"
"specials.name.twostep_swing","Удар в два шага"
"specials.name.ultimate_giftsack","Великолепный мешок подарков"
"specials.name.unbreakable_brawler","Несокрушимый буян"
"specials.name.unbroken_assault","Непрерывная атака"
"specials.name.unchained_jaws","Неудержимые челюсти"
"specials.name.unchained_jaws_ultimate_boss","Неудержимые челюсти"
"specials.name.undead_obliteration","Зомби-истребитель"
"specials.name.undead_rage","Колдовская стрела"
"specials.name.undead_razer","Мясник-зомби"
"specials.name.under_the_surf","Под прибоем"
"specials.name.underwater_magma_cube","Подводный куб магмы"
"specials.name.underwater_riddle","Подводная загадка"
"specials.name.undying_heads","Зомби-головы"
"specials.name.undying_heads_ultimate_boss","Головы гидры"
"specials.name.undying_incantation","Бессмертное заклинание"
"specials.name.undying_summon","Бессмертный призыв"
"specials.name.unerring_course","Верный курс"
"specials.name.unfeeling_assailing","Неощутимая атака"
"specials.name.unhallowed_spirits","Грешные духи"
"specials.name.unholy_light","Нечестивый свет"
"specials.name.unholy_rain","Нечестивый дождь"
"specials.name.unite_and_oppose","Сопротивление и уничтожение"
"specials.name.unnatural_pact","Пожиратель жизни"
"specials.name.unrelenting_hunter","Неумолимый охотник"
"specials.name.unrelenting_riposte","Беспощадный ответный удар"
"specials.name.unstoppable_charge","Неостановимая атака"
"specials.name.unstoppable_growl","Неудержимый рык"
"specials.name.unwavering_devotion","Стойкая привязанность"
"specials.name.unwavering_devotion_pve","Стойкая привязанность"
"specials.name.unwavering_focus","Непоколебимый фокус"
"specials.name.unyielding_protector","Непоколебимый защитник"
"specials.name.unyielding_sword","Стойкий меч"
"specials.name.ursine_protection","Медвежья защита"
"specials.name.valiant_lunge","Доблестный бросок"
"specials.name.valkyrie_charge","Натиск валькирии"
"specials.name.valkyrie_defense","Защита валькирии"
"specials.name.valkyrie_resistance","Сопротивление валькирии"
"specials.name.valkyrie_rush","Рывок валькирии"
"specials.name.valkyries_fortitude","Крепость валькирии"
"specials.name.valorant_strike","Доблестный удар"
"specials.name.valuable_contribution","Ценный вклад"
"specials.name.vampire_killer","Убийца вампиров"
"specials.name.vampiric_cleave","Вампирский удар"
"specials.name.vampiric_curse","Проклятье вампира"
"specials.name.vampiric_heist","Вампирский грабеж"
"specials.name.vampiric_touch","Прикосновение вампира"
"specials.name.vanguard_of_passion","Авангард страсти"
"specials.name.vapors_of_the_underworld","Туманы подземного мира"
"specials.name.vast_ward","Крепкая оборона"
"specials.name.vengeance_of_owlhalla","Месть Совальхаллы"
"specials.name.vengeful_backstab","Удар в спину"
"specials.name.vengeful_scythe","Серп мести"
"specials.name.venom_slash","Ядовитый удар"
"specials.name.venomfang_concoction","Зелье ядовитого клыка"
"specials.name.venomous_claws","Ядовитые когти"
"specials.name.venomous_jab","Отравленный удар"
"specials.name.venomous_spores","Ядовитые споры"
"specials.name.venomous_sting_dragon_pve","Ядовитый укол"
"specials.name.verdant_mirror","Неопытное зеркало"
"specials.name.vertical_slash","Вертикальный удар"
"specials.name.vicious_axe","Яростный топор"
"specials.name.vicious_cyclone","Свирепый циклон"
"specials.name.vicious_strike","Подлый удар"
"specials.name.vicious_trap","Свирепая ловушка"
"specials.name.vigilante_punch","Удар мстителя"
"specials.name.vigorous_aegis","Энергичная защита"
"specials.name.vigorous_villanelle","Энергичная вилланелла"
"specials.name.vile_blessing","Ослабляющее проклятье"
"specials.name.villain_swing","Удар злодея"
"specials.name.viper_blade","Клинок гадюки"
"specials.name.viper_blade_costume_bear_slayer","Медвежий клинок"
"specials.name.vitalizing_show","Живительное шоу"
"specials.name.vitrail_flames","Витражные огни"
"specials.name.viziers_curse","Песчаный шторм"
"specials.name.voice_of_authority","Властный голос"
"specials.name.void_blast","Вакуумный взрыв"
"specials.name.void_bomb","Пустотная бомба"
"specials.name.void_orb_dragon_pve","Сфера пустоты"
"specials.name.voidshield","Щит пустоты"
"specials.name.volcanic_blast","Вулканический выплеск"
"specials.name.volcanic_boulders","Вулканические валуны"
"specials.name.volcanic_eruption","Извержение вулкана"
"specials.name.volcanic_explosion","Вулканический взрыв"
"specials.name.volcanic_flareup","Вулканическая вспышка"
"specials.name.volcanic_rush","Вулканическая скорость"
"specials.name.volcanic_shell","Вулканическая скорлупа"
"specials.name.volcanic_tantrum","Мультяшный взрыв"
"specials.name.voluminous_vigor","Могучая сила"
"specials.name.wall_of_ice","Ледяная стена"
"specials.name.wall_of_ki","Стена ци"
"specials.name.wall_of_ki2","Стена ци"
"specials.name.wall_of_swords","Стена мечей"
"specials.name.wallet_pulverizer","Распыляющий абак"
"specials.name.wand_of_mana_control","Палочка контроля маны"
"specials.name.wandering_star_shot","Выстрел блуждающей звезды"
"specials.name.war_feast","Праздник войны"
"specials.name.war_song","Песнь войны"
"specials.name.warcry","Боевой клич"
"specials.name.warcry_of_the_hunt","Боевой клич охотника"
"specials.name.warcry_of_the_jungle","Охотничий клич джунглей"
"specials.name.warding_off_evil","Защита от зла"
"specials.name.warped_timepiece","Фрагмент искаженного времени"
"specials.name.water_jet_dragon_pve","Водяная струя"
"specials.name.waters_of_nourishment","Питающие воды"
"specials.name.watery_grave","Водяная могила"
"specials.name.weakening_strike","Ослабляющий удар"
"specials.name.web_of_spies","Паутина лжи"
"specials.name.whimsical_aid","Причудливая помощь"
"specials.name.whirlpool","Водоворот"
"specials.name.whirlpool_dash","Рывок водоворота"
"specials.name.whirlwind_blows","Поднимается вихрь"
"specials.name.whispers_of_xulu","Шепот Зулу"
"specials.name.whiteout","Белая мгла"
"specials.name.wicked_witchcraft","Дикое колдовство"
"specials.name.wide_slash","Широкий удар"
"specials.name.widows_kiss","Поцелуй вдовы"
"specials.name.wild_cleave","Дикий удар"
"specials.name.wild_growth","Дикий рост"
"specials.name.will_of_fire","Воля огня"
"specials.name.wily_wisps","Лукавая дымка"
"specials.name.wind_gospel","Благодатный ветер"
"specials.name.wind_prayer","Молитва ветру"
"specials.name.wings_of_destruction_pve","Крылья разрушения"
"specials.name.wings_of_force","Крылья силы"
"specials.name.wings_of_frost","Крылья мороза"
"specials.name.wings_of_laceration","Крылья терзания"
"specials.name.wings_of_recovery","Крылья восстановления"
"specials.name.wings_of_shadow","Крылья тени"
"specials.name.wings_of_thorn","Крылья шипов"
"specials.name.wisdom_of_the_gnomes","Мудрость гномов"
"specials.name.wise_mans_counsel","Совет мудреца"
"specials.name.witch_killer","Убийца ведьм"
"specials.name.witch_slayer","Истребитель ведьм"
"specials.name.withering_seasons","Вянущие сезоны"
"specials.name.wolf_bite","Волчий укус"
"specials.name.word_of_queen","Слово королевы"
"specials.name.word_of_skies","Слово небес"
"specials.name.worm_bite","Укус личинки"
"specials.name.wounding_strike","Ранящий удар"
"specials.name.wrap","Удушение"
"specials.name.wrath_of_fate","Гнев судьбы"
"specials.name.wrath_of_frozen_soul","Призрак замороженной души"
"specials.name.wrath_of_the_ancient","Гнев древних"
"specials.name.wrath_of_the_nine_beaks","Гнев девяти клювов"
"specials.name.wrath_of_tundra","Гнев тундры"
"specials.name.wrathful_sting","Гневное жало"
"specials.name.wrenching_strike","Мучительный удар"
"specials.name.xenda_special","Пламя Бездны"
"specials.name.xenda_special_costume","Пламя Бездны"
"specials.name.yellow_signs","Желтые знаки"
"specials.name.yurei","Юрэй"
"specials.name.zombie_curse","Благословение зомби"
"specials.name.zombie_invocation","Призвание зомби"
"specials.name.zooming_lunge","Молниеносный бросок"
